from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,SR,Temp,Toluene,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
17-Sep-2020 - 00:00,1.83,1.42,2.85,1.8,723.54,85.39,33.57,0.0,56.79,185.4,32.15,31.78,299.14,1.13,0.54,19.67,2.93,13.47,16.28,47.71,14.88,18-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
18-Sep-2020 - 00:00,1.18,0.87,1.97,1.4,725.26,81.89,31.42,0.0,60.23,187.81,31.99,34.98,293.1,1.21,0.41,17.89,3.53,11.3,14.78,45.2,13.65,19-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
19-Sep-2020 - 00:00,1.72,1.31,3.3,1.96,720.3,71.78,29.21,0.06,64.82,185.91,31.06,39.28,255.45,1.07,0.43,23.2,4.52,15.54,20.02,34.83,9.04,20-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
20-Sep-2020 - 00:00,2.19,1.85,4.15,2.45,731.4,71.16,31.02,0.0,54.88,197.92,31.68,39.83,270.96,0.96,0.58,22.41,3.02,16.23,19.15,68.29,14.11,21-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
21-Sep-2020 - 00:00,2.51,1.36,3.98,2.45,726.77,89.53,48.23,0.0,53.09,182.31,31.39,38.19,197.63,1.04,0.58,21.02,3.43,14.6,17.93,78.85,13.42,22-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
22-Sep-2020 - 00:00,2.84,1.43,3.89,2.12,723.71,76.83,43.38,0.0,60.92,167.64,31.5,35.79,116.52,0.98,0.67,18.94,3.37,12.46,15.73,54.99,15.52,23-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
23-Sep-2020 - 00:00,2.24,1.5,4.02,2.23,726.2,44.43,19.68,0.0,63.12,179.17,31.25,46.88,125.69,1.07,0.57,18.5,3.2,12.78,15.78,35.74,13.81,24-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
24-Sep-2020 - 00:00,2.56,1.96,4.22,2.66,727.91,62.19,33.58,0.0,56.53,204.58,32.15,51.97,200.65,0.78,0.59,22.91,3.94,15.58,19.49,50.1,26.63,25-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
25-Sep-2020 - 00:00,2.0,1.35,3.12,1.59,726.44,155.1,28.25,0.0,52.79,188.02,31.87,32.05,258.95,1.08,0.37,17.34,3.45,11.13,14.47,47.89,18.02,26-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
26-Sep-2020 - 00:00,1.39,0.63,1.58,0.83,725.98,74.43,27.27,0.0,64.52,186.58,29.24,24.25,264.02,1.54,0.4,15.82,3.66,9.62,13.27,44.5,20.69,27-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
27-Sep-2020 - 00:00,1.65,0.98,2.24,1.48,728.04,67.04,36.42,0.01,65.06,172.8,28.05,29.76,263.84,0.9,0.49,22.02,3.44,14.8,18.0,48.13,28.93,28-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
28-Sep-2020 - 00:00,2.82,1.56,3.69,2.12,728.73,109.42,51.95,0.0,58.06,93.63,28.85,34.62,297.57,0.94,0.74,29.05,3.88,20.91,24.62,36.43,18.74,29-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
29-Sep-2020 - 00:00,4.28,3.42,6.27,3.27,728.64,132.31,53.36,0.0,43.43,185.52,30.42,37.38,291.62,0.84,0.64,39.75,5.82,29.42,34.94,37.29,14.12,30-Sep-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
30-Sep-2020 - 00:00,4.92,4.32,7.89,4.13,729.2,112.42,50.16,0.0,43.15,196.27,30.28,38.77,285.27,0.91,0.53,35.71,7.5,24.43,31.92,48.79,13.78,01-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
01-Oct-2020 - 00:00,1.9,0.81,2.43,1.03,727.79,91.51,33.29,0.0,38.02,207.69,30.54,5.34,304.97,1.43,0.31,26.69,6.02,17.22,23.24,50.68,17.69,02-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
02-Oct-2020 - 00:00,2.93,2.14,4.5,2.06,736.91,111.06,51.02,0.0,30.06,190.49,30.19,8.53,297.16,1.19,0.61,33.25,6.63,22.83,29.45,51.06,15.34,03-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
03-Oct-2020 - 00:00,3.41,2.88,6.72,3.13,728.47,81.22,37.33,0.0,32.11,194.6,29.75,11.25,292.61,0.77,0.71,36.61,8.64,24.38,32.98,44.81,16.2,04-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
04-Oct-2020 - 00:00,2.78,1.44,4.72,2.0,729.02,111.17,45.64,0.0,27.04,189.96,30.46,8.59,259.74,0.84,0.51,28.98,5.6,20.35,25.94,73.32,13.47,05-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
05-Oct-2020 - 00:00,2.92,1.07,4.39,1.84,729.02,106.52,47.1,0.0,29.37,184.13,29.96,8.18,286.0,0.89,0.56,34.88,5.85,25.64,31.47,64.45,12.56,06-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
06-Oct-2020 - 00:00,3.63,2.03,5.88,2.68,729.27,93.01,41.32,0.0,30.5,191.87,30.29,10.48,292.01,0.74,0.7,41.52,6.63,31.06,37.67,35.12,24.96,07-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
07-Oct-2020 - 00:00,2.46,1.44,4.79,2.1,730.1,92.47,37.57,0.0,27.41,185.69,30.52,8.85,292.51,0.75,0.6,31.86,5.27,22.01,27.23,45.52,18.19,08-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
08-Oct-2020 - 00:00,2.81,1.75,6.05,2.66,731.41,104.7,37.13,0.0,26.9,182.24,30.69,8.98,167.06,0.66,0.69,33.65,6.29,23.35,29.63,63.65,17.45,09-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
09-Oct-2020 - 00:00,2.09,0.91,4.32,1.78,728.24,113.09,39.95,0.0,28.14,189.62,30.43,6.88,183.89,0.65,0.54,29.45,6.93,19.8,26.7,65.6,18.76,10-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
10-Oct-2020 - 00:00,2.11,1.05,3.77,1.53,725.79,96.19,47.76,0.0,29.65,191.67,30.14,6.31,248.66,0.87,0.53,27.15,6.88,17.69,24.57,70.18,14.47,11-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
11-Oct-2020 - 00:00,2.06,0.76,3.45,1.45,725.29,128.17,41.16,0.0,27.5,184.36,30.12,5.54,308.88,1.05,0.5,27.16,6.76,17.83,24.59,73.09,17.39,12-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
12-Oct-2020 - 00:00,2.29,1.35,5.06,2.14,728.97,90.12,42.77,0.0,25.04,185.02,30.03,8.41,186.39,0.73,0.65,33.43,7.14,23.06,30.2,63.1,26.99,13-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
13-Oct-2020 - 00:00,4.08,2.35,7.32,3.28,730.42,103.7,53.51,0.0,25.18,174.06,30.42,10.53,151.16,0.65,0.82,41.73,8.73,29.58,38.3,71.82,17.33,14-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
14-Oct-2020 - 00:00,3.9,1.79,5.52,4.29,736.48,152.32,67.14,0.0,47.73,174.23,29.86,8.72,123.06,1.06,0.8,24.58,4.45,17.93,22.14,84.66,15.69,15-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
15-Oct-2020 - 00:00,3.69,0.93,4.19,2.03,724.61,156.4,74.84,0.0,46.28,174.15,30.01,6.9,58.94,0.91,0.69,29.28,3.41,20.26,21.56,95.38,20.88,16-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
16-Oct-2020 - 00:00,2.6,1.3,4.56,2.0,730.53,126.13,53.73,0.0,25.2,166.85,30.23,6.41,73.07,1.12,0.63,35.34,3.1,28.41,31.27,78.32,15.54,17-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
17-Oct-2020 - 00:00,2.94,0.9,4.06,1.7,729.37,137.7,62.46,0.0,29.5,170.29,30.03,7.04,141.78,0.85,0.59,34.55,2.72,26.6,29.32,75.08,16.13,18-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
18-Oct-2020 - 00:00,2.86,0.6,2.64,1.05,729.56,146.66,64.53,0.0,31.35,173.49,29.94,5.28,172.12,0.77,0.63,31.9,2.72,23.49,26.21,79.23,14.43,19-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
19-Oct-2020 - 00:00,3.58,1.54,4.99,2.31,729.74,134.27,59.0,0.0,25.78,167.17,29.12,7.98,196.95,0.61,0.79,48.62,4.22,38.58,42.79,62.99,13.7,20-Oct-2020 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
