from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
28-Feb-2020 - 00:00,21.34,989.87,139.71,74.75,59.56,112.94,172.88,3.73,,2.37,5.54,26.59,17.62,1.46,10.57,0.84,74.41,9.23,29-Feb-2020 - 00:00,"Najafgarh, Delhi - DPCC"
29-Feb-2020 - 00:00,20.54,989.0,102.32,55.0,61.02,124.12,158.69,2.97,,1.97,5.06,21.37,21.65,1.34,12.49,0.42,60.17,8.35,01-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
01-Mar-2020 - 00:00,20.46,990.07,52.6,31.17,59.73,142.06,133.2,1.29,,1.11,4.27,21.04,22.52,2.2,13.73,0.7,52.55,8.27,02-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
02-Mar-2020 - 00:00,17.85,989.88,151.24,93.91,68.38,68.55,140.17,0.78,,3.01,14.62,26.35,33.88,24.33,37.23,0.79,18.49,10.44,03-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
03-Mar-2020 - 00:00,19.88,988.29,194.2,114.3,60.33,138.06,145.82,1.19,,3.07,18.55,26.81,35.34,12.47,28.62,1.0,36.86,21.93,04-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
04-Mar-2020 - 00:00,20.36,987.49,158.96,65.54,58.07,130.58,156.71,2.17,,3.31,29.63,34.15,35.1,15.6,31.37,0.75,79.98,13.51,05-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
05-Mar-2020 - 00:00,19.54,987.48,45.1,21.57,61.0,139.36,159.96,2.98,,1.11,4.78,50.01,20.54,2.41,12.83,0.57,65.41,8.2,06-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
06-Mar-2020 - 00:00,14.92,986.49,25.17,15.51,71.9,42.43,167.13,2.76,,0.91,5.38,43.82,24.52,1.76,14.3,0.48,38.95,6.53,07-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
07-Mar-2020 - 00:00,17.43,990.98,55.46,30.53,65.77,109.08,185.16,1.98,,1.33,8.47,48.69,17.89,1.47,10.67,0.56,47.47,8.47,08-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
08-Mar-2020 - 00:00,20.09,992.77,90.27,48.71,55.31,227.97,120.95,1.81,,1.93,5.08,51.67,24.32,1.61,14.24,0.53,60.79,14.21,09-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
09-Mar-2020 - 00:00,16.59,990.4,153.47,89.95,63.32,174.12,155.34,2.16,,2.12,2.13,54.47,21.67,2.14,13.14,0.61,38.76,16.79,10-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
10-Mar-2020 - 00:00,18.15,988.9,143.51,85.57,61.46,159.58,170.85,1.29,,1.88,3.03,48.52,20.33,1.88,12.35,0.61,58.95,15.66,11-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
11-Mar-2020 - 00:00,21.01,986.3,93.55,46.99,62.34,153.29,169.98,3.63,,2.16,7.2,48.16,23.98,1.84,14.26,0.64,58.98,9.71,12-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
12-Mar-2020 - 00:00,18.91,988.59,159.31,41.82,59.32,86.42,122.62,1.67,,1.85,6.78,51.54,34.67,5.52,22.57,1.01,29.51,11.89,13-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
