from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
26-Aug-2020 - 00:00,29.65,981.44,17.49,5.61,64.96,108.01,283.11,1.31,,0.4,3.56,18.68,6.16,1.8,4.8,1.27,11.24,7.9,27-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
27-Aug-2020 - 00:00,30.45,980.74,25.65,10.15,63.59,158.3,204.74,1.15,,0.57,3.3,19.71,12.16,6.8,12.01,1.28,7.3,8.43,28-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
28-Aug-2020 - 00:00,29.41,978.89,35.64,13.98,67.49,156.91,190.25,1.48,,1.59,14.21,20.26,13.66,8.8,14.22,1.11,12.17,5.7,29-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
29-Aug-2020 - 00:00,29.89,978.5,63.6,37.14,65.45,136.67,132.27,1.11,,2.61,31.1,20.08,18.92,9.36,17.07,1.28,11.32,10.45,30-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
30-Aug-2020 - 00:00,28.37,978.15,33.62,14.27,67.11,85.69,142.13,2.58,,1.02,13.25,18.11,7.27,1.83,5.01,0.87,6.71,8.37,31-Aug-2020 - 00:00,"Najafgarh, Delhi - DPCC"
31-Aug-2020 - 00:00,28.68,980.26,18.88,5.32,65.21,126.5,184.7,3.33,,0.49,4.73,16.96,3.54,1.16,2.73,0.95,5.47,8.43,01-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
01-Sep-2020 - 00:00,29.48,981.88,30.61,11.34,62.43,143.6,235.03,1.86,,0.7,6.42,17.27,6.81,1.56,4.89,1.01,6.37,8.28,02-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
02-Sep-2020 - 00:00,30.1,983.93,33.44,11.37,62.63,129.21,200.57,0.99,,0.79,5.93,18.39,7.31,1.65,5.25,0.9,8.79,9.01,03-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
03-Sep-2020 - 00:00,30.62,984.41,67.0,30.81,63.05,151.05,150.42,2.13,,1.38,11.2,19.25,9.92,4.31,8.79,0.88,8.26,7.68,04-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
04-Sep-2020 - 00:00,29.98,983.15,53.66,32.0,65.02,110.31,200.52,1.49,,1.06,7.02,18.45,8.19,1.52,5.59,0.85,7.72,7.76,05-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
05-Sep-2020 - 00:00,29.63,981.58,48.26,28.16,65.72,163.14,206.62,1.3,,1.09,10.82,14.56,7.31,2.79,6.02,0.81,13.16,7.67,06-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
06-Sep-2020 - 00:00,29.31,980.77,33.7,18.76,67.83,131.33,203.62,0.8,,0.63,3.5,12.87,8.35,0.9,5.09,0.93,12.6,6.37,07-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
07-Sep-2020 - 00:00,29.59,981.24,62.93,36.34,66.68,124.15,201.14,1.2,,2.09,18.31,21.13,13.54,15.34,17.81,1.25,8.36,7.77,08-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
08-Sep-2020 - 00:00,30.28,981.94,50.95,23.38,64.42,162.84,237.2,1.17,,1.54,5.65,17.57,9.18,2.01,6.5,0.86,10.49,7.06,09-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
09-Sep-2020 - 00:00,30.7,981.82,94.36,57.44,65.73,158.12,253.82,1.12,,1.34,6.45,20.92,7.74,3.17,6.7,1.05,11.85,8.01,10-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
10-Sep-2020 - 00:00,30.41,979.3,111.05,65.38,64.29,137.7,237.89,1.3,,1.3,5.25,21.82,13.42,6.14,11.52,1.21,14.39,7.89,11-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
11-Sep-2020 - 00:00,31.37,979.93,136.83,88.21,58.77,165.06,189.87,1.08,,1.31,8.31,15.3,11.02,9.75,12.5,0.96,11.73,7.57,12-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
12-Sep-2020 - 00:00,31.13,982.36,153.78,86.33,59.46,144.56,120.21,1.03,,1.97,25.44,14.24,10.55,13.99,12.61,0.98,13.57,9.38,13-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
13-Sep-2020 - 00:00,30.72,982.34,167.22,116.02,62.27,101.35,142.02,1.01,,1.84,14.13,14.45,9.05,8.78,9.79,0.97,16.02,9.24,14-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
14-Sep-2020 - 00:00,31.03,981.23,153.24,90.65,62.27,127.64,66.75,1.11,,1.56,9.94,18.36,10.24,5.36,8.95,1.21,12.14,11.24,15-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
15-Sep-2020 - 00:00,30.74,980.75,122.61,58.97,62.12,122.87,167.19,0.89,,2.16,20.71,26.55,11.4,14.28,17.7,1.2,16.6,7.7,16-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
16-Sep-2020 - 00:00,31.9,980.43,142.27,59.45,59.23,143.37,203.71,1.39,,1.95,8.39,24.77,8.36,8.91,11.39,1.41,20.52,10.94,17-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
17-Sep-2020 - 00:00,32.01,980.0,97.97,39.57,58.24,154.28,193.37,1.56,,1.11,10.48,21.35,8.45,4.81,8.21,1.14,14.71,8.75,18-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
18-Sep-2020 - 00:00,31.69,978.94,88.89,34.08,59.88,89.24,194.56,1.52,,1.13,8.83,21.12,12.25,4.96,10.49,0.82,9.65,8.49,19-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
19-Sep-2020 - 00:00,31.84,979.31,110.19,41.86,58.89,137.58,147.31,1.2,,1.44,10.99,19.43,12.92,6.97,12.5,1.17,14.53,9.63,20-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
20-Sep-2020 - 00:00,30.83,978.88,129.52,51.61,60.17,142.11,72.92,1.45,,1.92,10.77,18.75,13.58,5.72,11.81,1.26,15.56,10.92,21-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
21-Sep-2020 - 00:00,31.15,977.82,131.02,60.66,60.81,134.94,110.69,1.08,,2.18,10.76,18.88,13.49,7.13,13.08,1.32,18.59,11.01,22-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
22-Sep-2020 - 00:00,30.74,978.2,94.13,45.34,62.36,117.09,128.14,1.22,,2.01,11.79,19.9,13.36,4.44,10.65,1.38,11.46,9.43,23-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
23-Sep-2020 - 00:00,30.78,978.36,68.6,26.53,60.86,125.03,156.59,1.3,,1.48,10.62,21.35,14.91,5.16,12.12,1.35,13.29,11.3,24-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
24-Sep-2020 - 00:00,30.51,980.62,85.22,36.18,58.86,144.01,172.47,1.37,,1.59,15.64,19.76,12.71,4.21,10.16,1.32,14.36,8.83,25-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
25-Sep-2020 - 00:00,30.12,979.79,130.97,55.23,58.09,128.06,191.24,1.54,,2.01,21.47,14.64,12.38,8.07,12.92,1.34,16.67,8.94,26-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
26-Sep-2020 - 00:00,28.4,980.1,131.51,47.75,58.03,82.11,246.58,1.63,,1.57,22.35,4.35,7.46,16.8,17.65,1.59,3.67,11.3,27-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
27-Sep-2020 - 00:00,28.31,982.75,93.67,25.46,56.07,153.93,186.97,1.25,,0.75,17.33,5.1,5.56,10.68,11.67,1.37,3.65,8.54,28-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
28-Sep-2020 - 00:00,28.54,983.72,206.22,55.69,57.4,142.03,157.81,1.42,,1.57,19.76,23.62,6.65,17.62,17.87,1.28,4.67,8.5,29-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
29-Sep-2020 - 00:00,28.44,983.49,172.97,59.43,59.11,150.46,174.06,1.44,,1.59,23.57,67.45,6.42,10.49,11.95,1.3,4.41,8.72,30-Sep-2020 - 00:00,"Najafgarh, Delhi - DPCC"
30-Sep-2020 - 00:00,27.89,982.49,156.44,51.21,56.8,154.63,163.64,1.61,,1.55,22.44,66.91,7.08,8.92,11.03,1.31,4.62,7.05,01-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
01-Oct-2020 - 00:00,28.59,981.89,165.6,52.36,52.73,153.77,177.96,1.49,,1.84,24.0,90.27,12.56,9.84,14.7,1.41,10.02,9.63,02-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
02-Oct-2020 - 00:00,27.86,982.46,177.49,63.5,53.42,159.29,217.37,1.35,,2.2,6.41,67.73,17.37,5.77,13.94,1.17,60.86,9.62,03-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
03-Oct-2020 - 00:00,27.41,983.53,173.38,70.45,52.39,153.05,185.39,1.19,,2.3,9.25,53.75,18.14,7.4,15.66,1.2,67.97,11.59,04-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
04-Oct-2020 - 00:00,26.12,984.46,179.53,66.93,52.6,152.26,158.67,1.17,,2.33,10.79,48.06,19.99,6.95,16.3,1.4,68.55,14.32,05-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
05-Oct-2020 - 00:00,26.05,984.08,192.87,66.5,52.04,165.76,153.55,1.57,,2.03,4.68,46.91,20.44,11.81,20.94,1.47,68.15,14.35,06-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
06-Oct-2020 - 00:00,26.02,984.46,179.12,65.97,52.29,151.22,161.13,1.49,,2.28,7.33,47.51,21.47,14.81,23.49,1.33,67.85,15.43,07-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
07-Oct-2020 - 00:00,26.84,986.21,180.76,74.3,50.34,140.34,166.66,1.27,,2.58,12.15,45.85,20.19,16.16,23.91,1.34,71.33,17.19,08-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
08-Oct-2020 - 00:00,25.89,986.64,180.83,75.04,53.37,136.22,147.19,1.22,,3.03,13.9,46.43,19.33,14.41,21.73,1.66,61.45,13.2,09-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
09-Oct-2020 - 00:00,25.71,987.69,187.22,81.7,53.77,195.23,221.18,0.94,,2.35,8.56,57.36,21.28,13.17,22.04,1.74,66.6,15.73,10-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
10-Oct-2020 - 00:00,28.67,984.32,230.48,82.73,46.54,113.66,127.71,1.61,,3.55,13.3,65.37,21.12,5.85,15.99,1.23,79.97,17.85,11-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
11-Oct-2020 - 00:00,26.06,983.83,212.18,82.13,53.15,129.8,172.91,1.27,,2.91,6.32,58.6,23.11,15.82,25.19,1.47,69.47,14.11,12-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
12-Oct-2020 - 00:00,26.08,982.3,213.11,94.96,49.95,116.71,180.85,1.02,,3.02,7.84,58.85,26.2,13.64,25.02,1.8,56.22,13.45,13-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
13-Oct-2020 - 00:00,25.85,983.27,249.58,114.67,53.77,164.12,186.53,0.89,,4.0,13.58,74.88,29.94,29.79,40.21,2.06,67.23,11.85,14-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
14-Oct-2020 - 00:00,30.39,984.53,249.78,117.43,46.69,106.71,72.79,0.91,,4.21,33.01,105.18,25.26,4.3,16.94,1.54,73.82,20.07,15-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
15-Oct-2020 - 00:00,27.32,985.3,266.29,139.15,45.05,119.22,65.61,1.16,,4.22,31.62,81.25,23.77,5.62,17.18,1.48,56.42,18.69,16-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
16-Oct-2020 - 00:00,25.04,985.06,192.24,86.72,44.97,126.0,133.31,0.97,,2.97,21.59,67.46,24.11,17.73,27.28,1.24,62.65,13.94,17-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
17-Oct-2020 - 00:00,24.49,985.68,234.22,115.88,48.69,98.87,146.75,0.81,,4.08,27.73,69.27,29.17,27.09,37.41,1.57,51.28,14.11,18-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
18-Oct-2020 - 00:00,24.62,985.72,211.42,104.12,47.34,118.16,147.7,1.18,,3.08,8.4,,26.5,14.08,25.38,1.56,55.73,15.38,19-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
19-Oct-2020 - 00:00,24.31,985.36,200.68,89.47,44.38,126.75,145.68,1.35,,2.6,7.46,25.71,26.2,11.17,22.79,1.26,54.2,15.28,20-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
20-Oct-2020 - 00:00,22.74,985.03,199.63,92.06,47.32,112.06,172.09,1.06,,2.93,19.19,36.73,33.86,21.84,35.79,1.61,46.84,17.43,21-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
21-Oct-2020 - 00:00,24.53,986.04,218.66,92.99,43.57,120.43,164.63,0.75,,4.29,36.34,33.63,42.29,42.77,57.32,1.69,51.34,17.15,22-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
22-Oct-2020 - 00:00,24.25,984.78,303.49,131.95,44.45,70.44,112.22,1.01,,6.55,55.81,36.43,49.8,21.48,43.95,1.79,54.24,24.84,23-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
23-Oct-2020 - 00:00,23.25,984.58,317.01,178.12,42.16,103.26,108.62,0.97,,5.49,41.59,38.93,42.25,19.14,37.88,1.7,59.01,28.55,24-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
24-Oct-2020 - 00:00,22.73,985.65,297.04,162.38,40.09,102.46,157.06,1.13,,5.63,39.84,37.37,41.9,26.53,43.77,1.95,51.92,20.35,25-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
25-Oct-2020 - 00:00,22.96,988.04,320.78,171.35,49.78,104.78,182.99,0.86,,6.27,40.22,38.68,52.03,29.61,51.8,1.72,39.63,25.48,26-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
26-Oct-2020 - 00:00,23.63,989.44,311.17,160.17,46.56,94.76,113.41,0.98,,6.03,35.25,36.03,45.33,19.39,39.88,1.58,61.99,19.3,27-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
27-Oct-2020 - 00:00,21.0,989.43,261.76,148.25,50.54,99.54,155.37,1.18,,3.26,8.09,34.61,31.4,11.5,26.22,1.34,51.25,12.04,28-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
28-Oct-2020 - 00:00,20.29,988.28,327.09,177.94,53.54,85.28,194.43,0.89,,4.81,12.68,37.23,46.9,34.05,51.9,1.78,46.2,9.22,29-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
29-Oct-2020 - 00:00,20.82,990.85,335.79,221.77,52.35,101.49,158.66,0.81,,5.1,21.08,37.46,48.95,35.87,55.22,1.95,16.86,15.71,30-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
30-Oct-2020 - 00:00,20.68,990.56,315.69,191.04,50.56,83.3,161.52,1.2,,4.12,12.11,36.14,37.22,15.01,31.16,1.65,47.66,14.27,31-Oct-2020 - 00:00,"Najafgarh, Delhi - DPCC"
31-Oct-2020 - 00:00,20.43,990.58,372.71,237.17,50.78,107.13,165.23,1.44,,4.37,7.4,37.04,33.71,10.69,26.67,1.61,58.47,15.83,01-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
01-Nov-2020 - 00:00,19.75,991.2,286.05,155.43,46.35,108.76,198.96,1.31,,3.37,5.65,28.16,35.05,12.98,29.15,1.33,50.85,13.81,02-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
02-Nov-2020 - 00:00,18.74,991.76,205.89,105.09,47.7,96.33,192.06,1.01,,3.46,13.99,27.75,38.73,31.88,46.6,1.37,39.08,16.46,03-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
03-Nov-2020 - 00:00,19.54,991.05,231.65,104.94,46.93,113.14,192.42,1.02,,4.09,29.6,28.07,43.68,45.07,59.93,1.41,50.17,15.91,04-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
04-Nov-2020 - 00:00,18.04,990.01,407.21,267.79,54.7,66.92,280.92,0.95,,5.79,16.13,40.38,50.58,43.79,63.05,2.22,31.86,16.19,05-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
05-Nov-2020 - 00:00,19.57,991.18,402.82,271.64,52.28,89.3,215.28,0.98,,5.68,17.01,46.61,56.07,36.55,59.47,2.02,45.9,13.41,06-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
06-Nov-2020 - 00:00,19.72,993.95,354.52,229.92,50.61,78.94,213.09,0.94,,5.28,15.32,37.19,62.57,46.9,71.41,1.81,41.49,14.99,07-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
07-Nov-2020 - 00:00,19.26,994.83,439.8,285.49,54.46,85.96,214.34,1.0,,5.85,11.89,40.39,42.37,28.72,45.93,1.83,55.27,14.67,08-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
08-Nov-2020 - 00:00,17.94,995.37,490.81,323.96,58.38,67.58,192.15,0.73,,6.77,23.41,43.86,33.5,39.65,49.43,1.94,43.53,17.1,09-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
09-Nov-2020 - 00:00,16.54,993.91,729.8,572.68,65.87,56.56,250.9,0.85,,9.51,19.48,55.08,34.53,36.53,48.45,2.83,24.09,12.55,10-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
10-Nov-2020 - 00:00,18.56,992.61,556.55,430.36,60.21,67.03,181.2,0.72,,8.33,26.51,42.88,33.04,39.54,49.81,2.29,35.48,13.48,11-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
11-Nov-2020 - 00:00,19.34,994.39,319.62,183.55,58.21,76.22,110.62,0.89,,6.62,61.49,27.93,25.56,78.18,77.32,2.08,53.09,7.9,12-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
12-Nov-2020 - 00:00,18.95,995.65,301.61,171.87,59.62,62.71,139.18,0.66,,11.14,66.33,27.78,23.82,63.82,64.71,1.51,47.8,9.01,13-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
13-Nov-2020 - 00:00,19.82,994.15,240.74,163.81,56.57,79.01,202.79,0.87,,2.87,9.81,29.55,18.26,15.48,22.3,1.29,61.6,9.04,14-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
14-Nov-2020 - 00:00,18.58,991.99,436.19,324.96,58.57,65.76,197.86,0.87,,5.8,17.09,37.34,22.92,13.25,22.93,1.75,65.7,14.93,15-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
15-Nov-2020 - 00:00,20.1,991.21,319.12,234.29,56.07,57.92,158.18,2.12,,4.32,10.78,33.23,18.94,2.12,11.65,1.2,104.66,14.83,16-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
16-Nov-2020 - 00:00,20.58,992.94,117.64,87.35,66.1,52.57,198.51,1.46,,1.8,4.82,32.14,14.4,2.94,11.19,1.25,58.3,5.55,17-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
17-Nov-2020 - 00:00,18.24,991.62,115.78,82.73,63.71,75.34,118.0,1.28,,1.49,3.6,30.63,13.07,7.97,13.28,1.44,44.0,6.87,18-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
18-Nov-2020 - 00:00,16.63,990.52,157.68,112.82,61.39,72.05,176.67,0.87,,2.36,8.95,31.47,18.27,10.47,18.25,1.34,58.6,5.44,19-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
19-Nov-2020 - 00:00,16.02,990.89,217.62,152.06,58.29,75.6,141.96,0.97,,3.67,25.48,32.58,23.79,15.76,25.43,1.17,62.8,5.66,20-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
20-Nov-2020 - 00:00,16.2,992.55,294.45,230.89,56.07,104.75,131.23,1.57,,3.9,19.72,36.43,27.18,7.98,20.62,1.32,66.72,7.74,21-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
21-Nov-2020 - 00:00,14.61,992.81,210.72,139.29,56.09,76.38,195.29,1.62,,2.58,4.32,29.28,23.28,3.85,15.53,1.16,55.95,6.55,22-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
22-Nov-2020 - 00:00,14.11,993.37,190.06,116.68,54.58,71.44,173.33,1.19,,2.66,4.96,27.33,25.57,9.75,21.54,0.94,52.3,6.73,23-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
23-Nov-2020 - 00:00,14.53,993.62,214.49,130.79,54.93,67.06,174.23,0.7,,3.53,19.08,28.79,30.51,42.93,51.27,1.18,56.38,6.37,24-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
24-Nov-2020 - 00:00,15.27,993.18,367.01,207.12,56.46,59.41,153.04,0.86,,8.15,61.11,35.58,39.6,36.41,50.99,1.89,55.43,15.2,25-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
25-Nov-2020 - 00:00,17.19,993.54,366.43,234.77,54.47,43.9,114.68,1.2,,8.45,42.34,39.98,43.21,15.98,36.0,1.75,52.73,13.69,26-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
26-Nov-2020 - 00:00,17.87,995.89,174.51,123.02,59.19,63.07,58.28,1.39,,4.05,20.45,33.42,24.42,6.18,18.03,1.07,46.37,9.87,27-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
27-Nov-2020 - 00:00,16.07,997.42,101.45,69.1,60.38,63.97,224.27,1.29,,1.74,4.57,28.57,16.49,4.65,12.46,0.91,45.6,4.97,28-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
28-Nov-2020 - 00:00,15.61,996.33,177.46,99.73,58.36,65.26,248.61,1.4,,2.41,4.14,27.5,16.09,3.79,11.66,1.02,54.1,6.06,29-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
29-Nov-2020 - 00:00,12.24,996.26,142.03,91.78,63.68,43.34,243.88,0.74,,2.6,5.24,42.78,22.21,18.6,25.81,1.03,48.76,5.75,30-Nov-2020 - 00:00,"Najafgarh, Delhi - DPCC"
30-Nov-2020 - 00:00,19.28,993.81,198.11,133.54,50.46,81.77,185.34,0.97,,1.54,4.19,25.41,14.21,4.15,10.94,1.17,66.54,11.39,01-Dec-2020 - 00:00,"Najafgarh, Delhi - DPCC"
01-Dec-2020 - 00:00,10.6,993.65,327.0,140.0,77.15,3.0,266.35,0.95,,3.4,11.6,21.55,7.75,35.35,32.9,1.6,7.7,8.0,02-Dec-2020 - 00:00,"Najafgarh, Delhi - DPCC"
