from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
02-Aug-2020 - 00:00,32.31,977.79,70.58,21.35,71.96,221.07,257.34,0.67,1.78,33.7,23.97,6.28,17.38,23.05,2.22,17.96,12.97,03-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
03-Aug-2020 - 00:00,32.96,973.7,70.72,23.98,68.45,164.24,225.27,0.97,1.56,24.82,26.53,6.48,17.71,23.37,1.51,18.92,14.07,04-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
04-Aug-2020 - 00:00,32.27,972.33,77.37,29.04,71.81,203.04,217.86,1.12,1.99,33.65,25.05,6.24,17.27,22.88,1.82,20.84,13.54,05-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
05-Aug-2020 - 00:00,31.04,973.68,100.33,48.4,80.7,97.77,85.1,0.98,1.88,54.24,19.77,9.12,23.63,30.44,1.92,17.64,18.74,06-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
06-Aug-2020 - 00:00,32.76,976.49,66.1,15.79,66.84,202.73,80.34,0.9,1.26,42.4,31.3,7.99,16.42,18.68,1.56,10.94,27.75,07-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
07-Aug-2020 - 00:00,31.73,979.12,72.78,20.81,71.31,178.34,95.8,0.83,1.38,44.44,23.53,5.26,15.5,21.09,1.69,24.04,32.83,08-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
08-Aug-2020 - 00:00,33.31,977.13,96.19,50.02,69.09,150.97,131.01,0.75,3.89,114.13,28.38,8.81,22.89,29.5,2.66,28.32,25.97,09-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
09-Aug-2020 - 00:00,30.33,976.67,74.07,36.0,86.72,100.27,159.15,1.24,13.0,12.48,25.82,6.66,17.39,22.49,1.27,17.83,12.55,10-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
10-Aug-2020 - 00:00,30.82,977.99,81.0,35.33,82.58,99.69,119.09,1.05,5.31,30.5,29.79,6.57,16.87,21.43,1.18,29.89,20.76,11-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
11-Aug-2020 - 00:00,31.58,977.41,74.5,48.79,79.31,142.77,156.86,1.16,0.4,28.39,21.41,5.96,19.39,27.3,0.71,26.27,23.15,12-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
12-Aug-2020 - 00:00,31.52,976.45,78.79,25.29,79.24,156.47,218.07,1.04,0.28,36.96,19.21,5.04,14.27,19.13,0.84,18.17,16.01,13-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
13-Aug-2020 - 00:00,27.63,976.22,58.67,23.0,95.08,37.41,148.03,1.03,0.41,38.67,20.25,6.58,16.78,21.47,0.15,16.39,19.25,14-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
14-Aug-2020 - 00:00,29.04,975.46,67.48,28.6,88.2,100.04,70.14,1.09,0.37,42.67,18.23,7.09,17.69,22.38,0.8,28.17,47.66,15-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
15-Aug-2020 - 00:00,30.89,975.42,65.0,34.96,80.98,166.09,110.47,1.07,0.19,11.82,17.61,4.81,11.83,14.84,0.67,26.08,26.25,16-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
16-Aug-2020 - 00:00,31.02,976.48,62.5,21.33,80.42,181.15,116.7,0.99,0.17,14.8,15.57,4.93,13.35,17.53,0.62,30.34,22.18,17-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
17-Aug-2020 - 00:00,30.33,976.81,63.59,30.73,87.9,102.79,124.77,1.15,0.39,46.33,15.99,9.07,20.68,24.98,1.06,16.96,18.69,18-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
18-Aug-2020 - 00:00,30.76,977.25,65.32,32.0,84.57,120.77,161.75,1.15,0.4,52.1,23.44,8.82,22.1,28.05,0.71,21.32,25.03,19-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
19-Aug-2020 - 00:00,27.09,977.43,63.36,25.65,96.29,24.41,137.22,0.95,0.42,63.64,25.27,14.92,31.1,35.58,1.53,17.05,17.68,20-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
20-Aug-2020 - 00:00,26.53,979.91,60.21,22.75,96.27,66.58,81.72,1.27,0.92,64.03,21.55,9.14,24.62,32.28,0.94,25.09,22.14,21-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
21-Aug-2020 - 00:00,29.5,981.33,65.6,19.65,79.48,198.94,72.6,1.17,2.26,48.06,16.95,13.0,23.61,24.45,1.0,24.3,24.69,22-Aug-2020 - 00:00,"Vivek Vihar, Delhi - DPCC"
