from date,PM2.5,SR,RH,Temp,WS,WD,RF,PM10,CO,Ozone,Benzene,Toluene,O Xylene,NO,NO2,NH3,NOx,to date,station
23-Aug-2020 - 00:00,8.16,370.32,83.88,28.35,1.61,168.3,0.0,21.4,0.37,8.97,0.59,0.86,0.57,2.1,11.17,12.39,7.45,24-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
24-Aug-2020 - 00:00,11.76,410.64,80.36,28.62,1.4,190.93,0.0,33.47,0.37,9.41,0.63,0.89,0.55,2.45,10.63,12.33,7.42,25-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
25-Aug-2020 - 00:00,15.17,341.84,81.13,28.93,1.18,235.11,0.0,41.56,0.38,8.5,0.77,0.98,0.47,2.65,12.47,11.34,8.55,26-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
26-Aug-2020 - 00:00,12.8,408.36,86.82,28.02,1.25,237.5,0.01,36.9,0.38,6.52,0.77,0.98,0.47,2.78,13.25,10.27,9.07,27-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
27-Aug-2020 - 00:00,11.06,197.47,97.5,26.36,1.47,225.95,0.06,28.26,0.36,4.62,0.77,0.98,0.47,2.68,12.2,11.93,8.46,28-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
28-Aug-2020 - 00:00,9.09,127.13,92.88,26.38,1.81,219.51,0.06,25.05,0.36,4.78,0.7,1.18,0.45,3.11,12.8,10.62,9.08,29-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
29-Aug-2020 - 00:00,9.31,127.03,86.02,27.45,1.91,189.77,0.0,20.53,0.36,8.72,0.66,1.35,0.44,2.36,10.91,10.96,7.48,30-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
30-Aug-2020 - 00:00,9.21,355.97,79.41,28.34,1.35,164.79,0.0,21.16,0.37,9.54,0.66,1.35,0.44,2.3,11.23,11.26,7.62,31-Aug-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
31-Aug-2020 - 00:00,15.56,359.54,75.61,29.0,1.0,227.23,0.0,38.49,0.37,12.18,0.78,1.22,0.45,2.81,14.4,9.86,9.73,01-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
01-Sep-2020 - 00:00,22.95,355.18,78.4,29.15,1.08,252.1,0.0,60.78,0.38,8.69,0.8,1.41,0.53,5.76,18.92,9.17,14.47,02-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
02-Sep-2020 - 00:00,23.36,202.85,86.56,28.17,0.84,221.79,0.0,56.74,0.39,7.88,0.7,1.99,0.7,25.19,15.22,12.35,31.21,03-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
03-Sep-2020 - 00:00,20.8,408.1,85.08,27.51,0.74,134.97,0.03,47.44,0.39,8.88,0.7,2.01,0.7,14.83,17.38,11.16,19.55,04-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
04-Sep-2020 - 00:00,29.66,432.86,78.33,28.78,0.87,158.42,0.0,55.65,0.38,17.34,0.7,2.01,0.7,6.43,17.17,11.67,14.26,05-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
05-Sep-2020 - 00:00,24.14,211.41,86.9,28.52,0.78,141.52,0.03,57.41,0.39,11.64,0.7,1.99,0.7,2.6,16.96,11.58,10.89,06-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
06-Sep-2020 - 00:00,19.62,226.23,82.38,28.6,0.93,165.33,0.0,43.42,0.39,13.77,0.7,2.0,0.69,2.31,16.67,11.21,10.47,07-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
07-Sep-2020 - 00:00,15.25,216.39,84.76,27.91,0.74,190.08,0.01,43.42,0.39,11.88,0.7,2.02,0.7,2.67,15.71,11.2,10.33,08-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
08-Sep-2020 - 00:00,33.39,353.71,72.27,31.0,0.92,172.75,0.0,55.56,0.39,23.76,0.7,1.99,0.7,13.49,19.79,10.5,17.03,09-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
09-Sep-2020 - 00:00,28.65,403.77,87.59,28.18,0.95,148.18,0.01,41.8,0.42,13.46,0.7,2.0,0.7,9.82,18.3,9.07,14.27,10-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
10-Sep-2020 - 00:00,25.99,210.05,85.38,27.64,0.99,182.2,0.0,41.87,0.42,16.08,0.7,2.0,0.7,11.3,13.5,10.02,13.05,11-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
11-Sep-2020 - 00:00,17.8,210.12,87.11,27.9,0.84,179.07,0.0,26.95,0.4,15.58,0.7,1.99,0.7,8.67,14.48,9.43,12.08,12-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
12-Sep-2020 - 00:00,23.19,200.41,82.6,28.87,0.82,154.96,0.0,27.75,0.4,15.35,0.7,2.01,0.7,4.61,15.97,9.14,10.3,13-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
13-Sep-2020 - 00:00,19.29,222.44,89.63,28.28,0.92,195.44,0.05,26.69,0.42,9.55,0.7,2.0,0.7,3.33,16.25,10.03,10.93,14-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
14-Sep-2020 - 00:00,16.29,231.88,88.77,28.09,1.08,250.25,0.13,25.03,0.38,8.84,0.7,2.0,0.7,3.08,13.06,11.12,9.05,15-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
15-Sep-2020 - 00:00,18.74,258.34,84.4,28.51,0.93,212.32,0.14,37.25,0.38,8.19,0.7,2.01,0.7,3.95,17.67,10.67,12.34,16-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
16-Sep-2020 - 00:00,25.39,206.32,86.33,28.87,0.9,187.51,0.0,44.66,0.39,13.6,0.7,1.99,0.7,2.77,18.45,11.03,11.76,17-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
17-Sep-2020 - 00:00,25.8,209.03,88.99,28.94,0.72,186.78,0.0,55.81,0.39,6.58,0.7,2.0,0.7,5.25,20.3,9.81,14.73,18-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
18-Sep-2020 - 00:00,23.46,128.13,93.72,26.98,0.91,217.07,0.53,53.06,0.4,8.72,0.7,1.99,0.7,3.27,18.18,12.1,11.95,19-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
19-Sep-2020 - 00:00,30.92,103.12,82.0,28.32,0.88,169.4,0.02,56.81,0.4,15.19,0.7,2.0,0.71,3.48,14.75,8.81,10.29,20-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
20-Sep-2020 - 00:00,19.02,146.85,89.76,27.15,0.88,223.18,0.19,36.91,0.37,13.34,0.7,2.01,0.7,3.26,10.51,8.2,7.68,21-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
21-Sep-2020 - 00:00,30.56,216.43,88.78,27.22,0.91,195.2,0.05,49.11,0.38,12.48,0.7,1.99,0.7,3.62,16.9,6.8,11.49,22-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
22-Sep-2020 - 00:00,9.71,230.33,87.5,26.87,1.06,171.22,0.15,18.96,0.36,14.66,0.7,2.02,0.7,2.75,7.21,9.26,5.67,23-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
23-Sep-2020 - 00:00,5.89,208.89,86.6,28.09,1.78,160.6,0.0,15.99,0.36,14.24,0.7,2.0,0.69,2.58,6.77,9.23,5.43,24-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
24-Sep-2020 - 00:00,5.7,356.17,87.98,27.93,1.54,176.7,0.06,18.32,0.37,11.13,0.7,2.0,0.69,2.69,8.22,11.71,6.3,25-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
25-Sep-2020 - 00:00,15.45,402.42,83.71,28.56,1.1,185.68,0.0,36.79,0.39,11.68,0.7,2.0,0.7,3.23,10.58,11.79,7.98,26-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
26-Sep-2020 - 00:00,14.64,209.63,86.19,27.81,1.0,193.87,0.0,46.87,0.39,11.17,0.7,2.0,0.7,2.64,12.36,11.41,8.43,27-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
27-Sep-2020 - 00:00,38.61,429.78,83.47,28.0,1.2,222.89,0.0,58.99,0.39,13.05,0.7,1.99,0.69,2.87,11.41,10.38,8.17,28-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
28-Sep-2020 - 00:00,38.62,433.98,82.91,28.07,0.73,241.3,0.01,72.56,0.4,11.48,0.7,1.99,0.71,3.1,14.68,9.56,10.11,29-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
29-Sep-2020 - 00:00,28.02,189.88,86.01,27.52,0.98,220.35,0.03,57.94,0.39,14.35,0.7,2.0,0.71,3.23,13.89,9.95,9.66,30-Sep-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
30-Sep-2020 - 00:00,44.55,187.4,81.01,28.27,0.74,254.79,0.0,90.64,0.39,12.13,0.7,2.01,0.7,3.06,16.62,9.04,11.11,01-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
01-Oct-2020 - 00:00,38.98,182.31,83.28,28.33,1.05,243.95,0.0,80.59,0.4,15.81,0.7,2.0,0.7,3.22,15.23,9.0,10.31,02-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
02-Oct-2020 - 00:00,39.98,280.27,79.94,28.56,1.15,236.76,0.0,84.55,0.41,16.7,0.7,2.0,0.7,4.78,18.95,8.72,13.47,03-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
03-Oct-2020 - 00:00,49.59,225.7,76.85,28.16,0.91,243.07,0.0,106.35,0.42,20.05,0.7,2.01,0.7,2.8,22.2,7.97,14.06,04-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
04-Oct-2020 - 00:00,35.28,277.31,72.26,28.17,1.01,255.26,0.0,72.32,0.41,22.23,0.7,1.99,0.7,2.69,19.29,8.14,12.19,05-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
05-Oct-2020 - 00:00,34.97,363.56,74.7,27.85,0.88,196.13,0.0,80.04,0.41,23.8,0.7,1.99,0.7,1.93,17.56,6.98,10.63,06-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
06-Oct-2020 - 00:00,46.73,341.79,78.78,28.28,0.76,213.22,0.0,83.12,0.42,23.03,0.7,1.99,0.7,1.99,17.21,7.86,10.53,07-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
07-Oct-2020 - 00:00,38.98,361.42,95.85,25.6,0.88,242.08,0.24,58.56,0.41,9.89,0.7,1.99,0.7,5.5,24.77,13.0,16.47,08-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
08-Oct-2020 - 00:00,32.8,185.32,87.69,26.82,0.74,229.3,0.0,51.41,0.4,9.84,0.7,1.99,0.7,1.81,30.82,3.39,17.36,09-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
09-Oct-2020 - 00:00,25.96,318.39,82.61,28.02,0.88,171.44,0.1,43.14,0.42,14.12,0.7,2.0,0.7,10.01,27.42,6.11,20.89,10-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
10-Oct-2020 - 00:00,43.8,265.21,82.9,28.85,0.58,147.57,0.0,70.83,0.41,10.26,0.7,2.0,0.7,3.95,19.34,5.45,13.22,11-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
11-Oct-2020 - 00:00,21.99,245.64,84.76,27.52,0.84,148.75,0.05,41.77,0.39,13.25,0.7,1.99,0.71,3.42,15.11,6.25,10.51,12-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
12-Oct-2020 - 00:00,35.82,263.78,78.9,28.21,0.75,179.04,0.0,57.83,0.4,9.2,0.7,1.99,0.71,4.87,15.92,5.56,12.06,13-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
13-Oct-2020 - 00:00,24.66,232.1,77.72,28.23,1.25,111.41,0.0,53.58,0.39,22.1,0.7,2.0,0.7,2.99,11.3,7.14,8.02,14-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
14-Oct-2020 - 00:00,11.72,229.28,83.57,28.03,1.36,77.88,0.0,29.62,0.39,15.01,0.7,1.99,0.7,3.91,9.32,7.32,7.87,15-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
15-Oct-2020 - 00:00,5.77,277.12,84.07,27.73,1.03,105.58,0.01,18.1,0.4,14.33,0.7,2.01,0.69,2.55,6.07,9.36,4.84,16-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
16-Oct-2020 - 00:00,13.45,217.75,87.57,27.58,0.78,113.21,0.01,26.92,0.4,12.41,0.7,2.0,0.7,,,,,17-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
17-Oct-2020 - 00:00,13.42,278.67,81.7,28.22,0.7,134.43,0.0,26.59,0.45,9.26,0.7,2.0,0.7,8.63,19.23,6.0,16.96,18-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
18-Oct-2020 - 00:00,23.46,221.12,80.23,28.56,0.62,178.6,0.0,57.42,0.4,8.56,0.7,2.01,0.7,5.49,17.28,6.87,13.24,19-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
19-Oct-2020 - 00:00,28.69,253.75,79.31,28.44,0.58,176.11,0.0,68.01,0.39,12.12,0.7,2.0,0.7,5.84,19.52,6.96,14.67,20-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
20-Oct-2020 - 00:00,53.56,253.03,78.89,28.57,0.65,160.65,0.0,123.32,0.41,22.07,0.7,2.0,0.69,2.73,21.65,7.25,13.35,21-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
21-Oct-2020 - 00:00,41.5,257.05,79.3,28.33,0.61,136.73,0.0,104.43,0.42,24.02,0.7,1.98,0.71,3.03,22.81,7.63,14.34,22-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
22-Oct-2020 - 00:00,34.84,271.3,66.16,27.66,0.59,177.91,0.0,84.99,0.42,22.22,0.7,1.99,0.7,2.72,22.51,7.3,13.93,23-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
23-Oct-2020 - 00:00,30.56,241.6,70.65,26.72,0.53,184.32,0.0,88.45,0.4,26.09,0.7,2.01,0.71,3.86,24.41,7.21,15.81,24-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
24-Oct-2020 - 00:00,37.58,237.83,73.28,27.44,0.52,148.93,0.0,98.64,0.36,35.83,0.7,2.0,0.7,3.03,23.08,4.88,14.4,25-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
25-Oct-2020 - 00:00,35.89,246.54,74.17,27.54,0.55,149.29,0.0,74.41,0.34,23.52,0.7,2.01,0.7,4.41,15.08,5.41,10.96,26-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
26-Oct-2020 - 00:00,19.58,191.64,73.88,27.05,0.7,156.65,0.0,93.36,0.35,34.59,0.7,2.0,0.7,1.7,16.52,4.06,9.89,27-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
27-Oct-2020 - 00:00,15.67,231.58,76.9,26.63,0.59,151.62,0.0,90.88,0.37,28.06,0.7,2.0,0.69,1.52,18.2,4.16,10.59,28-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
28-Oct-2020 - 00:00,17.37,235.17,75.66,26.44,0.6,171.31,0.0,104.59,0.36,30.37,0.7,2.01,0.7,1.92,17.5,4.67,10.6,29-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
29-Oct-2020 - 00:00,24.69,196.93,71.44,26.37,0.48,139.07,0.0,110.4,0.37,23.17,0.7,2.01,0.7,19.86,22.02,8.05,22.52,30-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
30-Oct-2020 - 00:00,44.81,209.2,70.98,26.3,0.53,179.3,0.0,101.89,0.37,23.74,0.7,2.0,0.7,9.94,20.34,4.69,16.31,31-Oct-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
31-Oct-2020 - 00:00,58.91,215.68,68.95,25.66,0.61,146.18,0.0,98.19,0.36,30.32,0.7,2.01,0.69,9.52,20.21,4.04,14.69,01-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
01-Nov-2020 - 00:00,51.35,203.3,64.62,25.03,0.62,170.58,0.0,117.08,0.36,40.81,0.7,1.99,0.7,3.75,21.63,1.93,13.36,02-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
02-Nov-2020 - 00:00,55.94,188.86,65.57,25.07,0.62,211.07,0.0,114.09,0.37,39.36,0.7,2.01,0.69,1.77,21.22,3.11,12.5,03-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
03-Nov-2020 - 00:00,56.11,190.1,65.98,24.71,0.64,168.3,0.0,102.55,0.37,31.66,0.7,2.0,0.7,2.27,19.25,6.09,11.91,04-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
04-Nov-2020 - 00:00,52.7,194.55,62.7,24.01,0.59,208.81,0.0,98.22,0.37,36.36,1.15,1.68,0.6,3.27,25.92,4.47,16.0,05-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
05-Nov-2020 - 00:00,61.18,193.08,65.25,23.37,0.54,170.74,0.0,122.64,0.37,37.93,1.28,0.63,0.43,3.43,27.17,5.01,17.1,06-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
06-Nov-2020 - 00:00,61.05,185.17,64.65,23.74,0.65,136.96,0.0,130.58,0.36,42.72,1.33,0.59,0.39,3.39,28.93,7.3,17.91,07-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
07-Nov-2020 - 00:00,71.27,179.94,62.38,23.74,0.65,151.4,0.0,146.77,0.36,35.73,1.72,0.55,0.29,2.09,25.67,7.51,15.0,08-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
08-Nov-2020 - 00:00,76.26,165.11,69.17,22.12,0.64,158.6,0.0,153.62,0.38,43.4,1.33,0.5,0.44,2.57,26.35,7.34,15.73,09-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
09-Nov-2020 - 00:00,95.25,175.81,68.79,21.57,0.51,175.53,0.0,192.1,0.39,29.26,1.38,0.66,0.5,3.27,30.15,8.36,18.44,10-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
10-Nov-2020 - 00:00,88.37,166.25,66.23,21.39,0.61,151.65,0.0,176.97,0.38,30.3,1.4,0.58,0.44,3.68,16.8,13.68,11.55,11-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
11-Nov-2020 - 00:00,59.37,157.97,66.48,22.96,0.61,201.57,0.0,126.14,0.31,21.06,0.77,0.28,0.25,6.04,15.69,15.17,11.38,12-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
12-Nov-2020 - 00:00,54.92,117.7,74.46,25.68,0.63,172.52,0.0,104.31,0.34,14.28,0.94,0.65,0.62,6.88,14.66,14.78,11.48,13-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
13-Nov-2020 - 00:00,26.21,112.72,73.23,27.14,0.64,126.72,0.0,63.09,0.35,9.91,0.63,0.55,0.46,3.46,15.51,14.78,9.96,14-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
14-Nov-2020 - 00:00,36.43,131.21,70.72,26.21,0.65,143.88,0.0,73.5,0.5,16.74,0.73,0.41,0.44,1.46,16.36,12.34,9.55,15-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
15-Nov-2020 - 00:00,54.54,151.85,72.08,25.46,0.61,152.54,0.0,89.67,0.59,23.29,0.9,0.35,0.32,6.77,13.02,13.35,10.5,16-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
16-Nov-2020 - 00:00,37.84,455.55,74.86,26.11,0.61,149.3,0.0,72.68,0.75,16.22,1.69,0.44,0.47,7.85,14.13,11.61,11.78,17-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
17-Nov-2020 - 00:00,40.35,518.88,74.01,26.63,0.57,122.21,0.0,79.95,0.69,15.81,0.49,0.32,0.4,8.2,20.25,10.48,16.02,18-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
18-Nov-2020 - 00:00,32.47,482.51,68.53,26.37,0.98,139.05,0.0,65.28,0.54,30.63,0.32,0.17,0.18,3.42,10.01,14.04,7.09,19-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
19-Nov-2020 - 00:00,26.45,587.82,74.65,26.88,0.83,133.14,0.0,87.94,0.55,33.29,0.14,0.1,0.04,1.81,8.94,12.97,5.55,20-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
20-Nov-2020 - 00:00,30.3,580.22,75.15,27.26,0.95,151.59,0.0,60.11,0.56,27.62,0.27,0.12,0.04,1.48,11.34,11.23,6.79,21-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
21-Nov-2020 - 00:00,49.88,436.48,76.97,26.23,0.81,110.17,0.0,89.33,0.65,39.95,0.51,0.15,0.07,1.55,15.54,10.52,9.1,22-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
22-Nov-2020 - 00:00,63.11,430.94,62.6,24.03,0.68,142.73,0.0,111.83,0.69,43.3,0.98,0.34,0.26,2.49,22.54,9.16,13.72,23-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
23-Nov-2020 - 00:00,64.14,392.19,65.55,22.82,0.61,167.08,0.0,124.34,0.79,32.48,0.99,0.4,0.34,3.07,24.78,9.69,14.82,24-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
24-Nov-2020 - 00:00,68.76,293.49,64.94,22.77,0.64,121.4,0.0,130.67,0.78,35.63,0.92,0.42,0.44,1.94,23.72,11.68,13.69,25-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
25-Nov-2020 - 00:00,71.48,234.49,63.14,23.03,0.69,137.26,0.0,129.54,0.7,41.87,0.84,0.21,0.13,2.32,23.54,11.34,13.95,26-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
26-Nov-2020 - 00:00,71.82,247.11,61.94,24.09,0.88,141.92,0.0,128.39,0.71,46.76,0.93,0.2,0.08,2.06,18.01,12.3,10.86,27-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
27-Nov-2020 - 00:00,40.05,265.21,61.21,23.46,1.36,73.54,0.0,89.35,0.57,29.37,0.41,0.17,0.16,4.97,24.96,10.3,16.14,28-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
28-Nov-2020 - 00:00,29.92,221.34,67.12,24.41,0.9,92.1,0.0,69.01,0.6,24.6,0.45,0.14,0.08,5.65,19.26,11.55,13.46,29-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
29-Nov-2020 - 00:00,44.44,314.67,61.18,26.35,0.69,119.91,0.0,90.19,0.79,28.01,0.95,0.31,0.22,4.79,21.75,12.3,14.3,30-Nov-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
30-Nov-2020 - 00:00,47.73,252.4,61.41,25.52,0.61,136.04,0.0,108.75,0.76,28.6,1.13,0.63,0.61,4.17,27.07,11.25,17.32,01-Dec-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
01-Dec-2020 - 00:00,41.78,,84.35,21.37,0.39,178.99,0.0,136.47,0.66,9.72,0.72,0.41,0.84,1.63,23.14,12.36,12.1,02-Dec-2020 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
