from date,AT,BP,PM2.5,PM10,RF,RH,SR,Temp,WD,WS,VWS,Benzene,Toluene,Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
15-Jan-2020 - 00:00,23.55,709.06,65.8,119.78,0.0,61.6,75.4,30.8,171.76,0.97,-3.07,1.26,3.73,0.38,0.78,18.65,5.05,53.43,32.53,26.1,2.15,16-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
16-Jan-2020 - 00:00,24.83,709.11,55.89,103.14,0.0,56.49,85.1,30.79,205.59,0.98,-3.1,0.67,1.87,0.11,0.78,18.15,6.83,51.87,33.13,26.85,2.19,17-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
17-Jan-2020 - 00:00,23.9,709.08,46.77,87.39,0.0,62.93,64.27,30.64,178.04,0.9,-3.04,0.07,0.41,0.01,0.67,17.22,9.55,51.48,35.15,21.56,1.32,18-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
18-Jan-2020 - 00:00,24.15,709.11,57.74,100.66,0.0,65.29,61.29,30.64,156.95,1.07,-3.02,0.19,1.51,0.04,0.93,16.52,10.07,53.85,36.83,19.93,2.04,19-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
19-Jan-2020 - 00:00,24.96,709.07,53.43,93.41,0.0,62.15,68.85,30.73,172.49,0.82,-3.02,0.46,1.21,0.13,0.75,15.27,7.96,47.62,31.81,22.94,1.35,20-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
20-Jan-2020 - 00:00,24.94,709.08,57.65,103.91,0.0,62.75,69.45,30.71,162.75,0.97,-3.03,0.49,1.86,0.14,0.85,14.97,9.98,51.69,35.6,21.31,1.75,21-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
21-Jan-2020 - 00:00,24.77,709.07,55.75,114.4,0.0,58.82,73.4,30.68,169.18,0.98,-3.06,0.62,3.49,0.2,0.82,14.37,9.99,56.51,38.18,21.59,2.04,22-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
22-Jan-2020 - 00:00,24.24,709.07,56.3,109.04,0.0,61.54,74.56,30.68,173.29,0.9,-3.06,0.36,2.5,0.13,0.86,15.43,9.62,53.23,36.12,21.54,1.94,23-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
23-Jan-2020 - 00:00,23.78,709.09,69.77,123.21,0.0,62.51,74.38,30.65,163.44,0.84,-3.04,0.24,1.55,0.06,0.94,15.79,9.01,55.86,37.03,21.36,1.63,24-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
24-Jan-2020 - 00:00,23.74,709.11,70.96,134.8,0.0,59.04,75.11,30.67,143.58,0.71,-3.08,0.56,2.7,0.1,1.02,16.01,11.66,59.66,41.21,20.2,2.06,25-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
25-Jan-2020 - 00:00,24.12,709.04,79.17,156.02,0.0,61.26,68.83,30.67,128.97,0.56,-3.05,0.25,1.76,0.03,1.33,19.09,12.95,60.8,42.86,25.33,2.41,26-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
26-Jan-2020 - 00:00,24.74,709.06,78.96,161.57,0.0,59.7,66.04,30.65,154.86,0.51,-3.07,0.22,1.06,0.03,1.13,20.33,11.19,57.7,39.8,30.78,1.87,27-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
27-Jan-2020 - 00:00,25.0,709.12,72.97,136.14,0.0,57.74,72.82,30.74,187.91,0.69,-3.08,0.74,5.47,0.27,0.94,20.0,8.88,58.02,38.09,23.06,1.74,28-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
28-Jan-2020 - 00:00,25.23,709.07,69.28,117.98,0.0,57.68,63.26,30.73,267.08,0.68,-3.08,0.68,8.09,0.12,0.58,21.26,4.01,40.69,24.91,35.54,1.31,29-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
29-Jan-2020 - 00:00,25.3,709.08,66.41,136.02,0.0,58.65,66.7,30.34,246.11,0.64,-3.07,0.3,1.77,0.07,0.84,20.14,6.98,43.22,28.66,27.2,1.8,30-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
30-Jan-2020 - 00:00,25.02,709.14,74.86,146.6,0.0,58.53,64.44,30.63,111.93,0.76,-3.08,0.05,0.23,0.0,0.81,20.52,4.38,51.48,30.94,36.05,1.67,31-Jan-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
31-Jan-2020 - 00:00,24.69,709.46,73.82,145.26,0.0,59.04,59.41,30.68,127.54,1.35,-3.12,0.21,1.83,0.0,0.77,19.23,7.89,60.7,38.69,24.32,2.21,01-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
01-Feb-2020 - 00:00,25.05,709.4,53.47,109.08,0.0,59.18,64.69,30.7,185.6,1.1,-3.08,0.19,1.04,0.06,0.56,17.46,9.16,49.2,33.62,20.95,1.48,02-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
02-Feb-2020 - 00:00,24.56,709.65,53.98,109.12,0.0,64.38,52.89,30.45,170.45,1.17,-3.03,0.08,0.24,0.0,0.72,16.94,8.37,45.24,30.87,19.65,1.63,03-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
03-Feb-2020 - 00:00,24.69,709.69,47.49,94.34,0.0,63.08,68.0,30.46,172.4,0.96,-3.02,0.44,2.02,0.12,0.67,15.13,10.53,45.15,32.58,19.0,1.36,04-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
04-Feb-2020 - 00:00,25.43,709.34,43.26,87.25,0.0,54.82,77.32,30.83,207.77,1.02,-3.09,0.37,1.02,0.08,0.76,13.71,8.28,45.12,30.74,20.42,1.37,05-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
05-Feb-2020 - 00:00,22.68,709.75,43.88,73.92,0.0,71.28,28.45,30.23,175.15,0.73,-2.93,0.0,0.01,0.0,0.51,14.2,9.76,41.74,30.12,16.17,1.11,06-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
06-Feb-2020 - 00:00,27.69,709.02,42.04,96.39,0.0,44.0,95.75,31.0,234.85,0.94,-3.18,0.08,0.37,0.0,0.62,10.43,6.59,124.69,73.6,24.49,2.38,07-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
07-Feb-2020 - 00:00,25.27,709.0,48.07,97.69,0.0,59.65,73.83,29.44,233.7,1.03,-3.08,0.1,0.47,0.01,0.59,4.87,5.28,56.17,34.17,25.59,1.52,08-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
08-Feb-2020 - 00:00,24.65,709.0,54.93,97.52,0.12,66.35,52.01,29.07,187.58,0.91,-3.01,0.19,0.69,0.05,0.74,7.01,8.24,50.88,33.76,21.72,1.66,09-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
09-Feb-2020 - 00:00,21.92,709.0,60.65,93.07,0.0,75.4,28.58,28.36,114.11,1.33,-3.06,0.03,0.1,0.0,0.88,9.87,12.75,46.84,35.28,15.9,1.81,10-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
10-Feb-2020 - 00:00,22.92,708.93,54.54,91.08,0.0,71.39,53.47,28.34,153.68,1.3,-3.12,0.15,0.91,0.01,0.77,10.27,8.89,51.52,34.63,20.2,1.79,11-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
11-Feb-2020 - 00:00,23.98,708.78,58.49,104.2,0.0,65.45,68.64,28.61,153.36,1.12,-3.16,0.14,1.19,0.02,0.85,11.02,8.26,56.55,36.8,24.27,1.88,12-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
12-Feb-2020 - 00:00,24.01,708.56,69.22,120.05,0.0,66.15,72.24,28.95,139.01,0.98,-3.13,0.4,2.98,0.15,1.07,11.51,11.27,60.09,41.13,23.37,2.42,13-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
13-Feb-2020 - 00:00,24.64,708.94,74.77,146.53,0.0,55.35,88.59,30.06,120.17,0.77,-3.18,1.07,5.6,0.45,1.04,12.82,10.08,60.73,40.5,23.89,2.28,14-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
14-Feb-2020 - 00:00,23.7,707.77,74.24,156.77,0.0,54.5,86.98,31.02,150.71,0.52,-3.17,2.12,20.93,1.16,1.44,15.27,23.21,66.56,54.28,24.86,3.25,15-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
15-Feb-2020 - 00:00,22.84,707.1,76.41,158.36,0.0,57.86,111.07,30.21,138.67,0.5,-3.17,3.43,50.4,1.71,1.49,15.88,36.51,60.19,61.71,24.27,1.96,16-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
16-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
17-Feb-2020 - 00:00,27.23,708.1,73.85,159.15,0.0,46.48,63.52,32.77,110.78,0.84,-3.16,2.14,12.98,0.99,1.43,21.92,3.07,87.5,43.02,16.84,5.61,18-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
18-Feb-2020 - 00:00,25.37,708.93,66.38,137.85,0.0,47.7,91.04,35.73,99.24,0.75,-3.17,1.11,12.25,9.75,1.06,36.0,3.12,69.27,39.24,32.65,2.47,19-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
19-Feb-2020 - 00:00,21.78,711.1,69.22,123.9,0.0,68.65,36.92,55.22,217.38,0.41,-2.7,0.87,2.46,7.73,1.16,79.71,3.36,84.44,47.61,18.92,0.69,20-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
20-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
21-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
22-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
23-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
24-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
25-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
26-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
27-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
28-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,29-Feb-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
29-Feb-2020 - 00:00,26.2,707.0,58.74,131.39,0.05,51.5,246.0,27.25,230.5,1.35,-2.75,1.96,13.6,1.53,1.36,15.21,2.91,54.08,28.25,25.75,1.61,01-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
01-Mar-2020 - 00:00,,,57.22,109.77,0.0,,,,,,,1.68,6.81,1.16,1.2,16.41,2.56,47.58,27.24,28.47,1.53,02-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
02-Mar-2020 - 00:00,28.25,707.84,61.99,118.8,0.0,46.74,102.3,29.26,174.62,1.06,-3.22,1.81,8.42,1.12,1.12,15.55,2.58,43.61,25.15,31.84,2.36,03-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
03-Mar-2020 - 00:00,26.9,708.16,64.06,113.72,0.0,54.49,77.51,28.42,219.99,0.69,-3.2,1.48,6.76,0.93,0.98,16.43,2.52,38.9,22.68,29.78,1.41,04-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
04-Mar-2020 - 00:00,26.71,708.62,58.69,108.67,0.0,53.51,74.11,30.5,252.15,0.57,-3.16,1.57,9.83,1.03,0.87,17.33,2.62,35.62,20.98,27.66,1.43,05-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
05-Mar-2020 - 00:00,25.49,706.24,64.91,140.09,0.0,52.66,74.58,29.32,226.01,0.71,-3.18,2.38,14.42,1.03,1.17,16.5,2.51,46.01,26.43,32.53,1.89,06-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
06-Mar-2020 - 00:00,25.95,705.76,48.73,93.29,0.0,58.97,75.66,29.58,241.34,1.0,-3.07,1.1,6.49,0.54,0.73,16.37,2.62,30.09,18.12,25.81,1.16,07-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
07-Mar-2020 - 00:00,25.74,705.99,52.48,93.57,0.0,64.95,61.96,30.12,191.24,0.93,-3.01,1.21,7.37,0.6,0.84,15.19,2.62,36.83,21.65,25.47,1.6,08-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
08-Mar-2020 - 00:00,25.21,705.86,50.35,87.96,0.03,66.92,55.4,30.14,171.7,1.08,-2.97,1.29,5.33,0.81,0.84,13.92,2.57,37.87,22.17,24.67,2.43,09-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
09-Mar-2020 - 00:00,24.9,706.44,53.04,96.97,0.01,65.17,52.2,30.42,166.58,0.93,-2.98,1.82,11.57,1.19,0.99,13.46,2.49,40.38,23.35,20.12,2.54,10-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
10-Mar-2020 - 00:00,26.29,706.04,37.82,74.76,0.0,57.75,84.71,30.56,206.4,0.88,-3.08,1.41,6.14,0.88,0.74,12.3,2.56,34.83,20.46,22.74,2.07,11-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
11-Mar-2020 - 00:00,26.11,705.77,43.43,87.26,0.0,61.88,58.85,30.49,184.35,0.83,-3.08,1.27,5.24,0.76,0.74,12.65,2.59,38.29,22.34,22.66,2.11,12-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
12-Mar-2020 - 00:00,25.84,705.81,53.97,119.12,0.0,64.36,64.74,30.62,145.32,1.0,-3.06,1.41,9.31,0.81,0.95,13.46,2.54,43.64,25.15,21.68,3.08,13-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
13-Mar-2020 - 00:00,26.74,705.7,42.99,94.4,0.0,56.15,97.62,30.55,202.61,1.21,-3.1,0.8,3.41,0.47,0.68,12.29,2.5,38.46,22.38,21.95,2.53,14-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
14-Mar-2020 - 00:00,26.43,706.08,47.61,97.17,0.0,57.67,63.19,30.39,200.12,0.92,-3.1,1.3,8.02,0.82,0.84,11.88,2.55,37.84,22.12,22.92,2.26,15-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
15-Mar-2020 - 00:00,26.0,705.71,46.77,101.24,0.0,54.93,97.8,30.22,149.18,1.28,-3.13,1.15,5.41,0.67,0.79,11.37,2.66,39.54,23.05,22.23,2.02,16-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
16-Mar-2020 - 00:00,26.24,705.67,46.34,90.04,0.0,56.05,97.94,30.31,164.39,1.19,-3.11,1.36,7.53,0.93,0.84,11.05,2.49,39.06,22.71,19.83,2.11,17-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
17-Mar-2020 - 00:00,27.28,705.66,38.45,85.75,0.0,47.78,98.27,30.62,178.39,1.09,-3.15,1.57,9.33,1.08,0.79,10.59,2.5,41.34,23.93,19.52,1.72,18-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
18-Mar-2020 - 00:00,27.31,705.83,41.36,83.67,0.0,46.68,94.78,30.74,197.88,0.8,-3.16,1.61,6.82,1.15,0.78,10.69,2.55,40.79,23.7,23.34,1.9,19-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
19-Mar-2020 - 00:00,26.33,706.49,61.79,114.4,0.08,58.23,54.19,30.16,154.71,0.77,-3.04,1.85,10.92,1.13,0.92,11.99,2.57,46.27,26.64,24.98,1.7,20-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
20-Mar-2020 - 00:00,25.99,705.74,50.3,94.55,0.04,57.9,75.76,30.61,200.74,0.72,-3.01,1.29,6.84,0.69,0.82,12.22,2.5,44.11,25.38,26.12,2.82,21-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
21-Mar-2020 - 00:00,26.76,707.42,58.69,120.8,0.0,57.42,96.96,30.31,170.97,0.59,-3.1,1.22,6.06,0.7,0.9,12.99,2.59,42.12,24.37,30.03,1.91,22-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
22-Mar-2020 - 00:00,27.29,707.38,45.22,79.16,0.0,56.25,97.16,30.93,150.92,0.79,-3.12,0.58,2.59,0.29,0.54,13.35,2.55,28.91,17.32,30.18,1.81,23-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
23-Mar-2020 - 00:00,27.27,707.72,49.42,77.86,0.0,58.11,93.95,30.51,154.34,1.12,-3.13,0.64,4.55,0.31,0.5,13.43,2.48,25.22,15.34,29.07,1.67,24-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
24-Mar-2020 - 00:00,27.63,707.78,37.98,,0.0,54.05,96.72,30.53,153.58,1.01,-3.14,0.46,3.62,0.25,0.57,12.07,2.63,22.84,14.22,28.91,1.77,25-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
25-Mar-2020 - 00:00,27.84,708.03,36.79,72.88,0.0,50.36,98.78,30.78,159.33,1.0,-3.15,0.24,1.3,0.15,0.42,11.35,2.56,21.51,13.39,29.51,1.04,26-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
26-Mar-2020 - 00:00,27.26,707.92,39.57,70.76,0.0,51.17,99.06,30.71,156.33,1.04,-3.16,0.33,1.03,0.17,0.41,11.27,2.5,22.37,13.77,29.1,1.22,27-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
27-Mar-2020 - 00:00,28.46,707.96,44.6,79.02,0.0,44.59,101.94,31.29,204.06,1.14,-3.17,0.47,1.06,0.26,0.4,11.75,2.51,22.31,13.75,33.12,1.41,28-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
28-Mar-2020 - 00:00,28.13,707.58,47.87,77.55,0.0,43.43,98.82,30.35,168.14,0.81,-3.22,0.47,1.12,0.23,0.44,10.81,2.52,22.2,13.72,34.88,1.35,29-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
29-Mar-2020 - 00:00,28.55,707.29,54.11,88.16,0.0,45.58,93.36,28.17,179.16,0.9,-3.26,0.15,0.4,0.0,0.52,11.4,2.52,21.98,13.59,37.19,1.5,30-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
30-Mar-2020 - 00:00,28.15,707.98,47.81,75.97,0.0,46.64,98.72,29.03,139.65,1.03,-3.3,0.07,0.17,0.01,0.5,10.03,2.56,24.2,14.85,40.51,1.95,31-Mar-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
31-Mar-2020 - 00:00,28.46,707.85,55.5,84.79,0.0,48.89,95.91,30.28,173.94,0.75,-3.24,0.36,1.54,0.29,0.56,12.28,2.57,22.28,13.86,40.64,2.24,01-Apr-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
01-Apr-2020 - 00:00,28.61,707.08,62.52,95.97,0.0,48.43,74.27,27.09,145.68,0.5,-3.29,0.1,0.26,0.04,0.58,12.6,2.52,20.19,12.7,36.92,1.04,02-Apr-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
02-Apr-2020 - 00:00,28.73,707.07,59.45,91.78,0.0,48.4,84.57,27.06,177.64,0.79,-3.28,0.04,0.1,0.0,0.62,13.84,2.54,20.08,12.67,35.42,1.11,03-Apr-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
03-Apr-2020 - 00:00,27.11,707.12,53.94,76.88,0.0,49.38,8.0,27.06,119.12,1.19,-3.29,0.49,0.33,0.16,0.51,15.01,2.65,18.26,11.87,30.29,1.98,04-Apr-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
04-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Apr-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
05-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Apr-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
06-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Apr-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
07-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Apr-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
08-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Apr-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
09-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Apr-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
10-Apr-2020 - 00:00,,,39.1,,0.0,,,,,,,0.59,1.88,1.25,0.33,13.38,2.6,23.81,13.68,10.68,3.21,11-Apr-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
11-Apr-2020 - 00:00,,,35.4,,0.0,,,,,,,0.73,2.21,1.0,0.12,16.4,2.64,28.74,16.97,12.97,2.17,12-Apr-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
12-Apr-2020 - 00:00,,,45.55,,0.0,,,,,,,1.19,7.97,0.68,0.14,17.42,2.6,26.59,15.97,13.95,1.86,13-Apr-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
13-Apr-2020 - 00:00,,,46.06,,0.0,,,,,,,0.91,3.08,0.42,0.11,17.82,2.68,25.84,15.51,13.29,1.69,14-Apr-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
14-Apr-2020 - 00:00,37.48,708.91,48.55,,0.0,32.38,270.17,29.16,184.67,0.95,-2.94,0.85,2.89,0.4,0.27,16.97,2.55,25.2,15.46,30.81,2.82,15-Apr-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
15-Apr-2020 - 00:00,37.5,708.85,45.76,,0.0,39.69,234.05,29.05,188.0,0.8,-3.05,0.74,3.31,0.38,0.54,18.98,2.54,24.08,14.87,42.69,4.44,16-Apr-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
16-Apr-2020 - 00:00,37.47,708.74,47.59,,0.0,44.7,224.55,29.39,241.67,0.61,-3.0,0.83,3.42,0.29,0.49,19.61,2.63,23.7,14.73,42.4,3.74,17-Apr-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
17-Apr-2020 - 00:00,37.4,709.0,49.55,,0.01,47.82,187.33,29.86,232.09,0.56,-2.96,0.9,3.02,0.9,0.76,18.49,2.59,42.26,24.58,19.74,4.32,18-Apr-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
18-Apr-2020 - 00:00,37.37,709.07,48.79,,0.0,52.17,140.82,29.76,198.89,0.74,-2.93,0.9,3.27,0.82,0.68,17.39,2.6,42.72,24.84,18.81,4.04,19-Apr-2020 - 00:00,"Zoo Park, Hyderabad - TSPCB"
