from date,Benzene,Eth-Benzene,Toluene,BP,PM2.5,PM10,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
20-Feb-2020 - 00:00,4.54,3.7,7.39,717.91,47.69,124.01,0.0,37.76,23.03,202.13,2.15,0.59,39.72,15.64,36.56,52.2,48.93,9.38,21-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Feb-2020 - 00:00,2.29,0.84,2.67,721.44,63.69,119.26,0.0,47.83,19.51,280.81,2.97,0.78,29.04,4.09,19.35,23.44,70.53,7.39,22-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Feb-2020 - 00:00,3.27,2.06,4.18,723.93,45.12,88.91,0.0,64.63,18.69,121.82,2.51,0.79,26.73,7.24,24.75,31.99,52.43,5.63,23-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Feb-2020 - 00:00,4.48,0.74,4.53,722.89,58.16,111.07,0.0,68.6,19.04,89.47,1.92,0.7,18.73,12.27,23.89,36.37,50.39,2.48,24-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Feb-2020 - 00:00,4.22,1.0,5.87,720.81,44.06,95.3,0.0,52.19,20.6,206.22,2.04,0.55,16.09,17.36,29.38,46.74,47.42,4.9,25-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Feb-2020 - 00:00,5.1,1.62,9.4,720.02,50.17,113.69,0.0,45.78,21.21,195.7,1.97,0.91,25.48,26.85,34.17,61.02,43.67,5.6,26-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Feb-2020 - 00:00,6.05,2.35,27.97,719.95,52.86,129.12,0.0,39.97,22.45,196.57,2.7,0.76,25.33,30.93,37.14,68.06,34.02,4.65,27-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Feb-2020 - 00:00,6.64,2.62,32.32,719.77,54.09,141.4,0.0,36.64,23.7,200.33,2.66,0.84,25.32,31.92,34.81,66.73,33.9,4.5,28-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Feb-2020 - 00:00,4.72,2.33,25.22,718.27,62.19,139.0,0.0,39.42,24.8,174.68,2.4,0.67,28.56,23.04,36.13,59.16,30.43,4.39,29-Feb-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Feb-2020 - 00:00,4.87,1.99,7.96,717.43,58.69,128.52,0.0,47.06,24.33,185.38,1.86,1.19,22.82,13.47,32.8,46.27,48.69,5.47,01-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Mar-2020 - 00:00,1.33,0.3,2.57,718.85,31.28,73.18,0.0,54.73,22.75,117.0,2.86,0.9,20.67,5.59,14.93,20.52,73.91,4.65,02-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Mar-2020 - 00:00,4.01,18.53,5.67,719.02,40.37,79.83,0.0,55.19,23.17,108.82,2.51,0.9,17.06,10.1,22.06,32.16,53.52,5.39,03-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Mar-2020 - 00:00,3.11,1.91,3.75,718.11,40.64,96.97,0.0,50.61,23.57,154.88,2.83,0.5,25.86,6.38,18.52,24.9,71.04,4.66,04-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Mar-2020 - 00:00,3.03,1.88,5.54,716.67,36.4,82.98,0.0,41.69,23.9,201.41,2.68,0.68,25.93,7.25,23.84,31.09,50.82,4.7,05-Mar-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
