from date,Benzene,Eth-Benzene,Toluene,BP,PM2.5,PM10,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
10-Aug-2020 - 00:00,0.76,1.22,1.01,712.23,18.51,30.48,0.07,86.32,28.29,250.73,0.81,0.68,18.62,2.02,9.56,11.58,21.56,8.04,11-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Aug-2020 - 00:00,0.56,1.12,0.88,712.77,23.62,50.12,0.0,85.78,27.98,238.47,0.84,0.7,19.96,2.12,11.8,13.92,16.28,9.14,12-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Aug-2020 - 00:00,0.56,1.13,0.88,712.35,23.71,48.39,0.0,78.29,29.24,233.77,1.16,0.7,18.79,1.98,12.61,14.59,17.8,7.38,13-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Aug-2020 - 00:00,0.56,1.12,0.88,710.96,24.14,55.61,0.0,79.45,29.18,251.02,1.04,0.73,18.19,2.01,10.55,12.56,16.29,9.03,14-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Aug-2020 - 00:00,0.59,1.07,0.86,710.25,24.51,47.22,0.07,89.26,27.44,240.51,0.86,0.82,21.78,4.04,19.87,23.91,9.36,9.6,15-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Aug-2020 - 00:00,0.56,1.12,0.88,709.94,19.14,42.44,0.12,88.51,28.15,235.43,0.77,0.79,22.8,2.21,13.73,15.94,13.7,7.59,16-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Aug-2020 - 00:00,0.56,1.12,0.88,710.96,27.7,60.86,0.01,88.98,28.34,240.8,0.69,0.84,21.78,2.57,14.59,17.16,16.48,10.36,17-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Aug-2020 - 00:00,0.56,1.12,0.88,711.31,30.17,65.11,0.0,82.23,29.57,228.3,0.59,0.89,20.8,2.38,14.28,16.66,19.64,8.51,18-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Aug-2020 - 00:00,0.56,1.13,0.88,712.18,27.64,69.96,0.0,88.14,28.82,248.36,0.89,0.86,25.48,2.43,15.35,17.78,12.59,8.24,19-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Aug-2020 - 00:00,0.56,1.11,0.87,712.33,26.82,67.39,0.19,86.86,27.84,223.62,1.32,0.73,22.8,2.17,9.86,12.02,18.42,9.8,20-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Aug-2020 - 00:00,0.78,0.79,0.99,712.97,25.56,46.62,0.0,85.43,27.53,183.79,0.73,0.71,23.2,1.9,11.04,12.94,23.71,8.0,21-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Aug-2020 - 00:00,0.9,0.63,1.05,713.6,20.35,37.5,0.0,81.0,28.84,49.92,0.74,0.66,23.77,1.43,9.65,11.06,20.46,7.77,22-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Aug-2020 - 00:00,0.91,0.86,1.09,712.72,19.32,39.5,0.0,83.57,28.09,75.91,1.32,0.59,23.54,0.82,8.2,8.99,22.99,5.12,23-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Aug-2020 - 00:00,1.13,1.42,1.34,711.57,17.42,38.38,0.0,85.92,27.44,77.2,1.41,0.6,16.71,0.71,7.6,8.29,23.12,3.71,24-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Aug-2020 - 00:00,1.11,1.43,1.35,711.36,14.26,34.6,0.15,92.91,26.78,156.83,1.16,0.7,18.36,1.53,9.55,11.06,18.91,6.55,25-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Aug-2020 - 00:00,1.13,1.43,1.35,714.16,22.19,44.25,0.07,92.1,26.3,194.22,1.02,0.8,17.59,2.33,12.92,15.23,18.06,5.7,26-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Aug-2020 - 00:00,1.11,1.42,1.34,716.13,21.11,56.0,0.0,82.26,27.13,224.47,1.21,0.74,18.06,2.76,11.67,14.37,18.3,6.2,27-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Aug-2020 - 00:00,1.1,1.42,1.36,715.75,21.86,56.21,0.0,77.1,28.17,246.61,1.04,0.66,18.51,2.89,13.84,16.72,18.14,6.48,28-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Aug-2020 - 00:00,1.11,1.43,1.35,714.06,20.68,47.32,0.0,73.94,28.91,257.05,0.84,0.55,21.46,1.99,11.06,13.02,22.14,5.12,29-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Aug-2020 - 00:00,1.12,1.44,1.34,713.29,26.41,52.29,0.36,88.85,27.08,239.01,1.03,0.77,17.92,3.26,13.86,17.08,18.21,9.37,30-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-Aug-2020 - 00:00,1.12,1.43,1.33,711.79,18.66,31.38,0.16,96.96,25.83,174.54,1.02,0.77,18.95,4.74,11.02,15.76,16.37,6.96,31-Aug-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
31-Aug-2020 - 00:00,1.12,1.41,1.33,713.56,16.15,33.84,0.12,91.33,25.73,187.72,1.34,0.71,21.46,3.49,12.65,16.56,20.29,9.6,01-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Sep-2020 - 00:00,1.11,1.43,1.34,716.14,13.23,32.49,0.01,86.97,25.62,217.0,1.42,0.64,16.54,0.83,11.33,13.12,31.87,5.59,02-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Sep-2020 - 00:00,1.11,1.43,1.34,717.94,26.5,60.18,0.0,85.49,27.25,250.27,0.81,0.75,17.46,2.88,18.29,22.16,16.4,3.87,03-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Sep-2020 - 00:00,1.13,1.45,1.34,717.67,27.25,55.31,0.29,95.57,26.3,261.68,0.55,0.87,19.57,1.8,16.98,19.75,11.86,6.33,04-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Sep-2020 - 00:00,1.12,1.42,1.36,717.06,22.45,46.21,0.0,91.51,26.48,254.77,0.72,0.75,17.7,1.14,11.69,13.81,19.86,4.12,05-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Sep-2020 - 00:00,1.13,1.43,1.36,716.31,17.06,44.28,0.0,82.16,27.47,226.98,1.13,0.66,17.47,1.21,15.03,17.22,26.15,6.27,06-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Sep-2020 - 00:00,1.14,1.44,1.34,716.75,21.18,36.87,0.51,85.65,27.52,181.13,1.35,0.77,16.34,0.88,15.28,17.13,25.7,6.77,07-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Sep-2020 - 00:00,1.12,1.41,1.35,716.67,23.08,47.15,0.0,90.89,26.87,14.39,2.37,0.91,23.83,1.72,17.25,19.55,13.98,6.52,08-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Sep-2020 - 00:00,1.11,1.43,1.36,716.6,21.82,51.26,0.0,79.37,28.0,33.34,2.24,0.7,18.1,1.59,12.94,14.51,20.23,3.25,09-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Sep-2020 - 00:00,1.25,1.44,1.4,716.63,24.9,58.04,0.0,78.04,29.18,207.74,0.49,0.79,19.92,2.74,17.53,20.27,15.42,5.14,10-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Sep-2020 - 00:00,1.13,1.42,1.35,715.25,32.89,66.41,0.0,74.83,29.91,160.0,0.2,0.91,23.19,4.93,18.91,23.84,17.91,7.25,11-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Sep-2020 - 00:00,1.13,1.43,1.35,715.16,28.49,58.25,0.0,77.88,29.81,144.69,0.16,0.87,24.67,4.05,19.39,23.42,15.52,7.42,12-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Sep-2020 - 00:00,1.12,1.43,1.34,716.73,26.07,60.29,0.0,72.44,30.52,94.58,0.23,0.89,25.99,4.59,20.38,24.96,17.55,7.88,13-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Sep-2020 - 00:00,1.13,1.44,1.34,716.73,34.85,75.51,0.0,67.79,30.91,100.8,0.17,0.91,25.68,3.21,21.92,25.12,22.98,7.33,14-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Sep-2020 - 00:00,1.32,1.09,0.63,716.04,33.48,70.88,0.0,68.93,30.45,126.95,0.21,0.96,27.72,2.42,20.26,22.67,24.13,7.24,15-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Sep-2020 - 00:00,1.41,0.93,0.34,715.87,34.25,68.23,0.0,67.15,31.49,222.09,0.5,0.76,23.55,0.97,12.89,13.8,32.63,7.21,16-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Sep-2020 - 00:00,1.38,0.92,0.34,715.79,30.69,99.68,0.0,57.23,31.57,271.11,0.91,0.63,22.26,0.86,8.95,9.78,39.26,7.75,17-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Sep-2020 - 00:00,1.41,0.93,0.34,715.8,35.41,58.28,0.0,62.92,31.36,244.4,0.95,0.77,18.06,0.8,10.98,11.77,35.73,8.03,18-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Sep-2020 - 00:00,1.32,1.34,0.98,715.22,29.34,55.58,0.0,66.03,30.87,252.66,1.15,0.63,16.01,0.9,10.5,11.38,28.62,8.53,19-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Sep-2020 - 00:00,1.11,1.41,1.35,714.57,22.42,47.95,0.04,72.36,30.04,220.25,0.72,0.76,16.3,1.95,13.5,15.39,20.79,8.81,20-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Sep-2020 - 00:00,1.13,1.43,1.33,713.79,25.28,48.81,0.0,64.12,31.08,235.11,0.63,0.77,22.61,1.62,14.95,16.57,20.63,8.21,21-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Sep-2020 - 00:00,1.14,1.42,1.34,713.18,33.7,72.43,0.0,56.33,29.96,156.32,0.49,0.88,23.34,2.9,21.82,24.71,32.48,8.69,22-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Sep-2020 - 00:00,1.13,1.41,1.33,712.96,35.02,93.48,0.0,48.07,30.48,119.66,0.57,0.92,22.12,2.11,20.84,22.94,44.98,8.82,23-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Sep-2020 - 00:00,1.13,1.08,0.97,712.88,36.4,78.46,0.0,56.85,31.03,173.95,0.42,0.91,26.28,2.25,19.22,21.47,31.08,8.45,24-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Sep-2020 - 00:00,1.08,0.79,0.58,714.9,26.89,62.84,0.0,56.65,31.12,229.61,1.11,0.66,22.05,1.37,14.66,16.03,42.82,9.23,25-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Sep-2020 - 00:00,1.11,0.8,0.59,715.6,33.12,68.61,0.0,59.27,30.69,235.49,1.15,0.66,18.02,1.07,14.38,15.44,37.68,8.19,26-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Sep-2020 - 00:00,1.11,0.8,0.6,715.39,33.85,58.24,0.09,71.5,28.07,233.68,1.39,0.66,17.66,1.43,14.13,15.54,32.32,8.55,27-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Sep-2020 - 00:00,1.11,0.81,0.6,717.22,22.26,70.41,0.63,77.49,26.43,225.26,0.67,0.68,19.71,1.46,12.43,13.89,30.23,9.06,28-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Sep-2020 - 00:00,1.14,0.8,0.6,718.0,24.7,72.0,0.0,61.66,28.57,234.11,0.56,0.7,18.88,2.97,19.85,22.82,24.33,8.57,29-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Sep-2020 - 00:00,1.12,0.8,0.6,717.73,26.42,76.27,0.0,57.93,29.14,216.71,0.53,0.66,18.02,4.18,19.16,23.33,30.88,9.15,30-Sep-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-Sep-2020 - 00:00,1.13,0.81,0.59,717.21,28.74,69.04,0.0,53.64,29.15,221.31,0.62,0.85,20.01,3.8,21.65,25.45,30.7,8.51,01-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Oct-2020 - 00:00,1.13,0.8,0.59,717.26,32.43,56.42,0.0,47.95,30.03,236.3,0.72,0.71,20.33,1.17,16.91,18.06,39.33,8.9,02-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Oct-2020 - 00:00,1.12,0.81,0.59,717.33,34.09,67.61,0.0,48.04,29.07,195.05,0.71,0.9,20.55,3.57,21.02,24.59,38.15,8.67,03-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Oct-2020 - 00:00,1.14,0.8,0.59,717.59,31.45,67.6,0.0,47.41,29.33,231.14,0.7,0.75,21.95,1.46,20.56,22.02,30.82,8.33,04-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Oct-2020 - 00:00,1.11,0.81,0.59,718.13,32.55,72.8,0.0,44.9,28.86,204.4,0.72,0.91,20.8,4.31,22.73,27.03,33.45,8.7,05-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Oct-2020 - 00:00,1.13,0.81,0.59,718.18,36.11,72.68,0.0,44.29,27.48,215.64,0.35,1.0,23.28,5.27,30.13,35.38,25.8,8.31,06-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Oct-2020 - 00:00,1.12,0.8,0.59,718.51,45.58,80.3,0.0,45.22,27.59,189.61,0.38,1.07,28.68,11.32,30.99,42.3,25.18,8.43,07-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Oct-2020 - 00:00,1.13,0.8,0.59,719.52,38.26,59.75,0.0,39.26,28.34,121.18,0.33,0.89,25.85,3.97,23.99,27.95,21.55,5.83,08-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Oct-2020 - 00:00,1.12,0.8,0.59,719.77,38.57,80.43,0.0,39.93,27.94,186.7,0.29,0.92,25.65,3.68,28.31,31.97,36.47,1.82,09-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Oct-2020 - 00:00,1.11,0.81,0.59,719.7,34.42,87.37,0.0,38.16,27.59,145.8,0.29,0.81,21.08,6.58,29.45,36.01,38.82,3.6,10-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Oct-2020 - 00:00,1.12,0.81,0.59,718.98,37.2,82.3,0.0,36.69,27.71,156.79,0.31,0.79,20.2,3.4,28.65,32.03,36.2,2.7,11-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Oct-2020 - 00:00,1.12,0.81,0.6,717.67,43.21,82.48,0.0,35.57,27.46,153.5,0.31,0.77,18.96,4.31,28.02,32.3,38.38,2.04,12-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Oct-2020 - 00:00,1.22,1.19,1.01,716.33,40.94,88.77,0.0,35.12,26.83,149.8,0.3,0.87,22.6,8.19,34.74,42.92,33.68,2.83,13-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Oct-2020 - 00:00,1.12,1.42,1.35,716.43,31.01,98.27,0.0,32.85,26.94,207.41,0.3,0.91,19.25,5.1,32.12,37.2,39.53,2.6,14-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Oct-2020 - 00:00,1.13,1.42,1.34,717.45,55.38,95.94,0.0,39.27,27.31,168.79,0.5,0.98,23.1,2.55,27.66,30.2,51.92,4.2,15-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Oct-2020 - 00:00,1.12,1.42,1.36,717.76,79.51,125.86,0.0,48.35,28.09,120.56,0.55,1.07,25.39,1.21,23.91,25.12,69.44,4.27,16-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Oct-2020 - 00:00,1.11,1.43,1.35,717.7,78.01,124.74,0.0,38.86,28.37,121.05,0.54,1.01,20.32,1.13,24.15,25.24,69.18,5.51,17-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Oct-2020 - 00:00,2.38,2.68,2.74,718.13,67.52,117.57,0.0,39.55,28.76,133.67,0.43,1.07,24.53,1.96,32.05,34.0,65.95,4.66,18-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Oct-2020 - 00:00,1.94,2.03,1.76,718.55,83.99,142.54,0.0,39.94,28.58,163.49,0.49,0.86,20.23,1.09,18.53,19.58,84.13,6.86,19-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Oct-2020 - 00:00,1.89,1.99,1.72,718.57,65.1,128.86,0.0,50.08,27.32,178.9,0.32,1.03,26.19,4.65,29.64,34.28,56.51,8.37,20-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Oct-2020 - 00:00,1.92,2.03,1.75,717.98,50.51,107.6,0.0,50.32,28.07,149.73,0.38,0.97,32.61,1.94,29.59,31.51,57.08,11.35,21-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Oct-2020 - 00:00,1.94,2.03,1.73,718.36,53.24,109.4,0.0,54.88,27.58,150.63,0.43,1.11,28.41,1.61,29.69,31.29,58.77,14.47,22-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Oct-2020 - 00:00,1.93,2.04,1.74,717.47,46.54,99.31,0.0,45.66,26.95,175.98,0.35,1.26,24.87,6.05,32.09,38.13,41.58,8.63,23-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Oct-2020 - 00:00,1.94,2.02,1.76,717.72,70.0,123.3,0.0,36.38,26.3,177.94,0.28,1.4,25.51,7.9,34.2,42.09,56.52,7.48,24-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Oct-2020 - 00:00,1.91,2.03,1.75,718.59,75.07,131.87,0.0,36.67,25.51,172.38,0.26,1.72,26.3,5.29,37.11,42.38,46.95,7.04,25-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Oct-2020 - 00:00,1.92,2.04,1.74,720.58,60.07,105.1,0.0,38.45,25.09,166.24,0.34,1.42,27.78,7.75,31.92,39.66,34.79,10.27,26-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Oct-2020 - 00:00,1.92,2.03,1.76,721.88,39.73,96.06,0.0,32.91,25.45,199.54,0.43,1.09,26.29,11.13,30.89,42.02,37.06,10.42,27-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Oct-2020 - 00:00,1.94,2.03,1.75,721.69,105.12,171.33,0.0,35.37,23.21,177.22,0.34,1.53,26.44,10.91,31.67,42.55,51.03,9.51,28-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Oct-2020 - 00:00,1.93,2.04,1.76,721.81,56.66,123.05,0.0,36.0,22.93,143.24,0.27,1.44,30.28,13.86,34.7,48.55,38.0,12.23,29-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Oct-2020 - 00:00,1.92,2.04,1.75,722.19,56.92,115.86,0.0,33.84,22.97,139.9,0.32,1.26,28.67,5.59,32.88,38.46,39.79,20.86,30-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-Oct-2020 - 00:00,1.91,2.04,1.75,722.46,51.56,116.43,0.0,35.27,23.3,146.41,0.34,1.34,31.15,5.44,32.87,38.31,39.89,21.61,31-Oct-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
31-Oct-2020 - 00:00,1.93,2.03,1.75,722.71,75.35,165.73,0.0,36.86,22.64,157.24,0.28,1.37,33.4,9.61,32.42,42.02,44.83,19.73,01-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Nov-2020 - 00:00,1.92,2.03,1.75,723.12,50.48,115.75,0.0,35.4,22.07,161.28,0.34,1.25,34.2,14.24,30.8,45.03,40.94,20.27,02-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Nov-2020 - 00:00,1.92,2.03,1.75,723.59,42.01,111.37,0.0,31.06,21.53,151.95,0.32,1.36,32.94,15.37,33.94,49.3,35.6,20.39,03-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Nov-2020 - 00:00,1.91,2.02,1.76,723.17,63.2,129.2,0.0,33.59,21.43,122.16,0.41,1.38,36.42,21.25,36.74,57.99,33.42,20.75,04-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Nov-2020 - 00:00,1.92,2.02,1.77,722.32,54.98,114.21,0.0,34.53,21.81,120.66,0.32,1.25,32.09,11.98,32.46,44.44,30.97,13.16,05-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Nov-2020 - 00:00,1.93,2.02,1.76,722.66,57.36,119.53,0.0,39.28,22.08,127.48,0.27,1.41,38.22,21.15,45.21,66.36,27.75,5.88,06-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Nov-2020 - 00:00,1.92,2.01,1.77,724.6,62.91,126.68,0.0,41.73,22.49,153.41,0.26,1.24,39.31,20.18,56.3,76.48,33.61,4.47,07-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Nov-2020 - 00:00,1.64,1.86,1.63,725.37,65.92,119.35,0.0,40.36,22.55,138.64,0.26,1.18,29.08,23.06,50.26,73.31,36.8,5.08,08-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Nov-2020 - 00:00,1.12,1.42,1.35,725.47,85.14,133.53,0.0,39.27,22.27,154.32,0.27,0.99,21.95,14.5,47.54,62.03,42.06,4.22,09-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Nov-2020 - 00:00,1.12,1.4,1.36,724.47,87.43,124.22,0.0,39.81,22.13,165.58,0.28,1.08,22.97,13.91,47.97,61.87,37.13,4.77,10-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Nov-2020 - 00:00,1.04,1.33,1.21,723.28,97.85,171.76,0.0,37.3,21.43,117.2,0.32,1.08,26.53,8.69,55.1,63.78,42.65,2.89,11-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Nov-2020 - 00:00,1.26,1.0,0.68,724.3,110.69,195.58,0.0,47.14,20.41,122.95,0.39,1.02,27.06,1.99,38.22,40.2,61.65,5.59,12-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Nov-2020 - 00:00,1.29,1.0,0.68,725.61,97.44,164.33,0.0,52.09,20.31,130.95,0.29,1.28,28.93,5.64,43.48,49.12,56.5,6.17,13-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Nov-2020 - 00:00,1.28,1.01,0.68,724.72,81.12,154.23,0.0,56.89,20.4,106.02,0.21,1.22,32.46,8.13,49.46,57.59,41.39,5.34,14-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Nov-2020 - 00:00,1.2,1.0,0.75,722.78,75.65,127.21,0.0,61.45,21.32,122.17,0.31,0.89,32.96,4.72,35.87,40.58,47.59,5.22,15-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Nov-2020 - 00:00,1.66,1.43,1.36,721.58,84.97,140.61,0.0,67.99,22.41,147.07,0.29,0.97,32.74,7.49,34.92,42.41,40.5,5.66,16-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Nov-2020 - 00:00,1.7,1.43,1.36,722.8,47.26,87.51,0.0,73.07,21.13,98.17,0.37,0.63,36.59,4.16,27.94,32.1,35.34,6.15,17-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Nov-2020 - 00:00,1.68,1.43,1.34,722.75,47.69,82.45,0.0,79.98,20.14,70.11,0.62,0.8,33.56,1.87,19.97,22.27,53.59,6.17,18-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Nov-2020 - 00:00,1.7,1.43,1.35,721.45,40.58,88.45,0.0,64.72,19.85,95.82,0.52,0.8,25.52,3.55,31.01,34.53,56.35,5.56,19-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Nov-2020 - 00:00,1.69,1.43,1.33,721.88,47.5,99.23,0.0,64.86,19.44,185.49,0.42,0.83,25.45,5.6,34.92,40.52,54.71,5.8,20-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Nov-2020 - 00:00,1.71,1.44,1.35,723.63,43.86,90.04,0.0,41.38,18.92,145.63,0.47,0.63,19.39,3.35,27.89,31.23,64.67,5.83,21-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Nov-2020 - 00:00,1.7,1.43,1.36,724.28,49.22,90.04,0.0,38.74,17.9,140.39,0.33,0.77,17.8,5.84,30.95,36.93,48.92,6.09,22-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Nov-2020 - 00:00,1.7,1.43,1.33,724.12,44.66,99.29,0.0,43.64,17.55,137.97,0.27,0.87,21.31,8.26,41.52,49.78,35.52,6.65,23-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Nov-2020 - 00:00,1.69,1.42,1.35,723.55,46.12,102.01,0.0,42.66,18.43,133.49,0.31,0.77,22.88,3.58,36.95,40.53,52.2,7.81,24-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Nov-2020 - 00:00,1.59,1.38,1.31,722.88,63.42,104.55,0.0,43.36,19.61,153.74,0.34,0.68,26.55,2.56,35.52,38.06,58.35,4.05,25-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Nov-2020 - 00:00,1.13,1.45,1.35,722.63,63.23,116.54,0.05,47.41,20.12,126.53,0.56,0.71,26.96,3.2,32.97,36.14,85.34,4.24,26-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Nov-2020 - 00:00,1.14,1.41,1.35,724.98,86.02,119.79,0.0,68.95,18.26,89.18,0.64,0.86,40.38,2.82,27.97,30.79,73.4,5.42,27-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Nov-2020 - 00:00,1.12,1.41,1.36,727.52,29.6,63.2,0.0,55.58,18.11,151.84,0.67,0.63,27.16,2.22,21.49,23.7,54.46,5.41,28-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Nov-2020 - 00:00,1.11,1.43,1.35,726.59,52.88,151.25,0.0,50.46,18.27,126.08,0.39,0.89,29.31,6.37,35.52,41.88,47.49,5.94,29-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Nov-2020 - 00:00,1.11,1.44,1.36,725.1,47.27,102.42,0.0,56.61,18.17,138.38,0.26,1.11,33.39,13.49,44.97,58.45,34.33,6.11,30-Nov-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
