from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,Toluene,Xylene,MP-Xylene,RH,WS,WD,SR,RF,to date,station
04-Feb-2020 - 00:00,79.78,149.11,43.86,3.03,23.74,49.63,6.78,1.03,22.07,9.27,2.85,0.84,4.33,7.75,83.55,1.55,119.12,363.01,0.0,05-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
05-Feb-2020 - 00:00,51.92,146.55,27.17,2.62,14.68,42.28,8.08,0.57,18.8,4.99,1.66,0.37,2.24,3.56,80.1,2.52,302.3,427.75,0.0,06-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
06-Feb-2020 - 00:00,46.05,125.59,30.96,2.37,16.35,42.69,7.21,0.61,17.5,5.05,1.72,0.36,2.69,4.67,78.78,1.57,263.61,407.97,0.0,07-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
07-Feb-2020 - 00:00,65.58,147.21,37.15,2.92,20.14,53.97,7.42,0.81,14.26,7.11,1.98,0.5,3.5,5.85,81.24,1.5,242.39,374.41,0.0,08-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
08-Feb-2020 - 00:00,49.32,113.77,24.96,2.73,13.62,42.16,9.25,0.68,20.04,5.01,1.42,0.32,2.16,3.37,83.07,2.19,298.62,419.25,0.0,09-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
09-Feb-2020 - 00:00,69.99,127.5,35.8,2.83,19.37,43.32,5.16,1.0,21.1,8.57,2.3,0.57,3.26,5.68,80.23,1.43,280.01,399.34,0.0,10-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
10-Feb-2020 - 00:00,59.84,150.22,27.39,2.8,15.04,33.75,6.66,0.78,17.34,8.31,4.57,3.25,6.05,7.94,78.7,1.54,296.61,422.53,0.0,11-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
11-Feb-2020 - 00:00,79.82,211.42,24.37,2.88,13.44,32.53,6.29,1.06,22.92,8.06,2.06,0.38,3.16,6.02,79.04,1.5,300.61,392.01,0.0,12-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
12-Feb-2020 - 00:00,52.23,142.3,26.39,2.86,14.45,53.46,6.83,0.72,19.97,5.68,1.6,0.37,2.46,4.09,80.36,3.07,291.06,360.65,0.0,13-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
13-Feb-2020 - 00:00,39.02,127.56,26.04,2.41,13.92,48.85,7.02,0.71,17.63,5.01,1.19,0.29,2.13,3.55,79.85,3.23,286.85,445.59,0.0,14-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
14-Feb-2020 - 00:00,33.79,109.3,23.17,2.33,12.37,47.34,7.06,0.43,18.87,4.12,0.98,0.49,1.72,2.64,70.29,3.88,294.37,510.63,0.0,15-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
15-Feb-2020 - 00:00,34.59,88.95,23.6,3.47,11.41,41.19,7.45,0.56,17.77,3.73,0.95,0.24,1.64,2.68,62.31,3.24,278.36,484.77,0.0,16-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
16-Feb-2020 - 00:00,47.08,99.29,27.26,4.55,14.68,42.45,2.29,0.76,21.61,6.2,1.71,0.65,2.72,4.41,64.39,1.94,301.32,437.83,0.01,17-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
17-Feb-2020 - 00:00,46.84,100.24,27.5,3.88,14.27,46.53,6.46,0.78,20.79,6.22,1.83,0.54,2.83,4.8,72.89,2.49,292.2,484.28,0.09,18-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
18-Feb-2020 - 00:00,40.65,101.11,27.27,4.08,14.31,58.98,6.02,0.68,17.75,5.48,1.63,0.39,2.7,4.4,62.42,2.58,267.39,436.94,0.3,19-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
19-Feb-2020 - 00:00,56.82,155.0,34.51,4.92,18.77,90.58,7.81,0.87,21.83,8.46,1.91,0.61,3.04,4.72,71.49,3.73,119.18,353.31,0.03,20-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
20-Feb-2020 - 00:00,56.05,186.05,33.11,3.45,18.13,92.96,7.01,0.87,23.27,10.37,5.01,7.29,6.41,7.0,70.15,4.61,111.68,342.2,0.0,21-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
21-Feb-2020 - 00:00,19.68,47.92,23.82,1.65,12.91,73.83,2.52,0.38,19.11,3.46,0.99,0.45,1.7,2.18,88.17,3.31,118.21,120.4,0.4,22-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
22-Feb-2020 - 00:00,30.22,74.65,21.91,1.48,11.2,59.85,6.47,0.49,18.28,3.92,1.24,0.76,1.99,3.07,81.97,1.58,176.67,360.73,0.0,23-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
23-Feb-2020 - 00:00,36.96,76.12,25.81,2.2,13.59,60.18,2.79,0.6,21.2,5.77,2.16,0.56,2.78,4.54,82.59,1.8,259.29,399.32,0.0,24-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
24-Feb-2020 - 00:00,35.29,75.74,25.51,2.48,13.78,58.85,3.52,0.54,20.36,5.04,1.41,0.51,2.33,3.53,77.71,1.55,190.84,491.87,0.0,25-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
25-Feb-2020 - 00:00,55.88,112.47,24.15,3.14,13.32,53.56,6.79,0.74,24.29,6.81,2.04,0.59,2.62,5.55,87.87,1.79,256.53,425.51,0.0,26-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
26-Feb-2020 - 00:00,60.22,136.14,28.89,3.83,16.55,70.21,5.73,0.94,23.39,8.37,2.47,0.67,2.98,5.29,89.29,1.06,144.38,354.54,0.0,27-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
27-Feb-2020 - 00:00,69.06,140.4,31.97,3.04,17.49,65.38,6.37,1.03,22.08,11.0,2.13,0.54,2.81,4.72,93.17,1.76,110.4,309.54,0.0,28-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
28-Feb-2020 - 00:00,60.63,136.82,28.78,2.22,15.15,70.9,5.12,0.81,22.64,8.36,1.67,0.52,2.44,3.75,90.66,3.96,109.55,334.95,0.0,29-Feb-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
29-Feb-2020 - 00:00,45.63,98.91,24.9,2.23,13.59,64.02,6.78,0.65,19.65,15.97,5.15,2.05,6.35,6.79,89.99,4.01,103.99,245.26,0.37,01-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
01-Mar-2020 - 00:00,21.56,64.15,26.31,2.1,14.58,50.35,3.23,0.45,17.17,4.68,1.27,0.59,2.01,2.85,79.09,1.89,146.07,430.8,0.01,02-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
02-Mar-2020 - 00:00,33.64,96.91,23.07,1.06,11.89,45.92,5.93,0.52,20.04,7.52,1.77,0.51,2.69,4.38,75.67,1.32,290.34,482.03,0.0,03-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
03-Mar-2020 - 00:00,42.29,117.21,25.8,1.38,13.69,58.85,3.19,0.62,19.62,5.14,2.45,0.53,2.87,4.88,73.28,1.81,232.25,485.32,0.0,04-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
04-Mar-2020 - 00:00,53.94,132.65,29.07,1.59,15.59,61.14,7.31,0.64,19.3,7.04,2.26,1.18,2.94,6.83,75.99,2.02,131.06,339.76,0.28,05-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
05-Mar-2020 - 00:00,20.65,54.15,24.43,1.62,13.1,62.79,6.24,0.43,18.36,4.29,1.15,0.46,1.83,2.89,79.07,2.99,125.23,229.05,0.3,06-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
06-Mar-2020 - 00:00,11.12,35.17,25.49,1.31,13.49,65.24,2.89,0.36,16.23,2.81,1.09,0.5,1.75,2.52,93.37,3.85,125.8,136.29,0.52,07-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
07-Mar-2020 - 00:00,17.06,40.33,25.72,0.98,12.24,58.56,5.77,0.39,14.53,3.19,0.97,0.43,1.56,2.28,95.45,2.25,119.93,149.09,0.13,08-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
08-Mar-2020 - 00:00,29.69,74.39,24.85,1.65,12.89,53.51,2.03,0.62,19.87,4.03,1.47,0.62,2.08,3.26,79.13,1.83,254.08,544.36,0.0,09-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
09-Mar-2020 - 00:00,20.17,85.73,21.58,1.78,11.94,42.44,7.57,0.28,15.17,4.58,3.85,14.86,4.84,5.54,72.96,3.05,298.21,454.98,0.0,10-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
10-Mar-2020 - 00:00,31.92,108.04,22.36,0.76,11.22,43.25,4.14,0.46,17.7,3.89,1.39,0.59,2.02,3.23,64.89,1.53,224.02,496.43,0.0,11-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
11-Mar-2020 - 00:00,33.5,92.54,20.64,1.13,10.73,42.67,4.98,0.68,19.95,5.11,1.07,0.48,1.68,2.6,85.8,2.89,105.77,106.54,0.58,12-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
12-Mar-2020 - 00:00,25.73,68.7,19.16,0.9,9.68,54.4,3.39,0.56,20.03,3.97,1.03,0.41,1.77,2.64,86.91,3.01,115.62,396.3,0.0,13-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
13-Mar-2020 - 00:00,29.52,85.17,19.73,1.21,10.4,57.29,6.06,0.37,16.84,3.24,1.2,0.41,1.87,2.93,75.78,2.52,114.95,5.25,0.35,14-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
14-Mar-2020 - 00:00,23.51,47.7,19.8,1.86,10.98,57.36,5.68,0.47,12.88,3.4,1.23,0.54,1.81,2.8,94.89,1.58,112.46,121.1,0.13,15-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
15-Mar-2020 - 00:00,24.91,49.24,18.75,1.02,9.62,46.45,2.67,0.47,16.68,3.5,1.48,0.71,2.12,3.28,81.39,1.53,208.41,435.96,0.01,16-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
16-Mar-2020 - 00:00,29.23,80.48,15.71,0.82,7.83,43.88,7.47,0.47,17.7,3.43,1.16,0.4,1.74,2.74,74.63,2.46,302.57,444.23,0.0,17-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
17-Mar-2020 - 00:00,36.82,89.76,10.8,1.5,5.9,41.93,6.11,0.55,20.78,3.96,1.54,0.44,2.02,3.37,75.06,2.45,296.0,523.86,0.0,18-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
18-Mar-2020 - 00:00,39.64,96.25,13.97,2.04,6.47,41.0,4.21,0.66,23.05,3.76,1.43,0.46,1.9,3.34,79.56,2.07,298.08,381.1,0.0,19-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
19-Mar-2020 - 00:00,38.79,107.13,17.02,2.01,9.57,45.27,8.0,0.37,24.36,7.02,6.63,20.64,7.63,8.74,74.52,1.37,263.24,452.66,0.0,20-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
20-Mar-2020 - 00:00,56.17,156.15,20.35,0.67,10.82,58.37,5.8,0.59,26.42,6.13,1.89,0.69,2.54,4.44,65.9,1.22,106.65,410.12,0.0,21-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
21-Mar-2020 - 00:00,49.98,126.38,25.26,0.83,13.55,90.11,4.66,0.53,23.28,5.2,1.84,0.64,2.35,3.78,75.78,1.79,145.32,379.18,0.0,22-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
22-Mar-2020 - 00:00,29.46,64.38,22.92,0.27,11.14,71.16,5.33,0.32,21.52,3.82,1.65,0.71,2.18,3.33,64.89,1.92,239.19,480.01,0.0,23-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
23-Mar-2020 - 00:00,30.51,79.23,18.64,1.44,9.89,55.68,10.25,0.41,19.92,3.99,1.44,0.55,2.02,3.37,63.53,1.31,243.92,736.65,0.0,24-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
24-Mar-2020 - 00:00,34.07,83.65,19.33,1.76,9.81,50.33,5.94,0.51,24.41,4.55,1.84,0.92,2.52,4.24,70.98,1.76,107.23,435.24,0.0,25-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
25-Mar-2020 - 00:00,22.27,52.66,18.95,2.37,10.18,48.73,5.28,0.36,21.9,3.45,1.33,0.73,1.98,2.96,75.86,1.74,224.76,418.18,0.0,26-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
26-Mar-2020 - 00:00,19.29,47.06,16.5,2.79,9.25,47.46,5.03,0.3,18.84,2.93,0.98,0.45,1.54,2.23,73.06,2.55,282.5,267.89,0.0,27-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
27-Mar-2020 - 00:00,17.07,41.05,16.87,2.16,8.92,47.41,4.97,0.34,21.15,3.54,1.04,0.49,1.58,2.4,90.59,2.56,167.83,98.97,0.41,28-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
28-Mar-2020 - 00:00,15.7,30.99,19.51,1.5,9.76,45.25,5.13,0.37,17.26,3.64,1.25,0.67,1.87,3.03,80.64,2.0,245.63,447.79,0.01,29-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
29-Mar-2020 - 00:00,17.36,38.89,16.7,1.52,8.29,40.78,4.9,0.26,16.44,2.42,0.86,0.4,1.33,1.97,72.92,2.91,307.69,458.54,0.0,30-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
30-Mar-2020 - 00:00,18.35,45.41,15.41,2.6,8.53,35.72,5.36,0.22,18.33,2.59,0.79,0.38,1.21,1.77,59.28,2.8,299.57,576.86,0.0,31-Mar-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
31-Mar-2020 - 00:00,18.04,49.03,15.32,2.42,8.34,33.12,6.48,0.31,15.43,2.69,0.81,0.4,1.25,1.81,67.12,2.79,224.26,280.11,0.0,01-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
01-Apr-2020 - 00:00,17.69,42.65,15.95,1.76,8.13,31.34,5.9,0.34,15.6,2.37,0.81,0.42,1.23,1.8,62.58,2.28,265.02,481.03,0.0,02-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
02-Apr-2020 - 00:00,17.41,47.6,13.35,1.41,6.47,29.03,6.42,0.33,16.58,2.24,0.64,0.28,0.96,1.37,59.57,3.17,306.17,463.39,0.0,03-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
03-Apr-2020 - 00:00,14.01,41.18,13.5,1.74,6.84,26.29,6.9,0.24,16.01,2.32,0.74,0.38,1.1,1.58,42.7,2.66,303.22,477.01,0.0,04-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
04-Apr-2020 - 00:00,17.21,47.44,14.05,1.0,6.48,25.59,7.33,0.3,16.8,2.86,0.89,0.46,1.3,1.92,44.65,2.32,302.12,463.94,0.0,05-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
05-Apr-2020 - 00:00,29.19,66.51,17.84,1.41,8.81,26.84,7.21,0.45,21.53,4.19,1.29,1.07,1.8,2.87,49.84,1.34,180.51,443.35,0.0,06-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
06-Apr-2020 - 00:00,32.94,79.32,18.27,1.51,9.14,27.55,6.95,0.48,20.14,4.11,1.23,0.88,1.78,2.75,48.4,2.14,224.24,487.37,0.0,07-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
07-Apr-2020 - 00:00,18.95,55.34,14.22,1.28,6.8,25.89,6.46,0.36,15.92,2.27,0.66,0.31,0.99,1.34,50.64,3.84,262.42,383.35,0.0,08-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
08-Apr-2020 - 00:00,16.08,45.06,13.65,1.63,6.82,24.26,6.41,0.2,14.66,2.13,0.66,0.34,0.97,1.33,44.21,2.82,311.6,468.28,0.0,09-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
09-Apr-2020 - 00:00,20.77,51.01,15.89,1.83,8.13,24.24,6.24,0.32,16.34,3.02,0.97,0.52,1.39,2.11,41.81,2.01,302.5,455.67,0.0,10-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
10-Apr-2020 - 00:00,27.47,62.06,18.38,1.45,9.12,24.73,6.22,0.41,16.47,3.62,1.27,0.78,1.72,2.74,38.67,1.84,282.42,486.71,0.0,11-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
11-Apr-2020 - 00:00,24.74,62.76,17.8,1.87,9.19,24.11,6.59,0.42,16.43,3.02,1.03,0.67,1.49,2.18,39.94,2.08,263.0,490.25,0.0,12-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
12-Apr-2020 - 00:00,20.12,50.13,16.62,1.73,8.44,23.39,6.82,0.39,17.39,2.97,0.86,0.46,1.31,1.86,39.33,2.56,304.15,477.97,0.0,13-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
13-Apr-2020 - 00:00,28.41,66.01,17.96,1.61,9.07,23.43,6.24,0.4,18.65,3.76,1.13,0.6,1.68,2.56,33.96,2.09,301.23,463.7,0.0,14-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
14-Apr-2020 - 00:00,42.03,115.28,22.17,1.57,11.22,24.96,5.75,0.49,23.89,4.83,1.71,2.03,2.12,3.47,35.11,1.63,176.85,469.7,0.0,15-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
15-Apr-2020 - 00:00,56.86,150.3,24.13,1.35,12.07,26.2,7.12,0.61,21.97,7.43,2.02,3.03,2.39,3.86,30.42,1.98,176.07,405.15,0.0,16-Apr-2020 - 00:00,"Rishi Nagar, Kaithal - HSPCB"
