from date,NO2,NH3,NO,NOx,CO,Ozone,SO2,Benzene,Eth-Benzene,Toluene,PM2.5,PM10,AT,SR,RH,RF,WD,WS,Temp,to date,station
11-Jan-2020 - 00:00,19.67,22.28,3.21,13.06,0.53,16.07,12.25,0.24,1.81,3.78,59.1,120.44,16.29,139.56,56.0,0.0,110.42,3.89,31.12,12-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
12-Jan-2020 - 00:00,15.13,24.36,2.92,10.41,0.52,17.97,16.47,0.2,1.12,3.76,51.69,114.2,25.09,137.01,50.38,0.0,114.49,2.72,31.13,13-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
13-Jan-2020 - 00:00,13.67,24.59,2.82,9.55,0.47,18.74,28.2,0.18,0.78,3.24,53.07,115.36,26.63,126.86,56.71,0.0,213.19,3.39,31.56,14-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
14-Jan-2020 - 00:00,10.51,24.03,2.78,7.86,0.41,12.49,9.48,0.21,0.38,2.46,54.73,120.25,25.29,113.11,71.51,0.0,207.33,2.89,31.77,15-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
15-Jan-2020 - 00:00,16.67,24.16,3.01,11.31,0.59,13.73,13.85,0.23,1.39,3.56,70.26,140.3,24.74,110.88,74.45,0.0,166.2,3.57,31.28,16-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
16-Jan-2020 - 00:00,14.66,16.12,2.98,10.22,0.37,15.82,17.29,0.16,0.32,1.66,49.65,110.96,20.06,129.8,58.69,0.0,284.05,3.51,31.23,17-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
17-Jan-2020 - 00:00,10.69,22.67,2.98,8.09,0.57,17.52,7.77,0.32,0.25,2.46,86.47,155.81,16.79,130.92,72.05,0.0,155.31,3.47,31.12,18-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
18-Jan-2020 - 00:00,13.2,24.49,3.02,9.47,0.61,14.67,6.83,0.31,1.23,3.42,78.0,143.32,17.37,109.83,72.09,0.0,102.07,3.64,30.95,19-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
19-Jan-2020 - 00:00,10.02,21.85,2.91,7.7,0.45,15.38,9.01,0.21,0.48,3.7,60.08,102.18,16.93,144.88,66.66,0.0,57.49,4.86,31.14,20-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
20-Jan-2020 - 00:00,14.12,20.71,3.12,10.03,0.52,14.0,11.3,0.22,0.76,3.47,61.6,136.86,18.81,145.65,65.93,0.0,105.57,3.51,31.16,21-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
21-Jan-2020 - 00:00,11.96,38.06,2.84,8.67,0.5,16.02,24.48,0.18,0.79,3.16,57.92,132.09,26.43,133.11,61.06,0.0,181.43,3.9,31.1,22-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
22-Jan-2020 - 00:00,16.89,37.1,3.66,11.95,1.25,8.9,12.75,0.35,1.21,4.91,88.48,167.61,24.88,106.14,79.54,0.0,94.8,4.34,31.41,23-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
23-Jan-2020 - 00:00,18.0,31.08,3.27,12.22,1.85,14.9,12.52,0.25,0.24,3.22,68.48,127.21,20.13,139.3,61.01,0.0,56.5,5.14,31.33,24-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
24-Jan-2020 - 00:00,21.75,27.57,3.3,14.26,1.8,12.09,18.06,0.24,1.59,3.62,53.98,117.36,22.44,146.78,52.36,0.0,123.69,3.55,31.29,25-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
25-Jan-2020 - 00:00,25.31,30.46,3.94,16.66,1.97,14.51,22.36,0.28,1.76,3.83,61.52,143.15,24.72,144.16,55.79,0.01,152.95,2.92,31.29,26-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
26-Jan-2020 - 00:00,19.26,28.03,2.88,12.59,1.78,12.12,18.25,0.17,1.66,4.4,40.56,93.12,27.02,128.83,49.56,0.0,123.63,2.36,31.28,27-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
27-Jan-2020 - 00:00,17.78,22.92,3.0,11.9,1.63,14.72,24.21,0.14,0.79,2.8,33.81,97.71,28.3,134.62,43.79,0.0,206.78,4.06,31.3,28-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
28-Jan-2020 - 00:00,22.21,26.16,3.12,14.35,1.66,11.13,37.02,0.24,1.15,2.75,64.78,150.28,23.35,139.64,59.53,0.0,268.43,3.41,31.24,29-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
29-Jan-2020 - 00:00,19.29,23.94,3.08,12.76,1.57,10.71,16.44,0.17,1.12,2.69,49.64,150.1,21.76,144.59,58.15,0.0,210.34,2.53,31.25,30-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
30-Jan-2020 - 00:00,19.31,29.06,2.96,12.67,1.75,12.18,17.53,0.29,0.81,3.6,50.99,126.16,20.14,182.99,50.4,0.0,76.35,4.04,31.15,31-Jan-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
31-Jan-2020 - 00:00,24.61,26.66,3.18,15.67,1.76,14.46,14.59,0.23,0.99,3.23,48.46,116.84,20.28,157.86,48.18,0.0,104.51,3.42,31.28,01-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
01-Feb-2020 - 00:00,23.03,26.71,3.24,14.89,1.87,16.52,15.15,0.24,0.87,3.27,48.5,125.33,20.84,154.23,49.33,0.0,71.19,4.16,31.34,02-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
02-Feb-2020 - 00:00,17.27,23.51,3.03,11.65,1.82,13.52,15.91,0.2,0.81,2.89,40.95,98.1,20.08,170.95,49.34,0.0,65.44,4.8,31.33,03-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
03-Feb-2020 - 00:00,15.98,27.88,3.05,10.99,1.75,12.49,16.46,0.17,0.83,2.7,43.12,103.56,22.81,135.71,55.38,0.0,108.88,4.08,31.12,04-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
04-Feb-2020 - 00:00,16.01,28.45,3.07,11.01,1.73,11.02,17.56,0.27,0.72,2.53,53.79,116.29,25.35,160.43,56.18,0.0,195.03,3.52,31.23,05-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
05-Feb-2020 - 00:00,15.84,32.88,3.24,11.05,1.81,11.44,11.46,0.28,0.46,2.84,63.67,138.42,23.47,154.45,60.88,0.0,96.0,3.76,31.68,06-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
06-Feb-2020 - 00:00,16.67,30.37,2.77,11.12,1.66,11.42,17.91,0.23,0.87,3.3,60.85,139.96,23.82,115.29,56.76,0.0,98.17,3.73,31.43,07-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
07-Feb-2020 - 00:00,14.0,29.47,3.3,10.13,1.39,12.04,9.71,0.33,0.29,3.07,60.77,131.54,22.4,181.62,56.38,0.0,80.34,4.5,31.34,08-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
08-Feb-2020 - 00:00,15.78,27.59,2.87,10.73,1.43,14.71,8.0,0.26,0.32,2.8,62.96,131.62,20.37,201.79,49.03,0.0,55.28,5.35,31.51,09-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
09-Feb-2020 - 00:00,12.15,22.16,2.73,8.69,1.61,17.6,3.98,0.19,0.17,2.15,44.11,91.15,20.28,192.28,43.35,0.0,64.93,4.79,31.24,10-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
10-Feb-2020 - 00:00,15.44,23.81,2.9,10.58,1.69,16.66,14.61,0.18,0.66,2.71,52.2,101.65,21.91,159.58,48.23,0.0,112.38,3.75,31.2,11-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
11-Feb-2020 - 00:00,26.81,27.13,2.86,16.58,2.12,13.77,22.54,0.27,1.16,4.1,65.99,141.35,26.91,153.69,47.54,0.0,121.94,3.55,31.43,12-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
12-Feb-2020 - 00:00,19.21,26.61,2.84,12.52,2.0,13.78,15.09,0.28,1.54,3.62,66.32,130.33,27.62,136.37,49.72,0.0,104.42,3.27,31.33,13-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
13-Feb-2020 - 00:00,23.04,24.92,3.48,15.08,1.29,12.4,25.0,0.22,1.48,3.66,53.41,130.94,30.48,154.27,42.83,0.0,182.68,2.8,31.99,14-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
14-Feb-2020 - 00:00,11.44,29.22,2.53,8.14,0.76,15.0,15.64,0.22,0.97,2.46,47.14,125.63,30.4,171.97,39.14,0.0,209.71,3.27,31.61,15-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
15-Feb-2020 - 00:00,21.26,35.12,2.99,13.75,1.05,14.73,14.62,0.27,1.96,3.74,53.38,131.86,29.18,179.89,43.18,0.0,103.39,3.54,31.42,16-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
16-Feb-2020 - 00:00,19.72,25.21,2.81,12.77,0.84,12.54,9.09,0.26,1.11,3.65,36.88,114.08,29.43,159.19,31.42,0.0,67.07,3.74,30.9,17-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
17-Feb-2020 - 00:00,19.72,23.35,2.97,12.91,0.84,11.84,9.2,0.19,1.35,2.8,24.64,95.53,31.14,195.87,25.79,0.0,81.1,4.03,31.22,18-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
18-Feb-2020 - 00:00,23.58,24.85,3.01,15.0,0.96,9.52,31.57,0.21,1.54,3.26,24.38,93.24,30.85,145.18,22.97,0.0,110.43,2.99,31.48,19-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
19-Feb-2020 - 00:00,18.71,21.05,3.34,12.65,0.97,14.26,29.0,0.12,1.24,3.89,29.2,96.58,34.22,189.48,24.14,0.0,197.74,3.29,30.85,20-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
20-Feb-2020 - 00:00,24.29,24.98,3.16,15.49,1.12,17.48,28.29,0.15,1.84,3.21,49.83,141.96,34.58,181.63,32.73,0.0,201.05,3.19,31.41,21-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
21-Feb-2020 - 00:00,17.3,27.42,2.67,11.36,1.19,15.06,32.71,0.18,0.83,3.29,58.61,160.92,30.86,152.39,35.82,0.0,208.9,2.99,31.44,22-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
22-Feb-2020 - 00:00,14.67,36.85,2.8,10.07,1.28,14.56,14.55,0.26,0.46,3.6,63.42,160.39,26.89,170.08,50.55,0.0,68.27,4.78,31.06,23-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
23-Feb-2020 - 00:00,12.8,38.82,2.68,8.98,,13.41,9.75,0.3,0.37,2.8,67.16,137.44,27.32,160.01,55.87,0.0,107.84,4.24,31.78,24-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
24-Feb-2020 - 00:00,9.97,37.46,2.72,7.52,,13.93,6.37,0.25,0.51,2.48,58.85,116.83,25.7,179.2,55.11,0.0,149.73,4.24,31.84,25-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
25-Feb-2020 - 00:00,10.91,38.67,2.83,8.09,,14.08,6.56,0.25,0.61,2.45,52.01,132.91,27.04,196.72,45.68,0.0,141.43,3.38,31.05,26-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
26-Feb-2020 - 00:00,22.74,32.92,3.0,14.56,0.58,10.92,22.37,0.25,0.86,3.85,46.43,139.88,30.06,165.5,32.99,0.0,132.35,2.45,31.19,27-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
27-Feb-2020 - 00:00,26.21,33.07,3.36,16.37,1.16,11.68,45.48,0.23,1.53,4.28,44.45,144.68,32.29,147.41,30.89,0.0,126.0,2.32,30.91,28-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
28-Feb-2020 - 00:00,21.96,30.15,,14.0,1.58,17.74,,0.18,1.86,4.59,42.11,142.42,34.07,182.08,29.15,0.0,157.35,3.79,31.33,29-Feb-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
29-Feb-2020 - 00:00,22.5,29.47,2.45,14.06,1.48,19.01,19.51,0.14,1.34,3.62,43.22,126.25,34.4,136.35,34.09,0.0,187.13,4.37,30.93,01-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
01-Mar-2020 - 00:00,18.23,28.91,2.7,11.88,1.72,15.68,21.6,0.16,1.0,3.21,53.97,142.04,33.78,136.74,33.93,0.0,244.66,2.42,31.3,02-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
02-Mar-2020 - 00:00,12.9,26.84,2.58,8.96,1.9,14.82,13.71,0.1,0.44,1.81,38.99,130.07,33.18,172.22,32.07,0.0,242.1,2.86,31.57,03-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
03-Mar-2020 - 00:00,11.71,27.97,2.62,8.34,2.33,13.87,11.22,0.13,0.36,1.7,41.33,148.7,32.34,184.53,31.39,0.0,287.91,2.85,31.03,04-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
04-Mar-2020 - 00:00,15.35,29.31,2.78,10.43,2.29,12.91,18.19,0.14,0.29,1.78,48.07,162.29,29.64,178.47,39.27,0.0,280.8,3.66,31.36,05-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
05-Mar-2020 - 00:00,21.04,25.79,3.81,14.2,2.35,12.05,18.09,0.12,0.64,1.81,41.92,161.12,29.89,169.88,36.16,0.0,261.88,2.96,31.05,06-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
06-Mar-2020 - 00:00,16.84,30.5,4.22,12.39,2.39,8.4,12.23,0.12,0.92,1.96,40.92,160.46,26.98,144.0,54.82,0.0,244.01,4.93,31.24,07-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
07-Mar-2020 - 00:00,13.14,25.13,2.71,9.19,2.52,11.79,9.94,0.15,0.2,2.2,34.49,160.58,26.56,196.63,42.88,0.0,169.77,3.32,30.88,08-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
08-Mar-2020 - 00:00,11.47,29.01,2.86,8.41,2.53,12.8,7.98,0.19,0.17,2.62,25.3,104.24,28.43,228.34,39.29,0.0,82.69,4.41,31.64,09-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
09-Mar-2020 - 00:00,11.8,28.06,2.71,8.47,2.59,11.61,6.73,0.15,0.35,2.31,26.14,94.92,28.27,169.92,40.88,0.0,73.88,4.61,30.55,10-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
10-Mar-2020 - 00:00,13.17,31.46,3.08,9.5,2.41,9.17,14.22,0.13,0.74,2.16,36.21,109.66,32.31,141.37,38.04,0.0,227.91,3.65,31.51,11-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
11-Mar-2020 - 00:00,12.45,24.06,2.91,8.98,2.65,12.05,17.97,0.08,0.29,1.43,28.42,87.83,27.24,162.44,53.22,0.0,253.5,4.05,31.81,12-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
12-Mar-2020 - 00:00,15.27,20.09,2.94,10.5,2.59,12.04,11.08,0.07,0.36,1.37,25.65,98.88,27.22,164.94,47.15,0.0,256.63,3.6,32.51,13-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
13-Mar-2020 - 00:00,9.54,17.21,2.66,7.23,1.92,15.02,7.83,0.1,0.25,1.21,23.85,118.4,26.78,183.49,27.69,0.0,294.74,3.52,31.68,14-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
14-Mar-2020 - 00:00,6.53,25.03,2.51,5.52,1.12,13.01,5.44,0.14,0.05,1.61,25.61,156.28,26.46,205.14,31.07,0.0,206.58,4.5,31.09,15-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
15-Mar-2020 - 00:00,7.92,27.03,2.46,6.23,1.08,14.89,5.09,0.15,0.09,2.65,25.45,143.74,27.61,203.3,26.78,0.0,84.23,4.76,31.36,16-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
16-Mar-2020 - 00:00,13.23,25.14,2.76,9.32,1.1,16.28,12.35,0.15,0.41,2.56,29.56,125.16,31.19,216.95,30.4,0.0,106.53,3.76,27.87,17-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
17-Mar-2020 - 00:00,15.9,28.5,2.87,10.81,1.04,13.54,20.03,0.21,0.61,2.67,40.0,136.92,31.71,192.15,34.85,0.0,84.39,4.04,28.86,18-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
18-Mar-2020 - 00:00,16.19,27.48,2.81,10.89,1.11,15.06,22.28,0.14,0.83,2.44,36.83,126.96,36.31,200.49,31.91,0.0,162.74,3.97,32.71,19-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
19-Mar-2020 - 00:00,15.86,27.74,2.65,10.6,1.02,12.54,25.09,0.16,0.64,2.73,37.47,138.72,36.09,168.86,33.17,0.0,169.08,3.21,30.86,20-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
20-Mar-2020 - 00:00,20.5,20.15,3.25,13.56,1.08,11.98,26.11,0.13,0.96,2.61,34.36,143.78,35.33,207.1,25.4,0.0,217.18,4.29,30.29,21-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
21-Mar-2020 - 00:00,14.71,20.43,2.93,10.2,1.11,10.57,9.26,0.11,0.38,1.39,31.01,141.33,32.95,186.1,31.89,0.0,266.56,3.08,30.65,22-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
22-Mar-2020 - 00:00,8.12,25.84,2.39,6.26,1.05,12.71,5.94,0.08,0.2,1.52,33.81,114.24,36.06,212.27,35.11,0.0,230.37,2.98,31.58,23-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
23-Mar-2020 - 00:00,9.98,23.8,2.63,7.43,0.99,10.57,5.63,0.09,0.12,1.53,30.01,136.35,38.28,173.79,28.31,0.0,260.35,3.22,31.8,24-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
24-Mar-2020 - 00:00,6.25,24.51,2.46,5.31,1.09,10.11,3.09,0.09,0.12,1.48,22.61,102.6,40.52,155.37,27.24,0.0,197.69,3.1,31.69,25-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
25-Mar-2020 - 00:00,5.6,30.31,2.44,4.98,0.97,15.09,4.78,0.06,0.09,1.14,24.41,156.25,36.61,178.38,38.45,0.0,104.82,5.28,30.38,26-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
26-Mar-2020 - 00:00,5.77,30.94,2.55,5.12,1.07,11.6,6.12,0.03,0.06,1.02,22.0,48.57,35.24,196.22,51.5,0.0,174.06,4.35,30.17,27-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
27-Mar-2020 - 00:00,8.0,37.38,2.81,6.53,1.1,5.66,4.78,0.03,0.03,1.04,17.09,30.96,27.63,147.72,78.86,0.11,93.66,4.16,29.01,28-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
28-Mar-2020 - 00:00,7.67,26.02,2.66,6.26,1.09,8.82,5.65,0.07,0.06,1.34,17.62,37.2,33.83,233.86,54.21,0.0,86.62,2.76,29.73,29-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
29-Mar-2020 - 00:00,7.66,21.45,2.63,6.21,1.15,11.55,5.37,0.06,0.04,1.23,19.74,51.21,36.83,170.18,40.42,0.0,141.81,2.96,30.47,30-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
30-Mar-2020 - 00:00,7.49,19.5,2.57,6.06,1.08,13.93,5.6,0.06,0.03,1.02,23.37,60.35,40.11,242.82,31.98,0.0,190.77,3.84,30.13,31-Mar-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
31-Mar-2020 - 00:00,9.41,15.78,2.82,7.28,1.04,14.38,8.71,0.06,0.05,1.0,22.94,67.85,39.71,239.55,25.23,0.0,220.08,3.65,30.66,01-Apr-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
01-Apr-2020 - 00:00,7.42,15.91,2.6,6.05,1.04,12.93,8.62,0.07,0.02,0.91,28.39,91.94,38.85,232.42,26.97,0.0,296.32,4.19,29.06,02-Apr-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
02-Apr-2020 - 00:00,5.94,15.01,2.49,5.18,1.05,11.3,5.43,0.05,0.0,1.04,20.02,94.82,33.26,229.84,25.53,0.0,140.01,4.16,29.36,03-Apr-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
03-Apr-2020 - 00:00,7.1,15.68,2.55,5.84,1.07,11.58,6.43,0.06,0.05,1.52,18.58,78.58,28.71,232.03,21.26,0.0,78.48,4.04,29.36,04-Apr-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
04-Apr-2020 - 00:00,6.26,15.85,2.59,5.42,1.09,13.39,6.01,0.06,0.04,1.65,19.16,80.95,28.8,226.74,20.39,0.0,81.98,4.24,29.46,05-Apr-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
05-Apr-2020 - 00:00,7.99,16.8,2.53,6.29,1.21,15.54,6.79,0.08,0.08,1.6,28.62,87.66,29.64,216.12,20.77,0.0,84.88,3.32,29.38,06-Apr-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
06-Apr-2020 - 00:00,13.13,15.76,2.48,9.01,1.39,16.32,9.52,0.12,0.07,1.51,55.72,121.33,31.25,215.14,17.37,0.0,202.91,3.34,29.49,07-Apr-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
07-Apr-2020 - 00:00,10.23,12.86,2.57,7.53,1.15,15.31,14.51,0.08,0.02,0.87,37.18,108.06,29.95,242.44,19.89,0.0,281.08,4.41,29.38,08-Apr-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
08-Apr-2020 - 00:00,10.97,13.54,2.55,7.9,1.21,13.2,15.79,0.08,0.02,0.92,43.15,125.08,27.95,234.96,24.11,0.0,277.14,4.1,29.47,09-Apr-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
09-Apr-2020 - 00:00,10.15,15.57,2.59,7.51,1.23,12.73,9.21,0.09,0.03,1.16,44.79,137.69,28.68,223.05,26.78,0.0,221.85,3.26,29.54,10-Apr-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
10-Apr-2020 - 00:00,9.04,13.29,2.49,6.83,1.24,13.36,7.68,0.08,0.04,1.34,46.48,131.78,30.53,215.33,17.8,0.0,137.28,2.94,29.63,11-Apr-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
11-Apr-2020 - 00:00,11.38,14.92,2.6,8.17,1.6,15.99,10.63,0.12,0.07,1.42,75.52,159.29,32.36,202.56,16.8,0.0,162.22,2.56,29.65,12-Apr-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
12-Apr-2020 - 00:00,12.96,14.81,2.69,9.07,1.5,15.37,10.69,0.13,0.05,1.19,74.07,166.05,33.03,200.0,16.44,0.0,208.15,3.66,29.67,13-Apr-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
13-Apr-2020 - 00:00,12.89,14.3,2.65,9.02,1.53,13.9,10.03,0.12,0.06,1.31,64.97,145.91,33.18,198.97,16.47,0.0,200.52,3.22,29.72,14-Apr-2020 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
