from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM10,PM2.5,Benzene,Eth-Benzene,Toluene,MP-Xylene,Xylene,RH,WS,WD,SR,RF,to date,station
22-Apr-2020 - 00:00,6.73,21.68,14.7,63.65,9.59,1.06,9.43,109.03,51.7,1.24,0.34,15.32,0.57,0.27,31.07,1.29,228.56,446.73,0.0,23-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
23-Apr-2020 - 00:00,6.27,21.53,15.07,69.49,10.98,1.2,9.0,149.3,71.0,2.67,0.14,12.55,0.26,0.23,38.23,1.48,133.95,341.73,0.0,24-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
24-Apr-2020 - 00:00,6.17,22.32,15.98,74.75,11.71,1.19,9.0,128.06,55.26,1.64,0.08,6.51,0.2,0.2,41.03,1.51,111.75,323.37,0.0,25-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
25-Apr-2020 - 00:00,5.22,21.04,15.72,61.18,6.05,0.86,8.49,110.04,40.33,0.79,0.12,8.29,0.21,0.13,40.29,1.79,161.95,327.77,0.0,26-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
26-Apr-2020 - 00:00,7.55,30.47,23.44,57.1,6.74,1.16,9.05,154.85,74.81,3.67,0.18,11.5,0.33,0.19,61.49,1.4,111.03,665.88,0.0,27-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
27-Apr-2020 - 00:00,11.53,28.24,16.34,59.75,3.16,0.76,12.58,52.01,28.12,1.07,0.12,9.0,0.21,0.15,74.06,2.56,84.09,473.29,0.0,28-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
28-Apr-2020 - 00:00,2.26,29.66,28.59,46.98,6.91,0.85,10.36,78.59,39.07,1.19,0.16,7.51,0.34,0.22,62.99,1.79,74.33,437.64,0.0,29-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
29-Apr-2020 - 00:00,1.0,26.01,27.82,38.64,9.97,0.91,10.06,107.23,51.26,1.66,0.23,12.12,0.41,0.2,51.7,1.34,126.77,451.35,0.0,30-Apr-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
30-Apr-2020 - 00:00,0.67,23.19,23.46,28.83,12.86,0.91,9.39,130.78,54.36,2.08,0.25,11.1,0.44,0.2,45.79,1.31,153.41,419.81,0.0,01-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
01-May-2020 - 00:00,0.86,21.14,21.06,26.21,14.7,0.88,11.42,139.4,61.28,1.77,0.22,10.14,0.35,0.2,51.32,1.85,96.32,431.28,0.0,02-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
02-May-2020 - 00:00,1.32,19.81,19.64,21.89,9.51,0.79,11.73,105.24,36.46,0.91,0.09,6.09,0.15,0.08,55.31,2.88,90.05,291.52,0.0,03-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
03-May-2020 - 00:00,0.98,21.64,21.43,26.91,7.15,0.86,9.39,93.63,38.34,1.2,0.11,6.8,0.21,0.1,63.24,2.4,114.58,215.1,0.0,04-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
04-May-2020 - 00:00,0.28,26.29,33.5,26.4,9.44,0.83,9.28,91.95,34.95,0.86,0.25,13.65,0.41,0.19,60.77,1.33,121.61,430.17,0.0,05-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
05-May-2020 - 00:00,4.49,26.22,27.87,34.7,14.34,0.94,12.14,91.95,51.67,2.21,0.19,19.48,0.27,0.37,43.68,1.43,207.33,445.29,0.0,06-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
06-May-2020 - 00:00,8.73,26.21,17.76,49.39,9.01,0.76,10.46,104.2,58.05,0.92,0.23,10.53,0.45,0.31,33.84,1.78,176.24,437.32,0.0,07-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
07-May-2020 - 00:00,10.21,26.36,16.19,59.93,8.98,0.79,9.28,85.76,41.67,1.12,0.22,9.63,0.43,0.21,39.06,1.72,128.12,503.22,0.0,08-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
08-May-2020 - 00:00,9.94,28.29,18.47,59.91,8.64,0.95,8.66,95.72,53.14,1.61,0.29,12.7,0.57,0.27,56.72,1.6,150.32,381.21,0.0,09-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
09-May-2020 - 00:00,9.6,27.77,18.31,58.76,9.02,0.98,10.59,116.61,53.77,1.82,0.27,11.71,0.51,0.22,45.68,1.56,110.42,443.06,0.0,10-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
10-May-2020 - 00:00,10.0,27.47,17.55,53.17,9.25,0.89,9.66,103.11,46.43,1.78,0.16,7.57,0.34,0.17,55.62,2.19,109.27,364.13,0.0,11-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
11-May-2020 - 00:00,12.61,31.05,18.3,45.61,5.47,0.92,8.18,79.1,38.66,1.84,0.15,8.42,0.31,0.15,64.62,1.9,103.79,315.17,0.0,12-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
12-May-2020 - 00:00,9.95,26.91,17.03,32.66,8.32,0.86,10.46,90.2,20.36,1.12,0.2,8.92,0.38,0.17,47.22,1.63,106.59,467.12,0.0,13-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
13-May-2020 - 00:00,7.23,23.74,16.83,30.49,10.38,1.02,11.1,98.23,18.69,1.5,0.22,9.09,0.38,0.17,56.69,1.42,140.17,333.1,0.0,14-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
14-May-2020 - 00:00,10.61,25.92,15.61,38.32,1.55,0.8,20.96,160.4,53.47,0.79,0.15,8.57,0.26,0.17,41.72,1.61,127.07,541.42,0.0,15-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
15-May-2020 - 00:00,9.76,29.09,19.76,68.96,1.5,0.77,13.61,81.81,44.35,0.77,0.27,10.79,0.48,0.22,43.0,1.92,293.13,415.9,0.0,16-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
16-May-2020 - 00:00,10.92,29.86,18.97,68.63,3.39,1.0,12.79,134.03,65.59,1.39,0.35,13.89,0.58,0.24,44.2,1.76,284.59,495.44,0.0,17-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
17-May-2020 - 00:00,12.22,25.7,13.25,53.59,3.67,0.88,14.53,147.99,20.08,0.97,0.3,11.58,0.56,0.27,23.12,1.43,262.81,417.32,0.0,18-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
18-May-2020 - 00:00,12.46,27.81,15.14,56.44,2.01,0.9,10.52,130.3,16.62,1.25,0.49,15.91,0.82,0.34,24.43,1.61,260.72,476.96,0.0,19-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
19-May-2020 - 00:00,13.22,27.62,14.09,55.85,4.06,0.96,10.46,191.78,18.67,1.54,0.6,15.61,1.06,0.45,20.66,1.34,223.96,477.93,0.0,20-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
20-May-2020 - 00:00,13.51,26.06,12.16,50.7,3.44,0.89,10.62,138.95,18.17,1.16,0.48,14.3,0.81,0.35,21.26,1.89,277.74,508.44,0.0,21-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
21-May-2020 - 00:00,13.32,24.17,10.43,31.52,10.22,0.81,9.32,139.0,15.4,0.97,0.34,12.39,0.65,0.29,18.39,2.07,275.8,460.46,0.0,22-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
22-May-2020 - 00:00,14.08,25.98,11.44,21.63,9.62,0.96,8.57,170.37,21.22,2.12,0.45,10.65,0.97,0.44,21.36,1.4,235.6,362.4,0.0,23-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
23-May-2020 - 00:00,11.54,24.42,12.71,38.98,8.7,0.93,7.92,168.34,20.61,2.47,0.36,8.33,0.74,0.35,23.31,1.89,232.98,407.63,0.0,24-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
24-May-2020 - 00:00,12.45,24.9,12.16,51.5,7.79,0.77,9.92,141.06,5.94,0.91,0.24,7.81,0.39,0.16,24.27,1.47,259.65,542.71,0.0,25-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
25-May-2020 - 00:00,24.44,37.39,11.51,63.91,11.99,0.98,16.06,168.07,20.5,1.23,0.41,8.22,0.83,0.43,15.24,2.24,262.52,445.17,0.0,26-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
26-May-2020 - 00:00,25.61,39.22,11.94,51.33,5.28,0.91,11.71,208.05,11.81,1.49,0.45,8.71,0.97,0.58,19.11,2.03,253.46,327.24,0.0,27-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
27-May-2020 - 00:00,22.38,31.76,8.05,51.28,9.03,0.86,20.95,206.42,6.47,1.42,0.32,7.98,0.59,0.28,27.02,1.85,183.69,407.23,0.0,28-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
28-May-2020 - 00:00,14.33,29.36,14.63,59.43,6.81,0.83,20.86,272.74,9.9,1.04,0.13,5.73,0.24,0.13,47.51,3.35,85.63,300.44,0.0,29-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
29-May-2020 - 00:00,12.79,33.33,20.38,75.0,6.32,0.81,22.81,68.01,11.78,0.81,0.1,5.66,0.26,0.19,55.24,3.14,100.93,413.54,0.0,30-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
30-May-2020 - 00:00,13.12,38.66,25.55,91.74,6.16,0.79,18.36,37.89,10.57,0.61,0.11,7.13,0.18,0.08,72.19,1.96,132.34,388.59,0.0,31-May-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
31-May-2020 - 00:00,12.65,38.26,25.66,98.47,6.11,0.77,17.81,36.66,6.0,0.67,0.13,8.61,0.23,0.11,77.98,2.1,140.77,350.4,0.0,01-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
01-Jun-2020 - 00:00,11.9,39.06,27.26,95.81,6.43,0.92,18.87,75.6,10.18,0.87,0.28,11.92,0.53,0.26,63.64,0.97,178.32,521.89,0.0,02-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
02-Jun-2020 - 00:00,10.67,32.28,21.75,76.33,6.32,0.86,16.57,86.48,8.79,0.89,0.21,10.36,0.35,0.18,63.27,1.54,184.09,357.83,0.0,03-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
03-Jun-2020 - 00:00,10.65,31.81,21.28,75.08,6.59,0.87,15.76,78.79,9.43,0.93,0.16,15.65,0.23,0.24,54.02,1.26,199.93,352.75,0.0,04-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
04-Jun-2020 - 00:00,10.56,30.9,20.44,73.02,6.72,1.0,16.41,97.08,10.69,,0.0,,0.0,,63.93,1.54,195.22,204.61,0.0,05-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
05-Jun-2020 - 00:00,10.73,30.09,19.42,71.52,6.74,0.87,15.9,59.0,7.92,,0.0,,0.0,,62.09,1.43,142.54,393.32,0.0,06-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
06-Jun-2020 - 00:00,10.82,27.78,16.95,63.96,6.48,0.87,14.99,59.68,5.74,,0.0,,0.0,,63.91,1.58,128.03,407.02,0.0,07-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
07-Jun-2020 - 00:00,10.66,27.15,16.48,60.49,6.55,0.91,17.47,88.42,8.63,,0.0,,0.0,,59.59,1.62,162.67,387.6,0.0,08-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
08-Jun-2020 - 00:00,10.25,24.63,14.55,48.22,6.38,0.89,16.57,96.26,10.0,1.37,0.2,5.9,0.29,0.61,56.87,1.19,189.87,489.22,0.0,09-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
09-Jun-2020 - 00:00,10.04,24.2,14.16,45.5,7.09,0.82,16.61,126.72,23.42,1.31,0.4,7.89,0.71,0.34,49.04,0.98,209.85,361.11,0.0,10-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
10-Jun-2020 - 00:00,9.81,26.89,17.18,55.1,6.86,0.89,18.41,142.6,47.87,1.08,0.31,8.29,0.55,0.25,49.63,1.41,174.53,363.77,0.0,11-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
11-Jun-2020 - 00:00,9.88,25.98,16.15,58.2,6.39,1.03,22.9,130.31,42.97,1.43,0.41,7.27,0.65,0.3,53.71,1.32,121.82,428.83,0.0,12-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
12-Jun-2020 - 00:00,9.91,25.32,15.45,57.91,5.24,1.03,15.68,113.19,41.85,1.89,0.14,5.21,0.29,0.14,57.36,1.56,116.59,430.47,0.0,13-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
13-Jun-2020 - 00:00,10.02,24.36,14.34,54.11,6.19,1.0,20.16,124.23,31.29,1.82,0.4,6.11,0.62,0.29,53.53,2.01,158.96,346.24,0.0,14-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
14-Jun-2020 - 00:00,9.74,24.05,14.33,52.26,8.42,1.06,17.85,128.23,26.25,1.73,0.34,7.32,0.55,0.27,57.4,1.47,129.46,388.7,0.0,15-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
15-Jun-2020 - 00:00,9.58,21.92,12.32,39.13,6.99,0.96,19.97,105.67,19.08,1.28,0.26,9.11,0.49,0.24,47.64,1.4,162.65,412.52,0.0,16-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
16-Jun-2020 - 00:00,9.55,22.17,12.56,44.3,6.49,0.97,18.4,106.38,22.93,1.7,0.13,6.8,0.3,0.14,50.94,1.8,111.73,468.18,0.0,17-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
17-Jun-2020 - 00:00,9.63,21.24,11.57,36.37,6.75,0.93,17.09,94.21,17.76,1.14,0.11,4.82,0.28,0.13,56.06,2.3,97.02,346.71,0.0,18-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
18-Jun-2020 - 00:00,9.07,20.52,11.47,33.46,5.12,0.99,15.73,134.16,7.25,1.61,0.15,4.76,0.37,0.18,58.68,1.73,91.02,348.15,0.0,19-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
19-Jun-2020 - 00:00,9.59,21.97,12.37,41.72,5.05,0.97,13.41,100.28,9.26,1.4,0.14,5.59,0.27,0.11,62.69,1.64,135.35,435.75,0.0,20-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
20-Jun-2020 - 00:00,16.31,25.93,8.89,25.23,12.2,0.59,21.49,163.33,20.8,0.48,0.21,7.67,0.37,0.19,52.81,1.65,171.72,307.27,0.0,21-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
21-Jun-2020 - 00:00,20.37,31.97,10.52,38.23,5.71,0.86,16.56,74.08,14.09,1.48,0.23,10.09,0.41,0.19,60.91,1.32,130.23,259.79,0.0,22-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
22-Jun-2020 - 00:00,14.62,27.37,12.27,42.0,13.29,0.94,24.98,76.31,21.41,0.92,0.1,6.31,0.2,0.13,62.89,1.61,151.76,510.04,0.0,23-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
23-Jun-2020 - 00:00,10.05,23.59,13.51,48.63,5.41,0.89,10.18,71.88,13.45,1.15,0.1,5.41,0.22,0.1,76.11,1.91,93.62,242.87,0.0,24-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
24-Jun-2020 - 00:00,9.51,23.9,14.35,50.61,4.54,0.94,8.61,64.27,7.97,1.18,0.13,6.13,0.31,0.14,81.19,1.7,102.06,165.21,0.0,25-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
25-Jun-2020 - 00:00,9.51,24.29,14.85,49.79,5.6,0.9,9.94,89.03,6.4,0.82,0.34,9.52,0.5,0.22,70.26,1.3,241.22,395.87,0.0,26-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
26-Jun-2020 - 00:00,9.43,22.81,13.42,44.74,5.05,0.91,9.01,84.14,15.4,1.08,0.32,8.48,0.49,0.23,70.58,1.99,201.15,322.3,0.0,27-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
27-Jun-2020 - 00:00,9.37,22.55,13.31,43.2,11.05,0.77,6.96,77.02,5.48,1.83,0.4,8.25,0.72,0.43,65.45,1.99,221.48,263.88,0.0,28-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
28-Jun-2020 - 00:00,9.04,22.96,14.01,44.51,1.46,0.82,8.24,128.02,10.97,2.09,0.66,7.28,1.19,0.63,53.0,2.41,237.62,420.15,0.0,29-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
29-Jun-2020 - 00:00,8.92,21.55,12.84,36.05,1.31,0.78,12.67,130.02,8.74,1.64,0.6,5.5,1.08,1.38,55.87,1.91,194.0,445.16,0.0,30-Jun-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
30-Jun-2020 - 00:00,8.98,22.7,13.8,43.21,1.6,0.87,8.83,50.03,6.84,3.08,0.64,7.53,1.28,0.58,83.97,1.5,101.73,352.02,0.0,01-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
01-Jul-2020 - 00:00,9.94,24.55,14.68,46.03,8.49,0.78,13.88,103.45,18.38,3.5,1.05,7.25,2.42,1.41,61.25,1.7,130.08,376.46,0.0,02-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
02-Jul-2020 - 00:00,23.69,93.15,69.62,214.91,16.66,0.78,23.12,117.34,37.12,3.64,1.25,6.62,2.44,1.36,59.97,1.27,110.81,402.5,0.0,03-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
03-Jul-2020 - 00:00,8.98,23.71,14.84,43.65,0.72,1.04,16.19,135.19,66.16,5.59,0.96,5.44,2.17,0.94,57.99,1.91,120.62,345.7,0.0,04-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
04-Jul-2020 - 00:00,8.53,19.96,11.49,29.81,1.18,0.93,15.78,85.6,40.06,2.6,0.58,5.27,1.31,0.58,66.33,2.31,99.43,359.0,0.0,05-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
05-Jul-2020 - 00:00,8.08,18.33,10.32,26.1,1.24,0.79,17.78,52.41,26.93,2.0,0.86,6.55,1.98,0.79,70.58,1.65,88.0,384.02,0.0,06-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
06-Jul-2020 - 00:00,7.77,17.33,9.65,21.57,1.07,0.93,12.41,59.12,36.43,2.32,0.81,5.75,1.94,0.83,77.84,1.99,96.16,418.26,0.0,07-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
07-Jul-2020 - 00:00,7.69,16.06,8.43,17.93,0.91,0.87,8.49,36.36,11.86,1.52,0.65,5.34,1.92,0.7,80.1,2.65,74.64,382.21,0.0,08-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
08-Jul-2020 - 00:00,7.88,15.78,7.94,16.02,1.21,0.91,6.28,31.56,16.93,1.67,0.54,5.56,1.21,0.47,85.27,1.89,111.88,272.46,0.0,09-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
09-Jul-2020 - 00:00,7.56,15.01,7.5,12.28,1.47,0.91,6.94,36.38,16.79,2.37,0.66,6.78,1.17,0.52,77.99,1.39,213.38,425.03,0.0,10-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
10-Jul-2020 - 00:00,7.79,15.14,7.38,13.15,1.42,0.82,7.7,46.77,17.78,0.92,0.52,5.81,0.86,0.37,67.85,2.6,235.78,370.75,0.0,11-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
11-Jul-2020 - 00:00,7.79,17.18,9.48,21.32,0.51,0.83,8.81,43.5,13.91,1.35,0.9,6.98,1.59,0.88,70.42,1.37,174.26,334.01,0.0,12-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
12-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,13-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
13-Jul-2020 - 00:00,9.53,18.34,9.32,29.66,4.14,0.56,6.08,100.92,39.75,1.19,1.31,11.93,1.79,1.21,59.95,1.83,244.57,306.49,0.0,14-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
14-Jul-2020 - 00:00,9.4,23.78,14.45,51.69,6.09,0.75,10.71,94.23,31.1,1.45,1.02,13.59,1.61,0.88,62.84,1.3,184.95,418.24,0.0,15-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
15-Jul-2020 - 00:00,6.32,22.86,16.96,75.44,3.46,0.96,13.16,89.13,40.41,0.7,0.27,6.15,0.54,0.23,73.02,2.26,77.63,365.54,0.0,16-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
16-Jul-2020 - 00:00,5.92,23.85,17.2,65.42,1.37,0.89,5.51,55.8,10.32,0.34,0.09,3.74,0.23,0.21,76.44,1.5,102.93,124.07,0.0,17-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
17-Jul-2020 - 00:00,5.92,25.28,19.88,81.63,3.04,0.88,14.5,57.27,20.84,0.68,0.26,6.11,0.59,0.25,77.71,2.01,83.92,322.5,0.0,18-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
18-Jul-2020 - 00:00,6.31,23.05,17.05,67.58,3.03,0.77,7.79,62.0,17.11,0.66,0.19,6.55,0.34,0.15,79.73,1.82,99.16,250.75,0.0,19-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
19-Jul-2020 - 00:00,4.48,28.25,24.57,103.9,1.18,0.62,5.37,38.86,11.43,0.56,0.11,6.69,0.18,0.07,79.78,1.72,201.63,265.03,0.0,20-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
20-Jul-2020 - 00:00,3.55,34.0,31.51,134.95,3.4,0.56,5.19,27.41,8.98,0.36,0.11,8.07,0.21,0.1,71.32,1.81,256.36,394.15,0.0,21-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
21-Jul-2020 - 00:00,4.28,28.56,24.1,90.81,13.59,0.56,7.61,24.4,10.6,0.42,0.16,6.95,0.26,0.13,82.35,1.65,162.43,369.4,0.0,22-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
22-Jul-2020 - 00:00,3.48,32.28,29.83,93.91,3.62,0.49,4.82,20.95,7.46,0.31,0.16,8.36,0.25,0.1,86.01,1.64,227.53,235.01,0.0,23-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
23-Jul-2020 - 00:00,5.13,27.11,22.66,64.57,5.26,0.61,9.34,53.02,15.45,0.55,0.3,7.65,0.4,0.2,69.76,1.15,240.28,531.01,0.0,24-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
24-Jul-2020 - 00:00,5.97,23.12,17.63,47.32,9.85,0.73,12.91,86.59,22.6,0.6,0.18,6.15,0.29,0.14,75.47,1.86,119.45,359.65,0.0,25-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
25-Jul-2020 - 00:00,3.65,29.41,26.73,82.97,6.99,0.77,14.99,234.12,14.23,0.43,0.13,7.97,0.22,0.1,75.69,1.92,104.28,404.99,0.0,26-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
26-Jul-2020 - 00:00,4.92,25.8,21.54,64.67,7.28,0.7,10.27,56.44,12.0,0.36,0.1,5.86,0.16,0.07,71.9,1.27,124.47,464.76,0.0,27-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
27-Jul-2020 - 00:00,5.2,23.65,18.97,54.47,9.4,0.74,11.37,212.12,15.93,0.42,0.11,5.34,0.18,0.08,69.8,2.07,260.91,421.37,0.0,28-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
28-Jul-2020 - 00:00,5.17,28.82,24.41,76.32,6.39,0.6,10.93,214.47,14.35,0.3,0.18,11.01,0.23,0.11,65.73,2.28,252.0,436.01,0.0,29-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
29-Jul-2020 - 00:00,4.2,31.48,28.2,89.93,5.35,0.58,6.62,37.49,23.09,0.29,0.16,16.4,0.22,0.1,77.64,2.35,136.45,430.82,0.0,30-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
30-Jul-2020 - 00:00,6.97,21.82,14.82,41.86,5.21,0.83,8.53,36.07,20.26,0.44,0.14,7.13,0.22,0.12,73.34,1.32,177.43,360.67,0.0,31-Jul-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
31-Jul-2020 - 00:00,5.78,25.41,20.17,61.95,6.61,0.87,5.36,47.25,9.68,0.54,0.13,7.67,0.23,0.1,86.59,1.3,131.32,265.52,0.0,01-Aug-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
01-Aug-2020 - 00:00,6.1,27.18,21.64,69.75,5.71,0.7,12.92,45.23,20.76,0.38,0.1,8.77,0.15,0.09,87.21,1.66,135.96,240.76,0.0,02-Aug-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
02-Aug-2020 - 00:00,4.36,68.14,71.48,200.37,9.22,0.63,7.28,46.52,17.31,0.5,0.35,19.98,0.47,0.26,82.2,1.43,249.03,310.15,0.0,03-Aug-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
03-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,04-Aug-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
04-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,05-Aug-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
05-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,06-Aug-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
06-Aug-2020 - 00:00,16.51,22.82,7.22,59.03,3.54,0.12,3.56,34.2,2.02,0.34,0.14,9.14,0.16,0.1,80.65,2.74,81.5,3.82,0.0,07-Aug-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
07-Aug-2020 - 00:00,21.19,31.23,8.85,72.17,4.7,0.63,8.98,38.14,28.38,0.28,0.19,14.83,0.23,0.17,76.01,2.44,92.27,71.69,0.0,08-Aug-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
08-Aug-2020 - 00:00,4.8,27.93,23.87,84.67,4.68,0.73,7.4,55.19,32.91,0.37,0.25,37.34,0.23,0.46,66.13,1.2,140.41,46.56,0.0,09-Aug-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
09-Aug-2020 - 00:00,7.78,30.08,22.74,74.81,5.11,0.74,10.48,36.97,16.07,0.48,1.59,50.8,1.34,0.7,73.4,1.64,207.2,92.06,0.0,10-Aug-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
10-Aug-2020 - 00:00,9.74,27.36,17.75,50.41,4.78,0.66,6.4,30.01,14.23,0.69,1.7,39.47,1.59,1.02,90.13,1.52,114.5,201.78,0.0,11-Aug-2020 - 00:00,"Shyam Nagar, Palwal - HSPCB"
