from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,AT,RH,WS,WD,SR,BP,RF,to date,station
06-Sep-2020 - 00:00,26.64,,11.81,34.75,13.76,20.58,15.15,5.92,27.81,62.1,28.99,82.47,1.0,7.69,614.3,735.14,0.0,07-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
07-Sep-2020 - 00:00,26.59,,10.19,17.62,8.52,18.0,16.11,6.82,44.18,98.52,29.42,82.25,0.81,18.83,613.67,735.55,0.0,08-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
08-Sep-2020 - 00:00,26.74,,16.31,16.02,11.41,15.88,14.87,8.53,28.72,73.29,30.46,76.46,1.17,3.14,613.53,736.22,0.0,09-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
09-Sep-2020 - 00:00,26.57,,9.58,13.58,10.17,15.54,14.53,11.68,46.0,112.85,31.09,76.43,1.03,1.12,614.97,736.35,0.0,10-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
10-Sep-2020 - 00:00,27.2,,20.75,26.3,13.16,18.36,22.47,9.18,45.45,133.29,31.56,72.71,0.96,1.53,613.47,733.2,0.0,11-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
11-Sep-2020 - 00:00,27.66,,25.14,10.58,9.37,13.36,14.63,10.22,53.0,168.0,33.08,63.89,0.86,1.67,612.44,734.41,0.0,12-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
12-Sep-2020 - 00:00,27.59,,17.77,10.96,9.44,13.95,14.7,13.06,60.86,184.47,31.64,69.29,0.79,2.04,612.35,736.73,0.0,13-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
13-Sep-2020 - 00:00,27.51,,25.73,11.3,9.33,14.16,14.71,15.78,77.43,201.3,31.08,75.86,0.77,1.16,611.82,736.57,0.0,14-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
14-Sep-2020 - 00:00,27.69,,13.18,16.71,9.49,14.48,14.5,18.61,90.39,226.18,31.64,75.23,0.69,2.47,611.5,735.41,0.0,15-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
15-Sep-2020 - 00:00,27.7,,27.74,13.06,8.95,13.16,14.72,20.07,69.64,181.94,31.92,71.58,0.75,1.51,611.78,735.27,0.0,16-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
16-Sep-2020 - 00:00,27.5,,14.26,10.95,9.35,13.87,14.64,8.19,63.48,196.84,32.82,68.87,0.97,1.48,611.94,734.65,0.0,17-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
17-Sep-2020 - 00:00,27.51,,11.51,10.9,9.25,13.78,14.75,4.47,42.14,140.05,33.22,66.62,1.31,1.0,611.91,734.24,0.0,18-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
18-Sep-2020 - 00:00,27.51,,17.2,11.12,9.4,14.04,14.7,6.4,37.17,138.09,33.58,66.31,1.37,1.0,611.81,733.63,0.0,19-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
19-Sep-2020 - 00:00,27.66,,15.63,11.08,9.4,14.0,14.7,8.78,59.19,174.49,32.29,69.99,0.94,1.0,611.43,733.84,0.0,20-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
20-Sep-2020 - 00:00,27.73,,4.97,11.24,9.42,14.16,14.72,9.04,64.75,173.5,29.35,80.33,0.53,1.0,611.0,734.0,0.0,21-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
21-Sep-2020 - 00:00,27.78,,24.83,11.07,9.4,14.01,14.7,13.29,69.42,214.02,33.44,65.94,1.24,1.22,611.8,732.14,0.0,22-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
22-Sep-2020 - 00:00,27.76,,13.57,11.04,9.4,13.98,14.7,14.19,40.91,126.92,31.5,73.64,1.04,3.96,611.36,732.78,0.0,23-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
23-Sep-2020 - 00:00,27.9,,12.25,10.79,9.4,13.77,14.69,6.86,23.41,87.96,30.9,74.15,0.9,8.16,610.81,732.93,0.0,24-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
24-Sep-2020 - 00:00,27.57,,20.82,11.09,9.4,14.01,14.7,6.71,31.91,43.26,29.62,76.42,0.9,5.95,609.89,734.99,0.0,25-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
25-Sep-2020 - 00:00,28.11,,27.59,11.13,13.55,16.25,14.1,10.51,46.01,255.78,30.36,71.21,1.02,4.53,609.37,734.59,0.0,26-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
26-Sep-2020 - 00:00,27.56,,9.96,11.12,26.46,23.11,16.62,15.63,61.53,219.24,28.67,71.91,1.06,3.28,613.39,734.62,0.0,27-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
27-Sep-2020 - 00:00,27.53,,24.93,11.15,22.67,21.13,18.18,18.07,34.69,135.39,29.41,64.66,1.04,1.41,613.45,737.24,0.0,28-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
28-Sep-2020 - 00:00,27.47,,18.71,11.03,25.3,22.43,19.47,21.61,54.68,200.16,28.8,67.46,0.94,2.57,613.62,738.55,0.0,29-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
29-Sep-2020 - 00:00,27.64,,40.45,11.14,20.3,19.87,21.66,25.41,48.76,203.59,32.01,57.0,1.6,5.93,613.48,737.74,0.0,30-Sep-2020 - 00:00,"Sector - 125, Noida - UPPCB"
30-Sep-2020 - 00:00,27.57,,19.29,11.08,28.09,23.95,19.38,19.32,46.15,169.35,28.25,66.92,0.85,10.04,613.23,736.44,0.0,01-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
01-Oct-2020 - 00:00,27.62,,23.34,11.2,28.88,24.47,19.96,20.91,53.06,200.66,29.73,60.84,1.11,12.31,613.31,736.61,0.0,02-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
02-Oct-2020 - 00:00,27.56,,29.72,11.08,25.07,22.35,22.08,25.0,64.12,203.63,29.39,61.87,0.86,9.72,613.54,737.0,0.0,03-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
03-Oct-2020 - 00:00,27.49,,24.99,11.19,27.44,23.7,23.12,27.97,65.42,190.49,28.87,60.91,0.86,11.59,613.76,738.25,0.0,04-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
04-Oct-2020 - 00:00,27.42,,7.84,11.07,34.24,27.21,22.41,32.64,92.82,224.84,24.88,72.92,0.64,11.34,614.0,739.74,0.0,05-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
05-Oct-2020 - 00:00,27.62,,41.49,11.17,25.84,22.83,22.75,23.04,46.83,199.29,30.97,46.79,1.35,10.42,613.56,738.19,0.0,06-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
06-Oct-2020 - 00:00,27.61,,27.49,10.94,30.03,24.87,23.57,28.26,61.52,210.85,28.62,56.06,0.96,8.5,613.43,739.1,0.0,07-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
07-Oct-2020 - 00:00,27.58,,43.06,11.1,30.67,25.35,23.2,44.14,96.06,240.12,27.35,63.17,0.78,4.27,613.6,741.33,0.0,08-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
08-Oct-2020 - 00:00,27.5,,55.48,11.11,26.84,23.32,24.37,24.89,92.57,220.65,31.25,49.0,1.13,3.61,613.87,741.2,0.0,09-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
09-Oct-2020 - 00:00,27.63,,35.82,11.17,30.95,25.54,24.65,25.04,66.97,227.14,28.26,60.64,0.73,7.92,613.33,741.4,0.0,10-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
10-Oct-2020 - 00:00,27.62,,40.99,11.39,30.03,25.24,26.32,23.66,86.96,236.63,28.76,60.64,0.77,5.33,613.36,740.24,0.0,11-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
11-Oct-2020 - 00:00,27.5,,40.19,11.11,29.83,24.9,26.12,14.46,86.98,236.09,28.65,60.37,0.84,2.86,613.55,738.34,0.0,12-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
12-Oct-2020 - 00:00,27.43,,41.17,11.1,35.02,27.65,25.92,24.67,129.01,308.09,28.07,60.36,0.63,4.5,613.72,737.09,0.0,13-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
13-Oct-2020 - 00:00,27.37,,33.54,11.08,22.84,21.16,27.35,15.63,117.93,268.99,28.39,67.39,0.67,9.61,613.93,737.85,0.0,14-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
14-Oct-2020 - 00:00,30.88,,33.4,11.11,27.47,23.65,29.58,19.18,102.82,245.43,28.83,66.06,0.56,6.38,607.21,739.06,0.0,15-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
15-Oct-2020 - 00:00,34.19,,30.79,10.92,33.64,26.79,29.34,38.56,175.69,361.25,26.39,66.94,0.54,3.62,600.62,739.62,0.0,16-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
16-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,17-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
17-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,18-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
18-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,19-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
19-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,20-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
20-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,21-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
21-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,22-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
22-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,23-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
23-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,24-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
24-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,25-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
25-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,26-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
26-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,27-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
27-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,28-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
28-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,29-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
29-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,30-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
30-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,31-Oct-2020 - 00:00,"Sector - 125, Noida - UPPCB"
31-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,01-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
01-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,02-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
02-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,03-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
03-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,04-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
04-Nov-2020 - 00:00,,,12.13,11.2,7.85,13.29,2.49,39.69,468.7,721.37,,,0.3,139.97,161.77,,0.0,05-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
05-Nov-2020 - 00:00,,,29.94,11.15,6.17,12.03,2.18,43.07,275.02,445.88,,,0.3,142.02,160.54,,0.0,06-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
06-Nov-2020 - 00:00,,,27.26,11.25,5.89,11.93,1.97,44.94,248.27,432.96,,,0.3,142.92,160.14,,0.0,07-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
07-Nov-2020 - 00:00,,0.54,31.05,11.21,7.52,12.75,2.59,44.48,318.63,517.43,,,0.3,139.0,161.76,,0.0,08-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
08-Nov-2020 - 00:00,,,8.37,11.1,10.37,13.99,2.64,44.58,352.24,536.54,,,0.3,133.08,162.34,,0.0,09-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
09-Nov-2020 - 00:00,,,31.53,8.99,9.32,10.37,3.17,31.82,410.64,715.0,,,0.3,134.18,162.88,,0.0,10-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
10-Nov-2020 - 00:00,,,21.57,13.67,14.31,16.68,1.87,25.84,488.88,,,,0.3,136.19,160.03,,0.0,11-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
11-Nov-2020 - 00:00,,,20.6,8.21,4.91,8.24,3.24,18.76,129.4,715.0,,,0.3,133.8,163.57,,0.0,12-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
12-Nov-2020 - 00:00,,,23.64,13.79,8.36,15.12,2.0,27.42,183.55,,,,0.3,134.81,162.31,,0.0,13-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
13-Nov-2020 - 00:00,,,32.13,12.81,20.28,20.79,7.2,17.69,177.27,231.14,,,0.3,138.55,161.01,,0.0,14-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
14-Nov-2020 - 00:00,,,29.79,11.09,22.15,20.54,11.52,17.2,349.88,509.29,,,0.3,138.2,161.82,,0.0,15-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
15-Nov-2020 - 00:00,,,30.71,11.07,8.68,13.38,9.96,13.27,280.64,387.89,,,0.3,138.12,160.78,,0.0,16-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
16-Nov-2020 - 00:00,,,20.84,11.08,9.82,13.98,9.27,9.07,98.24,143.08,,,0.3,136.99,160.33,,0.0,17-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
17-Nov-2020 - 00:00,,,14.18,11.08,18.31,18.53,11.65,10.57,73.73,137.54,,,0.3,136.36,161.24,,0.0,18-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
18-Nov-2020 - 00:00,,,11.92,11.23,20.72,19.66,11.37,9.39,100.16,162.7,,,0.3,138.4,159.34,,0.0,19-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
19-Nov-2020 - 00:00,,,34.68,9.55,17.39,17.04,8.04,22.78,126.38,216.03,,,0.3,136.76,162.26,,0.0,20-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
20-Nov-2020 - 00:00,,,22.49,11.04,20.97,19.92,8.76,27.11,148.0,241.68,,,0.3,136.98,161.5,,0.0,21-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
21-Nov-2020 - 00:00,,,22.4,10.84,17.99,18.39,8.1,27.46,110.96,196.14,,,0.3,136.0,162.09,,0.0,22-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
22-Nov-2020 - 00:00,,,20.15,11.11,18.98,19.12,7.87,31.79,146.14,253.08,,,0.3,136.74,161.69,,0.0,23-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
23-Nov-2020 - 00:00,,,20.82,11.13,22.79,20.85,7.85,37.49,186.23,327.17,,,0.3,135.92,161.79,,0.0,24-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
24-Nov-2020 - 00:00,,,8.64,11.17,27.56,23.2,6.88,42.22,330.5,517.75,,,0.3,136.7,160.7,,0.0,25-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
25-Nov-2020 - 00:00,,,18.89,11.12,3.93,11.13,2.89,39.56,209.94,342.58,,,0.3,133.11,164.19,,0.0,26-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
26-Nov-2020 - 00:00,,,16.95,11.14,12.71,15.61,7.52,42.72,103.52,170.05,,,0.3,134.52,163.09,,0.0,27-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
27-Nov-2020 - 00:00,,,11.37,11.21,18.44,18.71,8.87,40.11,73.12,141.65,,,0.3,133.92,162.67,,0.0,28-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
28-Nov-2020 - 00:00,,,15.55,11.07,20.49,19.67,8.24,41.19,110.89,197.72,,,0.3,133.48,162.98,,0.0,29-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
29-Nov-2020 - 00:00,,,18.06,10.92,25.27,22.33,7.75,44.17,136.06,248.69,,,0.3,133.48,162.85,,0.0,30-Nov-2020 - 00:00,"Sector - 125, Noida - UPPCB"
30-Nov-2020 - 00:00,,,9.99,11.1,28.7,24.1,9.34,48.81,174.44,311.57,,,0.3,133.11,163.02,,0.0,01-Dec-2020 - 00:00,"Sector - 125, Noida - UPPCB"
01-Dec-2020 - 00:00,,,3.1,11.4,34.6,27.7,9.35,49.95,241.0,454.0,,,0.3,133.5,162.0,,0.0,02-Dec-2020 - 00:00,"Sector - 125, Noida - UPPCB"
