from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,AT,RH,WS,WD,SR,BP,RF,to date,station
06-Feb-2020 - 00:00,29.61,1.09,24.57,3.74,65.99,36.87,36.41,16.66,104.98,191.53,13.69,71.23,0.72,25.42,69.03,748.16,0.0,07-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
07-Feb-2020 - 00:00,29.62,1.42,37.61,1.73,78.68,42.88,37.99,19.47,137.0,246.96,13.79,70.94,0.74,33.71,69.19,750.8,0.0,08-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
08-Feb-2020 - 00:00,29.53,0.86,26.54,1.45,64.66,35.43,38.38,13.71,131.45,221.28,14.75,70.58,1.18,14.1,78.63,752.67,0.0,09-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
09-Feb-2020 - 00:00,29.59,1.44,32.22,2.27,78.99,43.15,39.93,14.51,140.05,234.35,15.19,69.09,0.76,17.42,86.59,753.22,0.0,10-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
10-Feb-2020 - 00:00,29.74,1.43,28.84,5.11,80.97,45.52,39.47,11.87,152.77,274.95,14.99,69.28,0.76,19.76,79.5,751.15,0.0,11-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
11-Feb-2020 - 00:00,29.82,1.81,23.19,4.64,93.02,51.31,42.03,13.22,173.46,325.75,14.23,73.13,0.6,27.16,64.82,751.24,0.0,12-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
12-Feb-2020 - 00:00,29.65,2.16,31.62,2.36,72.73,40.28,45.36,20.12,164.25,298.5,17.1,68.85,1.43,17.64,85.69,750.76,0.0,13-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
13-Feb-2020 - 00:00,29.56,0.79,33.04,3.28,47.66,28.02,35.06,15.03,75.11,181.74,19.71,61.18,2.2,10.31,86.1,747.42,0.0,14-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
14-Feb-2020 - 00:00,29.63,2.79,45.91,1.26,35.9,20.13,29.98,11.67,55.05,184.43,19.25,57.41,2.58,10.66,101.79,744.64,0.0,15-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
15-Feb-2020 - 00:00,29.47,1.1,30.53,3.27,59.53,34.06,27.61,15.86,77.05,185.38,17.66,55.8,1.65,10.36,83.34,745.18,0.0,16-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
16-Feb-2020 - 00:00,28.82,1.44,35.74,50.69,69.02,77.93,32.53,18.96,116.29,237.54,18.46,59.84,0.98,20.54,108.58,748.32,0.0,17-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
17-Feb-2020 - 00:00,28.92,1.47,31.76,75.51,82.19,105.1,42.09,23.91,159.2,312.02,19.07,60.14,1.28,18.3,102.33,749.31,0.0,18-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
18-Feb-2020 - 00:00,29.09,1.32,34.55,37.74,78.25,72.3,31.27,26.12,118.76,266.39,19.31,51.99,1.28,15.17,110.99,746.79,0.0,19-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
19-Feb-2020 - 00:00,29.04,1.47,33.45,33.89,54.23,56.42,41.75,26.12,139.36,290.55,18.32,63.06,1.12,48.27,86.45,745.82,0.0,20-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
20-Feb-2020 - 00:00,29.28,1.55,39.18,2.51,37.16,21.81,41.0,12.63,107.41,207.78,18.39,69.02,1.37,42.13,54.74,745.37,0.0,21-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
21-Feb-2020 - 00:00,29.69,0.55,37.47,2.91,28.48,17.5,38.06,9.04,50.57,79.53,17.11,79.48,2.29,32.93,54.98,748.69,0.0,22-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
22-Feb-2020 - 00:00,29.61,1.01,35.63,15.33,44.54,36.15,32.02,17.49,57.43,108.06,18.06,77.06,0.96,38.0,77.17,752.09,0.0,23-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
23-Feb-2020 - 00:00,29.62,1.05,72.05,27.38,50.84,49.3,36.62,30.7,96.75,179.72,20.06,72.28,0.95,29.44,73.8,749.94,0.0,24-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
24-Feb-2020 - 00:00,29.66,1.06,28.97,17.76,55.03,43.71,30.98,17.67,58.06,126.33,19.76,68.78,1.01,23.96,103.65,746.86,0.0,25-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
25-Feb-2020 - 00:00,29.51,1.41,18.68,37.76,75.31,70.76,37.28,18.75,133.9,253.34,19.45,75.27,0.96,16.37,69.24,745.79,0.0,26-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
26-Feb-2020 - 00:00,29.38,1.07,12.77,28.02,57.11,53.16,39.01,14.69,139.88,261.19,17.31,84.81,0.6,55.94,76.19,746.25,0.0,27-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
27-Feb-2020 - 00:00,29.96,0.96,35.38,2.67,39.12,22.98,43.71,16.79,94.89,182.13,22.35,70.87,1.41,56.74,100.61,746.16,0.0,28-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
28-Feb-2020 - 00:00,29.82,0.75,35.15,2.85,28.9,17.69,36.12,9.04,81.68,148.61,20.7,75.83,1.45,60.47,87.92,745.36,0.0,29-Feb-2020 - 00:00,"Sector - 125, Noida - UPPCB"
29-Feb-2020 - 00:00,29.81,0.57,34.85,2.07,24.58,14.76,33.45,7.6,56.68,103.42,20.43,78.22,1.8,53.28,73.39,744.54,0.0,01-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
01-Mar-2020 - 00:00,29.67,1.37,38.67,6.31,29.63,20.88,31.09,11.52,36.63,73.23,,73.74,0.79,57.1,106.53,745.24,0.0,02-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
02-Mar-2020 - 00:00,29.79,2.14,33.78,81.63,72.22,104.78,41.57,14.98,110.03,240.26,23.48,79.23,0.51,50.39,96.66,744.7,0.0,03-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
03-Mar-2020 - 00:00,29.96,1.2,27.21,43.24,59.32,66.69,49.32,16.94,77.6,188.35,21.66,66.71,0.94,23.82,96.22,743.19,0.0,04-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
04-Mar-2020 - 00:00,29.76,1.09,24.41,27.95,45.41,46.87,43.53,17.06,88.47,220.19,20.23,69.92,1.09,40.44,84.79,742.93,0.0,05-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
05-Mar-2020 - 00:00,29.8,0.62,31.7,2.99,32.08,19.49,30.89,8.62,30.26,65.16,19.51,73.6,1.73,35.66,87.07,742.83,0.0,06-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
06-Mar-2020 - 00:00,29.76,1.09,25.12,1.12,35.16,16.41,28.34,4.4,17.82,37.0,16.07,85.92,1.92,,42.96,742.42,0.0,07-Mar-2020 - 00:00,"Sector - 125, Noida - UPPCB"
