from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
23-Aug-2020 - 00:00,33.65,973.59,36.0,18.15,73.63,185.85,29.45,77.98,2.48,1.23,2.43,34.17,17.79,32.95,32.03,26.49,7.92,24-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
24-Aug-2020 - 00:00,33.4,972.63,16.18,12.85,75.31,176.48,5.73,84.55,2.08,0.82,0.29,26.01,23.14,37.84,39.0,21.17,3.84,25-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
25-Aug-2020 - 00:00,34.04,972.9,,15.32,72.87,190.7,6.41,104.54,1.27,1.63,0.24,35.47,36.73,50.72,56.92,19.24,4.44,26-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
26-Aug-2020 - 00:00,34.89,972.73,78.72,16.68,68.46,177.8,6.34,234.47,0.36,1.47,0.07,33.98,106.67,60.15,142.22,20.46,6.51,27-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
27-Aug-2020 - 00:00,34.73,972.39,57.29,21.35,70.41,193.92,11.39,215.64,0.43,2.09,1.31,16.28,58.99,39.51,70.32,24.21,3.72,28-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
28-Aug-2020 - 00:00,32.14,972.94,67.06,36.46,84.74,140.95,27.01,139.26,0.46,1.61,2.41,26.67,73.8,52.71,93.45,33.96,4.75,29-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
29-Aug-2020 - 00:00,34.29,972.98,78.81,48.76,73.27,190.28,52.3,85.97,0.83,1.79,4.52,27.54,34.21,49.57,54.25,30.49,11.55,30-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
30-Aug-2020 - 00:00,32.89,972.56,36.06,20.78,74.97,191.39,43.63,78.56,2.62,1.39,4.32,26.75,8.41,28.94,22.26,22.6,9.0,31-Aug-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
31-Aug-2020 - 00:00,33.63,972.8,25.52,11.72,70.92,183.02,3.21,101.36,2.11,2.42,0.54,23.37,13.74,35.03,29.84,19.66,6.63,01-Sep-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
01-Sep-2020 - 00:00,34.53,972.41,37.51,17.2,66.78,193.41,0.78,155.48,0.83,1.31,0.22,25.08,37.44,47.4,55.73,19.44,6.75,02-Sep-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
02-Sep-2020 - 00:00,34.69,972.29,63.02,28.41,68.12,190.74,2.63,170.36,0.49,1.84,0.8,27.9,46.34,66.67,77.39,34.17,6.85,03-Sep-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
03-Sep-2020 - 00:00,34.77,971.83,60.82,36.72,68.92,192.19,1.83,74.26,1.86,1.3,0.79,17.35,4.71,28.1,18.79,28.15,6.2,04-Sep-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
04-Sep-2020 - 00:00,34.98,972.0,52.79,42.08,68.65,185.05,1.48,114.05,1.22,2.02,0.99,31.72,66.38,79.75,95.77,26.18,26.13,05-Sep-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
05-Sep-2020 - 00:00,34.32,972.78,,47.21,72.82,173.1,3.9,174.42,0.51,1.38,0.99,18.35,41.64,35.77,52.95,46.89,15.43,06-Sep-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
06-Sep-2020 - 00:00,34.38,972.57,,47.37,72.35,188.37,1.79,216.16,0.32,2.08,0.68,38.99,84.77,83.62,124.1,31.84,15.39,07-Sep-2020 - 00:00,"Anand Vihar, Delhi - DPCC"
