from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Xylene,Toluene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,BP,SR,RF,to date,station
11-Jan-2020 - 00:00,90.13,256.24,78.97,54.8,133.76,31.88,10.15,1.28,3.61,0.91,6.67,1.27,16.13,19.06,12.43,82.42,0.22,250.94,754.8,121.61,0.0,12-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
12-Jan-2020 - 00:00,80.02,136.6,56.81,60.11,116.91,60.24,9.22,1.64,3.58,1.2,6.12,1.36,14.67,16.19,10.44,94.34,0.19,258.86,754.58,60.15,0.01,13-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
13-Jan-2020 - 00:00,114.43,169.06,55.37,104.16,159.53,59.13,10.88,2.53,3.77,1.51,7.28,1.66,17.78,19.59,10.08,96.15,0.18,220.91,754.51,38.84,0.01,14-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
14-Jan-2020 - 00:00,102.19,176.66,55.01,117.09,172.1,,10.66,2.95,3.79,1.81,9.16,2.16,22.2,23.45,11.27,94.5,0.23,208.42,754.61,67.79,0.0,15-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
15-Jan-2020 - 00:00,129.96,215.71,66.29,111.31,177.12,42.36,8.14,3.12,4.66,2.34,11.11,3.19,26.42,25.56,13.22,90.89,0.3,147.03,754.7,94.1,0.01,16-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
16-Jan-2020 - 00:00,98.69,187.35,87.38,76.23,163.46,43.73,11.49,2.04,2.51,1.99,13.23,3.1,30.88,29.23,16.62,78.95,0.43,96.62,754.78,115.7,0.0,17-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
17-Jan-2020 - 00:00,104.36,202.43,88.55,49.19,137.54,40.33,11.92,1.51,2.1,0.7,4.97,1.07,11.99,14.03,19.07,78.66,0.5,97.13,754.7,106.04,0.01,18-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
18-Jan-2020 - 00:00,64.04,118.51,56.06,57.49,108.6,40.26,11.34,1.03,1.86,0.92,7.31,6.06,18.92,19.64,16.99,92.57,0.23,219.77,784.92,79.86,0.0,19-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
19-Jan-2020 - 00:00,61.14,115.29,52.12,40.27,92.57,26.53,11.1,0.9,1.67,0.74,6.1,31.68,15.07,19.33,14.82,86.64,0.42,244.05,782.3,63.69,0.0,20-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
20-Jan-2020 - 00:00,57.99,112.73,68.13,61.61,130.47,26.05,8.3,1.13,2.21,0.75,5.62,25.54,14.54,15.58,13.51,83.51,0.36,234.86,789.86,86.41,0.0,21-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
21-Jan-2020 - 00:00,95.94,182.99,78.33,116.41,185.89,28.22,9.25,1.75,1.78,1.34,7.99,27.58,19.89,19.2,12.81,86.48,0.25,210.23,792.65,88.12,0.01,22-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
22-Jan-2020 - 00:00,101.06,182.65,81.36,98.92,180.26,27.58,9.6,1.77,2.24,1.52,10.32,28.31,25.21,24.67,13.61,83.76,0.27,195.91,788.61,123.43,0.0,23-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
23-Jan-2020 - 00:00,85.58,162.32,75.56,56.35,131.56,27.58,8.69,1.22,1.89,1.04,7.57,24.31,18.25,21.16,14.4,75.51,0.42,216.83,789.15,135.07,0.01,24-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
24-Jan-2020 - 00:00,53.71,140.17,76.58,64.1,144.17,27.72,9.15,1.07,2.27,0.77,5.76,21.19,14.15,16.89,13.6,68.59,0.36,211.42,762.92,141.63,0.0,25-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
25-Jan-2020 - 00:00,81.94,172.49,77.01,69.28,144.48,33.73,10.16,1.29,2.09,1.07,7.02,26.24,16.92,18.76,13.76,76.6,0.24,210.2,762.41,131.14,0.0,26-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
26-Jan-2020 - 00:00,90.91,198.15,72.18,74.23,146.98,35.93,10.28,1.5,1.84,1.12,6.16,27.67,15.02,16.92,13.4,86.02,0.2,219.97,760.53,91.32,0.0,27-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
27-Jan-2020 - 00:00,114.44,248.89,84.54,105.5,190.19,35.72,9.87,2.06,2.48,1.46,7.47,30.79,20.69,18.06,14.58,83.39,0.21,219.17,761.72,116.48,0.0,28-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
28-Jan-2020 - 00:00,120.46,238.5,78.22,45.41,123.82,36.29,9.59,1.48,2.62,1.51,8.45,32.0,22.47,19.8,16.43,79.73,0.41,134.41,760.29,87.11,0.01,29-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
29-Jan-2020 - 00:00,100.64,216.74,73.5,54.51,126.61,37.43,10.54,1.59,4.11,1.22,6.94,38.86,17.03,18.22,18.08,79.95,0.59,75.11,761.64,117.22,0.0,30-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
30-Jan-2020 - 00:00,112.2,222.42,65.23,59.34,124.66,43.2,12.72,1.52,1.76,1.35,8.11,36.49,19.68,20.98,16.17,93.19,0.39,228.34,758.46,48.73,0.01,31-Jan-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
31-Jan-2020 - 00:00,46.3,120.42,74.01,57.38,131.63,29.05,10.23,1.0,2.59,0.66,5.26,25.54,13.8,14.79,14.93,73.73,0.35,209.59,763.65,157.18,0.01,01-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
01-Feb-2020 - 00:00,62.48,154.05,80.61,69.8,149.9,33.61,10.57,1.25,2.22,0.88,5.68,25.28,14.37,15.69,14.44,70.84,0.32,202.09,763.53,156.13,0.0,02-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
02-Feb-2020 - 00:00,52.85,142.2,73.27,37.11,110.21,38.92,8.83,0.93,4.88,0.67,4.4,24.98,10.85,12.92,14.76,65.72,0.46,214.06,756.99,162.94,0.0,03-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
03-Feb-2020 - 00:00,59.38,152.04,86.43,71.01,157.06,26.33,8.58,1.33,3.1,0.83,5.12,26.98,12.6,14.01,14.2,69.03,0.27,215.5,756.25,162.91,0.0,04-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
04-Feb-2020 - 00:00,87.37,209.69,82.85,112.66,195.24,27.57,10.15,1.82,4.16,1.13,6.76,28.39,16.48,17.07,14.86,70.74,0.31,148.6,754.96,153.45,0.0,05-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
05-Feb-2020 - 00:00,85.13,187.59,93.75,85.52,178.35,46.58,11.0,1.48,4.22,1.0,6.9,29.72,16.5,16.82,15.78,71.93,0.31,210.24,754.94,149.51,0.0,06-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
06-Feb-2020 - 00:00,72.74,185.81,100.85,94.81,196.05,38.1,12.45,1.5,2.77,0.85,5.97,22.73,14.53,15.84,15.24,70.92,0.19,204.62,754.96,153.36,0.0,07-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
07-Feb-2020 - 00:00,87.23,191.93,91.52,107.84,199.54,13.39,10.79,1.71,6.39,1.1,7.08,23.39,17.21,16.79,15.2,70.46,0.28,206.59,754.95,152.34,0.0,08-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
08-Feb-2020 - 00:00,82.47,181.1,100.5,89.19,189.5,15.66,11.29,1.57,3.45,1.39,7.1,28.55,16.92,17.49,16.36,61.78,0.22,241.86,754.96,158.23,0.0,09-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
09-Feb-2020 - 00:00,75.74,176.93,100.8,65.6,158.65,32.07,10.01,1.26,3.43,1.09,5.21,25.09,12.3,13.54,14.76,64.76,0.28,223.53,754.98,160.37,0.0,10-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
10-Feb-2020 - 00:00,78.81,172.42,102.01,76.52,178.1,34.23,8.91,1.43,2.26,0.91,5.25,23.44,12.82,12.81,15.68,67.28,0.21,214.27,755.0,162.32,0.0,11-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
11-Feb-2020 - 00:00,79.08,191.87,96.27,80.4,176.73,26.91,10.18,1.56,4.93,0.99,6.51,20.99,15.75,15.48,15.76,68.98,0.33,204.04,755.04,174.46,0.0,12-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
12-Feb-2020 - 00:00,86.13,194.73,96.26,54.27,151.11,29.3,9.28,1.35,3.05,0.94,6.13,23.17,14.52,14.23,15.84,68.32,0.35,208.83,755.04,179.94,0.0,13-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
13-Feb-2020 - 00:00,94.82,197.64,95.13,65.79,160.96,40.05,9.36,1.56,7.12,0.98,5.65,28.16,13.48,13.58,16.81,75.41,0.28,196.82,754.9,137.85,0.0,14-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
14-Feb-2020 - 00:00,96.79,207.23,86.72,78.51,165.39,49.69,8.49,1.87,4.95,1.13,6.78,25.26,16.26,14.69,18.41,81.02,0.34,221.58,754.96,153.02,0.0,15-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
15-Feb-2020 - 00:00,63.17,149.84,85.41,38.28,122.51,37.02,6.12,1.01,5.13,0.65,3.86,17.28,9.19,8.1,18.01,69.69,0.37,198.14,755.01,156.34,0.0,16-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
16-Feb-2020 - 00:00,69.64,162.81,89.93,49.63,139.11,33.4,7.14,0.96,4.33,0.74,4.09,19.58,9.86,9.53,17.67,68.87,0.28,222.58,755.03,170.63,0.0,17-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
17-Feb-2020 - 00:00,82.74,177.7,108.35,54.75,162.23,33.57,7.04,1.19,4.53,0.95,4.94,19.49,12.02,10.83,18.71,70.96,0.27,219.72,754.98,159.34,0.0,18-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
18-Feb-2020 - 00:00,75.55,167.36,99.99,48.19,148.83,32.25,6.62,1.17,5.7,0.82,4.24,19.88,10.17,9.66,18.72,67.59,0.32,198.51,755.01,167.89,0.0,19-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
19-Feb-2020 - 00:00,83.46,183.31,113.6,88.36,202.43,29.46,6.92,1.64,3.16,1.11,6.99,19.54,16.95,13.44,18.43,66.1,0.23,200.74,754.99,161.4,0.0,20-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
20-Feb-2020 - 00:00,111.36,239.8,100.07,57.17,158.09,32.95,8.6,1.54,5.0,1.29,10.42,22.55,21.47,19.81,19.9,63.8,0.42,129.43,762.67,156.07,0.02,21-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
21-Feb-2020 - 00:00,95.4,208.25,45.1,25.49,70.38,41.43,11.12,1.05,4.83,0.82,3.95,24.53,9.58,13.49,21.64,73.23,0.94,51.88,814.51,141.64,0.0,22-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
22-Feb-2020 - 00:00,51.75,107.12,62.56,37.91,100.36,36.31,15.15,0.94,5.42,1.31,3.94,1.76,4.24,7.62,20.97,74.02,0.52,149.89,799.35,112.13,0.04,23-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
23-Feb-2020 - 00:00,59.27,137.26,91.44,62.15,124.29,39.81,20.78,1.37,3.66,0.0,0.0,0.0,0.0,0.0,21.22,75.19,0.35,153.45,805.68,155.29,0.01,24-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
24-Feb-2020 - 00:00,35.04,84.3,58.66,46.05,101.36,25.43,12.64,0.94,9.78,0.25,2.25,8.51,5.56,5.52,21.37,70.11,0.69,143.05,790.59,199.38,0.0,25-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
25-Feb-2020 - 00:00,28.1,72.57,48.76,36.23,84.11,24.6,12.87,0.78,5.47,0.63,6.16,21.13,14.62,12.37,18.0,80.87,0.68,113.66,721.18,66.96,0.43,26-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
26-Feb-2020 - 00:00,32.29,68.85,52.28,40.78,92.69,19.95,10.18,0.8,5.01,0.49,4.25,20.85,10.08,8.66,17.79,84.55,0.59,146.74,755.3,133.06,0.01,27-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
27-Feb-2020 - 00:00,43.56,92.94,76.66,51.85,127.11,21.34,9.18,1.05,3.48,0.6,4.8,18.22,11.45,9.61,17.74,87.19,0.31,224.13,753.69,137.41,0.0,28-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
28-Feb-2020 - 00:00,67.86,148.7,75.32,86.95,36.3,21.75,11.99,1.74,6.36,0.93,6.58,20.71,15.79,12.23,18.81,80.65,0.29,186.67,755.24,190.49,0.0,29-Feb-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
29-Feb-2020 - 00:00,77.27,174.21,,,5.92,24.31,12.27,1.95,10.07,1.13,8.79,28.52,20.67,15.58,20.12,77.69,0.31,188.15,755.3,195.87,0.0,01-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
01-Mar-2020 - 00:00,71.4,160.75,84.04,26.31,43.31,26.15,15.06,1.45,5.92,0.96,7.16,30.66,18.1,15.91,21.18,74.19,0.2,219.28,755.32,200.05,0.0,02-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
02-Mar-2020 - 00:00,64.23,161.89,91.66,26.08,117.74,28.29,15.2,1.63,13.57,0.77,3.15,22.16,13.04,12.69,21.82,76.88,0.2,209.2,754.87,154.11,0.0,03-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
03-Mar-2020 - 00:00,69.76,160.06,91.66,26.08,117.74,27.0,14.66,1.74,8.03,0.97,3.46,22.04,16.77,16.72,22.68,73.84,0.2,258.66,755.3,200.6,0.0,04-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
04-Mar-2020 - 00:00,74.58,189.37,91.66,26.08,117.74,24.82,14.28,1.49,13.57,1.13,1.62,23.19,21.15,20.16,23.6,65.44,0.42,153.34,755.32,199.76,0.0,05-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
05-Mar-2020 - 00:00,68.09,143.17,91.66,26.08,117.74,26.27,8.53,0.81,15.23,0.72,0.69,20.77,9.43,11.59,23.76,69.57,0.7,76.27,755.24,190.72,0.0,06-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
06-Mar-2020 - 00:00,39.77,109.95,91.66,26.08,116.51,27.23,14.28,0.5,7.08,0.19,0.28,9.28,2.43,3.09,22.52,67.25,1.18,111.31,755.42,210.12,0.0,07-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
07-Mar-2020 - 00:00,34.29,78.79,91.66,26.08,116.51,19.38,10.47,0.75,8.42,0.26,0.16,7.17,4.48,4.36,21.53,76.98,0.75,98.84,754.83,146.19,0.0,08-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
08-Mar-2020 - 00:00,34.33,77.96,91.66,26.08,117.74,18.08,13.91,0.74,10.23,0.48,0.54,20.98,9.3,13.58,21.71,72.92,0.34,244.53,755.25,191.57,0.0,09-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
09-Mar-2020 - 00:00,33.03,79.09,91.66,26.08,117.74,14.84,12.68,0.78,9.9,0.43,0.5,19.8,8.48,11.45,20.29,63.89,0.42,247.49,755.72,241.62,0.0,10-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
10-Mar-2020 - 00:00,75.48,142.11,91.66,26.08,117.74,18.86,11.22,1.03,14.55,0.85,0.54,21.82,7.07,11.86,19.94,64.54,0.36,227.75,755.19,185.0,0.0,11-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
11-Mar-2020 - 00:00,56.32,121.74,91.66,26.08,117.74,21.1,6.56,0.89,16.29,0.65,0.46,17.6,5.61,7.71,20.72,66.73,0.31,213.92,754.62,124.26,0.01,12-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
12-Mar-2020 - 00:00,45.72,82.03,91.66,26.08,117.74,23.63,11.25,1.23,11.72,0.72,0.44,22.61,7.7,15.24,23.38,73.06,0.33,187.9,755.64,232.21,0.03,13-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
13-Mar-2020 - 00:00,46.94,91.83,91.66,26.08,116.51,22.16,11.87,0.97,8.08,0.89,0.4,20.58,10.58,20.82,21.57,84.72,0.57,97.01,753.99,58.89,0.22,14-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
14-Mar-2020 - 00:00,26.07,45.76,99.3,43.41,92.83,16.61,12.64,0.66,6.32,0.44,0.41,17.17,6.2,14.35,18.51,95.35,0.6,176.65,753.76,34.3,0.34,15-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
15-Mar-2020 - 00:00,28.27,52.77,110.78,72.09,10.25,18.93,14.01,0.75,8.76,0.33,0.34,13.1,4.19,10.73,20.99,82.53,0.24,237.65,755.69,238.18,0.01,16-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
16-Mar-2020 - 00:00,39.75,95.62,70.74,35.9,20.73,16.17,11.53,0.94,8.17,0.46,0.43,17.7,5.48,14.77,22.62,69.77,0.31,230.94,756.56,338.0,0.0,17-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
17-Mar-2020 - 00:00,46.66,112.31,,,0.63,15.27,12.74,0.94,11.99,0.5,0.53,19.02,5.52,16.08,,,,,,,0.0,18-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
18-Mar-2020 - 00:00,49.11,121.3,,,0.0,15.73,11.33,0.97,12.24,0.55,0.58,20.33,5.21,18.15,21.27,70.46,0.07,254.61,754.4,6.46,0.0,19-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
19-Mar-2020 - 00:00,52.72,114.05,4.56,5.17,2.33,16.82,11.77,0.92,15.69,0.63,0.62,19.92,6.59,17.58,22.94,61.92,0.26,245.15,754.57,213.28,0.0,20-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
20-Mar-2020 - 00:00,41.35,99.8,,,0.0,13.76,15.15,1.01,6.57,0.48,0.73,20.54,5.49,19.24,23.44,57.63,0.29,207.6,754.59,229.77,0.0,21-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
21-Mar-2020 - 00:00,77.5,183.57,,,0.0,17.75,16.24,1.04,8.59,0.79,0.7,23.17,6.14,20.54,23.08,65.63,0.33,217.28,773.27,130.11,0.0,22-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
22-Mar-2020 - 00:00,55.26,84.0,,,0.0,22.43,19.31,0.64,17.03,0.5,0.71,23.31,2.97,16.73,23.0,66.77,0.35,168.25,793.19,210.77,0.0,23-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
23-Mar-2020 - 00:00,38.54,45.09,,,0.0,18.03,16.62,0.56,19.21,0.35,0.81,22.96,3.07,14.82,24.03,67.01,0.48,167.25,787.56,220.81,0.03,24-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
24-Mar-2020 - 00:00,37.21,72.93,,,0.0,21.18,18.96,0.64,21.94,0.45,0.94,25.45,2.8,17.55,24.94,64.5,0.25,231.98,787.98,226.9,0.0,25-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
25-Mar-2020 - 00:00,54.08,100.07,,,0.0,19.86,18.36,0.67,21.1,0.5,1.05,26.17,2.9,16.69,25.68,65.54,0.21,228.69,794.04,193.63,0.0,26-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
26-Mar-2020 - 00:00,44.97,93.4,,,0.0,20.45,16.99,0.55,20.99,0.43,1.11,24.69,2.46,14.98,26.19,56.99,0.24,232.25,788.52,233.26,0.0,27-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
27-Mar-2020 - 00:00,43.02,74.7,,,0.0,19.01,16.65,0.47,22.11,0.4,1.27,23.55,2.51,14.75,27.23,51.79,0.24,251.15,788.54,225.97,0.0,28-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
28-Mar-2020 - 00:00,25.78,51.01,,,0.0,14.89,15.3,0.32,20.29,0.21,1.26,19.06,1.94,10.92,26.08,56.67,0.43,246.74,785.49,228.08,0.0,29-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
29-Mar-2020 - 00:00,22.11,61.48,,,0.0,13.4,14.79,0.28,20.42,0.21,1.24,19.42,1.97,10.72,26.11,43.87,0.45,242.79,783.93,242.34,0.0,30-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
30-Mar-2020 - 00:00,27.46,67.98,,,0.0,11.77,15.91,0.33,26.08,0.24,1.26,19.04,1.56,10.92,25.69,37.98,0.32,241.57,794.39,241.03,0.0,31-Mar-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
31-Mar-2020 - 00:00,46.31,108.99,,,0.0,14.79,16.23,0.59,23.03,0.39,1.31,21.35,1.83,12.6,25.28,47.77,0.19,243.14,781.9,243.74,0.0,01-Apr-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
01-Apr-2020 - 00:00,49.26,93.73,,,0.0,16.39,16.17,0.6,24.29,0.51,1.43,23.59,1.82,13.96,26.77,45.55,0.16,241.98,754.33,229.41,0.0,02-Apr-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
02-Apr-2020 - 00:00,43.7,89.8,,,0.0,19.34,17.45,0.58,29.23,0.43,1.6,24.83,2.18,13.89,28.12,44.37,0.19,232.2,754.33,221.94,0.0,03-Apr-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
03-Apr-2020 - 00:00,35.3,57.16,,,0.0,13.37,15.35,0.39,27.58,0.32,1.68,21.75,1.82,12.28,27.33,33.86,0.27,253.74,754.34,247.56,0.0,04-Apr-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
04-Apr-2020 - 00:00,46.15,92.28,,,0.0,13.93,15.71,0.55,27.99,0.45,1.75,21.25,1.86,12.07,25.62,35.97,0.25,234.2,754.34,246.19,0.0,05-Apr-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
05-Apr-2020 - 00:00,48.75,98.25,,,0.0,12.92,13.77,0.55,28.32,0.4,1.64,19.08,1.6,10.44,26.31,35.27,0.2,238.58,754.33,239.14,0.0,06-Apr-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
06-Apr-2020 - 00:00,47.56,128.63,,,0.0,13.39,14.77,0.43,28.25,0.36,1.76,20.54,1.68,10.9,27.75,34.08,0.28,223.1,754.33,236.29,0.0,07-Apr-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
07-Apr-2020 - 00:00,40.19,94.89,,,0.0,12.3,15.27,0.47,25.96,0.33,1.9,20.25,1.74,11.14,28.3,33.29,0.24,236.32,754.33,234.22,0.0,08-Apr-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
08-Apr-2020 - 00:00,48.11,116.26,95.69,12.95,41.6,13.18,13.3,0.56,21.28,0.39,1.73,19.07,1.5,10.62,28.01,35.66,0.25,233.55,754.32,210.59,0.0,09-Apr-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
09-Apr-2020 - 00:00,48.21,113.06,60.5,9.2,35.55,13.15,15.96,0.56,21.57,0.4,1.84,20.64,1.58,12.27,28.43,38.93,0.18,244.31,754.32,219.12,0.0,10-Apr-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
10-Apr-2020 - 00:00,45.31,106.87,,,0.0,12.35,14.48,0.49,39.38,0.42,1.88,22.35,1.63,13.19,28.83,35.88,0.17,234.21,754.33,230.7,0.0,11-Apr-2020 - 00:00,"Rajbansi Nagar, Patna - BSPCB"
