from date,PM10,PM2.5,NOx,CO,SO2,to date,station
05-Feb-2020 - 00:00,120.82,13.82,41.4,0.73,22.74,06-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
06-Feb-2020 - 00:00,103.82,7.64,54.15,0.5,20.54,07-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
07-Feb-2020 - 00:00,93.18,8.75,67.51,0.35,19.21,08-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
08-Feb-2020 - 00:00,149.46,20.72,60.39,0.52,18.92,09-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
09-Feb-2020 - 00:00,198.07,15.68,67.55,0.84,20.37,10-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
10-Feb-2020 - 00:00,215.36,15.91,55.77,1.0,20.76,11-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
11-Feb-2020 - 00:00,136.55,13.98,84.82,0.95,20.59,12-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
12-Feb-2020 - 00:00,177.26,13.02,119.7,1.0,19.41,13-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
13-Feb-2020 - 00:00,126.48,9.48,210.56,0.65,18.84,14-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
14-Feb-2020 - 00:00,115.66,5.62,335.49,0.54,18.13,15-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
15-Feb-2020 - 00:00,127.71,6.15,374.11,0.65,17.81,16-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
16-Feb-2020 - 00:00,173.37,8.29,386.22,0.96,16.8,17-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
17-Feb-2020 - 00:00,229.16,12.51,389.35,1.17,17.78,18-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
18-Feb-2020 - 00:00,229.37,10.05,252.74,0.7,17.18,19-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
19-Feb-2020 - 00:00,146.08,9.9,137.81,0.27,15.47,20-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
20-Feb-2020 - 00:00,85.47,6.7,191.39,0.44,13.48,21-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
21-Feb-2020 - 00:00,140.44,4.97,260.8,1.44,11.75,22-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
22-Feb-2020 - 00:00,101.03,12.68,265.88,1.25,13.38,23-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
23-Feb-2020 - 00:00,106.85,9.41,253.23,0.86,14.15,24-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
24-Feb-2020 - 00:00,156.04,12.66,311.43,0.86,14.67,25-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
25-Feb-2020 - 00:00,99.22,9.83,312.54,0.71,15.37,26-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
26-Feb-2020 - 00:00,290.43,18.39,371.53,1.01,14.41,27-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
27-Feb-2020 - 00:00,,,,,,28-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
28-Feb-2020 - 00:00,,,,,,29-Feb-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
29-Feb-2020 - 00:00,,,,,,01-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
01-Mar-2020 - 00:00,,,,,,02-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
02-Mar-2020 - 00:00,,,,,,03-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
03-Mar-2020 - 00:00,141.09,27.35,39.1,0.37,19.33,04-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
04-Mar-2020 - 00:00,137.41,25.67,32.54,0.43,80.67,05-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
05-Mar-2020 - 00:00,91.23,27.43,24.76,0.32,14.37,06-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
06-Mar-2020 - 00:00,83.67,23.57,17.3,0.33,6.78,07-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
07-Mar-2020 - 00:00,84.32,25.01,19.75,0.31,11.43,08-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
08-Mar-2020 - 00:00,94.32,24.24,17.98,0.34,13.52,09-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
09-Mar-2020 - 00:00,107.71,22.6,15.41,0.44,12.81,10-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
10-Mar-2020 - 00:00,80.68,27.6,13.31,0.52,12.26,11-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
11-Mar-2020 - 00:00,78.66,14.89,13.3,0.27,12.43,12-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
12-Mar-2020 - 00:00,68.07,18.52,20.58,0.37,14.0,13-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
13-Mar-2020 - 00:00,96.76,16.95,31.78,0.36,15.68,14-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
14-Mar-2020 - 00:00,46.02,11.93,17.49,0.22,11.36,15-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
15-Mar-2020 - 00:00,63.58,17.6,0.0,0.24,8.95,16-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
16-Mar-2020 - 00:00,114.05,21.56,4.2,0.33,8.66,17-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
17-Mar-2020 - 00:00,122.06,21.27,7.77,0.33,8.4,18-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
18-Mar-2020 - 00:00,141.18,27.9,7.76,0.43,8.38,19-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
19-Mar-2020 - 00:00,124.5,25.15,7.71,0.45,8.6,20-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
20-Mar-2020 - 00:00,66.4,17.76,7.78,0.32,8.34,21-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
21-Mar-2020 - 00:00,54.38,13.41,7.8,0.27,8.35,22-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
22-Mar-2020 - 00:00,54.92,19.29,7.82,0.26,8.46,23-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
23-Mar-2020 - 00:00,69.44,21.21,7.83,0.29,8.45,24-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
24-Mar-2020 - 00:00,72.95,13.02,7.82,0.31,8.4,25-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
25-Mar-2020 - 00:00,69.7,11.33,7.79,0.26,8.77,26-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
26-Mar-2020 - 00:00,42.08,5.69,7.69,0.23,8.82,27-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
27-Mar-2020 - 00:00,53.58,8.48,7.8,0.25,9.04,28-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
28-Mar-2020 - 00:00,32.04,6.12,7.8,0.23,9.09,29-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
29-Mar-2020 - 00:00,44.35,5.25,7.82,0.22,8.66,30-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
30-Mar-2020 - 00:00,51.23,7.34,7.81,0.27,8.51,31-Mar-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
31-Mar-2020 - 00:00,45.52,6.92,7.75,0.25,8.48,01-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
01-Apr-2020 - 00:00,52.8,8.13,7.59,0.28,8.78,02-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
02-Apr-2020 - 00:00,61.88,8.44,7.58,0.27,8.73,03-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
03-Apr-2020 - 00:00,48.76,7.18,7.79,0.24,8.77,04-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
04-Apr-2020 - 00:00,54.88,8.45,7.81,0.32,8.62,05-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
05-Apr-2020 - 00:00,56.63,7.93,7.73,0.31,8.76,06-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
06-Apr-2020 - 00:00,62.73,8.32,7.54,0.31,8.88,07-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
07-Apr-2020 - 00:00,68.46,9.9,7.46,0.34,8.9,08-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
08-Apr-2020 - 00:00,59.96,9.65,7.6,0.28,8.6,09-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
09-Apr-2020 - 00:00,58.82,8.93,7.63,0.3,8.79,10-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
10-Apr-2020 - 00:00,61.39,8.16,7.52,0.31,8.74,11-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
11-Apr-2020 - 00:00,75.72,11.9,7.3,0.35,8.82,12-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
12-Apr-2020 - 00:00,78.24,9.02,7.15,0.38,9.01,13-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
13-Apr-2020 - 00:00,82.18,12.44,7.13,0.38,8.86,14-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
14-Apr-2020 - 00:00,90.54,11.61,6.98,0.42,9.1,15-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
15-Apr-2020 - 00:00,72.96,8.8,7.0,0.35,8.99,16-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
16-Apr-2020 - 00:00,64.28,9.25,7.02,0.35,8.91,17-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
17-Apr-2020 - 00:00,122.88,12.46,6.85,0.41,8.91,18-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
18-Apr-2020 - 00:00,117.31,14.44,6.85,0.41,8.81,19-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
19-Apr-2020 - 00:00,82.99,9.83,6.93,0.37,9.08,20-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
20-Apr-2020 - 00:00,128.21,14.62,6.87,0.39,8.87,21-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
21-Apr-2020 - 00:00,67.59,10.65,7.3,0.31,8.29,22-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
22-Apr-2020 - 00:00,82.43,10.23,7.26,0.36,8.78,23-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
23-Apr-2020 - 00:00,81.56,13.14,7.35,0.38,8.72,24-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
24-Apr-2020 - 00:00,56.8,311.64,7.37,0.43,8.44,25-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
25-Apr-2020 - 00:00,86.85,34.23,10.27,0.25,7.82,26-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
26-Apr-2020 - 00:00,31.99,5.94,25.2,0.09,6.15,27-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
27-Apr-2020 - 00:00,27.23,2.52,24.45,0.09,5.94,28-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
28-Apr-2020 - 00:00,47.07,9.64,27.37,0.15,10.64,29-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
29-Apr-2020 - 00:00,56.17,12.96,23.48,0.19,9.01,30-Apr-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
30-Apr-2020 - 00:00,64.19,22.76,21.61,0.2,9.38,01-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
01-May-2020 - 00:00,60.54,21.63,25.04,0.19,9.71,02-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
02-May-2020 - 00:00,58.11,20.65,24.39,0.16,9.42,03-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
03-May-2020 - 00:00,63.28,21.1,22.31,0.14,10.28,04-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
04-May-2020 - 00:00,62.23,20.48,22.24,0.15,10.2,05-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
05-May-2020 - 00:00,55.36,19.58,11.68,0.15,8.01,06-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
06-May-2020 - 00:00,59.84,20.51,3.82,0.15,5.95,07-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
07-May-2020 - 00:00,64.27,22.04,6.88,0.16,6.37,08-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
08-May-2020 - 00:00,68.34,23.99,6.98,0.17,7.52,09-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
09-May-2020 - 00:00,65.79,23.25,7.16,0.16,7.51,10-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
10-May-2020 - 00:00,73.18,23.22,7.26,0.17,7.47,11-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
11-May-2020 - 00:00,59.17,20.45,7.48,0.16,7.27,12-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
12-May-2020 - 00:00,64.15,21.81,8.18,0.16,7.73,13-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
13-May-2020 - 00:00,71.09,22.21,8.36,0.17,7.88,14-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
14-May-2020 - 00:00,72.95,22.67,8.09,0.17,7.82,15-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
15-May-2020 - 00:00,72.16,23.49,7.94,0.19,7.96,16-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
16-May-2020 - 00:00,68.19,22.32,8.35,0.17,7.8,17-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
17-May-2020 - 00:00,73.92,24.19,8.06,0.19,7.81,18-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
18-May-2020 - 00:00,73.23,28.86,8.96,0.17,7.87,19-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
19-May-2020 - 00:00,66.29,23.19,8.82,0.15,7.99,20-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
20-May-2020 - 00:00,74.6,25.05,8.96,0.16,7.96,21-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
21-May-2020 - 00:00,79.83,24.26,8.71,0.15,8.07,22-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
22-May-2020 - 00:00,92.58,25.15,8.58,0.18,8.24,23-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
23-May-2020 - 00:00,79.19,24.76,8.65,0.17,8.11,24-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
24-May-2020 - 00:00,74.41,23.73,9.09,0.16,8.13,25-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
25-May-2020 - 00:00,75.47,27.65,9.03,0.14,8.02,26-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
26-May-2020 - 00:00,73.14,21.18,9.17,0.14,8.15,27-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
27-May-2020 - 00:00,73.74,21.96,8.5,0.14,7.77,28-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
28-May-2020 - 00:00,68.19,15.39,9.27,0.19,7.89,29-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
29-May-2020 - 00:00,76.96,19.19,9.65,0.2,7.84,30-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
30-May-2020 - 00:00,65.92,11.15,10.55,0.21,7.73,31-May-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
31-May-2020 - 00:00,61.27,10.54,10.51,0.21,7.71,01-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
01-Jun-2020 - 00:00,58.79,10.54,10.77,0.21,7.63,02-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
02-Jun-2020 - 00:00,61.27,10.7,11.14,0.22,7.66,03-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
03-Jun-2020 - 00:00,64.45,10.99,11.15,0.22,7.67,04-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
04-Jun-2020 - 00:00,51.85,9.33,11.03,0.21,8.0,05-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
05-Jun-2020 - 00:00,56.76,9.89,10.85,0.21,8.14,06-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
06-Jun-2020 - 00:00,62.49,10.51,10.87,0.21,7.98,07-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
07-Jun-2020 - 00:00,60.63,10.64,11.15,0.22,7.81,08-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
08-Jun-2020 - 00:00,62.74,10.5,10.95,0.22,7.87,09-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
09-Jun-2020 - 00:00,64.5,10.56,10.64,0.21,7.87,10-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
10-Jun-2020 - 00:00,63.85,10.47,10.6,0.21,7.92,11-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
11-Jun-2020 - 00:00,62.36,11.42,10.37,0.21,7.91,12-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
12-Jun-2020 - 00:00,59.55,10.57,10.29,0.21,8.02,13-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
13-Jun-2020 - 00:00,58.44,9.78,10.27,0.21,8.18,14-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
14-Jun-2020 - 00:00,55.18,8.82,11.03,0.21,8.16,15-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
15-Jun-2020 - 00:00,55.76,8.81,10.94,0.21,8.35,16-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
16-Jun-2020 - 00:00,56.74,8.81,10.87,0.21,8.0,17-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
17-Jun-2020 - 00:00,61.15,9.05,11.04,0.21,8.14,18-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
18-Jun-2020 - 00:00,60.28,10.36,11.12,0.22,8.06,19-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
19-Jun-2020 - 00:00,62.04,11.25,10.5,0.21,8.07,20-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
20-Jun-2020 - 00:00,63.67,11.94,10.2,0.2,8.34,21-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
21-Jun-2020 - 00:00,60.76,11.62,10.46,0.21,8.49,22-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
22-Jun-2020 - 00:00,57.92,11.55,10.64,0.21,8.54,23-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
23-Jun-2020 - 00:00,58.66,12.08,10.93,0.21,8.54,24-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
24-Jun-2020 - 00:00,63.33,13.7,10.88,0.21,8.58,25-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
25-Jun-2020 - 00:00,67.16,19.79,10.97,0.21,8.43,26-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
26-Jun-2020 - 00:00,64.16,17.97,10.96,0.21,8.5,27-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
27-Jun-2020 - 00:00,64.49,15.1,10.97,0.21,8.5,28-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
28-Jun-2020 - 00:00,66.95,15.45,11.02,0.21,8.39,29-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
29-Jun-2020 - 00:00,60.66,14.96,10.94,0.21,8.54,30-Jun-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
30-Jun-2020 - 00:00,63.76,15.39,10.81,0.21,8.66,01-Jul-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
01-Jul-2020 - 00:00,67.72,15.7,10.85,0.21,8.17,02-Jul-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
02-Jul-2020 - 00:00,66.05,15.5,10.85,0.21,8.39,03-Jul-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
03-Jul-2020 - 00:00,63.91,15.49,10.8,0.21,8.39,04-Jul-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
04-Jul-2020 - 00:00,63.31,15.39,10.72,0.21,8.3,05-Jul-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
05-Jul-2020 - 00:00,60.16,15.15,11.01,0.21,8.37,06-Jul-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
06-Jul-2020 - 00:00,58.34,14.68,10.98,0.21,8.61,07-Jul-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
07-Jul-2020 - 00:00,59.94,14.89,10.9,0.21,8.61,08-Jul-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
08-Jul-2020 - 00:00,61.49,15.03,10.91,0.2,8.59,09-Jul-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
09-Jul-2020 - 00:00,59.4,14.83,10.89,0.2,8.64,10-Jul-2020 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
