from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,WS,WD,RH,RF,to date,station
26-Jan-2020 - 00:00,,,,,,,,,,,,,0.0,27-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
27-Jan-2020 - 00:00,30.25,79.67,41.71,70.23,28.51,3.31,4.62,1.48,8.64,1.27,182.41,56.3,0.0,28-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
28-Jan-2020 - 00:00,39.32,85.29,26.75,63.86,37.11,3.12,3.73,1.31,5.1,1.22,216.04,65.8,0.0,29-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
29-Jan-2020 - 00:00,23.07,80.01,23.75,59.95,36.2,3.3,3.26,1.22,5.22,1.32,217.1,66.53,0.0,30-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
30-Jan-2020 - 00:00,41.3,75.4,24.08,56.07,31.98,3.14,3.96,0.93,6.36,1.51,211.22,65.09,0.0,31-Jan-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
31-Jan-2020 - 00:00,44.41,67.78,22.97,45.15,22.18,2.77,5.15,0.53,7.39,1.88,211.46,66.7,0.0,01-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
01-Feb-2020 - 00:00,16.84,77.54,27.96,56.21,28.25,2.91,4.43,0.86,7.8,1.59,211.92,69.06,0.0,02-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
02-Feb-2020 - 00:00,11.12,65.42,23.96,43.25,19.29,2.5,3.81,0.52,8.71,1.55,214.58,68.7,0.0,03-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
03-Feb-2020 - 00:00,21.11,81.94,26.77,66.31,31.12,2.9,4.22,1.08,7.35,1.5,209.78,68.99,0.0,04-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
04-Feb-2020 - 00:00,27.57,83.93,26.47,71.2,28.3,3.33,4.13,0.97,6.32,1.42,220.6,69.85,0.0,05-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
05-Feb-2020 - 00:00,41.8,82.83,25.79,65.46,31.46,4.14,4.6,1.17,6.14,1.36,208.87,67.19,0.0,06-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
06-Feb-2020 - 00:00,54.3,84.43,24.51,44.89,26.88,5.57,5.63,1.09,6.9,1.49,211.08,66.72,0.0,07-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
07-Feb-2020 - 00:00,15.12,69.12,21.3,38.96,23.3,5.05,4.06,0.62,7.02,1.77,212.47,66.99,0.0,08-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
08-Feb-2020 - 00:00,8.6,66.9,20.63,49.97,34.34,5.49,3.72,0.83,5.04,1.58,208.29,64.61,0.0,09-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
09-Feb-2020 - 00:00,18.61,59.23,17.7,36.19,23.02,4.94,4.38,0.44,5.85,1.51,213.0,60.8,0.0,10-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
10-Feb-2020 - 00:00,38.44,67.46,19.61,53.82,38.71,5.17,4.49,0.95,4.63,1.43,207.9,62.52,0.0,11-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
11-Feb-2020 - 00:00,33.02,72.72,24.49,45.09,27.07,5.48,4.05,0.92,6.84,1.4,210.22,64.11,0.0,12-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
12-Feb-2020 - 00:00,38.14,81.74,25.07,44.99,26.59,6.0,4.29,0.94,7.15,1.42,214.81,63.89,0.0,13-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
13-Feb-2020 - 00:00,33.48,79.05,24.87,43.47,25.26,5.89,4.13,1.02,8.18,1.51,206.03,67.84,0.0,14-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
14-Feb-2020 - 00:00,36.48,87.91,27.26,45.11,25.26,5.77,4.72,1.16,7.47,1.49,211.11,69.42,0.0,15-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
15-Feb-2020 - 00:00,44.14,97.85,31.02,45.07,22.71,5.39,4.25,1.25,8.99,1.32,201.96,66.62,0.0,16-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
16-Feb-2020 - 00:00,50.91,97.06,29.0,37.5,16.77,4.98,4.19,0.84,9.9,1.24,217.95,66.36,0.0,17-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
17-Feb-2020 - 00:00,56.44,102.31,30.35,46.48,24.51,5.46,4.07,1.19,8.27,1.43,219.4,67.71,0.0,18-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
18-Feb-2020 - 00:00,55.92,95.52,30.74,43.96,21.83,5.48,4.76,1.13,8.64,1.38,209.71,65.06,0.0,19-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
19-Feb-2020 - 00:00,49.63,96.43,30.06,43.46,21.8,5.91,4.92,1.01,9.48,1.39,218.89,62.96,0.0,20-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
20-Feb-2020 - 00:00,67.87,106.09,31.2,45.83,23.32,6.09,3.21,1.15,9.63,1.39,210.1,64.63,0.0,21-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
21-Feb-2020 - 00:00,43.71,101.49,27.9,43.22,23.0,5.78,3.09,1.04,8.77,1.46,206.67,66.79,0.0,22-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
22-Feb-2020 - 00:00,38.79,99.42,25.56,44.66,25.95,5.4,4.12,1.1,7.6,1.52,211.41,69.32,0.0,23-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
23-Feb-2020 - 00:00,30.09,86.86,22.92,34.68,18.1,5.23,5.0,0.75,8.27,1.38,210.46,69.84,0.0,24-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
24-Feb-2020 - 00:00,41.49,90.34,25.79,45.97,27.05,5.56,4.25,1.16,6.82,1.34,211.28,70.8,0.0,25-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
25-Feb-2020 - 00:00,27.31,80.72,26.25,44.91,25.72,5.92,3.63,1.06,7.03,1.35,211.78,67.26,0.0,26-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
26-Feb-2020 - 00:00,39.37,82.44,25.29,44.61,26.08,5.94,3.94,1.05,7.23,1.32,206.56,68.89,0.0,27-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
27-Feb-2020 - 00:00,38.96,64.24,23.53,38.58,21.45,5.81,4.52,0.81,7.15,1.48,205.62,66.69,0.0,28-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
28-Feb-2020 - 00:00,43.2,79.48,25.69,37.43,18.91,5.95,4.8,0.86,8.75,1.53,216.08,65.92,0.0,29-Feb-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
29-Feb-2020 - 00:00,39.61,70.58,27.54,40.3,20.44,5.61,3.39,1.05,9.24,1.35,178.03,62.52,0.0,01-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
01-Mar-2020 - 00:00,36.2,62.6,25.79,36.01,17.47,5.02,4.74,0.83,9.79,1.25,185.24,64.18,0.0,02-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
02-Mar-2020 - 00:00,30.28,60.14,23.83,38.84,21.5,5.35,4.41,0.98,8.47,1.43,192.83,69.11,0.0,03-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
03-Mar-2020 - 00:00,28.54,63.48,19.83,44.29,29.4,5.38,4.09,1.14,5.71,1.38,198.5,71.59,0.0,04-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
04-Mar-2020 - 00:00,30.17,68.0,19.79,34.75,20.25,5.55,4.23,0.57,7.46,1.88,197.11,65.57,0.0,05-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
05-Mar-2020 - 00:00,22.8,58.77,15.5,36.05,24.36,5.62,4.6,0.52,5.7,1.85,204.25,63.04,0.0,06-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
06-Mar-2020 - 00:00,15.5,49.98,13.86,39.9,29.15,5.91,5.18,0.64,5.43,1.76,201.45,62.22,0.0,07-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
07-Mar-2020 - 00:00,31.55,62.71,15.61,49.32,37.11,5.96,3.96,0.98,4.97,1.38,196.93,64.44,0.0,08-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
08-Mar-2020 - 00:00,21.64,51.89,14.32,40.66,29.59,5.98,4.42,0.65,4.23,1.32,201.95,65.72,0.0,09-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
09-Mar-2020 - 00:00,41.86,67.25,17.99,44.13,30.46,5.62,4.69,0.79,5.11,1.59,207.26,65.91,0.0,10-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
10-Mar-2020 - 00:00,30.21,57.26,15.11,36.89,25.42,5.87,4.02,0.52,4.98,1.82,203.84,65.44,0.0,11-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
11-Mar-2020 - 00:00,22.73,62.51,15.6,40.05,28.13,5.87,4.29,0.6,5.4,1.64,200.97,63.2,0.0,12-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
12-Mar-2020 - 00:00,11.16,45.82,13.62,34.61,24.23,5.95,3.64,0.49,5.59,1.8,197.35,63.21,0.0,13-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
13-Mar-2020 - 00:00,15.13,53.39,17.08,34.65,21.95,5.83,3.1,0.54,6.76,1.83,204.19,65.88,0.0,14-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
14-Mar-2020 - 00:00,24.22,61.1,20.54,35.47,20.45,5.87,3.93,0.61,8.1,1.63,204.87,66.75,0.0,15-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
15-Mar-2020 - 00:00,34.54,60.49,18.9,22.61,9.17,5.08,4.92,0.35,13.3,1.54,192.02,68.72,0.0,16-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
16-Mar-2020 - 00:00,34.27,63.0,22.61,40.59,23.99,5.11,4.13,0.73,8.16,1.46,202.21,66.93,0.0,17-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
17-Mar-2020 - 00:00,32.01,67.9,21.95,31.88,16.06,5.67,4.01,0.73,10.41,1.48,199.44,65.53,0.0,18-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
18-Mar-2020 - 00:00,28.15,69.63,20.98,36.92,21.54,5.61,3.6,0.81,7.7,1.4,199.66,68.99,0.0,19-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
19-Mar-2020 - 00:00,27.54,63.83,17.08,35.54,22.81,5.21,3.92,0.76,6.24,1.49,193.23,70.5,0.0,20-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
20-Mar-2020 - 00:00,18.51,55.73,17.39,28.84,16.17,4.94,4.59,0.67,8.02,1.44,192.52,68.0,0.0,21-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
21-Mar-2020 - 00:00,25.54,56.55,17.78,34.67,21.52,5.34,4.58,0.85,6.96,1.34,193.2,62.12,0.0,22-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
22-Mar-2020 - 00:00,19.11,36.63,7.54,11.69,6.22,4.81,4.57,0.1,8.8,1.42,193.29,66.23,0.0,23-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
23-Mar-2020 - 00:00,35.19,57.63,10.39,16.48,8.94,4.0,4.07,0.3,8.37,1.39,197.15,66.88,0.0,24-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
24-Mar-2020 - 00:00,33.41,49.07,10.57,16.41,8.75,4.43,3.67,0.35,9.78,1.49,200.71,66.94,0.0,25-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
25-Mar-2020 - 00:00,23.25,43.65,8.23,12.22,6.28,3.86,4.14,0.44,10.03,1.32,196.13,69.18,0.0,26-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
26-Mar-2020 - 00:00,30.17,46.48,7.84,10.83,5.2,3.82,3.7,0.45,10.07,1.4,207.03,68.47,0.0,27-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
27-Mar-2020 - 00:00,28.5,49.17,7.51,12.11,6.65,3.58,3.44,0.4,8.65,1.36,208.65,65.71,0.0,28-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
28-Mar-2020 - 00:00,34.42,52.79,6.63,13.49,8.57,3.76,3.71,0.46,7.16,1.49,199.96,69.46,0.0,29-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
29-Mar-2020 - 00:00,30.9,47.03,6.65,10.3,5.48,3.74,3.83,0.32,8.12,1.36,184.45,69.73,0.0,30-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
30-Mar-2020 - 00:00,32.21,47.66,8.21,14.89,8.86,3.86,3.52,0.54,8.82,1.57,205.17,68.53,0.0,31-Mar-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
31-Mar-2020 - 00:00,31.0,48.25,8.88,11.15,4.81,3.57,3.24,0.43,11.69,1.79,205.05,66.61,0.0,01-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
01-Apr-2020 - 00:00,31.33,47.41,8.6,13.72,7.47,3.5,4.11,0.47,10.84,1.47,185.91,68.69,0.0,02-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
02-Apr-2020 - 00:00,29.92,43.37,8.51,14.18,7.97,3.28,2.85,0.47,9.6,1.4,193.03,67.55,0.0,03-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
03-Apr-2020 - 00:00,29.94,43.26,8.41,12.38,6.31,3.2,2.67,0.44,10.1,1.48,191.26,66.5,0.0,04-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
04-Apr-2020 - 00:00,25.06,43.04,8.66,12.98,6.72,3.28,2.5,0.41,9.87,1.52,185.87,65.25,0.0,05-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
05-Apr-2020 - 00:00,28.62,48.23,7.07,10.93,5.81,3.3,2.38,0.3,8.41,1.5,194.04,69.03,0.0,06-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
06-Apr-2020 - 00:00,18.35,30.56,8.45,12.77,6.65,3.12,2.45,0.34,9.76,1.47,201.3,70.62,0.0,07-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
07-Apr-2020 - 00:00,23.16,30.83,8.36,10.76,4.78,2.79,2.65,0.38,11.01,1.2,213.15,75.72,0.0,08-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
08-Apr-2020 - 00:00,27.08,48.52,8.3,12.86,6.84,3.35,2.31,0.44,8.95,1.41,201.33,68.98,0.0,09-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
09-Apr-2020 - 00:00,28.84,52.65,8.05,13.32,7.45,3.28,2.06,0.4,10.13,1.48,202.88,64.17,0.0,10-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
10-Apr-2020 - 00:00,20.07,31.28,10.67,12.06,4.49,3.31,2.44,0.39,14.59,1.46,206.76,66.48,0.0,11-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
11-Apr-2020 - 00:00,30.66,43.93,11.82,19.57,10.95,3.58,2.65,0.57,11.45,1.33,195.13,67.89,0.0,12-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
12-Apr-2020 - 00:00,27.54,40.71,10.16,14.36,7.05,3.35,2.65,0.45,11.31,1.37,198.51,67.58,0.0,13-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
13-Apr-2020 - 00:00,31.46,49.62,10.36,15.63,8.14,4.1,2.45,0.55,11.14,1.63,203.74,68.09,0.0,14-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
14-Apr-2020 - 00:00,34.11,52.04,8.04,9.77,4.04,4.64,2.06,0.26,10.52,1.41,187.83,68.77,0.0,15-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
15-Apr-2020 - 00:00,29.55,50.41,8.69,10.9,4.7,4.06,1.86,0.23,10.43,1.53,196.18,65.53,0.0,16-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
16-Apr-2020 - 00:00,26.43,41.11,9.76,11.5,4.57,3.79,2.16,0.28,10.09,1.47,199.3,64.91,0.0,17-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
17-Apr-2020 - 00:00,29.41,47.23,8.09,12.09,6.24,3.6,2.11,0.22,8.27,1.5,193.0,66.15,0.0,18-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
18-Apr-2020 - 00:00,28.46,46.45,8.35,12.07,6.05,3.47,1.83,0.23,9.65,1.44,207.98,64.73,0.0,19-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
19-Apr-2020 - 00:00,31.44,47.26,9.63,11.07,4.23,3.69,1.76,0.29,10.93,1.39,220.93,60.6,0.0,20-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
20-Apr-2020 - 00:00,27.81,43.98,9.91,13.54,6.42,3.61,2.31,0.29,9.32,1.45,188.64,63.76,0.0,21-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
21-Apr-2020 - 00:00,25.13,48.96,7.82,12.62,6.93,3.33,2.07,0.19,7.55,1.52,189.28,67.3,0.0,22-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
22-Apr-2020 - 00:00,21.46,33.57,9.63,12.7,5.8,3.12,1.97,0.18,10.22,1.42,191.43,65.95,0.0,23-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
23-Apr-2020 - 00:00,22.29,40.41,9.5,14.51,7.63,3.11,1.91,0.21,8.38,1.49,201.27,66.5,0.0,24-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
24-Apr-2020 - 00:00,26.51,40.08,8.22,12.09,6.16,2.94,1.77,0.15,11.26,1.14,212.1,63.42,0.0,25-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
25-Apr-2020 - 00:00,30.14,55.21,8.77,15.15,8.73,3.26,2.32,0.2,7.3,1.37,215.45,65.77,0.0,26-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
26-Apr-2020 - 00:00,27.32,40.9,8.11,12.19,6.32,3.18,1.96,0.12,8.62,1.33,219.89,74.97,0.0,27-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
27-Apr-2020 - 00:00,21.3,35.46,9.26,14.41,7.69,3.3,2.0,0.21,7.79,1.31,217.06,72.91,0.0,28-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
28-Apr-2020 - 00:00,25.48,47.4,7.88,14.96,9.14,3.5,1.91,0.15,7.3,1.35,202.98,68.31,0.0,29-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
29-Apr-2020 - 00:00,19.98,31.71,10.02,11.1,4.01,3.21,1.96,0.13,11.37,1.27,215.59,67.44,0.0,30-Apr-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
30-Apr-2020 - 00:00,27.93,44.73,8.74,15.29,8.89,3.4,1.97,0.19,7.22,1.31,213.59,67.95,0.0,01-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
01-May-2020 - 00:00,20.62,38.49,8.48,14.03,7.86,3.41,1.94,0.1,7.95,1.56,195.97,67.83,0.0,02-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
02-May-2020 - 00:00,19.43,31.63,8.83,14.23,7.81,3.36,1.76,0.08,8.02,1.43,211.86,70.31,0.0,03-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
03-May-2020 - 00:00,20.63,33.72,9.15,11.95,5.4,3.3,1.76,0.08,9.58,1.36,201.1,67.8,0.0,04-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
04-May-2020 - 00:00,25.47,44.0,11.31,15.38,7.27,3.91,2.08,0.2,9.57,1.3,205.26,66.5,0.0,05-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
05-May-2020 - 00:00,27.82,45.87,11.43,14.88,6.71,4.05,2.42,0.13,10.36,1.39,215.6,68.05,0.0,06-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
06-May-2020 - 00:00,24.43,40.29,12.31,15.37,6.6,3.91,2.08,0.17,11.13,1.29,212.46,65.72,0.0,07-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
07-May-2020 - 00:00,22.76,37.17,12.13,16.42,7.72,3.66,2.12,0.16,9.83,1.18,216.69,67.16,0.0,08-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
08-May-2020 - 00:00,17.14,28.57,11.48,13.24,5.1,3.21,2.06,0.11,12.54,1.3,211.99,70.88,0.0,09-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
09-May-2020 - 00:00,21.21,39.89,11.45,14.43,6.25,3.47,2.23,0.13,10.23,1.26,208.11,69.74,0.0,10-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
10-May-2020 - 00:00,20.29,38.26,7.39,9.64,4.36,3.33,2.34,0.0,8.42,1.45,204.2,70.47,0.0,11-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
11-May-2020 - 00:00,27.74,49.39,11.81,15.43,6.98,3.2,2.47,0.21,8.23,1.23,224.12,69.47,0.0,12-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
12-May-2020 - 00:00,30.84,49.8,10.9,17.2,9.29,3.48,2.6,0.25,9.27,1.35,207.76,70.51,0.0,13-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
13-May-2020 - 00:00,24.53,38.74,12.58,15.34,6.38,3.12,2.79,0.17,10.63,1.46,184.5,72.76,0.0,14-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
14-May-2020 - 00:00,20.17,44.23,9.76,16.21,9.11,3.05,2.52,0.11,6.84,1.54,201.65,71.49,0.0,15-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
15-May-2020 - 00:00,20.83,38.35,10.85,13.6,5.86,3.03,1.91,0.1,9.44,1.32,193.45,71.22,0.0,16-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
16-May-2020 - 00:00,15.68,27.71,10.73,12.37,4.76,2.94,2.31,0.03,14.03,1.69,212.56,73.59,0.0,17-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
17-May-2020 - 00:00,19.71,32.33,8.58,8.97,2.91,3.28,2.5,0.0,13.07,1.55,212.66,74.87,0.0,18-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
18-May-2020 - 00:00,18.97,33.17,10.92,11.14,3.45,2.81,2.22,0.04,14.19,1.85,219.38,77.84,0.0,19-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
19-May-2020 - 00:00,26.88,54.32,8.57,12.58,6.39,3.22,2.45,0.06,6.51,1.7,204.66,73.82,0.0,20-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
20-May-2020 - 00:00,18.76,39.95,8.35,22.37,15.95,3.74,2.65,0.33,3.97,1.07,182.69,71.59,0.0,21-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
21-May-2020 - 00:00,17.08,28.97,8.72,19.37,12.82,4.12,2.65,0.2,4.44,1.42,203.13,74.95,0.0,22-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
22-May-2020 - 00:00,18.38,33.17,8.75,21.48,14.83,4.36,2.65,0.37,4.05,1.33,215.8,74.5,0.0,23-May-2020 - 00:00,"Palayam, Kozhikode - Kerala PCB"
