from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,MP-Xylene,Toluene,AT,SR,RH,RF,WS,WD,to date,station
13-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,14-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
14-Mar-2020 - 00:00,18.49,46.43,10.5,15.86,5.35,41.43,8.24,0.34,41.63,1.11,0.0,0.06,0.0,34.69,479.43,62.19,0.0,4.7,133.83,15-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
15-Mar-2020 - 00:00,11.58,50.21,5.39,12.35,7.26,27.15,7.61,0.31,51.15,1.57,0.0,0.06,0.0,35.22,443.96,62.16,0.0,4.4,123.82,16-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
16-Mar-2020 - 00:00,6.62,84.91,9.47,17.6,13.39,31.67,7.87,0.36,50.73,1.0,0.0,0.03,0.0,35.1,453.2,62.03,0.0,4.71,107.52,17-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
17-Mar-2020 - 00:00,12.48,121.53,8.57,14.7,11.01,30.18,7.77,0.37,55.73,1.5,0.0,0.07,0.0,34.84,502.43,62.0,0.0,4.37,132.76,18-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
18-Mar-2020 - 00:00,4.56,5.37,7.88,16.24,10.54,44.14,7.46,0.16,94.59,1.85,0.0,0.11,0.0,34.69,476.38,62.11,0.0,4.1,157.09,19-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
19-Mar-2020 - 00:00,5.8,6.39,10.27,20.11,12.69,48.33,7.44,0.04,103.86,1.65,0.0,0.09,0.0,34.96,490.79,60.82,0.0,4.8,174.1,20-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
20-Mar-2020 - 00:00,3.95,5.35,6.53,14.55,13.75,38.45,7.29,0.03,121.92,1.68,0.0,0.08,0.0,34.94,466.06,62.16,0.0,6.19,172.04,21-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
21-Mar-2020 - 00:00,7.28,1.8,9.89,18.29,9.92,73.95,7.3,0.12,96.43,1.37,0.02,0.06,0.52,34.62,474.07,62.06,0.0,5.5,178.57,22-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
22-Mar-2020 - 00:00,,,7.82,16.51,8.69,68.07,7.18,0.13,93.3,1.58,0.0,0.04,1.82,34.64,427.22,62.04,0.0,5.03,168.13,23-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
23-Mar-2020 - 00:00,0.19,0.21,7.64,14.98,13.89,84.04,6.99,0.26,68.18,1.32,0.0,0.05,1.7,34.5,316.51,61.79,0.0,7.01,161.81,24-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
24-Mar-2020 - 00:00,4.97,6.12,3.32,12.47,9.15,63.38,6.94,0.25,85.04,1.8,0.0,0.07,1.11,34.36,482.96,61.88,0.0,7.8,146.98,25-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
25-Mar-2020 - 00:00,19.89,1.63,2.56,9.86,7.42,58.16,6.85,0.17,88.67,1.7,0.0,0.05,0.61,34.37,483.69,61.92,0.0,4.08,160.26,26-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
26-Mar-2020 - 00:00,15.6,4.17,2.49,9.17,6.92,52.8,6.95,0.17,86.06,1.54,0.0,0.03,0.43,34.43,467.14,61.79,0.0,5.26,145.14,27-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
27-Mar-2020 - 00:00,,0.62,2.07,6.88,6.46,38.03,6.76,0.07,103.72,33.81,0.0,0.72,0.36,34.7,316.85,61.76,0.0,5.38,164.7,28-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
28-Mar-2020 - 00:00,2.64,11.58,1.3,8.98,7.99,,7.14,0.15,50.65,113.7,0.0,2.99,0.0,35.05,,62.06,0.0,1.73,155.78,29-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
29-Mar-2020 - 00:00,11.45,134.16,4.02,9.82,6.22,,6.65,0.34,68.9,87.72,0.0,3.14,0.0,34.38,524.36,61.65,0.0,2.26,168.05,30-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
30-Mar-2020 - 00:00,14.88,186.42,6.78,15.13,14.58,73.07,6.8,0.42,67.32,22.86,0.0,2.35,0.0,34.46,537.8,61.29,0.0,3.94,167.51,31-Mar-2020 - 00:00,"Manali Village, Chennai - TNPCB"
31-Mar-2020 - 00:00,21.93,214.31,2.76,8.62,5.91,63.95,6.77,0.45,68.56,1.52,0.0,2.36,0.0,34.46,494.38,61.79,0.0,4.21,157.47,01-Apr-2020 - 00:00,"Manali Village, Chennai - TNPCB"
01-Apr-2020 - 00:00,19.84,23.12,6.0,14.15,8.17,54.37,7.0,0.47,79.4,1.37,0.0,2.57,0.0,34.49,501.55,60.81,0.0,5.81,174.33,02-Apr-2020 - 00:00,"Manali Village, Chennai - TNPCB"
02-Apr-2020 - 00:00,19.82,187.28,7.31,13.11,5.81,55.2,7.01,0.47,81.53,1.26,0.0,2.06,0.0,34.45,495.23,61.25,0.0,5.01,181.47,03-Apr-2020 - 00:00,"Manali Village, Chennai - TNPCB"
03-Apr-2020 - 00:00,21.88,200.21,6.48,11.32,4.84,59.34,6.92,0.44,84.89,1.19,0.0,1.31,0.0,34.47,487.28,61.99,0.0,3.52,170.97,04-Apr-2020 - 00:00,"Manali Village, Chennai - TNPCB"
04-Apr-2020 - 00:00,19.93,321.3,4.58,10.18,5.61,47.52,6.93,0.44,90.19,1.33,0.0,1.36,0.0,34.48,499.97,61.93,0.0,4.39,161.7,05-Apr-2020 - 00:00,"Manali Village, Chennai - TNPCB"
05-Apr-2020 - 00:00,17.02,179.02,5.88,12.44,6.57,47.07,6.89,0.44,88.76,1.31,0.0,1.55,0.0,34.53,430.33,62.0,0.0,3.97,168.88,06-Apr-2020 - 00:00,"Manali Village, Chennai - TNPCB"
06-Apr-2020 - 00:00,10.38,127.53,8.0,15.52,7.52,42.37,6.98,0.42,78.78,1.12,0.0,0.49,0.0,34.52,422.08,62.0,0.0,3.35,177.11,07-Apr-2020 - 00:00,"Manali Village, Chennai - TNPCB"
07-Apr-2020 - 00:00,8.86,165.38,8.68,16.39,7.72,49.4,6.83,0.41,70.13,0.95,0.0,0.37,0.0,34.58,353.56,61.98,0.0,6.0,185.5,08-Apr-2020 - 00:00,"Manali Village, Chennai - TNPCB"
08-Apr-2020 - 00:00,7.37,345.05,7.67,13.3,5.64,45.36,6.77,0.42,77.47,0.96,0.0,0.08,0.0,34.53,412.57,61.93,0.0,8.29,181.16,09-Apr-2020 - 00:00,"Manali Village, Chennai - TNPCB"
09-Apr-2020 - 00:00,7.63,224.95,8.64,14.01,6.83,58.77,6.88,0.47,76.07,0.99,0.0,0.14,0.0,34.62,415.94,61.96,0.0,7.79,182.41,10-Apr-2020 - 00:00,"Manali Village, Chennai - TNPCB"
10-Apr-2020 - 00:00,7.71,,6.55,14.86,12.73,73.91,6.56,0.5,68.46,1.12,0.0,1.12,0.0,34.5,412.04,61.95,0.0,8.0,162.4,11-Apr-2020 - 00:00,"Manali Village, Chennai - TNPCB"
11-Apr-2020 - 00:00,12.55,,3.48,12.94,9.46,67.3,6.67,0.47,68.79,1.14,0.0,1.24,0.0,34.44,481.08,61.94,0.0,4.55,154.6,12-Apr-2020 - 00:00,"Manali Village, Chennai - TNPCB"
12-Apr-2020 - 00:00,11.27,,5.34,14.92,9.59,50.14,6.52,0.47,74.58,1.08,0.0,1.11,0.0,34.52,466.63,62.04,0.0,4.32,169.6,13-Apr-2020 - 00:00,"Manali Village, Chennai - TNPCB"
13-Apr-2020 - 00:00,15.31,,5.77,14.22,8.57,54.12,6.68,0.5,78.07,1.0,0.0,1.15,0.0,34.46,518.27,61.99,0.0,3.77,171.66,14-Apr-2020 - 00:00,"Manali Village, Chennai - TNPCB"
14-Apr-2020 - 00:00,17.57,,3.93,12.2,8.29,50.94,6.81,0.55,93.11,1.11,0.0,0.72,0.0,34.46,521.23,62.05,0.0,3.54,155.14,15-Apr-2020 - 00:00,"Manali Village, Chennai - TNPCB"
15-Apr-2020 - 00:00,14.13,,4.84,12.83,8.02,46.15,6.81,0.53,79.45,1.08,0.0,3.29,0.0,34.46,514.14,61.49,0.0,4.35,166.81,16-Apr-2020 - 00:00,"Manali Village, Chennai - TNPCB"
16-Apr-2020 - 00:00,10.83,,6.46,15.25,8.79,54.79,6.76,0.52,74.15,0.9,0.0,1.52,0.0,34.48,471.51,62.04,0.0,1.29,179.27,17-Apr-2020 - 00:00,"Manali Village, Chennai - TNPCB"
17-Apr-2020 - 00:00,8.01,,7.76,14.75,6.99,52.26,6.91,0.51,72.09,0.79,0.0,0.04,0.0,34.52,437.43,62.02,0.0,0.47,181.75,18-Apr-2020 - 00:00,"Manali Village, Chennai - TNPCB"
18-Apr-2020 - 00:00,5.65,,9.7,13.3,8.93,40.85,6.81,0.52,73.65,0.72,0.0,0.0,0.0,34.52,513.02,62.01,0.0,6.04,177.0,19-Apr-2020 - 00:00,"Manali Village, Chennai - TNPCB"
19-Apr-2020 - 00:00,6.34,,5.19,12.54,7.35,36.28,6.95,0.49,84.52,0.83,0.0,0.02,0.0,34.51,487.58,62.04,0.0,5.03,165.4,20-Apr-2020 - 00:00,"Manali Village, Chennai - TNPCB"
20-Apr-2020 - 00:00,7.84,,5.76,14.81,9.05,32.28,6.87,0.51,79.43,0.82,0.0,0.04,0.0,34.48,507.1,61.89,0.0,5.32,169.84,21-Apr-2020 - 00:00,"Manali Village, Chennai - TNPCB"
