from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NO2,NOx,Ozone,SO2,CO,to date,station
26-Apr-2020 - 00:00,25.42,983.86,101.58,42.48,54.78,123.38,71.12,1.51,2.14,3.98,30.17,3.23,11.88,8.94,40.01,12.5,0.52,27-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Apr-2020 - 00:00,25.65,986.71,39.67,24.75,58.76,207.91,50.33,1.82,1.44,2.43,29.29,3.16,9.22,7.48,43.8,11.16,0.49,28-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-Apr-2020 - 00:00,26.75,986.56,69.06,39.93,54.35,183.84,60.8,0.98,2.49,4.52,29.8,3.25,12.03,9.05,48.75,12.7,0.61,29-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-Apr-2020 - 00:00,28.22,983.77,88.79,52.21,51.44,187.91,110.09,0.67,2.31,5.66,30.91,3.58,12.75,9.69,54.13,13.34,0.55,30-Apr-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-Apr-2020 - 00:00,28.78,983.21,94.31,51.48,48.94,190.6,87.89,0.75,2.11,4.68,33.6,3.41,13.64,10.02,55.28,13.12,0.57,01-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-May-2020 - 00:00,28.85,981.41,124.73,62.08,52.29,189.37,65.89,1.22,2.51,7.05,39.13,3.87,13.7,10.39,56.2,14.79,0.63,02-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-May-2020 - 00:00,28.12,981.29,90.42,32.69,52.64,192.4,55.54,1.66,1.42,2.84,36.73,3.11,9.73,7.72,51.93,12.61,0.54,03-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-May-2020 - 00:00,26.5,982.53,62.66,32.65,59.66,122.02,78.61,1.28,1.67,3.57,33.09,3.69,11.07,8.9,39.42,12.63,0.55,04-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-May-2020 - 00:00,26.38,983.95,55.23,33.1,57.59,192.41,65.26,0.95,1.33,2.36,30.44,3.5,11.43,8.94,43.86,13.17,0.54,05-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-May-2020 - 00:00,28.14,982.3,89.91,55.19,50.13,208.66,123.35,0.55,2.8,6.49,28.76,4.41,17.35,12.8,45.15,14.72,0.66,06-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-May-2020 - 00:00,27.54,981.84,143.68,64.83,47.64,152.5,83.89,0.81,3.43,9.24,28.66,3.9,18.31,12.92,50.48,17.05,0.66,07-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-May-2020 - 00:00,27.52,982.44,65.98,36.3,45.87,226.89,80.39,0.9,2.06,4.48,24.68,3.26,14.27,10.25,63.71,13.27,0.51,08-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-May-2020 - 00:00,29.2,980.66,88.49,47.42,45.78,210.8,97.73,0.8,2.31,6.23,27.92,3.4,15.21,10.87,75.12,14.3,0.57,09-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-May-2020 - 00:00,30.03,981.25,101.31,54.4,45.95,201.99,87.17,0.97,2.22,4.16,32.67,3.21,13.37,9.74,78.11,14.82,0.63,10-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-May-2020 - 00:00,26.46,982.84,94.15,41.96,54.67,91.52,68.67,1.4,1.82,4.4,31.87,3.68,15.16,11.04,54.32,13.76,0.6,11-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-May-2020 - 00:00,26.95,983.65,71.38,42.25,55.34,174.02,66.62,1.04,2.31,7.26,31.05,4.14,18.34,13.13,59.45,16.33,0.63,12-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-May-2020 - 00:00,28.03,983.15,77.44,46.96,51.24,173.27,49.03,1.13,2.31,6.37,33.35,3.69,15.99,11.51,67.65,21.66,0.63,13-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-May-2020 - 00:00,27.69,981.96,127.77,72.6,54.36,116.77,103.62,0.59,2.7,9.3,34.7,4.58,20.55,14.67,52.92,22.6,0.73,14-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-May-2020 - 00:00,27.89,981.17,105.99,65.7,56.92,189.09,103.59,0.75,2.64,12.44,34.3,6.92,25.3,19.1,48.23,16.76,0.68,15-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-May-2020 - 00:00,28.27,980.6,79.14,49.49,47.59,241.93,179.1,0.55,1.51,10.62,32.09,4.56,23.75,16.3,47.44,19.81,0.58,16-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-May-2020 - 00:00,28.81,979.47,88.08,57.19,42.86,252.31,164.48,0.49,1.83,13.08,29.25,4.67,26.69,17.85,59.51,23.22,0.66,17-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-May-2020 - 00:00,29.06,978.07,127.65,87.65,42.66,199.8,142.88,0.5,3.34,21.89,28.81,5.99,34.43,23.14,58.1,25.97,0.81,18-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-May-2020 - 00:00,28.9,977.18,138.3,97.78,40.51,223.94,138.31,0.48,3.07,29.17,25.92,6.32,37.64,25.19,56.98,28.01,0.75,19-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-May-2020 - 00:00,29.24,976.62,157.8,108.89,37.6,219.9,121.33,0.49,5.09,23.79,26.91,10.75,46.18,33.3,63.17,26.39,0.92,20-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-May-2020 - 00:00,29.41,976.2,111.23,59.25,33.66,247.77,171.53,0.5,2.1,10.75,24.0,4.52,27.0,18.02,67.09,25.86,0.56,21-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-May-2020 - 00:00,30.07,975.27,116.6,44.02,33.83,254.23,160.51,0.54,1.83,22.99,21.02,5.68,31.4,21.29,61.55,25.78,0.68,22-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-May-2020 - 00:00,30.58,975.4,184.92,120.97,36.44,231.59,133.41,0.5,5.32,26.44,25.24,8.85,47.14,32.3,65.84,50.68,1.07,23-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-May-2020 - 00:00,34.87,976.5,150.33,63.43,36.52,207.86,147.6,0.6,4.03,26.37,22.92,10.61,43.73,31.9,42.5,22.48,0.63,24-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-May-2020 - 00:00,39.69,977.06,131.48,51.31,34.1,232.81,168.73,0.61,2.39,15.75,21.51,4.49,21.78,15.21,57.45,22.78,0.56,25-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-May-2020 - 00:00,38.7,976.53,129.54,57.95,35.12,233.64,155.36,0.79,2.61,14.09,22.03,4.81,24.41,16.91,60.57,30.34,0.74,26-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-May-2020 - 00:00,39.34,974.99,144.71,44.39,34.51,240.83,138.72,0.93,3.36,39.9,20.9,10.92,33.51,26.7,41.26,19.83,0.68,27-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-May-2020 - 00:00,39.54,973.56,139.38,37.28,34.57,219.0,97.63,1.16,1.95,9.56,22.69,3.92,19.59,13.61,78.94,24.66,0.6,28-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-May-2020 - 00:00,36.11,975.6,176.72,31.77,48.29,201.09,65.82,1.87,1.22,8.62,39.84,3.97,10.83,9.01,49.08,15.93,0.64,29-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-May-2020 - 00:00,33.47,978.66,44.99,23.34,55.8,185.85,74.57,1.81,1.0,6.26,43.18,4.37,13.09,10.49,40.51,13.5,0.61,30-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-May-2020 - 00:00,33.53,980.47,34.73,23.89,57.13,195.62,86.4,1.08,0.96,4.9,41.85,4.06,12.27,9.84,46.91,13.8,0.59,31-May-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
31-May-2020 - 00:00,31.12,982.14,28.82,30.0,68.5,124.62,92.54,1.16,1.24,7.39,48.52,4.35,12.62,10.25,30.96,11.35,0.61,01-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-Jun-2020 - 00:00,32.43,982.73,60.39,49.37,63.34,237.62,45.11,0.82,1.72,6.02,40.46,5.13,17.12,13.29,37.46,18.16,0.78,02-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Jun-2020 - 00:00,34.12,980.8,84.96,40.05,58.01,221.82,130.4,0.78,1.55,10.92,39.0,5.68,17.34,13.87,41.95,15.71,0.68,03-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Jun-2020 - 00:00,34.82,978.88,106.47,58.77,53.65,227.64,68.22,0.8,1.72,13.24,36.02,6.11,22.24,16.81,49.43,20.77,0.83,04-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Jun-2020 - 00:00,33.56,978.0,122.1,77.05,57.48,119.82,66.61,0.88,2.6,23.07,35.76,9.38,27.42,22.24,32.81,24.04,0.9,05-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Jun-2020 - 00:00,33.89,978.07,83.96,43.96,55.6,177.72,93.9,0.89,1.78,11.39,35.4,4.79,18.42,13.7,44.05,17.37,0.7,06-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Jun-2020 - 00:00,34.64,977.5,77.69,34.31,55.7,206.84,75.25,0.81,1.56,7.54,32.13,4.77,16.43,12.63,42.26,14.0,0.71,07-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Jun-2020 - 00:00,33.96,977.3,77.9,36.79,56.69,173.69,87.54,0.93,1.1,6.56,29.0,4.86,15.3,12.1,37.15,15.98,0.64,08-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Jun-2020 - 00:00,35.52,976.73,94.11,52.0,53.86,228.14,109.03,0.64,1.55,8.29,29.22,6.12,19.89,15.57,44.43,23.05,0.76,09-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Jun-2020 - 00:00,37.37,976.48,115.95,58.57,49.77,221.08,100.89,0.54,1.88,12.49,30.41,8.06,23.82,19.24,43.18,21.59,0.76,10-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Jun-2020 - 00:00,37.72,975.82,121.15,53.54,48.9,207.93,123.39,0.84,3.1,20.68,34.03,7.83,24.69,19.52,37.51,19.09,0.8,11-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Jun-2020 - 00:00,37.32,974.83,113.8,62.52,50.81,213.49,48.38,0.89,1.88,20.7,30.32,7.07,21.02,16.95,40.65,23.19,0.82,12-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Jun-2020 - 00:00,38.02,973.57,111.98,69.18,50.3,198.54,88.08,0.73,1.62,13.31,33.27,5.87,19.4,15.1,41.99,17.13,0.77,13-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Jun-2020 - 00:00,35.45,974.4,95.68,54.88,59.11,129.5,94.59,0.81,1.26,15.03,29.96,7.41,19.3,16.31,29.51,12.85,0.83,14-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Jun-2020 - 00:00,36.43,975.87,96.76,65.07,57.55,210.47,60.91,0.86,1.32,12.57,29.94,7.76,17.13,15.45,38.52,11.66,0.87,15-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Jun-2020 - 00:00,38.49,973.69,132.33,53.46,48.06,223.21,124.79,0.6,1.42,11.89,36.01,5.68,17.19,13.78,42.99,12.5,0.81,16-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Jun-2020 - 00:00,38.44,971.51,124.85,35.58,47.28,223.03,77.57,0.82,1.69,11.57,31.12,4.92,16.78,12.94,41.5,10.5,0.7,17-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Jun-2020 - 00:00,37.64,971.34,109.35,32.21,52.27,230.22,64.85,1.24,1.43,10.64,23.86,4.93,13.09,10.95,42.39,16.32,0.66,18-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Jun-2020 - 00:00,38.44,971.82,113.35,37.42,50.23,229.27,80.24,0.94,1.28,9.55,24.76,5.95,15.91,13.26,46.44,18.0,0.73,19-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Jun-2020 - 00:00,38.05,973.62,209.77,49.52,53.62,187.29,57.99,1.25,0.76,10.89,21.66,5.27,12.9,11.17,33.59,13.11,0.71,20-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Jun-2020 - 00:00,34.81,975.4,112.7,29.83,59.51,135.71,107.7,0.98,1.21,12.58,21.08,6.16,19.85,15.52,30.46,12.39,0.63,21-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Jun-2020 - 00:00,34.76,975.33,103.48,43.04,61.88,133.29,78.56,0.82,1.33,15.19,25.61,7.41,21.39,17.42,29.92,12.08,0.76,22-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Jun-2020 - 00:00,35.34,975.1,91.5,53.65,61.36,212.29,102.73,0.73,1.03,13.37,31.75,6.04,19.2,15.14,34.65,12.48,0.79,23-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Jun-2020 - 00:00,35.43,977.08,72.19,25.49,61.71,201.46,49.07,1.65,0.47,11.55,27.05,4.61,11.33,9.76,31.7,12.96,0.8,24-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Jun-2020 - 00:00,34.73,978.07,72.74,26.46,65.23,178.72,64.98,1.27,0.47,13.69,20.33,4.75,11.01,9.73,31.95,10.1,0.82,25-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Jun-2020 - 00:00,35.48,975.62,80.85,32.75,62.85,195.1,128.38,0.72,0.35,9.93,25.69,5.58,15.61,12.85,30.27,10.94,0.77,26-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-Jun-2020 - 00:00,35.87,974.5,114.8,49.67,61.23,163.78,133.86,0.89,0.48,11.31,27.5,6.23,13.4,12.21,30.06,11.17,0.76,27-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Jun-2020 - 00:00,37.03,973.15,161.93,37.07,54.04,158.81,180.41,1.24,0.87,14.07,39.19,8.73,20.5,17.98,28.56,9.42,0.68,28-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-Jun-2020 - 00:00,38.27,972.4,264.21,48.3,51.64,200.77,145.27,1.01,0.48,15.9,25.71,10.46,20.1,19.22,24.51,12.82,0.67,29-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-Jun-2020 - 00:00,37.27,974.58,157.67,32.94,53.28,198.94,122.95,1.17,0.5,12.87,24.37,8.29,17.69,15.96,26.93,14.01,0.65,30-Jun-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-Jun-2020 - 00:00,36.05,976.24,98.17,38.05,61.44,190.8,57.8,1.3,0.38,13.13,19.32,4.53,10.58,9.32,33.34,18.4,0.84,01-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-Jul-2020 - 00:00,37.07,974.82,114.84,48.67,57.15,180.42,67.16,0.99,0.4,11.18,22.03,4.91,11.98,10.26,34.47,10.22,0.79,02-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Jul-2020 - 00:00,37.98,972.5,126.33,64.91,55.16,183.18,69.38,0.91,0.43,8.6,24.61,5.79,13.3,11.67,35.65,11.5,0.89,03-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Jul-2020 - 00:00,38.1,971.94,154.62,64.8,55.34,181.11,87.22,1.11,1.14,16.85,27.58,5.35,13.24,11.4,34.03,11.47,0.88,04-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Jul-2020 - 00:00,36.4,972.57,134.53,44.78,60.08,236.56,59.84,1.42,1.01,19.4,31.69,5.15,10.47,9.66,31.09,15.62,0.77,05-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Jul-2020 - 00:00,33.11,973.7,80.55,31.73,68.86,203.45,55.79,1.36,0.88,8.92,26.35,4.42,8.87,8.3,32.97,14.13,0.72,06-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Jul-2020 - 00:00,34.3,972.93,117.28,60.1,69.61,201.22,56.67,1.17,0.79,11.51,19.67,5.26,11.72,10.46,30.65,12.41,0.86,07-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Jul-2020 - 00:00,33.72,975.87,56.94,17.28,70.13,195.73,48.16,1.84,0.89,13.04,33.66,6.18,9.89,10.31,24.36,14.0,0.67,08-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Jul-2020 - 00:00,34.23,976.94,55.54,20.48,70.55,153.55,77.85,1.33,2.57,17.62,37.25,8.21,15.09,14.72,22.78,12.73,0.71,09-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Jul-2020 - 00:00,36.58,973.94,85.3,31.73,62.27,212.16,140.63,0.72,3.73,24.22,28.7,8.35,18.62,16.71,31.27,12.79,0.71,10-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Jul-2020 - 00:00,37.19,972.29,75.0,17.94,59.44,227.92,166.52,1.01,1.59,11.04,24.58,6.84,18.12,15.21,30.73,12.05,0.63,11-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Jul-2020 - 00:00,35.11,973.84,61.22,18.35,66.19,193.02,115.12,1.01,2.23,12.31,23.72,6.33,18.12,14.8,35.21,10.94,0.62,12-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Jul-2020 - 00:00,34.19,975.24,54.99,17.23,64.65,166.73,157.57,0.75,1.82,14.21,24.15,6.8,18.81,15.55,34.47,10.35,0.55,13-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Jul-2020 - 00:00,36.09,974.85,128.53,28.22,59.25,243.73,166.93,0.54,1.91,17.21,24.08,7.71,20.72,17.31,33.26,13.03,0.61,14-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Jul-2020 - 00:00,37.42,975.76,165.55,35.73,57.41,235.02,101.79,0.99,1.8,10.18,26.4,7.52,20.84,17.22,33.74,12.4,0.64,15-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Jul-2020 - 00:00,36.24,976.51,106.01,36.38,61.08,201.18,44.16,1.58,2.06,13.34,30.63,6.26,19.62,15.55,42.67,14.75,0.67,16-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Jul-2020 - 00:00,35.88,975.59,73.02,31.48,63.41,162.47,46.85,1.45,2.76,14.65,29.46,7.32,19.68,16.44,30.83,12.95,0.76,17-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Jul-2020 - 00:00,35.71,976.24,82.07,42.85,67.15,160.89,57.39,1.05,1.44,14.36,27.89,8.03,21.23,17.84,30.94,13.08,0.75,18-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Jul-2020 - 00:00,35.44,977.34,79.95,34.75,67.54,150.58,59.91,1.25,2.3,14.24,28.82,8.01,20.68,17.53,30.47,14.37,0.79,19-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Jul-2020 - 00:00,33.04,976.94,59.46,31.25,78.27,1.19,124.96,0.82,1.2,12.46,29.91,10.21,19.06,18.47,22.21,11.29,0.65,20-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Jul-2020 - 00:00,33.43,974.28,52.09,17.93,69.39,127.44,152.04,0.74,2.13,19.75,26.68,7.45,22.63,18.11,34.62,11.48,0.63,21-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Jul-2020 - 00:00,31.97,977.3,40.68,23.92,76.37,129.34,113.61,0.85,2.22,17.27,24.5,8.31,19.66,17.24,29.02,10.86,0.56,22-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Jul-2020 - 00:00,31.77,978.38,50.88,26.48,80.7,72.82,129.98,0.52,2.86,25.07,23.68,13.83,20.33,22.1,18.86,11.41,0.67,23-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Jul-2020 - 00:00,34.19,977.36,73.99,33.94,69.45,226.01,135.67,0.44,3.13,24.68,24.75,12.01,23.39,22.23,29.03,12.19,0.79,24-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Jul-2020 - 00:00,34.49,980.2,99.6,47.9,69.05,184.91,65.28,0.9,3.85,25.84,28.78,11.97,23.52,22.27,32.14,18.82,0.78,25-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Jul-2020 - 00:00,34.55,981.88,63.6,30.49,70.12,164.99,53.0,1.19,2.75,14.65,37.24,9.21,19.44,17.86,30.63,12.97,0.67,26-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-Jul-2020 - 00:00,35.24,981.42,83.75,45.39,69.56,185.09,77.36,0.54,1.96,16.99,37.37,11.26,25.52,22.75,36.59,12.14,0.99,27-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Jul-2020 - 00:00,36.55,978.46,96.33,33.15,64.01,234.57,154.16,0.8,1.52,14.73,38.86,10.44,22.91,20.7,31.64,11.13,0.65,28-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-Jul-2020 - 00:00,36.94,976.28,93.46,19.15,60.9,218.77,163.82,0.88,1.41,12.91,39.04,8.23,20.98,17.87,29.27,12.37,0.66,29-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-Jul-2020 - 00:00,34.3,977.08,66.7,19.36,67.09,96.09,96.08,0.81,2.59,23.2,32.84,9.46,24.18,20.57,36.69,15.63,0.68,30-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-Jul-2020 - 00:00,33.53,979.0,41.18,14.03,70.7,170.95,102.83,0.72,2.11,15.22,31.31,9.71,22.3,19.78,30.33,14.28,0.64,31-Jul-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
31-Jul-2020 - 00:00,34.89,978.18,81.46,40.11,69.51,159.94,77.59,0.61,3.55,19.16,31.9,11.17,25.92,22.9,35.28,17.25,0.84,01-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-Aug-2020 - 00:00,34.53,977.66,70.71,30.08,69.42,171.8,107.91,0.86,2.69,16.6,32.92,9.47,26.08,21.58,35.14,17.27,0.8,02-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Aug-2020 - 00:00,36.09,975.51,56.42,17.55,63.85,232.92,166.89,0.69,1.66,11.25,31.88,9.26,24.56,20.61,30.15,17.45,0.75,03-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Aug-2020 - 00:00,36.69,971.47,66.98,19.93,61.79,200.77,174.57,1.06,1.27,7.01,32.59,8.94,24.03,20.07,30.44,16.29,0.73,04-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Aug-2020 - 00:00,36.2,970.14,66.83,20.81,61.79,194.96,88.58,0.96,1.39,9.12,32.05,7.5,22.34,18.0,32.49,17.9,0.7,05-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Aug-2020 - 00:00,35.05,971.69,79.53,35.65,68.67,113.14,51.18,1.08,2.61,15.11,28.33,8.96,27.0,21.67,32.03,22.27,0.89,06-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Aug-2020 - 00:00,36.17,974.48,60.12,16.67,61.54,215.43,42.72,2.34,2.77,15.45,30.88,9.1,19.31,17.7,26.31,23.82,0.72,07-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Aug-2020 - 00:00,35.51,977.04,46.52,21.08,63.96,187.69,58.41,1.64,2.15,11.56,30.55,7.35,21.0,17.17,32.68,24.42,0.77,08-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Aug-2020 - 00:00,36.52,975.06,88.79,46.27,63.09,159.66,88.12,0.61,3.0,17.24,26.3,10.54,26.75,22.82,38.36,21.42,0.86,09-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Aug-2020 - 00:00,34.3,974.62,56.41,27.8,75.92,115.87,108.39,0.83,1.08,11.53,21.11,9.16,22.1,19.22,31.15,18.1,0.8,10-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Aug-2020 - 00:00,34.94,975.78,63.21,,72.66,159.77,74.62,0.82,1.6,10.46,26.29,9.64,20.21,18.62,30.69,18.9,0.73,11-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Aug-2020 - 00:00,35.39,975.31,77.08,,70.06,145.93,127.43,0.68,1.92,16.87,30.44,10.35,22.88,20.62,32.65,18.06,0.87,12-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Aug-2020 - 00:00,35.4,974.21,56.1,,70.07,174.03,152.76,0.96,0.9,9.47,26.12,8.19,19.6,17.1,29.7,16.86,0.65,13-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Aug-2020 - 00:00,32.05,974.14,24.41,,83.63,38.53,79.81,1.0,2.03,15.98,25.51,10.11,20.81,19.31,26.42,15.8,0.78,14-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Aug-2020 - 00:00,33.17,973.57,50.21,,77.9,93.04,42.41,1.35,3.44,15.89,23.72,10.81,21.85,20.44,28.54,23.54,0.89,15-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Aug-2020 - 00:00,34.78,973.43,54.17,,71.57,157.95,76.07,0.81,1.79,7.63,21.65,9.52,18.88,17.81,31.15,18.84,0.67,16-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Aug-2020 - 00:00,35.4,974.29,36.02,,69.44,215.21,76.6,0.8,1.64,8.8,20.76,9.27,21.59,19.04,31.1,17.94,0.74,17-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Aug-2020 - 00:00,34.61,974.72,51.06,,74.87,118.28,94.34,0.65,3.5,20.24,23.39,12.64,24.19,23.17,35.85,19.02,0.91,18-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Aug-2020 - 00:00,34.67,975.17,57.98,,73.77,109.97,124.87,0.84,3.92,27.99,26.73,14.65,25.15,25.32,38.16,18.52,0.76,19-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Aug-2020 - 00:00,31.86,975.24,39.55,29.33,83.46,18.6,100.52,0.84,4.59,33.62,26.37,17.46,26.78,28.49,34.9,20.25,1.0,20-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Aug-2020 - 00:00,31.73,977.9,40.74,20.91,81.63,76.65,54.63,1.07,4.82,23.43,25.28,16.3,25.69,26.96,39.5,22.62,0.81,21-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Aug-2020 - 00:00,33.67,979.32,52.2,22.98,70.99,188.77,42.82,1.21,5.41,29.39,22.08,15.74,21.51,24.28,30.74,22.25,0.9,22-Aug-2020 - 00:00,"Ashok Vihar, Delhi - DPCC"
