from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,BP,SR,WS,WD,to date,station
08-Feb-2020 - 00:00,82.69,208.58,9.91,9.89,19.8,23.73,24.85,1.35,8.27,14.85,77.17,27.43,25.28,,233.9,0.66,156.65,09-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
09-Feb-2020 - 00:00,79.79,194.75,6.19,8.93,15.13,25.05,24.64,1.26,5.04,10.74,89.53,37.77,26.65,,221.04,0.54,169.71,10-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
10-Feb-2020 - 00:00,61.96,175.56,5.52,9.41,14.93,24.46,24.4,1.28,5.1,11.11,99.79,34.64,28.48,,215.8,0.61,168.26,11-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
11-Feb-2020 - 00:00,66.86,192.27,5.53,11.98,17.51,29.31,23.01,1.56,7.03,12.58,97.74,36.0,29.29,,209.43,0.59,181.59,12-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
12-Feb-2020 - 00:00,74.42,222.96,6.46,18.52,23.72,28.81,20.52,2.23,6.05,19.22,157.14,49.95,29.73,,171.92,0.54,165.96,13-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
13-Feb-2020 - 00:00,77.74,218.32,6.36,19.91,26.27,32.09,20.88,1.73,7.55,15.86,119.43,44.57,30.21,,209.48,0.58,170.11,14-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
14-Feb-2020 - 00:00,64.42,187.09,12.63,10.58,23.22,25.02,19.67,1.36,13.31,11.62,87.0,31.41,30.15,,247.16,0.59,160.44,15-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
15-Feb-2020 - 00:00,69.98,185.71,12.52,6.74,19.26,16.66,19.29,1.22,6.5,11.58,63.98,21.65,29.43,,281.98,0.67,161.21,16-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
16-Feb-2020 - 00:00,95.66,228.2,12.25,9.87,22.11,15.57,20.07,1.43,6.18,13.95,78.81,33.94,28.65,,233.5,0.63,161.86,17-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
17-Feb-2020 - 00:00,123.62,273.69,12.64,16.38,28.49,21.32,23.23,1.82,8.86,14.35,115.97,41.05,30.87,,261.75,0.61,156.39,18-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
18-Feb-2020 - 00:00,111.35,268.23,13.76,19.24,32.86,30.78,20.86,1.91,16.02,4.12,51.61,18.56,30.98,,243.42,0.64,168.35,19-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
19-Feb-2020 - 00:00,109.49,242.49,14.78,16.88,31.66,53.28,20.54,2.1,10.81,8.25,20.67,17.08,29.74,,237.7,0.62,162.43,20-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
20-Feb-2020 - 00:00,110.04,245.6,17.53,15.32,32.85,53.52,27.36,2.0,30.56,3.77,32.91,17.93,29.1,,236.01,0.56,161.65,21-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
21-Feb-2020 - 00:00,75.26,189.62,17.69,21.56,39.25,34.32,35.16,1.31,53.2,3.56,31.35,10.26,28.64,,285.77,0.6,170.13,22-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
22-Feb-2020 - 00:00,82.54,221.36,36.37,11.6,47.26,16.84,34.51,1.51,125.36,2.91,18.38,5.03,33.12,,356.93,0.68,181.05,23-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
23-Feb-2020 - 00:00,101.17,229.72,28.12,4.17,32.29,10.79,46.24,1.25,97.43,3.48,26.61,7.21,29.73,,281.67,0.62,167.4,24-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
24-Feb-2020 - 00:00,101.58,235.33,28.35,5.42,33.77,12.37,34.18,1.38,93.36,3.5,23.39,6.51,29.46,,297.38,0.64,177.41,25-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
25-Feb-2020 - 00:00,66.09,211.98,35.31,30.3,65.23,7.54,21.17,1.56,64.95,3.99,20.33,5.75,29.61,,298.97,0.61,161.09,26-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
26-Feb-2020 - 00:00,62.49,199.68,34.9,24.3,59.19,8.84,24.58,1.55,76.02,3.74,19.36,5.16,29.48,,306.49,0.56,178.54,27-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
27-Feb-2020 - 00:00,86.95,236.01,33.21,18.98,52.19,12.51,34.45,1.56,82.24,4.8,20.52,6.05,29.8,,298.34,0.59,169.67,28-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
28-Feb-2020 - 00:00,95.62,242.75,31.88,10.77,42.65,15.15,38.45,1.54,81.47,4.01,23.12,6.88,29.14,,273.68,0.66,158.72,29-Feb-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
29-Feb-2020 - 00:00,89.5,238.31,28.02,11.17,39.19,14.18,37.48,1.3,73.97,3.5,20.96,6.09,28.77,,280.43,0.65,161.49,01-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
01-Mar-2020 - 00:00,88.72,239.61,29.96,16.23,46.19,19.93,51.07,1.27,59.61,3.75,17.45,6.14,28.66,,274.64,0.6,159.04,02-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
02-Mar-2020 - 00:00,95.3,254.67,28.28,17.06,45.34,12.9,45.25,1.05,57.66,3.62,23.19,7.42,28.35,,287.23,0.68,163.5,03-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
03-Mar-2020 - 00:00,74.89,223.6,25.15,9.59,34.63,14.57,41.56,1.11,57.03,2.26,6.52,2.5,27.3,,307.7,0.64,168.02,04-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
04-Mar-2020 - 00:00,68.13,202.29,24.81,11.14,35.65,11.23,24.67,0.98,62.9,2.14,10.1,3.14,26.81,,262.72,0.75,168.69,05-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
05-Mar-2020 - 00:00,49.36,172.33,21.68,6.2,27.78,8.82,19.75,0.83,61.53,1.57,7.46,2.27,27.33,,275.7,0.72,174.02,06-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
06-Mar-2020 - 00:00,39.05,171.32,22.24,10.31,32.09,9.79,13.81,0.8,34.13,1.94,5.54,1.96,27.48,,228.81,0.79,174.23,07-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
07-Mar-2020 - 00:00,41.65,185.53,19.18,7.29,26.34,8.01,16.49,0.67,60.7,1.57,6.47,2.0,27.12,,268.15,0.73,171.49,08-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
08-Mar-2020 - 00:00,49.57,176.53,20.45,5.11,25.55,8.64,23.06,0.58,88.87,1.53,6.28,2.01,27.09,,296.12,0.72,161.15,09-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
09-Mar-2020 - 00:00,75.31,220.3,24.78,5.12,29.9,6.43,27.66,0.99,95.6,2.06,5.55,1.74,29.96,,318.82,0.92,177.69,10-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
10-Mar-2020 - 00:00,96.61,203.53,14.99,8.09,23.06,2.31,25.15,1.24,40.41,3.13,4.41,1.62,27.52,,230.77,0.72,170.58,11-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
