from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,BP,SR,WS,WD,to date,station
18-Sep-2020 - 00:00,26.13,43.03,3.54,24.07,26.3,0.44,,0.47,3.15,6.88,46.25,9.85,30.76,,107.5,0.68,172.24,19-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
19-Sep-2020 - 00:00,16.86,35.9,4.79,12.36,15.87,1.14,,0.46,3.35,7.16,59.29,12.58,30.89,999.8,110.39,0.58,157.21,20-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
20-Sep-2020 - 00:00,21.6,47.8,4.59,9.09,13.68,2.4,,0.44,4.01,6.26,63.73,13.45,32.64,998.82,177.6,0.65,164.64,21-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
21-Sep-2020 - 00:00,36.17,68.03,5.52,11.56,17.08,2.29,,0.51,4.08,9.38,62.75,14.67,31.7,998.65,143.81,0.67,165.93,22-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
22-Sep-2020 - 00:00,25.63,43.93,4.56,9.72,14.28,1.97,,0.48,3.53,6.13,62.69,14.12,30.18,998.59,116.49,0.76,163.83,23-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
23-Sep-2020 - 00:00,11.99,18.99,4.34,9.58,13.92,1.8,,0.39,3.19,5.09,64.7,14.47,29.1,999.48,71.85,1.0,178.09,24-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
24-Sep-2020 - 00:00,24.68,38.7,4.89,14.21,19.09,1.27,,0.51,5.06,7.98,73.08,16.77,30.26,,97.84,0.68,165.12,25-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
25-Sep-2020 - 00:00,22.73,39.38,2.26,20.85,22.63,0.41,,0.53,3.18,8.28,78.29,16.21,29.79,,93.67,0.65,165.9,26-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
26-Sep-2020 - 00:00,20.77,62.73,4.91,18.95,20.89,1.15,,0.46,3.51,7.1,68.83,13.38,31.21,,160.59,0.7,161.4,27-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
27-Sep-2020 - 00:00,25.38,97.18,4.38,25.53,26.45,1.35,,0.59,3.35,9.08,81.09,16.43,30.74,,111.79,0.58,153.36,28-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
28-Sep-2020 - 00:00,26.92,109.4,6.51,19.53,22.71,1.12,,0.58,3.9,9.45,78.87,16.07,31.06,,134.42,0.63,159.65,29-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
29-Sep-2020 - 00:00,26.59,97.28,4.93,12.89,15.92,1.51,,0.43,4.12,6.57,69.87,14.9,31.6,,151.9,0.64,160.13,30-Sep-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
30-Sep-2020 - 00:00,30.93,106.37,4.91,12.15,16.37,1.41,,0.42,3.73,6.59,64.37,14.31,31.66,,144.57,0.65,162.98,01-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
01-Oct-2020 - 00:00,36.42,109.91,4.71,12.35,16.48,1.42,,0.45,4.4,6.72,65.58,14.16,31.85,,165.43,0.64,158.72,02-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
02-Oct-2020 - 00:00,33.22,109.59,4.38,10.31,14.57,1.46,,0.39,4.61,5.78,57.99,12.73,32.21,,161.36,0.64,162.78,03-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
03-Oct-2020 - 00:00,24.89,81.91,4.48,6.38,10.86,1.92,,0.34,4.61,4.06,49.56,10.18,31.41,,153.23,0.69,163.5,04-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
04-Oct-2020 - 00:00,28.99,36.3,5.25,8.03,13.27,1.53,,0.43,3.4,5.65,55.02,11.85,30.9,,106.23,0.67,160.99,05-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
05-Oct-2020 - 00:00,38.49,95.4,5.89,15.42,20.77,1.1,,0.53,4.54,7.54,64.78,13.77,32.06,,157.55,0.66,160.59,06-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
06-Oct-2020 - 00:00,35.68,93.53,5.17,12.41,17.45,1.45,,0.47,4.73,7.01,64.04,13.51,31.34,,149.14,0.67,156.52,07-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
07-Oct-2020 - 00:00,37.57,,5.45,7.26,12.71,2.6,,0.46,4.08,5.68,57.3,11.61,32.16,,139.87,0.61,150.83,08-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
08-Oct-2020 - 00:00,67.73,187.82,8.89,7.56,16.44,2.19,,0.6,4.89,8.56,63.24,13.98,33.09,,130.1,0.61,140.22,09-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
09-Oct-2020 - 00:00,48.92,126.0,7.0,5.52,12.52,3.43,,0.48,5.58,6.45,52.69,11.29,34.16,,141.73,0.66,139.92,10-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
10-Oct-2020 - 00:00,57.61,123.47,7.8,4.73,12.53,3.02,,0.47,5.93,7.02,50.53,11.32,32.81,,125.95,0.65,157.12,11-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
11-Oct-2020 - 00:00,58.08,115.94,8.08,10.15,18.23,1.95,,0.53,4.7,10.38,53.89,12.74,31.9,,92.88,0.59,157.35,12-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
12-Oct-2020 - 00:00,84.95,142.33,10.37,21.86,31.46,1.39,,0.65,4.49,13.64,60.22,14.72,32.06,999.32,65.88,0.6,152.45,13-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
13-Oct-2020 - 00:00,67.04,131.04,9.28,10.31,19.59,1.34,,0.55,4.7,10.35,56.56,12.71,33.3,999.4,154.43,0.68,156.27,14-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
14-Oct-2020 - 00:00,52.82,100.41,9.22,9.73,18.95,1.1,,0.69,6.17,9.81,60.27,13.03,32.11,999.62,134.62,0.62,150.01,15-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
15-Oct-2020 - 00:00,33.93,58.04,5.66,15.3,20.96,1.3,,0.63,3.78,8.97,72.78,16.77,30.94,998.6,109.87,0.63,149.96,16-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
16-Oct-2020 - 00:00,17.88,42.98,3.84,15.19,19.04,1.48,,0.55,3.71,7.09,62.17,15.84,31.94,998.51,82.86,0.58,160.2,17-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
17-Oct-2020 - 00:00,29.17,75.69,6.95,16.97,22.65,0.69,,0.52,3.95,5.5,48.06,10.78,32.19,,110.22,0.66,164.58,18-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
18-Oct-2020 - 00:00,34.94,101.35,5.76,12.13,17.89,1.48,,0.45,4.63,8.3,65.46,16.27,32.19,,131.88,0.73,162.53,19-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
19-Oct-2020 - 00:00,32.59,93.1,4.92,12.25,26.72,0.8,,0.43,4.0,5.3,35.81,7.13,32.07,,104.34,0.65,150.77,20-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
20-Oct-2020 - 00:00,33.89,86.37,5.57,11.39,16.95,0.73,,0.49,3.48,5.32,44.66,10.07,32.2,,114.58,0.69,145.1,21-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
21-Oct-2020 - 00:00,37.7,96.67,5.3,11.34,16.64,1.13,,0.49,4.28,5.25,47.61,10.48,32.23,,143.57,0.62,150.99,22-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
22-Oct-2020 - 00:00,32.86,50.11,5.59,8.2,13.79,1.12,,0.49,4.74,5.59,41.22,8.47,31.12,,128.43,0.61,160.18,23-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
23-Oct-2020 - 00:00,34.66,79.36,6.58,11.41,18.0,2.12,,0.52,3.24,4.81,44.8,9.11,31.58,,124.74,0.59,150.81,24-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
24-Oct-2020 - 00:00,55.51,114.96,9.18,15.04,22.05,1.61,,0.63,4.92,7.7,54.91,12.12,32.29,,126.65,0.64,149.62,25-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
25-Oct-2020 - 00:00,48.87,95.47,6.13,10.25,16.37,1.13,,0.51,4.32,,,,32.48,,122.46,0.64,155.51,26-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
26-Oct-2020 - 00:00,55.22,159.25,9.4,15.69,25.09,1.04,,0.66,4.27,11.67,67.93,14.9,32.41,,141.84,0.56,147.42,27-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
27-Oct-2020 - 00:00,49.79,165.25,8.39,20.75,28.52,2.46,,0.68,3.95,8.98,74.76,16.17,31.43,,126.47,0.61,140.34,28-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
28-Oct-2020 - 00:00,53.65,140.84,11.26,17.67,26.37,1.84,,0.68,4.1,9.63,72.5,14.94,31.84,,124.36,0.63,144.24,29-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
29-Oct-2020 - 00:00,64.66,140.94,10.78,13.96,24.74,1.71,,0.67,5.3,9.81,65.42,14.38,31.41,,119.64,0.58,154.5,30-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
30-Oct-2020 - 00:00,53.47,136.57,7.04,16.35,23.38,1.41,,0.57,5.39,7.97,59.87,13.37,31.32,,137.88,0.64,153.31,31-Oct-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
31-Oct-2020 - 00:00,43.53,130.44,12.12,16.79,25.41,2.11,,0.59,4.48,10.71,48.87,9.46,31.31,,131.23,0.58,154.62,01-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
01-Nov-2020 - 00:00,64.63,166.03,9.21,26.73,33.71,5.41,,0.81,4.47,11.35,80.57,17.38,30.92,,126.4,0.58,146.31,02-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
02-Nov-2020 - 00:00,87.92,219.89,10.31,28.39,36.36,3.97,,0.99,4.56,13.71,103.55,20.82,31.68,,143.41,0.61,138.43,03-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
03-Nov-2020 - 00:00,88.92,207.37,8.59,29.4,35.82,2.7,,1.05,4.98,12.11,95.74,18.84,30.66,,59.97,0.57,138.59,04-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
04-Nov-2020 - 00:00,78.64,167.23,18.65,23.86,36.56,3.28,,1.12,6.92,13.14,96.4,19.39,31.45,,133.05,0.58,148.2,05-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
05-Nov-2020 - 00:00,76.45,176.39,9.95,77.45,85.32,7.51,,0.77,5.88,13.39,89.96,17.33,31.91,,170.18,0.59,143.2,06-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
06-Nov-2020 - 00:00,67.78,143.66,14.95,35.63,42.45,7.02,,0.7,6.59,12.21,91.07,17.23,30.17,,144.77,0.61,136.51,07-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
07-Nov-2020 - 00:00,65.65,158.79,7.47,14.52,21.99,11.97,,0.68,5.95,9.6,89.57,16.45,29.58,,87.36,0.49,140.15,08-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
08-Nov-2020 - 00:00,66.1,135.73,6.91,15.88,22.78,8.83,,0.7,5.94,10.31,96.87,17.36,30.92,,119.82,0.58,157.25,09-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
09-Nov-2020 - 00:00,74.68,143.57,7.26,15.83,23.09,7.06,,0.66,6.65,10.34,88.72,15.72,30.04,,120.78,0.56,148.28,10-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
10-Nov-2020 - 00:00,84.81,166.82,8.01,21.57,29.04,6.98,,0.75,6.77,12.22,100.77,18.33,28.94,,114.37,0.57,148.86,11-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
11-Nov-2020 - 00:00,89.96,139.6,11.77,17.16,28.93,10.94,37.64,0.74,7.55,12.44,92.05,16.28,28.31,,114.32,0.65,123.92,12-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
12-Nov-2020 - 00:00,83.9,202.73,8.98,16.06,25.04,17.47,33.35,0.74,6.59,12.31,97.07,17.61,28.51,,113.61,0.67,109.88,13-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
13-Nov-2020 - 00:00,69.63,130.4,6.57,16.51,23.07,21.85,31.26,0.7,6.07,11.44,108.47,19.89,30.25,,109.33,0.7,112.37,14-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
14-Nov-2020 - 00:00,74.79,96.42,6.2,11.87,18.07,12.06,31.32,0.58,7.87,9.28,78.66,13.91,31.95,,83.48,0.61,106.52,15-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
15-Nov-2020 - 00:00,116.81,132.33,7.26,11.48,17.91,5.68,32.86,0.62,7.52,11.19,72.85,12.25,32.5,,101.41,0.58,108.64,16-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
16-Nov-2020 - 00:00,71.16,133.12,6.4,4.27,10.68,6.69,31.27,0.42,7.64,7.09,53.08,9.3,32.49,,98.15,0.73,109.58,17-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
17-Nov-2020 - 00:00,75.32,128.33,7.39,3.02,10.38,7.35,30.79,0.42,8.28,7.65,53.46,10.3,32.74,,90.67,0.7,106.98,18-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
18-Nov-2020 - 00:00,77.46,142.36,8.56,2.54,11.11,7.88,30.78,0.44,10.92,9.37,52.77,11.47,32.09,,81.36,0.69,109.07,19-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
19-Nov-2020 - 00:00,85.93,146.29,8.28,2.69,10.98,8.43,30.17,0.43,10.84,8.24,51.21,10.7,32.01,,99.09,0.78,110.18,20-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
20-Nov-2020 - 00:00,69.09,123.7,10.22,2.89,13.11,9.47,29.5,0.45,7.44,7.03,53.26,10.56,31.58,,121.79,0.66,112.17,21-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
21-Nov-2020 - 00:00,76.3,137.18,8.6,4.59,13.2,11.12,28.11,0.48,5.42,7.09,54.9,11.94,29.05,,38.07,0.6,117.9,22-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
22-Nov-2020 - 00:00,86.31,140.14,8.07,7.97,16.05,10.02,28.2,0.59,4.58,10.67,72.09,16.17,30.78,,91.47,0.63,126.03,23-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
23-Nov-2020 - 00:00,64.91,132.43,7.17,14.78,21.95,7.13,27.77,0.63,3.48,11.99,79.99,16.76,29.67,,99.26,0.62,119.81,24-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
24-Nov-2020 - 00:00,78.69,150.24,9.76,14.06,23.81,9.98,27.65,0.6,3.61,11.14,83.3,17.39,29.86,,101.75,0.57,119.75,25-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
25-Nov-2020 - 00:00,110.72,193.87,10.85,8.34,19.19,11.02,28.17,0.67,4.83,12.64,76.73,16.7,30.92,,95.62,0.62,120.34,26-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
26-Nov-2020 - 00:00,96.59,159.84,9.64,4.36,14.0,12.73,27.12,0.54,6.25,9.2,64.37,13.86,30.22,,95.86,0.72,115.79,27-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
27-Nov-2020 - 00:00,81.62,153.33,9.46,4.94,14.4,12.12,26.64,0.5,5.79,7.8,61.61,12.05,29.98,,89.7,0.63,126.53,28-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
28-Nov-2020 - 00:00,62.28,126.05,8.57,8.15,16.72,13.33,28.24,0.52,5.16,7.44,62.69,11.5,30.86,,80.2,0.7,114.46,29-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
29-Nov-2020 - 00:00,37.95,83.72,6.71,13.15,19.85,11.64,31.69,0.63,4.76,9.33,62.9,11.4,30.04,,,0.52,95.04,30-Nov-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
30-Nov-2020 - 00:00,58.38,115.87,8.88,2.78,11.67,9.34,27.07,0.5,5.74,,,,34.57,,109.82,0.59,117.08,01-Dec-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
01-Dec-2020 - 00:00,82.4,142.0,9.28,3.46,12.73,8.25,26.81,0.58,4.0,,,,30.59,,,0.34,83.8,02-Dec-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
