from date,NO,NO2,NOx,SO2,CO,Ozone,PM10,PM2.5,NH3,AT,RH,WS,VWS,WD,SR,BP,RF,Benzene,Toluene,MP-Xylene,Xylene,Temp,to date,station
05-Nov-2020 - 00:00,3.05,27.19,16.95,19.16,1.01,48.13,92.57,53.65,11.29,28.99,79.44,1.76,0.01,200.88,72.21,757.74,0.1,3.38,14.02,0.64,1.06,28.4,06-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
06-Nov-2020 - 00:00,2.12,16.74,10.62,16.07,0.88,45.48,49.16,26.76,12.16,29.28,81.54,2.73,0.05,91.22,73.48,759.49,0.41,2.13,17.99,0.18,0.35,28.45,07-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
07-Nov-2020 - 00:00,1.84,18.19,11.17,14.63,1.0,57.67,106.45,63.23,26.52,29.51,77.69,2.21,0.06,81.06,76.21,760.12,0.0,1.59,6.58,1.29,0.93,27.7,08-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
08-Nov-2020 - 00:00,1.56,15.45,9.48,10.55,0.74,47.55,109.11,65.94,22.09,28.54,74.25,2.08,0.05,96.06,75.93,760.32,0.0,0.92,7.6,0.66,0.19,24.15,09-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
09-Nov-2020 - 00:00,2.08,22.42,13.61,18.9,0.6,48.78,105.35,53.24,18.14,26.39,69.4,2.03,0.03,186.76,89.45,759.27,0.0,1.14,8.01,0.18,0.32,26.06,10-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
10-Nov-2020 - 00:00,2.12,21.06,12.92,27.95,0.56,53.67,111.69,58.68,16.58,26.78,67.76,1.9,0.02,185.2,100.2,757.51,0.0,1.41,11.59,0.31,0.45,27.46,11-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
11-Nov-2020 - 00:00,2.42,16.19,10.58,20.5,0.54,30.61,68.83,38.7,15.24,26.59,76.53,2.76,0.04,171.99,61.4,757.39,0.0,0.87,3.14,0.15,0.34,28.21,12-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
12-Nov-2020 - 00:00,2.06,9.43,6.68,12.95,0.43,24.56,19.63,6.22,12.42,27.62,81.44,3.92,0.1,76.0,45.04,758.9,0.0,0.42,2.8,0.18,0.27,26.71,13-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
13-Nov-2020 - 00:00,1.81,12.55,8.15,13.43,0.43,38.46,36.73,13.48,8.81,28.91,71.96,3.0,0.05,104.11,82.29,758.48,0.0,0.79,5.76,0.79,0.33,26.14,14-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
14-Nov-2020 - 00:00,1.49,12.51,7.88,12.45,0.47,61.15,76.36,40.67,10.17,28.72,68.15,2.82,0.06,117.87,91.56,757.64,0.0,0.93,9.4,0.14,0.31,24.38,15-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
15-Nov-2020 - 00:00,1.52,9.1,6.07,14.67,0.41,53.97,57.07,30.29,16.48,28.58,74.19,3.28,0.08,105.34,61.15,757.34,0.0,0.66,1.29,0.1,0.18,29.22,16-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
16-Nov-2020 - 00:00,1.96,14.61,9.36,12.57,0.53,50.78,74.41,42.3,15.85,28.25,78.68,2.9,0.08,74.82,49.82,758.01,0.0,1.15,4.01,0.55,0.45,28.95,17-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
17-Nov-2020 - 00:00,1.74,10.44,6.97,11.88,0.5,53.06,65.94,39.41,14.59,28.63,77.62,3.01,0.07,89.26,77.91,757.4,0.0,0.96,5.47,0.3,0.14,27.23,18-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
18-Nov-2020 - 00:00,2.03,10.27,7.11,8.5,0.52,37.56,56.84,33.45,12.12,29.09,79.0,2.6,0.05,87.85,80.65,757.58,0.0,0.83,4.01,0.11,0.17,25.02,19-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
19-Nov-2020 - 00:00,2.03,10.19,7.08,8.99,0.51,25.35,41.77,24.08,10.09,28.94,79.03,2.18,0.03,126.44,69.78,757.4,0.0,0.48,1.52,0.11,0.2,25.17,20-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
20-Nov-2020 - 00:00,2.77,13.32,9.34,11.2,0.46,21.36,31.0,15.45,8.69,28.46,78.31,1.59,0.0,178.1,87.67,757.86,0.0,0.7,5.34,0.2,0.22,25.16,21-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
21-Nov-2020 - 00:00,2.69,16.4,10.92,25.95,0.46,25.61,47.83,18.88,10.45,28.85,75.54,1.27,-0.01,200.25,81.45,757.78,0.0,0.63,3.42,0.22,0.38,25.49,22-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
22-Nov-2020 - 00:00,2.25,14.58,9.59,15.75,0.44,30.89,63.46,30.48,11.72,28.77,75.34,1.65,0.02,125.32,74.0,758.43,0.0,0.66,3.87,0.14,0.2,25.11,23-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
23-Nov-2020 - 00:00,2.55,16.79,11.0,13.57,0.6,36.68,78.0,48.56,15.3,28.09,78.26,1.92,0.05,82.25,54.81,758.91,0.0,1.23,7.08,0.87,0.79,26.87,24-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
24-Nov-2020 - 00:00,1.89,14.0,8.99,17.13,0.53,51.12,103.15,65.79,16.5,28.11,73.25,2.73,0.09,71.85,72.78,758.03,0.0,1.29,7.11,0.31,0.39,27.05,25-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
25-Nov-2020 - 00:00,1.95,12.82,8.39,13.92,0.62,52.81,81.14,47.7,13.82,26.79,71.32,3.87,0.13,62.71,57.8,757.34,0.01,1.02,4.33,0.19,0.36,27.16,26-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
26-Nov-2020 - 00:00,1.8,7.56,5.48,13.16,0.35,42.11,31.18,25.16,10.03,23.54,90.15,4.91,0.17,70.17,15.93,758.95,0.55,0.49,0.99,0.1,0.11,26.08,27-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
27-Nov-2020 - 00:00,2.19,6.47,5.22,9.61,0.26,30.14,6.37,5.28,8.38,23.59,90.03,6.26,0.24,57.71,24.68,758.03,0.04,0.23,0.5,0.1,0.12,26.37,28-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
28-Nov-2020 - 00:00,1.71,9.45,6.41,11.0,0.39,49.27,39.82,22.17,10.15,25.87,79.05,4.72,0.12,75.33,62.91,759.82,0.0,0.76,3.53,0.26,0.47,27.37,29-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
29-Nov-2020 - 00:00,1.8,13.39,8.59,12.45,0.45,52.85,50.97,25.78,9.52,27.83,65.76,3.04,0.07,92.69,80.93,760.1,0.0,0.89,6.55,0.25,0.67,27.41,30-Nov-2020 - 00:00,"Secretariat, Amaravati - APPCB"
30-Nov-2020 - 00:00,2.64,19.49,12.5,12.82,0.53,59.77,78.8,42.62,11.84,27.3,69.54,2.09,0.05,87.2,80.56,759.93,0.0,1.24,10.65,0.64,0.71,27.88,01-Dec-2020 - 00:00,"Secretariat, Amaravati - APPCB"
01-Dec-2020 - 00:00,1.1,23.1,13.2,12.35,0.55,29.95,90.0,56.0,12.7,23.5,84.0,0.2,0.0,124.5,12.0,760.5,0.0,1.95,54.55,1.5,1.4,27.85,02-Dec-2020 - 00:00,"Secretariat, Amaravati - APPCB"
