from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WS,WD,AT,RH,RF,SR,to date,station
28-Apr-2020 - 00:00,39.23,50.04,3.0,2.97,3.7,,10.02,0.49,65.54,10.83,1.26,0.83,0.44,13.22,1.08,104.01,26.77,61.43,,441.48,29-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
29-Apr-2020 - 00:00,62.26,90.02,3.0,2.98,3.72,,11.06,0.56,56.3,11.31,1.69,1.03,0.59,14.83,0.76,168.99,28.75,55.69,,442.06,30-Apr-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
30-Apr-2020 - 00:00,71.95,111.71,3.0,2.99,3.73,,11.32,0.66,52.94,10.75,1.84,1.04,0.61,14.17,0.69,133.46,30.06,51.1,,403.21,01-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
01-May-2020 - 00:00,73.35,119.11,3.0,2.91,3.62,,9.96,0.61,69.25,10.43,1.72,0.99,0.58,13.41,0.88,127.15,30.44,51.19,,427.55,02-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
02-May-2020 - 00:00,45.73,95.44,3.0,3.06,3.82,,7.03,0.46,92.41,7.95,0.9,0.6,0.32,9.62,2.07,101.3,29.56,53.72,,430.24,03-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
03-May-2020 - 00:00,47.72,71.76,2.99,2.9,3.62,,7.82,0.47,69.79,8.85,0.86,0.56,0.31,9.93,1.42,136.76,27.18,63.9,,222.7,04-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
04-May-2020 - 00:00,27.62,41.0,3.0,3.0,3.74,,9.86,0.46,51.08,10.59,1.22,0.71,0.41,11.91,0.66,121.56,26.67,61.34,,426.64,05-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
05-May-2020 - 00:00,61.43,86.62,3.0,3.0,3.73,,10.47,0.65,54.98,10.54,1.52,0.86,0.5,12.66,0.73,181.4,29.17,50.52,,437.35,06-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
06-May-2020 - 00:00,57.08,125.36,3.0,2.95,3.68,,12.13,0.62,60.76,13.4,1.47,0.88,0.51,14.52,0.76,168.27,28.78,40.39,,329.89,07-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
07-May-2020 - 00:00,46.4,73.49,3.01,3.01,3.75,,8.76,0.53,77.82,12.05,1.12,0.78,0.45,13.8,0.9,143.07,28.74,39.82,,450.78,08-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
08-May-2020 - 00:00,59.32,92.12,3.0,3.12,3.89,,10.26,0.66,73.95,7.26,8.65,4.4,11.53,4.76,0.75,186.7,30.62,44.54,,438.26,09-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
09-May-2020 - 00:00,72.5,109.12,3.01,3.08,3.84,,12.21,0.8,88.75,4.03,9.66,5.48,12.49,5.03,0.96,123.54,32.1,46.03,,398.66,10-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
10-May-2020 - 00:00,58.59,105.55,3.0,3.04,3.79,,10.1,0.62,79.06,2.53,7.7,1.17,9.63,3.93,1.34,118.8,27.22,54.87,,264.92,11-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
11-May-2020 - 00:00,47.63,81.14,3.0,2.88,3.6,,10.11,0.58,69.04,2.37,7.98,0.61,10.61,4.35,1.15,112.99,27.67,57.21,,353.95,12-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
12-May-2020 - 00:00,53.77,79.37,3.0,3.05,3.81,,8.25,0.63,73.69,2.04,8.12,2.74,11.12,5.37,0.81,122.36,29.86,49.71,,245.3,13-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
13-May-2020 - 00:00,70.84,132.0,3.0,2.9,3.61,,8.88,0.75,60.0,2.09,9.22,3.87,11.99,6.13,0.75,192.88,28.81,57.92,,245.3,14-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
14-May-2020 - 00:00,55.48,115.8,3.0,3.05,3.81,,10.79,0.68,59.44,4.68,7.01,4.26,10.57,16.03,0.86,149.65,29.46,51.91,,245.3,15-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
15-May-2020 - 00:00,48.0,75.49,3.0,2.93,3.69,,9.47,0.56,72.35,12.71,1.8,0.91,0.17,49.37,0.85,277.95,31.37,36.46,,245.3,16-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
16-May-2020 - 00:00,74.61,101.61,3.0,3.01,3.76,,9.68,0.73,77.94,12.97,1.96,0.97,0.18,48.56,0.77,265.46,34.33,20.8,,380.55,17-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
17-May-2020 - 00:00,74.22,118.08,2.99,2.95,3.68,,10.08,0.81,58.25,13.27,1.97,1.01,0.19,47.15,0.75,170.36,30.9,34.39,,365.16,18-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
18-May-2020 - 00:00,64.38,103.83,3.0,2.98,3.73,,8.33,0.77,60.01,12.41,1.9,0.96,0.18,41.43,0.76,202.22,30.87,31.29,,405.44,19-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
19-May-2020 - 00:00,75.05,118.83,2.76,0.54,0.66,,6.56,0.8,62.7,10.65,1.75,0.88,0.15,38.29,0.77,156.68,31.24,26.43,,389.38,20-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
20-May-2020 - 00:00,67.98,108.42,2.66,1.22,1.98,,7.63,0.75,79.72,11.84,1.61,0.82,0.15,37.89,0.79,246.73,31.49,23.55,,454.31,21-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
21-May-2020 - 00:00,59.66,114.71,3.0,9.94,10.67,,10.0,0.71,71.17,12.09,1.84,0.85,0.16,36.25,0.84,242.34,33.11,21.57,,430.0,22-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
22-May-2020 - 00:00,72.14,131.95,3.0,9.97,10.71,,10.25,0.88,70.54,12.53,2.47,1.05,0.19,39.02,0.74,191.88,33.55,25.83,,386.07,23-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
23-May-2020 - 00:00,68.87,149.1,3.0,10.03,10.78,,9.12,0.83,40.51,11.8,2.41,1.1,0.19,37.97,0.92,191.61,35.67,23.88,,370.76,24-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
24-May-2020 - 00:00,53.3,126.53,0.04,0.0,0.13,,7.65,0.6,45.45,10.99,2.4,1.11,0.19,35.82,0.81,241.28,36.77,20.11,,484.26,25-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
25-May-2020 - 00:00,61.74,125.96,2.7,1.88,3.44,,7.98,0.73,47.59,11.51,2.46,1.12,0.19,35.03,0.94,202.27,35.22,25.38,,436.3,26-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
26-May-2020 - 00:00,49.85,137.58,3.3,13.88,23.22,,5.21,0.67,33.66,10.81,2.34,1.08,0.18,32.34,1.04,182.72,35.69,24.47,,376.24,27-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
27-May-2020 - 00:00,53.61,130.34,2.77,1.25,1.34,,5.25,0.63,54.24,8.39,2.0,0.92,0.15,26.72,1.0,192.64,36.51,24.53,,438.27,28-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
28-May-2020 - 00:00,56.11,209.9,2.76,2.99,4.34,,2.89,0.48,87.46,7.78,1.09,0.62,0.1,23.88,2.13,108.13,32.58,45.2,,303.76,29-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
29-May-2020 - 00:00,32.8,54.46,2.85,4.74,4.34,,8.12,0.44,69.76,10.56,0.86,0.52,0.1,29.03,1.95,111.76,27.24,65.19,,214.71,30-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
30-May-2020 - 00:00,29.5,54.5,2.84,4.78,4.33,,4.43,0.5,59.47,12.59,1.2,0.6,0.12,31.61,1.5,139.11,27.09,68.43,,455.12,31-May-2020 - 00:00,"Teri Gram, Gurugram - HSPCB"
