from date,NO2,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,WS,WD,RH,to date,station
24-Jan-2020 - 00:00,41.7,8.83,9.52,0.75,24.92,41.33,88.85,0.39,22.1,1.15,90.43,54.04,25-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
25-Jan-2020 - 00:00,49.13,13.76,12.9,0.88,24.35,53.26,110.19,0.49,22.97,1.01,84.02,42.61,26-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
26-Jan-2020 - 00:00,42.97,14.22,13.49,0.82,38.98,45.51,92.15,0.39,23.36,0.97,89.8,44.36,27-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
27-Jan-2020 - 00:00,41.12,16.36,9.6,0.87,44.06,43.78,90.8,0.38,24.11,0.84,96.0,50.15,28-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
28-Jan-2020 - 00:00,26.93,15.66,13.89,0.78,62.98,49.2,95.41,0.36,25.39,0.73,84.0,58.3,29-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
29-Jan-2020 - 00:00,36.51,13.51,11.94,0.65,63.25,39.73,90.23,0.38,25.32,0.66,,53.91,30-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
30-Jan-2020 - 00:00,48.5,14.88,14.35,0.85,61.47,42.03,97.9,0.48,25.38,0.65,83.12,51.84,31-Jan-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
31-Jan-2020 - 00:00,35.97,14.8,23.9,0.63,58.61,48.58,105.62,0.36,23.18,0.93,,51.94,01-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
01-Feb-2020 - 00:00,31.67,14.04,27.56,0.73,41.2,49.65,102.8,0.31,23.7,1.27,91.0,60.75,02-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
02-Feb-2020 - 00:00,24.6,11.7,7.88,0.29,38.3,30.64,69.71,0.25,25.17,1.38,94.29,61.28,03-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
03-Feb-2020 - 00:00,35.58,10.72,10.0,0.58,30.23,28.21,72.41,0.3,25.1,1.44,94.39,53.91,04-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
04-Feb-2020 - 00:00,31.08,10.66,10.82,0.54,27.63,22.34,67.62,0.32,25.06,1.26,96.83,56.78,05-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
05-Feb-2020 - 00:00,21.93,11.52,10.52,2.75,28.05,26.4,70.93,0.32,24.94,1.11,94.6,60.58,06-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
06-Feb-2020 - 00:00,26.51,11.66,13.14,1.43,47.01,36.71,87.61,0.36,25.0,0.85,84.0,56.78,07-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
07-Feb-2020 - 00:00,24.13,12.82,19.85,0.95,40.04,48.2,97.83,0.33,24.69,0.95,88.5,61.71,08-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
08-Feb-2020 - 00:00,24.06,10.63,10.31,0.34,31.24,39.29,86.02,0.35,24.26,0.8,96.0,57.32,09-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
09-Feb-2020 - 00:00,21.4,8.74,33.7,0.29,28.54,35.01,76.22,0.27,24.68,1.23,85.83,61.03,10-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
10-Feb-2020 - 00:00,27.87,6.93,10.75,0.66,25.49,29.83,72.05,0.3,23.84,1.7,93.25,61.75,11-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
11-Feb-2020 - 00:00,33.8,6.44,9.14,0.95,28.86,28.66,71.26,0.31,22.28,1.76,96.03,59.96,12-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
12-Feb-2020 - 00:00,36.65,6.56,11.13,0.85,32.96,28.33,70.71,0.3,22.46,1.47,96.0,60.99,13-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
13-Feb-2020 - 00:00,38.95,6.55,6.69,0.69,35.43,31.0,77.21,0.28,22.29,1.26,88.74,55.7,14-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
14-Feb-2020 - 00:00,37.17,10.79,13.24,0.85,46.47,41.69,97.46,0.32,23.62,0.97,93.17,66.1,15-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
15-Feb-2020 - 00:00,,,15.6,,60.71,19.0,79.0,0.2,38.55,0.7,82.0,55.0,16-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
16-Feb-2020 - 00:00,63.04,8.01,19.45,1.65,55.72,34.6,92.22,0.36,25.04,1.29,96.5,98.0,17-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
17-Feb-2020 - 00:00,48.31,8.49,14.35,0.78,43.79,37.93,90.31,0.34,23.13,1.44,93.1,98.0,18-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
18-Feb-2020 - 00:00,60.21,13.55,9.64,0.97,44.22,38.62,94.55,0.37,23.83,1.28,92.59,98.0,19-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
19-Feb-2020 - 00:00,29.97,12.6,3.37,0.98,52.7,44.13,93.17,0.33,24.08,1.37,95.06,67.85,20-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
20-Feb-2020 - 00:00,5.38,3.11,3.36,0.72,38.35,42.92,98.96,0.32,22.11,1.47,95.78,50.9,21-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
21-Feb-2020 - 00:00,3.13,2.67,2.13,0.68,40.98,25.42,68.96,0.27,21.97,1.44,96.65,54.26,22-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
22-Feb-2020 - 00:00,2.7,3.26,1.9,0.8,32.39,31.42,83.18,0.27,22.43,1.57,93.33,59.02,23-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
23-Feb-2020 - 00:00,4.25,2.95,1.41,0.46,51.64,35.39,76.98,0.24,23.7,1.49,94.62,60.09,24-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
24-Feb-2020 - 00:00,4.04,2.69,0.76,0.76,45.03,30.39,89.07,0.31,23.55,1.34,92.0,60.23,25-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
25-Feb-2020 - 00:00,4.9,2.92,1.73,0.68,59.74,35.02,94.6,0.38,23.82,1.1,93.5,56.34,26-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
26-Feb-2020 - 00:00,3.54,2.96,0.75,0.51,35.97,28.08,81.91,0.32,23.93,1.27,97.0,57.28,27-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
27-Feb-2020 - 00:00,11.34,2.91,6.56,0.81,44.71,35.76,92.15,0.3,23.82,1.31,92.62,57.0,28-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
28-Feb-2020 - 00:00,10.56,2.93,8.56,0.63,47.4,36.9,88.93,0.29,23.79,1.48,94.0,59.04,29-Feb-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
29-Feb-2020 - 00:00,10.39,2.87,7.74,0.57,48.55,34.82,86.6,0.25,22.65,1.41,90.19,55.96,01-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
01-Mar-2020 - 00:00,8.55,2.91,9.98,0.43,48.71,32.33,78.88,0.22,21.12,1.33,95.0,58.22,02-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
02-Mar-2020 - 00:00,11.9,4.48,9.31,0.95,60.28,47.67,110.33,0.35,21.19,0.93,81.5,64.59,03-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
03-Mar-2020 - 00:00,13.82,4.57,9.63,0.88,72.25,59.08,126.94,0.44,21.42,0.8,88.5,57.43,04-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
04-Mar-2020 - 00:00,5.98,5.32,9.43,0.68,54.63,40.89,89.2,0.19,21.69,0.76,89.14,56.41,05-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
05-Mar-2020 - 00:00,9.65,4.71,5.96,0.74,55.73,49.88,107.0,0.3,21.4,0.99,,56.16,06-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
06-Mar-2020 - 00:00,5.73,3.27,7.23,0.62,61.8,28.54,70.34,0.22,22.26,0.91,,59.91,07-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
07-Mar-2020 - 00:00,9.36,3.61,8.46,0.81,39.77,37.46,87.17,0.29,24.07,0.84,90.25,63.29,08-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
08-Mar-2020 - 00:00,8.17,3.48,9.74,0.48,49.2,34.0,86.54,0.25,23.69,0.97,,63.06,09-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
09-Mar-2020 - 00:00,8.34,3.36,8.69,0.58,54.8,35.08,86.04,0.27,23.16,0.96,93.0,62.22,10-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
10-Mar-2020 - 00:00,8.81,3.09,10.21,0.74,60.9,39.04,96.75,0.26,22.43,1.07,,56.49,11-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
11-Mar-2020 - 00:00,9.4,2.84,9.28,0.76,56.57,36.12,85.88,0.29,23.34,0.97,,51.45,12-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
12-Mar-2020 - 00:00,9.51,2.8,9.04,1.17,60.58,26.96,78.62,0.29,22.48,0.97,84.83,50.33,13-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
13-Mar-2020 - 00:00,10.7,3.07,11.81,0.68,42.43,29.92,85.71,0.28,22.17,1.08,94.5,47.19,14-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
14-Mar-2020 - 00:00,9.63,3.09,9.82,0.81,42.6,22.82,73.28,0.28,23.59,1.18,93.36,49.43,15-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
15-Mar-2020 - 00:00,7.97,3.31,10.03,1.61,58.93,28.72,79.17,0.23,24.54,1.41,94.9,52.98,16-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
16-Mar-2020 - 00:00,7.29,2.64,7.33,0.77,36.97,19.56,63.32,0.22,23.05,1.42,95.7,55.24,17-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
17-Mar-2020 - 00:00,7.17,2.29,9.72,0.53,31.42,14.92,64.3,0.23,21.64,1.55,96.33,52.7,18-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
18-Mar-2020 - 00:00,8.5,2.38,10.48,0.6,37.13,19.67,63.45,0.26,22.95,1.31,97.5,45.2,19-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
19-Mar-2020 - 00:00,9.09,2.93,13.45,0.6,63.38,33.62,82.67,0.31,22.67,0.91,,45.75,20-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
20-Mar-2020 - 00:00,6.17,3.41,7.32,0.85,64.33,38.45,82.47,0.25,22.22,1.08,89.0,62.15,21-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
21-Mar-2020 - 00:00,7.13,2.74,7.42,0.8,84.26,32.34,75.24,0.29,22.85,0.84,89.6,52.18,22-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
22-Mar-2020 - 00:00,3.35,3.08,6.96,0.79,65.66,33.1,74.85,0.23,22.91,0.9,75.6,50.24,23-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
23-Mar-2020 - 00:00,5.85,3.76,6.47,0.84,57.03,37.74,81.92,0.24,22.93,1.01,89.12,60.54,24-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
24-Mar-2020 - 00:00,4.24,3.16,9.58,0.33,42.59,45.64,87.07,0.23,22.94,1.04,91.61,48.54,25-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
25-Mar-2020 - 00:00,1.97,2.44,7.31,0.6,37.33,17.81,47.85,0.14,22.98,1.1,94.0,51.35,26-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
26-Mar-2020 - 00:00,2.03,2.42,8.41,0.29,35.5,21.41,51.97,0.14,22.89,1.26,95.17,50.29,27-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
27-Mar-2020 - 00:00,2.03,2.28,7.91,0.71,34.22,20.91,47.82,0.14,22.94,1.28,91.9,48.39,28-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
28-Mar-2020 - 00:00,2.48,1.89,4.18,0.83,39.06,17.93,46.17,0.16,23.03,1.19,96.17,38.28,29-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
29-Mar-2020 - 00:00,2.74,2.14,9.52,0.87,38.06,23.21,47.17,0.22,23.11,0.98,90.92,35.52,30-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
30-Mar-2020 - 00:00,2.12,2.55,9.29,0.77,42.17,26.48,53.45,0.16,22.97,1.22,93.4,40.38,31-Mar-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
31-Mar-2020 - 00:00,2.25,2.27,5.32,0.63,46.03,22.14,49.06,0.14,22.96,1.26,94.77,40.57,01-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
01-Apr-2020 - 00:00,2.44,2.25,5.98,0.52,44.36,22.22,49.92,0.16,23.0,1.28,94.54,37.19,02-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
02-Apr-2020 - 00:00,2.17,2.71,8.67,0.69,50.72,33.33,64.74,0.14,22.88,1.12,95.12,42.35,03-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
03-Apr-2020 - 00:00,2.06,2.68,8.69,0.5,49.89,35.63,80.61,0.15,22.92,1.11,95.2,45.78,04-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
04-Apr-2020 - 00:00,1.98,2.59,9.04,0.43,47.06,36.01,68.24,0.14,22.85,1.04,91.5,49.54,05-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
05-Apr-2020 - 00:00,1.85,2.57,8.29,0.8,40.71,32.34,104.51,0.13,22.85,0.98,95.0,55.15,06-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
06-Apr-2020 - 00:00,1.95,2.32,3.82,0.7,36.53,20.88,80.31,0.15,22.97,0.61,70.5,67.85,07-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
07-Apr-2020 - 00:00,2.98,3.09,6.81,0.68,45.46,12.0,10.17,0.12,22.63,1.02,91.5,62.52,08-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
08-Apr-2020 - 00:00,3.08,2.81,7.34,0.65,47.67,33.47,34.5,0.12,22.65,0.72,88.96,60.95,09-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
09-Apr-2020 - 00:00,2.37,2.99,6.69,0.85,55.68,37.84,,0.13,22.69,1.08,91.83,64.74,10-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
10-Apr-2020 - 00:00,1.99,2.69,6.4,0.77,38.34,20.81,,0.09,23.05,0.77,80.0,75.02,11-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
11-Apr-2020 - 00:00,,,,,,,,,,,,,12-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
12-Apr-2020 - 00:00,,,,,,,,,,,,,13-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
13-Apr-2020 - 00:00,3.77,2.61,10.36,0.51,60.45,27.96,56.67,0.15,22.41,1.41,94.59,28.4,14-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
14-Apr-2020 - 00:00,3.87,3.09,10.06,0.54,37.76,34.95,66.65,0.18,22.79,1.1,92.39,36.02,15-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
15-Apr-2020 - 00:00,3.19,3.29,13.18,0.45,,38.82,65.66,0.16,22.67,0.9,92.61,42.47,16-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
16-Apr-2020 - 00:00,2.95,2.77,11.58,0.5,48.3,28.24,55.62,0.14,22.53,0.94,94.73,45.04,17-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
17-Apr-2020 - 00:00,2.58,2.87,8.87,0.52,42.14,31.89,68.96,0.16,22.69,0.99,94.69,51.45,18-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
18-Apr-2020 - 00:00,2.64,2.74,10.45,0.44,,27.89,63.19,0.16,22.6,0.93,93.33,52.45,19-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
19-Apr-2020 - 00:00,2.05,2.56,9.38,0.5,,22.49,52.56,0.13,23.38,1.09,91.94,51.58,20-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
20-Apr-2020 - 00:00,2.52,2.12,12.59,0.62,,15.24,38.09,0.1,22.72,1.18,95.67,50.76,21-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
21-Apr-2020 - 00:00,3.04,1.85,11.25,0.69,,13.11,37.86,0.16,22.7,0.91,90.56,49.05,22-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
22-Apr-2020 - 00:00,2.01,2.21,11.72,0.72,,17.81,42.85,0.12,22.79,0.91,,53.41,23-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
23-Apr-2020 - 00:00,1.84,2.16,8.45,0.51,,15.97,39.51,0.12,22.77,0.89,92.5,56.3,24-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
24-Apr-2020 - 00:00,2.47,2.43,8.02,0.32,44.66,16.63,35.69,0.15,22.37,0.68,75.0,68.81,25-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
25-Apr-2020 - 00:00,2.68,2.98,6.07,0.56,36.36,16.35,45.99,0.13,22.32,0.83,86.0,70.76,26-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
26-Apr-2020 - 00:00,2.57,2.82,5.81,0.63,36.16,14.43,36.56,0.14,22.4,0.79,83.81,64.1,27-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
27-Apr-2020 - 00:00,2.43,2.68,8.56,0.65,,15.69,42.26,0.15,22.47,0.67,,64.0,28-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
28-Apr-2020 - 00:00,2.71,2.75,8.05,0.61,,19.17,50.61,0.14,22.49,0.83,95.5,61.3,29-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
29-Apr-2020 - 00:00,2.29,2.66,5.49,0.67,,9.94,24.22,0.09,22.39,0.65,84.86,77.24,30-Apr-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
30-Apr-2020 - 00:00,3.82,2.61,6.21,0.79,,18.4,47.14,0.17,22.49,0.61,83.0,62.08,01-May-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
01-May-2020 - 00:00,2.09,3.07,7.98,0.22,55.22,22.22,57.32,0.12,22.33,0.7,84.5,59.97,02-May-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
02-May-2020 - 00:00,2.27,2.75,5.01,0.83,47.34,18.32,44.12,0.13,22.16,0.69,89.62,60.83,03-May-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
03-May-2020 - 00:00,2.33,2.97,5.5,0.65,,22.86,51.06,0.14,23.76,0.62,87.38,61.83,04-May-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
04-May-2020 - 00:00,3.11,2.57,10.14,0.44,,27.12,72.73,0.18,22.32,0.65,86.6,54.28,05-May-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
05-May-2020 - 00:00,3.72,3.1,11.51,0.69,,34.52,90.88,0.22,22.39,0.64,89.33,51.07,06-May-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
06-May-2020 - 00:00,2.95,2.92,9.08,0.68,,21.95,61.05,0.13,22.44,0.7,90.0,66.02,07-May-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
07-May-2020 - 00:00,3.39,4.33,9.49,0.56,,27.17,73.02,0.09,22.3,0.58,81.67,69.65,08-May-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
08-May-2020 - 00:00,2.59,3.23,10.21,0.43,,15.49,45.73,0.11,22.43,0.59,82.0,65.02,09-May-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
09-May-2020 - 00:00,4.33,2.8,9.51,0.58,42.39,22.79,64.92,0.15,22.6,0.93,88.12,55.5,10-May-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
10-May-2020 - 00:00,3.47,2.33,11.22,0.51,33.48,21.93,58.17,0.14,22.54,1.0,95.17,51.01,11-May-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
11-May-2020 - 00:00,3.9,2.09,10.46,0.71,38.82,16.52,54.93,0.15,22.61,1.0,91.62,52.26,12-May-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
12-May-2020 - 00:00,3.73,2.03,9.68,0.19,30.29,12.18,45.53,0.13,22.56,1.03,89.75,56.57,13-May-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
13-May-2020 - 00:00,3.41,2.18,10.06,0.23,14.65,12.47,41.85,0.15,22.54,0.79,99.0,58.03,14-May-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
14-May-2020 - 00:00,4.11,2.2,10.4,0.47,,22.5,56.28,0.15,22.64,0.88,91.43,56.1,15-May-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
15-May-2020 - 00:00,9.69,3.08,10.58,0.51,29.83,11.72,41.04,0.12,22.55,0.83,85.04,54.34,16-May-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
16-May-2020 - 00:00,12.81,6.11,11.09,0.61,36.22,17.43,50.62,0.12,23.19,0.79,81.04,57.51,17-May-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
17-May-2020 - 00:00,10.14,6.4,10.19,0.3,34.15,16.96,46.39,0.11,22.94,0.89,87.25,61.26,18-May-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
18-May-2020 - 00:00,10.5,5.99,8.89,0.41,31.56,12.39,40.39,0.11,22.4,1.22,,80.61,19-May-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
19-May-2020 - 00:00,10.08,5.77,8.27,0.56,32.22,16.66,84.95,0.09,22.93,1.66,,67.5,20-May-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
20-May-2020 - 00:00,10.47,5.04,8.77,0.57,17.97,11.47,61.36,0.08,22.75,1.36,,62.44,21-May-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
21-May-2020 - 00:00,12.25,5.04,8.64,0.67,34.79,12.63,58.59,0.14,22.84,1.07,,63.03,22-May-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
22-May-2020 - 00:00,10.64,4.88,7.8,0.88,36.71,11.3,47.03,0.11,22.42,1.17,,61.64,23-May-2020 - 00:00,"Hebbal, Bengaluru - KSPCB"
