from date,PM10,SO2,NOx,CO,WD,Temp,RH,SR,to date,station
12-Apr-2020 - 00:00,,,,,,,,,13-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
13-Apr-2020 - 00:00,,,,,,,,,14-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
14-Apr-2020 - 00:00,,,,,,,,,15-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
15-Apr-2020 - 00:00,,,,,,,,,16-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
16-Apr-2020 - 00:00,,,,,,,,,17-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
17-Apr-2020 - 00:00,,,,,,,,,18-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
18-Apr-2020 - 00:00,,,,,,,,,19-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
19-Apr-2020 - 00:00,,,,,,,,,20-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
20-Apr-2020 - 00:00,,,,,,,,,21-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
21-Apr-2020 - 00:00,,,,,,,,,22-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
22-Apr-2020 - 00:00,,,,,,,,,23-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
23-Apr-2020 - 00:00,,,,,,,,,24-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
24-Apr-2020 - 00:00,,,,,,,,,25-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
25-Apr-2020 - 00:00,,,,,,,,,26-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
26-Apr-2020 - 00:00,,,,,,,,,27-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
27-Apr-2020 - 00:00,,,,,,,,,28-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
28-Apr-2020 - 00:00,,,,,,,,,29-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
29-Apr-2020 - 00:00,,,,,,,,,30-Apr-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
30-Apr-2020 - 00:00,,,,,,,,,01-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
01-May-2020 - 00:00,,,,,,,,,02-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
02-May-2020 - 00:00,,,,,,,,,03-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
03-May-2020 - 00:00,,,,,,,,,04-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
04-May-2020 - 00:00,,,,,,,,,05-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
05-May-2020 - 00:00,,,,,,,,,06-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
06-May-2020 - 00:00,,,,,,,,,07-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
07-May-2020 - 00:00,,,,,,,,,08-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
08-May-2020 - 00:00,,,,,,,,,09-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
09-May-2020 - 00:00,,,,,,,,,10-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
10-May-2020 - 00:00,,,,,,,,,11-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
11-May-2020 - 00:00,,,,,,,,,12-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
12-May-2020 - 00:00,,,,,,,,,13-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
13-May-2020 - 00:00,,,,,,,,,14-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
14-May-2020 - 00:00,,,,,,,,,15-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
15-May-2020 - 00:00,,,,,,,,,16-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
16-May-2020 - 00:00,,,,,,,,,17-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
17-May-2020 - 00:00,,,,,,,,,18-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
18-May-2020 - 00:00,,,,,,,,,19-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
19-May-2020 - 00:00,,,,,,,,,20-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
20-May-2020 - 00:00,,,,,,,,,21-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
21-May-2020 - 00:00,,,,,,,,,22-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
22-May-2020 - 00:00,,,,,,,,,23-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
23-May-2020 - 00:00,,,,,,,,,24-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
24-May-2020 - 00:00,,,,,,,,,25-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
25-May-2020 - 00:00,,,,,,,,,26-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
26-May-2020 - 00:00,,,,,,,,,27-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
27-May-2020 - 00:00,,,,,,,,,28-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
28-May-2020 - 00:00,,,,,,,,,29-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
29-May-2020 - 00:00,,,,,,,,,30-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
30-May-2020 - 00:00,,,,,,,,,31-May-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
31-May-2020 - 00:00,,,,,,,,,01-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
01-Jun-2020 - 00:00,,,,,,,,,02-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
02-Jun-2020 - 00:00,,,,,,,,,03-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
03-Jun-2020 - 00:00,,,,,,,,,04-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
04-Jun-2020 - 00:00,,,,,,,,,05-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
05-Jun-2020 - 00:00,,,,,,,,,06-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
06-Jun-2020 - 00:00,,,,,,,,,07-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
07-Jun-2020 - 00:00,,,,,,,,,08-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
08-Jun-2020 - 00:00,,,,,,,,,09-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
09-Jun-2020 - 00:00,,,,,,,,,10-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
10-Jun-2020 - 00:00,,,,,,,,,11-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
11-Jun-2020 - 00:00,,,,,,,,,12-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
12-Jun-2020 - 00:00,,,,,,,,,13-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
13-Jun-2020 - 00:00,,,,,,,,,14-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
14-Jun-2020 - 00:00,,,,,,,,,15-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
15-Jun-2020 - 00:00,,,,,,,,,16-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
16-Jun-2020 - 00:00,,,,,,,,,17-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
17-Jun-2020 - 00:00,,,,,,,,,18-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
18-Jun-2020 - 00:00,,,,,,,,,19-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
19-Jun-2020 - 00:00,,,,,,,,,20-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
20-Jun-2020 - 00:00,,,,,,,,,21-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
21-Jun-2020 - 00:00,,,,,,,,,22-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
22-Jun-2020 - 00:00,,,,,,,,,23-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
23-Jun-2020 - 00:00,,,,,,,,,24-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
24-Jun-2020 - 00:00,,,,,,,,,25-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
25-Jun-2020 - 00:00,,,,,,,,,26-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
26-Jun-2020 - 00:00,,,,,,,,,27-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
27-Jun-2020 - 00:00,,,,,,,,,28-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
28-Jun-2020 - 00:00,,,,,,,,,29-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
29-Jun-2020 - 00:00,,,,,,,,,30-Jun-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
30-Jun-2020 - 00:00,,,,,,,,,01-Jul-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
01-Jul-2020 - 00:00,,,,,,,,,02-Jul-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
02-Jul-2020 - 00:00,,,,,,,,,03-Jul-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
03-Jul-2020 - 00:00,,,,,,,,,04-Jul-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
04-Jul-2020 - 00:00,,,,,,,,,05-Jul-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
05-Jul-2020 - 00:00,,,,,,,,,06-Jul-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
06-Jul-2020 - 00:00,,,,,,,,,07-Jul-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
07-Jul-2020 - 00:00,,,,,,,,,08-Jul-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
08-Jul-2020 - 00:00,,,,,,,,,09-Jul-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
09-Jul-2020 - 00:00,,,,,,,,,10-Jul-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
10-Jul-2020 - 00:00,,,,,,,,,11-Jul-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
11-Jul-2020 - 00:00,,,,,,,,,12-Jul-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
12-Jul-2020 - 00:00,,,,,,,,,13-Jul-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
13-Jul-2020 - 00:00,,,,,,,,,14-Jul-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
14-Jul-2020 - 00:00,,,,,,,,,15-Jul-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
15-Jul-2020 - 00:00,,,,,,,,,16-Jul-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
16-Jul-2020 - 00:00,,,,,,,,,17-Jul-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
17-Jul-2020 - 00:00,,,,,,,,,18-Jul-2020 - 00:00,"Airoli, Navi Mumbai - MPCB"
