from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
23-Feb-2020 - 00:00,177.21,90.67,137.74,46.8,177.8,1.21,,18.94,24-Feb-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
24-Feb-2020 - 00:00,152.79,59.16,126.06,46.3,172.31,0.84,,16.11,25-Feb-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
25-Feb-2020 - 00:00,250.5,110.43,132.43,50.18,182.63,0.46,,13.72,26-Feb-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
26-Feb-2020 - 00:00,231.79,117.15,101.73,40.14,141.43,0.36,,15.15,27-Feb-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
27-Feb-2020 - 00:00,152.56,84.51,18.52,11.99,30.52,0.23,18.08,15.39,28-Feb-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
28-Feb-2020 - 00:00,124.05,71.07,11.43,7.67,19.11,0.22,,17.25,29-Feb-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
29-Feb-2020 - 00:00,90.71,50.43,14.15,8.68,22.84,0.2,,16.08,01-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
01-Mar-2020 - 00:00,85.2,37.85,48.72,17.15,65.59,0.41,,17.34,02-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
02-Mar-2020 - 00:00,227.21,99.47,199.65,49.2,243.41,1.89,,18.06,03-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
03-Mar-2020 - 00:00,216.85,85.02,171.52,49.07,218.27,1.39,,15.08,04-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
04-Mar-2020 - 00:00,224.52,105.51,123.49,41.65,134.17,1.19,,18.8,05-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
05-Mar-2020 - 00:00,68.38,35.12,22.41,14.08,36.49,0.2,,17.3,06-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
06-Mar-2020 - 00:00,35.73,24.19,25.26,13.77,39.04,0.19,,15.97,07-Mar-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
