from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,WS,WD,RH,BP,RF,SR,to date,station
11-Feb-2020 - 00:00,109.28,4.12,59.83,48.86,9.69,2.34,65.44,200.46,377.88,0.62,5.25,14.78,1.21,58.35,56.05,742.23,0.0,70.59,12-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
12-Feb-2020 - 00:00,82.23,2.58,45.5,51.91,16.06,1.22,,163.62,274.54,0.43,3.07,17.58,2.67,53.95,53.75,742.05,0.0,66.91,13-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
13-Feb-2020 - 00:00,52.19,2.19,29.54,37.81,18.37,0.98,7.56,74.08,167.62,0.22,1.24,21.38,4.54,43.49,46.83,742.0,0.0,73.26,14-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
14-Feb-2020 - 00:00,41.6,2.18,23.9,31.53,13.94,0.83,33.61,58.42,175.38,0.2,1.04,20.25,4.89,46.05,46.08,741.85,0.0,75.42,15-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
15-Feb-2020 - 00:00,61.89,2.87,34.85,28.76,15.33,1.05,41.92,65.83,168.38,0.27,1.28,19.07,3.06,41.86,43.48,741.75,0.0,76.9,16-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
16-Feb-2020 - 00:00,84.04,3.34,47.23,37.36,18.36,1.32,37.11,120.5,238.62,0.36,2.53,18.79,1.84,48.61,48.08,742.0,0.0,75.01,17-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
17-Feb-2020 - 00:00,90.84,3.0,50.35,42.33,16.41,1.73,34.53,145.33,263.17,0.46,3.09,18.82,1.99,67.11,49.81,742.03,0.0,74.71,18-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
18-Feb-2020 - 00:00,81.49,2.9,45.13,35.19,19.08,1.24,40.91,101.25,211.21,0.28,1.79,19.64,2.09,46.1,42.86,742.0,0.0,76.54,19-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
19-Feb-2020 - 00:00,62.5,2.59,34.81,45.2,17.44,1.39,43.63,137.58,240.12,0.39,3.11,18.85,3.19,130.72,50.25,741.79,0.0,66.61,20-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
20-Feb-2020 - 00:00,32.46,2.36,19.14,45.96,17.09,1.19,66.72,104.79,206.5,0.29,1.12,21.94,5.56,138.28,48.94,742.0,0.0,68.94,21-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
21-Feb-2020 - 00:00,29.59,1.91,17.29,37.97,14.44,0.79,43.34,50.62,80.12,0.16,0.6,17.33,3.69,106.61,62.77,742.0,0.0,33.41,22-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
22-Feb-2020 - 00:00,50.74,3.4,28.63,31.05,16.29,1.22,27.76,50.58,106.79,0.23,1.74,19.26,1.62,92.67,59.62,742.29,0.0,63.88,23-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
23-Feb-2020 - 00:00,56.46,2.4,31.74,39.56,21.84,2.06,39.43,100.46,179.0,0.29,4.65,21.28,1.42,53.24,56.35,742.17,0.0,65.57,24-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
24-Feb-2020 - 00:00,57.95,2.54,32.68,34.69,22.11,1.38,39.08,62.96,137.21,0.22,2.41,20.71,2.19,43.6,54.02,742.0,0.0,77.92,25-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
25-Feb-2020 - 00:00,79.05,2.81,43.98,42.09,22.06,1.56,34.96,127.25,226.12,0.37,3.39,20.65,1.6,56.38,57.58,741.9,0.0,66.03,26-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
26-Feb-2020 - 00:00,58.92,2.51,33.02,42.53,18.32,1.38,41.43,135.12,225.88,0.37,3.58,21.38,1.86,104.45,57.53,742.0,0.0,69.78,27-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
27-Feb-2020 - 00:00,44.82,2.3,25.51,41.95,12.68,1.12,36.4,93.54,158.08,0.31,1.43,21.08,2.45,128.6,60.68,742.0,0.0,65.67,28-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
28-Feb-2020 - 00:00,32.5,2.19,19.03,38.5,12.86,0.97,46.1,87.08,144.21,0.27,1.09,21.6,4.73,147.68,59.1,742.0,0.0,64.58,29-Feb-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
29-Feb-2020 - 00:00,29.32,2.24,17.42,33.6,11.72,0.68,45.38,60.17,103.75,0.21,0.89,20.83,4.36,131.52,60.53,741.8,0.32,64.42,01-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
01-Mar-2020 - 00:00,36.86,3.28,21.76,29.19,11.25,1.0,40.72,34.23,83.82,0.2,1.25,20.85,1.59,121.8,61.19,741.97,0.0,84.24,02-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
02-Mar-2020 - 00:00,67.6,2.82,37.7,42.02,17.87,1.53,37.89,82.67,156.21,0.32,3.28,22.42,0.78,61.61,62.4,741.94,0.0,81.05,03-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
03-Mar-2020 - 00:00,73.58,3.87,40.79,42.87,17.94,1.48,35.65,91.88,209.0,0.37,5.04,22.87,0.98,49.93,54.33,741.47,0.0,84.72,04-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
04-Mar-2020 - 00:00,49.03,2.29,27.74,40.04,18.69,1.12,38.74,87.46,190.54,0.34,3.52,21.69,2.09,96.6,54.8,741.45,0.0,76.54,05-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
05-Mar-2020 - 00:00,33.18,2.61,19.55,28.88,11.0,0.75,36.52,30.31,56.83,0.17,1.04,19.3,3.1,107.14,60.03,741.55,0.03,108.12,06-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
06-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,07-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
07-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,08-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
08-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,09-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
