from date,PM2.5,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,Temp,RH,BP,SR,WD,VWS,WS,RF,AT,to date,station
18-Feb-2020 - 00:00,40.36,69.63,8.14,15.63,45.75,37.04,12.47,0.64,32.61,0.04,0.03,0.0,28.77,62.98,,93.25,141.63,-0.08,0.85,0.0,19.86,19-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
19-Feb-2020 - 00:00,44.94,77.93,6.92,22.61,45.97,42.84,13.08,0.58,45.11,0.04,0.04,0.0,28.48,71.15,,67.56,158.51,-0.05,1.01,0.0,19.59,20-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
20-Feb-2020 - 00:00,32.59,51.75,5.28,20.07,34.35,34.59,11.13,0.51,31.7,0.0,0.07,0.0,28.51,74.41,,80.42,196.91,-0.09,1.3,0.0,18.94,21-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
21-Feb-2020 - 00:00,20.97,39.48,5.94,17.07,29.32,29.46,9.99,0.5,27.33,0.0,0.03,0.2,28.56,74.22,,76.21,148.41,-0.06,1.08,0.0,19.52,22-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
22-Feb-2020 - 00:00,25.49,47.76,4.34,19.92,30.23,32.28,10.72,0.74,18.7,0.0,0.04,0.0,28.49,79.51,,56.36,201.59,-0.08,1.38,0.0,19.79,23-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
23-Feb-2020 - 00:00,30.96,48.07,4.49,16.38,37.76,33.39,10.45,0.67,26.67,0.0,0.04,0.0,28.66,80.65,,23.7,184.03,-0.08,1.17,0.0,19.7,24-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
24-Feb-2020 - 00:00,39.61,60.92,6.0,8.24,33.02,24.25,10.68,0.51,47.93,0.01,0.08,0.0,28.55,74.95,,32.77,160.68,-0.06,0.69,0.0,20.02,25-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
25-Feb-2020 - 00:00,29.21,60.02,5.59,9.38,23.3,20.02,10.12,0.67,32.73,0.0,0.0,0.0,28.51,76.55,,62.22,131.36,-0.02,0.79,0.0,20.91,26-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
26-Feb-2020 - 00:00,31.55,55.56,6.05,11.97,28.8,25.04,11.86,0.76,36.77,0.7,2.5,0.3,28.2,77.07,,45.06,164.38,-0.06,0.89,0.0,20.67,27-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
27-Feb-2020 - 00:00,49.62,78.0,7.25,12.16,33.01,27.45,12.63,0.51,26.04,0.91,2.53,0.22,28.44,77.77,,58.99,158.99,-0.07,1.08,0.0,20.45,28-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
28-Feb-2020 - 00:00,37.95,59.51,5.67,10.75,25.63,22.37,11.47,0.52,38.15,0.73,1.94,0.18,28.37,78.32,,45.98,164.03,-0.08,1.2,0.0,20.21,29-Feb-2020 - 00:00,"Tirumala, Tirupati - APPCB"
29-Feb-2020 - 00:00,29.61,53.92,4.97,9.55,26.44,21.83,10.73,0.58,39.61,0.61,1.76,0.15,28.35,75.71,,66.79,207.49,-0.07,1.18,0.0,20.53,01-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
01-Mar-2020 - 00:00,37.11,59.04,6.14,12.08,34.86,28.36,10.54,0.58,40.01,0.66,1.65,0.15,28.45,72.79,,66.88,168.79,-0.05,1.0,0.0,20.68,02-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
02-Mar-2020 - 00:00,41.96,73.86,5.29,10.91,33.85,26.87,11.13,0.67,31.73,0.66,1.91,0.18,28.69,69.92,,60.16,171.62,-0.02,0.81,0.0,20.86,03-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
03-Mar-2020 - 00:00,50.14,83.24,8.11,11.31,49.09,35.31,11.62,0.6,54.57,0.92,2.54,0.69,28.87,64.84,,54.8,120.46,-0.02,0.67,0.0,21.61,04-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
04-Mar-2020 - 00:00,45.2,87.61,13.83,6.17,33.4,22.78,12.67,0.42,45.77,0.99,2.23,0.2,29.17,68.16,,27.27,187.64,-0.02,0.79,0.0,21.84,05-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
05-Mar-2020 - 00:00,30.79,72.6,5.27,5.23,22.13,16.02,12.17,0.17,34.29,3.98,1.64,0.69,29.31,68.09,,60.01,166.34,0.01,0.88,0.0,22.02,06-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
06-Mar-2020 - 00:00,31.46,64.76,10.35,6.22,18.04,14.66,13.11,0.32,27.49,0.49,1.35,0.11,29.11,77.91,,22.04,123.06,-0.0,0.79,0.0,21.28,07-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
07-Mar-2020 - 00:00,33.63,62.7,7.12,9.37,26.75,21.84,13.12,0.6,27.74,0.56,1.83,0.15,29.79,73.2,,51.63,118.83,-0.04,1.06,0.0,22.74,08-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
08-Mar-2020 - 00:00,23.07,47.78,3.78,10.53,24.9,21.8,9.37,0.61,19.23,0.5,1.08,0.11,28.35,80.83,,46.05,130.2,0.01,0.87,0.0,20.95,09-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
09-Mar-2020 - 00:00,24.24,46.74,4.81,7.91,20.64,17.42,10.11,0.58,34.5,0.62,1.92,0.13,29.3,63.36,,139.0,137.14,-0.04,1.1,0.0,23.51,10-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
10-Mar-2020 - 00:00,19.11,34.33,4.98,7.52,21.12,17.34,8.81,0.59,48.24,0.48,2.05,0.14,28.22,69.5,,101.97,126.18,-0.02,0.97,0.0,22.68,11-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
11-Mar-2020 - 00:00,19.01,42.56,4.64,6.49,20.53,14.18,9.12,0.41,35.02,0.42,1.31,0.1,28.12,71.03,,73.49,125.93,0.01,0.84,0.0,21.78,12-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
12-Mar-2020 - 00:00,20.34,40.54,5.2,8.35,25.28,17.4,9.92,0.51,23.51,0.46,1.53,1.28,28.75,74.84,,35.62,150.47,-0.02,0.9,0.0,21.22,13-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
13-Mar-2020 - 00:00,23.35,58.8,6.24,27.22,36.1,41.34,9.51,0.55,28.39,0.6,2.41,0.18,28.84,59.82,,79.73,122.6,-0.04,0.83,0.0,22.13,14-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
14-Mar-2020 - 00:00,31.3,63.44,7.71,22.14,29.42,33.65,10.43,0.64,31.18,0.58,2.96,0.22,29.78,65.98,,78.35,169.65,-0.05,0.99,0.0,21.66,15-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
15-Mar-2020 - 00:00,29.98,52.21,7.03,19.42,25.43,29.31,10.11,0.56,27.53,1.75,1.76,1.55,29.82,74.81,,78.52,178.73,-0.08,1.36,0.0,21.02,16-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
16-Mar-2020 - 00:00,31.9,49.72,6.79,14.81,20.87,23.15,9.16,0.58,21.94,0.44,1.62,1.29,29.53,77.56,,25.85,145.41,-0.07,0.98,0.0,21.24,17-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
17-Mar-2020 - 00:00,22.09,43.86,5.78,21.16,20.55,28.13,7.76,0.53,25.75,0.51,1.78,0.15,29.29,64.82,,80.04,116.45,-0.06,0.91,0.0,21.95,18-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
18-Mar-2020 - 00:00,23.14,53.15,4.28,7.04,23.82,18.39,7.89,0.54,35.72,0.51,1.96,0.16,29.83,61.05,,80.61,171.01,-0.01,0.85,0.0,22.86,19-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
19-Mar-2020 - 00:00,20.57,49.06,4.99,4.57,15.55,11.81,8.26,0.57,40.23,0.54,1.72,0.14,29.51,59.59,,80.94,177.91,-0.0,0.91,0.0,23.12,20-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
20-Mar-2020 - 00:00,23.19,49.86,9.69,2.79,4.89,3.75,9.38,0.49,55.76,0.4,1.05,0.09,28.88,59.18,,69.68,153.59,-0.0,0.91,0.0,23.2,21-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
21-Mar-2020 - 00:00,17.65,41.66,8.9,2.43,8.75,3.7,8.15,0.29,40.99,0.26,0.82,0.07,29.71,64.35,,65.56,165.06,-0.01,1.0,0.01,22.73,22-Mar-2020 - 00:00,"Tirumala, Tirupati - APPCB"
