from date,Benzene,Eth-Benzene,O Xylene,Toluene,BP,PM10,PM2.5,RH,SR,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
25-Apr-2020 - 00:00,0.19,,0.8,,748.13,132.0,36.07,38.01,284.92,,261.05,2.43,0.51,18.59,7.13,7.66,14.62,56.86,6.51,26-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
26-Apr-2020 - 00:00,0.18,,0.89,,747.99,57.35,21.79,38.24,260.65,,229.83,1.98,0.36,22.36,7.24,4.1,11.32,47.72,5.93,27-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
27-Apr-2020 - 00:00,0.18,,0.89,,748.13,30.72,17.3,37.01,294.69,,245.77,2.49,0.23,25.5,7.29,3.51,10.74,66.66,4.86,28-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
28-Apr-2020 - 00:00,0.18,,0.88,,747.95,41.21,16.17,26.41,255.54,,277.04,2.25,0.2,26.52,7.44,4.27,11.42,57.49,5.56,29-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
29-Apr-2020 - 00:00,0.18,,0.89,,748.24,53.7,29.52,18.23,324.27,,282.82,2.39,0.39,19.42,7.29,7.13,14.38,55.36,4.2,30-Apr-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
30-Apr-2020 - 00:00,0.27,,0.88,,747.9,60.21,34.73,19.87,249.22,,238.59,2.01,0.5,18.27,7.18,8.5,15.67,63.71,6.45,01-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
01-May-2020 - 00:00,0.29,,0.89,,748.13,51.75,28.55,18.87,289.67,,280.4,2.75,0.29,14.81,7.05,7.21,14.26,62.48,6.18,02-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
02-May-2020 - 00:00,0.29,,0.88,,748.13,45.61,26.53,19.48,292.15,,268.26,2.38,0.28,15.25,7.37,8.16,13.39,38.31,5.97,03-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
03-May-2020 - 00:00,0.29,,0.89,,748.18,76.93,43.45,26.0,301.32,,282.2,2.71,0.34,8.71,7.18,4.91,11.54,43.59,6.38,04-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
04-May-2020 - 00:00,1.3,,1.91,,748.0,72.67,39.79,35.76,272.96,,226.15,2.21,0.51,22.26,8.48,13.32,20.83,60.77,8.56,05-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
05-May-2020 - 00:00,1.29,,2.01,,747.97,57.7,32.16,34.83,258.16,,271.9,2.17,0.74,21.65,7.45,13.14,19.74,52.03,7.75,06-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
06-May-2020 - 00:00,1.09,,1.83,,747.96,88.73,38.67,27.47,256.99,,224.59,2.04,0.6,18.52,6.37,11.82,18.18,43.66,15.16,07-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
07-May-2020 - 00:00,1.23,,1.9,,748.17,60.09,38.21,24.29,299.7,,205.02,2.44,0.59,19.05,9.37,11.19,19.33,54.64,10.12,08-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
08-May-2020 - 00:00,1.08,,1.72,,748.27,58.59,33.34,17.84,317.03,,248.73,2.3,0.64,17.96,10.71,9.34,20.05,48.98,10.66,09-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
09-May-2020 - 00:00,1.02,,1.77,,747.93,48.74,22.2,17.51,250.56,,259.66,2.35,0.52,22.34,10.34,5.72,15.99,51.66,9.17,10-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
10-May-2020 - 00:00,0.99,,1.73,,748.2,50.37,27.03,22.32,299.16,,212.6,2.15,0.61,18.3,10.47,7.77,18.23,53.29,11.65,11-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
11-May-2020 - 00:00,1.0,,1.76,,748.16,72.16,37.68,30.05,297.32,,216.27,2.34,0.4,20.36,9.87,8.68,18.55,66.65,11.75,12-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
12-May-2020 - 00:00,0.99,,1.76,,748.21,48.26,28.55,29.74,302.78,,224.75,1.86,0.42,21.22,8.38,8.84,17.22,72.04,11.42,13-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
13-May-2020 - 00:00,0.99,,1.75,,747.93,65.78,34.66,33.89,248.54,,230.45,2.03,0.48,22.73,7.08,11.12,18.2,41.47,11.6,14-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
14-May-2020 - 00:00,1.04,,1.79,,748.19,52.99,30.35,23.95,302.01,,243.06,2.17,0.42,20.09,7.43,8.56,15.99,34.32,8.45,15-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
15-May-2020 - 00:00,0.98,,1.79,,748.08,59.65,22.58,22.44,285.44,,290.14,2.22,0.42,21.79,7.12,7.88,15.0,44.89,9.68,16-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
16-May-2020 - 00:00,0.96,,1.76,,748.08,59.93,25.22,20.87,286.58,,266.09,2.43,0.39,20.96,7.02,8.73,15.74,53.69,9.61,17-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
17-May-2020 - 00:00,0.98,,1.76,,748.12,63.56,24.42,16.32,287.86,,297.72,2.45,0.39,18.99,6.93,8.93,15.86,70.31,8.46,18-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
18-May-2020 - 00:00,0.88,,1.69,,747.95,202.45,58.61,16.44,264.43,,294.18,2.34,0.45,19.56,7.26,10.64,17.89,66.02,7.86,19-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
19-May-2020 - 00:00,0.97,,1.78,,748.16,44.54,26.51,18.58,306.6,,297.15,2.19,0.45,17.28,7.02,11.83,18.75,57.15,7.83,20-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
20-May-2020 - 00:00,0.91,,1.85,,747.64,50.74,28.59,13.37,203.03,,283.76,2.15,0.36,18.29,6.91,11.98,18.8,55.78,9.59,21-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
21-May-2020 - 00:00,0.89,,1.79,,748.14,74.55,34.68,13.76,272.84,,290.88,2.58,0.56,13.85,7.23,8.09,15.31,55.29,11.47,22-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
22-May-2020 - 00:00,0.92,,1.81,,748.14,87.12,35.96,13.39,256.85,,287.03,2.75,0.42,10.37,7.61,8.87,16.48,49.98,7.66,23-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
23-May-2020 - 00:00,0.9,,1.79,,748.15,77.66,29.05,18.45,263.53,,282.67,2.72,0.41,12.09,7.68,10.73,18.4,44.73,8.3,24-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
24-May-2020 - 00:00,0.9,,1.8,,748.18,74.67,31.42,19.92,268.44,,291.15,2.44,0.36,12.92,7.43,8.75,16.18,48.22,8.15,25-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
25-May-2020 - 00:00,0.91,,1.79,,748.15,58.66,26.72,18.96,264.6,,260.37,2.55,0.41,12.41,7.41,10.81,18.17,41.71,8.21,26-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
26-May-2020 - 00:00,0.89,,1.81,,748.12,47.95,26.4,18.83,263.94,,273.49,3.14,0.42,12.3,8.01,10.68,18.69,45.54,8.23,27-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
27-May-2020 - 00:00,0.9,,1.82,,748.12,95.97,43.79,28.64,267.92,,259.12,2.7,0.49,15.8,7.81,11.27,19.08,49.86,8.59,28-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
28-May-2020 - 00:00,0.91,,1.82,,747.98,172.88,54.54,41.38,242.89,,249.33,2.53,0.31,22.79,7.7,11.98,19.62,42.26,7.45,29-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
29-May-2020 - 00:00,0.89,,1.81,,748.15,153.59,52.17,40.52,268.81,,243.96,2.81,0.51,16.37,9.67,14.47,24.14,49.73,6.75,30-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
30-May-2020 - 00:00,0.99,,1.89,,748.2,91.55,35.64,45.17,274.44,,249.84,2.54,0.76,15.16,8.7,17.25,25.94,57.13,6.59,31-May-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
31-May-2020 - 00:00,1.2,,2.13,,748.49,41.55,23.93,49.76,368.16,,242.36,2.45,0.74,13.28,8.59,16.15,24.71,31.66,5.94,01-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
01-Jun-2020 - 00:00,0.99,,1.87,,748.13,46.02,24.63,38.7,277.37,,210.0,2.13,0.91,21.22,9.91,21.19,31.1,36.34,6.34,02-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
02-Jun-2020 - 00:00,0.84,,1.7,,748.22,48.46,26.32,45.16,288.22,,197.72,2.21,0.6,24.48,8.84,9.52,18.36,43.82,6.93,03-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
03-Jun-2020 - 00:00,1.37,,2.29,,748.17,46.63,27.55,44.97,280.85,,223.45,2.3,0.69,17.95,8.43,11.32,19.75,58.76,6.62,04-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
04-Jun-2020 - 00:00,0.98,,1.89,,747.78,65.0,25.28,54.2,198.08,,204.79,1.89,0.91,19.69,9.81,13.79,23.59,38.6,6.69,05-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
05-Jun-2020 - 00:00,0.97,,1.86,,748.21,84.12,29.9,49.18,285.73,,259.96,2.44,0.53,16.72,8.01,9.3,17.31,49.99,6.93,06-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
06-Jun-2020 - 00:00,0.98,,1.88,,748.21,52.62,19.73,49.77,287.18,,244.75,2.32,0.48,13.85,7.91,7.18,15.08,54.64,6.64,07-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
07-Jun-2020 - 00:00,1.0,,1.85,,748.04,43.61,16.98,55.16,251.22,,211.39,2.17,0.44,13.44,7.5,6.68,14.19,41.96,6.33,08-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
08-Jun-2020 - 00:00,0.98,,1.88,,748.13,42.56,21.7,57.62,275.34,,233.03,2.12,0.49,17.23,8.89,7.94,16.61,45.72,6.27,09-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
09-Jun-2020 - 00:00,1.02,,1.83,,748.12,41.48,26.05,55.02,271.36,,242.75,2.07,0.66,19.71,8.49,10.49,18.98,50.1,6.31,10-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
10-Jun-2020 - 00:00,1.08,,1.87,,748.1,57.53,30.38,61.72,260.61,,249.1,2.27,0.78,19.36,9.4,14.59,23.98,36.47,6.4,11-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
11-Jun-2020 - 00:00,1.1,,1.87,,749.93,42.69,24.86,59.7,236.47,,258.91,2.0,0.81,16.51,9.42,15.96,25.38,33.28,5.82,12-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
12-Jun-2020 - 00:00,1.07,,1.87,,743.19,52.49,28.66,55.97,121.63,,269.57,1.55,0.66,17.68,8.16,14.93,22.84,20.08,5.72,13-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
13-Jun-2020 - 00:00,1.08,,1.86,,731.21,43.73,23.64,61.61,180.3,,271.44,1.75,0.89,20.37,8.75,12.8,21.55,31.97,6.06,14-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
14-Jun-2020 - 00:00,1.09,,1.85,,729.09,49.51,28.45,69.37,204.69,,226.32,2.11,0.8,24.09,9.49,14.69,24.17,25.21,5.68,15-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
15-Jun-2020 - 00:00,1.06,,1.86,,731.84,61.64,30.35,51.79,284.05,,242.93,2.04,0.79,22.19,10.0,18.38,28.39,31.4,6.7,16-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
16-Jun-2020 - 00:00,1.07,,1.85,,745.04,67.56,28.4,54.16,282.01,,270.19,2.58,0.83,20.55,9.12,14.68,23.79,40.24,6.05,17-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
17-Jun-2020 - 00:00,1.08,,1.84,,738.84,68.02,37.54,62.27,275.55,,250.94,2.6,0.75,27.65,9.31,12.53,21.84,34.03,5.31,18-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
18-Jun-2020 - 00:00,0.99,,1.76,,733.39,40.77,24.65,60.86,266.51,,246.75,2.45,0.69,22.95,8.46,12.31,20.78,43.62,5.7,19-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
19-Jun-2020 - 00:00,1.09,,1.84,,733.23,41.93,19.76,62.01,259.37,,250.28,2.61,0.89,24.05,9.63,14.99,24.64,33.78,6.19,20-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
20-Jun-2020 - 00:00,1.09,,1.84,,733.38,63.26,30.72,57.02,262.4,,238.31,2.47,0.86,22.59,10.45,17.37,27.81,29.81,6.1,21-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
21-Jun-2020 - 00:00,1.09,,1.86,,732.93,51.47,24.53,60.42,230.91,,241.31,2.49,0.64,21.06,9.55,13.1,22.66,28.41,5.97,22-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
22-Jun-2020 - 00:00,1.08,,1.83,,733.3,47.4,27.19,63.52,283.68,,247.34,2.25,0.94,28.26,10.45,17.96,28.14,27.73,5.41,23-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
23-Jun-2020 - 00:00,1.31,2.16,1.39,2.08,732.32,41.09,18.17,70.85,201.97,31.85,233.42,2.32,0.96,29.32,10.74,20.84,31.58,18.27,5.87,24-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
24-Jun-2020 - 00:00,1.43,1.62,,1.7,731.92,42.64,20.98,70.55,153.7,31.88,252.68,2.5,1.08,34.84,12.35,18.38,30.73,20.39,5.89,25-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
25-Jun-2020 - 00:00,1.44,1.6,,1.7,731.97,42.98,23.76,70.45,147.81,32.04,283.73,2.08,1.09,33.01,10.46,20.96,31.41,28.57,6.54,26-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
26-Jun-2020 - 00:00,1.45,1.6,,1.69,733.38,86.06,37.2,61.9,252.17,34.87,266.8,2.43,0.98,31.3,10.03,18.03,28.04,31.66,5.75,27-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
27-Jun-2020 - 00:00,1.43,1.6,,1.69,733.39,84.76,34.12,56.67,252.18,34.83,235.03,2.44,0.88,30.68,11.31,16.94,28.24,28.83,6.11,28-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
28-Jun-2020 - 00:00,1.43,1.6,,1.67,733.44,71.0,31.55,55.05,251.85,34.95,228.92,2.44,0.74,27.58,10.32,15.18,25.5,28.59,5.95,29-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
29-Jun-2020 - 00:00,1.43,1.61,,1.69,734.04,63.28,28.59,54.54,269.52,36.04,261.14,2.17,0.99,29.28,11.1,18.03,29.11,26.3,6.05,30-Jun-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
30-Jun-2020 - 00:00,1.44,1.6,,1.71,732.75,72.53,33.87,61.65,176.49,34.3,240.35,2.29,0.86,29.37,12.23,19.9,32.13,26.55,6.42,01-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
01-Jul-2020 - 00:00,1.42,1.59,,1.72,733.05,58.59,27.28,65.0,228.82,33.89,254.49,2.0,1.11,34.53,11.57,27.1,38.6,40.86,7.94,02-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
02-Jul-2020 - 00:00,1.45,1.56,,1.76,732.81,43.25,23.17,65.13,258.01,33.81,263.94,2.23,1.04,38.22,10.0,19.84,29.76,30.86,10.78,03-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
03-Jul-2020 - 00:00,1.47,1.55,,1.78,732.93,41.61,26.91,62.81,312.18,33.9,262.14,2.33,0.72,35.57,9.92,18.64,28.56,40.48,10.32,04-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
04-Jul-2020 - 00:00,1.49,1.56,,1.77,732.76,51.82,29.26,74.96,263.05,32.76,206.88,2.3,0.75,38.29,10.13,15.66,25.27,37.57,9.93,05-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
05-Jul-2020 - 00:00,1.47,1.56,,1.77,731.89,51.12,29.06,81.71,194.26,31.07,159.59,2.53,0.67,43.46,10.46,7.17,17.59,35.46,10.13,06-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
06-Jul-2020 - 00:00,1.48,1.58,,1.77,732.14,52.39,23.48,79.8,247.6,30.7,197.28,2.66,0.92,41.85,15.35,10.62,25.83,30.95,9.83,07-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
07-Jul-2020 - 00:00,1.48,1.56,,1.76,732.15,40.85,19.15,83.37,273.03,30.75,177.45,2.43,0.79,35.02,14.16,11.11,25.26,24.1,9.42,08-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
08-Jul-2020 - 00:00,1.28,1.47,,1.76,731.81,42.15,16.93,83.64,329.16,30.58,170.76,3.18,0.59,28.74,11.72,13.95,25.6,32.24,8.77,09-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
09-Jul-2020 - 00:00,1.38,1.53,,1.72,732.92,62.01,27.01,68.22,399.73,32.68,226.26,2.61,0.63,28.9,12.17,13.28,25.1,36.05,8.78,10-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
10-Jul-2020 - 00:00,1.43,1.53,,1.75,732.58,48.73,24.39,69.9,356.8,32.25,215.45,2.49,0.68,22.2,13.46,9.83,23.29,31.35,8.84,11-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
11-Jul-2020 - 00:00,1.25,1.63,,1.61,731.68,35.91,19.7,80.37,270.53,30.97,202.72,2.42,0.77,7.91,16.38,5.9,22.25,23.48,8.52,12-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
12-Jul-2020 - 00:00,1.25,1.39,,1.78,730.98,50.25,22.4,84.95,202.24,30.15,211.74,2.24,0.57,7.44,15.42,4.81,20.06,15.4,8.94,13-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
13-Jul-2020 - 00:00,1.36,1.53,,1.72,732.37,60.96,27.19,75.37,291.97,31.75,232.62,2.21,0.78,8.38,16.16,11.47,27.55,18.78,8.98,14-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
14-Jul-2020 - 00:00,1.32,1.53,,1.7,732.2,82.6,34.8,75.43,200.03,32.03,262.12,2.25,0.71,4.41,12.57,10.71,22.98,23.17,8.97,15-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
15-Jul-2020 - 00:00,1.37,1.54,,1.74,732.01,72.16,31.55,78.93,189.99,31.73,263.78,2.19,0.77,4.13,11.16,9.62,20.78,19.29,8.81,16-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
16-Jul-2020 - 00:00,1.36,1.53,,1.71,732.36,67.93,30.12,73.11,242.49,32.49,234.97,2.08,0.72,10.79,10.95,12.03,22.89,41.5,8.92,17-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
17-Jul-2020 - 00:00,1.36,1.54,,1.73,732.44,70.4,34.55,80.21,342.78,31.86,194.65,2.12,0.96,17.39,13.19,21.93,35.13,21.62,9.34,18-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
18-Jul-2020 - 00:00,1.38,1.55,,1.73,732.84,53.41,26.2,76.11,368.8,32.52,188.18,2.59,0.79,21.78,14.94,25.79,40.71,26.75,10.21,19-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
19-Jul-2020 - 00:00,1.34,1.44,,1.74,732.75,33.92,16.56,69.04,366.78,32.78,242.29,2.55,0.5,20.1,11.62,15.1,26.69,30.04,9.54,20-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
20-Jul-2020 - 00:00,1.3,1.47,,1.67,732.73,52.91,22.96,68.4,332.86,32.61,230.86,2.7,0.58,13.72,12.13,17.81,29.75,30.74,9.57,21-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
21-Jul-2020 - 00:00,1.21,1.48,,1.57,732.34,55.15,22.5,68.52,239.71,32.25,215.57,2.72,0.71,11.52,13.22,18.23,31.45,30.44,9.27,22-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
22-Jul-2020 - 00:00,1.26,1.46,,1.62,732.88,58.65,24.62,64.43,286.02,33.15,256.56,2.77,0.72,9.41,13.0,16.91,29.91,29.83,8.65,23-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
23-Jul-2020 - 00:00,1.27,1.44,,1.62,733.22,49.63,22.59,61.86,281.5,34.07,258.48,2.5,0.75,12.58,12.31,15.27,27.35,26.49,8.9,24-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
24-Jul-2020 - 00:00,1.26,1.42,,1.64,731.7,52.59,27.01,78.84,175.77,31.07,220.24,2.22,0.82,16.57,14.25,22.46,36.7,23.37,9.04,25-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
25-Jul-2020 - 00:00,1.27,1.42,,1.62,731.86,48.29,20.12,81.2,227.59,30.39,217.58,2.17,0.72,16.08,11.54,19.05,30.59,24.83,9.11,26-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
26-Jul-2020 - 00:00,1.26,1.43,,1.62,732.49,48.15,22.3,73.23,264.29,31.68,199.19,2.45,0.59,15.02,9.84,12.11,21.95,39.4,9.2,27-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
27-Jul-2020 - 00:00,1.26,1.44,,1.64,732.89,47.16,24.28,67.67,280.46,32.78,256.3,2.21,0.65,17.97,13.0,17.87,30.87,32.35,8.7,28-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
28-Jul-2020 - 00:00,1.27,1.43,,1.62,733.09,42.57,21.58,66.81,303.52,33.34,260.74,2.46,0.6,13.92,11.35,13.3,24.64,30.65,9.16,29-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
29-Jul-2020 - 00:00,1.26,1.44,,1.62,732.83,48.76,23.65,66.44,253.74,33.48,245.91,2.24,0.76,26.0,14.12,16.9,31.01,26.71,9.06,30-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
30-Jul-2020 - 00:00,1.25,1.42,,1.63,732.21,67.4,30.53,77.8,202.91,32.06,195.46,2.18,0.88,35.02,13.39,20.53,33.93,25.3,9.14,31-Jul-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
31-Jul-2020 - 00:00,1.19,1.43,,1.62,731.83,55.68,26.8,87.18,180.95,30.85,193.31,2.01,0.89,42.81,15.66,20.11,35.91,15.52,9.23,01-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
01-Aug-2020 - 00:00,1.19,1.33,,1.66,732.25,58.88,27.67,80.38,223.27,31.76,239.81,1.94,0.83,53.47,13.49,26.9,40.32,18.02,9.05,02-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
02-Aug-2020 - 00:00,1.26,1.45,,1.62,732.31,42.62,22.7,75.59,218.52,32.47,258.84,2.18,0.6,47.88,10.72,16.38,27.1,23.43,8.99,03-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
03-Aug-2020 - 00:00,1.25,1.43,,1.64,732.91,30.1,17.9,68.64,275.18,33.24,253.25,2.21,0.53,43.74,10.52,13.66,24.18,30.3,8.94,04-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
04-Aug-2020 - 00:00,0.91,1.32,,1.48,732.62,34.77,18.65,71.12,232.2,33.0,202.15,2.26,0.56,41.99,9.95,16.0,25.92,33.79,8.95,05-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
05-Aug-2020 - 00:00,1.2,1.44,,1.59,732.42,37.76,20.45,72.92,225.13,32.76,259.35,2.27,0.64,37.12,9.9,19.3,28.92,40.26,9.02,06-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
06-Aug-2020 - 00:00,0.86,1.28,,1.49,730.8,32.56,20.54,93.06,129.87,29.69,150.07,1.56,0.61,46.43,12.38,28.05,40.43,40.53,9.58,07-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
07-Aug-2020 - 00:00,1.12,1.23,,1.66,730.87,42.89,26.56,95.67,147.74,29.49,165.66,2.67,0.72,26.36,10.91,15.58,26.21,24.66,11.27,08-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
08-Aug-2020 - 00:00,1.2,1.37,,1.63,731.76,72.1,29.53,80.04,235.69,30.68,227.3,2.21,0.63,31.55,12.13,13.17,25.3,42.25,10.13,09-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
09-Aug-2020 - 00:00,1.28,1.42,,1.63,731.84,26.26,14.16,81.3,229.15,30.84,262.89,2.46,0.41,21.38,8.25,7.27,15.51,50.34,9.99,10-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
10-Aug-2020 - 00:00,1.26,1.43,,1.63,731.84,45.14,22.24,78.74,228.41,30.78,282.63,2.46,0.68,22.15,10.84,9.76,20.59,45.52,9.73,11-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
11-Aug-2020 - 00:00,1.26,1.45,,1.63,731.63,72.21,34.33,77.85,184.41,30.9,266.61,2.36,0.7,17.75,10.6,9.49,20.1,37.56,10.06,12-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
12-Aug-2020 - 00:00,1.27,1.44,,1.65,731.4,36.9,21.66,83.55,167.02,30.54,259.18,2.18,0.53,13.92,9.92,7.37,17.29,31.98,9.88,13-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
13-Aug-2020 - 00:00,1.18,1.39,,1.57,731.04,34.42,18.03,90.81,156.15,29.59,214.41,2.14,0.77,17.3,12.77,7.74,20.3,25.05,10.35,14-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
14-Aug-2020 - 00:00,1.26,1.45,,1.62,731.63,48.37,22.88,88.89,216.98,30.17,229.38,2.02,0.74,20.84,12.76,10.38,23.15,23.84,10.23,15-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
15-Aug-2020 - 00:00,1.23,1.36,,1.66,731.0,51.48,21.94,91.12,146.29,29.74,222.99,2.13,0.64,21.88,12.39,7.56,19.97,17.32,11.11,16-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
16-Aug-2020 - 00:00,1.25,1.44,,1.61,731.67,57.2,21.32,88.24,203.37,30.68,180.59,2.53,0.39,20.89,9.25,6.59,15.84,19.24,9.77,17-Aug-2020 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
