from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,AT,WS,WD,RH,BP,SR,RF,to date,station
14-Feb-2020 - 00:00,56.93,173.05,45.59,5.0,28.4,19.6,8.36,1.0,69.18,23.39,0.83,236.81,50.28,705.75,183.96,0.0,15-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
15-Feb-2020 - 00:00,49.34,177.92,52.96,8.9,35.49,19.65,28.09,1.17,59.42,23.39,0.89,211.52,42.55,706.02,183.55,0.0,16-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
16-Feb-2020 - 00:00,43.65,142.36,60.07,11.81,41.65,18.91,28.75,1.2,45.4,23.27,0.98,174.05,36.17,707.74,186.32,0.0,17-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
17-Feb-2020 - 00:00,37.59,134.46,58.01,12.71,41.18,15.05,26.96,1.25,51.18,23.41,0.79,192.94,32.24,708.75,184.99,0.0,18-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
18-Feb-2020 - 00:00,36.35,131.67,54.47,10.72,37.78,13.49,33.81,1.0,61.06,23.89,0.58,178.17,32.55,707.17,180.24,0.0,19-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
19-Feb-2020 - 00:00,35.92,135.8,47.22,10.05,33.37,13.7,44.47,0.87,57.63,24.92,0.76,167.47,33.8,705.16,186.46,0.0,20-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
20-Feb-2020 - 00:00,48.65,145.46,27.24,1.85,16.08,17.7,46.19,0.71,84.69,26.08,1.1,169.38,43.07,703.97,179.47,0.0,21-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
21-Feb-2020 - 00:00,52.55,152.14,31.69,4.83,20.87,19.31,31.3,0.86,75.68,25.69,0.99,224.94,45.31,706.42,179.17,0.0,22-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
22-Feb-2020 - 00:00,56.78,151.38,31.25,3.63,19.66,22.52,27.99,0.86,75.82,23.49,1.49,171.7,52.02,708.75,191.92,0.0,23-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
23-Feb-2020 - 00:00,79.1,150.85,32.38,4.12,20.67,29.42,25.0,0.97,62.8,22.41,1.21,153.25,63.84,707.2,182.25,0.0,24-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
24-Feb-2020 - 00:00,64.45,136.15,34.95,4.02,21.94,24.05,13.79,0.91,73.1,22.01,1.22,212.05,60.55,705.07,195.92,0.0,25-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
25-Feb-2020 - 00:00,47.57,132.65,42.52,8.4,29.54,15.87,21.61,1.04,62.56,21.75,1.12,220.8,50.89,705.2,198.46,0.0,26-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
26-Feb-2020 - 00:00,57.32,184.67,52.17,27.08,49.84,18.03,21.39,1.06,51.81,23.47,0.78,240.69,43.25,705.89,190.83,0.0,27-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
27-Feb-2020 - 00:00,42.73,158.16,39.63,8.49,28.07,17.23,8.57,0.97,64.69,24.9,0.73,172.36,42.02,705.69,197.02,0.0,28-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
28-Feb-2020 - 00:00,45.7,142.3,36.23,2.51,21.4,15.97,22.13,0.78,76.35,26.0,0.78,155.98,41.47,703.93,185.58,0.0,29-Feb-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
29-Feb-2020 - 00:00,58.38,181.39,47.83,13.48,36.49,17.14,34.18,1.13,62.11,25.59,0.94,165.26,44.07,702.68,171.49,0.0,01-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
01-Mar-2020 - 00:00,55.92,153.83,34.67,5.86,23.3,21.22,22.91,0.97,68.87,25.19,0.99,173.58,57.24,703.08,178.91,0.04,02-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
02-Mar-2020 - 00:00,41.83,103.82,29.84,3.01,18.41,20.06,15.21,0.74,67.27,25.75,0.9,197.23,51.34,702.95,183.7,0.0,03-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
03-Mar-2020 - 00:00,36.46,127.49,27.94,3.62,17.9,14.62,14.17,0.69,69.17,25.78,0.9,235.49,38.9,702.03,197.0,0.0,04-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
04-Mar-2020 - 00:00,50.42,150.12,26.05,2.43,15.92,15.77,10.74,0.64,77.94,25.28,1.03,231.88,39.62,701.66,196.23,0.0,05-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
05-Mar-2020 - 00:00,31.04,138.47,20.09,2.23,12.58,11.1,11.88,0.46,74.6,24.87,1.21,225.95,34.51,701.41,180.7,0.0,06-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
06-Mar-2020 - 00:00,38.46,152.23,18.92,2.41,12.11,12.68,11.74,0.46,56.46,24.32,1.15,202.86,45.64,701.29,195.66,0.0,07-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
07-Mar-2020 - 00:00,31.62,137.38,26.44,4.01,17.41,10.87,12.59,0.6,73.2,23.64,1.4,251.67,42.9,704.4,199.54,0.0,08-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
08-Mar-2020 - 00:00,26.08,88.09,27.72,4.45,18.45,11.78,11.98,0.72,65.63,23.14,1.39,158.77,44.95,706.02,200.57,0.0,09-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
09-Mar-2020 - 00:00,22.92,79.64,28.42,3.91,18.38,12.12,16.07,0.73,68.4,23.64,1.29,146.42,42.78,704.29,193.67,0.0,10-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
10-Mar-2020 - 00:00,38.42,86.33,20.39,2.41,12.9,18.71,9.27,0.77,68.18,24.77,0.91,157.92,49.47,701.85,165.6,0.01,11-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
11-Mar-2020 - 00:00,27.88,80.43,13.54,1.93,8.86,17.95,10.11,0.45,68.58,25.23,0.99,192.54,51.71,701.83,191.65,0.0,12-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
12-Mar-2020 - 00:00,21.78,89.72,14.33,2.05,9.38,10.35,7.05,0.39,76.22,25.11,1.1,221.39,42.81,704.03,191.02,0.0,13-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
13-Mar-2020 - 00:00,21.67,124.86,28.1,6.31,20.16,6.92,14.73,0.69,70.8,23.31,1.22,260.32,31.81,705.39,192.84,0.0,14-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
14-Mar-2020 - 00:00,24.38,135.24,20.06,2.06,12.44,7.73,14.57,0.51,75.29,23.77,1.07,268.44,28.32,705.33,201.11,0.0,15-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
15-Mar-2020 - 00:00,31.71,151.36,34.04,7.5,24.29,10.16,8.33,0.92,67.9,22.9,1.15,188.62,33.73,706.42,200.58,0.0,16-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
16-Mar-2020 - 00:00,33.12,137.8,37.34,7.22,25.73,13.32,9.1,1.01,64.24,23.75,1.11,186.0,39.72,706.48,176.48,0.0,17-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
17-Mar-2020 - 00:00,28.54,109.47,30.68,2.97,18.82,14.12,10.34,0.78,78.84,25.62,1.0,149.62,40.59,706.83,196.46,0.0,18-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
18-Mar-2020 - 00:00,30.79,98.7,30.99,2.51,18.61,14.53,13.27,0.81,81.79,27.52,0.84,146.43,38.29,705.48,191.71,0.0,19-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
19-Mar-2020 - 00:00,38.19,121.68,35.25,3.35,21.56,15.46,11.73,0.94,72.82,28.32,0.9,167.44,39.17,702.97,180.03,0.0,20-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
20-Mar-2020 - 00:00,37.24,114.05,24.51,2.21,14.92,15.19,18.18,0.6,75.68,27.41,1.07,170.41,43.89,702.27,190.01,0.0,21-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
21-Mar-2020 - 00:00,52.79,161.9,24.92,2.82,15.63,12.65,10.39,0.85,77.38,26.84,1.01,243.3,32.16,702.77,196.03,0.0,22-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
22-Mar-2020 - 00:00,38.89,111.48,17.03,1.61,10.46,15.86,14.01,0.58,72.5,28.46,0.66,204.61,33.89,703.66,193.62,0.0,23-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
23-Mar-2020 - 00:00,40.74,126.83,22.78,1.99,13.77,16.42,13.44,0.75,63.1,29.62,0.81,193.32,34.32,702.82,200.18,0.0,24-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
24-Mar-2020 - 00:00,33.35,106.64,14.7,1.57,9.18,16.26,12.83,0.51,69.25,30.77,0.89,176.29,33.91,701.74,190.89,0.0,25-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
25-Mar-2020 - 00:00,23.57,67.92,9.64,1.61,6.52,21.62,12.48,0.37,64.27,27.74,1.0,152.0,52.17,702.48,163.05,0.1,26-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
26-Mar-2020 - 00:00,23.29,42.76,10.82,1.63,7.16,23.98,12.42,0.38,66.11,27.27,0.86,163.31,62.3,703.11,189.51,0.0,27-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
27-Mar-2020 - 00:00,18.57,40.8,10.19,1.98,7.11,20.94,8.61,0.4,38.07,22.31,1.45,176.8,79.82,705.26,122.97,0.23,28-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
28-Mar-2020 - 00:00,13.9,29.8,7.98,0.78,4.89,20.26,8.6,0.36,33.79,20.19,1.22,230.8,90.2,705.5,31.3,0.0,29-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
29-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,30-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
30-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,31-Mar-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
31-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,01-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
01-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,02-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
02-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,03-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
03-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,04-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
04-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,05-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
05-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,06-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
06-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,07-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
07-Apr-2020 - 00:00,39.95,97.22,15.46,3.04,9.65,18.26,17.35,0.27,78.54,32.24,0.55,242.62,21.73,700.61,29.96,0.0,08-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
08-Apr-2020 - 00:00,32.25,106.62,6.7,3.7,6.68,14.46,11.55,0.49,56.55,31.83,1.17,254.4,24.91,701.53,195.64,0.0,09-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
09-Apr-2020 - 00:00,26.53,108.47,7.68,3.61,7.11,14.19,12.95,0.55,55.37,31.97,1.1,201.82,24.7,702.89,200.3,0.0,10-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
10-Apr-2020 - 00:00,30.35,100.91,9.23,3.73,8.04,13.3,10.19,0.62,54.73,32.61,0.84,151.23,22.26,704.0,200.06,0.0,11-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
11-Apr-2020 - 00:00,37.88,96.78,9.86,3.86,8.49,13.69,13.2,0.67,57.71,33.11,0.8,200.57,22.35,705.02,196.1,0.0,12-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
12-Apr-2020 - 00:00,39.36,114.12,12.32,3.13,7.7,17.03,15.0,0.46,67.47,34.78,0.82,239.9,19.65,702.1,163.6,0.0,13-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
13-Apr-2020 - 00:00,28.93,93.68,11.71,3.94,9.07,15.16,11.95,0.62,46.21,32.59,0.89,227.76,22.31,702.09,190.69,0.0,14-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
14-Apr-2020 - 00:00,44.21,122.27,10.85,3.93,9.06,15.56,13.26,0.68,47.6,34.15,0.88,221.69,21.38,701.99,186.99,0.0,15-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
15-Apr-2020 - 00:00,38.8,93.55,9.58,3.7,8.2,15.0,13.89,0.68,55.09,33.33,0.8,215.09,24.82,702.48,182.94,0.0,16-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
16-Apr-2020 - 00:00,58.78,116.92,13.82,4.05,10.74,14.98,16.21,0.81,48.13,33.23,1.03,240.16,22.09,701.49,190.88,0.0,17-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
17-Apr-2020 - 00:00,55.4,132.51,11.64,4.04,9.58,14.94,15.97,0.77,47.83,32.93,1.25,256.52,25.61,700.83,189.41,0.0,18-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
18-Apr-2020 - 00:00,56.43,109.84,12.09,4.16,9.91,19.45,14.59,0.77,59.71,31.49,1.03,222.96,31.47,701.95,173.54,0.03,19-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
19-Apr-2020 - 00:00,43.4,130.06,8.59,3.88,7.81,15.95,11.31,0.61,73.5,31.34,1.03,224.78,27.65,701.59,194.98,0.0,20-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
20-Apr-2020 - 00:00,59.92,130.46,11.8,4.26,9.84,14.48,17.74,0.74,64.01,31.41,1.01,232.48,25.78,701.41,196.22,0.0,21-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
21-Apr-2020 - 00:00,39.53,114.99,10.15,4.07,8.81,16.12,14.85,0.65,78.5,29.83,1.18,200.66,32.9,701.58,192.85,0.0,22-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
22-Apr-2020 - 00:00,48.06,102.02,12.91,4.1,10.29,15.28,15.48,0.69,80.84,31.76,1.11,219.89,24.57,701.1,199.71,0.0,23-Apr-2020 - 00:00,"T T Nagar, Bhopal - MPPCB"
