from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WS,WD,AT,RH,RF,SR,to date,station
20-Sep-2020 - 00:00,19.21,29.0,11.28,15.26,3.84,6.14,1.59,0.6,7.2,,,,,,1.84,127.4,,,0.22,175.16,21-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
21-Sep-2020 - 00:00,16.83,42.91,9.77,12.76,2.99,6.69,1.75,0.66,6.74,0.0,0.0,0.0,0.0,0.0,2.29,77.38,,,0.02,235.28,22-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
22-Sep-2020 - 00:00,19.66,42.1,16.24,23.51,7.28,4.9,1.5,0.7,5.22,0.0,0.0,0.0,0.0,0.0,1.58,101.11,,,0.45,684.54,23-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
23-Sep-2020 - 00:00,30.3,46.05,16.82,23.52,6.7,4.8,2.04,0.97,6.77,0.0,0.0,0.0,0.0,0.0,1.39,147.97,,77.89,0.03,488.49,24-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
24-Sep-2020 - 00:00,16.62,32.89,12.72,17.69,4.97,5.52,1.77,0.64,7.78,,,,,,1.85,153.82,,,0.01,555.08,25-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
25-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,26-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
26-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,27-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
27-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,28-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
28-Sep-2020 - 00:00,26.78,50.41,20.06,29.73,9.28,4.26,1.46,0.55,6.22,0.0,0.0,0.0,0.0,0.0,1.73,116.55,,,,192.21,29-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
29-Sep-2020 - 00:00,52.32,76.08,17.63,25.52,8.32,5.01,1.84,0.71,4.88,0.0,0.0,0.0,0.0,0.0,1.4,162.54,,28.14,,176.64,30-Sep-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
30-Sep-2020 - 00:00,38.56,48.61,11.84,14.95,3.4,6.47,1.99,0.8,9.28,,,,,,1.29,130.79,,85.55,,167.3,01-Oct-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
01-Oct-2020 - 00:00,35.98,43.92,15.46,19.19,3.75,5.98,1.82,0.62,9.33,,,,,,1.92,154.63,,97.22,,230.29,02-Oct-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
02-Oct-2020 - 00:00,38.23,51.93,16.22,19.36,3.14,5.86,2.06,0.86,10.52,,,,,,1.4,168.69,,,,226.0,03-Oct-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
03-Oct-2020 - 00:00,53.44,65.56,15.92,19.29,3.37,5.7,1.97,0.77,10.33,,,,,,1.66,152.23,,,,351.35,04-Oct-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
04-Oct-2020 - 00:00,28.58,39.24,11.89,13.56,1.67,6.76,2.05,0.85,12.02,0.87,2.51,0.0,0.0,0.0,2.18,150.55,,,,195.69,05-Oct-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
05-Oct-2020 - 00:00,25.35,50.69,14.49,16.8,2.32,6.46,2.23,1.03,16.13,0.85,2.5,0.0,0.0,0.0,2.47,150.63,,70.83,,180.77,06-Oct-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
06-Oct-2020 - 00:00,26.84,52.17,15.98,18.74,2.76,5.96,1.9,0.7,13.27,0.86,2.51,0.0,0.0,0.0,2.1,140.24,,,,267.34,07-Oct-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
07-Oct-2020 - 00:00,24.67,44.28,15.03,17.98,2.95,5.65,1.99,0.81,6.16,0.84,2.51,0.0,0.0,0.0,1.99,147.16,,,,235.46,08-Oct-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
08-Oct-2020 - 00:00,13.88,26.74,10.91,12.22,1.46,6.69,2.13,0.93,11.78,0.85,2.49,0.0,0.0,0.0,1.43,102.89,,,,212.73,09-Oct-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
09-Oct-2020 - 00:00,13.15,33.3,13.12,15.21,2.29,6.3,2.03,0.83,12.3,0.84,2.5,0.0,0.0,0.0,1.38,163.01,,,,333.29,10-Oct-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
10-Oct-2020 - 00:00,53.11,88.23,14.54,16.55,2.32,6.07,1.96,0.76,15.58,0.84,2.49,0.0,0.0,0.0,1.37,134.46,,,,267.5,11-Oct-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
11-Oct-2020 - 00:00,32.27,141.54,11.21,13.04,1.96,6.41,1.86,0.66,15.41,0.85,2.5,0.0,0.0,0.0,1.86,154.95,,83.42,,341.63,12-Oct-2020 - 00:00,"Polayathode, Kollam - Kerala PCB"
