from date,NO2,NH3,NO,NOx,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Temp,AT,WS,WD,RH,BP,to date,station
04-Mar-2020 - 00:00,53.2,11.35,45.39,65.19,2.72,1.99,39.53,64.81,150.78,0.73,1.76,24.2,27.0,1.4,198.62,54.18,716.4,05-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
05-Mar-2020 - 00:00,34.38,11.72,8.6,25.27,2.76,1.42,32.66,52.42,130.58,0.67,1.27,23.73,26.67,1.7,155.72,54.94,715.29,06-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
06-Mar-2020 - 00:00,35.19,10.26,11.85,28.35,2.54,1.36,55.27,27.62,99.02,0.62,1.19,24.01,27.17,1.67,180.36,56.19,715.42,07-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
07-Mar-2020 - 00:00,23.77,13.42,7.3,18.58,2.64,1.26,31.8,37.16,104.39,0.64,1.29,24.79,26.45,1.55,138.86,61.26,717.22,08-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
08-Mar-2020 - 00:00,13.85,13.07,2.13,9.11,2.58,1.08,31.66,27.42,81.08,0.6,1.1,24.46,26.98,1.61,118.68,58.62,716.57,09-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
09-Mar-2020 - 00:00,22.76,11.92,9.0,19.43,2.53,1.17,33.46,29.8,92.14,0.62,1.12,23.87,26.68,1.52,140.78,61.66,715.72,10-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
10-Mar-2020 - 00:00,18.51,11.14,2.98,12.27,2.69,1.12,36.91,31.24,90.28,0.6,1.13,23.49,27.22,1.62,127.93,53.85,715.82,11-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
11-Mar-2020 - 00:00,24.85,9.71,7.8,19.55,2.72,1.22,31.16,30.32,98.16,0.63,1.19,24.15,27.32,1.55,139.62,48.45,716.67,12-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
12-Mar-2020 - 00:00,27.14,8.94,12.43,24.54,2.62,1.21,27.69,28.99,90.34,0.62,1.16,23.7,27.49,1.59,160.22,46.88,717.53,13-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
13-Mar-2020 - 00:00,20.82,9.4,13.4,21.96,2.68,1.1,25.31,30.06,92.41,0.62,1.11,23.77,27.07,1.5,105.31,46.63,717.71,14-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
14-Mar-2020 - 00:00,18.76,8.83,4.34,13.5,2.57,1.02,24.47,26.33,76.97,0.61,1.09,23.38,27.6,1.39,107.34,45.78,716.61,15-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
15-Mar-2020 - 00:00,16.2,10.21,1.83,10.1,2.61,1.0,25.12,25.23,76.0,0.6,0.96,24.76,27.0,1.75,91.55,51.98,716.44,16-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
16-Mar-2020 - 00:00,10.22,8.48,1.39,6.56,2.61,0.89,28.26,20.98,67.68,0.6,0.96,23.63,26.65,1.81,96.52,54.53,717.76,17-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
17-Mar-2020 - 00:00,9.84,7.85,2.02,6.88,2.59,0.9,33.32,21.79,69.57,0.6,0.96,23.79,26.66,2.1,95.71,51.61,718.99,18-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
18-Mar-2020 - 00:00,12.66,8.39,1.94,8.3,2.61,0.97,39.62,30.97,64.47,0.61,1.04,24.3,27.33,1.78,100.91,42.93,718.31,19-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
19-Mar-2020 - 00:00,23.57,9.76,8.79,19.67,2.78,1.2,42.5,39.21,90.33,0.62,1.23,24.1,28.3,1.29,137.3,42.5,717.25,20-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
20-Mar-2020 - 00:00,26.36,10.72,5.69,18.63,2.63,1.21,42.7,38.12,82.93,0.81,1.47,24.11,26.02,1.75,157.54,61.8,716.96,21-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
21-Mar-2020 - 00:00,37.35,8.96,19.87,36.01,2.43,1.48,28.76,39.98,89.15,1.01,2.01,18.29,27.93,1.13,158.32,51.06,716.47,22-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
22-Mar-2020 - 00:00,10.5,11.43,1.16,6.53,2.57,0.92,24.41,23.64,49.8,0.68,1.65,19.45,28.32,1.42,138.88,49.94,716.32,23-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
23-Mar-2020 - 00:00,21.47,13.48,8.46,18.3,2.67,1.28,29.51,44.09,77.32,0.4,0.92,19.7,26.7,1.42,131.44,61.48,716.33,24-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
24-Mar-2020 - 00:00,11.92,11.88,3.72,9.37,2.76,0.94,34.08,43.88,73.5,0.67,0.5,18.73,28.51,1.33,129.3,46.04,714.95,25-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
25-Mar-2020 - 00:00,4.96,9.29,0.6,3.11,2.54,0.81,44.18,16.78,42.32,0.67,0.5,18.75,27.6,1.49,111.02,48.13,714.8,26-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
26-Mar-2020 - 00:00,4.25,8.81,0.52,2.67,2.63,0.87,37.3,19.96,49.0,0.38,0.47,19.09,27.48,1.6,91.99,49.31,715.69,27-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
27-Mar-2020 - 00:00,4.14,8.18,0.56,2.65,2.58,0.85,44.08,17.47,41.73,0.38,0.48,19.11,26.89,1.66,93.95,48.32,717.41,28-Mar-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
