from date,PM2.5,PM10,SO2,NO2,NO,NOx,NH3,CO,Ozone,Benzene,Eth-Benzene,Xylene,WS,WD,RH,SR,RF,Temp,to date,station
11-Feb-2020 - 00:00,111.15,172.01,25.68,9.03,106.54,99.95,0.98,1.77,5.78,3.83,14.6,3.3,0.48,199.43,52.92,114.82,0.04,27.32,12-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
12-Feb-2020 - 00:00,97.79,158.88,32.33,9.2,103.81,100.57,0.74,1.65,6.03,2.7,9.83,2.97,0.55,191.2,51.6,100.29,0.01,28.21,13-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
13-Feb-2020 - 00:00,108.84,173.71,31.7,34.59,112.73,123.98,1.06,1.85,5.56,4.9,4.27,4.05,0.7,200.02,47.86,107.17,0.0,28.08,14-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
14-Feb-2020 - 00:00,111.26,179.22,30.05,34.6,79.89,102.74,1.33,2.03,5.48,6.98,3.4,4.21,0.65,179.03,44.16,125.5,0.0,26.76,15-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
15-Feb-2020 - 00:00,109.94,179.65,27.4,31.53,62.46,89.43,0.92,2.05,5.66,5.73,2.51,3.31,0.63,192.32,39.33,126.72,0.01,25.39,16-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
16-Feb-2020 - 00:00,136.9,199.04,25.39,20.66,59.99,71.59,1.0,2.07,5.62,3.54,2.16,2.48,0.43,214.15,55.35,125.01,0.0,25.77,17-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
17-Feb-2020 - 00:00,155.87,203.6,24.65,27.41,81.4,85.23,1.07,2.02,5.79,3.57,1.53,2.05,0.39,206.71,50.66,127.17,0.0,28.08,18-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
18-Feb-2020 - 00:00,128.22,172.89,25.26,35.77,76.78,81.39,0.7,2.11,5.55,3.31,1.49,2.33,0.44,215.1,50.04,129.55,0.0,27.38,19-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
19-Feb-2020 - 00:00,127.01,161.21,23.99,23.27,79.37,74.98,,1.95,5.71,2.07,1.34,1.47,0.41,231.79,55.48,132.27,0.0,25.99,20-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
20-Feb-2020 - 00:00,58.34,131.79,25.77,14.25,83.77,77.17,,1.69,5.69,1.47,1.09,1.05,0.43,200.28,61.98,133.22,0.0,24.91,21-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
21-Feb-2020 - 00:00,71.88,118.42,17.71,5.7,25.24,23.17,0.1,1.61,5.39,1.28,1.4,0.81,0.42,200.77,66.23,137.41,0.0,24.01,22-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
22-Feb-2020 - 00:00,107.01,150.08,21.33,9.2,22.13,24.38,,2.03,5.53,3.6,3.68,1.41,0.49,207.35,56.71,135.55,0.0,24.95,23-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
23-Feb-2020 - 00:00,107.72,171.19,21.98,10.42,18.73,25.82,,1.85,5.84,3.81,4.95,1.34,0.58,157.51,43.22,133.59,0.01,26.28,24-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
24-Feb-2020 - 00:00,64.05,161.2,17.81,2.54,29.06,16.14,1.98,2.25,5.6,3.24,3.37,1.22,0.62,174.26,43.23,137.09,0.01,26.91,25-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
25-Feb-2020 - 00:00,65.59,155.91,17.87,31.49,27.39,46.5,2.63,2.27,5.42,2.79,1.69,1.05,0.82,190.66,28.15,144.68,0.07,27.25,26-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
26-Feb-2020 - 00:00,79.93,172.37,25.46,28.71,57.16,85.63,0.51,1.88,5.47,3.11,1.46,1.71,0.61,196.86,30.83,146.99,0.01,27.4,27-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
27-Feb-2020 - 00:00,132.88,192.25,27.54,24.99,63.87,80.25,0.69,1.87,5.45,6.76,0.89,1.29,0.48,220.87,36.28,142.93,0.0,26.83,28-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
28-Feb-2020 - 00:00,135.32,192.36,25.74,33.82,66.17,72.34,0.82,2.0,5.35,5.75,1.88,1.93,0.48,236.27,49.97,141.17,0.03,25.67,29-Feb-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
29-Feb-2020 - 00:00,111.1,171.48,23.81,15.01,73.24,80.46,2.83,1.92,5.44,3.14,1.29,1.54,0.5,199.07,57.11,137.97,0.01,24.74,01-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
01-Mar-2020 - 00:00,87.66,145.54,20.31,21.01,62.67,66.27,0.49,1.78,5.48,1.93,0.87,0.99,0.46,211.09,63.04,136.64,0.0,24.49,02-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
02-Mar-2020 - 00:00,96.68,145.5,20.28,12.07,49.39,52.89,1.15,1.76,5.45,2.87,3.54,0.79,0.51,223.1,62.48,145.91,0.0,24.3,03-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
03-Mar-2020 - 00:00,68.49,123.5,23.72,9.45,63.57,63.1,2.93,1.56,5.43,1.69,2.53,0.62,0.55,214.46,66.54,143.98,0.0,24.2,04-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
04-Mar-2020 - 00:00,59.94,109.96,19.09,10.62,47.42,51.33,1.69,1.55,5.45,1.48,2.12,0.37,0.51,202.94,65.77,138.87,0.0,23.65,05-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
05-Mar-2020 - 00:00,56.99,111.92,16.46,12.39,44.97,49.53,0.67,1.52,5.46,1.47,2.4,0.52,0.51,209.09,69.61,135.29,0.0,23.71,06-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
06-Mar-2020 - 00:00,48.87,111.67,18.11,8.95,64.78,63.6,0.67,1.42,5.44,1.19,3.74,0.1,0.69,190.74,65.98,134.43,0.0,24.06,07-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
07-Mar-2020 - 00:00,63.42,133.29,17.07,25.93,54.1,63.7,1.17,1.46,5.42,2.17,2.49,0.58,0.46,195.11,52.78,153.24,0.01,23.74,08-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
08-Mar-2020 - 00:00,99.99,165.75,19.22,26.63,43.9,60.57,1.29,1.72,5.38,3.3,0.96,1.21,0.46,217.47,56.99,148.4,0.03,23.17,09-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
09-Mar-2020 - 00:00,93.44,154.17,19.46,15.11,51.7,61.63,1.29,1.59,5.36,1.93,2.86,0.47,0.57,197.76,60.56,153.31,0.06,23.87,10-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
10-Mar-2020 - 00:00,64.2,109.54,17.0,8.25,49.65,51.37,0.6,1.44,5.45,2.02,6.03,0.29,0.51,192.69,63.14,129.07,0.11,23.98,11-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
11-Mar-2020 - 00:00,33.78,70.79,16.5,13.55,45.78,50.15,0.38,1.36,5.46,1.62,7.76,0.21,0.56,185.05,62.59,155.59,0.21,23.33,12-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
12-Mar-2020 - 00:00,38.23,77.71,16.5,22.14,42.13,52.46,0.86,1.43,5.43,1.78,3.39,0.46,0.53,188.74,58.1,160.67,0.1,22.52,13-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
13-Mar-2020 - 00:00,77.59,147.0,17.32,29.12,39.47,65.7,1.8,1.57,5.39,4.03,3.51,1.81,0.63,196.76,53.34,163.3,0.19,22.48,14-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
14-Mar-2020 - 00:00,86.36,176.58,18.95,41.32,40.55,81.92,2.6,1.62,5.51,6.5,2.67,1.47,0.8,179.8,38.78,169.77,0.15,25.05,15-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
15-Mar-2020 - 00:00,65.32,143.83,24.26,49.85,28.23,76.28,2.83,1.69,4.78,7.2,9.49,0.67,0.79,188.28,26.79,160.07,0.17,27.56,16-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
16-Mar-2020 - 00:00,83.46,187.15,23.89,43.96,31.38,75.38,2.55,1.69,5.46,4.12,1.96,1.38,0.55,188.63,34.14,156.57,0.14,28.38,17-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
17-Mar-2020 - 00:00,129.32,211.34,25.94,43.75,42.2,73.5,1.86,1.92,5.36,3.78,3.27,1.96,0.46,186.13,45.17,143.96,0.18,27.91,18-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
18-Mar-2020 - 00:00,136.78,205.77,27.74,38.17,34.91,61.33,1.57,2.01,5.45,7.79,6.34,2.66,0.51,199.08,48.15,157.88,0.19,27.37,19-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
19-Mar-2020 - 00:00,72.37,116.38,19.75,21.51,19.01,40.57,0.43,1.42,5.43,2.1,5.59,0.58,0.55,206.65,49.65,171.96,0.2,26.16,20-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
20-Mar-2020 - 00:00,42.14,74.74,20.18,15.02,39.29,50.23,1.52,1.21,5.09,1.36,2.04,0.16,0.54,178.12,56.8,165.77,0.26,25.46,21-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
21-Mar-2020 - 00:00,44.69,80.56,17.91,10.62,33.37,39.31,0.78,1.22,8.82,1.58,0.44,0.48,0.56,195.21,64.83,161.29,0.09,25.31,22-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
22-Mar-2020 - 00:00,48.78,90.81,4.58,10.07,16.93,25.86,3.67,1.11,23.24,2.29,0.65,0.52,0.57,186.87,66.78,141.87,0.01,26.56,23-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
23-Mar-2020 - 00:00,73.69,114.32,0.97,25.22,15.81,39.02,4.7,1.13,29.56,1.76,0.14,0.22,0.57,187.05,58.71,159.85,0.02,28.39,24-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
24-Mar-2020 - 00:00,67.86,111.62,0.28,31.06,13.43,44.51,,1.2,30.15,1.99,0.15,0.23,0.54,183.65,50.42,147.75,0.02,29.19,25-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
25-Mar-2020 - 00:00,63.91,99.57,,1.51,9.34,9.35,,1.3,34.93,2.53,0.1,0.15,0.49,160.27,49.21,138.93,0.01,29.03,26-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
26-Mar-2020 - 00:00,51.02,76.54,,,7.88,0.65,0.42,1.39,29.02,2.05,0.05,0.03,0.51,173.6,58.79,134.92,0.02,28.39,27-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
27-Mar-2020 - 00:00,29.77,55.24,,,6.4,0.22,0.47,1.43,34.99,0.85,0.02,0.01,0.76,147.69,57.81,140.9,0.01,27.8,28-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
28-Mar-2020 - 00:00,39.86,60.24,,,6.22,0.25,0.47,1.5,42.47,1.32,0.04,0.07,0.8,159.86,52.1,164.82,0.01,28.12,29-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
29-Mar-2020 - 00:00,37.12,60.77,,,5.99,0.19,0.59,1.52,43.93,1.63,0.08,0.08,0.64,171.79,47.68,173.15,0.03,28.17,30-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
30-Mar-2020 - 00:00,40.97,60.27,,,5.89,0.09,0.63,1.59,44.24,1.59,0.12,0.09,0.47,185.33,46.95,174.71,0.01,28.31,31-Mar-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
31-Mar-2020 - 00:00,52.26,73.79,,,5.92,0.1,0.72,1.62,29.43,1.79,0.04,0.03,0.46,187.34,56.62,171.65,0.02,26.99,01-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
01-Apr-2020 - 00:00,50.65,77.78,,,6.06,0.1,0.69,1.69,26.61,2.2,0.02,0.02,0.49,185.53,60.31,177.51,0.03,27.43,02-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
02-Apr-2020 - 00:00,51.45,90.81,,0.72,6.6,3.24,0.84,1.73,31.39,1.46,0.1,0.1,0.61,179.27,55.31,173.92,0.0,28.66,03-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
03-Apr-2020 - 00:00,51.29,81.89,,,8.55,0.96,0.24,1.81,37.28,1.21,0.01,0.0,0.49,194.18,54.88,173.35,0.01,29.2,04-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
04-Apr-2020 - 00:00,62.73,88.48,32.4,6.46,11.78,6.69,3.42,1.93,37.35,1.93,0.05,0.04,0.47,205.69,55.71,196.87,0.01,29.0,05-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
05-Apr-2020 - 00:00,75.5,71.33,13.31,15.26,63.64,66.29,62.45,1.93,13.58,,,,0.2,308.45,66.25,75.33,0.04,25.32,06-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
06-Apr-2020 - 00:00,50.0,116.61,11.78,32.58,74.98,88.12,21.15,2.14,22.75,,,,0.25,294.11,79.76,18.9,0.0,23.03,07-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
07-Apr-2020 - 00:00,,50.15,2.4,19.78,57.26,66.19,17.65,2.46,15.4,,,,0.21,311.5,84.6,21.71,0.0,24.01,08-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
08-Apr-2020 - 00:00,39.0,53.39,15.63,30.11,50.2,135.87,75.89,2.18,14.02,,,,0.24,326.79,80.34,20.72,0.0,23.43,09-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
09-Apr-2020 - 00:00,114.0,84.81,15.05,15.27,119.05,105.48,58.01,2.26,12.36,,,,0.24,315.19,77.59,28.76,0.0,23.92,10-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
10-Apr-2020 - 00:00,,48.0,4.38,8.0,64.12,60.1,13.78,2.7,11.67,,,,0.17,263.61,83.49,48.19,0.0,24.35,11-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
11-Apr-2020 - 00:00,,48.0,18.6,4.4,101.17,84.83,25.35,2.77,14.8,,,,0.2,285.98,80.0,19.35,0.0,24.75,12-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
12-Apr-2020 - 00:00,,48.0,13.1,7.55,76.87,66.33,30.27,2.9,12.08,,,,0.25,284.38,73.45,19.13,0.0,25.05,13-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
13-Apr-2020 - 00:00,,48.0,21.7,5.75,156.65,132.27,50.28,2.85,13.28,,,,0.2,235.5,79.92,22.48,0.0,24.9,14-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
14-Apr-2020 - 00:00,,48.0,25.02,6.4,49.25,45.27,57.22,2.8,12.95,,,,0.2,318.43,82.6,19.45,0.0,25.05,15-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
15-Apr-2020 - 00:00,50.62,115.87,3.55,12.49,15.11,44.88,37.2,3.25,56.78,3.09,0.02,0.02,0.76,160.33,42.76,249.09,0.02,33.79,16-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
16-Apr-2020 - 00:00,43.56,68.84,0.8,6.67,4.44,10.97,,2.02,36.39,1.34,0.0,0.0,0.52,191.15,61.55,176.39,0.01,30.07,17-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
17-Apr-2020 - 00:00,39.53,64.61,0.5,13.68,8.37,22.11,2.59,0.55,23.28,0.71,0.03,0.01,0.54,192.33,66.22,178.08,0.01,29.44,18-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
18-Apr-2020 - 00:00,44.04,72.26,0.43,28.33,6.28,34.66,,0.54,30.31,1.07,0.01,0.01,0.54,182.29,60.41,181.49,0.0,30.51,19-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
19-Apr-2020 - 00:00,45.44,70.19,,21.43,9.06,30.53,,0.66,72.39,1.28,0.0,0.01,0.52,198.76,60.41,181.03,0.0,30.56,20-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
20-Apr-2020 - 00:00,48.57,76.73,3.77,7.69,7.96,15.49,0.1,0.56,46.22,2.36,0.03,0.04,0.47,190.08,49.53,205.03,0.01,31.43,21-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
21-Apr-2020 - 00:00,39.54,67.25,3.29,8.56,4.44,8.47,2.2,0.38,22.39,0.99,0.0,0.0,0.54,182.44,52.9,211.56,0.0,30.24,22-Apr-2020 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
