from date,BP,CH4,PM2.5,RH,SR,VWS,WD,WS,CO,NH3,NOx,NO,NO2,SO2,to date,station
19-May-2020 - 00:00,,744.57,49.0,0.42,244.31,-0.41,130.69,0.91,1.12,42.65,46.1,6.41,40.92,3.24,20-May-2020 - 00:00,"Manali, Chennai - CPCB"
20-May-2020 - 00:00,,733.46,46.52,0.4,161.71,-0.4,141.94,1.09,1.5,,35.94,5.06,31.4,2.67,21-May-2020 - 00:00,"Manali, Chennai - CPCB"
21-May-2020 - 00:00,,736.4,47.9,0.41,164.65,-0.37,97.59,1.29,1.57,,28.58,4.07,24.92,2.82,22-May-2020 - 00:00,"Manali, Chennai - CPCB"
22-May-2020 - 00:00,,729.42,50.11,,183.95,-0.39,83.67,1.19,1.35,,28.0,3.75,24.43,2.25,23-May-2020 - 00:00,"Manali, Chennai - CPCB"
23-May-2020 - 00:00,,732.75,39.51,,171.39,-0.38,63.56,1.26,1.1,,21.56,4.58,17.68,2.3,24-May-2020 - 00:00,"Manali, Chennai - CPCB"
24-May-2020 - 00:00,,737.8,45.3,,171.86,-0.37,39.86,1.36,2.22,,17.59,6.59,11.95,2.11,25-May-2020 - 00:00,"Manali, Chennai - CPCB"
25-May-2020 - 00:00,,736.8,54.08,,149.59,-0.38,46.53,1.25,1.65,,19.11,6.21,14.38,2.63,26-May-2020 - 00:00,"Manali, Chennai - CPCB"
26-May-2020 - 00:00,,737.75,55.21,,173.95,-0.38,40.71,1.19,1.61,,23.58,8.78,16.71,2.22,27-May-2020 - 00:00,"Manali, Chennai - CPCB"
27-May-2020 - 00:00,,731.27,37.51,,214.66,-0.36,56.97,1.37,1.83,,23.77,8.08,17.86,3.25,28-May-2020 - 00:00,"Manali, Chennai - CPCB"
28-May-2020 - 00:00,,720.74,58.24,,233.47,-0.35,73.05,1.52,2.1,,26.4,12.07,17.11,2.03,29-May-2020 - 00:00,"Manali, Chennai - CPCB"
29-May-2020 - 00:00,,727.37,60.12,,165.19,-0.38,75.93,1.21,1.72,,32.74,11.79,23.33,2.43,30-May-2020 - 00:00,"Manali, Chennai - CPCB"
30-May-2020 - 00:00,,725.53,69.67,,160.64,-0.37,61.1,1.39,1.64,44.5,24.92,8.01,18.2,2.76,31-May-2020 - 00:00,"Manali, Chennai - CPCB"
31-May-2020 - 00:00,,725.52,39.64,,171.64,-0.35,57.49,1.5,2.19,45.07,20.55,6.57,14.99,1.24,01-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
01-Jun-2020 - 00:00,,717.03,36.24,,37.59,-0.38,82.37,1.24,1.97,44.64,23.22,7.42,16.74,3.09,02-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
02-Jun-2020 - 00:00,,728.96,35.45,,141.78,-0.38,73.03,1.17,1.56,45.9,24.13,9.75,16.14,2.47,03-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
03-Jun-2020 - 00:00,,727.04,37.5,,179.85,-0.36,73.11,1.39,1.58,44.52,24.83,8.86,17.58,1.94,04-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
04-Jun-2020 - 00:00,,726.5,34.36,,186.5,-0.36,71.65,1.38,1.58,44.92,23.64,8.41,16.42,2.33,05-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
05-Jun-2020 - 00:00,,722.84,34.8,0.74,145.04,-0.38,78.64,1.21,1.71,45.66,24.36,9.56,16.56,2.14,06-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
06-Jun-2020 - 00:00,,732.34,42.26,,148.96,-0.39,93.59,1.11,1.96,44.54,26.94,6.68,21.52,2.39,07-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
07-Jun-2020 - 00:00,,737.03,36.91,,131.36,-0.41,120.65,0.89,1.74,44.14,29.54,6.32,24.01,2.8,08-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
08-Jun-2020 - 00:00,,734.39,37.01,,157.35,-0.41,148.32,0.95,1.81,45.88,37.93,14.06,28.51,2.51,09-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
09-Jun-2020 - 00:00,,732.12,39.24,,127.97,-0.42,133.14,0.94,1.85,42.41,46.48,11.04,38.06,2.27,10-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
10-Jun-2020 - 00:00,,712.23,52.54,,104.77,-0.44,137.96,0.75,1.87,47.33,42.37,14.34,33.38,1.99,11-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
11-Jun-2020 - 00:00,,731.04,45.31,,116.97,-0.42,170.88,0.83,2.62,42.55,38.32,11.76,27.54,3.63,12-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
12-Jun-2020 - 00:00,,742.32,45.89,,127.73,-0.41,126.08,0.98,2.2,43.78,30.71,5.91,25.62,3.22,13-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
13-Jun-2020 - 00:00,,721.12,40.27,,130.31,-0.39,106.47,1.17,1.35,45.69,23.61,4.46,19.99,2.42,14-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
14-Jun-2020 - 00:00,,715.6,37.75,,150.9,-0.39,137.89,1.12,1.72,44.32,24.84,6.79,19.5,1.87,15-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
15-Jun-2020 - 00:00,,730.6,28.48,,137.15,-0.39,148.67,1.14,2.1,44.61,23.53,5.97,18.69,2.33,16-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
16-Jun-2020 - 00:00,,692.28,49.39,63.76,126.83,-0.38,105.56,1.21,2.17,46.16,26.41,5.8,22.29,4.19,17-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
17-Jun-2020 - 00:00,949.1,667.87,61.73,59.96,137.85,-0.39,121.79,1.12,1.67,42.21,43.18,7.31,36.94,5.48,18-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
18-Jun-2020 - 00:00,,712.7,48.08,58.03,140.06,-0.4,118.31,1.04,2.11,42.23,44.04,4.9,39.55,3.69,19-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
19-Jun-2020 - 00:00,,709.2,53.33,58.79,140.21,-0.4,134.03,1.01,1.62,42.84,39.22,5.24,35.82,8.69,20-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
20-Jun-2020 - 00:00,,739.65,45.54,60.3,113.4,-0.42,175.11,0.85,2.1,42.0,45.76,8.65,38.76,4.42,21-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
21-Jun-2020 - 00:00,,752.18,41.95,67.9,129.73,-0.43,176.8,0.76,1.87,42.7,42.1,7.73,35.35,5.96,22-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
22-Jun-2020 - 00:00,,773.96,36.47,68.48,153.58,-0.41,154.58,0.95,2.08,44.89,22.09,5.59,17.16,8.42,23-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
23-Jun-2020 - 00:00,,770.86,40.6,65.12,195.28,-0.4,140.5,1.04,2.15,45.34,20.24,6.03,14.82,5.56,24-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
24-Jun-2020 - 00:00,,693.29,46.23,67.56,183.23,-0.41,97.92,0.94,1.84,44.59,25.21,5.55,20.32,4.41,25-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
25-Jun-2020 - 00:00,,759.82,39.07,73.88,112.43,-0.43,158.65,0.77,1.94,43.71,37.26,9.72,28.39,7.69,26-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
26-Jun-2020 - 00:00,,590.48,39.79,71.56,199.39,-0.41,87.02,0.9,2.1,45.37,18.8,4.21,15.92,4.77,27-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
27-Jun-2020 - 00:00,,584.95,32.15,70.73,214.97,-0.4,98.09,1.03,2.24,43.19,38.68,7.13,33.29,8.0,28-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
28-Jun-2020 - 00:00,,661.84,45.96,77.51,112.52,-0.42,128.19,0.84,1.27,47.38,23.17,5.14,19.14,6.11,29-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
29-Jun-2020 - 00:00,,623.56,47.84,74.59,147.81,-0.43,99.05,0.79,1.91,44.32,24.79,3.91,21.37,4.94,30-Jun-2020 - 00:00,"Manali, Chennai - CPCB"
30-Jun-2020 - 00:00,,722.42,50.2,75.09,158.04,-0.42,142.88,0.85,2.38,44.46,24.33,5.01,20.12,5.55,01-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
01-Jul-2020 - 00:00,,726.4,39.8,72.23,179.29,-0.45,134.97,0.63,2.04,44.33,25.33,4.13,21.75,4.4,02-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
02-Jul-2020 - 00:00,,739.98,23.58,79.9,161.12,-0.44,160.27,0.75,2.29,43.74,34.51,11.17,26.48,5.34,03-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
03-Jul-2020 - 00:00,,747.07,31.73,70.53,163.1,-0.4,150.31,1.07,2.36,44.3,29.58,8.17,23.18,3.81,04-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
04-Jul-2020 - 00:00,,681.63,32.46,76.53,122.64,-0.4,130.45,1.13,2.05,44.55,23.4,6.69,18.15,4.17,05-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
05-Jul-2020 - 00:00,,669.71,33.26,71.95,105.95,-0.42,131.12,0.92,2.48,44.39,24.3,4.53,20.42,4.73,06-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
06-Jul-2020 - 00:00,,698.23,33.12,71.65,103.16,-0.42,129.62,0.88,2.32,43.5,31.78,4.85,27.47,5.31,07-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
07-Jul-2020 - 00:00,,664.31,30.36,66.49,26.54,-0.41,118.14,0.92,1.89,45.45,20.63,3.61,17.82,3.89,08-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
08-Jul-2020 - 00:00,,723.44,37.38,72.66,56.16,-0.4,131.98,1.04,1.6,45.83,22.64,4.19,19.1,3.47,09-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
09-Jul-2020 - 00:00,,716.04,37.53,73.82,26.41,-0.43,102.24,0.72,1.4,44.04,26.8,4.3,23.09,3.86,10-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
10-Jul-2020 - 00:00,,732.42,34.84,80.98,149.72,-0.42,150.5,0.85,2.48,44.41,25.24,4.36,21.75,3.37,11-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
11-Jul-2020 - 00:00,,657.23,36.02,76.9,137.15,-0.4,121.31,1.03,1.41,48.82,25.33,4.94,22.79,2.29,12-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
12-Jul-2020 - 00:00,,760.07,29.37,72.6,149.58,-0.42,181.04,0.85,1.99,44.29,27.32,5.44,24.28,1.68,13-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
13-Jul-2020 - 00:00,975.2,620.49,38.89,78.41,173.84,-0.42,128.62,0.84,1.4,42.81,38.26,5.49,34.4,1.98,14-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
14-Jul-2020 - 00:00,997.0,338.22,55.97,78.29,198.98,-0.43,139.12,0.81,1.82,44.07,30.42,5.15,26.25,4.16,15-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
15-Jul-2020 - 00:00,997.38,321.53,60.93,74.8,134.4,-0.43,141.16,0.79,1.83,38.16,76.25,10.33,68.14,2.12,16-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
16-Jul-2020 - 00:00,998.73,334.75,50.15,77.76,133.97,-0.44,149.42,0.77,1.36,45.38,65.41,10.0,57.2,2.25,17-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
17-Jul-2020 - 00:00,998.34,317.07,54.69,73.9,164.46,-0.44,114.33,0.72,2.3,58.21,27.81,6.0,22.08,11.16,18-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
18-Jul-2020 - 00:00,999.58,322.64,42.91,75.02,133.37,-0.45,114.46,0.62,1.65,57.37,27.0,5.38,21.99,5.68,19-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
19-Jul-2020 - 00:00,999.59,371.42,39.53,85.3,143.34,-0.44,113.53,0.64,1.66,54.95,24.01,5.25,19.14,2.08,20-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
20-Jul-2020 - 00:00,998.64,323.06,28.33,75.04,159.76,-0.39,108.83,1.04,1.93,54.25,22.62,4.5,18.29,2.46,21-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
21-Jul-2020 - 00:00,999.55,334.94,43.89,77.76,98.28,-0.4,79.28,0.95,1.41,51.63,19.54,5.23,15.25,5.96,22-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
22-Jul-2020 - 00:00,999.35,323.37,37.64,75.24,163.56,-0.39,95.76,1.05,1.96,46.73,12.87,4.33,8.59,2.77,23-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
23-Jul-2020 - 00:00,999.4,316.25,44.43,73.68,160.12,-0.38,103.26,1.24,1.39,46.5,12.71,4.35,8.41,1.95,24-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
24-Jul-2020 - 00:00,999.54,324.06,54.75,75.42,139.48,-0.39,115.93,1.16,1.82,46.94,13.05,4.36,8.75,4.55,25-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
25-Jul-2020 - 00:00,,336.74,74.34,78.11,126.48,-0.43,186.95,0.84,1.7,48.66,15.53,4.52,11.09,1.87,26-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
26-Jul-2020 - 00:00,,311.88,59.56,72.89,111.94,-0.43,161.23,0.74,1.42,47.74,14.2,4.4,9.8,1.93,27-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
27-Jul-2020 - 00:00,999.07,296.92,88.47,69.8,125.48,-0.45,165.68,0.62,1.73,47.91,14.85,4.47,10.5,2.44,28-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
28-Jul-2020 - 00:00,999.27,311.4,64.13,72.62,141.67,-0.45,186.56,0.64,1.36,48.96,15.69,5.6,10.19,2.69,29-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
29-Jul-2020 - 00:00,998.73,411.83,33.44,93.93,130.7,-0.45,161.16,0.68,1.84,49.35,16.05,5.12,10.94,3.66,30-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
30-Jul-2020 - 00:00,998.88,351.84,35.81,81.16,150.06,-0.45,156.75,0.67,2.13,48.54,15.08,4.68,10.42,3.41,31-Jul-2020 - 00:00,"Manali, Chennai - CPCB"
31-Jul-2020 - 00:00,998.92,334.88,38.73,77.66,149.01,-0.41,107.73,0.99,1.92,47.7,14.06,4.41,9.66,3.11,01-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
01-Aug-2020 - 00:00,998.93,368.95,27.86,84.81,167.67,-0.42,158.17,0.88,1.59,47.44,14.39,4.31,10.34,3.92,02-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
02-Aug-2020 - 00:00,998.83,341.73,41.22,79.31,148.28,-0.43,164.19,0.79,1.21,47.12,14.28,4.46,10.55,2.39,03-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
03-Aug-2020 - 00:00,998.24,353.66,44.81,81.79,101.59,-0.43,148.27,0.81,1.59,48.58,15.17,4.72,10.47,15.41,04-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
04-Aug-2020 - 00:00,996.82,290.7,42.87,68.41,144.51,-0.41,149.35,0.99,1.76,49.37,16.24,4.75,11.55,3.59,05-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
05-Aug-2020 - 00:00,995.79,288.36,32.09,67.62,125.58,-0.41,133.91,0.98,1.14,48.21,17.31,4.46,13.42,4.7,06-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
06-Aug-2020 - 00:00,997.01,290.32,30.91,68.32,165.31,-0.38,115.78,1.28,1.21,49.06,16.3,4.81,11.93,2.43,07-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
07-Aug-2020 - 00:00,998.68,303.92,45.9,71.25,129.67,-0.42,111.14,0.83,2.31,48.68,15.58,4.48,11.24,3.04,08-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
08-Aug-2020 - 00:00,998.98,301.73,44.99,70.75,181.28,-0.44,160.09,0.7,2.34,48.85,16.22,5.08,11.49,3.16,09-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
09-Aug-2020 - 00:00,998.73,365.55,28.71,84.32,217.1,-0.41,136.69,1.05,1.71,47.16,13.45,4.45,9.02,2.69,10-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
10-Aug-2020 - 00:00,998.93,335.95,19.12,78.09,118.08,-0.43,152.47,0.79,2.12,48.18,14.7,4.54,10.19,2.83,11-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
11-Aug-2020 - 00:00,999.53,322.84,48.4,75.23,119.87,-0.43,137.35,0.83,1.1,48.76,15.21,5.11,10.46,3.01,12-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
12-Aug-2020 - 00:00,999.68,356.37,61.61,82.36,150.74,-0.45,140.98,0.61,1.85,48.33,14.95,4.64,10.37,3.75,13-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
13-Aug-2020 - 00:00,999.11,314.21,59.84,73.42,165.56,-0.45,171.18,0.68,1.41,48.78,15.68,5.05,10.9,4.37,14-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
14-Aug-2020 - 00:00,998.73,324.28,45.56,75.59,171.59,-0.45,143.75,0.66,1.6,48.26,14.61,4.97,9.66,4.63,15-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
15-Aug-2020 - 00:00,998.96,305.68,37.38,71.69,111.82,-0.44,138.69,0.77,1.52,48.78,15.51,4.7,10.82,3.29,16-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
16-Aug-2020 - 00:00,999.39,313.64,43.89,73.34,118.83,-0.45,155.99,0.6,1.47,47.17,13.46,4.6,8.89,3.68,17-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
17-Aug-2020 - 00:00,998.85,307.36,36.75,71.93,160.72,-0.45,130.37,0.58,1.08,48.65,17.37,4.7,13.44,4.17,18-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
18-Aug-2020 - 00:00,998.94,332.69,32.98,77.3,179.56,-0.45,141.3,0.69,1.2,49.43,16.2,4.97,11.24,4.3,19-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
19-Aug-2020 - 00:00,998.41,315.18,42.37,73.6,208.23,-0.44,138.4,0.66,1.32,49.44,16.41,4.56,11.85,3.9,20-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
20-Aug-2020 - 00:00,998.43,321.38,26.25,74.28,211.73,-0.44,132.63,0.69,1.13,49.06,15.93,4.72,11.25,4.25,21-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
21-Aug-2020 - 00:00,999.42,329.56,17.62,76.58,164.41,-0.41,97.02,0.89,1.33,47.93,14.56,4.33,10.26,3.85,22-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
22-Aug-2020 - 00:00,999.96,349.93,41.81,80.88,158.79,-0.4,90.75,1.01,1.54,46.98,13.23,4.18,9.06,5.58,23-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
23-Aug-2020 - 00:00,999.81,364.63,23.9,84.09,96.44,-0.42,118.61,0.87,1.81,46.71,12.96,4.21,8.75,5.32,24-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
24-Aug-2020 - 00:00,,358.96,11.66,82.91,182.09,-0.43,105.16,0.79,1.62,47.73,14.0,4.51,9.54,11.29,25-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
25-Aug-2020 - 00:00,,369.54,55.44,85.15,154.22,-0.45,182.05,0.66,1.38,49.42,16.14,4.75,11.39,4.37,26-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
26-Aug-2020 - 00:00,999.62,348.83,62.7,80.84,202.33,-0.45,149.5,0.61,1.52,50.06,17.55,4.23,13.41,6.03,27-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
27-Aug-2020 - 00:00,999.2,333.29,57.27,77.37,223.62,-0.44,145.51,0.72,1.56,49.63,16.84,4.28,12.58,4.94,28-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
28-Aug-2020 - 00:00,999.47,365.52,44.42,84.06,157.67,-0.44,100.62,0.65,1.22,48.38,16.11,4.08,12.75,9.31,29-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
29-Aug-2020 - 00:00,999.26,353.79,43.09,81.68,93.28,-0.42,100.49,0.83,0.93,47.71,14.4,4.2,10.19,14.86,30-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
30-Aug-2020 - 00:00,999.44,353.42,42.42,81.57,149.43,-0.44,191.49,0.72,1.33,49.35,16.48,4.32,12.2,11.82,31-Aug-2020 - 00:00,"Manali, Chennai - CPCB"
31-Aug-2020 - 00:00,998.93,298.2,25.92,69.94,159.22,-0.44,235.18,0.77,1.55,49.99,17.07,4.85,12.23,14.45,01-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
01-Sep-2020 - 00:00,999.62,316.46,57.95,74.17,90.68,-0.45,200.41,0.64,1.81,48.11,14.74,4.42,10.32,8.71,02-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
02-Sep-2020 - 00:00,999.48,330.47,31.8,76.69,102.48,-0.46,191.97,0.61,0.79,48.86,16.0,4.46,11.65,11.67,03-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
03-Sep-2020 - 00:00,999.9,346.56,49.71,80.09,180.36,-0.45,203.12,0.58,1.05,49.17,16.06,4.44,11.62,16.16,04-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
04-Sep-2020 - 00:00,999.55,352.94,62.22,81.49,132.05,-0.46,158.74,0.56,0.99,59.67,29.58,6.1,23.9,23.52,05-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
05-Sep-2020 - 00:00,999.77,351.36,28.37,81.12,142.64,-0.46,170.36,0.59,1.08,64.58,35.11,8.23,27.34,9.68,06-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
06-Sep-2020 - 00:00,999.82,362.27,19.21,83.48,120.78,-0.45,135.83,0.62,1.16,58.5,29.41,5.72,25.28,9.74,07-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
07-Sep-2020 - 00:00,999.77,357.57,12.99,82.5,160.58,-0.45,160.67,0.64,1.05,65.9,36.47,8.71,28.31,15.4,08-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
08-Sep-2020 - 00:00,999.28,322.32,20.93,75.11,209.38,-0.45,122.53,0.6,1.04,58.42,28.7,5.21,24.94,19.68,09-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
09-Sep-2020 - 00:00,999.17,356.41,8.36,82.39,156.29,-0.43,120.53,0.81,1.34,61.9,30.7,5.24,26.59,34.94,10-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
10-Sep-2020 - 00:00,998.57,341.26,53.71,79.18,188.94,-0.42,128.81,0.86,0.91,57.38,26.43,4.68,24.75,16.74,11-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
11-Sep-2020 - 00:00,998.78,292.86,55.81,68.83,140.02,-0.43,138.89,0.8,0.99,62.64,31.21,4.99,27.29,6.89,12-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
12-Sep-2020 - 00:00,999.77,305.62,28.51,71.41,189.57,-0.42,147.3,0.87,0.88,62.99,33.2,4.52,29.9,5.38,13-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
13-Sep-2020 - 00:00,999.81,390.44,25.28,89.42,226.01,-0.44,152.09,0.76,0.92,61.83,29.81,5.97,24.71,11.62,14-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
14-Sep-2020 - 00:00,999.28,364.85,35.79,84.1,137.24,-0.44,169.33,0.78,0.94,59.87,27.59,7.8,21.0,15.97,15-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
15-Sep-2020 - 00:00,999.05,365.61,37.06,84.32,195.26,-0.45,136.03,0.63,1.03,70.39,37.57,12.68,25.81,29.82,16-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
16-Sep-2020 - 00:00,999.02,355.32,39.68,82.1,200.81,-0.46,135.95,0.57,1.05,62.19,31.2,4.51,27.81,33.28,17-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
17-Sep-2020 - 00:00,999.14,336.27,43.06,78.02,183.41,-0.44,137.05,0.75,0.98,64.41,32.63,6.23,27.08,24.58,18-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
18-Sep-2020 - 00:00,998.36,321.83,48.69,75.04,141.07,-0.44,144.85,0.75,0.92,66.11,34.2,9.26,26.07,25.3,19-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
19-Sep-2020 - 00:00,998.1,393.57,33.74,90.11,150.12,-0.46,172.58,0.56,1.05,59.2,25.84,6.52,20.61,7.91,20-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
20-Sep-2020 - 00:00,997.81,334.38,37.26,77.63,127.64,-0.4,148.96,1.09,1.06,47.35,10.73,3.33,7.42,15.21,21-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
21-Sep-2020 - 00:00,998.21,301.31,60.43,70.62,162.98,-0.43,128.57,0.86,0.89,51.04,15.5,4.21,11.46,24.27,22-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
22-Sep-2020 - 00:00,998.42,296.27,58.44,69.57,279.75,-0.4,127.98,1.15,0.61,51.88,17.0,4.46,12.67,39.24,23-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
23-Sep-2020 - 00:00,999.28,292.59,63.08,68.81,50.42,-0.43,130.18,0.75,0.89,49.73,14.02,3.4,10.65,19.06,24-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
24-Sep-2020 - 00:00,999.79,301.74,53.41,70.71,54.86,-0.43,107.31,0.72,0.88,49.55,13.51,4.17,9.53,15.63,25-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
25-Sep-2020 - 00:00,999.55,355.74,31.79,82.08,27.52,-0.41,122.42,0.95,0.75,48.32,11.98,3.18,8.88,15.81,26-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
26-Sep-2020 - 00:00,949.94,352.73,34.44,81.51,188.69,-0.46,151.02,0.59,0.95,62.71,28.19,4.57,25.36,24.56,27-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
27-Sep-2020 - 00:00,1000.0,355.34,53.81,82.04,267.25,-0.47,197.21,0.51,1.42,64.08,33.14,5.14,29.0,22.95,28-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
28-Sep-2020 - 00:00,999.36,321.09,67.91,74.8,256.77,-0.45,178.36,0.69,1.08,63.14,31.66,4.44,28.64,28.9,29-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
29-Sep-2020 - 00:00,998.96,354.22,52.99,81.82,42.48,-0.44,182.26,0.67,0.43,60.9,31.41,4.72,29.34,16.27,30-Sep-2020 - 00:00,"Manali, Chennai - CPCB"
30-Sep-2020 - 00:00,999.03,369.19,44.06,85.16,29.44,-0.45,182.54,0.63,1.34,63.6,31.5,5.62,26.99,8.66,01-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
01-Oct-2020 - 00:00,998.52,321.01,48.54,74.87,37.55,-0.46,183.46,0.51,1.12,74.87,46.43,7.41,40.22,23.49,02-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
02-Oct-2020 - 00:00,999.16,309.83,11.21,72.4,40.85,-0.45,152.93,0.63,0.71,68.71,39.43,4.24,36.53,20.67,03-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
03-Oct-2020 - 00:00,998.95,302.96,18.52,71.01,29.09,-0.44,164.25,0.72,0.84,60.79,29.05,4.49,25.9,34.53,04-Oct-2020 - 00:00,"Manali, Chennai - CPCB"
