from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,AT,WS,WD,RH,BP,SR,RF,to date,station
18-Feb-2020 - 00:00,50.91,159.29,58.47,28.74,54.47,9.23,7.68,1.13,34.56,22.34,1.14,176.34,45.25,720.11,142.91,0.0,19-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
19-Feb-2020 - 00:00,29.56,108.31,47.62,4.83,29.26,7.75,7.88,0.86,38.37,23.49,1.34,160.93,40.19,718.91,141.61,0.0,20-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
20-Feb-2020 - 00:00,42.22,122.85,37.56,2.02,21.61,12.3,16.7,0.61,56.68,24.73,2.03,173.73,51.03,717.96,145.03,0.0,21-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
21-Feb-2020 - 00:00,52.97,115.84,30.99,1.26,17.51,15.38,18.03,0.5,65.14,25.89,2.51,174.61,63.17,719.46,139.97,0.0,22-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
22-Feb-2020 - 00:00,69.1,152.81,43.19,3.53,25.84,18.07,10.24,0.81,36.95,25.97,1.1,160.18,68.06,721.02,146.3,0.0,23-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
23-Feb-2020 - 00:00,90.51,148.96,34.46,2.21,20.13,21.74,6.89,0.83,47.57,24.95,1.32,124.74,70.62,719.66,136.17,0.0,24-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
24-Feb-2020 - 00:00,90.28,169.25,42.34,4.6,26.25,16.69,3.38,1.07,54.18,23.98,1.01,119.67,66.83,717.25,140.94,0.0,25-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
25-Feb-2020 - 00:00,55.66,121.07,40.87,4.93,25.74,11.24,4.45,0.85,52.29,23.22,1.01,142.23,57.26,717.28,154.05,0.0,26-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
26-Feb-2020 - 00:00,55.08,161.69,55.35,18.61,44.57,8.98,10.76,1.17,39.78,23.2,0.98,168.51,52.09,718.75,145.39,0.0,27-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
27-Feb-2020 - 00:00,60.72,172.57,59.44,14.37,43.3,9.93,11.1,1.23,35.99,24.22,0.84,159.32,50.21,718.81,144.94,0.0,28-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
28-Feb-2020 - 00:00,55.31,169.28,56.63,14.4,41.83,9.79,12.9,1.25,37.43,25.2,0.97,152.91,47.45,717.19,147.14,0.0,29-Feb-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
29-Feb-2020 - 00:00,53.78,160.48,51.18,5.18,31.44,10.99,15.27,0.96,48.13,25.82,1.18,163.02,51.11,716.07,130.91,0.0,01-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
01-Mar-2020 - 00:00,46.1,117.2,34.44,1.77,19.76,11.78,12.91,0.67,60.65,25.76,1.61,133.96,56.84,716.54,140.89,0.06,02-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
02-Mar-2020 - 00:00,38.72,79.79,39.35,2.31,22.81,11.59,10.04,0.75,50.2,25.3,1.55,172.44,62.62,716.27,141.73,0.01,03-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
03-Mar-2020 - 00:00,51.44,136.25,50.45,10.09,35.03,10.59,7.16,1.04,34.49,27.01,1.15,195.52,52.24,714.43,151.75,0.0,04-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
04-Mar-2020 - 00:00,45.71,135.47,53.0,12.74,38.55,8.8,8.91,1.18,32.53,26.5,1.02,193.54,46.39,713.94,146.22,0.0,05-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
05-Mar-2020 - 00:00,50.93,147.89,53.49,11.92,38.14,11.32,9.64,1.17,34.01,25.69,0.94,173.97,51.65,713.54,150.78,0.0,06-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
06-Mar-2020 - 00:00,54.91,157.92,47.74,6.21,30.44,10.5,10.52,0.85,33.29,25.22,1.52,190.44,54.22,713.26,138.91,0.0,07-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
07-Mar-2020 - 00:00,41.49,154.25,39.07,4.03,24.07,7.0,8.43,0.73,40.83,25.78,1.15,163.04,48.49,716.77,151.85,0.0,08-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
08-Mar-2020 - 00:00,36.03,114.04,31.84,2.34,18.84,9.59,7.26,0.62,52.0,25.1,1.29,105.86,50.78,718.47,147.98,0.0,09-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
09-Mar-2020 - 00:00,29.72,100.26,43.17,4.42,26.56,7.32,6.61,0.81,45.9,24.75,1.11,141.91,44.08,717.38,146.23,0.0,10-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
10-Mar-2020 - 00:00,49.82,96.64,35.9,1.32,20.17,12.75,10.36,0.73,40.19,23.87,1.03,162.25,56.79,715.55,113.58,0.01,11-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
11-Mar-2020 - 00:00,28.58,55.65,27.09,1.19,15.37,10.39,14.0,0.41,44.4,25.33,1.63,175.55,67.11,714.48,145.62,0.02,12-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
12-Mar-2020 - 00:00,33.97,107.92,40.29,5.41,25.83,8.51,5.42,0.7,40.54,27.82,0.88,187.59,50.93,716.48,147.94,0.0,13-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
13-Mar-2020 - 00:00,26.43,97.64,38.02,4.71,24.06,8.69,6.26,0.49,36.9,26.72,1.27,186.94,51.08,717.25,149.75,0.0,14-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
14-Mar-2020 - 00:00,33.22,92.78,36.75,4.87,23.51,9.96,6.77,0.82,41.15,26.1,1.04,137.74,57.55,716.9,170.31,0.01,15-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
15-Mar-2020 - 00:00,40.67,116.28,37.89,5.1,24.29,10.29,7.27,0.75,43.88,24.57,1.0,117.4,59.52,718.21,162.38,0.0,16-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
16-Mar-2020 - 00:00,38.6,128.69,42.25,5.07,26.59,7.72,6.15,0.89,54.2,25.46,1.1,149.91,49.96,718.96,156.7,0.0,17-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
17-Mar-2020 - 00:00,34.6,122.67,33.85,2.0,19.63,9.0,7.75,0.71,69.78,26.68,1.24,111.39,44.54,719.44,161.04,0.0,18-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
18-Mar-2020 - 00:00,36.73,111.17,39.48,2.34,22.9,10.12,9.33,0.76,74.38,27.17,1.08,153.1,47.67,718.21,160.86,0.0,19-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
19-Mar-2020 - 00:00,42.38,96.08,45.5,3.9,27.38,12.01,7.49,0.79,37.71,23.36,1.08,147.18,71.01,716.29,131.62,0.26,20-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
20-Mar-2020 - 00:00,29.75,68.29,36.36,2.51,21.38,9.48,7.0,0.51,51.2,26.15,1.66,172.11,56.92,715.38,168.67,0.0,21-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
21-Mar-2020 - 00:00,28.43,86.65,32.51,2.1,19.0,6.45,7.55,0.44,64.23,27.81,1.19,196.62,42.52,714.86,169.26,0.0,22-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
22-Mar-2020 - 00:00,44.15,91.21,29.7,1.88,17.33,10.04,5.13,0.51,50.74,27.91,0.83,169.4,47.43,716.01,169.11,0.0,23-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
23-Mar-2020 - 00:00,33.27,78.28,25.76,1.02,14.53,9.68,6.6,0.49,53.96,29.31,0.98,167.74,44.0,715.33,165.88,0.0,24-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
24-Mar-2020 - 00:00,36.99,81.01,20.5,0.85,11.6,10.35,7.3,0.39,64.71,30.45,1.13,162.97,43.84,714.15,166.01,0.0,25-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
25-Mar-2020 - 00:00,30.18,76.7,20.61,0.93,11.71,10.26,7.98,0.33,61.78,30.73,1.06,144.67,43.57,714.54,164.49,0.0,26-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
26-Mar-2020 - 00:00,23.65,42.5,22.61,1.02,12.86,11.55,6.54,0.29,57.31,29.46,1.03,173.69,53.61,715.71,170.72,0.0,27-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
27-Mar-2020 - 00:00,31.11,59.5,21.34,0.95,12.12,11.74,5.87,0.27,49.99,27.89,1.27,132.59,60.61,716.89,150.45,0.14,28-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
28-Mar-2020 - 00:00,27.24,50.65,23.2,1.15,13.28,10.31,5.37,0.31,42.93,27.91,1.02,107.9,55.31,716.92,169.31,0.01,29-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
29-Mar-2020 - 00:00,23.92,49.81,21.19,0.94,12.03,9.88,6.24,0.31,56.96,30.05,1.08,125.04,42.31,715.46,159.21,0.0,30-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
30-Mar-2020 - 00:00,22.24,53.26,19.78,0.96,11.3,8.71,6.37,0.31,66.0,31.42,1.05,145.96,34.49,715.57,158.08,0.0,31-Mar-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
31-Mar-2020 - 00:00,17.53,43.73,18.01,0.87,10.29,9.08,6.76,0.28,70.33,31.09,1.55,184.93,38.84,714.82,157.3,0.0,01-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
01-Apr-2020 - 00:00,20.91,53.79,16.83,1.01,9.78,6.96,7.33,0.35,70.84,32.04,1.57,222.25,34.92,713.73,155.58,0.0,02-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
02-Apr-2020 - 00:00,38.4,105.16,20.54,1.0,11.74,7.81,7.38,0.4,59.27,32.01,1.04,158.35,30.09,713.43,157.61,0.0,03-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
03-Apr-2020 - 00:00,21.47,67.48,18.55,1.06,10.73,7.53,4.88,0.43,66.12,31.23,1.05,127.79,27.02,715.12,156.28,0.0,04-Apr-2020 - 00:00,"Marhatal, Jabalpur - MPPCB"
