from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,AT,WS,WD,RH,BP,SR,RF,to date,station
22-Jan-2020 - 00:00,139.03,228.24,34.52,48.82,37.47,46.14,33.03,0.56,72.16,15.56,0.71,202.89,77.55,747.16,298.32,0.0,23-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
23-Jan-2020 - 00:00,80.19,138.79,24.43,26.69,16.86,34.41,28.66,0.4,73.93,14.63,1.08,243.19,69.06,746.93,341.74,0.0,24-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
24-Jan-2020 - 00:00,67.7,125.6,25.34,29.92,20.23,31.54,29.41,0.33,80.39,14.17,0.89,219.84,65.94,744.69,343.98,0.0,25-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
25-Jan-2020 - 00:00,98.25,167.57,28.91,34.54,23.55,31.59,27.25,0.38,65.89,13.93,0.54,173.41,73.4,744.16,332.38,0.0,26-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
26-Jan-2020 - 00:00,114.69,177.69,32.96,30.26,15.65,32.26,29.23,0.43,74.67,15.73,0.54,185.44,72.7,742.49,331.44,0.0,27-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
27-Jan-2020 - 00:00,64.9,116.28,21.3,10.67,1.35,19.5,27.08,0.41,83.79,17.58,0.55,150.29,72.74,739.54,313.89,0.0,28-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
28-Jan-2020 - 00:00,59.17,119.77,19.09,11.27,1.87,26.15,33.98,0.46,73.33,18.22,0.69,180.29,76.99,737.7,318.97,0.0,29-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
29-Jan-2020 - 00:00,99.17,143.45,,,,,29.52,0.39,68.46,17.01,1.15,216.38,81.94,743.45,318.68,0.0,30-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
30-Jan-2020 - 00:00,72.9,129.04,,,,,26.93,0.4,66.81,14.98,0.96,214.24,74.04,745.22,345.84,0.0,31-Jan-2020 - 00:00,"City Center, Gwalior - MPPCB"
31-Jan-2020 - 00:00,72.75,125.27,,,,,31.11,0.46,72.61,14.29,0.53,168.48,73.51,743.1,336.17,0.0,01-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
01-Feb-2020 - 00:00,22.28,114.01,,,,,32.68,0.58,87.21,15.69,0.65,188.95,67.64,744.82,417.91,0.0,02-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
02-Feb-2020 - 00:00,72.7,135.72,,,,,29.52,0.54,94.74,16.1,0.74,185.67,65.22,746.96,349.76,0.0,03-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
03-Feb-2020 - 00:00,91.59,159.61,,,,,29.91,0.63,73.7,13.95,0.49,160.2,72.1,746.21,339.46,0.0,04-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
04-Feb-2020 - 00:00,89.9,149.89,37.47,51.33,38.63,34.12,27.01,0.56,72.6,15.45,0.5,148.43,73.67,744.11,344.34,0.07,05-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
05-Feb-2020 - 00:00,128.94,203.84,36.19,44.78,31.4,30.71,18.4,0.64,75.82,17.31,0.52,174.71,73.0,744.45,339.74,0.0,06-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
06-Feb-2020 - 00:00,108.66,170.07,31.48,26.82,12.39,27.2,19.27,0.41,68.1,17.08,0.52,150.46,73.35,744.06,341.14,0.0,07-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
07-Feb-2020 - 00:00,107.08,176.19,35.5,39.48,25.32,28.3,19.99,0.46,78.55,17.44,0.52,145.93,75.41,745.86,320.56,0.0,08-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
08-Feb-2020 - 00:00,124.45,193.05,39.27,39.15,22.47,28.21,19.11,0.52,68.77,16.25,0.7,188.78,73.71,748.41,349.33,0.0,09-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
09-Feb-2020 - 00:00,144.02,224.44,37.61,40.5,25.21,26.97,19.53,0.45,73.65,15.91,0.5,163.07,75.38,748.94,342.12,0.0,10-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
10-Feb-2020 - 00:00,136.51,234.4,43.88,55.24,39.24,26.55,19.34,0.45,69.41,16.36,0.51,160.76,70.34,747.08,347.03,0.02,11-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
11-Feb-2020 - 00:00,98.8,179.05,40.05,41.92,25.37,22.57,20.15,0.32,73.82,17.17,0.52,159.7,69.74,746.95,346.18,0.0,12-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
12-Feb-2020 - 00:00,100.17,183.69,41.5,46.16,29.63,24.03,19.99,0.4,71.72,18.34,0.7,215.49,69.7,746.83,347.2,0.0,13-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
13-Feb-2020 - 00:00,77.15,149.69,44.23,35.97,15.32,23.16,19.69,0.32,79.45,22.04,1.08,253.76,58.55,743.72,347.26,0.0,14-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
14-Feb-2020 - 00:00,46.7,138.95,31.16,25.99,11.58,18.04,19.92,0.36,105.26,22.1,1.31,250.98,50.55,741.29,273.6,0.0,15-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
15-Feb-2020 - 00:00,42.96,123.78,35.39,33.69,18.27,16.42,19.62,0.28,76.86,20.55,0.84,229.16,54.89,741.86,357.57,0.0,16-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
16-Feb-2020 - 00:00,63.43,146.44,37.23,34.27,17.79,18.81,19.85,0.37,72.51,19.83,0.64,169.61,60.91,744.33,353.7,0.0,17-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
17-Feb-2020 - 00:00,80.35,179.7,42.89,39.83,20.94,20.79,19.84,0.26,76.52,20.34,0.57,190.22,64.27,745.23,350.29,0.0,18-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
18-Feb-2020 - 00:00,67.81,159.88,40.14,37.44,19.79,19.29,19.49,0.34,71.15,20.91,0.74,207.73,57.46,743.0,354.29,0.0,19-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
19-Feb-2020 - 00:00,59.45,129.26,29.98,21.53,6.87,15.98,19.49,0.32,78.29,21.75,0.59,160.18,60.73,741.32,345.96,0.0,20-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
20-Feb-2020 - 00:00,39.54,96.49,18.68,11.83,2.33,17.17,18.66,0.34,107.66,23.9,0.67,128.91,64.01,739.91,286.74,0.0,21-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
21-Feb-2020 - 00:00,69.01,116.8,16.85,10.65,2.08,26.68,25.77,0.52,100.14,23.36,1.0,197.54,70.07,742.38,326.36,0.0,22-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
22-Feb-2020 - 00:00,92.72,143.49,26.07,27.29,16.51,25.34,20.0,0.29,48.24,20.04,0.74,217.48,83.01,746.94,285.92,0.0,23-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
23-Feb-2020 - 00:00,88.99,149.02,31.33,33.6,20.83,24.02,20.96,0.35,51.89,21.3,0.52,178.75,79.27,745.01,326.06,0.0,24-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
24-Feb-2020 - 00:00,85.09,147.83,32.95,23.22,6.99,20.45,21.5,0.62,63.38,21.77,0.7,206.62,75.59,742.0,343.38,0.0,25-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
25-Feb-2020 - 00:00,83.34,151.5,35.86,25.91,8.4,21.45,24.28,0.91,70.96,21.41,0.7,200.65,74.05,741.4,348.5,0.0,26-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
26-Feb-2020 - 00:00,73.31,150.57,36.73,26.17,8.15,17.06,22.94,0.87,75.51,22.63,0.6,180.73,68.77,741.91,346.2,0.0,27-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
27-Feb-2020 - 00:00,44.36,101.3,24.57,15.33,2.78,15.48,23.98,0.59,96.62,23.98,0.59,143.69,67.91,742.08,335.33,0.0,28-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
28-Feb-2020 - 00:00,42.74,90.99,17.5,10.75,1.78,15.72,17.0,0.58,107.31,24.83,0.78,142.04,64.71,740.76,337.29,0.0,29-Feb-2020 - 00:00,"City Center, Gwalior - MPPCB"
29-Feb-2020 - 00:00,36.26,92.56,13.72,8.22,1.14,17.99,15.52,0.46,96.94,25.46,0.93,139.86,65.49,739.25,327.98,0.0,01-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
01-Mar-2020 - 00:00,21.11,36.63,12.79,7.67,1.07,17.78,14.69,0.51,84.31,23.91,0.88,144.74,72.4,740.57,308.74,0.0,02-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
02-Mar-2020 - 00:00,36.42,80.48,17.28,11.48,2.81,22.43,16.93,0.63,65.8,25.27,0.52,150.92,72.68,739.94,315.05,0.0,03-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
03-Mar-2020 - 00:00,42.3,92.94,21.57,13.84,2.91,25.28,16.47,0.66,61.07,25.52,0.55,150.82,69.9,738.59,329.65,0.0,04-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
04-Mar-2020 - 00:00,39.26,77.37,16.99,10.72,2.08,21.02,21.21,0.73,54.74,21.49,0.63,143.89,82.72,738.44,259.43,0.0,05-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
05-Mar-2020 - 00:00,36.0,73.2,12.88,7.86,1.25,23.86,22.16,0.48,68.24,22.98,0.89,125.72,76.26,738.05,341.69,0.0,06-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
06-Mar-2020 - 00:00,43.12,79.85,12.44,7.75,1.39,20.23,27.7,0.51,60.07,23.32,0.9,154.33,76.98,736.33,338.85,0.0,07-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
07-Mar-2020 - 00:00,30.88,69.49,12.13,7.47,1.25,15.62,25.52,0.4,70.3,22.11,0.83,168.15,73.73,741.51,343.15,0.0,08-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
08-Mar-2020 - 00:00,34.82,91.91,23.61,19.79,8.9,18.7,23.08,0.57,56.86,21.53,0.78,211.22,69.88,743.88,361.81,0.0,09-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
09-Mar-2020 - 00:00,48.57,120.57,30.36,23.09,8.53,19.67,23.51,0.62,55.11,21.78,0.93,215.83,61.77,741.43,361.32,0.0,10-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
10-Mar-2020 - 00:00,67.31,107.68,17.83,12.02,3.12,24.16,21.33,0.63,50.78,20.27,0.55,148.46,72.85,740.31,291.09,0.0,11-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
11-Mar-2020 - 00:00,30.27,66.35,8.14,5.46,1.39,17.45,22.52,0.36,78.95,24.64,0.86,148.45,66.35,737.47,354.69,0.0,12-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
12-Mar-2020 - 00:00,27.05,96.96,16.45,11.08,2.86,15.75,24.71,0.34,72.51,25.45,0.76,169.85,54.64,739.62,356.3,0.0,13-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
13-Mar-2020 - 00:00,22.39,95.72,15.69,9.56,1.49,12.34,21.0,0.41,73.29,24.93,0.84,204.48,49.62,741.17,357.65,0.0,14-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
14-Mar-2020 - 00:00,27.24,74.1,10.15,6.36,1.18,15.71,23.39,0.49,71.23,24.03,0.95,184.11,71.45,741.67,354.18,0.0,15-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
15-Mar-2020 - 00:00,42.24,119.35,17.02,10.03,1.19,16.4,22.16,0.49,73.89,22.68,0.77,194.22,64.59,743.38,356.16,0.0,16-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
16-Mar-2020 - 00:00,54.01,137.66,29.87,24.65,10.79,20.57,24.04,0.71,66.22,21.97,0.63,167.68,65.78,744.2,365.42,0.0,17-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
17-Mar-2020 - 00:00,73.4,193.27,33.01,31.1,16.65,20.11,25.74,0.95,66.25,22.66,0.62,175.15,65.25,744.24,357.78,0.0,18-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
18-Mar-2020 - 00:00,59.12,176.8,33.89,28.29,12.64,21.09,25.02,0.79,72.04,24.65,0.61,168.5,61.73,742.56,348.71,0.0,19-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
19-Mar-2020 - 00:00,44.27,157.98,29.71,23.83,9.87,18.41,24.53,0.65,66.83,26.23,0.64,160.07,56.92,739.02,335.89,0.0,20-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
20-Mar-2020 - 00:00,27.01,106.44,13.91,8.37,1.2,15.64,26.57,0.33,84.99,27.81,0.89,184.79,47.61,737.57,325.32,0.0,21-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
21-Mar-2020 - 00:00,24.71,58.9,18.41,16.37,8.08,21.71,24.85,0.54,82.34,27.05,0.94,225.17,60.52,738.58,347.79,0.0,22-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
22-Mar-2020 - 00:00,31.48,69.93,16.02,10.87,2.89,18.85,25.53,0.42,66.78,27.57,0.72,182.81,57.72,739.67,348.68,0.0,23-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
23-Mar-2020 - 00:00,43.16,89.79,16.15,10.04,1.78,20.89,23.54,0.52,63.26,27.29,0.49,121.84,60.85,739.53,316.69,0.0,24-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
24-Mar-2020 - 00:00,41.5,98.39,9.53,6.01,1.16,18.62,24.42,0.41,73.78,28.74,0.65,148.66,56.18,738.26,347.32,0.0,25-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
25-Mar-2020 - 00:00,31.49,100.4,6.23,3.99,0.84,19.29,25.38,0.3,80.06,30.05,0.82,168.71,52.72,738.48,340.85,0.0,26-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
26-Mar-2020 - 00:00,15.58,45.18,4.79,3.21,0.81,18.37,22.86,0.2,70.44,29.54,1.05,214.39,53.0,739.33,343.88,0.0,27-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
27-Mar-2020 - 00:00,14.41,42.79,4.61,3.16,0.86,17.71,25.2,0.26,49.08,24.12,1.06,202.9,77.41,742.22,259.46,0.0,28-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
28-Mar-2020 - 00:00,15.87,34.68,7.73,4.86,0.92,16.3,22.64,0.25,57.27,25.69,0.88,222.71,67.25,741.48,355.41,0.0,29-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
29-Mar-2020 - 00:00,24.8,54.49,9.77,6.03,1.02,14.93,22.05,0.29,67.0,26.34,1.04,233.59,54.64,739.9,349.14,0.0,30-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
30-Mar-2020 - 00:00,35.3,72.97,10.43,6.27,0.89,16.05,22.96,0.38,64.48,26.86,0.78,185.43,53.67,739.81,348.02,0.0,31-Mar-2020 - 00:00,"City Center, Gwalior - MPPCB"
31-Mar-2020 - 00:00,27.26,62.57,8.44,5.24,0.92,15.12,14.96,0.42,66.79,28.42,0.61,163.36,49.32,738.35,344.64,0.0,01-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
01-Apr-2020 - 00:00,26.56,76.82,5.54,3.58,0.79,15.8,10.59,0.35,64.19,31.27,1.14,229.85,40.91,737.01,347.07,0.0,02-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
02-Apr-2020 - 00:00,20.59,60.85,6.49,4.1,0.79,13.16,9.45,0.37,57.44,29.3,1.32,232.76,43.49,737.76,345.89,0.0,03-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
03-Apr-2020 - 00:00,24.14,57.89,8.51,5.18,0.8,11.5,11.85,0.36,65.34,27.69,0.92,245.66,38.47,739.21,344.51,0.0,04-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
04-Apr-2020 - 00:00,33.04,65.5,10.3,6.08,0.74,12.7,16.67,0.49,67.06,27.03,0.72,215.7,40.7,739.4,347.49,0.0,05-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
05-Apr-2020 - 00:00,31.54,73.11,11.32,6.82,1.0,13.82,15.38,0.43,66.35,29.13,0.58,161.52,42.56,739.48,345.29,0.0,06-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
06-Apr-2020 - 00:00,33.45,88.72,10.59,6.23,0.74,13.11,14.09,0.49,69.68,30.66,0.71,170.81,41.24,737.92,346.94,0.0,07-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
07-Apr-2020 - 00:00,42.15,111.38,10.25,6.15,0.87,16.44,16.35,0.44,69.39,31.61,0.6,164.84,38.8,735.75,342.79,0.0,08-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
08-Apr-2020 - 00:00,30.82,128.05,7.46,4.55,0.72,15.89,17.3,0.42,77.92,32.14,0.73,197.08,34.98,736.25,345.73,0.0,09-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
09-Apr-2020 - 00:00,33.33,102.29,8.81,5.28,0.74,14.86,16.3,0.44,80.47,30.41,0.87,218.71,36.48,737.59,353.7,0.0,10-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
10-Apr-2020 - 00:00,26.84,87.59,10.17,6.05,0.79,14.57,14.48,0.49,75.35,30.25,0.59,151.73,40.25,738.53,350.98,0.0,11-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
11-Apr-2020 - 00:00,26.67,96.72,10.47,6.26,0.85,14.01,14.64,0.47,75.42,33.1,0.78,217.82,34.68,738.71,349.88,0.0,12-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
12-Apr-2020 - 00:00,35.89,133.11,11.46,6.81,0.88,16.65,16.49,0.57,78.22,33.13,0.99,254.17,35.4,737.34,352.95,0.0,13-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
13-Apr-2020 - 00:00,35.04,120.48,12.36,7.33,0.93,17.76,14.78,0.58,62.85,33.7,0.78,192.44,39.04,735.43,346.21,0.0,14-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
14-Apr-2020 - 00:00,28.62,114.59,10.34,6.18,0.84,20.18,17.67,0.51,65.92,34.42,0.61,171.51,39.27,735.71,330.61,0.0,15-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
15-Apr-2020 - 00:00,25.43,131.8,9.71,5.78,0.76,16.06,18.04,0.46,72.22,34.54,0.95,227.48,31.44,735.55,345.36,0.0,16-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
16-Apr-2020 - 00:00,26.52,121.48,9.68,5.8,0.81,15.59,18.55,0.48,75.45,35.27,0.8,214.99,26.21,733.27,346.99,0.0,17-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
17-Apr-2020 - 00:00,39.21,139.1,12.48,7.37,0.89,20.94,20.79,0.6,75.46,34.07,0.59,218.9,33.44,733.43,338.3,0.0,18-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
18-Apr-2020 - 00:00,29.0,148.19,10.56,6.3,0.83,17.47,16.77,0.53,67.06,32.42,0.94,221.06,33.09,734.35,349.36,0.0,19-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
19-Apr-2020 - 00:00,33.28,133.58,10.7,6.33,0.8,19.7,16.78,0.56,69.58,28.49,0.81,195.43,39.91,734.25,350.36,0.0,20-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
20-Apr-2020 - 00:00,25.08,79.75,10.38,6.21,0.84,21.1,16.81,0.52,66.48,26.4,0.86,181.41,45.52,735.69,320.95,0.81,21-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
21-Apr-2020 - 00:00,22.43,52.06,10.41,6.17,0.78,16.93,16.88,0.49,63.83,27.39,0.85,227.11,43.32,735.93,345.32,0.0,22-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
22-Apr-2020 - 00:00,28.76,71.4,11.92,7.0,0.81,16.78,16.98,0.53,74.78,28.73,0.71,198.2,38.2,734.72,349.22,0.0,23-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
23-Apr-2020 - 00:00,49.59,96.16,14.82,8.67,0.97,21.44,16.27,0.71,68.32,27.82,0.57,171.34,40.93,734.06,294.82,0.0,24-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
24-Apr-2020 - 00:00,21.78,60.98,9.69,5.81,0.8,18.97,16.34,0.49,71.24,29.69,0.9,205.01,41.77,732.22,342.41,0.01,25-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
25-Apr-2020 - 00:00,28.34,89.8,7.21,4.45,0.76,18.49,15.9,0.53,92.06,31.23,0.84,182.82,37.47,732.32,340.76,0.0,26-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
26-Apr-2020 - 00:00,19.71,41.81,5.87,3.72,0.75,15.56,15.91,0.47,96.45,27.78,0.94,157.01,54.31,734.67,320.71,0.0,27-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
27-Apr-2020 - 00:00,11.0,25.64,7.4,4.55,0.75,16.31,16.41,0.47,98.42,27.69,0.83,134.53,57.53,737.57,365.36,0.0,28-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
28-Apr-2020 - 00:00,30.28,53.0,7.93,4.84,0.76,19.49,17.13,0.57,108.04,29.71,0.69,151.75,54.09,737.15,365.2,0.0,29-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
29-Apr-2020 - 00:00,28.6,63.27,7.5,4.58,0.73,17.81,16.42,0.59,109.53,30.53,0.65,143.93,47.66,735.49,354.48,0.0,30-Apr-2020 - 00:00,"City Center, Gwalior - MPPCB"
30-Apr-2020 - 00:00,35.22,89.95,14.86,8.76,1.06,16.35,16.66,0.71,93.47,31.54,0.76,179.6,43.97,734.76,350.9,0.0,01-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
01-May-2020 - 00:00,32.86,131.43,7.14,4.41,0.76,15.94,16.01,0.55,115.63,33.53,1.14,202.48,37.75,732.78,348.53,0.0,02-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
02-May-2020 - 00:00,23.78,83.8,6.77,4.18,0.71,14.67,17.3,0.55,105.8,32.66,0.89,139.06,41.47,732.09,356.7,0.0,03-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
03-May-2020 - 00:00,26.45,75.82,6.46,4.04,0.75,15.24,16.67,0.58,98.23,30.0,1.07,134.93,55.57,733.17,326.41,0.27,04-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
04-May-2020 - 00:00,11.22,23.92,9.14,5.6,0.91,20.15,16.88,0.51,78.12,28.14,0.84,182.62,62.28,734.95,345.66,0.03,05-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
05-May-2020 - 00:00,18.44,51.71,9.45,5.73,0.87,19.71,16.8,0.55,97.28,29.11,1.24,233.98,55.68,734.08,372.66,0.0,06-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
06-May-2020 - 00:00,20.34,73.69,11.55,6.66,0.7,15.16,17.1,0.51,89.72,30.13,1.12,202.98,42.6,733.64,338.01,0.0,07-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
07-May-2020 - 00:00,27.64,78.26,15.86,8.94,0.64,17.24,19.14,0.56,86.72,29.18,0.74,183.43,46.61,733.84,370.85,0.0,08-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
08-May-2020 - 00:00,37.84,101.91,22.04,12.76,1.28,16.82,24.79,0.72,82.76,31.55,0.7,184.46,43.54,732.07,366.61,0.0,09-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
09-May-2020 - 00:00,45.66,115.19,18.23,10.45,0.92,20.36,25.42,0.77,89.63,32.62,0.61,181.66,41.91,732.29,369.48,0.0,10-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
10-May-2020 - 00:00,44.98,109.63,10.73,6.34,0.79,19.82,25.41,0.69,91.87,30.27,0.83,156.93,53.47,733.72,325.73,0.04,11-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
11-May-2020 - 00:00,29.34,88.77,13.72,8.1,0.99,21.94,19.85,0.63,89.61,30.07,0.67,138.67,55.34,734.97,369.23,0.0,12-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
12-May-2020 - 00:00,21.5,65.86,17.88,11.01,1.84,14.73,14.74,0.62,90.0,31.52,1.01,243.04,42.42,734.47,365.23,0.0,13-May-2020 - 00:00,"City Center, Gwalior - MPPCB"
