from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,RF,to date,station
12-Jan-2020 - 00:00,37.22,24.02,5.7,26.29,13.96,0.78,23.7,100.72,162.33,8.76,15.19,3.27,5.51,91.86,3.17,242.37,175.14,0.0,13-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
13-Jan-2020 - 00:00,43.74,28.37,6.9,28.2,19.49,1.18,14.47,129.72,175.07,11.57,14.87,2.64,4.27,99.48,3.69,140.78,89.84,0.0,14-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
14-Jan-2020 - 00:00,25.27,15.81,3.25,18.16,10.28,0.57,20.39,76.5,104.67,7.52,13.85,2.48,4.52,99.39,4.25,305.64,195.29,0.0,15-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
15-Jan-2020 - 00:00,25.34,16.47,4.1,16.54,10.11,0.46,20.68,66.19,95.23,6.56,13.57,2.58,4.39,99.57,3.45,290.2,121.0,0.0,16-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
16-Jan-2020 - 00:00,28.39,18.99,5.14,15.98,6.8,0.66,14.35,66.58,112.09,7.29,13.59,2.89,4.67,97.32,1.8,292.0,174.05,0.0,17-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
17-Jan-2020 - 00:00,30.62,24.18,10.22,19.6,7.59,0.81,6.39,73.15,116.24,8.52,17.24,3.91,5.54,99.58,1.36,221.12,104.58,0.0,18-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
18-Jan-2020 - 00:00,23.49,14.81,3.17,16.04,9.31,0.62,25.0,45.75,77.5,5.78,13.16,2.49,3.92,94.88,1.43,226.37,175.51,0.0,19-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
19-Jan-2020 - 00:00,22.39,14.04,2.92,16.06,6.46,0.7,21.18,62.43,102.08,6.34,11.93,2.4,3.56,99.51,2.21,278.42,6.98,0.0,20-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
20-Jan-2020 - 00:00,25.45,15.96,3.36,23.6,10.01,0.87,27.56,110.64,159.76,8.08,11.84,2.18,4.0,99.36,1.74,255.45,169.44,0.0,21-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
21-Jan-2020 - 00:00,34.25,27.42,11.88,41.86,9.49,1.21,14.95,121.04,174.36,11.26,16.85,3.15,6.03,99.51,1.01,182.51,174.92,0.0,22-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
22-Jan-2020 - 00:00,22.05,14.89,4.21,28.64,8.37,0.8,24.19,52.76,88.58,7.95,14.61,2.79,4.54,97.38,2.16,292.29,178.23,0.0,23-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
23-Jan-2020 - 00:00,21.45,13.19,2.47,25.69,10.87,0.46,39.21,42.08,89.4,4.76,9.96,2.17,3.34,81.49,3.55,292.48,225.75,0.0,24-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
24-Jan-2020 - 00:00,27.03,16.53,2.99,27.59,14.46,0.56,38.69,54.48,104.18,5.76,10.26,2.06,3.84,81.21,3.34,281.99,228.24,0.0,25-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
25-Jan-2020 - 00:00,45.97,40.14,20.1,46.1,9.58,1.03,13.18,118.83,188.67,9.79,16.35,4.39,6.91,99.22,1.23,157.82,172.96,0.0,26-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
26-Jan-2020 - 00:00,36.86,26.61,9.17,38.79,8.47,1.06,23.42,105.96,166.22,10.47,16.51,3.97,7.1,93.32,1.62,260.68,181.35,0.0,27-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
27-Jan-2020 - 00:00,42.22,31.3,11.47,60.12,10.91,1.24,9.39,119.79,178.33,12.24,17.46,3.56,6.6,99.4,1.13,168.73,74.63,0.0,28-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
28-Jan-2020 - 00:00,31.93,21.77,6.34,53.22,7.74,0.71,18.29,75.18,98.09,8.21,14.56,3.12,5.03,99.41,1.98,120.96,86.49,0.0,29-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
29-Jan-2020 - 00:00,32.03,21.59,6.06,47.94,6.52,0.49,19.38,33.78,58.66,4.86,13.4,1.93,3.73,94.62,1.58,187.2,244.88,0.0,30-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
30-Jan-2020 - 00:00,21.09,12.96,2.43,44.3,6.93,0.49,29.84,47.08,81.25,5.04,11.07,2.05,3.28,91.79,3.47,298.98,248.74,0.0,31-Jan-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
31-Jan-2020 - 00:00,31.47,32.97,20.61,72.49,7.28,0.74,19.85,60.69,98.05,7.03,13.57,2.81,5.41,99.48,2.05,246.88,139.76,0.0,01-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
01-Feb-2020 - 00:00,35.75,28.16,11.97,73.08,6.33,0.81,17.44,63.46,109.55,7.47,13.2,3.11,5.6,99.41,1.67,254.34,190.12,0.0,02-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
02-Feb-2020 - 00:00,24.99,14.83,2.21,75.61,8.34,0.67,34.26,66.38,99.56,6.58,12.25,3.18,4.19,97.95,2.15,287.49,154.55,0.0,03-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
03-Feb-2020 - 00:00,23.27,18.38,7.76,61.41,10.27,0.87,33.29,78.35,133.45,8.4,14.44,3.48,6.98,91.82,1.55,268.23,264.69,0.0,04-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
04-Feb-2020 - 00:00,17.56,16.13,8.67,51.63,9.42,0.97,35.44,98.67,160.14,9.45,15.92,3.36,5.98,88.18,1.44,193.41,256.78,0.0,05-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
05-Feb-2020 - 00:00,10.27,6.95,1.98,42.43,11.02,0.6,45.91,77.68,131.04,5.96,11.82,2.48,3.58,86.07,2.71,295.35,271.28,0.0,06-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
06-Feb-2020 - 00:00,32.07,25.52,11.27,49.0,17.81,0.72,38.03,68.71,124.33,6.53,12.05,2.91,4.82,85.37,1.75,267.16,254.37,0.0,07-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
07-Feb-2020 - 00:00,44.8,38.16,18.4,61.16,10.86,0.73,33.49,88.39,152.61,8.42,17.16,3.66,6.86,87.55,1.75,268.89,257.42,0.0,08-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
08-Feb-2020 - 00:00,28.16,17.04,2.9,37.42,14.81,0.69,40.08,86.14,143.55,7.06,12.52,2.56,3.92,91.32,2.26,295.05,260.71,0.0,09-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
09-Feb-2020 - 00:00,38.66,23.16,3.67,43.83,14.55,0.83,44.12,99.46,159.25,8.73,14.88,3.58,5.47,86.32,1.72,290.46,277.47,0.0,10-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
10-Feb-2020 - 00:00,40.06,25.2,5.33,46.85,8.31,0.82,42.01,85.76,148.16,8.41,15.22,2.69,5.33,82.79,1.85,297.81,269.58,0.0,11-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
11-Feb-2020 - 00:00,33.88,20.8,3.86,41.76,8.85,0.81,45.15,92.44,160.87,8.3,15.47,3.1,5.52,87.71,1.71,297.0,243.49,0.0,12-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
12-Feb-2020 - 00:00,24.78,14.84,2.36,34.42,11.04,0.67,43.13,81.05,149.48,6.72,11.46,2.55,3.82,88.32,3.31,285.87,253.27,0.0,13-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
13-Feb-2020 - 00:00,21.02,13.25,2.85,33.27,10.56,0.54,33.14,49.11,99.92,5.75,10.4,1.95,3.28,82.67,3.56,289.89,278.0,0.0,14-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
14-Feb-2020 - 00:00,21.89,13.53,2.6,32.81,11.7,0.5,40.58,48.2,114.73,5.49,9.75,1.76,3.1,81.5,3.87,290.81,280.68,0.0,15-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
15-Feb-2020 - 00:00,25.36,15.49,2.79,34.82,10.69,0.46,40.86,44.25,105.7,5.4,9.44,1.54,2.84,75.02,3.3,280.93,282.56,0.0,16-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
16-Feb-2020 - 00:00,31.14,18.15,2.34,38.35,20.53,0.59,48.39,72.87,136.52,6.78,12.8,2.67,3.6,78.75,2.16,285.03,275.26,0.0,17-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
17-Feb-2020 - 00:00,28.57,16.79,2.3,40.1,15.42,0.53,51.49,64.22,126.97,6.57,11.64,1.89,3.31,75.3,2.81,293.8,283.16,0.0,18-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
18-Feb-2020 - 00:00,30.07,18.11,2.99,40.89,26.61,0.53,44.15,57.15,120.59,6.57,11.83,2.94,4.58,73.01,2.64,268.82,289.01,0.0,19-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
19-Feb-2020 - 00:00,40.51,28.8,9.51,52.83,15.5,0.82,38.59,110.74,167.66,8.53,14.69,2.09,3.79,78.6,2.02,112.05,209.34,0.0,20-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
20-Feb-2020 - 00:00,27.98,16.15,1.9,38.84,10.81,0.72,52.37,87.53,149.78,7.48,12.87,1.36,2.67,76.2,2.71,115.88,228.09,0.0,21-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
21-Feb-2020 - 00:00,25.87,15.4,2.47,34.4,4.0,0.37,40.27,22.59,40.66,3.5,10.79,0.81,1.71,89.47,2.21,148.5,101.54,0.0,22-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
22-Feb-2020 - 00:00,38.48,25.15,6.29,45.2,18.81,0.66,27.2,51.96,87.37,6.33,18.52,2.8,5.03,84.16,1.54,233.61,316.73,0.0,23-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
23-Feb-2020 - 00:00,26.38,15.9,2.64,37.37,14.16,0.54,31.08,53.54,98.55,5.37,15.09,2.2,3.28,87.3,1.66,239.43,,0.0,24-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
24-Feb-2020 - 00:00,28.02,17.94,4.12,39.01,13.25,0.5,36.3,41.37,84.21,5.05,14.27,1.77,3.32,81.8,2.0,281.02,305.19,0.0,25-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
25-Feb-2020 - 00:00,23.22,14.19,2.56,34.68,19.51,0.63,37.38,60.99,113.52,6.37,13.64,2.61,3.72,89.92,2.26,233.35,292.47,0.02,26-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
26-Feb-2020 - 00:00,48.65,31.26,7.28,51.64,19.48,0.8,22.62,87.07,153.51,7.93,17.34,3.84,5.24,95.91,1.31,150.16,234.48,0.0,27-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
27-Feb-2020 - 00:00,35.46,21.06,3.15,46.34,15.26,0.81,28.81,97.2,156.98,9.31,17.55,2.19,3.41,95.83,1.55,107.11,220.75,0.0,28-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
28-Feb-2020 - 00:00,33.49,19.39,2.1,31.79,8.78,0.72,28.13,86.8,136.62,8.03,14.73,1.36,2.42,94.38,2.18,114.15,78.31,0.0,29-Feb-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
29-Feb-2020 - 00:00,28.39,16.65,2.56,10.17,11.82,0.62,31.58,61.16,105.74,6.84,14.55,1.28,2.11,95.1,2.52,113.24,214.09,0.0,01-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
01-Mar-2020 - 00:00,30.8,18.49,2.99,15.97,8.72,0.39,35.45,26.81,54.95,4.31,15.87,1.4,2.54,75.2,1.56,178.03,298.27,0.0,02-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
02-Mar-2020 - 00:00,38.05,24.43,5.68,18.61,18.59,0.54,35.26,43.35,94.94,6.02,19.09,3.55,5.6,71.05,1.29,245.52,319.13,0.0,03-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
03-Mar-2020 - 00:00,27.51,16.56,2.72,16.64,17.87,0.5,44.01,52.74,119.82,5.69,15.12,2.97,4.39,77.2,1.99,303.08,312.82,0.0,04-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
04-Mar-2020 - 00:00,36.28,27.69,10.89,19.73,18.61,0.52,48.01,58.29,132.65,5.94,15.85,2.47,3.89,76.91,1.58,150.78,262.35,0.0,05-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
05-Mar-2020 - 00:00,27.92,16.51,2.4,14.67,14.58,0.34,41.27,34.63,57.98,4.19,12.95,1.17,2.14,83.07,2.41,118.8,210.68,0.0,06-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
06-Mar-2020 - 00:00,17.4,10.3,1.69,12.09,5.89,0.33,40.96,16.5,32.62,2.88,10.76,0.63,1.05,98.24,2.83,112.93,108.91,0.0,07-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
07-Mar-2020 - 00:00,36.16,22.92,5.83,14.76,13.15,0.54,22.03,28.99,49.42,5.02,11.11,1.14,1.76,99.13,1.94,110.26,155.06,0.0,08-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
08-Mar-2020 - 00:00,43.71,49.79,33.6,21.6,16.92,0.86,23.34,79.64,128.98,,0.0,0.0,0.0,90.02,1.58,191.9,363.08,0.0,09-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
09-Mar-2020 - 00:00,20.36,12.39,1.91,15.6,14.45,0.37,25.31,30.03,100.02,3.74,9.84,1.62,2.84,58.05,3.58,285.48,282.97,0.0,10-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
10-Mar-2020 - 00:00,23.97,14.39,2.33,14.93,24.89,0.44,8.76,41.69,93.71,4.57,13.98,1.74,2.61,74.27,1.67,242.83,329.57,0.0,11-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
11-Mar-2020 - 00:00,23.8,14.27,2.29,17.45,28.47,0.5,7.45,58.23,92.62,5.56,16.15,1.27,2.33,92.9,1.99,128.33,104.62,0.0,12-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
12-Mar-2020 - 00:00,23.49,14.29,2.53,14.6,34.55,0.38,12.39,37.8,70.79,3.85,15.43,1.19,2.13,81.65,2.62,111.67,304.87,0.0,13-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
13-Mar-2020 - 00:00,21.01,12.6,2.02,13.71,35.57,0.32,27.17,35.23,59.5,3.96,14.95,2.2,3.35,89.78,2.71,124.14,253.08,0.0,14-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
14-Mar-2020 - 00:00,25.21,15.11,2.42,14.02,6.92,0.27,31.85,26.85,45.31,3.55,14.94,1.36,2.49,95.79,2.08,142.99,173.35,0.0,15-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
15-Mar-2020 - 00:00,22.43,13.74,2.51,13.07,14.62,0.35,38.41,31.34,60.87,3.63,14.6,1.66,2.84,82.03,1.73,203.42,314.34,0.0,16-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
16-Mar-2020 - 00:00,18.22,11.21,2.11,13.0,21.32,0.41,42.9,41.83,88.1,4.91,13.26,1.9,3.44,64.83,2.62,304.71,333.93,0.0,17-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
17-Mar-2020 - 00:00,20.08,11.99,1.86,10.22,26.72,0.46,47.49,47.87,103.73,4.9,12.36,2.75,4.0,79.18,2.81,290.79,323.84,0.0,18-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
18-Mar-2020 - 00:00,18.93,11.53,2.04,8.85,31.67,0.45,48.11,52.21,104.92,4.84,12.82,2.77,4.2,71.16,2.87,289.56,346.7,0.0,19-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
19-Mar-2020 - 00:00,26.84,17.97,4.92,12.67,34.63,0.56,43.17,60.87,115.88,5.65,15.87,3.27,5.0,79.61,1.8,295.52,318.04,0.0,20-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
20-Mar-2020 - 00:00,43.72,26.92,5.1,16.84,10.72,0.49,34.5,54.72,112.34,5.19,15.7,2.45,4.55,72.62,1.04,130.16,396.6,0.0,21-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
21-Mar-2020 - 00:00,39.28,24.24,4.64,19.97,21.46,0.66,36.34,80.35,155.35,8.08,17.78,2.3,3.59,,1.5,155.71,291.01,0.0,22-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
22-Mar-2020 - 00:00,10.44,7.43,1.62,12.34,15.88,0.28,49.55,31.94,52.75,3.15,12.07,1.07,1.72,,2.21,283.79,256.9,0.0,23-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
23-Mar-2020 - 00:00,15.41,9.64,2.01,13.56,12.7,0.36,40.59,39.05,69.54,3.99,15.42,1.91,3.7,53.83,1.39,270.31,374.84,0.0,24-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
24-Mar-2020 - 00:00,23.83,14.35,2.37,16.07,19.98,0.41,33.56,44.79,87.27,4.66,17.63,1.67,3.11,73.81,1.29,183.52,162.29,0.0,25-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
25-Mar-2020 - 00:00,11.12,7.17,1.7,12.78,10.4,0.28,32.2,32.18,57.72,3.11,14.95,0.96,1.91,76.56,1.65,232.24,259.66,0.0,26-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
26-Mar-2020 - 00:00,7.89,5.31,1.47,11.85,8.48,0.25,29.17,27.51,49.68,3.05,10.88,0.93,1.75,75.46,2.54,284.94,305.49,0.0,27-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
27-Mar-2020 - 00:00,8.26,5.62,1.64,10.41,7.03,0.23,23.77,26.96,43.19,3.07,12.64,0.79,1.42,92.37,1.95,167.22,147.17,0.0,28-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
28-Mar-2020 - 00:00,8.89,5.93,1.61,10.58,7.18,0.19,28.41,14.01,25.99,2.5,13.0,0.78,1.57,83.01,2.12,263.43,418.44,0.0,29-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
29-Mar-2020 - 00:00,7.29,4.99,1.48,10.34,8.83,0.2,36.69,18.44,37.04,2.28,8.98,0.63,1.18,71.18,3.24,304.12,411.35,0.0,30-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
30-Mar-2020 - 00:00,8.47,5.67,1.55,10.76,12.88,0.2,40.91,21.01,41.2,2.82,9.77,0.79,1.49,68.69,2.76,301.0,358.62,0.0,31-Mar-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
31-Mar-2020 - 00:00,8.9,5.94,1.6,11.57,16.56,0.24,35.41,24.69,52.77,3.11,11.07,0.88,1.58,70.31,2.68,296.33,315.33,0.0,01-Apr-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
01-Apr-2020 - 00:00,9.43,6.41,1.85,10.44,7.88,0.2,35.65,16.96,42.36,2.42,11.44,0.76,1.49,49.39,2.01,257.98,357.1,0.0,02-Apr-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
02-Apr-2020 - 00:00,8.04,5.38,1.47,10.88,7.36,0.21,42.3,20.1,46.09,2.61,9.19,0.76,1.43,61.43,3.08,303.77,418.21,0.0,03-Apr-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
03-Apr-2020 - 00:00,9.34,6.05,1.46,11.65,5.93,0.19,52.3,16.1,36.27,2.62,9.84,0.79,1.44,45.51,2.57,306.61,431.65,0.0,04-Apr-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
04-Apr-2020 - 00:00,9.63,6.21,1.43,11.75,9.44,0.23,54.51,22.75,46.57,3.06,10.06,0.83,1.48,35.63,2.48,311.39,85.95,0.0,05-Apr-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
05-Apr-2020 - 00:00,12.48,7.69,1.46,13.67,16.36,0.31,50.64,34.06,59.6,3.69,14.74,1.01,1.88,46.98,1.14,230.95,365.51,0.0,06-Apr-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
06-Apr-2020 - 00:00,12.39,8.0,1.93,15.71,24.06,0.3,43.67,40.57,78.14,3.46,14.02,1.03,2.03,53.41,1.98,255.4,385.43,0.0,07-Apr-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
07-Apr-2020 - 00:00,7.69,5.27,1.57,12.77,14.15,0.2,44.24,24.06,68.81,2.75,9.19,0.72,1.35,55.54,3.42,323.21,315.8,0.0,08-Apr-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
08-Apr-2020 - 00:00,8.47,5.6,1.46,11.67,4.09,0.17,51.09,21.58,47.67,2.34,10.03,0.69,1.32,42.88,2.57,312.56,428.16,0.0,09-Apr-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
09-Apr-2020 - 00:00,9.59,6.18,1.46,12.95,11.04,0.26,51.29,28.84,58.66,3.15,12.05,0.94,1.74,44.79,1.88,311.2,374.27,0.0,10-Apr-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
10-Apr-2020 - 00:00,9.51,6.24,1.59,14.24,18.27,0.28,51.18,33.63,61.68,3.15,13.4,0.91,1.74,42.2,1.91,308.11,366.11,0.0,11-Apr-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
11-Apr-2020 - 00:00,9.82,6.36,1.55,14.91,14.54,0.27,50.27,36.55,73.01,3.15,14.14,0.9,1.61,42.3,1.75,269.28,393.5,0.0,12-Apr-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
12-Apr-2020 - 00:00,8.65,5.67,1.43,14.12,10.52,0.27,55.49,25.44,52.51,2.93,10.58,0.79,1.42,39.51,2.44,307.75,390.66,0.0,13-Apr-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
13-Apr-2020 - 00:00,9.18,5.97,1.46,15.12,13.43,0.29,60.12,27.85,60.58,3.76,7.75,0.59,1.11,37.34,2.29,305.31,385.8,0.0,14-Apr-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
14-Apr-2020 - 00:00,14.85,9.01,1.57,18.49,24.8,0.49,53.7,48.72,108.86,,0.0,0.0,0.0,42.68,1.58,151.31,355.09,0.0,15-Apr-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
15-Apr-2020 - 00:00,15.57,9.31,1.46,17.36,27.06,0.41,54.33,56.87,146.99,,0.0,0.0,0.0,35.26,1.68,112.6,316.81,0.0,16-Apr-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
16-Apr-2020 - 00:00,13.95,8.49,1.49,14.81,17.09,0.32,56.15,44.78,120.04,3.2,9.5,0.51,0.9,33.9,1.66,291.19,423.29,0.0,17-Apr-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
17-Apr-2020 - 00:00,10.79,6.88,1.56,11.89,14.81,0.23,50.14,29.3,75.42,2.51,14.37,0.75,1.38,39.88,2.05,166.14,290.56,0.0,18-Apr-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
18-Apr-2020 - 00:00,12.17,7.67,1.63,10.28,17.92,0.21,46.96,19.71,61.36,2.15,15.83,0.75,1.34,49.34,2.42,124.99,326.12,0.0,19-Apr-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
19-Apr-2020 - 00:00,14.21,8.63,1.51,10.0,16.36,0.19,48.82,19.87,47.44,2.22,15.65,0.71,1.44,,1.5,248.79,,0.0,20-Apr-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
20-Apr-2020 - 00:00,20.06,11.87,1.79,12.77,22.81,0.34,45.8,41.02,94.51,4.37,16.45,0.87,1.77,83.29,1.55,146.01,,0.0,21-Apr-2020 - 00:00,"Sector-7, Kurukshetra - HSPCB"
