from date,SO2,CO,Ozone,PM2.5,Benzene,Toluene,MP-Xylene,RH,VWS,BP,SR,Eth-Benzene,WS,WD,NO,NO2,NOx,to date,station
23-Apr-2020 - 00:00,3.74,0.93,69.94,44.36,1.99,6.0,4.02,30.44,-0.2,763.27,164.9,3.0,0.63,191.37,4.95,26.95,17.67,24-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-Apr-2020 - 00:00,2.65,1.06,96.22,47.76,2.01,5.99,4.01,36.03,-0.21,760.71,230.28,3.0,0.55,169.23,6.88,31.91,21.83,25-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Apr-2020 - 00:00,1.34,0.94,87.74,25.14,2.0,5.99,4.0,31.22,-0.19,760.81,205.41,3.0,0.71,187.54,3.67,24.67,14.99,26-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-Apr-2020 - 00:00,2.77,0.93,92.69,50.32,2.0,6.0,4.01,52.48,-0.11,765.94,177.79,3.01,1.08,154.83,4.24,24.69,15.45,27-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Apr-2020 - 00:00,1.07,0.63,122.48,23.38,1.99,6.0,4.01,54.71,0.02,769.97,348.91,3.0,1.94,87.0,3.88,20.65,13.19,28-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Apr-2020 - 00:00,1.11,0.74,111.72,27.12,1.99,6.0,4.01,54.46,-0.11,769.79,268.17,2.99,1.24,115.69,4.88,21.42,14.37,29-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-Apr-2020 - 00:00,1.86,0.87,93.6,46.53,2.0,6.01,3.99,48.72,-0.2,765.13,252.77,2.99,0.53,182.15,4.18,29.99,18.02,30-Apr-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-Apr-2020 - 00:00,2.55,1.27,102.16,48.54,1.99,6.0,4.01,43.64,-0.2,763.85,244.23,3.0,0.62,168.56,4.16,28.79,17.2,01-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-May-2020 - 00:00,2.57,1.15,111.68,53.0,2.0,6.02,3.98,43.57,-0.13,761.01,237.75,3.0,0.94,139.47,3.54,26.48,15.1,02-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-May-2020 - 00:00,1.39,1.13,132.1,36.35,2.0,5.99,4.0,48.82,0.02,760.95,236.3,3.0,1.88,85.16,3.14,21.58,12.19,03-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-May-2020 - 00:00,1.9,1.2,103.68,34.84,2.0,5.98,3.99,56.88,-0.05,763.39,204.85,3.0,1.43,120.33,3.19,23.87,13.35,04-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-May-2020 - 00:00,1.59,1.25,117.79,25.41,2.01,5.99,3.99,42.63,-0.14,764.92,370.59,2.99,0.94,107.63,3.4,26.9,15.85,05-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-May-2020 - 00:00,3.7,1.09,89.99,47.73,2.01,5.98,4.02,42.9,-0.2,763.27,249.72,3.0,0.64,220.97,2.97,29.41,16.36,06-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-May-2020 - 00:00,1.79,1.11,105.08,38.89,2.0,5.99,3.98,33.86,-0.19,762.78,171.69,3.0,0.63,177.77,3.57,30.58,18.14,07-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-May-2020 - 00:00,1.75,0.8,111.65,34.7,2.0,6.01,4.0,33.25,-0.15,763.32,272.51,3.01,0.8,116.62,3.64,29.43,16.8,08-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-May-2020 - 00:00,2.53,1.15,135.63,71.37,1.99,5.98,4.0,36.2,-0.17,760.13,255.46,3.0,0.7,165.96,3.65,30.55,16.96,09-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-May-2020 - 00:00,2.31,1.3,146.11,51.31,2.0,6.01,4.01,39.3,-0.14,760.56,241.18,3.0,0.91,165.28,2.72,29.24,15.33,10-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-May-2020 - 00:00,2.27,1.73,128.03,54.88,2.0,6.01,3.99,46.84,-0.02,763.5,179.46,3.0,1.45,95.08,3.02,25.26,14.11,11-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-May-2020 - 00:00,3.78,1.26,103.96,38.96,2.05,6.01,3.98,44.1,-0.13,763.96,255.81,3.01,1.08,142.3,4.01,43.93,20.0,12-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-May-2020 - 00:00,4.23,1.04,90.52,34.71,2.01,5.98,4.03,50.27,-0.13,766.28,138.48,3.0,1.1,107.71,2.29,46.55,20.37,13-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-May-2020 - 00:00,7.09,1.58,123.26,44.26,1.97,5.96,3.97,47.22,-0.18,761.66,212.54,3.0,0.71,165.26,4.99,64.47,26.59,14-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-May-2020 - 00:00,8.78,1.95,92.51,41.53,1.99,5.99,4.01,47.67,-0.16,761.33,249.91,3.0,0.84,172.76,9.12,73.95,35.77,15-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-May-2020 - 00:00,16.04,1.48,106.85,43.09,2.0,6.0,4.0,35.23,-0.16,760.46,228.59,3.0,0.7,259.33,8.16,58.95,26.59,16-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-May-2020 - 00:00,19.52,1.28,120.02,61.99,2.01,6.0,4.0,27.11,-0.19,758.81,275.73,2.99,0.61,263.79,15.83,68.14,34.44,17-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-May-2020 - 00:00,18.67,1.51,80.7,59.71,2.0,6.03,4.0,27.72,-0.24,757.12,135.32,3.0,0.68,201.52,21.84,109.36,59.41,18-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-May-2020 - 00:00,10.79,1.19,73.04,55.39,1.99,5.99,3.99,26.91,-0.21,755.9,251.89,3.01,0.66,223.33,24.31,100.66,53.64,19-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-May-2020 - 00:00,13.51,1.27,76.46,76.73,2.0,5.99,4.01,19.16,-0.2,754.36,267.24,3.0,0.7,182.01,26.19,72.13,54.75,20-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-May-2020 - 00:00,16.09,1.0,74.72,63.68,2.02,5.99,3.98,18.27,-0.17,753.81,276.14,2.99,0.7,247.37,27.83,52.52,48.46,21-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-May-2020 - 00:00,14.21,1.47,69.56,51.18,2.01,6.0,3.99,18.54,-0.19,752.34,244.95,3.01,0.81,247.93,32.96,68.15,47.19,22-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-May-2020 - 00:00,12.89,0.9,2.33,65.75,2.02,6.03,3.98,30.01,-0.27,753.45,48.36,2.98,0.81,168.33,76.35,110.38,118.31,23-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-May-2020 - 00:00,11.56,1.4,64.54,59.59,2.01,6.01,4.0,13.66,-0.16,751.63,390.21,3.01,0.81,244.78,11.86,53.78,31.22,24-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-May-2020 - 00:00,6.95,1.54,80.51,53.27,1.99,6.0,4.01,15.51,-0.17,753.03,320.78,3.0,0.79,252.55,6.01,45.13,21.54,25-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-May-2020 - 00:00,21.82,1.28,57.38,64.09,1.99,5.98,4.03,23.08,-0.23,754.26,66.22,3.01,0.73,224.19,5.45,55.4,29.06,26-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-May-2020 - 00:00,9.27,0.89,58.93,66.85,2.0,6.02,3.98,17.05,-0.16,750.36,349.04,3.0,0.93,213.1,14.17,66.87,38.94,27-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-May-2020 - 00:00,8.95,1.15,91.01,51.81,2.0,5.98,4.01,18.82,-0.14,747.82,260.25,3.0,0.9,195.54,5.97,55.1,26.88,28-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-May-2020 - 00:00,3.83,1.59,81.95,56.63,2.0,6.02,4.02,44.7,0.04,753.4,135.84,3.01,1.74,96.71,5.32,39.38,17.82,29-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-May-2020 - 00:00,4.59,0.81,92.18,44.18,2.0,6.01,3.99,63.68,-0.02,757.72,149.22,2.99,1.51,147.28,7.01,40.14,18.5,30-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-May-2020 - 00:00,3.88,0.61,77.19,21.74,1.99,6.01,3.99,67.18,-0.09,761.09,144.35,3.0,1.1,156.46,5.28,32.05,17.38,31-May-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
31-May-2020 - 00:00,7.83,0.92,81.95,23.32,2.01,6.0,4.01,72.65,-0.13,764.16,247.07,2.99,0.83,146.93,9.65,30.68,18.01,01-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-Jun-2020 - 00:00,3.8,0.88,92.52,25.92,2.01,6.01,4.01,64.5,-0.22,763.9,286.88,3.01,0.64,203.62,14.51,45.87,31.9,02-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Jun-2020 - 00:00,5.05,0.41,81.16,32.49,1.99,5.99,4.01,48.67,-0.19,760.69,283.16,3.0,0.77,205.07,7.13,30.46,18.94,03-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Jun-2020 - 00:00,6.44,0.6,84.81,36.67,2.0,5.98,3.99,49.6,-0.2,757.81,292.79,2.99,0.64,211.72,5.31,27.66,16.49,04-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Jun-2020 - 00:00,6.15,0.67,67.72,40.09,1.99,6.0,3.98,55.36,-0.2,757.54,141.84,3.0,0.77,190.17,5.23,36.13,18.08,05-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Jun-2020 - 00:00,6.35,0.7,76.15,29.73,1.98,6.01,4.01,60.13,-0.21,757.54,196.17,3.0,0.6,196.18,4.37,31.78,16.69,06-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Jun-2020 - 00:00,6.73,0.69,79.53,39.93,2.0,6.0,4.01,59.54,-0.17,755.95,266.93,3.0,0.75,140.84,4.77,28.02,16.01,07-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Jun-2020 - 00:00,9.5,0.98,84.79,36.63,1.99,5.98,4.0,54.45,-0.17,755.67,287.66,3.01,0.81,163.27,3.03,34.96,16.26,08-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Jun-2020 - 00:00,9.21,1.48,84.79,40.8,2.0,6.01,3.99,49.19,-0.2,754.34,289.82,3.0,0.69,203.89,5.26,34.09,19.27,09-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Jun-2020 - 00:00,12.48,1.13,114.18,58.25,2.0,6.0,3.99,42.6,-0.2,753.4,280.81,3.01,0.68,195.98,5.15,41.49,23.3,10-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Jun-2020 - 00:00,13.18,1.17,95.86,45.62,2.01,6.01,4.0,39.39,-0.19,752.42,305.58,3.0,0.73,195.15,7.16,40.53,23.9,11-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Jun-2020 - 00:00,5.1,1.02,93.68,45.78,2.01,6.01,3.99,42.4,-0.2,750.37,339.57,3.01,0.58,232.83,4.96,29.31,18.37,12-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Jun-2020 - 00:00,8.15,0.64,97.71,55.71,1.99,6.0,3.99,43.32,-0.18,748.52,237.71,3.0,0.72,174.01,7.93,51.29,20.91,13-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Jun-2020 - 00:00,8.64,0.31,109.97,47.92,2.0,5.99,3.98,54.22,-0.16,751.28,156.77,3.01,0.79,183.58,5.24,18.9,21.15,14-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Jun-2020 - 00:00,9.81,0.35,109.23,59.38,2.0,6.02,3.99,54.01,-0.18,752.89,262.83,3.0,0.75,146.67,4.49,6.53,6.02,15-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Jun-2020 - 00:00,9.12,0.37,101.28,47.47,2.0,5.99,4.01,38.74,-0.2,749.08,260.13,3.0,0.67,240.58,1.94,14.47,6.45,16-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-Jun-2020 - 00:00,12.31,0.17,93.07,38.89,1.99,6.03,4.01,40.98,-0.17,745.44,282.97,2.98,0.75,160.61,2.43,26.28,12.52,17-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-Jun-2020 - 00:00,7.76,0.15,113.19,38.93,2.0,6.01,4.01,46.48,-0.06,745.24,286.72,2.99,1.36,115.27,0.94,13.65,6.34,18-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Jun-2020 - 00:00,5.45,0.33,102.82,37.28,2.0,6.03,4.0,42.54,-0.14,745.86,282.41,2.99,0.77,178.13,3.74,11.87,6.58,19-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Jun-2020 - 00:00,2.92,0.55,98.94,69.81,2.0,5.98,4.02,46.0,-0.1,748.55,246.33,2.99,1.1,169.94,4.6,6.6,5.94,20-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Jun-2020 - 00:00,2.62,0.26,71.04,47.78,2.01,6.0,4.01,51.93,-0.15,752.74,171.91,3.0,0.84,202.09,7.55,0.43,6.08,21-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-Jun-2020 - 00:00,5.25,0.25,93.36,47.52,2.01,6.01,4.0,51.43,-0.18,752.18,191.3,3.0,0.79,171.45,7.47,0.6,6.18,22-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Jun-2020 - 00:00,3.86,0.73,106.24,36.99,2.01,6.03,4.0,52.82,-0.14,751.55,251.12,2.99,0.95,181.85,6.75,4.41,6.11,23-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-Jun-2020 - 00:00,3.6,0.85,79.2,32.22,2.0,5.99,4.0,58.98,-0.02,754.43,280.48,3.0,1.65,87.67,6.85,5.79,6.43,24-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-Jun-2020 - 00:00,3.22,0.73,79.44,43.53,2.0,5.99,4.01,66.07,-0.06,756.51,227.68,3.01,1.49,95.81,6.18,6.83,6.43,25-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Jun-2020 - 00:00,3.01,0.82,71.43,32.41,2.01,5.96,4.0,62.49,-0.2,753.43,312.96,3.0,0.65,246.66,6.12,8.97,7.29,26-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-Jun-2020 - 00:00,8.51,1.26,57.76,46.39,2.0,6.01,4.02,54.43,-0.18,749.79,215.25,2.99,0.77,252.95,5.87,7.92,6.21,27-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Jun-2020 - 00:00,12.2,0.73,22.68,49.62,2.0,6.02,4.02,52.65,-0.19,749.89,233.47,3.0,0.76,242.06,6.97,8.22,7.7,28-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Jun-2020 - 00:00,10.35,1.51,,69.9,2.08,5.91,3.93,59.12,-0.27,750.3,32.47,2.77,0.46,178.9,6.59,6.83,4.71,29-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-Jun-2020 - 00:00,7.06,0.35,63.09,58.21,1.99,6.04,4.0,49.79,-0.1,751.25,313.03,3.01,0.91,220.09,6.14,8.37,5.33,30-Jun-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-Jun-2020 - 00:00,7.57,1.59,83.25,40.52,2.01,6.02,4.0,62.71,-0.1,753.62,214.65,2.99,1.29,96.29,6.0,8.24,5.54,01-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-Jul-2020 - 00:00,9.83,0.72,84.13,57.15,2.0,6.0,4.03,57.59,-0.13,750.9,201.39,3.0,1.01,111.25,6.16,9.0,7.31,02-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Jul-2020 - 00:00,7.97,0.9,90.8,79.85,2.0,5.99,3.99,53.22,-0.19,747.75,214.07,3.0,0.76,203.8,5.93,12.62,6.96,03-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Jul-2020 - 00:00,9.62,0.87,77.87,72.21,1.98,5.99,4.0,49.2,-0.16,746.26,284.46,3.0,0.89,211.69,5.97,11.42,7.22,04-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Jul-2020 - 00:00,10.22,1.13,120.41,39.3,1.99,5.99,3.98,55.15,0.05,745.94,291.5,3.01,2.2,95.64,5.27,9.34,6.03,05-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Jul-2020 - 00:00,4.61,0.2,62.46,63.4,1.98,6.01,3.99,73.04,0.08,750.04,28.73,2.99,2.26,86.76,4.58,7.84,5.69,06-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Jul-2020 - 00:00,7.5,0.99,72.99,40.41,1.96,5.98,3.99,59.61,-0.09,747.89,286.67,2.99,1.2,101.15,8.31,6.7,7.68,07-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Jul-2020 - 00:00,5.62,0.61,25.67,17.53,2.01,6.0,3.99,75.62,0.02,753.66,219.68,2.99,2.09,96.42,7.95,6.15,5.66,08-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Jul-2020 - 00:00,5.21,0.49,35.34,22.34,2.01,5.99,4.01,83.48,-0.07,755.53,205.1,3.0,1.52,129.58,15.2,2.82,5.58,09-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Jul-2020 - 00:00,5.26,0.41,32.9,29.48,2.0,5.98,4.02,73.86,-0.22,750.42,231.48,3.01,0.62,260.23,17.14,3.07,5.9,10-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Jul-2020 - 00:00,5.93,0.46,34.81,23.65,1.99,5.98,4.01,61.11,-0.19,746.65,243.07,3.0,0.68,256.4,10.88,7.66,7.1,11-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Jul-2020 - 00:00,9.89,0.89,80.95,21.7,2.0,5.98,4.0,54.34,-0.2,746.7,273.4,2.99,0.58,236.89,9.49,5.51,7.8,12-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Jul-2020 - 00:00,5.92,0.69,71.22,16.5,2.01,5.98,3.98,64.96,-0.15,751.39,183.3,3.01,0.77,193.12,7.85,6.54,7.61,13-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Jul-2020 - 00:00,9.61,1.54,46.28,30.34,2.0,6.01,4.02,65.31,-0.21,750.64,266.78,3.0,0.62,257.55,10.72,8.56,10.85,14-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Jul-2020 - 00:00,10.04,0.99,54.39,46.94,2.0,6.01,4.02,57.37,-0.2,751.0,271.75,3.0,0.72,194.01,12.41,10.4,14.63,15-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Jul-2020 - 00:00,6.19,0.7,95.44,49.13,2.01,6.02,4.01,65.35,-0.02,752.03,221.61,3.0,1.83,96.02,5.81,9.27,9.46,16-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-Jul-2020 - 00:00,8.76,0.68,56.55,30.64,2.0,5.99,4.02,67.38,-0.04,751.18,196.66,3.01,1.73,99.18,6.94,14.5,13.83,17-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-Jul-2020 - 00:00,6.81,0.85,71.49,53.18,2.0,5.99,3.99,68.98,-0.07,751.84,193.63,3.0,1.45,97.91,4.69,11.67,9.84,18-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Jul-2020 - 00:00,6.66,0.79,70.77,45.29,2.01,5.99,3.99,70.27,-0.13,753.48,171.7,2.99,1.04,125.89,9.45,10.88,11.93,19-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Jul-2020 - 00:00,7.14,0.81,47.14,21.12,1.99,5.99,3.99,80.11,-0.21,751.84,195.52,2.99,0.64,219.17,20.98,17.02,19.04,20-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Jul-2020 - 00:00,10.12,1.18,51.43,22.03,2.01,6.01,4.0,80.69,-0.21,750.71,187.78,3.01,0.58,236.67,18.79,15.77,29.49,21-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-Jul-2020 - 00:00,5.04,0.66,23.8,19.35,1.99,6.01,4.01,91.64,-0.2,756.11,198.76,2.99,0.64,201.53,5.28,9.13,7.28,22-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Jul-2020 - 00:00,9.09,0.83,14.58,16.23,2.0,6.02,4.02,93.93,-0.24,757.4,128.18,3.0,0.57,206.9,10.94,12.87,14.37,23-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-Jul-2020 - 00:00,8.98,0.57,43.74,34.96,2.0,5.99,4.02,77.4,-0.24,755.11,261.12,3.0,0.6,223.68,13.75,21.4,19.88,24-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-Jul-2020 - 00:00,4.81,0.69,39.73,49.66,1.99,6.0,4.0,78.0,-0.15,758.85,282.39,2.99,0.92,154.87,2.22,21.4,11.6,25-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Jul-2020 - 00:00,2.74,0.48,34.57,34.94,2.0,6.0,4.01,84.19,-0.12,760.98,185.91,3.0,1.22,117.59,1.31,23.41,12.56,26-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-Jul-2020 - 00:00,4.9,0.2,50.54,46.44,1.99,6.02,4.01,78.65,-0.22,760.18,231.47,3.01,0.51,189.8,0.46,12.97,6.66,27-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Jul-2020 - 00:00,4.15,0.15,47.4,40.49,2.01,6.0,4.0,72.91,-0.21,756.11,262.94,3.0,0.62,243.99,0.39,7.05,3.3,28-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Jul-2020 - 00:00,5.0,0.15,39.99,34.43,2.0,6.02,4.0,67.2,-0.21,752.74,244.56,3.0,0.64,250.11,0.28,5.15,2.39,29-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-Jul-2020 - 00:00,4.46,0.27,58.74,35.49,2.0,6.0,3.99,72.47,-0.18,754.45,224.15,2.99,0.77,218.78,0.36,5.42,2.64,30-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-Jul-2020 - 00:00,5.5,0.25,50.95,26.53,2.01,6.02,4.0,90.13,-0.21,758.46,146.55,3.01,0.62,205.21,0.89,6.31,3.25,31-Jul-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
31-Jul-2020 - 00:00,5.51,0.39,72.52,40.29,2.0,6.0,4.0,81.61,-0.22,755.84,177.88,3.0,0.6,176.46,0.59,6.15,3.35,01-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-Aug-2020 - 00:00,5.85,0.37,37.62,34.64,2.0,6.01,4.0,85.17,-0.22,755.39,152.69,3.0,0.57,219.41,0.45,6.54,2.83,02-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Aug-2020 - 00:00,4.51,0.38,42.93,34.32,2.0,6.01,3.98,75.07,-0.21,751.8,254.43,3.0,0.66,229.56,0.69,7.78,3.9,03-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Aug-2020 - 00:00,6.15,0.39,41.72,35.71,2.0,6.0,4.0,69.89,-0.21,745.94,206.06,3.0,0.62,238.39,0.49,8.35,4.06,04-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Aug-2020 - 00:00,3.7,0.36,45.71,31.42,2.0,6.02,4.0,68.32,-0.21,743.34,221.53,3.0,0.6,214.83,1.38,7.95,3.93,05-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Aug-2020 - 00:00,8.8,0.62,23.55,40.0,2.02,6.01,4.02,86.48,-0.2,746.2,120.03,2.99,0.89,156.3,3.59,8.06,4.48,06-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Aug-2020 - 00:00,3.9,0.29,39.17,34.27,2.17,6.0,4.01,71.26,0.06,749.52,206.35,3.01,2.2,109.54,2.75,4.1,1.82,07-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Aug-2020 - 00:00,6.35,0.36,41.13,43.47,2.0,5.98,4.0,76.8,-0.03,753.73,210.93,3.0,1.62,149.25,2.37,3.72,1.5,08-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Aug-2020 - 00:00,6.05,0.32,44.24,54.05,2.0,5.99,4.01,74.61,-0.23,750.85,201.96,3.0,0.58,220.03,2.84,4.3,2.16,09-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Aug-2020 - 00:00,5.09,0.17,41.82,42.16,2.0,6.0,4.0,87.68,-0.21,750.75,136.0,3.01,0.6,228.29,2.7,3.07,1.42,10-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Aug-2020 - 00:00,5.9,0.13,28.32,41.69,2.0,6.01,4.0,86.22,-0.16,752.02,171.16,3.01,0.96,159.14,2.76,4.41,1.67,11-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Aug-2020 - 00:00,4.91,0.4,31.08,47.68,2.0,5.98,4.01,83.2,-0.21,751.45,194.87,3.0,0.63,247.46,2.87,3.73,1.78,12-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Aug-2020 - 00:00,3.44,0.14,37.57,33.6,2.01,6.03,4.01,78.53,-0.16,749.86,222.83,3.01,0.69,252.39,2.96,3.46,2.18,13-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Aug-2020 - 00:00,3.96,0.24,27.57,20.29,1.99,6.02,4.02,93.09,-0.09,751.37,74.14,3.0,0.71,152.9,3.23,3.84,2.21,14-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Aug-2020 - 00:00,3.73,0.29,16.33,33.95,2.0,6.01,3.99,93.71,0.06,749.36,148.37,3.01,1.32,114.16,2.89,3.93,1.99,15-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Aug-2020 - 00:00,4.05,0.22,26.17,37.76,2.0,6.01,4.01,89.06,0.04,748.54,210.78,3.01,0.97,131.64,2.63,2.8,1.2,16-Aug-2020 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
