from date,AT,Benzene,BP,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,RH,SO2,SR,WD,WS,VWS,Toluene,to date,station
13-Jan-2020 - 00:00,16.19,,971.6,0.76,14.29,76.8,52.31,90.49,23.66,314.16,172.84,70.79,11.27,46.27,164.69,0.87,0.12,,14-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
14-Jan-2020 - 00:00,15.18,,971.39,0.65,14.98,20.11,35.24,35.13,20.72,161.48,87.72,75.12,11.44,71.21,211.15,0.47,0.0,,15-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
15-Jan-2020 - 00:00,15.17,,972.25,0.95,19.45,22.67,42.73,41.22,23.43,184.22,90.76,71.01,12.78,75.62,202.92,0.41,0.0,,16-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
16-Jan-2020 - 00:00,14.16,,972.46,0.86,21.43,22.45,38.63,38.85,18.77,195.98,111.31,77.49,12.48,33.93,207.67,0.31,0.0,,17-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
17-Jan-2020 - 00:00,15.36,,972.63,1.35,16.94,21.07,29.93,37.07,25.55,136.69,83.45,79.77,12.75,62.29,206.58,0.45,0.0,,18-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
18-Jan-2020 - 00:00,14.4,,973.1,0.77,17.34,29.86,40.08,45.66,25.69,194.15,107.14,77.2,11.16,60.6,206.28,0.4,0.0,,19-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
19-Jan-2020 - 00:00,12.43,,971.74,0.54,18.84,6.28,27.68,19.85,29.31,177.67,100.16,74.94,9.62,87.69,219.65,0.99,0.0,,20-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
20-Jan-2020 - 00:00,13.0,,971.87,1.43,17.4,31.79,34.58,44.29,24.09,230.12,120.08,78.73,12.49,60.41,215.6,0.72,0.0,,21-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
21-Jan-2020 - 00:00,14.96,,972.43,2.12,21.47,73.64,57.9,90.81,18.18,326.06,169.99,74.5,12.0,74.11,174.88,0.71,0.06,,22-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
22-Jan-2020 - 00:00,13.89,,973.79,0.69,17.11,95.66,53.14,106.27,15.9,302.28,163.65,78.24,10.72,78.51,212.13,0.74,0.0,,23-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
23-Jan-2020 - 00:00,15.6,,971.35,0.54,7.49,3.85,9.19,7.91,25.28,131.38,51.04,55.47,10.98,98.22,217.92,1.47,0.0,,24-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
24-Jan-2020 - 00:00,15.23,,971.34,1.48,8.32,30.82,31.84,41.4,25.87,158.84,63.15,53.5,16.19,96.45,217.33,1.57,0.0,136.65,25-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
25-Jan-2020 - 00:00,15.16,,971.37,1.9,12.81,65.66,45.3,77.49,22.61,265.88,125.28,59.38,13.55,94.54,226.21,0.68,0.0,,26-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
26-Jan-2020 - 00:00,15.94,,971.96,2.61,25.53,125.61,70.58,139.91,21.59,294.9,163.61,64.74,12.72,91.65,212.46,0.73,0.0,,27-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
27-Jan-2020 - 00:00,17.15,,971.83,1.26,27.77,120.01,94.51,148.07,11.61,299.95,153.68,64.95,12.34,51.73,167.14,0.8,0.02,,28-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
28-Jan-2020 - 00:00,17.52,,973.28,0.59,16.27,12.66,28.4,24.85,14.27,144.06,88.21,72.1,11.11,70.1,136.84,1.52,0.14,,29-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
29-Jan-2020 - 00:00,16.94,,972.07,0.22,6.38,5.84,5.38,7.62,19.79,104.02,54.73,67.25,10.61,88.38,200.42,0.55,0.0,,30-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
30-Jan-2020 - 00:00,15.86,,971.53,0.76,17.51,16.51,37.1,33.17,19.22,161.8,53.93,67.77,10.61,97.74,207.41,0.87,0.0,,31-Jan-2020 - 00:00,"R K Puram, Delhi - DPCC"
31-Jan-2020 - 00:00,14.51,,971.35,1.06,13.79,34.75,39.09,49.06,17.31,188.68,74.23,66.22,10.99,103.53,226.78,0.9,0.0,,01-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
01-Feb-2020 - 00:00,15.23,,972.4,0.94,10.18,47.43,30.46,51.63,19.41,255.67,90.0,65.41,9.91,99.7,216.83,0.72,0.0,,02-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
02-Feb-2020 - 00:00,14.24,,971.64,0.76,10.84,36.68,40.29,43.66,19.54,223.28,95.77,67.57,10.37,98.39,212.65,0.74,0.0,,03-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
03-Feb-2020 - 00:00,15.32,,971.41,1.73,12.82,59.23,48.77,74.55,22.42,291.98,116.77,61.01,12.55,102.61,217.64,0.62,0.0,,04-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
04-Feb-2020 - 00:00,15.45,,974.39,2.13,14.42,140.23,79.61,156.59,22.57,399.69,165.67,63.44,11.08,95.34,191.4,0.62,0.02,,05-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
05-Feb-2020 - 00:00,16.08,,971.84,0.85,17.06,44.43,46.19,60.71,20.67,265.06,113.74,62.22,10.43,97.97,213.34,0.73,0.0,,06-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
06-Feb-2020 - 00:00,15.03,,971.46,1.1,12.14,38.73,39.49,52.37,20.79,238.14,98.8,62.59,11.57,103.72,214.31,0.84,0.0,,07-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
07-Feb-2020 - 00:00,15.18,,973.37,1.12,8.55,44.26,33.89,54.07,17.7,269.02,120.22,63.0,11.65,93.2,205.48,0.61,0.0,,08-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
08-Feb-2020 - 00:00,15.83,,971.34,0.69,15.36,37.53,49.26,56.81,18.47,273.88,125.25,62.83,11.16,97.53,212.39,0.71,0.0,,09-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
09-Feb-2020 - 00:00,16.28,,973.0,0.81,15.01,46.77,56.37,68.12,20.19,263.7,117.86,61.26,10.42,100.41,208.77,0.59,0.0,,10-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
10-Feb-2020 - 00:00,15.95,,972.25,1.27,15.83,83.6,69.6,105.18,20.94,354.35,158.24,64.57,12.31,97.54,209.73,0.63,0.0,,11-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
11-Feb-2020 - 00:00,16.54,,973.12,1.19,18.52,129.02,87.05,151.37,19.79,353.85,152.82,61.78,10.72,100.82,207.15,0.68,0.0,,12-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
12-Feb-2020 - 00:00,18.65,,971.78,0.41,32.82,35.5,67.21,64.7,22.6,333.3,149.04,59.94,10.92,98.23,218.66,1.33,0.0,,13-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
13-Feb-2020 - 00:00,21.35,,971.56,0.4,19.2,6.18,33.44,22.83,24.27,206.34,75.31,52.54,11.62,104.24,222.3,1.91,,38.24,14-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
14-Feb-2020 - 00:00,21.19,,971.34,0.32,14.74,10.24,34.33,26.6,27.19,229.97,62.56,48.32,11.21,105.51,217.52,2.01,,11.59,15-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
15-Feb-2020 - 00:00,20.06,,971.32,0.5,13.23,12.76,46.75,35.27,23.59,207.72,65.44,44.04,12.33,107.29,219.81,1.74,0.0,,16-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
16-Feb-2020 - 00:00,19.93,,971.35,1.06,18.56,62.33,81.28,94.1,21.56,267.01,109.24,52.25,12.06,105.47,210.45,0.87,0.0,,17-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
17-Feb-2020 - 00:00,20.53,,971.41,0.78,21.48,55.39,84.09,89.85,19.57,290.77,126.66,51.67,11.51,104.49,217.84,1.03,0.0,,18-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
18-Feb-2020 - 00:00,20.19,,971.34,0.94,18.53,64.44,83.89,97.2,22.26,300.98,112.52,47.21,13.53,106.98,216.29,1.16,0.0,,19-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
19-Feb-2020 - 00:00,21.19,,971.66,0.67,16.53,87.02,77.29,112.01,24.43,236.07,87.85,53.03,10.58,103.62,132.1,1.68,0.15,,20-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
20-Feb-2020 - 00:00,22.95,,971.31,0.38,21.45,4.98,45.76,28.39,31.4,221.17,71.5,50.49,10.78,94.03,117.23,2.49,0.23,,21-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
21-Feb-2020 - 00:00,18.86,,971.35,0.36,18.51,11.48,43.4,32.45,17.33,89.04,39.33,69.76,11.24,47.84,126.06,2.54,0.12,,22-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
22-Feb-2020 - 00:00,20.38,,971.35,0.9,13.17,53.71,45.07,67.79,14.13,146.17,59.67,67.25,11.88,96.11,147.81,0.89,0.04,,23-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
23-Feb-2020 - 00:00,22.19,,971.97,0.46,16.24,61.98,51.98,78.18,16.2,163.17,71.58,63.98,10.62,92.1,194.59,0.66,0.0,,24-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
24-Feb-2020 - 00:00,22.2,,971.32,0.62,14.59,40.13,51.24,60.02,16.16,146.61,55.98,60.19,10.98,106.05,207.06,0.68,0.0,,25-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
25-Feb-2020 - 00:00,23.56,,971.32,0.85,18.02,38.16,54.86,60.37,19.9,228.0,103.56,57.96,10.9,135.98,211.49,0.91,0.0,,26-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
26-Feb-2020 - 00:00,21.9,,973.21,1.05,14.06,108.76,64.73,123.06,17.8,278.54,126.35,65.66,11.74,118.21,207.75,0.82,0.0,,27-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
27-Feb-2020 - 00:00,22.74,,973.58,0.46,18.58,28.25,45.4,47.16,20.04,168.64,76.93,66.27,10.42,90.16,138.5,0.93,0.06,,28-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
28-Feb-2020 - 00:00,23.48,,971.32,0.31,17.49,6.33,29.68,20.95,24.8,141.2,60.55,62.83,8.92,96.16,119.4,2.37,0.24,,29-Feb-2020 - 00:00,"R K Puram, Delhi - DPCC"
29-Feb-2020 - 00:00,22.36,,971.31,0.26,14.43,7.12,27.77,20.57,19.85,97.91,43.79,67.1,10.23,87.38,110.47,2.41,0.17,,01-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
01-Mar-2020 - 00:00,22.96,,971.62,0.9,12.27,31.05,31.27,41.96,22.96,104.52,43.88,64.57,11.57,116.46,154.88,0.99,0.05,,02-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
02-Mar-2020 - 00:00,23.79,,974.64,1.01,11.83,75.89,39.06,82.63,22.16,186.73,74.39,67.02,12.31,110.97,198.25,0.6,0.0,,03-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
03-Mar-2020 - 00:00,23.9,,971.9,0.61,13.03,58.84,39.2,68.82,27.06,178.16,67.45,59.23,10.47,115.27,204.39,0.77,0.0,,04-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
04-Mar-2020 - 00:00,23.48,,971.33,0.62,15.74,52.28,36.9,62.24,24.55,162.93,60.82,59.23,10.28,104.24,172.76,1.17,0.07,,05-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
05-Mar-2020 - 00:00,21.59,,971.7,0.34,13.22,9.55,28.26,22.82,20.05,59.04,22.86,64.57,10.35,106.89,132.28,2.0,0.18,,06-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
06-Mar-2020 - 00:00,18.12,,974.03,0.24,11.34,9.48,25.95,21.53,18.56,36.76,14.75,75.98,11.03,77.1,130.89,2.37,0.18,,07-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
07-Mar-2020 - 00:00,18.78,,971.67,0.99,10.17,25.94,26.46,35.01,46.7,99.12,40.51,74.89,12.13,67.74,168.7,0.91,0.04,311.18,08-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
08-Mar-2020 - 00:00,21.06,,974.09,0.47,9.75,23.56,23.79,31.86,10.52,119.5,49.91,62.9,9.95,132.82,198.12,0.81,0.0,181.75,09-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
09-Mar-2020 - 00:00,20.74,,971.28,0.87,6.7,24.59,23.33,28.84,8.02,146.29,55.98,58.16,15.37,129.55,214.27,1.18,0.0,155.72,10-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
10-Mar-2020 - 00:00,21.57,,971.3,0.37,15.55,10.06,27.18,22.67,8.0,144.19,64.24,57.1,14.22,123.73,190.88,0.77,0.02,129.8,11-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
11-Mar-2020 - 00:00,23.44,,971.28,0.23,16.54,5.74,25.17,18.08,8.03,97.34,43.02,60.92,12.68,120.53,138.59,1.96,0.19,116.21,12-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
12-Mar-2020 - 00:00,24.43,,971.31,0.76,13.6,36.16,37.27,49.31,25.95,148.12,46.78,55.64,15.8,129.02,181.21,1.24,0.06,219.04,13-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
13-Mar-2020 - 00:00,23.61,,971.32,0.29,14.63,17.99,41.43,36.72,35.74,182.35,52.14,49.12,13.36,125.8,190.56,0.92,0.0,167.13,14-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
14-Mar-2020 - 00:00,20.37,,971.55,0.41,20.03,16.79,49.69,40.14,24.34,78.66,29.86,72.88,11.95,78.13,136.17,1.3,0.08,,15-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
15-Mar-2020 - 00:00,20.59,,971.54,0.51,19.73,24.22,61.6,52.58,34.35,111.76,41.14,63.37,10.89,124.31,171.2,0.75,0.03,,16-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
16-Mar-2020 - 00:00,22.31,,971.3,0.53,20.49,27.31,60.89,54.62,37.71,132.22,48.09,61.36,12.34,123.12,207.56,0.7,0.0,,17-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
17-Mar-2020 - 00:00,23.68,,971.31,0.77,20.39,43.24,62.64,68.56,45.74,148.43,56.49,58.91,14.77,135.22,206.9,0.82,0.0,,18-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
18-Mar-2020 - 00:00,24.89,,971.31,0.88,20.73,49.24,68.83,76.73,44.74,156.14,57.69,56.58,13.29,133.75,199.17,0.9,0.0,,19-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
19-Mar-2020 - 00:00,25.73,,971.32,0.59,25.58,54.6,67.52,80.52,43.43,170.05,64.94,60.0,15.25,129.53,204.57,0.75,0.0,,20-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
20-Mar-2020 - 00:00,26.85,,971.29,0.75,23.48,46.06,87.33,83.79,50.67,188.57,75.66,57.43,19.9,118.21,167.23,0.85,0.03,,21-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
21-Mar-2020 - 00:00,26.88,,971.3,0.91,24.11,47.11,67.19,74.17,47.79,152.36,60.26,53.86,18.49,119.31,193.12,0.68,0.0,113.02,22-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
22-Mar-2020 - 00:00,27.2,,971.3,0.31,25.82,18.37,40.61,36.59,51.79,123.88,59.71,53.0,14.15,131.63,186.11,0.69,0.0,,23-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
23-Mar-2020 - 00:00,27.55,,971.3,0.79,22.52,14.28,38.78,32.25,53.49,109.79,46.28,51.65,15.59,126.56,189.2,0.64,0.0,,24-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
24-Mar-2020 - 00:00,26.17,,972.4,0.26,23.38,7.81,29.76,22.19,39.61,85.3,38.0,59.32,14.23,105.78,185.02,0.8,0.02,,25-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
25-Mar-2020 - 00:00,27.95,,971.73,0.3,26.27,5.53,19.63,14.95,41.04,59.91,24.28,56.97,11.16,134.58,199.4,0.69,0.0,,26-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
26-Mar-2020 - 00:00,26.67,,971.31,0.33,22.98,2.49,13.62,9.27,37.71,66.8,27.87,57.3,13.35,103.14,217.05,1.24,0.0,,27-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
27-Mar-2020 - 00:00,24.23,,971.3,0.22,20.18,2.99,12.46,9.07,37.35,44.93,19.48,65.88,11.93,82.27,172.42,1.35,0.1,,28-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
28-Mar-2020 - 00:00,25.54,,971.56,0.19,17.98,2.48,15.17,10.1,40.73,32.32,16.13,59.39,11.43,139.62,199.99,0.81,0.0,,29-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
29-Mar-2020 - 00:00,26.58,,971.3,0.18,16.22,1.99,9.96,6.93,54.76,53.79,21.13,51.32,10.94,140.55,204.88,1.12,0.0,,30-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
30-Mar-2020 - 00:00,26.32,,971.3,0.26,18.17,2.1,13.76,9.04,61.28,63.7,25.5,48.92,13.47,140.51,209.52,0.99,0.0,,31-Mar-2020 - 00:00,"R K Puram, Delhi - DPCC"
31-Mar-2020 - 00:00,27.77,,971.3,0.22,15.91,2.13,12.61,8.44,64.04,57.2,23.51,46.41,14.0,134.72,193.78,0.88,0.01,,01-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
01-Apr-2020 - 00:00,29.79,,971.3,0.36,19.29,2.34,11.68,8.12,62.93,57.44,22.74,45.36,15.09,161.07,199.03,0.96,0.0,,02-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
02-Apr-2020 - 00:00,28.03,,971.31,0.35,16.93,1.99,10.52,7.22,63.16,61.7,18.39,45.0,13.75,139.02,209.26,1.12,0.0,,03-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
03-Apr-2020 - 00:00,27.01,,971.31,,15.91,2.03,14.84,9.55,72.81,68.86,37.41,38.35,17.0,142.29,204.75,0.95,0.0,,04-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
04-Apr-2020 - 00:00,27.49,,971.3,,17.37,3.04,23.69,15.09,55.24,90.96,40.58,43.64,16.58,140.54,205.38,0.8,0.0,,05-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
05-Apr-2020 - 00:00,28.94,,971.3,,21.6,3.08,27.97,17.39,62.47,94.68,43.72,45.42,15.08,135.07,182.09,0.67,0.0,,06-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
06-Apr-2020 - 00:00,31.57,,971.31,,21.97,2.66,21.59,13.62,55.62,109.51,105.0,39.55,12.62,137.48,203.76,0.74,0.0,,07-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
07-Apr-2020 - 00:00,30.01,,971.3,,20.12,2.22,12.41,8.42,66.67,96.2,,40.12,,137.64,204.46,0.93,0.0,,08-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
08-Apr-2020 - 00:00,29.67,,971.3,,16.61,2.04,13.16,8.66,69.68,77.97,,34.31,,136.1,206.43,0.96,0.0,,09-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
09-Apr-2020 - 00:00,28.89,,971.31,0.89,18.68,2.15,19.73,12.25,68.82,77.77,27.4,37.56,11.99,139.85,208.29,0.86,0.0,,10-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
10-Apr-2020 - 00:00,30.82,,971.31,0.54,22.04,3.45,31.31,19.47,44.78,122.14,60.9,38.19,20.35,134.05,213.76,0.61,0.0,,11-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
11-Apr-2020 - 00:00,33.16,,971.3,0.47,23.69,6.34,24.47,17.92,55.15,106.28,43.06,37.65,16.69,134.72,185.81,0.73,0.02,,12-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
12-Apr-2020 - 00:00,32.55,,971.28,0.5,22.06,1.94,15.85,9.93,58.77,88.17,35.83,34.8,17.84,137.91,211.35,0.88,0.0,,13-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
13-Apr-2020 - 00:00,33.78,,971.29,0.67,24.99,3.21,31.57,19.24,43.97,161.32,70.39,37.06,,135.78,202.43,0.8,0.0,,14-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
14-Apr-2020 - 00:00,34.42,,971.29,0.69,23.7,4.04,36.77,22.71,9.31,116.53,43.24,39.68,16.91,115.82,173.29,0.55,0.02,,15-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
15-Apr-2020 - 00:00,34.89,,971.31,0.81,26.77,10.84,31.84,25.75,58.34,199.03,72.49,31.14,,123.06,175.22,0.65,0.0,,16-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
16-Apr-2020 - 00:00,34.61,,971.3,0.49,28.46,5.57,30.83,20.6,59.9,162.85,61.19,27.7,,128.41,199.98,0.8,0.0,,17-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
17-Apr-2020 - 00:00,34.39,0.47,971.38,0.42,22.61,2.08,13.23,8.68,62.72,68.47,19.19,28.45,8.74,117.96,169.09,1.16,0.08,1.67,18-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
18-Apr-2020 - 00:00,32.47,,971.29,0.4,24.39,2.16,14.05,9.24,58.88,68.17,19.42,36.53,12.61,130.08,118.54,1.77,0.12,,19-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
19-Apr-2020 - 00:00,26.88,,972.35,0.84,26.51,6.09,34.97,23.38,35.2,83.92,36.0,58.49,,46.3,194.37,0.51,0.0,,20-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
20-Apr-2020 - 00:00,28.88,,971.31,0.56,31.38,6.46,26.16,19.18,53.63,94.96,42.84,45.99,11.0,88.62,206.93,0.91,0.0,,21-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
21-Apr-2020 - 00:00,30.87,,971.32,0.46,25.83,2.09,19.26,11.95,66.33,72.83,29.75,40.6,,138.33,191.02,0.74,0.0,,22-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
22-Apr-2020 - 00:00,31.89,,971.31,0.7,25.62,3.71,32.0,20.17,45.85,147.35,56.18,38.14,21.59,139.04,203.78,0.7,0.0,,23-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
23-Apr-2020 - 00:00,32.27,,971.31,0.54,26.03,2.74,24.92,15.48,44.92,,57.6,33.85,16.08,120.12,186.98,0.66,0.0,,24-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
24-Apr-2020 - 00:00,32.96,,971.32,0.61,28.91,3.08,26.11,16.29,45.16,,54.17,38.18,17.12,137.05,184.39,0.82,0.03,,25-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
25-Apr-2020 - 00:00,33.4,,971.32,0.52,22.39,1.92,17.92,11.09,64.73,110.07,33.36,35.59,24.31,119.33,182.9,1.01,0.05,,26-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
26-Apr-2020 - 00:00,27.64,,971.39,0.41,27.56,2.19,13.26,8.84,72.09,86.21,40.09,55.51,10.69,70.67,139.27,1.64,0.1,,27-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
27-Apr-2020 - 00:00,29.33,,971.3,0.41,29.4,2.2,9.47,6.84,83.9,39.8,18.83,54.66,12.25,139.87,116.21,2.46,0.28,,28-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
28-Apr-2020 - 00:00,31.28,,971.3,0.61,30.38,2.42,19.42,12.3,72.97,73.41,34.01,50.31,13.02,133.36,158.5,1.45,0.15,,29-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
29-Apr-2020 - 00:00,33.51,,971.31,0.54,34.5,2.25,19.23,12.06,94.93,90.33,44.1,47.15,13.31,133.37,182.83,0.78,0.02,,30-Apr-2020 - 00:00,"R K Puram, Delhi - DPCC"
30-Apr-2020 - 00:00,34.95,,971.31,0.55,34.25,2.11,14.63,9.51,,87.31,39.48,42.36,13.13,130.68,163.42,0.87,0.04,,01-May-2020 - 00:00,"R K Puram, Delhi - DPCC"
