from date,Benzene,Toluene,BP,CO,Eth-Benzene,MP-Xylene,O Xylene,NO,NO2,NOx,Ozone,PM2.5,RH,SO2,SR,Temp,VWS,WD,WS,to date,station
18-Jan-2020 - 00:00,0.0,0.22,762.04,0.63,0.08,,0.0,4.35,10.77,15.0,24.03,24.9,,4.11,49.75,26.51,-0.45,128.92,0.66,19-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
19-Jan-2020 - 00:00,0.0,0.09,762.6,0.56,0.15,,0.08,5.66,18.87,24.53,17.09,22.87,,3.83,29.26,26.72,-0.45,121.62,0.71,20-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
20-Jan-2020 - 00:00,0.0,0.0,763.25,0.59,0.08,,0.0,9.42,15.55,24.93,18.02,35.1,,4.38,30.53,25.91,-0.46,128.04,0.61,21-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
21-Jan-2020 - 00:00,0.0,0.0,764.41,0.55,0.0,,0.0,10.33,20.98,31.29,27.33,40.65,,4.09,39.34,25.49,-0.45,104.75,0.7,22-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
22-Jan-2020 - 00:00,0.1,0.0,764.53,0.54,0.12,,0.0,13.15,26.11,39.12,29.44,48.7,,2.16,50.91,25.81,-0.43,101.31,0.99,23-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
23-Jan-2020 - 00:00,0.04,0.0,763.72,0.57,0.0,,0.1,12.53,24.58,37.1,26.5,62.19,,1.64,37.78,26.02,-0.44,104.28,0.91,24-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
24-Jan-2020 - 00:00,0.02,0.0,763.43,0.84,0.08,,0.0,21.62,27.98,49.6,28.87,56.51,,3.65,19.78,25.14,-0.44,86.79,0.88,25-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
25-Jan-2020 - 00:00,0.06,0.0,764.03,0.7,0.26,,0.0,28.62,26.21,54.83,27.75,53.43,,3.47,11.99,23.34,-0.46,77.45,0.35,26-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
26-Jan-2020 - 00:00,0.04,0.0,762.46,0.61,0.08,,0.0,18.42,21.83,40.24,30.68,48.5,,5.03,40.55,25.2,-0.49,142.21,0.28,27-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
27-Jan-2020 - 00:00,0.06,0.09,762.06,0.72,0.08,,0.1,18.71,24.21,42.88,27.63,51.14,,4.24,42.54,25.4,-0.5,204.13,0.27,28-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
28-Jan-2020 - 00:00,0.16,0.0,762.12,0.7,0.12,,0.0,12.44,23.14,35.57,29.96,54.55,,5.14,46.76,26.34,-0.49,198.57,0.32,29-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
29-Jan-2020 - 00:00,0.0,0.0,762.71,0.59,0.0,,0.0,7.53,21.13,17.23,14.48,43.43,,3.41,5.86,25.04,-0.49,148.48,0.19,30-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
30-Jan-2020 - 00:00,,,762.09,0.51,,,,9.65,21.69,9.65,18.76,40.7,,3.41,51.27,25.95,-0.49,180.56,0.27,31-Jan-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
31-Jan-2020 - 00:00,,,761.37,0.57,,,,11.77,18.35,11.77,45.7,43.39,,4.64,54.78,26.25,-0.49,172.14,0.28,01-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
01-Feb-2020 - 00:00,,,761.98,0.42,,,,10.96,19.65,10.96,34.04,42.88,,4.33,56.92,26.6,-0.49,167.47,0.28,02-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
02-Feb-2020 - 00:00,,,763.48,0.5,,,,17.52,24.6,17.52,22.06,36.11,,4.55,48.28,26.53,-0.49,122.61,0.32,03-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
03-Feb-2020 - 00:00,,,763.69,0.63,,,,11.09,22.64,11.09,18.54,32.92,,4.19,57.72,26.18,-0.46,107.99,0.9,04-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
04-Feb-2020 - 00:00,,,762.54,0.6,,,,16.2,13.68,16.2,32.77,37.04,,3.23,59.02,26.09,-0.46,117.79,0.92,05-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
05-Feb-2020 - 00:00,0.0,0.0,762.64,0.64,0.0,,0.0,25.38,25.6,33.71,40.77,38.5,,3.77,37.4,25.74,-0.49,106.63,0.3,06-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
06-Feb-2020 - 00:00,0.0,0.0,762.58,0.6,0.0,,0.0,18.5,19.86,38.37,45.27,44.55,,3.28,64.74,26.07,-0.49,172.53,0.29,07-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
07-Feb-2020 - 00:00,0.0,0.0,762.83,0.52,0.0,,0.0,12.5,17.92,30.42,25.1,38.65,,3.33,64.15,26.51,-0.49,201.45,0.37,08-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
08-Feb-2020 - 00:00,0.0,0.0,762.98,0.49,0.0,,0.0,9.9,15.59,25.49,29.09,33.75,,3.58,64.43,26.76,-0.49,193.56,0.35,09-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
09-Feb-2020 - 00:00,0.0,0.0,763.23,0.35,0.0,,0.0,7.83,11.4,19.23,30.59,35.21,,3.69,59.11,26.69,-0.46,128.08,0.89,10-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
10-Feb-2020 - 00:00,0.0,0.0,763.3,0.5,0.0,,0.0,6.54,11.87,18.41,27.34,39.03,,5.07,69.19,26.84,-0.45,122.09,1.22,11-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
11-Feb-2020 - 00:00,0.0,0.0,763.63,0.51,0.09,,0.0,15.15,18.36,33.51,,38.73,,5.22,34.51,26.55,-0.45,114.95,1.2,12-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
12-Feb-2020 - 00:00,0.0,0.0,762.79,0.56,0.0,,0.0,8.95,22.95,31.89,4.97,37.56,,6.67,66.19,27.08,-0.41,122.37,2.04,13-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
13-Feb-2020 - 00:00,0.74,0.21,755.3,0.6,0.06,,0.15,6.69,25.18,31.83,11.39,45.74,,6.3,83.42,26.46,-0.43,102.0,1.62,14-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
14-Feb-2020 - 00:00,0.47,0.15,753.82,0.65,0.39,,0.3,11.35,27.03,38.38,34.28,74.77,,5.38,77.56,26.21,-0.47,148.86,0.74,15-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
15-Feb-2020 - 00:00,0.0,0.0,753.82,0.66,0.0,,0.0,16.53,26.05,42.58,28.4,66.12,,5.91,83.84,25.71,-0.48,160.25,0.51,16-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
16-Feb-2020 - 00:00,0.16,0.14,755.03,0.49,0.18,,0.2,12.14,21.44,33.57,29.01,46.6,,5.77,83.96,25.39,-0.48,167.04,0.53,17-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
17-Feb-2020 - 00:00,0.13,0.07,755.51,0.59,0.16,,0.08,15.16,20.69,35.85,17.09,36.24,,5.02,82.52,25.85,-0.49,158.11,0.49,18-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
18-Feb-2020 - 00:00,0.2,0.21,755.16,0.87,0.26,,0.09,28.98,25.35,54.32,17.15,53.03,,5.8,61.02,25.17,-0.49,155.83,0.42,19-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
19-Feb-2020 - 00:00,0.2,0.0,755.03,0.64,0.0,,0.14,16.5,21.53,38.03,28.21,47.31,,5.39,79.85,25.85,-0.47,148.46,0.72,20-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
20-Feb-2020 - 00:00,0.13,0.07,754.88,0.45,0.0,,0.04,18.52,26.15,44.67,31.39,33.89,,5.02,87.99,26.33,-0.47,119.26,0.78,21-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
21-Feb-2020 - 00:00,0.17,0.0,755.82,0.48,0.0,,0.07,27.93,24.05,51.98,15.2,46.3,,6.29,85.4,26.24,-0.42,114.62,1.96,22-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
22-Feb-2020 - 00:00,0.0,0.0,756.12,0.41,0.0,,0.0,7.9,13.52,21.42,18.12,34.02,,5.13,89.45,27.42,-0.41,122.34,2.07,23-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
23-Feb-2020 - 00:00,0.08,0.0,755.54,0.41,0.0,,0.0,7.7,13.6,21.3,29.03,31.21,,4.31,75.1,27.31,-0.44,122.97,1.36,24-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
24-Feb-2020 - 00:00,0.08,0.0,753.69,0.64,0.0,,0.0,17.37,16.39,33.76,23.59,42.55,,6.24,79.96,26.94,-0.48,114.98,0.71,25-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
25-Feb-2020 - 00:00,0.01,0.0,752.61,0.76,0.0,,0.0,7.88,19.3,26.66,30.35,45.34,,9.76,87.2,27.46,-0.48,174.76,0.37,26-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
26-Feb-2020 - 00:00,,,752.88,0.58,,,,6.52,8.69,14.85,30.51,40.38,,3.4,84.82,27.56,-0.48,155.68,0.48,27-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
27-Feb-2020 - 00:00,0.21,0.0,753.27,0.66,0.0,,0.0,10.53,12.94,23.46,17.67,40.24,,4.4,83.61,27.39,-0.47,147.06,0.88,28-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
28-Feb-2020 - 00:00,0.0,0.0,752.6,0.42,0.0,,0.0,6.96,16.63,23.59,26.06,35.83,,6.12,86.38,27.64,-0.47,137.61,0.76,29-Feb-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
29-Feb-2020 - 00:00,0.12,0.0,752.56,0.65,0.1,,0.0,10.2,22.64,32.27,28.72,46.47,,18.43,80.03,27.27,-0.47,155.83,0.64,01-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
01-Mar-2020 - 00:00,0.93,0.16,752.68,0.7,0.43,,0.19,7.64,13.79,21.43,50.34,36.9,,4.56,92.34,27.65,-0.48,138.21,0.49,02-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
02-Mar-2020 - 00:00,1.16,0.21,753.05,0.71,0.25,,0.0,7.95,16.16,24.11,13.54,41.67,,7.33,72.55,27.04,-0.48,172.45,0.48,03-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
03-Mar-2020 - 00:00,1.19,0.23,752.44,0.47,0.32,,0.41,11.04,14.71,25.75,37.84,47.45,,5.88,78.08,27.67,-0.49,155.13,0.43,04-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
04-Mar-2020 - 00:00,2.44,0.32,751.89,0.32,0.62,,0.41,10.25,19.35,29.6,24.51,44.11,,5.04,85.49,27.62,-0.49,188.15,0.34,05-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
05-Mar-2020 - 00:00,2.33,0.35,751.34,0.39,0.0,,0.54,6.36,17.45,23.8,13.96,44.0,,3.89,111.51,28.11,-0.48,178.18,0.51,06-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
06-Mar-2020 - 00:00,0.09,0.0,752.1,0.49,0.0,,0.35,6.65,6.87,13.52,16.59,25.61,,6.67,116.06,28.76,-0.47,221.21,0.69,07-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
07-Mar-2020 - 00:00,0.0,0.0,753.03,0.54,0.0,,0.0,6.89,10.91,17.8,35.39,21.94,,4.43,74.9,28.01,-0.48,216.32,0.62,08-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
08-Mar-2020 - 00:00,0.05,0.0,752.81,0.39,0.0,,0.0,6.45,6.25,12.7,14.19,15.7,,2.78,96.14,28.13,-0.49,194.66,0.42,09-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
09-Mar-2020 - 00:00,0.0,0.43,752.12,0.85,0.0,,0.0,10.87,10.25,20.95,16.62,25.47,,3.71,54.44,26.89,-0.49,159.88,0.32,10-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
10-Mar-2020 - 00:00,0.1,0.0,752.24,0.54,0.07,,0.0,8.48,14.93,23.4,36.04,23.42,,3.99,104.73,27.6,-0.48,188.36,0.43,11-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
11-Mar-2020 - 00:00,0.1,0.0,752.64,0.51,0.22,,0.0,10.95,2.4,13.29,18.23,18.67,,8.53,110.5,27.6,-0.48,183.53,0.5,12-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
12-Mar-2020 - 00:00,0.07,0.1,753.45,0.65,0.09,,0.0,10.76,1.72,12.15,16.18,23.98,,4.6,110.39,27.85,-0.48,220.65,0.52,13-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
13-Mar-2020 - 00:00,0.0,0.0,753.52,0.71,0.0,,0.11,15.47,27.61,43.06,18.98,34.27,,4.93,112.19,27.77,-0.48,164.19,0.4,14-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
14-Mar-2020 - 00:00,0.0,0.0,752.74,0.65,0.0,,0.09,11.2,23.07,33.94,20.59,33.42,,5.83,107.44,27.85,-0.47,157.14,0.69,15-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
15-Mar-2020 - 00:00,,,752.64,0.7,,,,13.34,16.14,29.47,22.85,44.44,,6.53,92.97,28.15,-0.47,127.3,0.78,16-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
16-Mar-2020 - 00:00,,,753.27,0.76,,,,9.65,13.08,22.73,11.97,30.05,,4.95,118.82,28.91,-0.46,128.63,0.96,17-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
17-Mar-2020 - 00:00,,,754.26,0.8,,,,8.86,9.74,18.59,18.6,38.43,,4.75,114.21,28.91,-0.48,171.19,0.51,18-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
18-Mar-2020 - 00:00,,,753.75,1.01,,,,10.03,6.62,16.62,20.58,31.24,,4.6,107.63,28.38,-0.49,189.08,0.37,19-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
19-Mar-2020 - 00:00,0.0,0.0,752.71,0.93,0.0,,0.0,9.03,7.58,16.59,15.36,46.09,,4.35,54.52,28.45,-0.49,184.37,0.49,20-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
20-Mar-2020 - 00:00,0.0,0.0,752.43,0.77,0.0,,0.0,9.98,7.36,17.22,13.48,31.11,,3.8,105.89,28.23,-0.48,217.37,0.64,21-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
21-Mar-2020 - 00:00,0.18,0.0,752.29,0.69,0.0,,0.0,7.89,7.8,15.68,30.38,27.7,,4.07,104.62,28.49,-0.48,227.41,0.67,22-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
22-Mar-2020 - 00:00,0.0,0.0,752.19,0.6,0.0,,0.0,4.5,3.08,7.21,22.06,27.65,,2.07,103.56,28.73,-0.48,230.9,0.62,23-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
23-Mar-2020 - 00:00,0.0,0.05,752.26,0.7,0.02,,0.0,6.38,9.03,15.24,19.26,30.79,,4.42,108.25,28.41,-0.49,192.01,0.45,24-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
24-Mar-2020 - 00:00,0.13,0.0,751.39,0.59,0.08,,0.0,4.92,13.78,18.69,8.58,22.12,,4.89,109.73,28.15,-0.49,171.64,0.45,25-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
25-Mar-2020 - 00:00,0.0,0.0,751.31,0.29,0.0,,0.0,4.15,10.35,14.49,11.52,15.7,,1.29,110.06,28.24,-0.49,190.26,0.5,26-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
26-Mar-2020 - 00:00,0.0,0.0,751.81,0.49,0.0,,0.0,11.98,21.45,33.41,10.91,32.25,,2.11,119.06,28.55,-0.48,136.87,0.56,27-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
27-Mar-2020 - 00:00,0.0,0.0,753.05,0.38,0.0,,0.0,4.25,10.39,14.64,12.18,21.11,,3.36,126.97,28.41,-0.49,185.19,0.36,28-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
28-Mar-2020 - 00:00,0.0,0.0,752.23,0.42,0.0,,0.0,4.32,10.61,14.93,11.83,28.16,,3.17,121.98,28.02,-0.49,210.53,0.41,29-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
29-Mar-2020 - 00:00,0.02,0.0,751.59,0.36,0.0,,0.0,3.98,7.22,11.19,16.03,22.46,,8.41,228.71,27.56,-0.48,197.31,0.47,30-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
30-Mar-2020 - 00:00,0.0,0.0,752.3,0.39,0.0,,0.0,4.25,8.24,12.49,12.59,22.92,,1.57,,28.71,-0.49,165.79,0.42,31-Mar-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
31-Mar-2020 - 00:00,0.02,0.0,752.69,0.46,0.0,,0.0,3.96,7.53,11.48,12.95,24.62,,5.01,,28.46,-0.49,144.57,0.41,01-Apr-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
01-Apr-2020 - 00:00,0.02,0.0,752.15,0.49,0.0,,0.0,4.22,10.28,14.5,13.42,24.1,,3.94,,29.17,-0.49,173.86,0.45,02-Apr-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
02-Apr-2020 - 00:00,0.1,0.07,751.31,0.44,0.0,,0.0,4.42,8.64,13.06,13.85,26.34,,2.34,,29.26,-0.48,248.9,0.6,03-Apr-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
03-Apr-2020 - 00:00,0.0,0.0,751.61,0.43,0.0,,0.0,4.46,6.36,10.81,12.93,26.49,,3.23,22.58,29.28,-0.48,235.32,0.61,04-Apr-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
04-Apr-2020 - 00:00,0.02,0.0,752.03,0.36,0.0,,0.0,4.43,7.01,11.45,11.17,23.83,,2.56,114.77,29.15,-0.48,193.63,0.49,05-Apr-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
05-Apr-2020 - 00:00,0.02,0.0,752.31,0.38,0.0,,0.0,4.16,10.05,10.56,13.27,17.38,,5.09,112.28,29.73,-0.48,195.16,0.66,06-Apr-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
06-Apr-2020 - 00:00,0.0,0.0,752.0,0.37,0.0,,0.0,3.9,14.75,11.26,11.58,13.64,,3.71,103.49,30.07,-0.47,238.65,0.72,07-Apr-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
07-Apr-2020 - 00:00,0.0,0.0,751.1,0.39,0.0,,0.0,4.32,15.88,12.26,13.25,9.3,,4.63,97.25,29.76,-0.47,255.7,0.76,08-Apr-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
08-Apr-2020 - 00:00,0.0,0.0,751.33,0.41,0.0,,0.0,3.77,11.29,9.41,12.19,10.25,,4.06,103.21,29.94,-0.48,243.26,0.74,09-Apr-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
09-Apr-2020 - 00:00,0.0,0.0,751.92,0.35,0.0,,0.0,4.2,17.23,12.81,11.85,14.1,,5.21,69.97,27.98,-0.46,230.02,1.05,10-Apr-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
10-Apr-2020 - 00:00,0.0,0.0,752.43,0.46,0.0,,0.0,4.0,19.73,13.86,12.94,63.22,,5.9,119.01,28.44,-0.48,183.68,0.54,11-Apr-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
11-Apr-2020 - 00:00,0.0,0.0,753.17,0.46,0.0,,0.0,4.17,22.41,15.37,13.82,17.33,,3.87,123.32,29.33,-0.49,164.65,0.37,12-Apr-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
12-Apr-2020 - 00:00,0.0,0.0,752.44,0.4,0.0,,0.0,3.96,18.81,13.36,12.67,13.42,,2.57,123.93,29.0,-0.49,192.78,0.45,13-Apr-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
13-Apr-2020 - 00:00,0.0,0.0,751.24,0.45,0.0,,0.0,4.06,21.57,14.84,16.01,16.29,,4.32,125.02,29.01,-0.49,160.76,0.42,14-Apr-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
14-Apr-2020 - 00:00,0.0,0.0,751.55,0.36,0.0,,0.0,3.7,20.85,14.13,16.34,14.78,,1.36,124.01,28.79,-0.48,160.61,0.5,15-Apr-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
15-Apr-2020 - 00:00,0.0,0.0,752.35,0.43,0.0,,0.0,4.05,17.97,13.03,16.1,14.29,,5.79,124.86,29.16,-0.49,171.65,0.5,16-Apr-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
16-Apr-2020 - 00:00,0.0,0.0,751.27,0.47,0.0,,0.0,4.41,14.75,10.25,19.76,43.71,,4.67,119.65,29.21,-0.47,219.57,0.81,17-Apr-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
17-Apr-2020 - 00:00,0.0,0.0,750.97,0.36,0.0,,0.0,3.63,0.43,3.45,13.71,9.23,,3.23,115.25,29.99,-0.47,246.35,0.8,18-Apr-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
18-Apr-2020 - 00:00,0.0,0.0,750.96,0.4,0.0,,0.0,3.28,3.38,5.28,12.82,7.89,,3.56,122.63,30.27,-0.47,237.43,0.92,19-Apr-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
19-Apr-2020 - 00:00,0.0,0.0,750.99,0.32,0.0,,0.0,3.61,0.62,3.13,12.07,7.22,,2.99,125.37,30.34,-0.48,210.59,0.71,20-Apr-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
20-Apr-2020 - 00:00,0.04,0.04,750.93,0.35,0.0,,0.0,3.43,0.74,3.27,13.96,8.43,,5.16,124.57,30.12,-0.48,204.39,0.6,21-Apr-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
21-Apr-2020 - 00:00,0.0,0.0,750.87,0.46,0.0,,0.0,3.21,2.77,5.13,15.95,8.55,,3.7,128.65,30.25,-0.47,217.42,0.7,22-Apr-2020 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
