from date,PM10,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,CO,SO2,WS,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,to date,station
20-Apr-2020 - 00:00,,0.04,161.39,43.35,744.08,122.67,16.52,29.77,28.96,40.35,17.43,25.54,1.25,7.04,0.98,0.01,0.03,0.46,2.21,0.17,21-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
21-Apr-2020 - 00:00,,0.03,220.39,40.65,744.24,183.82,8.24,23.88,19.29,66.89,19.79,26.22,0.94,5.18,0.6,0.19,0.32,0.04,0.05,0.21,22-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
22-Apr-2020 - 00:00,,-0.07,186.54,32.93,743.26,190.12,10.55,31.92,25.42,61.13,22.57,27.51,1.08,8.2,0.49,0.42,0.22,0.28,2.15,0.3,23-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
23-Apr-2020 - 00:00,,-0.23,192.04,32.35,742.7,125.54,8.39,28.49,21.87,58.45,20.26,27.47,1.16,5.66,0.73,0.04,0.0,0.28,0.57,0.15,24-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
24-Apr-2020 - 00:00,,-0.22,173.13,35.23,741.64,204.83,8.59,24.26,19.78,70.65,22.68,28.56,1.12,6.79,0.72,0.46,0.0,0.18,0.84,0.07,25-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
25-Apr-2020 - 00:00,,-0.27,161.57,32.18,741.78,209.97,7.87,18.07,15.9,77.87,19.91,28.9,0.85,5.29,0.86,0.21,0.0,0.0,0.41,0.0,26-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
26-Apr-2020 - 00:00,,-0.35,125.85,52.1,743.71,174.09,7.7,16.47,14.92,68.61,17.64,24.73,0.95,5.24,1.52,0.0,0.0,0.09,0.46,0.0,27-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
27-Apr-2020 - 00:00,,-0.38,116.38,63.24,745.59,217.71,7.59,14.66,13.87,70.48,17.3,24.7,1.11,6.57,1.71,0.07,0.0,0.02,0.01,0.07,28-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
28-Apr-2020 - 00:00,,-0.34,112.49,53.71,745.5,195.97,7.64,15.8,14.51,74.13,19.23,26.62,1.19,5.67,1.03,0.08,0.0,0.01,0.3,0.0,29-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
29-Apr-2020 - 00:00,,-0.23,161.73,48.75,743.65,217.78,7.65,17.5,15.42,63.17,26.72,28.79,0.97,6.0,0.76,0.23,0.8,0.35,0.59,0.23,30-Apr-2020 - 00:00,"Shadipur, Delhi - CPCB"
30-Apr-2020 - 00:00,,-0.04,146.41,46.27,743.18,227.21,7.82,13.64,13.51,36.49,32.57,29.44,0.78,4.86,0.84,0.45,1.99,0.14,0.09,0.32,01-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
01-May-2020 - 00:00,,0.01,120.98,50.0,742.0,210.03,7.78,14.44,13.9,40.63,36.12,29.62,0.72,3.45,1.07,0.54,1.79,0.0,0.0,0.08,02-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
02-May-2020 - 00:00,,0.33,123.27,52.94,741.97,207.62,7.58,9.66,11.21,44.49,26.94,28.37,0.5,3.65,1.84,0.0,0.08,0.0,0.0,0.0,03-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
03-May-2020 - 00:00,,0.36,136.15,63.43,742.92,164.87,7.88,12.97,13.2,31.87,22.74,26.51,0.61,2.99,1.3,0.0,0.0,0.02,0.05,0.0,04-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
04-May-2020 - 00:00,,0.23,93.83,62.46,743.84,220.8,8.71,13.94,14.38,34.87,16.29,26.2,0.62,2.21,0.86,0.0,0.0,0.0,0.07,0.01,05-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
05-May-2020 - 00:00,,0.28,167.14,45.79,742.76,221.64,8.64,21.0,18.08,35.87,32.97,29.35,0.72,5.3,0.59,0.62,1.53,0.03,0.2,0.35,06-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
06-May-2020 - 00:00,,0.17,136.5,40.6,742.43,180.31,8.06,20.68,17.45,43.47,28.89,28.51,0.82,4.26,0.82,1.12,3.52,0.19,0.45,0.79,07-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
07-May-2020 - 00:00,,-0.05,119.12,36.62,742.8,230.42,7.72,13.5,13.36,60.82,24.8,28.15,0.66,4.3,1.06,0.46,1.36,0.0,0.0,0.2,08-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
08-May-2020 - 00:00,,-0.06,141.97,39.94,741.62,219.93,7.67,14.92,14.07,62.4,30.73,30.31,0.77,5.87,0.87,0.34,0.66,0.0,0.1,0.01,09-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
09-May-2020 - 00:00,,-0.06,137.91,41.64,741.93,211.04,7.58,10.5,11.65,69.84,35.63,31.33,0.73,6.49,1.1,0.0,0.0,0.0,0.09,0.08,10-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
10-May-2020 - 00:00,,-0.05,126.57,54.72,743.18,139.92,7.71,12.68,12.91,43.99,26.86,26.53,0.64,5.81,1.63,0.01,0.0,0.0,0.0,0.0,11-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
11-May-2020 - 00:00,,-0.03,127.74,56.58,743.66,190.63,7.91,15.63,14.65,48.39,18.61,27.11,0.68,4.92,1.19,0.0,0.02,0.01,0.06,0.0,12-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
12-May-2020 - 00:00,,0.03,85.23,49.4,743.24,204.34,7.83,15.34,14.42,52.02,30.83,28.97,0.64,4.44,1.08,0.09,0.28,0.02,0.05,0.01,13-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
13-May-2020 - 00:00,,0.27,153.57,52.57,742.59,148.05,8.03,18.2,16.11,33.32,40.65,28.55,0.89,5.32,0.58,0.06,0.0,0.0,0.37,0.0,14-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
14-May-2020 - 00:00,,0.3,164.28,56.2,742.1,208.55,10.57,22.82,20.62,36.19,39.42,28.47,0.89,7.37,0.78,0.0,0.0,0.01,0.47,0.0,15-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
15-May-2020 - 00:00,,0.3,255.46,43.57,742.73,227.09,9.68,31.52,24.51,35.19,25.78,29.38,0.51,6.78,0.8,0.24,1.04,0.01,0.41,0.28,16-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
16-May-2020 - 00:00,,-0.11,273.03,33.56,740.99,233.83,8.02,31.44,23.14,49.62,52.32,30.34,0.76,7.31,0.62,0.7,2.73,0.25,0.37,0.3,17-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
17-May-2020 - 00:00,,-0.12,209.34,31.07,740.1,195.09,10.88,40.77,30.39,44.0,70.04,30.74,0.91,7.68,0.4,1.48,5.34,0.67,0.59,1.22,18-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
18-May-2020 - 00:00,,0.09,233.86,27.02,739.49,214.13,12.26,41.14,31.69,48.66,68.35,30.82,1.03,6.1,0.53,1.28,4.78,0.23,0.97,0.98,19-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
19-May-2020 - 00:00,,0.04,173.89,23.29,739.08,217.73,17.98,53.46,42.82,52.67,70.11,31.35,1.25,7.29,0.54,1.59,8.24,1.36,1.32,1.22,20-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
20-May-2020 - 00:00,,-0.03,273.82,18.8,738.83,242.85,8.49,37.66,26.82,56.57,49.66,31.15,1.04,8.11,0.74,0.47,4.23,0.02,0.13,0.21,21-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
21-May-2020 - 00:00,,0.08,284.92,17.96,738.23,248.17,10.34,39.76,29.42,53.45,35.99,32.84,0.85,8.42,0.8,0.56,3.9,0.77,0.86,0.57,22-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
22-May-2020 - 00:00,,0.06,210.22,22.04,738.29,223.33,24.15,56.85,49.56,42.27,68.86,35.79,1.22,11.97,0.55,2.08,8.14,2.43,1.27,1.44,23-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
23-May-2020 - 00:00,,0.28,233.72,20.2,739.02,203.15,12.65,42.74,32.86,37.14,46.77,38.23,0.94,10.81,0.76,1.64,6.95,2.52,1.58,1.37,24-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
24-May-2020 - 00:00,,0.05,250.79,19.46,739.36,220.64,8.79,28.24,22.05,42.33,49.39,38.89,0.81,8.39,0.78,0.57,3.42,0.0,0.27,0.39,25-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
25-May-2020 - 00:00,,0.27,233.68,21.08,739.08,228.76,10.72,33.58,26.44,45.39,42.17,38.37,0.82,9.54,0.83,0.66,3.45,0.45,0.51,0.4,26-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
26-May-2020 - 00:00,,0.28,210.59,21.25,738.05,223.07,22.99,44.67,42.3,33.3,41.64,39.17,1.04,9.87,0.97,1.72,9.44,2.36,1.48,1.94,27-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
27-May-2020 - 00:00,,0.17,155.62,22.48,737.08,208.02,7.71,24.97,19.45,62.88,43.03,38.96,0.69,7.17,1.12,0.36,2.69,0.0,0.3,0.51,28-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
28-May-2020 - 00:00,,0.15,123.5,45.18,738.48,192.13,7.72,15.45,14.41,59.8,35.84,34.52,0.81,7.44,2.29,0.03,0.68,0.02,0.0,0.03,29-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
29-May-2020 - 00:00,,0.23,125.57,62.02,740.6,193.12,7.93,19.03,16.47,49.8,21.43,31.45,0.69,5.38,1.86,0.0,0.95,0.0,0.0,0.0,30-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
30-May-2020 - 00:00,,0.24,161.97,62.47,741.78,214.21,7.8,14.12,13.75,53.66,20.54,31.2,0.73,5.83,1.44,0.0,0.5,0.0,0.0,0.0,31-May-2020 - 00:00,"Shadipur, Delhi - CPCB"
31-May-2020 - 00:00,,0.26,134.74,81.83,743.2,188.96,8.11,16.85,15.47,38.35,21.42,28.29,0.66,7.06,1.28,0.0,0.79,0.0,0.0,0.02,01-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
01-Jun-2020 - 00:00,,0.22,74.21,69.54,743.2,226.54,8.2,24.66,19.67,40.77,27.36,30.67,0.79,6.39,0.73,0.23,2.3,0.17,0.17,0.49,02-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
02-Jun-2020 - 00:00,,0.14,158.11,59.39,741.89,217.64,8.59,29.94,22.8,46.06,33.19,32.74,0.71,8.59,0.98,0.22,3.8,0.05,0.18,0.42,03-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
03-Jun-2020 - 00:00,,0.11,109.18,52.39,740.62,212.03,9.81,36.14,27.07,48.87,45.81,33.63,0.91,8.82,0.67,0.6,4.57,0.38,0.31,0.32,04-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
04-Jun-2020 - 00:00,,0.13,140.14,56.54,740.13,144.95,13.46,40.86,32.5,36.86,64.52,31.9,0.88,9.27,0.74,1.4,6.06,0.32,0.31,0.78,05-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
05-Jun-2020 - 00:00,,0.13,153.73,58.72,740.19,192.49,8.16,25.04,19.85,39.35,29.32,31.28,0.76,7.71,0.82,0.26,2.68,0.33,0.23,0.42,06-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
06-Jun-2020 - 00:00,,0.13,142.61,61.26,739.73,212.86,7.93,16.25,14.99,45.5,32.57,32.55,0.75,6.86,1.01,0.04,0.88,0.0,0.0,0.09,07-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
07-Jun-2020 - 00:00,,0.12,139.65,62.19,739.63,209.56,8.38,21.54,18.15,38.72,18.51,32.23,0.71,5.76,0.94,0.09,2.2,0.0,0.01,0.13,08-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
08-Jun-2020 - 00:00,,0.11,144.8,53.67,739.22,219.22,8.43,28.14,21.71,44.67,32.16,34.34,0.72,6.91,0.72,0.43,4.09,0.0,0.44,0.2,09-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
09-Jun-2020 - 00:00,,0.1,171.03,47.48,739.0,219.04,9.12,33.04,24.86,45.93,42.73,36.58,0.86,6.73,0.63,0.48,4.31,0.19,0.71,0.8,10-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
10-Jun-2020 - 00:00,,-0.02,192.88,46.98,738.59,180.69,13.78,38.94,31.74,40.03,41.45,36.68,0.83,7.33,0.68,0.69,3.94,0.39,0.07,0.87,11-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
11-Jun-2020 - 00:00,,-0.09,119.83,48.36,737.9,170.67,8.95,27.43,21.76,42.33,37.27,36.63,0.71,6.21,0.62,0.33,4.57,0.24,0.14,0.39,12-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
12-Jun-2020 - 00:00,,-0.08,134.85,50.28,737.12,171.61,8.19,21.96,18.23,35.06,36.32,37.13,1.2,6.61,1.0,0.44,2.47,0.43,0.31,0.41,13-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
13-Jun-2020 - 00:00,,-0.01,126.9,58.42,737.78,138.69,17.5,26.52,27.44,21.74,32.76,34.68,0.72,6.46,1.09,0.36,3.27,0.29,0.26,0.5,14-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
14-Jun-2020 - 00:00,,0.09,78.73,57.28,738.58,202.26,10.45,28.14,23.32,24.9,38.25,36.31,1.07,6.2,0.82,0.67,3.19,0.3,0.12,0.57,15-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
15-Jun-2020 - 00:00,,0.1,196.03,44.02,737.23,188.77,7.91,20.18,17.06,37.54,23.38,38.34,0.92,7.48,0.8,0.33,2.87,0.1,0.08,0.41,16-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
16-Jun-2020 - 00:00,,0.11,127.41,44.43,735.79,154.33,7.53,17.74,15.47,37.8,23.2,38.14,0.88,7.09,1.09,0.28,1.87,0.36,0.05,0.32,17-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
17-Jun-2020 - 00:00,,0.06,121.73,52.76,735.63,190.57,7.75,12.69,12.92,28.8,24.23,37.14,0.69,6.22,1.5,0.05,0.97,0.0,0.0,0.15,18-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
18-Jun-2020 - 00:00,,0.05,130.33,50.81,735.93,149.51,7.76,15.94,14.68,34.5,24.81,37.94,0.94,5.96,1.12,0.09,1.49,0.05,0.08,0.14,19-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
19-Jun-2020 - 00:00,,0.07,130.72,54.37,737.11,157.95,7.81,13.62,13.49,27.27,50.33,37.87,0.93,6.21,1.28,0.11,1.68,0.03,0.08,0.11,20-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
20-Jun-2020 - 00:00,,0.09,167.8,59.05,738.5,106.58,9.13,21.8,18.9,26.5,26.49,33.93,0.86,6.46,1.16,0.09,1.58,0.0,0.07,0.06,21-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
21-Jun-2020 - 00:00,,0.12,135.92,71.27,738.45,137.05,8.88,19.63,17.55,24.35,22.73,33.3,0.72,6.37,0.76,0.11,2.03,0.22,0.06,0.22,22-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
22-Jun-2020 - 00:00,,0.14,147.66,70.11,738.31,228.94,7.93,16.22,14.97,21.78,24.48,33.8,0.93,6.29,0.75,0.21,2.33,0.0,0.16,0.42,23-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
23-Jun-2020 - 00:00,,0.17,114.13,71.55,739.51,179.59,7.86,12.15,12.76,19.82,22.62,34.31,0.76,5.75,1.43,0.05,1.24,0.0,0.0,0.05,24-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
24-Jun-2020 - 00:00,,0.15,132.86,78.16,740.2,166.8,7.96,17.8,15.67,20.34,18.36,33.28,0.76,6.15,1.34,0.0,0.84,0.01,0.0,0.05,25-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
25-Jun-2020 - 00:00,,0.09,154.9,74.46,738.66,156.7,9.05,20.55,18.15,13.95,73.76,34.12,1.2,5.94,0.71,0.15,2.71,0.02,0.18,0.23,26-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
26-Jun-2020 - 00:00,,0.08,205.09,69.82,737.83,150.02,9.39,17.98,17.03,11.98,81.86,34.84,0.96,8.11,0.99,0.36,3.01,0.04,0.42,0.03,27-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
27-Jun-2020 - 00:00,,0.07,250.13,57.35,737.06,170.41,10.64,21.65,19.58,15.08,31.41,36.23,1.04,7.4,1.15,0.13,1.89,0.02,0.03,0.23,28-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
28-Jun-2020 - 00:00,,0.08,229.83,51.03,736.47,210.06,16.21,25.81,26.7,13.73,59.44,38.28,1.11,11.05,1.14,0.21,2.76,0.51,0.32,0.7,29-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
29-Jun-2020 - 00:00,,0.13,182.3,53.18,737.8,213.76,14.79,20.69,22.82,15.14,36.92,36.88,0.93,10.62,1.19,0.12,1.71,0.07,0.39,0.19,30-Jun-2020 - 00:00,"Shadipur, Delhi - CPCB"
30-Jun-2020 - 00:00,,0.18,132.91,72.05,738.86,210.22,9.2,16.22,15.99,18.3,27.31,34.95,0.99,9.26,1.32,0.01,0.87,0.01,0.0,0.01,01-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
01-Jul-2020 - 00:00,,0.13,125.78,65.13,737.95,191.56,8.06,19.68,16.91,17.9,31.54,36.22,1.13,6.89,1.03,0.02,1.34,0.2,0.0,0.19,02-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
02-Jul-2020 - 00:00,,0.11,129.47,59.32,736.43,199.37,7.74,19.1,16.34,19.94,41.47,37.64,1.08,8.77,0.81,0.05,1.49,0.0,0.0,0.18,03-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
03-Jul-2020 - 00:00,,0.12,156.68,58.81,736.1,187.28,7.69,20.24,16.91,24.04,37.94,37.7,1.12,9.86,1.09,0.09,1.64,0.0,0.0,0.03,04-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
04-Jul-2020 - 00:00,,0.13,133.42,69.83,736.5,199.99,7.69,15.48,14.38,21.38,26.92,35.37,0.9,9.58,1.57,0.0,0.43,0.0,0.0,0.03,05-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
05-Jul-2020 - 00:00,,0.13,80.58,82.95,737.37,166.43,8.07,18.35,16.2,23.1,21.85,31.25,0.68,9.01,1.27,0.04,1.35,0.0,0.0,0.0,06-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
06-Jul-2020 - 00:00,,0.09,98.13,83.66,736.85,181.67,8.53,20.4,17.64,13.32,20.37,32.97,0.84,9.24,0.99,0.03,1.59,0.03,0.55,0.08,07-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
07-Jul-2020 - 00:00,,0.03,111.35,87.26,738.78,204.11,9.26,14.27,14.94,6.95,17.97,31.66,0.71,9.79,1.56,0.01,1.03,0.0,0.0,0.0,08-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
08-Jul-2020 - 00:00,85.73,0.07,146.41,88.26,739.46,159.85,8.55,23.85,19.48,8.62,15.64,32.15,0.77,7.64,1.23,0.23,2.25,0.05,0.12,0.18,09-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
09-Jul-2020 - 00:00,70.55,0.1,208.86,77.17,737.17,258.49,8.99,39.86,28.4,11.62,31.04,34.74,0.99,9.74,0.61,0.08,2.97,0.0,0.25,0.15,10-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
10-Jul-2020 - 00:00,71.72,0.11,234.05,70.84,736.39,209.23,14.99,31.33,25.84,14.76,33.26,35.07,0.61,7.84,1.02,0.13,3.02,0.22,0.58,0.46,11-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
11-Jul-2020 - 00:00,54.21,0.12,134.09,77.8,737.67,214.41,34.88,30.59,38.95,19.96,30.43,33.34,0.77,10.56,1.22,0.1,1.75,0.09,0.0,0.25,12-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
12-Jul-2020 - 00:00,52.54,0.16,190.92,75.64,737.66,180.85,12.64,29.1,24.23,16.38,24.82,32.32,0.88,10.15,1.07,0.01,2.14,0.0,0.56,0.0,13-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
13-Jul-2020 - 00:00,94.96,0.15,194.84,68.0,737.36,240.83,8.84,33.12,24.52,8.82,38.26,34.27,0.71,9.59,0.64,0.0,3.96,0.0,0.74,0.09,14-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
14-Jul-2020 - 00:00,124.43,0.12,170.39,63.74,737.76,229.11,7.9,30.83,22.64,10.99,50.56,36.13,0.8,10.52,0.83,0.0,2.16,0.0,0.3,0.08,15-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
15-Jul-2020 - 00:00,102.71,0.12,106.01,70.78,738.2,200.44,7.0,27.43,20.04,24.65,37.8,35.06,0.77,9.98,1.35,0.03,1.4,0.0,0.0,0.02,16-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
16-Jul-2020 - 00:00,69.15,0.13,112.38,75.48,737.71,168.72,7.19,27.41,20.21,21.83,25.55,34.42,0.69,8.99,1.31,0.13,1.68,0.11,0.0,0.18,17-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
17-Jul-2020 - 00:00,72.16,0.14,119.73,81.39,738.13,190.83,7.83,25.93,20.01,15.76,36.5,34.25,1.18,11.39,1.27,0.39,3.1,0.48,0.25,0.52,18-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
18-Jul-2020 - 00:00,88.3,0.14,106.92,83.01,738.83,170.17,7.93,31.9,23.24,12.88,38.08,34.13,0.95,10.7,1.13,0.0,2.99,0.0,0.0,0.0,19-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
19-Jul-2020 - 00:00,60.82,0.15,208.48,90.0,738.11,188.23,9.62,29.91,23.47,10.5,32.08,31.95,0.98,12.9,0.71,0.57,9.41,0.0,2.32,2.28,20-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
20-Jul-2020 - 00:00,64.26,0.16,225.53,85.85,737.11,167.38,7.69,36.24,25.36,11.9,26.87,31.12,0.84,11.36,0.73,0.17,8.3,0.0,0.36,0.64,21-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
21-Jul-2020 - 00:00,51.97,0.17,155.25,95.01,739.12,174.3,8.04,31.2,22.94,14.17,25.12,28.83,0.96,10.95,0.98,0.15,7.82,0.0,0.45,0.96,22-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
22-Jul-2020 - 00:00,48.99,0.18,203.53,97.48,739.79,155.08,9.74,24.47,20.78,6.55,23.51,29.03,1.01,10.94,0.54,0.78,14.68,0.0,1.44,0.82,23-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
23-Jul-2020 - 00:00,91.72,0.16,211.79,80.46,739.08,237.74,12.99,42.15,32.7,8.51,35.18,31.9,1.28,10.11,0.47,0.82,10.09,2.04,1.87,1.32,24-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
24-Jul-2020 - 00:00,112.78,0.15,120.73,82.37,740.77,212.36,9.08,34.11,25.36,9.41,45.76,32.58,1.15,10.71,0.97,0.3,4.78,0.48,0.09,0.63,25-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
25-Jul-2020 - 00:00,75.7,0.16,109.47,86.29,741.79,187.31,7.67,28.3,21.07,10.56,32.66,32.63,1.1,11.25,1.11,0.04,2.46,0.0,0.0,0.0,26-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
26-Jul-2020 - 00:00,108.24,0.15,138.28,79.95,741.53,208.92,7.49,29.33,21.49,14.91,46.16,33.9,1.17,10.38,0.62,0.34,4.23,0.99,0.22,1.21,27-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
27-Jul-2020 - 00:00,106.19,0.14,255.09,71.96,739.66,228.42,10.01,40.97,29.72,10.25,44.23,35.43,0.65,10.38,0.77,0.02,3.61,0.34,0.65,0.51,28-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
28-Jul-2020 - 00:00,94.58,-0.03,249.5,69.11,738.24,227.88,9.14,37.5,27.1,9.73,40.38,35.81,1.17,7.51,0.95,2.5,26.4,10.42,6.41,4.83,29-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
29-Jul-2020 - 00:00,93.52,0.04,169.98,75.33,738.72,180.25,10.03,37.14,27.59,11.2,35.64,33.25,0.89,10.52,1.03,3.29,18.12,11.94,5.5,5.22,30-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
30-Jul-2020 - 00:00,58.14,0.31,190.26,83.83,740.02,203.41,8.63,34.08,25.01,8.66,23.14,31.42,0.78,10.37,1.01,3.27,31.29,8.27,5.65,4.77,31-Jul-2020 - 00:00,"Shadipur, Delhi - CPCB"
31-Jul-2020 - 00:00,88.95,0.16,120.41,82.96,739.47,198.73,8.91,34.96,25.7,9.8,31.98,33.03,1.18,11.04,0.83,3.77,21.61,7.03,3.65,4.02,01-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
01-Aug-2020 - 00:00,82.13,0.05,146.0,85.21,739.21,201.53,8.63,34.7,25.31,8.47,30.27,32.45,1.05,11.14,0.81,3.33,20.4,6.01,4.88,3.77,02-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
02-Aug-2020 - 00:00,71.57,0.04,251.05,76.76,737.81,231.19,10.55,31.24,25.03,8.47,30.57,34.27,1.34,9.21,0.74,1.9,13.88,6.94,4.95,3.95,03-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
03-Aug-2020 - 00:00,78.95,0.03,245.7,72.18,735.15,224.34,9.85,33.07,25.47,8.17,31.16,35.12,1.06,10.39,0.91,1.45,6.45,3.62,1.95,1.53,04-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
04-Aug-2020 - 00:00,82.72,0.02,159.12,69.45,734.19,209.49,8.87,31.19,23.63,7.94,25.34,35.06,1.1,9.6,0.81,1.33,13.58,4.08,3.41,2.51,05-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
05-Aug-2020 - 00:00,105.71,0.03,86.48,81.64,735.18,166.37,8.9,35.22,25.84,14.18,37.51,33.62,1.23,10.97,0.79,2.26,13.77,4.44,4.39,2.43,06-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
06-Aug-2020 - 00:00,83.2,0.04,100.67,70.15,736.91,226.37,7.8,31.07,22.72,16.39,28.55,34.99,0.9,10.18,2.05,1.36,7.86,2.15,1.11,1.11,07-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
07-Aug-2020 - 00:00,52.0,0.03,126.41,75.72,738.62,201.72,7.37,27.06,20.09,18.4,21.19,33.82,0.7,8.4,1.62,0.91,4.7,1.5,0.77,0.86,08-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
08-Aug-2020 - 00:00,134.68,0.03,181.22,72.43,737.42,159.71,9.83,43.62,30.87,8.96,39.94,35.2,1.52,12.14,0.54,2.06,11.38,3.16,1.93,1.77,09-Aug-2020 - 00:00,"Shadipur, Delhi - CPCB"
