from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,RF,VWS,to date,station
04-Feb-2020 - 00:00,33.0,0.36,17.19,41.44,34.31,43.45,8.39,10.26,23.71,66.32,0.0,0.0,0.0,23.09,53.93,2.51,285.95,192.77,711.31,0.0,0.0,05-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
05-Feb-2020 - 00:00,33.11,0.46,13.99,44.3,40.76,48.61,7.37,3.05,35.55,77.19,0.0,0.0,0.0,23.21,56.91,1.92,265.7,169.64,711.12,0.0,0.0,06-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
06-Feb-2020 - 00:00,32.88,0.39,20.0,42.36,35.36,44.57,7.43,2.91,27.12,77.8,0.0,0.0,0.0,23.33,51.85,2.81,312.65,184.12,710.76,0.0,0.0,07-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
07-Feb-2020 - 00:00,32.46,0.39,27.41,40.43,31.01,41.09,7.99,2.45,27.22,68.85,0.0,0.0,0.0,23.37,55.4,3.24,321.24,181.57,711.17,0.0,0.0,08-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
08-Feb-2020 - 00:00,32.48,0.44,18.35,44.54,31.99,44.08,7.14,3.29,35.73,74.08,0.0,0.0,0.0,22.25,66.3,2.4,260.26,131.05,711.76,0.0,0.0,09-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
09-Feb-2020 - 00:00,32.3,0.48,12.88,48.59,33.48,47.34,5.82,5.49,34.42,59.31,0.0,0.0,0.0,19.71,72.92,3.04,85.88,67.96,713.51,0.0,0.0,10-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
10-Feb-2020 - 00:00,32.35,0.48,22.08,45.23,32.92,45.01,6.58,3.46,34.75,63.8,0.0,0.0,0.0,21.18,67.23,3.03,108.02,122.03,713.18,0.0,0.0,11-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
11-Feb-2020 - 00:00,32.57,0.52,24.62,43.98,33.19,44.39,7.08,5.2,40.45,80.37,0.0,0.0,0.0,21.86,64.67,2.94,118.48,149.07,713.49,0.0,0.0,12-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
12-Feb-2020 - 00:00,32.71,0.67,19.31,45.48,42.45,50.17,5.71,8.26,59.53,113.35,0.0,0.0,0.0,21.65,65.3,1.9,116.9,128.36,714.42,0.0,0.0,13-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
13-Feb-2020 - 00:00,32.97,0.68,19.28,49.01,49.75,56.2,2.48,6.25,66.35,143.1,0.0,0.0,0.0,22.6,52.93,1.85,147.78,207.32,713.65,0.0,0.0,14-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
14-Feb-2020 - 00:00,33.03,0.82,16.54,58.6,58.55,66.69,2.12,14.84,65.37,150.56,0.0,0.0,0.0,23.08,45.09,1.59,242.5,210.19,711.84,0.0,0.0,15-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
15-Feb-2020 - 00:00,32.41,0.88,18.65,60.92,61.48,69.66,2.42,11.33,62.38,142.51,0.0,0.0,0.0,23.75,43.34,1.61,216.77,207.39,711.47,0.0,0.0,16-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
16-Feb-2020 - 00:00,31.81,0.71,27.74,54.03,47.24,57.91,3.31,8.82,65.94,138.32,0.0,0.0,0.0,23.85,47.31,2.07,171.19,205.11,712.33,0.0,0.0,17-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
17-Feb-2020 - 00:00,31.76,0.91,21.69,71.14,53.2,71.46,10.3,12.91,65.97,152.98,0.0,0.0,0.0,23.85,48.52,1.8,161.33,204.25,713.05,0.0,0.0,18-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
18-Feb-2020 - 00:00,32.08,0.71,17.72,53.1,54.48,61.2,3.69,12.32,54.66,138.72,0.0,0.0,0.0,23.66,40.4,2.01,104.77,225.2,712.71,0.0,0.0,19-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
19-Feb-2020 - 00:00,32.02,0.59,26.55,37.28,50.86,49.67,3.42,5.29,47.86,112.55,0.0,0.0,0.0,23.18,49.44,2.29,223.41,209.79,712.09,0.0,0.0,20-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
20-Feb-2020 - 00:00,31.83,0.49,24.18,38.93,39.42,44.59,5.83,2.73,39.35,97.16,0.0,0.0,0.0,23.06,57.05,2.9,190.11,210.9,712.02,0.0,0.0,21-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
21-Feb-2020 - 00:00,31.7,0.42,28.02,34.95,35.16,39.91,6.59,4.39,,80.05,0.0,0.0,0.0,22.54,54.33,3.0,181.14,217.73,713.45,0.0,0.0,22-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
22-Feb-2020 - 00:00,32.13,0.44,22.72,33.98,39.8,41.79,4.83,2.94,29.94,85.58,0.0,0.0,0.0,22.91,50.81,2.81,174.34,221.11,713.86,0.0,0.0,23-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
23-Feb-2020 - 00:00,33.21,0.46,24.56,34.63,36.87,40.63,5.82,6.19,24.66,61.86,0.0,0.0,0.0,23.13,50.44,2.83,213.16,224.88,713.09,0.0,0.0,24-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
24-Feb-2020 - 00:00,31.94,0.47,28.37,31.72,34.12,37.4,5.81,2.6,30.72,72.26,0.0,0.0,0.0,23.96,49.68,2.49,289.77,213.62,710.78,0.0,0.0,25-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
25-Feb-2020 - 00:00,31.8,0.59,21.27,35.28,46.22,45.99,3.93,7.77,48.93,121.66,0.0,0.0,0.0,24.07,47.59,2.33,251.2,187.47,710.38,0.0,0.0,26-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
26-Feb-2020 - 00:00,31.86,0.76,23.19,47.28,55.24,58.07,2.78,12.5,64.79,150.57,0.0,0.0,0.0,23.43,48.11,2.14,173.58,209.78,711.38,0.0,0.0,27-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
27-Feb-2020 - 00:00,32.24,0.49,30.57,34.85,44.19,44.64,2.13,7.42,39.5,104.47,0.0,0.0,0.0,23.73,40.07,2.37,118.2,271.67,711.78,0.0,0.0,28-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
28-Feb-2020 - 00:00,31.52,0.43,42.17,33.21,39.57,41.23,2.23,3.62,35.67,110.42,0.0,0.0,0.0,28.33,36.42,2.57,115.5,177.83,709.0,0.0,0.0,29-Feb-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
29-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
01-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
02-Mar-2020 - 00:00,31.84,0.59,20.4,0.99,37.39,20.41,0.32,5.36,51.07,134.18,0.0,0.0,0.0,25.23,48.18,1.74,204.75,10.39,710.21,0.0,0.0,03-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
03-Mar-2020 - 00:00,31.61,0.56,25.03,0.8,28.09,15.34,0.63,5.07,51.1,98.2,0.0,0.0,0.0,24.8,53.16,2.27,278.85,188.17,710.01,0.0,0.0,04-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
04-Mar-2020 - 00:00,31.9,0.52,22.31,44.01,33.91,44.16,17.31,6.37,43.88,104.75,1.71,2.79,1.26,25.26,47.07,2.57,319.28,204.58,709.69,0.0,0.0,05-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
05-Mar-2020 - 00:00,32.16,0.6,20.63,42.7,50.99,53.03,8.04,10.2,57.84,137.99,6.11,60.83,40.39,24.4,42.17,1.89,269.59,214.83,708.84,0.0,0.0,06-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
06-Mar-2020 - 00:00,31.84,0.42,19.1,36.58,32.65,39.55,9.86,2.31,34.48,86.43,2.44,14.17,2.34,24.39,55.27,3.39,298.52,220.14,709.25,0.0,0.0,07-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
07-Mar-2020 - 00:00,32.21,0.46,16.93,47.75,38.35,55.03,8.1,3.68,36.89,96.62,3.37,32.01,6.2,24.56,56.21,2.13,244.39,204.75,710.97,0.0,0.0,08-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
08-Mar-2020 - 00:00,32.71,0.43,18.99,36.87,33.08,39.96,9.87,3.63,33.06,65.58,3.92,16.78,1.55,24.28,63.25,2.12,145.41,171.04,711.25,0.03,0.0,09-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
09-Mar-2020 - 00:00,32.65,0.46,14.66,38.36,33.8,41.26,8.33,2.23,31.42,72.68,5.97,41.79,1.48,23.65,62.81,0.2,178.32,140.43,712.16,0.0,0.0,10-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
10-Mar-2020 - 00:00,32.49,0.37,20.99,37.83,28.49,38.16,9.39,3.44,23.4,53.05,1.88,10.18,0.42,25.03,55.58,0.2,263.1,212.12,711.8,0.0,0.0,11-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
