from date,PM2.5,PM10,NO,NOx,NO2,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,MP-Xylene,AT,BP,SR,RH,WD,RF,WS,to date,station
20-Apr-2020 - 00:00,21.02,30.99,1.61,4.4,6.57,19.64,15.58,0.37,39.43,0.02,0.01,0.09,24.08,913.04,298.48,73.72,96.82,0.04,1.55,21-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
21-Apr-2020 - 00:00,15.04,28.18,1.87,4.29,5.9,11.61,13.92,0.34,31.59,0.02,0.0,0.07,20.97,905.57,109.54,86.44,120.18,0.26,1.64,22-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
22-Apr-2020 - 00:00,24.03,35.65,3.3,6.04,7.36,9.73,13.94,0.4,24.59,0.06,0.0,0.11,21.55,939.85,201.48,83.97,144.81,0.08,0.83,23-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
23-Apr-2020 - 00:00,26.02,50.93,1.82,4.55,6.55,10.06,13.86,0.37,33.43,0.05,0.0,0.07,22.88,964.04,262.91,82.04,111.49,0.1,1.16,24-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
24-Apr-2020 - 00:00,12.84,24.81,0.63,2.12,3.38,5.81,13.88,0.25,41.68,0.03,0.0,0.03,20.48,955.01,178.7,88.81,97.51,0.07,1.56,25-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
25-Apr-2020 - 00:00,13.05,18.65,0.84,2.52,3.9,3.29,13.88,0.25,42.69,0.02,0.0,0.03,20.81,917.35,203.05,86.27,97.27,0.17,1.61,26-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
26-Apr-2020 - 00:00,21.28,33.34,1.71,4.79,7.22,2.6,13.97,0.36,35.64,1.2,20.29,20.34,23.72,917.66,295.23,75.68,114.83,0.07,1.1,27-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
27-Apr-2020 - 00:00,26.31,40.23,5.75,9.26,10.21,2.49,14.18,0.41,32.72,0.06,0.01,0.16,24.93,933.45,283.49,71.47,139.14,0.07,1.14,28-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
28-Apr-2020 - 00:00,25.6,39.72,1.14,5.31,9.19,4.03,14.2,0.41,38.69,0.05,0.0,0.06,23.9,901.18,155.59,78.44,123.57,0.15,1.12,29-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
29-Apr-2020 - 00:00,24.69,43.2,2.31,5.07,6.89,3.44,14.07,0.41,29.07,0.04,0.0,0.07,23.95,945.77,267.82,78.25,158.15,0.28,1.37,30-Apr-2020 - 00:00,"Railway Colony, Guwahati - APCB"
30-Apr-2020 - 00:00,25.13,38.16,2.1,5.48,8.04,4.72,14.01,0.41,30.25,0.05,0.01,0.06,25.42,936.56,384.49,77.24,134.01,0.06,1.04,01-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
01-May-2020 - 00:00,22.27,31.82,1.94,5.28,7.88,4.2,14.1,0.4,28.94,0.05,0.0,0.08,25.3,930.61,335.6,75.89,168.16,0.11,1.03,02-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
02-May-2020 - 00:00,22.0,34.77,5.66,9.94,11.76,3.9,14.32,0.38,31.87,0.06,0.04,0.27,26.08,951.91,209.12,71.54,171.66,0.12,1.09,03-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
03-May-2020 - 00:00,19.99,42.97,1.32,4.69,7.62,3.9,14.43,0.33,39.31,0.03,300.38,300.42,26.2,971.32,383.51,69.74,148.24,0.15,1.32,04-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
04-May-2020 - 00:00,25.51,45.46,5.79,9.91,11.47,3.4,14.61,0.42,32.5,169.36,651.37,651.37,26.99,956.63,335.22,69.71,164.35,0.12,1.17,05-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
05-May-2020 - 00:00,25.65,39.16,2.45,6.05,8.68,5.38,14.5,0.38,30.57,24.27,301.95,301.95,25.9,945.55,300.42,77.63,177.81,0.11,1.55,06-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
06-May-2020 - 00:00,21.77,34.11,1.41,4.58,7.27,5.82,14.28,0.36,31.82,0.0,0.0,0.0,24.49,926.7,185.53,80.56,123.2,0.29,1.32,07-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
07-May-2020 - 00:00,23.28,34.97,1.04,4.35,7.33,4.55,14.34,0.37,27.42,0.0,0.0,0.0,26.14,938.84,343.26,72.14,218.58,0.27,1.71,08-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
08-May-2020 - 00:00,28.03,54.16,2.45,7.6,11.86,5.9,14.55,0.41,31.14,0.0,0.0,0.0,25.69,959.2,323.78,66.34,183.41,0.18,1.67,09-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
09-May-2020 - 00:00,24.55,56.85,3.6,10.35,15.73,7.08,14.68,0.41,47.14,0.0,0.0,0.0,26.98,940.57,397.9,66.9,100.29,0.27,1.42,10-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
10-May-2020 - 00:00,40.74,67.99,3.65,10.8,16.58,7.74,15.36,0.5,47.53,0.0,0.0,0.0,28.1,935.09,322.96,59.97,134.97,0.19,1.28,11-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
11-May-2020 - 00:00,48.87,83.31,7.87,17.89,24.7,8.17,15.42,0.61,37.64,0.0,0.0,0.0,26.43,912.55,188.59,66.83,153.65,0.33,1.14,12-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
12-May-2020 - 00:00,39.93,68.37,9.86,14.21,14.07,10.77,14.97,0.57,34.6,0.0,0.0,0.0,27.68,955.29,313.19,69.94,174.61,0.16,1.39,13-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
13-May-2020 - 00:00,25.39,38.85,1.31,6.4,11.14,6.58,14.8,0.4,37.44,0.0,0.0,0.0,23.9,970.87,201.28,85.71,108.06,0.36,1.29,14-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
14-May-2020 - 00:00,19.25,30.91,1.51,5.84,9.69,3.87,14.76,0.38,33.87,0.0,0.0,0.0,22.64,904.87,116.0,87.44,105.38,0.35,1.46,15-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
15-May-2020 - 00:00,18.44,26.34,1.2,3.91,6.21,3.79,14.56,0.37,33.01,0.0,0.0,0.0,23.95,969.62,213.12,87.19,110.11,0.18,1.24,16-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
16-May-2020 - 00:00,18.9,29.44,1.1,3.66,5.83,3.43,14.5,0.34,34.48,0.0,0.0,0.0,25.13,978.49,243.81,83.98,124.92,0.17,1.44,17-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
17-May-2020 - 00:00,17.54,29.79,2.97,7.28,10.43,3.76,14.53,0.36,36.34,0.0,0.0,0.0,24.74,971.14,316.05,82.73,120.62,0.22,1.44,18-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
18-May-2020 - 00:00,34.83,66.53,13.09,19.47,19.92,3.85,14.64,0.54,29.83,0.0,0.0,0.0,27.2,981.41,339.7,77.66,121.07,0.08,1.07,19-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
19-May-2020 - 00:00,48.58,84.6,11.07,17.31,18.58,5.4,14.66,1.24,32.43,0.0,0.0,0.0,28.3,985.62,230.62,77.53,138.6,0.11,0.99,20-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
20-May-2020 - 00:00,40.58,63.48,2.1,7.87,12.92,9.85,14.42,0.68,26.41,0.0,0.0,0.0,26.77,982.21,111.13,78.58,135.28,0.13,0.96,21-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
21-May-2020 - 00:00,9.78,15.6,1.35,5.44,9.14,4.12,14.69,0.25,29.29,0.0,0.0,0.0,21.76,974.83,28.15,92.69,86.6,0.29,2.5,22-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
22-May-2020 - 00:00,8.93,37.62,0.83,3.05,4.98,1.11,14.84,0.26,37.59,0.0,0.0,0.0,23.96,983.6,113.17,88.36,90.28,0.05,2.1,23-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
23-May-2020 - 00:00,13.03,22.2,1.51,4.44,6.8,1.32,14.73,0.38,24.3,0.0,0.0,0.0,23.83,990.83,98.99,92.87,125.37,0.02,0.81,24-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
24-May-2020 - 00:00,11.98,18.99,1.54,4.42,6.74,1.36,14.77,0.41,23.43,0.0,0.0,0.0,23.58,987.82,109.51,93.66,126.37,0.08,1.13,25-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
25-May-2020 - 00:00,17.99,29.98,2.31,6.55,9.9,2.79,14.8,0.42,26.72,0.0,0.0,0.0,23.81,982.68,204.43,88.51,158.6,0.14,1.07,26-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
26-May-2020 - 00:00,8.46,14.54,0.8,3.46,5.88,4.32,14.88,0.33,33.76,0.0,0.0,0.0,22.84,975.97,267.14,89.36,171.45,0.1,1.86,27-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
27-May-2020 - 00:00,9.31,17.96,0.82,5.26,9.55,2.29,15.01,0.34,43.01,0.0,0.0,0.0,22.36,962.88,132.94,87.28,100.64,0.22,1.82,28-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
28-May-2020 - 00:00,15.12,28.71,0.96,3.71,6.17,0.85,15.07,0.37,44.02,0.0,0.0,0.0,25.39,971.97,373.44,77.03,114.24,0.16,1.3,29-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
29-May-2020 - 00:00,15.82,28.22,1.45,5.26,8.58,1.47,15.1,0.4,39.78,0.0,0.0,0.0,25.92,964.77,353.27,76.56,138.67,0.16,1.13,30-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
30-May-2020 - 00:00,22.84,43.18,1.71,7.13,12.01,2.3,15.14,0.43,38.98,0.0,0.0,0.0,26.43,959.08,303.79,75.46,134.48,0.23,1.24,31-May-2020 - 00:00,"Railway Colony, Guwahati - APCB"
31-May-2020 - 00:00,29.11,45.37,4.01,8.6,11.53,2.69,15.34,0.58,25.91,0.0,0.0,0.0,26.1,979.14,260.33,82.88,173.37,0.16,0.89,01-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
01-Jun-2020 - 00:00,24.82,40.29,3.48,7.8,10.69,2.69,15.26,0.57,26.38,0.0,0.0,0.0,25.72,962.0,228.89,83.62,182.46,0.14,1.15,02-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
02-Jun-2020 - 00:00,21.94,37.87,1.07,3.64,5.84,3.65,15.19,0.48,28.13,0.0,0.0,0.0,27.23,990.12,400.68,82.51,236.42,0.05,1.79,03-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
03-Jun-2020 - 00:00,16.78,29.51,1.13,4.82,8.17,3.63,15.58,0.4,44.4,0.0,0.0,0.0,26.47,997.44,301.02,85.23,102.1,0.0,1.38,04-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
04-Jun-2020 - 00:00,11.01,27.02,0.94,2.82,4.37,1.6,15.42,0.32,40.05,0.0,0.0,0.0,26.03,989.23,356.19,82.83,100.21,0.08,1.52,05-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
05-Jun-2020 - 00:00,16.08,26.02,1.11,4.15,6.84,1.3,15.42,0.39,30.67,0.0,0.0,0.0,26.21,991.97,280.43,84.45,149.84,0.06,1.12,06-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
06-Jun-2020 - 00:00,11.81,19.65,1.21,4.04,6.45,1.36,15.7,0.39,30.55,0.0,0.0,0.0,25.31,983.17,249.55,89.2,112.98,0.11,1.16,07-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
07-Jun-2020 - 00:00,19.71,32.07,1.5,4.45,6.84,1.3,15.63,0.41,23.11,0.0,0.0,0.0,28.42,982.89,316.63,78.14,208.2,0.09,1.3,08-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
08-Jun-2020 - 00:00,28.65,46.16,1.02,4.6,7.9,3.12,15.62,0.47,30.29,0.0,0.0,0.0,29.07,980.58,355.29,75.25,182.41,0.03,1.15,09-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
09-Jun-2020 - 00:00,31.69,52.24,1.31,5.24,8.75,4.32,15.7,0.5,36.21,0.0,0.0,0.0,30.28,980.7,364.84,73.06,156.42,0.11,1.14,10-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
10-Jun-2020 - 00:00,39.0,77.69,10.51,17.67,20.16,5.01,15.86,0.72,31.41,0.0,0.0,0.0,29.78,975.53,205.31,73.92,165.26,0.13,1.07,11-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
11-Jun-2020 - 00:00,34.21,63.09,8.85,12.95,13.03,5.1,15.85,0.6,27.39,0.0,0.0,0.0,29.78,981.22,335.4,76.36,165.17,0.08,1.15,12-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
12-Jun-2020 - 00:00,16.82,28.17,2.54,7.44,11.39,3.59,15.52,0.5,22.42,0.0,0.0,0.0,27.24,983.98,170.3,88.49,204.47,0.08,1.37,13-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
13-Jun-2020 - 00:00,17.62,27.77,3.46,7.45,10.01,2.29,15.51,0.44,21.68,0.0,0.0,0.0,27.48,981.45,194.51,86.6,168.44,0.1,0.93,14-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
14-Jun-2020 - 00:00,17.17,26.11,9.21,11.85,10.23,1.65,15.62,0.39,21.47,0.0,0.0,0.0,28.76,987.14,316.16,82.43,178.64,0.08,1.15,15-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
15-Jun-2020 - 00:00,16.13,27.74,1.85,5.7,8.84,1.88,15.63,0.36,20.22,0.0,0.0,0.0,29.13,988.04,297.86,81.32,191.11,0.04,1.05,16-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
16-Jun-2020 - 00:00,16.2,27.82,1.91,5.86,9.11,1.57,15.61,0.4,24.77,0.0,0.0,0.0,29.18,981.67,272.52,80.72,174.06,0.1,1.12,17-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
17-Jun-2020 - 00:00,9.35,16.96,1.95,4.5,6.25,0.68,15.7,0.3,23.53,0.0,0.0,0.0,27.56,978.57,245.93,85.09,177.71,0.11,1.42,18-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
18-Jun-2020 - 00:00,5.61,11.79,1.25,3.71,5.7,0.98,15.75,0.32,26.29,0.0,0.0,0.0,26.13,977.0,161.38,91.18,129.53,0.12,1.43,19-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
19-Jun-2020 - 00:00,12.95,22.31,1.21,3.59,5.51,2.99,15.87,0.39,22.23,0.0,0.0,0.0,27.47,988.75,302.79,87.52,191.86,0.06,0.92,20-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
20-Jun-2020 - 00:00,25.36,42.49,3.31,7.51,10.35,4.28,15.86,0.52,25.0,0.0,0.0,0.0,28.85,979.56,232.08,81.36,187.86,0.15,0.98,21-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
21-Jun-2020 - 00:00,20.11,33.9,4.39,6.89,7.45,3.78,15.76,0.47,23.95,0.0,0.0,0.0,28.31,986.38,232.36,85.04,167.68,0.18,0.9,22-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
22-Jun-2020 - 00:00,20.63,37.34,6.53,10.06,10.67,4.07,16.0,0.57,21.92,0.0,0.0,0.0,29.34,990.87,271.85,82.52,196.59,0.01,0.91,23-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
23-Jun-2020 - 00:00,17.53,32.47,1.43,4.18,6.4,3.72,16.06,0.37,20.22,0.0,0.0,0.0,28.12,981.01,351.88,81.99,225.14,0.08,1.97,24-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
24-Jun-2020 - 00:00,22.11,35.83,1.14,3.81,6.09,3.22,15.96,0.41,21.88,0.0,0.0,0.0,27.68,981.16,200.59,84.61,238.83,0.12,1.72,25-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
25-Jun-2020 - 00:00,18.35,30.73,4.78,9.4,11.99,4.38,15.89,0.45,22.9,0.0,0.0,0.0,25.59,985.44,85.31,92.94,153.69,0.07,1.2,26-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
26-Jun-2020 - 00:00,16.98,24.63,3.25,6.27,7.88,4.0,16.11,0.49,19.38,0.0,0.0,0.0,24.93,979.85,91.67,93.37,196.1,0.08,0.97,27-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
27-Jun-2020 - 00:00,17.56,25.15,1.84,5.29,8.05,2.78,16.08,0.5,21.61,0.0,0.0,0.0,24.61,977.07,71.23,94.6,122.3,0.15,0.86,28-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
28-Jun-2020 - 00:00,18.99,29.13,1.3,4.99,8.27,2.41,15.92,0.45,27.26,0.0,0.0,0.0,26.03,976.82,245.47,88.52,132.41,0.16,1.01,29-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
29-Jun-2020 - 00:00,22.91,35.81,2.62,5.17,6.58,3.62,15.66,0.48,26.6,0.0,0.0,0.0,26.52,985.76,179.36,89.88,161.5,0.08,0.89,30-Jun-2020 - 00:00,"Railway Colony, Guwahati - APCB"
30-Jun-2020 - 00:00,20.03,31.76,1.32,3.41,4.99,3.36,15.84,0.42,24.2,0.0,0.0,0.0,28.61,980.94,361.28,79.23,209.92,0.08,1.31,01-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
01-Jul-2020 - 00:00,23.99,34.05,2.99,5.53,6.77,3.51,15.89,0.46,20.75,0.0,0.0,0.0,28.11,987.85,265.75,85.82,215.55,0.14,1.13,02-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
02-Jul-2020 - 00:00,24.98,39.66,13.45,15.56,11.35,2.91,16.23,0.47,20.71,0.0,0.0,0.0,26.99,980.33,162.4,87.53,181.5,0.19,1.24,03-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
03-Jul-2020 - 00:00,18.88,26.46,1.07,3.61,5.77,3.18,15.97,0.4,23.37,0.0,0.0,0.0,27.86,981.63,228.32,84.76,181.69,0.13,1.32,04-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
04-Jul-2020 - 00:00,21.96,32.47,4.28,6.87,7.81,4.03,16.09,0.38,23.24,0.0,0.0,0.0,29.49,979.83,428.5,76.72,186.01,0.17,1.26,05-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
05-Jul-2020 - 00:00,16.38,24.08,1.31,3.84,5.86,3.36,16.17,0.35,22.26,0.0,0.0,0.0,28.38,976.2,178.68,82.87,205.97,0.34,0.9,06-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
06-Jul-2020 - 00:00,13.75,23.73,0.84,2.69,4.24,3.45,16.11,0.32,24.08,0.0,0.0,0.0,28.96,970.54,227.36,80.67,211.27,0.16,1.01,07-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
07-Jul-2020 - 00:00,18.64,28.49,15.93,15.1,8.4,22.09,15.27,0.28,23.5,0.0,0.0,0.0,29.92,988.62,609.12,78.45,207.17,0.12,1.18,08-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
08-Jul-2020 - 00:00,12.29,24.54,24.23,19.42,5.98,5.93,15.29,0.33,23.48,0.0,0.0,0.0,28.4,987.71,85.4,85.29,229.6,0.1,0.97,09-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
09-Jul-2020 - 00:00,12.53,21.29,4.27,4.86,3.82,3.13,15.51,0.29,24.75,0.0,0.0,0.0,28.49,988.56,225.0,84.57,252.51,0.02,1.22,10-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
10-Jul-2020 - 00:00,2.37,11.03,25.76,19.44,3.68,4.38,14.92,0.33,25.91,0.0,0.0,0.0,,,,,,0.0,,11-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
11-Jul-2020 - 00:00,3.43,5.61,49.48,34.49,2.38,9.65,14.38,0.22,56.07,0.0,0.0,0.0,,,,,,0.0,,12-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
12-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,13-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
13-Jul-2020 - 00:00,,0.63,127.82,86.39,2.82,14.47,14.84,0.28,38.76,0.0,0.0,0.0,30.69,992.84,513.39,75.94,161.97,0.0,1.68,14-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
14-Jul-2020 - 00:00,18.92,29.28,1.21,3.91,6.19,7.15,16.51,0.36,23.65,0.0,0.0,0.0,28.44,964.27,217.73,78.61,219.97,0.09,1.43,15-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
15-Jul-2020 - 00:00,8.85,16.2,1.42,3.17,4.36,4.09,16.3,0.29,19.06,0.0,0.0,0.0,28.41,970.22,317.8,79.16,215.61,0.18,1.63,16-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
16-Jul-2020 - 00:00,11.84,21.01,0.94,2.64,4.0,2.89,16.24,0.28,20.59,0.0,0.0,0.0,28.72,979.77,351.56,78.27,241.42,0.15,2.17,17-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
17-Jul-2020 - 00:00,15.46,26.4,0.85,2.72,4.31,2.1,16.16,0.31,20.71,0.0,0.0,0.0,28.15,971.54,232.27,79.34,226.38,0.15,1.71,18-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
18-Jul-2020 - 00:00,16.35,25.88,0.89,2.7,4.16,1.99,16.38,0.31,20.54,0.0,0.0,0.0,27.72,986.37,152.97,85.46,241.13,0.18,1.18,19-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
19-Jul-2020 - 00:00,10.87,18.55,2.1,4.77,6.56,3.38,16.25,0.34,19.14,0.0,0.0,0.0,25.84,976.51,124.25,90.27,202.72,0.17,1.41,20-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
20-Jul-2020 - 00:00,11.53,19.77,4.9,7.05,7.27,7.95,15.83,0.4,28.68,0.0,0.0,0.0,25.78,970.12,143.83,87.88,174.15,0.24,0.84,21-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
21-Jul-2020 - 00:00,18.79,30.41,4.47,6.9,7.32,2.79,16.17,0.51,22.9,0.0,0.0,0.0,26.36,985.23,140.64,90.06,176.96,0.15,0.7,22-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
22-Jul-2020 - 00:00,17.01,28.95,8.06,9.32,6.77,1.95,16.72,0.51,17.73,0.0,0.0,0.0,25.84,974.56,121.44,90.02,133.0,0.15,0.93,23-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
23-Jul-2020 - 00:00,12.13,23.96,2.26,4.48,5.74,2.45,16.82,0.41,22.89,0.0,0.0,0.0,27.51,983.15,254.81,85.47,144.63,0.04,1.17,24-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
24-Jul-2020 - 00:00,14.24,24.84,1.41,4.4,6.88,1.55,16.86,0.38,19.53,0.0,0.0,0.0,26.1,971.07,162.39,89.48,192.3,0.16,0.87,25-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
25-Jul-2020 - 00:00,16.06,29.36,3.17,5.36,6.16,1.23,17.0,0.38,17.93,0.0,0.0,0.0,27.82,980.45,361.06,80.99,212.14,0.12,1.52,26-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
26-Jul-2020 - 00:00,21.51,32.58,0.71,2.9,4.89,1.16,17.07,0.35,21.14,0.0,0.0,0.0,28.37,984.29,221.45,82.72,203.59,0.11,1.16,27-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
27-Jul-2020 - 00:00,23.9,38.27,5.32,8.99,10.32,2.47,17.41,0.51,19.67,0.0,0.0,0.0,26.51,979.34,118.39,89.87,148.07,0.13,0.93,28-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
28-Jul-2020 - 00:00,22.08,38.39,4.35,8.04,9.83,2.15,17.64,0.46,20.78,0.0,0.0,0.0,27.85,987.01,298.02,84.3,171.83,0.07,0.92,29-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
29-Jul-2020 - 00:00,20.16,37.66,2.11,6.39,9.91,1.7,17.6,0.42,19.7,0.0,0.0,0.0,27.42,981.21,217.28,84.88,158.6,0.22,0.87,30-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
30-Jul-2020 - 00:00,24.78,41.72,3.89,7.21,8.87,1.88,17.77,0.52,18.92,0.0,0.0,0.0,26.44,982.8,145.1,89.72,163.33,0.15,0.92,31-Jul-2020 - 00:00,"Railway Colony, Guwahati - APCB"
31-Jul-2020 - 00:00,17.77,31.08,5.03,8.05,8.82,1.56,17.63,0.54,19.35,0.0,0.0,0.0,26.88,984.14,249.38,88.11,166.91,0.06,1.04,01-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
01-Aug-2020 - 00:00,24.8,39.9,3.74,6.85,8.36,2.02,17.97,0.53,19.17,0.0,0.0,0.0,28.87,981.88,407.2,78.78,207.08,0.14,1.1,02-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
02-Aug-2020 - 00:00,25.99,40.42,4.92,8.62,10.16,2.63,18.06,0.45,20.7,0.0,0.0,0.0,30.1,983.77,414.61,74.41,220.19,0.07,1.15,03-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
03-Aug-2020 - 00:00,30.12,54.31,18.96,23.78,19.79,4.58,18.62,0.59,22.11,0.0,0.0,0.0,31.85,981.3,480.02,71.48,174.93,0.03,0.91,04-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
04-Aug-2020 - 00:00,32.56,59.32,10.21,15.16,15.48,3.1,18.96,0.56,24.09,0.0,0.0,0.0,31.25,975.08,341.62,78.49,130.89,0.08,1.22,05-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
05-Aug-2020 - 00:00,14.35,38.42,1.92,5.5,8.38,5.61,18.13,0.43,23.05,0.0,0.0,0.0,32.16,970.27,366.51,69.17,147.43,0.09,1.56,06-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
06-Aug-2020 - 00:00,16.15,35.68,5.46,9.87,11.91,4.61,18.01,0.43,19.01,0.0,0.0,0.0,30.11,983.16,303.98,78.48,230.43,0.08,1.41,07-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
07-Aug-2020 - 00:00,11.37,26.22,3.62,6.3,7.38,3.53,17.8,0.36,19.1,0.0,0.0,0.0,30.11,979.19,363.89,76.26,243.07,0.13,2.02,08-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
08-Aug-2020 - 00:00,15.37,26.42,2.38,5.16,6.93,4.23,18.02,0.34,21.03,0.0,0.0,0.0,29.02,974.04,207.36,79.55,221.58,0.12,1.39,09-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
09-Aug-2020 - 00:00,25.87,43.29,6.09,10.03,11.25,4.76,18.0,0.43,19.51,0.0,0.0,0.0,28.6,977.51,222.8,83.14,215.4,0.11,1.04,10-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
10-Aug-2020 - 00:00,11.6,25.2,1.11,3.61,5.74,4.37,17.68,0.34,19.51,0.0,0.0,0.0,28.32,986.07,254.11,83.51,240.89,0.1,1.52,11-Aug-2020 - 00:00,"Railway Colony, Guwahati - APCB"
