from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,WS,WD,AT,RH,BP,to date,station
15-Feb-2020 - 00:00,71.7,146.4,46.98,4.27,28.47,28.43,13.84,1.73,18.92,,,2.01,164.4,20.01,41.54,743.0,16-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
16-Feb-2020 - 00:00,113.47,205.55,61.94,20.38,49.52,30.22,14.05,2.31,16.61,,,1.7,181.1,20.28,47.73,743.0,17-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
17-Feb-2020 - 00:00,150.56,248.62,64.44,45.83,71.54,32.66,14.12,2.81,18.17,,,1.64,158.46,20.67,48.1,743.0,18-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
18-Feb-2020 - 00:00,122.95,233.78,63.71,31.89,59.18,28.47,17.27,2.22,17.15,,,1.73,175.17,20.56,40.71,743.0,19-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
19-Feb-2020 - 00:00,167.73,288.7,48.21,37.28,55.94,37.98,12.96,1.28,26.87,,,1.8,134.69,19.51,54.27,743.0,20-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
20-Feb-2020 - 00:00,117.83,213.7,28.41,1.62,16.44,40.17,12.46,2.12,25.59,,,2.53,128.29,20.74,59.32,743.0,21-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
21-Feb-2020 - 00:00,49.61,68.32,26.54,1.88,15.56,57.08,10.93,1.04,8.39,,,3.98,69.07,17.39,77.46,743.0,22-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
22-Feb-2020 - 00:00,60.88,119.86,41.36,30.19,46.53,67.92,10.95,0.79,9.37,,,1.74,102.33,19.21,71.21,743.0,23-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
23-Feb-2020 - 00:00,86.0,139.98,42.8,12.5,32.93,62.21,8.21,0.83,17.34,,,2.19,119.93,21.29,63.0,743.0,24-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
24-Feb-2020 - 00:00,65.79,124.55,51.45,7.15,33.19,52.0,13.68,0.45,35.77,,,2.05,108.28,21.05,59.28,743.0,25-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
25-Feb-2020 - 00:00,132.24,214.91,64.62,15.56,47.03,54.81,13.5,0.93,16.45,,,1.46,172.91,21.44,63.32,743.0,26-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
26-Feb-2020 - 00:00,152.77,250.69,58.55,25.95,51.66,57.91,11.99,0.98,19.31,,,1.32,152.93,21.14,67.19,743.0,27-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
27-Feb-2020 - 00:00,118.24,187.69,39.95,6.42,26.47,61.78,11.24,0.7,12.69,,,1.4,148.32,20.62,74.34,743.0,28-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
28-Feb-2020 - 00:00,102.18,159.91,32.44,2.9,19.61,62.49,11.34,0.37,16.14,,,2.22,123.11,20.94,73.02,743.0,29-Feb-2020 - 00:00,"Sector-116, Noida - UPPCB"
29-Feb-2020 - 00:00,76.55,123.97,30.59,2.99,18.62,76.67,10.04,0.73,15.07,,,2.82,112.55,20.3,74.34,743.0,01-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
01-Mar-2020 - 00:00,47.39,106.78,31.71,23.07,35.63,74.85,10.11,0.52,18.25,,,1.38,142.44,20.61,71.5,743.0,02-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
02-Mar-2020 - 00:00,125.81,248.86,62.28,54.8,77.67,70.66,9.54,1.4,32.68,,,1.01,128.71,22.52,68.26,743.0,03-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
