from date,Benzene,Eth-Benzene,MP-Xylene,BP,O Xylene,PM10,PM2.5,RF,RH,SR,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
17-Apr-2020 - 00:00,0.33,0.0,0.0,729.0,2.09,99.88,28.47,0.0,28.9,142.78,225.01,1.85,0.27,9.32,3.94,10.81,14.13,40.11,1.99,18-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
18-Apr-2020 - 00:00,0.26,0.0,0.0,728.44,1.9,118.76,35.61,0.0,25.69,153.58,238.57,2.17,0.29,8.77,4.0,9.7,13.03,31.73,2.22,19-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
19-Apr-2020 - 00:00,0.64,0.0,0.0,728.33,1.67,115.43,36.58,0.0,27.14,164.13,209.47,1.18,0.37,10.3,3.76,12.41,16.04,42.71,1.81,20-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
20-Apr-2020 - 00:00,0.34,0.0,0.0,728.5,1.63,84.22,29.06,0.0,31.65,156.57,159.24,1.4,0.24,8.83,4.06,11.99,15.79,37.65,2.3,21-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
21-Apr-2020 - 00:00,0.49,0.0,0.0,728.15,2.39,72.15,28.27,0.0,29.94,162.47,186.26,1.83,0.27,10.7,4.08,11.97,15.81,47.55,2.0,22-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
22-Apr-2020 - 00:00,1.02,0.0,0.0,728.87,3.07,86.57,33.23,0.0,25.54,159.76,152.72,1.09,0.35,9.91,2.8,14.06,16.39,43.16,2.23,23-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
23-Apr-2020 - 00:00,0.26,0.0,0.0,729.62,2.3,96.46,27.97,0.0,32.52,191.67,203.25,1.79,0.27,10.29,2.86,12.71,15.27,28.27,1.72,24-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
24-Apr-2020 - 00:00,0.3,0.0,0.0,730.11,3.49,68.84,23.38,0.0,38.23,186.48,200.81,1.62,0.31,8.74,3.41,10.2,13.23,35.8,1.92,25-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
25-Apr-2020 - 00:00,0.29,0.0,0.0,729.9,2.28,127.8,34.53,0.0,40.07,173.52,208.84,1.8,0.38,11.45,4.07,7.11,10.77,35.81,2.05,26-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
26-Apr-2020 - 00:00,0.32,0.0,0.0,729.12,3.45,81.95,28.82,0.0,40.81,169.23,195.0,2.01,0.25,8.83,5.22,9.76,14.67,33.63,2.44,27-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
27-Apr-2020 - 00:00,0.19,0.0,0.0,728.33,2.16,50.38,20.1,0.0,43.16,191.35,162.01,2.49,0.24,9.01,5.16,7.72,12.02,44.39,2.56,28-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
28-Apr-2020 - 00:00,0.58,0.0,0.0,727.99,2.67,61.05,25.34,0.0,29.88,187.59,236.48,1.43,0.36,9.68,4.89,9.4,13.81,38.23,2.79,29-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
29-Apr-2020 - 00:00,0.64,0.0,0.0,728.6,2.91,98.2,37.96,0.0,25.03,163.88,252.04,1.73,0.38,8.69,4.85,11.56,16.01,40.39,3.01,30-Apr-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
30-Apr-2020 - 00:00,0.48,0.0,0.0,728.44,2.26,74.04,34.65,0.0,22.82,182.18,213.29,1.81,0.27,10.21,3.76,11.3,14.52,43.35,2.08,01-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
01-May-2020 - 00:00,0.53,0.0,0.0,728.65,2.27,67.13,30.8,0.0,21.11,159.21,222.68,1.85,0.35,9.27,4.78,10.4,14.93,40.34,1.48,02-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
02-May-2020 - 00:00,0.19,0.0,0.0,729.83,1.98,71.58,30.03,0.0,28.38,149.46,228.09,1.99,0.45,12.71,3.78,6.28,9.61,32.31,1.25,03-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
03-May-2020 - 00:00,0.11,0.0,0.0,730.13,1.97,66.76,27.47,0.0,35.45,141.89,217.65,2.43,0.35,11.23,4.4,7.28,11.42,24.2,2.02,04-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
04-May-2020 - 00:00,0.37,0.0,0.0,729.16,2.97,91.2,38.65,0.0,47.13,124.56,164.84,2.28,0.36,10.36,3.46,7.65,10.53,32.99,1.77,05-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
05-May-2020 - 00:00,0.91,0.0,0.0,728.78,3.47,44.69,23.78,0.0,45.15,189.48,201.27,1.01,0.46,10.67,4.01,8.56,12.14,27.17,2.17,06-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
06-May-2020 - 00:00,0.48,0.0,0.0,729.93,2.68,79.07,32.45,0.0,31.61,163.01,199.15,2.27,0.44,11.88,3.95,8.21,11.83,38.23,2.37,07-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
07-May-2020 - 00:00,0.39,0.0,0.0,729.82,2.07,64.9,25.73,0.0,25.67,182.55,214.13,1.69,0.36,10.95,3.56,7.1,10.35,46.06,1.97,08-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
08-May-2020 - 00:00,0.31,0.0,0.0,730.09,2.21,68.86,30.2,0.0,22.71,180.7,228.84,1.7,0.34,9.83,3.83,10.78,14.21,37.63,2.35,09-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
09-May-2020 - 00:00,0.25,0.0,0.0,729.52,7.62,78.13,36.01,0.0,25.2,181.44,242.08,1.82,0.28,9.76,4.03,10.11,13.92,31.53,2.58,10-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
10-May-2020 - 00:00,0.44,0.0,0.0,729.39,46.32,73.88,31.34,0.0,25.62,188.87,202.61,1.71,0.29,9.53,4.58,9.25,13.47,34.67,2.43,11-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
11-May-2020 - 00:00,0.41,0.0,0.0,729.32,3.63,66.17,33.81,0.0,29.19,173.86,205.91,2.1,0.27,8.63,3.88,9.79,13.21,46.31,1.93,12-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
12-May-2020 - 00:00,0.32,0.0,0.0,729.26,2.3,50.5,25.96,0.0,33.15,210.73,164.25,1.65,0.23,9.69,4.34,7.7,11.73,49.27,1.69,13-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
13-May-2020 - 00:00,0.31,0.0,0.0,729.82,2.67,218.72,93.55,0.0,32.89,173.96,212.83,1.54,0.19,9.97,4.09,10.03,13.65,42.75,1.78,14-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
14-May-2020 - 00:00,0.35,0.0,0.0,729.74,1.99,91.06,28.56,0.0,28.45,182.06,232.99,1.62,0.19,10.09,6.33,10.87,16.1,31.43,2.06,15-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
15-May-2020 - 00:00,0.42,0.0,0.0,729.75,2.19,109.39,44.67,0.0,26.98,179.21,234.82,1.44,0.24,10.06,4.26,10.79,14.76,48.87,2.54,16-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
16-May-2020 - 00:00,0.37,0.0,0.0,730.21,2.28,93.87,39.64,0.0,26.76,178.63,242.02,1.32,0.25,9.22,3.51,12.55,15.49,48.67,1.92,17-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
17-May-2020 - 00:00,0.29,0.0,0.0,730.52,2.3,87.87,37.84,0.0,18.75,177.11,274.24,1.83,0.2,9.46,2.7,13.96,15.84,58.12,2.39,18-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
18-May-2020 - 00:00,0.42,0.0,0.0,730.68,1.79,482.41,211.73,0.0,18.87,171.11,236.35,1.44,0.22,8.38,3.1,14.13,16.75,49.36,2.11,19-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
19-May-2020 - 00:00,0.29,0.0,0.0,731.39,1.96,81.86,39.37,0.0,21.26,158.06,260.89,1.99,0.22,9.44,2.96,12.79,15.05,48.59,2.24,20-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
20-May-2020 - 00:00,0.44,0.0,0.0,731.22,1.54,88.47,48.67,0.0,14.8,178.72,228.25,1.48,0.3,11.71,4.8,9.18,13.48,68.12,2.45,21-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
21-May-2020 - 00:00,0.41,0.0,0.0,731.33,2.17,100.27,51.14,0.0,15.49,168.4,248.81,2.21,0.27,11.65,8.09,9.88,14.98,43.23,9.56,22-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
22-May-2020 - 00:00,0.25,0.0,0.0,730.96,1.8,139.27,61.27,0.0,18.61,186.49,233.65,2.17,0.2,12.6,5.92,12.46,18.11,39.67,2.96,23-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
23-May-2020 - 00:00,0.13,0.0,0.0,730.44,2.12,111.81,49.92,0.0,25.98,193.97,228.85,1.99,0.17,11.05,5.56,7.15,12.56,32.71,2.33,24-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
24-May-2020 - 00:00,0.2,0.0,0.0,730.02,2.6,116.81,52.43,0.0,25.53,179.99,243.1,1.88,0.16,11.31,6.7,9.35,15.88,37.19,2.55,25-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
25-May-2020 - 00:00,0.16,0.0,0.0,730.21,2.39,94.0,46.13,0.0,25.25,185.22,231.15,1.99,0.19,11.6,6.43,9.1,14.68,40.12,2.05,26-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
26-May-2020 - 00:00,0.22,0.0,0.0,730.84,2.91,91.67,42.54,0.0,33.25,189.93,227.62,2.4,0.23,12.7,6.17,10.31,15.93,30.93,1.62,27-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
27-May-2020 - 00:00,0.16,0.0,0.0,731.93,2.66,145.41,47.25,0.0,39.2,189.04,225.0,2.51,0.22,12.22,7.8,9.98,16.77,29.66,2.04,28-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
28-May-2020 - 00:00,0.17,0.0,0.0,732.63,2.45,155.08,52.61,0.0,40.49,185.37,226.2,2.65,0.14,12.8,8.47,10.14,18.32,30.26,1.06,29-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
29-May-2020 - 00:00,0.12,0.0,0.0,731.95,3.2,138.67,55.58,0.0,42.81,185.69,224.5,2.51,0.17,11.35,7.75,10.14,17.43,22.96,2.56,30-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
30-May-2020 - 00:00,0.29,0.0,0.0,730.28,3.72,91.59,41.23,0.1,59.79,211.29,167.33,2.97,0.18,12.24,6.73,4.56,7.82,22.53,2.58,31-May-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
31-May-2020 - 00:00,0.04,0.0,0.0,729.24,0.65,53.41,23.74,0.0,67.4,274.95,191.14,1.72,0.21,10.9,8.94,5.06,9.49,32.16,3.29,01-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
01-Jun-2020 - 00:00,0.09,0.0,0.0,729.51,0.7,92.35,31.57,0.0,41.03,246.32,226.54,1.95,0.43,11.74,10.85,2.71,10.82,48.74,3.54,02-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
02-Jun-2020 - 00:00,0.18,0.0,0.0,730.36,0.77,190.75,72.07,0.0,40.44,220.4,197.68,1.7,0.45,9.9,7.15,7.69,13.24,42.11,3.85,03-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
03-Jun-2020 - 00:00,0.09,0.0,0.0,731.22,0.89,91.34,43.45,0.0,53.24,209.03,192.38,1.75,0.39,15.1,4.76,13.16,13.62,34.24,2.86,04-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
04-Jun-2020 - 00:00,0.11,0.0,0.0,731.65,0.76,61.21,26.12,0.0,50.5,239.68,213.11,1.7,0.43,11.84,7.08,6.95,11.96,42.57,2.47,05-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
05-Jun-2020 - 00:00,0.1,0.0,0.0,731.39,0.68,72.03,29.77,0.0,43.75,219.78,230.68,2.43,0.39,13.29,6.49,4.47,7.61,45.4,2.21,06-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
06-Jun-2020 - 00:00,0.07,0.0,0.0,731.19,0.63,64.45,30.75,0.0,52.92,264.0,230.85,1.79,0.31,13.05,8.52,5.76,8.34,37.04,2.64,07-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
07-Jun-2020 - 00:00,0.14,0.0,0.0,737.28,0.79,50.08,21.65,0.0,53.26,312.88,213.89,1.39,0.36,11.16,5.91,15.09,18.01,37.81,2.18,08-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
08-Jun-2020 - 00:00,0.11,0.0,0.0,730.54,0.72,51.43,26.84,0.02,61.47,286.81,207.79,1.5,0.25,12.15,4.78,17.99,19.74,29.36,1.92,09-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
09-Jun-2020 - 00:00,0.11,0.0,0.0,729.85,0.97,65.28,41.69,0.0,56.86,273.14,212.62,1.47,0.26,10.54,6.13,13.73,18.14,27.61,2.84,10-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
10-Jun-2020 - 00:00,0.17,0.0,0.0,730.26,1.59,75.68,43.71,0.0,56.66,277.79,215.18,2.01,0.23,10.81,5.77,10.56,14.67,20.26,3.61,11-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
11-Jun-2020 - 00:00,0.29,0.0,0.0,730.69,3.1,73.62,38.26,0.0,66.37,250.14,188.4,2.21,0.25,11.43,5.5,10.53,14.95,20.75,3.14,12-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
12-Jun-2020 - 00:00,0.39,0.0,0.0,731.93,2.91,75.09,39.74,0.0,51.85,276.83,182.19,1.57,0.26,10.76,3.32,14.04,13.19,22.15,3.47,13-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
13-Jun-2020 - 00:00,0.64,0.0,0.0,731.49,3.93,73.73,38.38,0.0,62.76,264.82,256.1,1.74,0.53,12.24,5.31,10.53,15.28,20.38,4.02,14-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
14-Jun-2020 - 00:00,0.68,0.0,0.0,731.31,6.7,89.79,54.44,0.0,50.64,208.36,213.0,1.46,0.59,11.69,4.96,19.2,24.35,27.77,5.24,15-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
15-Jun-2020 - 00:00,0.8,0.0,0.0,731.73,4.51,83.48,48.12,0.0,48.98,242.22,224.35,1.3,0.58,13.33,5.49,15.87,22.04,31.61,5.09,16-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
16-Jun-2020 - 00:00,0.6,0.0,0.0,733.17,6.34,88.93,55.55,0.0,45.61,273.33,250.33,2.19,0.5,10.44,7.12,11.88,18.77,43.91,5.53,17-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
17-Jun-2020 - 00:00,0.33,0.01,0.03,733.06,2.02,75.86,43.94,0.0,43.95,282.6,238.02,2.62,0.51,10.61,10.63,9.87,19.64,32.28,4.64,18-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
18-Jun-2020 - 00:00,0.59,0.06,0.04,732.0,0.22,68.07,30.0,0.0,51.24,279.44,229.55,2.32,0.61,7.38,9.9,11.02,20.04,33.8,4.78,19-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
19-Jun-2020 - 00:00,2.44,0.19,0.33,731.1,0.6,64.26,35.98,0.0,52.77,275.93,223.73,2.33,0.5,9.62,9.23,13.04,21.81,26.13,5.66,20-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
20-Jun-2020 - 00:00,2.24,0.21,0.35,730.46,0.51,77.62,40.15,0.0,48.9,268.4,232.27,2.14,0.52,8.75,9.72,9.82,19.17,42.75,5.04,21-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
21-Jun-2020 - 00:00,2.86,0.26,0.28,730.74,0.51,65.73,34.18,0.0,52.23,225.88,236.02,1.84,0.6,8.39,9.64,8.86,17.83,32.32,4.64,22-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
22-Jun-2020 - 00:00,2.33,0.32,0.18,731.46,0.53,58.1,35.69,0.0,50.78,252.01,235.75,1.98,0.55,8.28,9.32,5.84,13.73,34.97,5.22,23-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
23-Jun-2020 - 00:00,2.21,0.23,0.04,730.63,0.44,59.2,36.6,0.0,64.68,284.64,229.3,1.79,0.47,11.65,9.45,14.95,19.84,36.7,5.3,24-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
24-Jun-2020 - 00:00,2.93,0.38,0.24,729.77,0.83,90.2,41.49,0.0,80.12,278.44,205.83,1.93,0.61,12.43,10.66,8.05,16.55,28.37,6.06,25-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
25-Jun-2020 - 00:00,2.76,0.27,0.27,730.24,0.79,74.51,39.69,0.0,79.32,277.51,204.72,1.5,0.6,11.92,10.28,5.25,12.18,28.05,6.29,26-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
26-Jun-2020 - 00:00,2.57,0.46,0.43,730.84,1.08,115.28,65.71,0.0,64.39,284.16,229.65,1.88,0.66,13.15,12.86,3.2,11.45,28.15,6.69,27-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
27-Jun-2020 - 00:00,1.76,0.23,0.49,730.88,0.6,119.94,68.36,0.0,54.13,301.77,230.35,2.26,0.47,11.02,10.67,12.38,17.09,30.6,6.99,28-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
28-Jun-2020 - 00:00,1.63,0.3,0.44,731.11,0.71,115.12,65.62,0.0,53.3,294.77,229.76,2.16,0.59,9.95,10.78,16.65,22.06,40.11,6.9,29-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
29-Jun-2020 - 00:00,1.94,0.48,0.19,731.0,1.12,110.82,56.04,0.0,51.52,299.19,240.31,1.89,0.59,10.2,11.21,12.09,18.86,30.82,7.07,30-Jun-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
30-Jun-2020 - 00:00,2.44,0.63,0.6,730.96,1.17,139.96,70.75,0.0,51.22,258.29,224.59,1.21,0.5,10.7,9.35,12.76,17.94,33.5,7.49,01-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
01-Jul-2020 - 00:00,2.18,0.45,0.05,731.03,1.25,114.09,53.98,0.0,62.18,245.16,207.52,1.37,0.53,12.91,10.86,14.72,22.57,25.74,6.6,02-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
02-Jul-2020 - 00:00,2.23,0.27,0.15,731.44,1.58,102.16,51.08,0.0,60.32,303.72,253.89,1.95,0.56,12.72,12.86,13.33,22.57,35.7,7.42,03-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
03-Jul-2020 - 00:00,2.01,0.24,0.36,732.0,1.19,96.75,53.52,0.0,53.87,306.29,233.65,1.69,0.51,12.6,11.78,20.57,30.03,35.97,7.16,04-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
04-Jul-2020 - 00:00,2.18,0.27,0.35,732.6,1.06,96.66,59.34,0.0,59.01,307.74,206.58,1.96,0.48,15.0,10.19,22.61,31.44,32.54,7.01,05-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
05-Jul-2020 - 00:00,2.9,0.25,0.07,733.06,0.74,83.55,52.64,0.0,57.88,274.11,122.35,2.01,0.48,11.79,10.4,13.88,24.27,49.06,7.06,06-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
06-Jul-2020 - 00:00,2.94,0.15,0.03,732.89,0.87,91.15,57.44,0.0,73.83,204.45,175.49,2.11,0.43,11.2,9.45,30.46,36.6,44.63,7.47,07-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
07-Jul-2020 - 00:00,2.94,0.19,0.1,732.36,1.74,66.12,35.81,0.0,68.55,298.81,115.92,2.04,0.39,16.73,10.44,15.28,25.25,42.55,6.55,08-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
08-Jul-2020 - 00:00,2.05,0.2,0.14,731.21,0.89,58.56,27.48,0.0,66.44,309.13,167.76,1.45,0.56,15.49,8.83,13.87,22.27,23.99,6.29,09-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
09-Jul-2020 - 00:00,2.31,0.49,0.61,731.31,2.02,63.73,34.42,0.0,66.22,239.35,231.61,1.75,0.48,14.16,10.85,14.86,25.7,25.88,4.33,10-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
10-Jul-2020 - 00:00,1.94,0.23,0.59,731.64,1.29,49.31,26.63,0.0,59.71,281.65,229.13,1.96,0.59,16.32,11.19,14.45,25.63,29.12,4.63,11-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
11-Jul-2020 - 00:00,1.42,0.17,0.25,731.75,0.97,41.19,19.8,0.0,74.68,168.71,216.4,2.11,0.39,14.73,11.73,11.13,22.91,34.82,4.25,12-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
12-Jul-2020 - 00:00,0.51,0.05,0.16,731.58,0.52,45.1,18.66,0.0,70.15,223.56,222.41,2.09,0.43,14.71,11.45,9.01,20.33,46.41,5.13,13-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
13-Jul-2020 - 00:00,0.63,0.06,0.06,731.34,0.91,48.2,26.16,0.0,63.65,286.4,213.31,1.87,0.5,8.64,8.74,13.99,22.2,38.26,4.95,14-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
14-Jul-2020 - 00:00,0.66,0.07,0.11,731.03,0.79,64.22,25.47,0.0,62.39,253.56,208.8,1.63,0.49,11.5,10.35,16.31,26.66,36.27,4.38,15-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
15-Jul-2020 - 00:00,1.2,0.11,0.17,731.71,0.8,74.64,29.79,0.0,58.74,265.63,230.71,1.6,0.46,12.75,8.84,12.68,21.25,27.86,3.75,16-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
16-Jul-2020 - 00:00,0.92,0.06,0.11,732.64,0.62,45.76,22.43,0.0,67.78,317.84,142.92,1.77,0.48,13.29,8.9,12.83,21.72,36.36,3.02,17-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
17-Jul-2020 - 00:00,1.01,0.09,0.11,732.48,0.62,47.74,20.65,0.0,64.06,298.87,140.96,1.75,0.4,13.28,9.6,11.15,21.19,38.89,4.27,18-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
18-Jul-2020 - 00:00,1.23,0.1,0.15,731.2,0.81,61.29,25.97,0.0,65.49,238.4,204.47,1.5,0.46,12.76,11.68,15.31,26.97,26.54,5.13,19-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
19-Jul-2020 - 00:00,0.9,0.13,0.32,730.48,1.04,76.53,27.39,0.0,64.32,235.74,237.86,2.07,0.47,14.13,9.42,13.15,22.57,29.94,7.56,20-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
20-Jul-2020 - 00:00,0.62,0.1,0.37,731.63,0.93,81.84,39.09,0.0,61.21,261.27,226.79,2.49,0.46,15.41,11.46,13.94,25.14,16.05,7.57,21-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
21-Jul-2020 - 00:00,0.7,0.09,0.4,730.62,0.78,74.21,40.52,0.0,75.31,155.83,200.55,1.97,0.39,11.19,9.56,10.65,19.8,23.76,6.85,22-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
22-Jul-2020 - 00:00,0.67,0.08,0.4,729.61,0.69,85.62,41.73,0.0,68.82,321.87,218.92,2.27,0.43,18.16,8.82,9.88,19.02,13.15,5.48,23-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
23-Jul-2020 - 00:00,10.77,0.31,0.63,730.44,2.48,99.77,41.8,0.0,57.16,293.44,246.06,2.1,0.38,18.73,10.25,9.4,19.94,21.34,5.12,24-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
24-Jul-2020 - 00:00,5.65,0.26,0.75,729.64,4.76,100.97,42.45,0.0,62.16,220.04,187.88,2.13,0.47,16.22,12.59,11.09,22.27,17.42,5.99,25-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
25-Jul-2020 - 00:00,3.57,0.63,0.83,729.01,3.97,65.13,29.04,0.25,84.25,147.64,176.54,1.66,0.46,20.62,13.78,13.94,25.98,13.74,5.24,26-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
26-Jul-2020 - 00:00,6.23,0.56,0.97,728.7,5.61,84.62,34.01,0.0,77.13,264.79,210.21,1.17,0.56,17.05,12.94,13.22,26.05,25.17,5.9,27-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
27-Jul-2020 - 00:00,11.16,0.44,1.06,729.02,4.84,77.48,32.14,0.0,70.89,319.61,226.6,1.67,0.51,16.42,11.15,10.64,21.46,14.51,5.09,28-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
28-Jul-2020 - 00:00,0.29,0.49,1.54,730.08,8.51,77.82,33.5,0.0,64.01,305.35,231.26,2.0,0.53,13.2,12.29,11.6,23.87,27.53,5.44,29-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
29-Jul-2020 - 00:00,0.54,0.87,1.83,730.79,5.15,74.86,39.22,0.0,61.94,282.98,225.95,1.76,0.64,14.04,13.13,11.38,24.07,19.27,6.44,30-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
30-Jul-2020 - 00:00,0.5,0.71,0.86,730.32,1.92,71.74,40.54,0.0,66.29,259.21,188.05,1.61,0.55,13.11,15.54,9.87,25.32,25.01,6.63,31-Jul-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
31-Jul-2020 - 00:00,0.23,0.57,0.68,730.17,1.94,57.9,30.16,0.0,78.29,234.61,221.19,1.4,0.66,15.29,10.89,9.38,20.1,22.45,7.02,01-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
01-Aug-2020 - 00:00,0.21,0.53,0.73,730.31,1.54,48.56,32.27,0.0,85.33,210.97,200.62,1.23,0.6,17.52,11.43,9.95,21.28,22.2,7.58,02-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
02-Aug-2020 - 00:00,1.6,0.53,0.83,730.98,3.4,62.63,26.8,0.0,81.43,215.14,201.59,1.29,0.63,17.42,11.6,10.75,22.08,14.99,6.87,03-Aug-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
