from date,PM10,PM2.5,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
27-Mar-2020 - 00:00,33.4,35.66,18.23,55.74,0.66,,10.73,0.73,0.0,0.41,1.76,28-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
28-Mar-2020 - 00:00,36.58,77.16,45.46,98.38,0.68,,8.16,0.87,0.0,0.57,1.4,29-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
29-Mar-2020 - 00:00,47.5,85.56,63.77,99.41,0.68,,16.12,0.69,0.0,0.65,1.67,30-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
30-Mar-2020 - 00:00,51.07,77.31,51.52,96.42,0.77,,20.16,1.13,0.0,0.59,1.41,31-Mar-2020 - 00:00,"Pusa, Delhi - IMD"
31-Mar-2020 - 00:00,57.41,85.09,74.92,135.73,0.87,,20.24,1.15,0.0,0.5,1.64,01-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
01-Apr-2020 - 00:00,61.59,97.24,88.41,144.81,0.8,,16.76,1.06,0.0,0.54,1.27,02-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
02-Apr-2020 - 00:00,49.05,87.53,81.01,154.53,0.74,,20.81,0.99,0.0,0.49,1.04,03-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
03-Apr-2020 - 00:00,46.66,87.51,82.47,141.13,0.83,,27.27,1.06,0.0,0.52,0.94,04-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
04-Apr-2020 - 00:00,57.72,98.42,77.76,131.74,0.91,,20.1,1.53,0.0,0.53,1.48,05-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
05-Apr-2020 - 00:00,80.67,94.98,93.93,138.93,0.87,,23.02,2.77,0.0,0.54,1.24,06-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
06-Apr-2020 - 00:00,100.71,75.52,121.71,167.94,0.81,521.24,21.45,1.68,0.0,0.67,1.07,07-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
07-Apr-2020 - 00:00,79.47,70.65,68.93,110.55,0.53,506.55,21.86,0.0,0.0,0.59,0.46,08-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
08-Apr-2020 - 00:00,62.14,90.88,67.36,87.66,0.51,,25.25,0.0,0.0,0.49,0.27,09-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
09-Apr-2020 - 00:00,63.74,92.01,95.17,92.92,0.57,,25.6,0.0,0.0,0.45,0.34,10-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
10-Apr-2020 - 00:00,85.29,98.16,96.06,101.66,0.71,,20.39,0.0,0.0,0.46,0.74,11-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
11-Apr-2020 - 00:00,88.69,94.66,52.82,87.1,0.74,,16.93,0.0,0.0,0.37,0.24,12-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
12-Apr-2020 - 00:00,,,,,,,,,,,,13-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
13-Apr-2020 - 00:00,,,,,,,,,,,,14-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
14-Apr-2020 - 00:00,,,,,,,,,,,,15-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
15-Apr-2020 - 00:00,,,,,,,,,,,,16-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
16-Apr-2020 - 00:00,,,,,,,,,,,,17-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
17-Apr-2020 - 00:00,,,,,,,,,,,,18-Apr-2020 - 00:00,"Pusa, Delhi - IMD"
