from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,to date,station
09-Oct-2020 - 00:00,88.84,149.1,15.75,13.35,15.03,39.05,10.49,0.46,48.78,1.36,1.91,10-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
10-Oct-2020 - 00:00,71.51,162.69,15.85,13.08,14.92,38.96,1.39,0.31,57.16,1.41,1.88,11-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
11-Oct-2020 - 00:00,77.07,143.34,15.79,13.14,14.97,39.02,2.56,0.43,59.02,1.43,1.84,12-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
12-Oct-2020 - 00:00,96.56,184.57,16.83,14.38,15.6,37.99,2.4,0.47,42.04,1.47,1.86,13-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
13-Oct-2020 - 00:00,110.82,208.31,18.08,15.14,15.94,36.99,2.76,0.53,37.62,1.44,1.9,14-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
14-Oct-2020 - 00:00,111.26,205.97,18.1,15.22,16.12,36.62,9.02,1.01,38.66,1.42,1.85,15-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
15-Oct-2020 - 00:00,113.46,205.04,17.96,16.37,16.84,36.95,8.18,0.95,48.46,1.42,1.86,16-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
16-Oct-2020 - 00:00,88.89,145.16,18.01,16.84,17.24,37.01,24.91,0.64,59.18,1.43,1.87,17-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
17-Oct-2020 - 00:00,107.9,218.21,16.46,14.42,14.29,35.07,32.38,0.74,63.46,1.46,1.87,18-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
18-Oct-2020 - 00:00,87.69,178.45,13.98,11.2,10.14,32.0,27.41,0.55,62.56,1.48,1.9,19-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-Oct-2020 - 00:00,96.53,171.41,14.0,11.25,10.17,31.98,30.09,0.52,61.44,1.48,1.9,20-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-Oct-2020 - 00:00,128.32,215.12,14.57,13.03,12.18,32.93,32.41,0.99,42.93,1.57,1.98,21-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-Oct-2020 - 00:00,115.41,215.17,16.11,16.43,16.58,35.01,21.6,1.01,43.2,1.66,2.0,22-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-Oct-2020 - 00:00,115.0,254.94,15.84,15.38,15.74,35.09,33.27,1.03,41.99,1.65,1.96,23-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-Oct-2020 - 00:00,130.52,347.25,16.0,16.78,16.86,34.99,36.76,1.35,36.24,1.62,1.95,24-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-Oct-2020 - 00:00,127.24,307.87,15.96,15.49,15.97,35.04,35.82,0.93,33.96,1.63,1.9,25-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
25-Oct-2020 - 00:00,148.06,336.91,16.03,15.63,16.06,35.0,37.55,0.98,30.45,1.62,1.84,26-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
26-Oct-2020 - 00:00,113.04,242.06,15.91,14.5,15.17,35.04,35.95,0.64,37.91,1.57,1.89,27-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
27-Oct-2020 - 00:00,156.58,288.95,16.78,16.49,15.59,31.06,33.5,1.03,30.64,1.54,1.92,28-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
28-Oct-2020 - 00:00,163.9,321.45,17.04,15.8,13.58,20.57,37.96,1.18,35.59,1.49,1.89,29-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
29-Oct-2020 - 00:00,203.66,346.22,17.12,15.4,16.04,20.76,22.4,1.42,54.99,1.41,1.85,30-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
30-Oct-2020 - 00:00,157.8,212.03,16.94,14.37,18.21,22.25,27.73,0.65,55.41,1.41,1.86,31-Oct-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
31-Oct-2020 - 00:00,148.73,224.95,17.01,13.93,17.92,21.91,27.41,0.78,55.56,1.35,1.89,01-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
01-Nov-2020 - 00:00,116.38,195.34,17.01,14.56,18.38,22.49,22.75,0.68,46.27,1.3,1.92,02-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-Nov-2020 - 00:00,128.11,234.46,17.01,15.33,18.85,23.09,22.85,0.81,37.97,1.32,1.88,03-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-Nov-2020 - 00:00,123.16,263.68,17.01,16.04,19.01,23.29,36.17,0.92,36.31,1.37,1.87,04-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-Nov-2020 - 00:00,212.52,337.54,58.0,75.54,88.52,17.33,31.86,1.3,33.18,1.38,1.9,05-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-Nov-2020 - 00:00,204.87,347.08,92.48,117.05,139.72,17.02,27.93,1.09,37.93,1.34,1.87,06-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-Nov-2020 - 00:00,275.24,416.37,120.94,130.41,165.19,14.46,33.8,1.54,25.63,1.33,1.86,07-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-Nov-2020 - 00:00,265.69,369.31,108.69,102.58,136.6,17.17,29.66,1.2,44.12,1.33,1.97,08-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-Nov-2020 - 00:00,343.45,450.85,124.54,127.27,164.67,13.49,32.24,1.61,28.82,1.32,2.01,09-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
09-Nov-2020 - 00:00,410.03,517.87,125.58,123.09,161.88,13.58,24.44,1.78,21.45,1.45,1.98,10-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
10-Nov-2020 - 00:00,299.44,411.95,101.88,132.01,157.67,101.05,17.73,1.66,32.68,1.6,1.94,11-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
11-Nov-2020 - 00:00,99.89,291.64,92.56,150.91,169.37,222.45,12.22,0.89,32.38,1.6,1.94,12-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
12-Nov-2020 - 00:00,109.59,317.88,110.15,177.95,200.25,259.04,13.61,1.09,39.18,1.61,1.86,13-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
13-Nov-2020 - 00:00,140.82,306.15,101.92,120.12,149.55,201.8,13.19,1.07,46.3,1.66,1.78,14-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
14-Nov-2020 - 00:00,253.11,301.27,63.85,26.51,54.59,82.92,17.38,0.89,56.81,1.59,1.78,15-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
15-Nov-2020 - 00:00,209.62,306.37,26.01,5.86,18.26,29.38,19.76,0.64,48.8,1.0,1.54,16-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
16-Nov-2020 - 00:00,105.71,181.78,26.99,6.91,19.62,31.18,7.02,0.5,12.2,1.0,1.54,17-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
17-Nov-2020 - 00:00,75.05,143.46,47.68,13.02,35.34,55.78,9.86,0.47,19.22,0.99,1.54,18-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
18-Nov-2020 - 00:00,108.31,196.68,61.69,30.26,56.45,84.27,10.03,0.76,29.28,1.0,1.54,19-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-Nov-2020 - 00:00,134.1,239.16,86.15,97.38,123.1,167.17,13.26,0.86,27.68,1.0,1.54,20-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-Nov-2020 - 00:00,114.4,199.51,91.2,25.52,68.19,106.75,15.82,0.64,26.2,1.01,1.54,21-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-Nov-2020 - 00:00,72.86,150.75,82.28,11.1,51.7,84.77,3.73,0.5,33.69,1.0,1.54,22-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-Nov-2020 - 00:00,92.83,191.64,78.08,60.58,89.22,124.0,3.82,0.73,36.54,1.0,1.54,23-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-Nov-2020 - 00:00,130.93,284.11,122.06,167.45,197.99,235.17,4.24,1.24,27.63,1.0,1.54,24-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-Nov-2020 - 00:00,147.85,304.95,141.26,162.01,202.9,239.66,4.85,1.2,33.97,0.99,1.54,25-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
25-Nov-2020 - 00:00,141.87,255.57,108.21,20.21,72.54,116.44,4.32,1.06,37.59,1.0,1.54,26-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
26-Nov-2020 - 00:00,109.6,164.73,73.6,28.39,61.15,91.97,2.92,0.83,22.51,1.01,1.54,27-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
27-Nov-2020 - 00:00,53.31,74.24,67.27,15.86,47.65,75.22,3.65,0.66,22.19,1.0,1.54,28-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
28-Nov-2020 - 00:00,84.61,141.16,82.19,24.13,62.15,96.04,11.58,0.78,25.59,1.0,1.54,29-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
29-Nov-2020 - 00:00,131.32,207.52,93.95,71.92,106.76,137.36,8.96,1.17,34.83,1.0,1.54,30-Nov-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
30-Nov-2020 - 00:00,169.87,233.86,108.93,84.78,124.92,161.99,11.73,1.09,32.14,1.0,1.54,01-Dec-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
01-Dec-2020 - 00:00,239.55,341.05,173.09,405.04,415.25,493.48,14.18,1.47,1.16,1.0,1.5,02-Dec-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
