from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,to date,station
12-Apr-2020 - 00:00,13.43,73.27,10.49,1.49,6.6,11.76,1.84,0.77,55.96,1.01,1.87,13-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
13-Apr-2020 - 00:00,28.99,105.19,16.27,2.58,10.57,13.29,2.84,0.59,46.0,1.1,2.02,14-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
14-Apr-2020 - 00:00,51.62,150.26,11.29,2.24,7.69,13.22,4.73,0.78,42.12,1.11,2.03,15-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
15-Apr-2020 - 00:00,40.66,177.64,6.19,3.14,5.75,11.51,5.89,0.59,38.81,1.1,2.02,16-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
16-Apr-2020 - 00:00,38.1,143.78,3.03,1.87,3.09,10.74,6.27,0.46,,1.11,2.03,17-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
17-Apr-2020 - 00:00,15.46,98.99,1.33,1.6,1.98,8.47,7.2,0.34,,1.09,2.01,18-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
18-Apr-2020 - 00:00,16.87,111.66,1.39,1.85,2.21,10.16,10.87,0.36,,1.1,2.01,19-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-Apr-2020 - 00:00,22.61,88.15,1.48,4.67,4.51,10.27,13.58,0.66,,1.11,2.04,20-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-Apr-2020 - 00:00,27.1,109.01,1.89,4.17,4.33,11.42,13.67,0.52,,1.1,2.02,21-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-Apr-2020 - 00:00,16.1,74.66,1.03,2.65,2.65,10.15,15.35,0.39,,1.1,2.02,22-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-Apr-2020 - 00:00,51.59,135.07,1.16,4.38,4.11,11.38,17.18,0.73,,1.1,2.02,23-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-Apr-2020 - 00:00,21.94,97.82,0.83,2.93,2.72,9.95,17.96,0.49,,1.1,2.02,24-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-Apr-2020 - 00:00,34.76,144.01,0.59,4.43,3.84,10.29,19.21,0.58,,1.1,2.02,25-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
25-Apr-2020 - 00:00,10.21,53.53,0.24,1.99,1.67,9.26,22.17,0.34,,1.11,2.03,26-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
26-Apr-2020 - 00:00,35.39,96.6,0.21,2.18,1.82,11.79,24.89,0.56,,1.09,2.02,27-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
27-Apr-2020 - 00:00,33.24,58.48,0.18,2.34,1.91,15.67,26.57,0.45,,1.1,2.03,28-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
28-Apr-2020 - 00:00,22.68,48.56,0.2,2.07,1.66,14.76,29.04,0.53,,1.1,2.01,29-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
29-Apr-2020 - 00:00,49.01,97.95,0.14,2.02,1.58,14.09,30.27,0.75,,1.11,2.02,30-Apr-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
30-Apr-2020 - 00:00,53.97,126.26,4.8,1.81,1.36,11.54,32.15,0.68,,1.11,2.02,01-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
01-May-2020 - 00:00,47.05,137.21,4.78,1.74,1.28,10.35,33.86,0.6,,1.1,2.01,02-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-May-2020 - 00:00,28.31,91.8,4.78,1.74,1.28,12.04,36.49,0.55,,1.1,2.03,03-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-May-2020 - 00:00,25.25,75.34,4.74,1.87,1.37,11.11,38.98,0.49,,1.09,2.01,04-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-May-2020 - 00:00,15.98,37.71,4.67,2.91,2.16,11.84,40.32,0.54,,1.09,2.03,05-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-May-2020 - 00:00,38.34,77.35,4.72,2.97,2.24,12.05,40.68,0.65,,1.1,2.02,06-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-May-2020 - 00:00,21.21,87.8,4.78,1.87,1.38,8.81,42.19,0.43,,1.11,2.03,07-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-May-2020 - 00:00,23.1,72.38,4.76,2.09,1.55,8.57,26.19,0.47,,1.09,1.98,08-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-May-2020 - 00:00,26.85,79.79,4.81,1.59,1.18,8.41,4.78,0.5,,1.1,2.01,09-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
09-May-2020 - 00:00,48.62,106.56,4.81,1.53,1.12,9.93,7.38,0.62,,1.1,2.02,10-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
10-May-2020 - 00:00,44.22,123.92,4.78,1.77,1.3,10.86,9.47,0.59,,1.09,2.02,11-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
11-May-2020 - 00:00,30.25,103.75,4.83,1.69,1.27,9.21,11.75,0.58,,1.09,2.02,12-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
12-May-2020 - 00:00,26.31,76.15,4.79,1.89,1.4,9.77,12.79,0.48,,1.1,2.03,13-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
13-May-2020 - 00:00,54.08,150.36,4.75,1.88,1.38,12.13,14.34,0.67,,1.1,2.02,14-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
14-May-2020 - 00:00,35.32,107.99,4.64,4.1,3.1,11.2,14.65,0.43,,1.11,2.03,15-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
15-May-2020 - 00:00,32.33,96.5,4.77,1.96,1.45,9.4,17.0,0.4,,1.1,2.02,16-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
16-May-2020 - 00:00,47.49,145.69,4.73,1.85,1.34,8.17,19.1,0.55,,1.1,2.02,17-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
17-May-2020 - 00:00,44.93,149.82,4.53,4.23,3.14,8.43,20.37,0.81,,1.1,2.01,18-May-2020 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
