from date,AT,Benzene,BP,CO,NO,NO2,NOx,Ozone,PM2.5,RF,RH,SO2,SR,Toluene,VWS,WD,WS,Xylene,to date,station
28-Apr-2020 - 00:00,24.52,0.63,751.0,1.23,1.6,17.52,10.45,133.6,35.14,0.0,72.75,14.01,155.29,1.03,-0.01,114.8,1.15,0.28,29-Apr-2020 - 00:00,"Collectorate, Gaya - BSPCB"
29-Apr-2020 - 00:00,25.57,0.69,751.0,1.28,1.58,17.76,10.56,132.08,48.3,0.0,66.77,13.86,207.96,1.63,-0.01,120.16,0.96,5.89,30-Apr-2020 - 00:00,"Collectorate, Gaya - BSPCB"
30-Apr-2020 - 00:00,27.0,0.72,751.0,1.34,1.6,16.94,10.09,133.41,29.63,0.0,60.44,14.76,213.82,1.59,-0.01,101.71,0.8,0.42,01-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
01-May-2020 - 00:00,25.56,0.62,751.0,0.86,1.52,16.31,9.81,123.18,27.91,0.0,64.97,14.21,189.56,1.2,-0.01,106.04,1.34,0.35,02-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
02-May-2020 - 00:00,25.02,0.45,750.87,0.76,1.38,16.05,9.56,95.21,22.85,0.0,65.64,14.79,205.57,0.82,-0.01,110.07,1.61,0.16,03-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
03-May-2020 - 00:00,26.83,0.61,750.8,0.8,1.4,15.87,9.44,98.22,41.92,0.0,61.67,15.02,226.64,0.92,-0.01,113.19,1.12,0.16,04-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
04-May-2020 - 00:00,27.09,0.78,750.93,0.78,1.35,15.97,9.46,106.2,41.34,0.0,63.03,14.92,177.75,2.11,-0.01,90.38,1.25,0.4,05-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
05-May-2020 - 00:00,25.48,0.65,750.86,0.78,1.57,16.61,10.02,103.08,36.34,0.0,68.7,14.54,158.55,1.54,-0.01,107.73,1.16,0.28,06-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
06-May-2020 - 00:00,27.14,0.05,750.89,0.83,1.76,16.82,9.98,97.18,32.17,0.0,59.6,14.93,185.08,0.14,-0.01,116.45,0.46,0.05,07-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
07-May-2020 - 00:00,26.27,0.0,751.0,0.74,1.91,16.81,10.28,110.1,36.14,0.0,61.33,14.92,222.56,0.0,-0.01,111.22,1.17,0.0,08-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
08-May-2020 - 00:00,26.88,0.0,750.76,0.81,1.35,16.29,9.7,132.38,36.26,0.0,60.1,15.66,233.0,0.0,-0.01,106.25,1.04,0.0,09-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
09-May-2020 - 00:00,27.84,,750.83,0.77,1.43,16.34,9.72,98.69,47.76,0.0,59.14,15.71,204.52,,-0.01,110.46,1.03,,10-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
10-May-2020 - 00:00,27.87,,750.84,0.82,1.95,16.13,9.94,134.6,50.11,0.0,61.95,15.74,170.07,,-0.01,105.94,1.32,,11-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
11-May-2020 - 00:00,26.94,,751.0,0.77,2.38,15.54,9.9,105.68,30.24,0.0,59.47,14.53,203.7,,-0.01,130.94,1.72,,12-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
12-May-2020 - 00:00,27.66,,750.92,0.77,1.58,16.95,10.13,112.37,45.45,0.0,58.73,15.71,186.12,,-0.01,108.68,0.79,,13-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
13-May-2020 - 00:00,29.0,,750.58,0.82,1.7,18.45,11.09,86.3,51.07,0.0,51.19,16.56,233.27,,-0.01,87.64,0.78,,14-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
14-May-2020 - 00:00,29.39,,750.31,0.76,1.62,16.97,10.21,113.89,56.34,0.0,52.84,16.61,203.85,,-0.01,102.8,0.9,,15-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
15-May-2020 - 00:00,29.23,,750.1,0.78,1.41,16.92,9.91,131.08,50.3,0.0,55.8,15.95,218.59,,-0.01,115.09,1.03,,16-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
16-May-2020 - 00:00,30.03,,750.0,0.9,2.74,18.37,11.76,111.41,49.47,0.0,48.2,16.36,217.73,,-0.01,118.43,1.26,,17-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
17-May-2020 - 00:00,30.15,,750.0,0.82,3.06,19.31,12.67,98.06,54.53,0.0,43.28,16.53,227.65,,-0.01,121.83,1.14,,18-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
18-May-2020 - 00:00,30.08,,750.0,0.79,3.82,17.46,11.74,106.07,55.48,0.0,43.59,16.63,209.97,,-0.01,121.67,0.74,,19-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
19-May-2020 - 00:00,29.0,,750.0,0.84,11.26,33.3,21.5,141.92,62.86,0.0,57.94,17.4,166.55,,-0.01,120.32,0.88,,20-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
20-May-2020 - 00:00,26.93,,750.0,0.76,,,,122.78,41.98,0.0,61.15,16.44,94.34,,-0.01,107.95,1.37,,21-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
21-May-2020 - 00:00,25.39,,750.0,0.85,,,,121.73,30.15,0.0,71.04,15.6,86.78,,-0.01,109.77,1.06,,22-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
22-May-2020 - 00:00,27.95,,750.0,1.08,,,,115.17,36.39,0.0,63.68,16.23,225.96,,-0.01,106.59,1.51,,23-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
23-May-2020 - 00:00,28.58,,750.0,0.73,,,,120.98,44.49,0.0,66.34,14.48,209.4,,-0.01,123.23,1.09,,24-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
24-May-2020 - 00:00,30.3,,750.0,0.88,,,,113.07,57.19,0.0,60.57,16.38,205.18,,-0.01,127.64,0.83,,25-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
25-May-2020 - 00:00,32.26,,750.0,0.9,,,,82.2,49.44,0.0,46.45,16.65,247.72,,-0.01,97.53,1.51,,26-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
26-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,27-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
27-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,28-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
28-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,29-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
29-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,30-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
30-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,31-May-2020 - 00:00,"Collectorate, Gaya - BSPCB"
31-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,01-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
01-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,02-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
02-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,03-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
03-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,04-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
04-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,05-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
05-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,06-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
06-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,07-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
07-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,08-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
08-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,09-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
09-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,10-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
10-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,11-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
11-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,12-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
12-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,13-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
13-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,14-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
14-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,15-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
15-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,16-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
16-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,17-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
17-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,18-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
18-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,19-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
19-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,20-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
20-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,21-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
21-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,22-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
22-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,23-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
23-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,24-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
24-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,25-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
25-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,26-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
26-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,27-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
27-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,28-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
28-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,29-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
29-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,30-Jun-2020 - 00:00,"Collectorate, Gaya - BSPCB"
30-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,01-Jul-2020 - 00:00,"Collectorate, Gaya - BSPCB"
01-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,02-Jul-2020 - 00:00,"Collectorate, Gaya - BSPCB"
02-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,03-Jul-2020 - 00:00,"Collectorate, Gaya - BSPCB"
03-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,04-Jul-2020 - 00:00,"Collectorate, Gaya - BSPCB"
04-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,05-Jul-2020 - 00:00,"Collectorate, Gaya - BSPCB"
05-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,06-Jul-2020 - 00:00,"Collectorate, Gaya - BSPCB"
06-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,07-Jul-2020 - 00:00,"Collectorate, Gaya - BSPCB"
07-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,08-Jul-2020 - 00:00,"Collectorate, Gaya - BSPCB"
08-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,09-Jul-2020 - 00:00,"Collectorate, Gaya - BSPCB"
09-Jul-2020 - 00:00,26.76,,750.0,,,,,,,0.0,78.3,,97.2,,-0.01,120.8,0.4,,10-Jul-2020 - 00:00,"Collectorate, Gaya - BSPCB"
