from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
14-Jan-2020 - 00:00,36.25,13.11,20.09,25.24,64.27,1.88,7.33,31.74,129.72,4.47,3.46,2.42,3.43,15-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
15-Jan-2020 - 00:00,39.12,13.33,19.48,26.28,69.85,1.09,7.32,36.76,152.26,2.69,0.53,0.74,1.23,16-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
16-Jan-2020 - 00:00,41.78,14.59,19.02,26.8,72.45,2.04,7.39,51.31,203.96,3.48,0.48,0.97,1.47,17-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
17-Jan-2020 - 00:00,37.06,14.33,21.54,26.72,75.21,4.12,7.32,32.94,111.69,5.16,0.9,2.5,3.08,18-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
18-Jan-2020 - 00:00,39.2,12.67,18.75,26.66,76.97,4.35,7.32,27.04,105.95,4.8,0.84,2.37,2.73,19-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
19-Jan-2020 - 00:00,40.88,9.61,14.23,25.46,55.08,4.0,7.31,35.24,120.3,3.33,0.81,0.97,1.5,20-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
20-Jan-2020 - 00:00,41.34,11.14,15.45,25.6,46.16,3.45,7.34,40.59,129.29,4.61,0.82,0.94,1.67,21-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
21-Jan-2020 - 00:00,32.15,26.49,44.71,30.21,80.3,3.15,7.37,75.28,240.28,9.27,0.94,4.56,4.77,22-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
22-Jan-2020 - 00:00,39.36,13.48,19.18,26.01,78.34,2.92,7.31,42.14,117.68,7.73,0.87,2.51,3.14,23-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
23-Jan-2020 - 00:00,40.62,12.34,17.16,25.89,84.83,2.59,7.3,20.36,74.76,1.86,0.75,0.61,1.08,24-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
24-Jan-2020 - 00:00,43.71,14.12,17.37,26.8,47.4,1.07,7.29,21.13,116.89,2.27,0.81,0.52,0.95,25-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
25-Jan-2020 - 00:00,49.91,22.94,30.83,27.07,48.38,1.32,7.46,50.75,208.49,4.49,0.81,1.19,1.74,26-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
26-Jan-2020 - 00:00,51.74,27.73,39.54,27.68,86.09,1.47,7.33,60.35,199.92,2.05,0.46,0.47,0.89,27-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
27-Jan-2020 - 00:00,51.75,37.65,44.42,30.57,88.97,3.62,7.38,70.09,219.92,7.1,0.99,2.34,3.51,28-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
28-Jan-2020 - 00:00,52.49,30.55,26.6,27.25,84.61,3.34,7.36,37.6,117.11,4.28,0.72,1.04,1.68,29-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
29-Jan-2020 - 00:00,51.48,28.08,24.48,27.23,68.0,2.86,7.36,25.89,84.33,3.36,0.99,1.62,2.07,30-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
30-Jan-2020 - 00:00,48.74,25.17,28.75,25.36,54.99,1.97,7.47,21.52,72.44,2.28,0.9,0.81,1.4,31-Jan-2020 - 00:00,"Murthal, Sonipat - HSPCB"
31-Jan-2020 - 00:00,33.18,27.07,36.92,27.37,27.95,0.82,7.34,19.2,118.19,4.28,4.72,4.17,4.64,01-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
01-Feb-2020 - 00:00,29.39,31.46,36.22,29.58,23.64,0.87,7.3,34.78,162.49,4.93,0.78,3.33,3.53,02-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
02-Feb-2020 - 00:00,31.6,25.05,25.21,26.85,27.07,0.72,7.31,30.5,115.3,3.54,0.89,0.79,1.5,03-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
03-Feb-2020 - 00:00,30.95,29.8,32.1,28.3,31.8,0.79,7.35,40.85,139.4,4.05,1.02,0.99,1.76,04-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
04-Feb-2020 - 00:00,29.72,42.92,51.22,32.9,25.34,1.04,7.36,59.75,196.53,7.49,1.07,4.39,4.44,05-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
05-Feb-2020 - 00:00,33.22,26.23,24.88,27.04,29.27,0.72,7.29,44.84,142.51,4.03,1.04,1.3,1.98,06-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
06-Feb-2020 - 00:00,31.67,30.65,31.9,28.88,35.28,0.82,7.3,41.83,131.36,4.72,1.03,1.13,1.88,07-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
07-Feb-2020 - 00:00,27.42,38.63,48.02,31.4,29.69,0.82,7.34,48.27,154.52,5.62,1.07,4.98,4.31,08-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
08-Feb-2020 - 00:00,31.97,25.6,26.04,26.86,35.51,0.7,7.33,34.49,168.42,4.63,1.8,2.04,2.57,09-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
09-Feb-2020 - 00:00,30.87,25.34,27.82,26.13,39.33,0.68,7.58,39.96,185.1,1.79,0.27,0.32,0.61,10-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
10-Feb-2020 - 00:00,30.68,24.89,27.65,27.02,39.4,0.77,7.36,43.61,162.83,2.66,0.68,0.41,2.35,11-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
11-Feb-2020 - 00:00,32.85,25.49,31.89,23.3,26.49,0.83,7.35,49.8,183.23,5.84,0.77,1.09,2.78,12-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
12-Feb-2020 - 00:00,41.36,22.33,36.33,26.91,30.5,0.72,7.37,47.8,176.25,3.94,0.55,0.68,1.34,13-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
13-Feb-2020 - 00:00,39.35,23.0,38.99,26.77,34.56,0.63,7.38,29.63,121.89,3.32,1.12,0.69,3.98,14-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
14-Feb-2020 - 00:00,40.42,21.42,36.38,26.2,38.53,0.55,7.33,23.62,117.76,2.61,0.66,0.52,2.01,15-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
15-Feb-2020 - 00:00,40.75,22.27,37.07,26.98,40.53,0.56,7.3,28.23,118.52,2.86,0.59,0.55,1.11,16-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
16-Feb-2020 - 00:00,41.32,23.6,37.99,27.54,42.13,0.83,7.32,41.83,151.65,4.48,0.76,0.87,1.8,17-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
17-Feb-2020 - 00:00,41.67,17.15,32.79,21.66,51.32,0.76,10.87,45.0,190.35,4.54,0.69,0.77,1.66,18-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
18-Feb-2020 - 00:00,45.1,8.89,26.4,13.89,10.22,0.76,22.9,35.42,214.74,3.16,0.68,1.02,1.43,19-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
19-Feb-2020 - 00:00,45.02,34.94,66.44,23.33,6.76,1.47,26.1,77.56,312.39,5.75,0.94,3.43,3.56,20-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
20-Feb-2020 - 00:00,48.43,19.76,29.47,17.83,12.97,1.04,22.29,52.46,301.87,6.97,0.59,0.93,1.51,21-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
21-Feb-2020 - 00:00,43.81,18.61,34.09,17.18,21.51,0.69,21.37,28.34,183.51,2.94,0.41,1.34,1.51,22-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
22-Feb-2020 - 00:00,48.9,17.54,29.17,17.52,25.25,0.57,21.21,21.05,110.15,3.83,0.78,1.72,2.2,23-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
23-Feb-2020 - 00:00,42.15,21.68,37.08,18.47,27.76,0.65,21.0,32.67,155.96,5.69,1.33,1.57,2.66,24-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
24-Feb-2020 - 00:00,43.36,21.24,35.92,18.22,27.99,0.51,21.03,25.18,122.8,4.47,4.24,1.57,2.59,25-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
25-Feb-2020 - 00:00,46.21,18.03,30.4,17.44,27.4,0.6,20.99,35.69,171.23,4.72,1.18,1.14,1.95,26-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
26-Feb-2020 - 00:00,43.18,22.43,36.7,18.44,28.89,0.92,20.95,52.27,202.09,7.25,1.48,3.1,3.27,27-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
27-Feb-2020 - 00:00,45.79,23.71,37.01,18.99,31.57,1.13,20.98,59.86,218.68,9.04,1.13,1.74,2.7,28-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
28-Feb-2020 - 00:00,43.5,18.55,32.11,17.95,27.71,1.01,20.93,47.82,194.13,6.46,0.64,0.83,1.5,29-Feb-2020 - 00:00,"Murthal, Sonipat - HSPCB"
29-Feb-2020 - 00:00,43.14,17.45,32.19,17.24,27.28,0.9,21.06,31.31,137.41,4.46,1.09,0.55,1.08,01-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
01-Mar-2020 - 00:00,46.81,20.06,34.89,18.84,27.46,0.66,20.99,15.13,81.21,3.06,2.8,0.96,1.61,02-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
02-Mar-2020 - 00:00,43.04,19.41,36.23,18.26,28.6,0.91,20.98,30.69,120.83,4.29,4.66,1.42,2.68,03-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
03-Mar-2020 - 00:00,41.75,23.14,40.39,19.02,27.23,1.04,21.02,36.58,139.36,4.53,4.88,2.39,3.15,04-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
04-Mar-2020 - 00:00,42.15,29.6,49.12,19.65,26.15,1.39,20.99,54.86,206.21,6.52,4.09,5.98,4.88,05-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
05-Mar-2020 - 00:00,37.7,12.55,36.22,14.39,29.29,0.71,11.79,24.58,165.48,1.43,0.89,0.3,0.44,06-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
06-Mar-2020 - 00:00,40.72,11.18,39.21,13.41,28.52,0.62,7.67,12.74,69.65,0.96,0.86,0.45,0.46,07-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
07-Mar-2020 - 00:00,41.06,20.47,47.21,17.83,33.06,0.81,34.97,27.66,155.4,3.36,1.95,1.9,1.96,08-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
08-Mar-2020 - 00:00,35.37,19.43,50.27,19.28,27.14,0.84,31.98,27.69,102.21,3.17,2.37,1.76,1.97,09-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
09-Mar-2020 - 00:00,37.19,13.66,39.58,17.88,28.84,0.72,30.95,18.89,83.45,2.54,3.0,0.93,1.63,10-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
10-Mar-2020 - 00:00,36.72,15.66,42.94,18.25,27.17,1.0,31.25,33.24,117.43,3.26,3.01,0.94,1.8,11-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
11-Mar-2020 - 00:00,52.89,42.92,158.1,31.78,27.06,1.08,31.05,36.34,110.39,4.38,2.28,0.97,1.75,12-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
12-Mar-2020 - 00:00,42.88,16.85,44.33,16.82,26.26,0.98,9.63,30.17,210.19,2.98,1.6,1.05,1.85,13-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
13-Mar-2020 - 00:00,39.26,19.3,52.4,17.7,23.86,1.03,9.9,47.44,208.25,3.7,2.17,1.38,1.88,14-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
14-Mar-2020 - 00:00,40.52,16.04,43.6,18.32,27.93,0.82,9.98,19.88,88.24,3.63,9.46,4.22,4.74,15-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
15-Mar-2020 - 00:00,40.67,16.01,43.73,18.74,27.04,1.05,10.0,26.88,119.2,3.68,3.58,2.69,2.66,16-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
16-Mar-2020 - 00:00,49.71,30.88,109.46,27.97,28.11,1.07,10.0,26.94,102.89,2.8,3.43,0.95,1.6,17-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
17-Mar-2020 - 00:00,65.15,48.57,180.16,40.18,26.55,1.09,9.99,28.27,105.64,2.45,0.86,0.71,1.19,18-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
18-Mar-2020 - 00:00,71.62,43.67,154.07,32.88,27.92,1.12,10.71,30.99,106.19,2.55,0.78,0.67,1.18,19-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
19-Mar-2020 - 00:00,66.59,38.29,141.99,31.28,27.03,1.2,16.94,38.83,137.95,3.76,0.95,1.89,2.24,20-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
20-Mar-2020 - 00:00,75.29,33.93,122.47,27.84,27.18,1.39,26.59,51.9,171.96,5.33,1.5,5.36,4.43,21-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
21-Mar-2020 - 00:00,57.72,17.25,57.76,20.32,27.31,1.66,33.23,71.19,212.74,7.83,1.87,4.38,4.29,22-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
22-Mar-2020 - 00:00,38.45,11.32,32.49,16.36,27.26,1.42,29.57,44.6,162.19,5.04,1.17,1.9,2.53,23-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
23-Mar-2020 - 00:00,44.53,11.83,30.42,16.28,27.07,1.23,24.59,25.51,86.7,3.15,1.19,1.09,1.97,24-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
24-Mar-2020 - 00:00,36.22,10.69,29.95,16.3,28.62,2.98,19.68,36.04,125.43,4.44,1.03,1.16,2.1,25-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
25-Mar-2020 - 00:00,44.18,10.19,27.86,16.53,28.18,3.17,22.88,27.31,126.64,3.71,1.08,1.05,1.9,26-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
26-Mar-2020 - 00:00,42.37,10.07,28.55,16.16,27.77,3.12,13.27,21.93,66.31,2.42,0.97,0.83,1.51,27-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
27-Mar-2020 - 00:00,41.45,10.99,32.6,15.53,28.1,2.04,11.45,17.23,58.59,1.81,0.74,0.66,1.23,28-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
28-Mar-2020 - 00:00,40.24,10.32,31.48,16.42,27.21,0.67,10.64,10.83,34.02,1.6,0.9,0.69,1.27,29-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
29-Mar-2020 - 00:00,38.85,9.85,30.03,16.06,27.8,0.71,10.44,15.24,60.02,1.34,0.75,0.59,1.05,30-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
30-Mar-2020 - 00:00,44.2,11.99,36.92,17.16,28.28,0.85,10.45,18.08,104.86,1.74,0.91,0.7,1.24,31-Mar-2020 - 00:00,"Murthal, Sonipat - HSPCB"
31-Mar-2020 - 00:00,52.37,19.8,65.45,20.48,28.02,3.05,10.8,21.71,66.46,2.12,0.92,0.73,1.35,01-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
01-Apr-2020 - 00:00,60.68,21.26,72.06,21.76,28.02,1.97,12.41,21.3,75.41,1.78,0.9,0.71,1.28,02-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
02-Apr-2020 - 00:00,56.35,26.48,91.56,23.97,27.71,0.97,19.86,17.79,69.96,1.56,0.78,0.63,1.11,03-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
03-Apr-2020 - 00:00,66.25,23.62,80.31,23.46,27.42,0.99,17.04,15.76,53.8,1.76,0.85,0.66,1.16,04-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
04-Apr-2020 - 00:00,66.53,28.83,95.47,24.73,28.29,1.0,18.4,18.42,68.21,2.17,0.87,0.72,1.32,05-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
05-Apr-2020 - 00:00,48.76,27.75,102.03,25.16,28.3,0.98,24.59,27.38,93.04,3.21,1.03,0.93,1.73,06-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
06-Apr-2020 - 00:00,61.0,24.93,89.28,24.49,27.89,0.96,13.82,35.74,115.5,4.5,1.08,1.05,1.9,07-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
07-Apr-2020 - 00:00,60.36,29.42,99.56,25.2,28.06,0.94,13.84,20.43,108.07,2.07,0.83,0.75,1.34,08-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
08-Apr-2020 - 00:00,62.63,29.11,99.06,25.21,27.95,0.91,12.92,17.51,68.54,1.63,0.79,0.65,1.18,09-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
09-Apr-2020 - 00:00,61.16,30.67,107.96,26.98,27.05,0.91,11.14,20.81,81.53,2.1,0.89,0.74,1.32,10-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
10-Apr-2020 - 00:00,57.46,28.93,102.86,26.39,28.79,0.91,10.76,29.03,104.3,3.12,1.13,1.0,1.86,11-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
11-Apr-2020 - 00:00,54.39,29.68,105.16,26.06,28.36,0.91,10.95,35.46,91.63,3.48,1.22,1.12,2.0,12-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
12-Apr-2020 - 00:00,74.21,26.32,94.71,26.07,28.19,0.86,11.27,19.45,85.4,2.23,0.99,0.86,1.48,13-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
13-Apr-2020 - 00:00,63.93,27.98,98.38,25.44,28.77,0.89,17.55,24.87,101.84,2.88,1.07,0.99,1.72,14-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
14-Apr-2020 - 00:00,74.31,32.43,103.36,27.32,27.76,0.84,21.15,39.13,148.49,4.15,1.27,1.27,2.16,15-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
15-Apr-2020 - 00:00,81.54,31.44,99.94,27.45,27.75,0.86,19.11,63.8,237.34,9.22,1.21,1.28,2.22,16-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
16-Apr-2020 - 00:00,68.41,19.52,62.0,22.68,27.43,0.85,16.76,48.62,216.11,5.51,1.32,1.52,2.46,17-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
17-Apr-2020 - 00:00,44.89,15.36,47.98,19.52,27.72,0.81,21.96,26.22,124.38,2.5,1.05,0.92,1.58,18-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
18-Apr-2020 - 00:00,48.23,14.16,47.74,18.32,28.47,0.8,19.79,22.14,101.08,1.93,0.68,0.54,0.88,19-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
19-Apr-2020 - 00:00,29.47,11.3,33.99,16.22,27.58,0.81,19.02,19.06,67.39,1.82,1.08,0.79,1.29,20-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
20-Apr-2020 - 00:00,31.13,10.81,29.82,16.21,28.23,0.86,24.56,37.28,121.88,3.87,1.24,1.26,2.1,21-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
21-Apr-2020 - 00:00,29.69,9.78,27.59,16.24,28.71,0.84,17.4,22.48,98.33,2.23,1.06,0.88,1.41,22-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
22-Apr-2020 - 00:00,27.08,10.64,31.31,16.47,27.38,0.82,13.45,33.88,147.43,3.07,1.22,1.09,1.79,23-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
23-Apr-2020 - 00:00,29.85,11.05,33.4,16.33,27.66,0.81,11.56,42.01,163.11,5.66,1.23,1.16,1.95,24-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
24-Apr-2020 - 00:00,29.83,10.11,27.44,16.38,27.92,0.86,12.78,51.51,177.96,8.65,1.77,1.54,2.44,25-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
25-Apr-2020 - 00:00,30.39,9.89,28.1,16.08,27.95,0.81,11.3,33.5,162.6,3.87,1.38,1.15,1.78,26-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
26-Apr-2020 - 00:00,47.7,13.47,37.42,17.19,27.52,0.84,13.09,41.47,151.03,4.81,0.78,0.71,1.18,27-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
27-Apr-2020 - 00:00,53.34,15.35,49.78,20.08,28.33,0.82,11.82,21.53,82.18,2.98,0.45,0.43,0.74,28-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
28-Apr-2020 - 00:00,56.53,24.96,76.69,23.28,27.79,0.8,12.47,28.95,134.32,3.91,0.68,0.63,1.13,29-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
29-Apr-2020 - 00:00,56.73,23.64,75.43,23.34,28.31,0.78,12.17,50.0,214.98,6.03,1.43,1.18,1.95,30-Apr-2020 - 00:00,"Murthal, Sonipat - HSPCB"
30-Apr-2020 - 00:00,66.04,25.55,84.14,25.93,28.58,0.77,15.59,34.78,181.73,6.06,1.1,0.95,1.61,01-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
01-May-2020 - 00:00,68.05,23.68,82.75,25.52,27.99,0.74,16.72,37.79,174.75,5.05,0.88,0.84,1.4,02-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
02-May-2020 - 00:00,96.54,24.89,83.4,25.08,27.67,0.83,16.79,23.15,146.88,3.02,0.49,0.48,0.81,03-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
03-May-2020 - 00:00,68.36,21.05,69.66,22.47,26.96,0.77,20.51,25.58,133.89,3.1,0.57,0.53,0.93,04-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
04-May-2020 - 00:00,78.47,29.36,102.63,27.81,26.23,0.89,16.92,15.56,51.01,1.96,0.89,0.72,1.23,05-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
05-May-2020 - 00:00,62.24,35.26,119.16,30.33,27.93,0.76,16.81,32.58,124.55,4.38,1.17,1.17,2.0,06-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
06-May-2020 - 00:00,65.0,28.21,95.1,26.78,28.42,0.71,17.81,40.72,186.94,5.71,1.74,1.12,1.81,07-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
07-May-2020 - 00:00,68.14,18.93,63.06,21.28,27.73,0.77,14.35,20.63,84.85,2.48,0.76,0.7,1.19,08-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
08-May-2020 - 00:00,53.75,19.36,61.48,20.88,27.71,0.76,14.81,41.53,180.79,6.92,1.52,1.29,2.1,09-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
09-May-2020 - 00:00,54.03,20.58,65.35,22.65,28.41,0.75,15.28,44.98,206.84,7.18,1.62,1.24,1.93,10-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
10-May-2020 - 00:00,53.06,19.39,57.51,19.12,26.61,0.74,15.84,33.06,152.1,4.76,0.65,0.66,1.21,11-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
11-May-2020 - 00:00,51.08,18.39,56.86,18.57,22.25,0.23,25.16,31.16,261.75,4.58,0.77,0.72,1.21,12-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
12-May-2020 - 00:00,50.04,24.52,83.77,24.32,28.07,0.18,20.28,29.87,179.47,4.98,0.82,0.87,1.47,13-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
13-May-2020 - 00:00,64.57,28.01,100.32,25.89,28.1,0.63,20.39,49.87,271.12,5.49,1.35,1.4,2.11,14-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
14-May-2020 - 00:00,61.01,27.22,97.31,23.99,26.7,0.81,21.5,62.32,289.21,5.72,1.42,1.59,2.34,15-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
15-May-2020 - 00:00,58.62,24.87,91.1,24.39,27.06,0.95,16.41,25.72,130.54,3.13,2.08,2.1,2.93,16-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
16-May-2020 - 00:00,39.11,13.96,41.06,17.98,27.23,0.89,17.05,39.09,170.79,3.66,2.05,2.02,2.9,17-May-2020 - 00:00,"Murthal, Sonipat - HSPCB"
