from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
15-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,16-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
16-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,17-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
17-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,18-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
18-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,19-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
19-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,20-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
20-Apr-2020 - 00:00,12.44,73.0,3.32,1.88,4.92,11.27,10.7,0.66,37.82,,,,29.76,61.62,,,1.95,144.22,21-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
21-Apr-2020 - 00:00,16.92,19.91,1.63,3.07,4.48,18.2,10.17,0.66,44.57,,,,29.32,69.87,,281.91,1.92,217.9,22-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
22-Apr-2020 - 00:00,19.78,27.18,3.51,4.53,7.44,11.78,15.47,0.6,44.98,,,,28.26,78.16,,256.03,1.91,215.72,23-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
23-Apr-2020 - 00:00,18.61,24.71,2.47,4.33,6.77,11.78,21.27,0.57,44.97,,,,29.05,76.55,,299.31,1.92,198.13,24-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
24-Apr-2020 - 00:00,20.03,22.75,3.72,5.27,8.85,12.84,24.38,0.58,40.76,,,,28.79,77.39,,286.08,1.92,191.8,25-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
25-Apr-2020 - 00:00,13.89,21.8,2.29,4.36,6.63,12.23,25.5,0.53,46.56,,,,28.94,72.33,,280.7,1.92,217.75,26-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
26-Apr-2020 - 00:00,15.58,23.37,4.96,5.0,9.58,10.42,23.63,0.52,47.47,,,,27.75,76.63,,307.48,1.92,185.52,27-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
27-Apr-2020 - 00:00,14.6,20.87,1.57,4.72,5.66,9.0,22.06,0.51,43.08,,,,28.41,73.49,,283.47,1.92,210.03,28-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
28-Apr-2020 - 00:00,19.89,24.95,2.69,4.58,6.78,9.02,25.14,0.54,48.44,,,,28.42,77.61,,275.52,1.94,126.81,29-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
29-Apr-2020 - 00:00,17.99,27.0,2.52,28.67,53.87,8.25,23.19,0.57,43.72,,,,29.37,76.24,,362.89,1.92,213.14,30-Apr-2020 - 00:00,"Colaba, Mumbai - MPCB"
30-Apr-2020 - 00:00,18.16,28.36,4.1,4.51,7.92,8.21,26.42,0.68,41.9,,,,29.04,77.13,,334.92,1.91,232.09,01-May-2020 - 00:00,"Colaba, Mumbai - MPCB"
01-May-2020 - 00:00,14.35,21.08,,,,,27.23,0.67,42.74,,,,29.12,75.89,,269.54,1.92,215.4,02-May-2020 - 00:00,"Colaba, Mumbai - MPCB"
02-May-2020 - 00:00,10.69,18.69,2.4,63.45,96.7,6.31,26.59,0.65,40.17,,,,29.48,73.26,,391.65,1.92,208.09,03-May-2020 - 00:00,"Colaba, Mumbai - MPCB"
03-May-2020 - 00:00,10.33,18.52,3.59,24.1,22.83,5.64,25.22,0.71,45.76,,,,27.76,83.38,,,1.92,187.72,04-May-2020 - 00:00,"Colaba, Mumbai - MPCB"
