from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,BP,RF,SR,to date,station
09-May-2020 - 00:00,29.41,221.36,7.2,5.77,1.43,4.71,9.69,0.89,23.13,0.22,5.17,0.43,1.13,0.72,26.96,72.42,0.57,61.44,750.64,0.0,264.05,10-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
10-May-2020 - 00:00,28.77,203.35,5.86,4.72,1.14,4.75,8.66,0.82,25.71,0.62,3.08,0.31,0.74,0.49,28.41,71.8,0.6,63.62,750.48,0.01,220.85,11-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
11-May-2020 - 00:00,21.06,156.51,9.75,7.35,2.4,3.91,9.69,0.75,17.69,1.4,22.22,2.07,4.5,2.71,25.46,78.92,0.79,132.03,751.99,0.39,248.61,12-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
12-May-2020 - 00:00,26.54,260.19,11.43,7.87,3.56,4.26,8.78,1.04,20.53,2.62,23.65,2.45,6.02,3.58,27.83,71.96,0.28,102.39,750.69,0.0,212.34,13-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
13-May-2020 - 00:00,34.15,252.27,16.14,11.91,4.23,4.5,8.83,1.1,25.39,2.11,11.13,1.27,3.32,1.88,30.08,63.24,0.31,171.8,748.97,0.0,261.26,14-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
14-May-2020 - 00:00,39.29,267.11,10.0,7.52,2.47,5.05,9.38,1.2,26.52,0.0,0.0,0.0,0.0,0.0,29.15,73.93,0.44,88.35,748.72,0.0,211.04,15-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
15-May-2020 - 00:00,25.36,,5.96,4.52,1.43,5.33,9.33,0.86,23.28,0.2,1.19,0.13,0.27,0.19,28.79,74.78,0.43,69.97,747.75,0.0,255.34,16-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
16-May-2020 - 00:00,33.36,,14.34,11.02,3.32,4.29,9.04,0.97,25.26,1.24,11.66,1.23,2.74,1.63,31.05,57.86,0.53,172.42,746.36,0.0,265.36,17-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
17-May-2020 - 00:00,103.77,,11.26,8.18,3.08,5.26,9.04,1.04,29.28,0.0,0.0,0.0,0.0,0.0,30.22,55.27,0.31,126.76,746.43,0.0,273.25,18-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
18-May-2020 - 00:00,13.64,195.34,7.9,6.44,1.46,8.17,8.32,0.79,30.21,1.21,11.29,0.75,1.38,1.31,29.68,71.29,0.4,68.52,748.76,0.0,244.38,19-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
19-May-2020 - 00:00,24.87,105.52,8.28,5.56,2.75,7.05,8.65,0.57,28.34,3.42,18.86,2.56,4.69,4.08,29.68,70.83,0.6,55.04,755.28,0.0,234.4,20-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
20-May-2020 - 00:00,22.53,85.94,5.67,3.89,1.79,4.75,9.89,0.53,21.59,2.81,16.98,2.6,4.7,4.18,27.7,72.28,0.6,80.46,754.72,0.0,119.46,21-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
21-May-2020 - 00:00,19.8,57.4,5.38,3.82,1.56,4.58,8.13,0.48,14.26,2.91,17.11,2.53,4.85,3.98,26.06,78.19,0.64,149.64,755.29,0.02,162.96,22-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
22-May-2020 - 00:00,11.02,47.67,4.82,3.29,1.52,4.49,9.24,0.41,16.03,1.5,17.4,2.58,4.37,4.05,27.66,74.1,0.77,85.04,756.54,0.0,272.54,23-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
23-May-2020 - 00:00,17.73,66.18,4.94,3.47,1.46,4.22,9.38,0.51,21.95,2.09,19.06,2.46,4.45,4.11,28.15,78.34,0.64,60.48,757.1,0.0,207.42,24-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
24-May-2020 - 00:00,27.98,104.16,6.48,5.08,1.4,3.44,9.61,0.68,23.23,3.34,18.39,2.4,4.42,4.24,31.35,72.7,0.34,77.55,755.73,0.0,240.02,25-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
25-May-2020 - 00:00,26.23,133.26,6.75,5.22,1.5,3.35,10.05,0.68,27.29,3.53,20.64,2.77,5.18,4.43,31.32,72.95,0.42,63.72,755.11,0.0,247.6,26-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
26-May-2020 - 00:00,21.98,123.45,5.81,4.42,1.39,2.94,9.88,0.59,25.58,3.51,18.82,2.61,5.1,4.35,31.2,71.36,0.43,74.54,754.91,0.0,262.16,27-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
27-May-2020 - 00:00,9.51,110.58,4.0,2.71,1.29,3.69,9.28,0.46,20.62,1.89,31.52,1.94,3.72,3.6,27.73,72.54,0.9,83.9,756.11,0.0,256.57,28-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
28-May-2020 - 00:00,4.84,50.42,3.5,1.75,1.76,12.55,10.35,0.45,14.05,1.14,26.4,1.58,3.55,2.94,26.28,72.35,0.74,78.8,757.73,0.01,248.12,29-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
29-May-2020 - 00:00,12.94,57.57,4.01,2.05,1.95,14.07,10.92,0.5,18.73,1.5,21.15,1.73,3.9,2.94,28.18,70.52,0.6,80.24,758.38,0.0,208.67,30-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
30-May-2020 - 00:00,11.01,86.85,4.41,2.21,2.2,15.38,10.64,0.51,16.92,1.59,21.53,1.69,3.81,2.98,28.23,71.75,0.74,85.45,759.05,0.12,240.28,31-May-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
31-May-2020 - 00:00,9.64,54.98,5.88,3.05,2.84,15.43,11.53,0.53,15.82,1.26,23.74,1.87,4.1,3.01,27.49,75.36,0.43,104.43,760.07,0.0,235.07,01-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
01-Jun-2020 - 00:00,15.91,100.06,8.13,4.33,3.81,18.52,10.58,0.59,12.87,2.16,22.21,1.94,4.32,3.04,28.2,69.9,0.34,136.58,759.53,0.0,241.73,02-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
02-Jun-2020 - 00:00,27.67,141.09,14.8,8.24,6.57,17.32,10.06,0.87,15.53,3.87,16.94,1.77,4.17,2.73,28.71,70.24,0.36,179.03,758.54,0.0,179.01,03-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
03-Jun-2020 - 00:00,27.12,142.58,12.74,8.79,3.05,19.84,9.44,0.79,27.08,3.27,13.83,1.47,3.7,2.46,30.12,63.94,0.46,235.38,757.77,0.0,144.02,04-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
04-Jun-2020 - 00:00,38.98,89.03,12.38,8.32,4.06,17.3,9.17,0.71,19.82,2.58,13.95,1.22,3.05,2.41,27.7,73.19,0.53,198.24,757.72,0.0,82.41,05-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
05-Jun-2020 - 00:00,107.91,46.89,6.12,3.0,3.13,16.17,10.37,0.55,18.36,1.53,20.47,1.47,3.42,2.53,24.61,92.96,0.65,91.28,756.45,0.55,78.04,06-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
06-Jun-2020 - 00:00,2.35,59.41,8.27,5.28,2.99,23.44,9.04,0.62,14.17,1.77,16.88,1.34,2.97,2.56,26.45,83.23,0.5,215.5,756.79,0.0,167.0,07-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
07-Jun-2020 - 00:00,3.66,85.18,10.03,3.54,5.91,11.93,11.78,0.81,16.27,2.58,16.74,1.61,3.86,2.35,27.77,78.84,0.45,179.86,756.39,0.0,162.17,08-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
08-Jun-2020 - 00:00,42.21,86.18,0.06,0.03,0.08,0.02,9.49,0.79,15.42,3.74,17.26,1.91,4.79,2.7,30.2,72.02,0.33,188.0,755.77,0.0,275.49,09-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
09-Jun-2020 - 00:00,14.56,122.49,0.11,0.05,0.11,0.01,8.9,0.94,19.7,4.53,16.78,1.74,4.09,2.65,31.15,72.72,0.23,88.95,756.08,0.0,236.5,10-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
10-Jun-2020 - 00:00,45.25,90.5,0.07,0.05,0.05,0.01,10.46,0.68,28.1,2.52,19.76,1.9,3.93,2.77,31.85,68.83,0.26,84.98,755.55,0.0,251.07,11-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
11-Jun-2020 - 00:00,16.26,79.29,0.06,0.04,0.06,0.01,9.25,0.51,27.27,1.61,17.11,1.26,2.78,2.57,31.06,68.92,0.35,87.47,754.73,0.0,217.85,12-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
12-Jun-2020 - 00:00,14.66,60.29,0.08,0.05,0.07,0.01,10.48,0.45,19.16,1.09,20.66,2.21,3.9,2.7,30.29,71.02,0.46,98.45,754.18,0.0,249.38,13-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
13-Jun-2020 - 00:00,63.31,45.71,0.05,0.04,0.04,0.01,9.65,0.41,16.42,0.81,17.94,1.27,2.64,2.54,28.9,78.78,0.46,89.31,754.78,0.0,207.42,14-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
14-Jun-2020 - 00:00,13.55,36.74,0.08,0.06,0.08,0.01,10.36,0.36,16.21,0.83,19.41,1.23,2.7,2.53,28.8,79.71,0.5,84.05,755.43,0.0,217.11,15-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
15-Jun-2020 - 00:00,55.29,33.62,0.06,0.05,0.08,0.01,10.08,0.43,16.89,0.85,18.1,1.15,2.52,2.44,27.42,87.79,0.44,92.75,754.41,0.08,117.84,16-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
16-Jun-2020 - 00:00,14.4,31.77,2.85,1.81,1.04,17.02,8.68,0.42,21.09,0.68,16.33,0.98,2.11,2.32,27.94,85.09,0.45,105.06,748.76,0.01,154.05,17-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
17-Jun-2020 - 00:00,18.53,34.13,4.62,2.74,1.89,30.51,10.02,0.45,17.08,0.9,18.25,1.21,2.65,2.45,28.12,85.15,0.37,97.67,743.57,0.01,173.25,18-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
18-Jun-2020 - 00:00,26.21,42.02,8.45,4.43,4.06,29.45,9.41,0.5,18.32,1.13,16.8,1.2,2.54,2.38,27.52,89.23,0.28,95.4,747.89,0.24,124.88,19-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
19-Jun-2020 - 00:00,24.0,37.51,2.82,1.21,1.24,34.46,11.95,0.51,17.84,0.78,18.28,1.22,2.68,2.26,26.67,93.03,0.42,108.19,748.04,0.1,92.34,20-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
20-Jun-2020 - 00:00,21.39,58.78,0.09,0.07,0.08,0.01,10.53,0.47,19.83,0.83,18.8,1.83,4.6,2.46,28.34,84.39,0.44,111.28,748.08,0.0,178.27,21-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
21-Jun-2020 - 00:00,19.14,37.74,0.09,0.06,0.07,0.01,10.66,0.4,16.54,0.63,17.13,1.3,3.2,2.46,27.92,84.84,0.33,73.68,748.02,0.08,180.91,22-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
22-Jun-2020 - 00:00,19.13,28.43,0.11,0.05,0.1,0.01,10.06,0.47,17.68,0.61,16.72,1.2,2.59,2.4,27.14,89.92,0.36,78.4,748.05,0.16,144.53,23-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
23-Jun-2020 - 00:00,18.24,40.43,4.35,1.85,2.02,4.92,10.39,0.44,18.42,0.46,18.45,1.26,2.86,2.42,28.43,84.76,0.39,89.55,747.41,0.0,166.48,24-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
24-Jun-2020 - 00:00,13.38,61.23,6.9,3.92,2.94,9.4,10.49,0.56,19.0,0.65,13.28,1.2,2.49,2.4,29.74,78.72,0.32,134.04,747.07,0.0,195.07,25-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
25-Jun-2020 - 00:00,13.47,61.21,7.0,3.98,3.02,9.4,10.85,0.64,17.3,0.63,12.63,1.16,2.5,2.3,26.83,90.59,0.35,128.68,746.07,0.06,55.32,26-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
26-Jun-2020 - 00:00,48.09,52.29,7.04,3.97,3.03,9.4,9.78,0.47,15.27,0.33,11.48,1.13,2.6,2.31,26.5,89.51,0.54,195.1,745.01,0.28,123.3,27-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
27-Jun-2020 - 00:00,15.06,71.14,7.03,4.0,3.03,9.41,9.12,0.53,20.22,0.37,11.1,0.96,2.51,2.29,28.52,78.26,0.62,226.74,744.69,0.0,221.23,28-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
28-Jun-2020 - 00:00,14.14,54.93,6.94,4.01,2.93,9.4,8.65,0.54,17.66,0.28,10.18,0.97,2.08,2.29,26.57,90.3,0.37,165.16,745.55,0.13,93.02,29-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
29-Jun-2020 - 00:00,69.73,34.72,6.97,3.81,3.0,9.36,8.14,0.42,19.83,0.52,8.68,0.89,1.88,2.1,26.12,92.81,0.25,98.06,747.13,0.16,97.62,30-Jun-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
30-Jun-2020 - 00:00,12.28,52.81,7.01,4.0,3.01,9.4,9.05,0.56,16.31,1.87,2.01,1.77,3.5,2.61,27.86,85.38,0.26,129.91,748.32,0.03,148.84,01-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
01-Jul-2020 - 00:00,13.43,61.67,7.01,4.0,3.01,9.4,8.77,0.62,19.28,1.91,2.38,1.98,3.87,2.77,30.23,76.38,0.22,146.05,746.81,0.0,212.12,02-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
02-Jul-2020 - 00:00,12.24,96.33,7.01,4.0,3.01,9.4,8.35,0.58,21.96,1.94,2.33,1.85,3.8,2.83,28.84,81.63,0.26,166.4,745.61,0.0,103.7,03-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
03-Jul-2020 - 00:00,13.96,48.11,7.01,4.0,3.01,9.4,8.54,0.49,18.79,1.47,1.64,1.71,3.4,2.86,27.51,86.71,0.32,103.9,746.5,0.02,143.95,04-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
04-Jul-2020 - 00:00,10.32,36.89,10.56,6.49,3.16,15.68,7.53,0.41,18.44,1.7,10.98,4.63,4.95,2.62,26.34,91.8,0.26,103.77,745.9,0.05,79.47,05-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
05-Jul-2020 - 00:00,9.0,28.61,12.6,8.18,4.42,20.8,7.99,0.39,16.35,1.45,23.87,2.75,4.09,2.87,29.07,82.13,0.26,95.3,743.38,0.0,224.17,06-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
06-Jul-2020 - 00:00,9.46,26.93,12.95,6.5,5.53,29.73,8.82,0.29,19.33,0.95,21.23,1.16,2.47,2.54,27.81,87.08,0.35,93.77,743.06,0.12,179.05,07-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
07-Jul-2020 - 00:00,9.25,19.26,13.33,6.5,6.83,67.79,9.25,0.37,15.19,0.74,18.05,0.95,2.28,2.44,27.6,89.41,0.39,113.37,745.9,0.03,101.94,08-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
08-Jul-2020 - 00:00,,59.86,17.26,9.51,7.74,70.89,10.73,0.51,16.22,0.76,16.67,1.18,2.85,2.44,29.26,84.06,0.29,157.08,746.22,0.0,155.85,09-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
09-Jul-2020 - 00:00,,52.73,19.48,10.65,8.83,63.39,9.9,0.54,13.67,0.98,14.55,1.24,2.81,2.36,25.91,93.01,0.44,223.42,744.47,0.44,49.25,10-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
10-Jul-2020 - 00:00,,79.86,12.32,6.31,5.7,33.49,11.05,0.54,12.24,0.61,16.52,0.78,2.47,2.25,26.41,93.15,0.46,207.11,743.79,0.1,81.67,11-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
11-Jul-2020 - 00:00,,67.46,7.01,4.0,3.01,9.4,9.43,0.54,12.59,0.79,14.12,0.59,2.46,2.35,27.61,87.36,0.59,238.88,743.45,0.02,126.97,12-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
12-Jul-2020 - 00:00,,67.76,7.01,3.98,3.03,9.4,11.06,0.39,15.29,0.69,17.17,0.69,2.25,2.44,28.02,87.82,0.38,172.37,744.04,0.12,146.09,13-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
13-Jul-2020 - 00:00,,23.14,7.09,3.58,3.11,9.33,10.81,0.39,14.58,0.68,18.25,1.09,2.38,2.34,26.15,94.11,0.32,138.82,744.35,0.14,68.97,14-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
14-Jul-2020 - 00:00,34.72,41.86,12.22,6.35,5.62,31.26,6.49,0.4,16.83,0.66,16.38,1.13,2.41,2.38,28.42,85.14,0.24,126.46,745.53,0.01,212.98,15-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
15-Jul-2020 - 00:00,11.33,46.98,19.13,3.55,12.02,20.27,7.5,0.36,17.45,0.51,16.67,0.37,1.3,2.32,29.39,79.51,0.36,104.1,745.54,0.0,227.59,16-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
16-Jul-2020 - 00:00,44.9,48.92,41.6,5.79,13.81,2.4,7.05,0.39,16.84,0.7,16.44,0.65,1.7,2.46,29.75,78.83,0.35,97.73,744.86,0.0,249.12,17-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
17-Jul-2020 - 00:00,15.1,52.3,22.53,10.32,12.22,2.4,7.41,0.45,17.75,0.64,17.86,0.72,2.12,2.47,30.15,76.92,0.29,96.8,745.54,0.0,241.35,18-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
18-Jul-2020 - 00:00,19.79,54.71,19.75,8.82,10.93,2.4,6.48,0.52,18.36,0.71,15.0,0.52,1.55,2.38,29.88,82.82,0.2,87.32,746.19,0.0,162.86,19-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
19-Jul-2020 - 00:00,19.22,57.19,17.66,9.84,7.83,2.4,5.88,0.48,15.42,0.54,11.31,0.26,0.96,2.21,26.61,93.19,0.57,174.93,745.3,0.31,50.38,20-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
20-Jul-2020 - 00:00,19.32,36.37,9.97,3.51,4.67,2.35,7.63,0.47,12.52,0.47,12.37,0.43,0.77,2.12,25.21,96.85,0.39,166.91,744.87,0.47,42.89,21-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
21-Jul-2020 - 00:00,,38.42,18.6,10.05,8.54,31.09,7.11,0.53,11.98,0.47,14.35,0.26,1.2,2.3,26.24,94.67,0.29,173.84,746.27,0.08,95.37,22-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
22-Jul-2020 - 00:00,,52.82,15.76,6.93,7.41,33.51,6.64,0.5,14.17,0.48,12.05,0.21,1.0,2.12,28.77,83.98,0.54,215.47,745.89,0.02,236.56,23-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
23-Jul-2020 - 00:00,,31.62,7.06,3.99,3.07,2.4,6.91,0.48,16.42,0.52,13.03,0.02,0.09,2.32,26.66,90.0,0.29,115.64,746.18,0.11,132.53,24-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
24-Jul-2020 - 00:00,,27.68,6.99,4.0,2.99,2.4,6.39,0.47,17.13,0.46,13.26,0.0,0.0,2.28,26.83,92.76,0.27,98.58,748.31,0.07,122.96,25-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
25-Jul-2020 - 00:00,,52.85,6.93,3.13,2.98,2.4,7.36,0.51,15.49,0.47,12.96,0.0,0.0,2.13,28.55,84.4,0.32,110.1,749.4,0.0,204.79,26-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
26-Jul-2020 - 00:00,,94.7,6.98,4.0,2.98,2.4,6.39,0.59,17.79,0.45,11.96,0.0,0.0,2.25,30.23,80.22,0.34,192.85,748.44,0.0,186.07,27-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
27-Jul-2020 - 00:00,,111.5,6.9,3.58,2.92,2.36,5.7,0.52,18.09,0.44,10.85,0.0,0.0,2.03,30.14,81.94,0.45,247.2,747.01,0.0,168.5,28-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
28-Jul-2020 - 00:00,,51.91,6.93,3.32,2.96,2.37,6.39,0.5,16.37,0.42,10.25,0.0,0.0,1.97,27.03,93.04,0.36,140.87,746.67,0.0,79.85,29-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
29-Jul-2020 - 00:00,,39.22,7.02,4.01,3.01,2.4,6.08,0.51,15.58,0.45,13.52,0.0,0.0,2.08,28.54,85.98,0.21,115.3,747.13,0.0,179.02,30-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
30-Jul-2020 - 00:00,,59.61,7.03,4.01,3.02,2.4,4.93,0.54,16.9,0.45,9.48,0.0,0.0,2.08,27.45,93.9,0.24,144.1,747.49,0.01,55.35,31-Jul-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
31-Jul-2020 - 00:00,,51.55,7.03,4.02,3.02,2.4,6.03,0.52,14.58,0.45,11.32,0.0,0.0,2.03,27.49,91.82,0.25,118.01,748.3,0.05,140.4,01-Aug-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
01-Aug-2020 - 00:00,,59.78,6.95,3.98,2.97,2.4,6.22,0.54,14.55,0.45,12.16,0.0,0.0,2.05,29.11,83.79,0.21,119.84,749.23,0.0,172.36,02-Aug-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
02-Aug-2020 - 00:00,,72.83,6.86,3.02,2.93,2.32,5.65,0.52,18.35,0.38,8.71,0.0,0.0,1.7,29.28,85.39,0.26,184.27,747.34,0.01,159.7,03-Aug-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
03-Aug-2020 - 00:00,,62.02,6.93,3.97,2.96,2.4,5.59,0.55,18.79,0.45,10.64,0.0,0.0,2.05,30.6,79.81,0.29,212.18,744.55,0.0,194.76,04-Aug-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
04-Aug-2020 - 00:00,,88.62,7.0,3.25,3.0,2.4,5.56,0.54,18.3,0.43,11.17,0.0,0.0,1.94,30.67,79.29,0.48,212.09,742.5,0.01,248.59,05-Aug-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
05-Aug-2020 - 00:00,,19.32,7.01,3.2,3.02,2.4,5.74,0.45,16.12,0.43,12.09,0.0,0.0,1.95,28.76,86.14,0.39,81.04,743.52,0.22,184.33,06-Aug-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
06-Aug-2020 - 00:00,,17.45,9.41,4.8,4.12,9.62,5.75,0.36,18.16,0.44,11.72,0.0,0.0,1.99,28.53,83.07,0.58,103.03,747.44,0.26,178.68,07-Aug-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
07-Aug-2020 - 00:00,,27.35,9.56,4.22,4.36,6.9,6.64,0.41,13.43,0.41,11.65,0.0,0.0,1.84,28.82,85.68,0.26,102.6,748.57,0.0,209.8,08-Aug-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
08-Aug-2020 - 00:00,,63.97,8.07,3.73,3.02,3.23,6.67,0.45,14.51,0.39,9.1,0.0,0.0,1.78,30.25,81.12,0.27,141.1,746.97,0.0,226.33,09-Aug-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
09-Aug-2020 - 00:00,24.22,43.63,10.92,5.55,4.37,11.69,5.33,0.46,18.5,0.43,8.72,0.0,0.0,1.92,28.73,90.24,0.22,98.25,744.14,0.06,107.04,10-Aug-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
10-Aug-2020 - 00:00,16.23,34.2,8.95,4.8,3.98,12.04,8.42,0.39,13.58,0.6,9.76,1.44,0.18,2.24,29.2,84.45,0.26,93.2,744.68,0.0,155.76,11-Aug-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
11-Aug-2020 - 00:00,,36.18,11.39,5.48,5.91,20.6,3.49,0.57,6.42,0.45,16.43,0.0,0.02,2.05,29.41,85.67,0.25,123.72,744.05,0.1,166.37,12-Aug-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
12-Aug-2020 - 00:00,,19.88,10.93,4.72,6.21,17.13,3.31,0.52,3.93,0.45,15.59,0.66,0.01,2.0,26.9,92.8,0.37,140.02,744.51,0.38,117.88,13-Aug-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
13-Aug-2020 - 00:00,,20.19,11.82,4.85,6.98,20.72,3.55,0.49,4.77,0.45,18.35,0.0,0.01,2.0,28.63,87.83,0.21,93.02,743.8,0.0,171.78,14-Aug-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
14-Aug-2020 - 00:00,,23.2,11.22,4.81,6.43,18.27,13.3,0.45,4.69,0.44,17.82,0.0,0.01,1.95,29.74,82.05,0.27,99.46,742.9,0.0,230.53,15-Aug-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
15-Aug-2020 - 00:00,,18.79,11.61,4.81,6.8,17.31,3.31,0.46,5.14,0.45,18.24,0.0,0.01,2.0,29.66,81.54,0.24,76.13,742.69,0.0,212.72,16-Aug-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
16-Aug-2020 - 00:00,,11.37,11.6,4.62,6.98,13.51,3.17,0.38,4.52,0.45,17.25,0.0,0.01,2.0,28.46,82.52,0.26,76.26,742.97,0.0,147.74,17-Aug-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
17-Aug-2020 - 00:00,,15.77,13.18,4.34,8.34,12.33,11.56,0.46,5.4,0.44,17.66,0.0,0.01,1.94,28.85,84.36,0.23,90.24,743.25,0.0,172.57,18-Aug-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
18-Aug-2020 - 00:00,,24.02,11.65,5.04,6.61,12.15,3.31,0.5,4.84,0.45,17.89,0.0,0.03,2.0,29.64,84.18,0.19,91.57,743.7,0.0,184.66,19-Aug-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
19-Aug-2020 - 00:00,,31.83,13.96,5.43,8.49,11.21,3.11,0.48,5.89,0.45,17.61,0.0,0.02,2.0,29.77,81.17,0.25,83.51,743.86,0.0,219.49,20-Aug-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
20-Aug-2020 - 00:00,,21.25,8.79,2.91,5.08,5.98,5.31,0.35,5.94,0.42,14.55,0.0,0.01,1.85,28.2,79.18,0.63,85.75,744.9,0.0,160.23,21-Aug-2020 - 00:00,"Industrial Area, Hajipur - BSPCB"
