from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Xylene,Toluene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,VWS,BP,SR,RF,to date,station
15-Jan-2020 - 00:00,143.22,293.0,103.26,134.01,215.26,48.33,34.34,2.04,60.13,28.45,1.3,168.46,8.42,6.45,18.71,73.83,0.48,101.62,0.01,,71.1,0.0,16-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
16-Jan-2020 - 00:00,114.83,228.11,85.35,88.64,174.08,43.36,18.81,1.59,58.87,21.4,1.06,142.82,6.9,5.12,20.14,74.44,0.35,96.53,0.07,,77.23,0.0,17-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
17-Jan-2020 - 00:00,97.51,197.44,84.87,107.29,192.24,49.07,20.4,1.72,51.92,29.18,1.18,163.02,7.85,5.11,20.94,74.81,0.39,113.1,0.05,,74.66,0.0,18-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
18-Jan-2020 - 00:00,77.74,158.52,84.86,92.23,177.16,44.12,23.61,1.33,37.96,23.81,1.2,160.06,8.34,5.67,21.43,68.57,0.26,160.09,0.05,,84.37,0.0,19-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
19-Jan-2020 - 00:00,66.85,132.74,58.26,50.26,108.56,35.18,18.56,0.73,48.17,12.52,0.69,129.48,4.36,3.19,20.53,76.08,0.59,109.51,-0.01,,75.11,0.0,20-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
20-Jan-2020 - 00:00,46.31,88.54,50.32,13.12,63.53,29.24,17.42,0.67,47.8,5.67,0.43,91.02,1.96,1.38,18.35,74.99,0.49,142.9,0.01,,71.31,0.0,21-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
21-Jan-2020 - 00:00,57.5,116.66,57.42,44.63,102.1,30.92,16.85,0.88,57.02,8.53,0.49,109.14,2.97,2.05,17.71,72.47,0.69,89.17,-0.04,,79.81,0.0,22-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
22-Jan-2020 - 00:00,79.41,162.2,84.41,86.3,170.78,37.61,18.29,1.26,52.66,14.54,0.71,138.14,4.65,2.98,18.6,75.36,0.35,133.08,-0.04,,77.02,0.0,23-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
23-Jan-2020 - 00:00,87.03,165.3,76.19,30.35,106.73,30.58,22.64,1.02,44.12,16.54,0.71,134.47,4.73,3.06,19.33,77.29,0.3,135.66,0.06,,54.93,0.0,24-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
24-Jan-2020 - 00:00,61.17,127.89,69.39,34.97,104.4,28.26,20.32,0.72,47.29,9.56,0.5,126.79,3.04,1.92,18.69,58.33,0.35,196.14,0.05,,85.43,0.0,25-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
25-Jan-2020 - 00:00,46.6,111.02,76.18,33.2,109.44,28.98,19.54,0.8,52.79,6.75,0.41,104.76,2.42,1.65,17.31,58.6,0.41,151.06,0.03,,83.15,0.0,26-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
26-Jan-2020 - 00:00,79.52,174.01,84.72,94.04,178.84,41.19,19.34,1.11,55.78,20.63,1.02,138.43,6.89,5.11,17.89,66.41,0.24,181.11,0.05,,77.5,0.0,27-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
27-Jan-2020 - 00:00,85.59,191.57,85.06,61.22,144.19,37.44,19.07,1.3,51.5,9.83,0.87,78.19,4.51,3.25,17.75,69.27,0.32,151.38,0.03,,77.12,0.0,28-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
28-Jan-2020 - 00:00,89.19,186.89,73.3,45.01,118.36,38.2,23.35,1.0,67.85,17.26,0.86,123.92,5.04,3.36,19.67,68.65,0.47,118.72,0.05,,68.46,0.0,29-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
29-Jan-2020 - 00:00,42.33,83.09,36.24,3.21,39.48,30.83,16.47,0.48,63.32,7.89,0.35,107.33,1.73,1.06,20.68,85.32,0.74,92.72,-0.0,,59.19,0.01,30-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
30-Jan-2020 - 00:00,36.04,70.44,37.68,19.62,57.32,29.41,13.52,0.88,48.41,6.88,0.34,105.48,1.73,1.02,19.85,95.51,0.7,105.85,-0.01,,57.73,0.07,31-Jan-2020 - 00:00,"Belur Math, Howrah - WBPCB"
31-Jan-2020 - 00:00,55.4,117.36,55.23,44.34,99.58,31.21,16.67,0.8,44.42,11.11,0.56,127.06,3.28,1.89,18.97,78.72,0.37,164.51,0.03,,103.84,0.0,01-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
01-Feb-2020 - 00:00,43.49,116.34,60.85,40.82,101.71,29.56,16.49,0.8,58.91,7.43,0.43,109.65,2.41,1.27,18.71,65.4,0.65,100.79,-0.02,,108.59,0.0,02-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
02-Feb-2020 - 00:00,47.47,128.48,70.84,53.95,124.86,32.01,20.44,0.76,50.4,11.78,0.61,115.36,3.88,2.51,18.19,61.39,0.29,176.9,0.05,,103.69,0.0,03-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
03-Feb-2020 - 00:00,47.56,120.56,66.29,38.26,104.58,29.3,17.03,0.71,55.1,7.01,0.45,98.74,2.69,1.47,17.82,57.36,0.45,138.03,0.02,,111.66,0.0,04-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
04-Feb-2020 - 00:00,54.37,128.17,76.95,42.88,119.88,32.58,24.13,0.76,61.77,8.5,0.58,94.76,3.01,1.98,18.29,58.57,0.47,139.26,0.02,,104.89,0.0,05-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
05-Feb-2020 - 00:00,66.33,162.55,90.07,56.9,147.02,39.23,37.04,0.9,55.2,11.21,0.57,112.71,3.54,2.62,20.73,61.48,0.32,152.01,0.06,,83.9,0.0,06-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
06-Feb-2020 - 00:00,60.62,138.92,64.35,40.98,105.38,37.33,20.22,0.83,61.5,9.7,0.47,111.59,2.88,1.96,20.39,65.66,0.49,118.17,0.01,,93.49,0.0,07-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
07-Feb-2020 - 00:00,54.27,128.11,60.93,16.94,77.91,31.96,17.09,0.71,57.65,8.58,0.42,105.54,2.55,1.64,19.55,60.34,0.7,115.45,-0.03,,61.02,0.0,08-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
08-Feb-2020 - 00:00,64.22,155.61,59.32,11.7,71.07,32.09,26.07,0.8,31.83,9.28,0.37,105.58,2.13,1.37,17.96,74.18,0.37,225.75,0.05,,44.33,0.0,09-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
09-Feb-2020 - 00:00,62.61,135.07,65.91,30.94,96.85,33.03,25.61,0.79,56.87,8.24,0.31,95.35,1.72,1.04,19.47,64.33,0.46,207.34,0.03,,102.94,0.0,10-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
10-Feb-2020 - 00:00,60.36,142.29,82.83,50.28,133.2,35.16,22.89,0.84,49.58,8.99,0.49,103.5,3.1,2.09,18.83,59.38,0.28,204.95,0.06,,107.01,0.0,11-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
11-Feb-2020 - 00:00,76.69,154.53,93.25,76.31,167.98,46.18,28.54,0.85,47.65,13.57,0.68,88.68,4.71,4.14,18.95,57.98,0.36,149.7,0.03,,119.27,0.0,12-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
12-Feb-2020 - 00:00,66.27,136.5,87.26,59.56,147.84,37.74,23.82,1.21,53.25,11.94,0.6,107.28,3.9,2.3,19.75,56.85,0.35,168.79,0.04,,108.85,0.0,13-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
13-Feb-2020 - 00:00,75.18,165.38,97.15,52.35,150.18,40.25,23.41,1.08,51.41,15.61,0.77,116.71,5.04,3.32,20.42,56.55,0.3,171.28,0.06,,102.99,0.0,14-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
14-Feb-2020 - 00:00,89.03,203.36,101.49,99.64,193.95,48.7,43.54,1.58,47.93,20.28,1.03,104.42,6.81,5.11,22.14,59.85,0.34,184.56,0.08,,98.9,0.0,15-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
15-Feb-2020 - 00:00,54.31,134.87,84.09,37.99,122.14,38.64,29.28,0.94,49.72,10.41,0.61,119.86,3.84,2.11,22.52,55.35,0.33,210.45,0.05,,106.11,0.0,16-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
16-Feb-2020 - 00:00,62.77,154.75,82.96,43.25,126.27,38.9,23.2,0.95,55.42,35.51,1.27,141.61,8.45,5.49,21.99,60.26,0.38,153.22,0.04,,93.52,0.0,17-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
17-Feb-2020 - 00:00,62.0,149.37,85.08,57.63,139.62,42.63,20.31,1.06,49.12,8.26,0.43,79.05,2.46,1.21,22.38,63.02,0.42,142.51,0.03,,92.99,0.0,18-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
18-Feb-2020 - 00:00,74.12,167.72,78.09,32.08,110.22,42.62,27.06,0.97,55.06,13.02,0.62,116.07,3.98,2.55,22.68,69.19,0.32,193.73,0.06,,94.37,0.0,19-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
19-Feb-2020 - 00:00,59.14,128.76,66.22,22.8,88.55,37.0,56.11,0.6,54.14,8.84,0.46,108.27,2.75,1.65,23.44,72.09,0.39,203.06,0.13,,91.39,0.0,20-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
20-Feb-2020 - 00:00,43.86,97.56,61.38,11.66,73.25,31.17,47.43,0.48,54.96,5.88,0.33,103.43,1.82,1.14,24.48,67.45,0.51,206.95,0.17,,92.69,0.0,21-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
21-Feb-2020 - 00:00,53.92,131.96,74.79,63.12,138.03,63.59,19.01,0.98,53.28,13.24,0.54,115.21,3.35,2.24,23.66,64.72,0.42,107.96,0.04,,91.72,0.0,22-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
22-Feb-2020 - 00:00,62.6,139.86,66.27,18.36,84.99,33.39,21.22,0.68,66.29,9.17,0.42,89.62,2.55,1.77,23.94,56.0,0.46,135.18,0.03,,95.85,0.0,23-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
23-Feb-2020 - 00:00,56.94,128.62,54.86,18.56,76.62,32.48,19.23,0.74,54.02,8.64,0.34,84.81,1.97,1.3,23.97,63.47,0.57,111.2,-0.0,,88.11,0.0,24-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
24-Feb-2020 - 00:00,64.8,154.64,67.94,50.86,119.14,38.79,22.82,1.01,41.45,14.29,1.02,91.68,5.04,2.55,22.61,72.62,0.48,119.16,0.02,,53.96,0.0,25-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
25-Feb-2020 - 00:00,56.25,118.68,72.09,26.54,99.31,34.07,22.55,0.8,24.28,13.13,0.63,74.3,3.51,2.1,20.49,83.62,0.43,177.59,0.07,,42.99,0.02,26-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
26-Feb-2020 - 00:00,31.31,78.75,53.83,32.62,86.09,33.22,24.22,0.49,45.44,9.31,0.51,80.62,2.53,1.51,22.09,71.59,0.44,177.32,0.06,,105.08,0.0,27-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
27-Feb-2020 - 00:00,32.75,82.85,53.5,10.93,64.73,27.96,24.34,0.52,53.64,7.01,0.3,82.37,1.63,1.13,22.88,67.5,0.51,141.15,0.02,,87.03,0.0,28-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
28-Feb-2020 - 00:00,42.33,91.74,60.9,14.24,73.43,27.79,17.59,0.56,60.32,5.97,0.25,74.7,1.35,0.96,22.61,64.56,0.63,133.92,-0.02,,104.4,0.0,29-Feb-2020 - 00:00,"Belur Math, Howrah - WBPCB"
29-Feb-2020 - 00:00,48.92,104.49,74.81,36.12,110.91,34.01,20.72,0.76,56.87,8.13,0.38,75.46,2.27,1.44,23.19,58.97,0.47,146.03,0.03,,110.73,0.0,01-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
01-Mar-2020 - 00:00,63.53,152.18,97.42,52.22,149.24,41.47,24.45,1.0,52.43,11.9,0.56,94.3,3.43,2.08,24.19,62.53,0.39,136.25,0.04,,100.79,0.0,02-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
02-Mar-2020 - 00:00,67.34,159.53,94.62,45.08,139.77,39.02,31.6,0.96,49.09,8.74,0.5,97.96,3.05,1.65,25.7,63.04,0.27,191.69,0.08,,96.24,0.0,03-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
03-Mar-2020 - 00:00,53.34,121.25,66.13,20.64,86.8,34.78,20.18,0.63,,10.19,0.36,74.39,2.27,1.29,24.05,73.94,0.81,146.82,0.01,,81.7,0.11,04-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
04-Mar-2020 - 00:00,42.72,95.65,65.08,25.44,90.54,33.01,25.55,0.55,,6.56,0.29,70.3,1.76,1.09,23.79,75.38,0.63,182.34,0.06,,93.11,0.0,05-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
05-Mar-2020 - 00:00,25.02,70.33,63.24,22.2,85.48,28.75,23.71,0.55,,7.38,0.33,93.0,2.06,1.53,23.11,74.85,0.51,191.49,0.09,,112.11,0.0,06-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
06-Mar-2020 - 00:00,31.09,73.05,52.99,18.45,71.46,29.04,21.53,0.49,28.52,9.42,0.4,81.58,2.43,1.49,24.71,75.3,0.55,146.37,0.13,,94.28,0.0,07-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
07-Mar-2020 - 00:00,22.99,50.01,41.47,8.25,49.74,24.05,17.79,0.49,,4.59,0.21,71.49,1.13,0.7,23.38,86.9,0.81,124.48,-0.03,,81.47,0.09,08-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
08-Mar-2020 - 00:00,27.95,75.94,58.35,24.57,82.94,25.45,19.24,0.67,,4.77,0.33,79.21,2.0,1.0,24.95,75.29,0.39,202.28,0.07,,115.04,0.0,09-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
09-Mar-2020 - 00:00,37.92,92.76,58.43,22.26,80.72,24.26,20.83,0.51,,5.26,0.4,74.42,2.51,1.34,24.42,57.73,0.4,138.6,0.03,,138.56,0.0,10-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
10-Mar-2020 - 00:00,39.93,88.8,51.67,6.75,58.45,22.07,21.11,0.57,,5.07,0.37,74.2,2.2,1.06,24.78,55.83,0.46,154.13,0.03,,135.47,0.0,11-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
11-Mar-2020 - 00:00,38.03,91.46,54.92,8.83,63.79,25.28,24.19,0.48,,4.7,0.31,67.9,1.91,1.02,26.22,62.17,0.48,219.22,0.05,,119.81,0.0,12-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
12-Mar-2020 - 00:00,40.41,94.73,59.16,14.43,73.62,25.72,25.74,0.51,,5.43,0.3,73.91,1.87,1.27,26.64,68.24,0.62,186.95,0.02,,114.13,0.0,13-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
13-Mar-2020 - 00:00,36.45,96.32,62.12,17.32,79.55,27.0,25.46,0.61,,6.93,0.41,79.7,2.46,1.96,27.95,65.62,0.6,140.53,0.0,,130.34,0.0,14-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
14-Mar-2020 - 00:00,28.41,76.47,32.04,3.65,35.69,21.57,15.63,0.28,,2.99,0.16,51.23,0.91,0.65,25.52,62.11,1.4,96.13,-0.18,,130.2,0.0,15-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
15-Mar-2020 - 00:00,15.42,43.77,46.91,11.78,58.72,20.02,21.41,0.34,,2.15,0.14,57.77,0.72,0.5,24.04,66.67,0.69,195.24,0.01,,134.44,0.0,16-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
16-Mar-2020 - 00:00,32.07,82.97,62.03,24.5,86.55,33.84,18.61,0.59,,5.66,0.24,72.84,1.35,0.9,26.06,66.38,0.51,183.88,0.02,,115.37,0.0,17-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
17-Mar-2020 - 00:00,42.02,98.91,52.04,11.56,63.64,23.72,10.76,0.61,,5.52,0.3,78.52,1.83,1.44,27.0,58.31,0.68,103.21,-0.02,,121.32,0.0,18-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
18-Mar-2020 - 00:00,48.56,121.14,67.56,19.14,86.73,28.51,19.22,0.64,,6.4,0.35,66.89,2.11,1.49,26.57,55.84,0.67,129.5,-0.02,,116.55,0.0,19-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
19-Mar-2020 - 00:00,54.18,133.19,79.6,30.55,110.14,30.36,23.13,0.68,,7.99,0.53,62.83,3.42,2.46,27.08,49.82,0.47,148.78,0.03,,130.1,0.0,20-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
20-Mar-2020 - 00:00,29.29,75.84,62.6,10.24,72.84,24.75,23.87,0.53,,5.36,0.36,61.84,2.17,1.12,26.79,49.81,0.51,216.77,0.09,,135.76,0.0,21-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
21-Mar-2020 - 00:00,32.95,87.72,57.62,11.75,69.37,24.21,24.25,0.43,,4.95,0.25,60.31,1.57,0.95,27.57,60.57,0.6,184.09,0.16,,126.99,0.02,22-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
22-Mar-2020 - 00:00,13.19,32.09,31.14,5.17,36.31,17.46,15.17,0.27,,1.77,0.11,46.81,0.56,0.35,24.47,65.29,0.95,146.39,-0.01,,134.64,0.07,23-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
23-Mar-2020 - 00:00,18.5,46.98,31.7,4.96,36.67,16.52,16.69,0.32,,2.27,0.13,57.57,0.68,0.45,26.24,66.48,0.67,130.23,0.01,,146.36,0.0,24-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
24-Mar-2020 - 00:00,20.38,43.29,22.85,2.96,25.81,15.55,16.06,0.34,,2.27,0.12,57.8,0.59,0.37,26.92,66.37,0.7,110.59,-0.03,,136.28,0.0,25-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
25-Mar-2020 - 00:00,33.32,64.41,29.11,4.81,33.92,15.56,16.81,0.42,,3.78,0.2,57.85,1.2,0.75,28.12,65.32,0.4,187.86,0.13,,125.27,0.0,26-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
26-Mar-2020 - 00:00,22.41,50.1,22.35,4.11,26.37,15.86,12.74,0.44,,2.5,0.13,56.12,0.75,0.45,29.12,59.86,0.46,186.01,0.07,,148.06,0.0,27-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
27-Mar-2020 - 00:00,30.66,69.29,23.04,3.05,26.09,14.83,16.05,0.38,,3.31,0.13,51.19,0.76,0.45,30.4,49.61,0.33,250.28,0.09,,151.04,0.0,28-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
28-Mar-2020 - 00:00,29.7,62.13,24.51,3.02,27.53,15.15,15.88,0.41,,3.08,0.12,50.66,0.74,0.43,31.06,50.28,0.36,249.18,0.09,,143.76,0.0,29-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
29-Mar-2020 - 00:00,24.08,56.86,23.71,2.97,26.71,13.81,14.89,0.37,,3.21,0.13,50.71,0.76,0.44,30.17,47.71,0.37,243.78,0.09,,149.06,0.0,30-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
30-Mar-2020 - 00:00,24.86,60.3,27.57,3.2,30.78,13.88,15.74,0.37,,3.07,0.15,51.66,0.92,0.52,30.13,42.6,0.29,238.11,0.07,,146.97,0.0,31-Mar-2020 - 00:00,"Belur Math, Howrah - WBPCB"
31-Mar-2020 - 00:00,24.84,67.06,28.15,3.03,31.17,14.4,15.53,0.4,,4.0,0.16,53.44,0.95,0.55,30.3,43.17,0.38,219.91,0.06,,145.76,0.0,01-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
01-Apr-2020 - 00:00,30.54,63.38,22.19,2.88,25.09,17.89,17.54,0.34,,2.22,0.1,49.34,0.56,0.36,31.17,56.89,0.52,245.01,0.15,,136.68,0.0,02-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
02-Apr-2020 - 00:00,25.3,50.82,20.83,2.94,23.73,13.31,15.62,0.31,,1.82,0.09,48.88,0.46,0.31,30.56,61.21,0.49,235.3,0.16,999.8,133.75,0.0,03-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
03-Apr-2020 - 00:00,22.34,58.5,21.6,2.86,24.31,14.18,13.57,0.39,,2.07,0.09,49.48,0.5,0.31,30.98,59.62,0.38,184.42,0.05,,133.19,0.0,04-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
04-Apr-2020 - 00:00,33.14,86.02,23.51,2.87,26.35,12.62,15.44,0.43,,3.54,0.13,49.92,0.79,0.46,31.05,48.3,0.62,154.06,0.02,,132.23,0.0,05-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
05-Apr-2020 - 00:00,27.04,58.42,18.55,2.82,21.39,13.48,12.83,0.39,,2.01,0.09,46.05,0.46,0.29,31.22,55.19,0.36,235.81,0.1,,125.98,0.0,06-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
06-Apr-2020 - 00:00,28.05,58.72,24.35,3.33,27.53,13.88,13.22,0.41,,2.41,0.11,45.27,0.66,0.37,31.51,49.48,0.38,238.28,0.1,,151.13,0.0,07-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
07-Apr-2020 - 00:00,31.67,59.68,20.8,2.87,23.69,13.85,18.64,0.3,,1.82,0.08,40.78,0.41,0.25,31.7,50.51,0.72,234.94,0.2,,142.71,0.0,08-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
08-Apr-2020 - 00:00,21.49,45.77,22.01,2.96,24.93,12.49,16.41,0.3,,1.55,0.07,41.03,0.4,0.25,30.42,46.48,0.54,240.59,0.15,,101.9,0.0,09-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
09-Apr-2020 - 00:00,17.66,37.05,20.2,2.75,22.95,10.36,15.66,0.25,,1.27,0.07,44.72,0.36,0.23,29.93,43.85,0.51,219.36,0.13,,144.96,0.0,10-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
10-Apr-2020 - 00:00,12.21,35.81,19.6,3.05,22.64,11.81,16.43,0.28,,1.17,0.06,41.78,0.33,0.23,30.43,64.52,0.72,220.18,0.21,,140.84,0.0,11-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
11-Apr-2020 - 00:00,4.48,38.15,16.51,2.97,19.43,11.98,14.2,0.25,,1.03,0.06,42.72,0.31,0.19,30.83,62.72,0.74,205.93,0.17,,136.15,0.0,12-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
12-Apr-2020 - 00:00,,51.3,12.96,2.7,15.66,9.67,10.59,0.25,,1.3,0.06,48.86,0.28,0.2,29.18,66.81,0.81,119.93,0.03,,132.42,0.01,13-Apr-2020 - 00:00,"Belur Math, Howrah - WBPCB"
