from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,WS,WD,RF,to date,station
21-Feb-2020 - 00:00,90.54,141.74,15.2,30.79,16.21,40.96,43.09,1.33,33.77,11.97,120.01,2.0,1.25,1.0,69.76,83.22,2.38,210.3,0.0,22-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
22-Feb-2020 - 00:00,75.55,151.5,15.97,32.41,16.63,42.63,43.1,1.23,41.31,12.04,120.21,2.0,1.26,1.0,57.98,65.04,1.7,83.64,0.0,23-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
23-Feb-2020 - 00:00,69.16,132.56,17.28,28.3,11.03,39.28,43.71,1.17,59.07,12.06,120.54,2.0,1.25,1.0,55.31,88.02,1.4,88.88,0.0,24-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
24-Feb-2020 - 00:00,73.3,138.82,16.26,28.44,12.18,41.77,49.58,1.21,47.36,12.05,119.93,2.0,1.25,1.0,56.69,89.5,1.99,95.26,0.0,25-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
25-Feb-2020 - 00:00,68.74,140.95,15.48,31.56,18.43,46.89,46.55,1.45,46.8,12.02,120.36,2.0,1.26,1.0,49.44,94.47,2.39,133.18,0.0,26-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
26-Feb-2020 - 00:00,69.17,143.35,14.61,31.13,17.09,51.18,60.2,1.36,48.71,12.03,119.83,1.99,1.26,0.99,45.08,118.28,2.77,133.96,0.0,27-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
27-Feb-2020 - 00:00,68.97,159.67,24.57,41.41,16.86,58.12,51.89,0.73,32.01,12.05,120.3,2.01,1.24,0.99,46.26,7.68,2.41,158.63,0.0,28-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
28-Feb-2020 - 00:00,89.43,174.4,19.8,36.34,16.87,62.0,59.88,1.59,62.25,11.99,119.74,2.0,1.26,1.0,47.6,90.27,2.87,200.23,0.0,29-Feb-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
29-Feb-2020 - 00:00,97.61,159.86,21.89,34.37,12.52,46.88,43.37,1.39,50.9,11.98,119.9,1.99,1.26,1.0,54.53,77.06,2.79,236.41,0.0,01-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
01-Mar-2020 - 00:00,85.25,148.25,14.01,23.52,9.51,39.58,38.41,1.28,68.1,12.0,119.97,2.0,1.26,1.0,66.85,76.51,2.81,236.99,0.0,02-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
