from date,AT,PM2.5,PM10,RF,RH,SR,Temp,WD,WS,Benzene,Eth-Benzene,Toluene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
19-Jan-2020 - 00:00,16.46,35.24,102.92,0.0,79.89,46.19,30.86,78.61,1.17,0.22,1.11,4.04,0.76,30.55,4.31,15.3,11.73,18.0,16.26,20-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
20-Jan-2020 - 00:00,16.83,43.17,131.16,0.0,72.43,46.67,30.84,113.38,0.59,0.2,1.91,4.95,0.71,29.87,13.06,22.21,22.52,17.78,14.15,21-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
21-Jan-2020 - 00:00,18.92,41.21,136.23,0.0,76.35,38.24,31.29,169.7,0.58,0.25,1.9,5.96,1.01,31.79,25.34,23.61,33.25,17.09,13.95,22-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
22-Jan-2020 - 00:00,19.12,34.53,104.52,0.0,80.68,34.22,31.37,79.23,1.14,0.2,1.26,4.67,0.83,33.09,4.94,17.07,13.2,17.56,12.64,23-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
23-Jan-2020 - 00:00,17.89,32.4,95.27,0.0,65.61,45.83,31.13,68.04,1.15,0.16,0.79,3.71,0.63,31.19,3.77,18.98,13.25,19.23,13.33,24-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
24-Jan-2020 - 00:00,17.78,27.53,73.56,0.0,67.4,47.18,31.06,117.17,0.62,0.17,0.99,4.25,0.61,31.44,4.77,20.71,14.98,17.88,12.04,25-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
25-Jan-2020 - 00:00,18.08,38.75,129.52,0.0,67.83,46.79,31.1,155.46,0.58,0.19,1.53,4.96,0.89,31.6,23.01,26.87,33.1,16.83,13.26,26-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
26-Jan-2020 - 00:00,18.31,37.07,112.46,0.0,68.83,40.99,31.26,136.69,0.59,0.38,1.73,5.65,0.93,21.21,25.19,24.19,33.44,18.0,15.46,27-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
27-Jan-2020 - 00:00,19.66,45.58,147.61,0.0,68.18,36.93,31.17,184.91,0.51,0.9,3.06,6.54,1.07,14.65,15.82,27.92,27.79,17.09,15.22,28-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
28-Jan-2020 - 00:00,19.76,42.17,151.06,0.0,72.2,38.27,31.3,224.02,0.55,0.4,4.18,7.16,1.1,14.21,23.24,29.09,34.46,17.84,14.73,29-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
29-Jan-2020 - 00:00,19.38,30.43,99.52,0.0,60.75,43.47,31.13,181.4,0.69,0.24,1.16,4.47,0.58,14.17,10.06,26.8,22.54,18.71,11.13,30-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
30-Jan-2020 - 00:00,17.92,31.48,86.07,0.0,64.61,53.67,30.45,81.74,1.08,0.58,1.36,4.03,0.73,18.89,3.4,20.18,13.68,18.37,13.83,31-Jan-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
31-Jan-2020 - 00:00,17.12,43.46,125.32,0.0,65.54,48.8,30.91,131.24,0.64,0.92,1.9,4.98,0.87,11.48,36.38,34.31,47.82,17.71,13.28,01-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
01-Feb-2020 - 00:00,17.7,35.16,108.23,0.0,60.16,47.14,30.96,91.92,0.83,0.66,1.24,4.18,0.69,,,,,17.91,15.54,02-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
02-Feb-2020 - 00:00,17.64,31.22,89.63,0.0,58.86,52.49,31.25,92.13,0.91,0.45,0.34,4.16,0.59,,,,,18.01,18.24,03-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
03-Feb-2020 - 00:00,18.44,29.77,90.94,0.0,61.07,41.98,31.19,95.48,0.75,0.41,1.06,4.79,0.64,,,,,18.05,15.1,04-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
04-Feb-2020 - 00:00,19.36,36.64,112.46,0.0,64.83,46.11,30.86,131.32,0.79,0.38,0.96,4.69,0.79,,,,,17.42,11.3,05-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
05-Feb-2020 - 00:00,18.67,37.23,106.61,0.0,70.29,47.66,30.93,90.92,0.74,0.4,1.52,4.65,0.77,,,,,17.48,11.99,06-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
06-Feb-2020 - 00:00,18.98,31.32,95.31,0.0,65.51,43.44,30.85,110.54,0.85,0.39,2.52,4.87,0.94,,,,,17.58,12.48,07-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
07-Feb-2020 - 00:00,18.49,41.99,102.42,0.0,67.36,44.63,31.1,83.08,1.01,0.36,1.22,4.19,1.04,,,,,18.62,14.66,08-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
08-Feb-2020 - 00:00,17.69,40.58,86.61,0.0,63.38,49.58,30.79,87.61,1.12,0.33,1.1,4.19,1.08,41.55,3.62,33.28,20.63,19.21,14.34,09-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
09-Feb-2020 - 00:00,17.76,30.48,76.91,0.0,55.81,55.55,31.0,102.31,0.79,0.27,0.28,3.82,0.76,,3.26,32.75,20.06,18.58,15.82,10-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
10-Feb-2020 - 00:00,18.09,35.28,95.66,0.0,59.56,45.78,30.87,113.12,0.66,0.45,1.0,4.31,0.75,47.57,4.22,29.69,19.24,18.18,15.59,11-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
11-Feb-2020 - 00:00,19.29,33.94,90.13,0.0,59.74,46.03,30.86,140.26,0.65,0.25,1.59,4.54,0.72,38.56,9.39,30.16,23.8,17.53,15.32,12-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
12-Feb-2020 - 00:00,19.44,49.61,149.86,0.0,67.01,38.16,30.88,150.9,0.59,0.27,2.76,4.91,0.93,34.54,19.25,30.53,32.02,17.1,15.41,13-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
13-Feb-2020 - 00:00,20.25,55.12,172.42,0.0,65.14,50.42,30.84,230.17,0.51,0.25,1.52,4.25,1.16,32.59,34.87,28.22,43.36,17.03,13.19,14-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
14-Feb-2020 - 00:00,20.34,70.31,254.87,0.0,62.55,48.44,31.09,199.1,0.56,0.25,2.14,4.47,1.2,31.1,44.0,32.66,53.14,17.54,13.76,15-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
15-Feb-2020 - 00:00,19.84,43.66,133.12,0.0,60.34,48.19,31.1,184.81,0.64,0.31,2.88,4.5,1.13,30.58,27.56,29.97,38.48,17.37,12.73,16-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
16-Feb-2020 - 00:00,19.86,42.08,129.0,0.0,53.81,57.04,31.23,127.43,0.91,0.32,2.11,4.24,0.93,27.78,25.58,26.73,35.01,17.9,14.63,17-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
17-Feb-2020 - 00:00,20.2,39.26,130.12,0.0,49.84,58.47,30.68,140.31,0.87,0.31,3.18,4.73,1.01,28.54,28.26,27.56,37.75,16.88,13.24,18-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
18-Feb-2020 - 00:00,19.44,56.7,180.51,0.0,56.05,42.43,30.89,200.3,0.53,0.41,4.0,6.59,1.23,22.51,29.93,31.92,41.31,16.68,15.42,19-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
19-Feb-2020 - 00:00,20.76,47.17,152.53,0.0,51.51,52.22,31.13,180.71,0.54,0.3,4.37,5.33,0.96,23.6,34.1,29.97,43.66,15.6,14.59,20-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
20-Feb-2020 - 00:00,21.65,49.68,169.0,0.0,56.44,41.65,31.11,209.59,0.63,0.26,3.62,5.01,1.01,24.96,23.82,30.88,35.92,17.69,15.49,21-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
21-Feb-2020 - 00:00,22.41,34.06,107.24,0.0,52.58,45.23,31.1,176.85,0.54,0.2,1.86,5.04,0.78,24.63,6.07,27.93,19.9,18.17,17.78,22-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
22-Feb-2020 - 00:00,20.89,35.38,110.98,0.0,59.92,43.92,31.12,96.22,0.91,0.25,1.27,5.01,0.72,22.07,3.2,17.52,11.91,17.76,15.26,23-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
23-Feb-2020 - 00:00,19.96,39.27,104.33,0.0,73.9,42.57,31.19,95.97,0.96,0.28,0.72,4.61,0.82,25.64,3.27,16.63,11.51,17.41,13.9,24-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
24-Feb-2020 - 00:00,20.06,35.13,92.89,0.0,65.6,43.4,31.34,99.77,0.87,0.23,0.72,4.65,0.86,24.16,5.22,17.83,13.73,18.17,14.2,25-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
25-Feb-2020 - 00:00,20.0,40.81,126.4,0.0,59.77,48.5,31.39,135.34,0.81,0.22,1.73,4.83,0.84,25.02,13.33,23.83,23.5,17.46,13.89,26-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
26-Feb-2020 - 00:00,20.67,48.33,160.51,0.0,55.2,48.94,31.42,162.11,0.69,0.29,2.16,5.05,0.96,28.62,26.52,25.11,35.03,16.65,14.15,27-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
27-Feb-2020 - 00:00,20.9,54.04,178.51,0.0,57.19,40.58,31.42,189.01,0.54,0.33,4.29,6.68,1.03,32.7,23.84,27.71,34.13,17.32,14.75,28-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
28-Feb-2020 - 00:00,21.71,46.37,147.84,0.0,55.41,46.5,31.39,220.64,0.53,0.27,3.66,5.84,0.83,32.82,17.38,28.58,29.31,17.6,10.1,29-Feb-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
29-Feb-2020 - 00:00,21.55,50.57,164.34,0.0,56.84,33.7,31.22,182.83,0.55,0.26,5.03,5.86,0.88,29.75,17.34,28.38,29.2,18.12,9.95,01-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
01-Mar-2020 - 00:00,21.68,37.37,118.66,0.04,65.88,44.97,30.85,156.5,0.87,0.23,2.44,4.68,0.84,27.46,9.31,21.91,19.22,17.7,10.31,02-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
02-Mar-2020 - 00:00,22.19,28.08,85.17,0.0,55.28,52.07,31.2,188.6,0.59,0.14,1.58,3.87,0.65,24.38,4.11,20.69,14.34,18.23,8.69,03-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
03-Mar-2020 - 00:00,21.21,36.66,126.12,0.0,53.18,56.81,31.2,207.71,0.58,0.11,1.35,3.79,0.68,22.31,10.72,27.92,23.58,17.22,9.53,04-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
04-Mar-2020 - 00:00,21.51,42.43,141.39,0.0,52.86,64.86,31.14,199.42,0.5,0.17,1.5,3.79,0.74,23.78,14.58,28.25,26.89,16.6,7.89,05-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
05-Mar-2020 - 00:00,21.68,35.71,128.76,0.0,42.24,60.6,31.23,198.28,0.68,0.11,1.91,4.06,0.58,22.68,4.85,24.74,17.09,17.04,9.43,06-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
06-Mar-2020 - 00:00,21.44,36.37,124.89,0.0,52.79,62.2,31.15,209.45,0.67,0.15,0.73,3.53,0.55,24.03,7.75,24.02,19.09,16.71,7.91,07-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
07-Mar-2020 - 00:00,21.13,27.69,96.32,0.0,51.26,60.77,31.1,164.45,0.69,0.11,1.05,4.37,0.48,22.91,5.15,23.3,16.58,17.78,8.91,08-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
08-Mar-2020 - 00:00,19.9,18.69,49.61,0.0,56.14,56.01,30.83,102.78,0.93,0.16,0.93,4.29,0.45,21.17,2.79,15.1,10.3,17.97,7.85,09-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
09-Mar-2020 - 00:00,20.6,23.84,66.81,0.0,53.4,49.43,31.14,101.59,0.97,0.25,1.32,4.88,0.53,21.7,4.21,16.8,12.36,15.98,9.53,10-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
10-Mar-2020 - 00:00,21.68,17.55,39.9,0.0,59.16,49.1,31.0,130.03,0.79,0.13,0.44,3.91,0.55,21.77,1.92,11.27,7.56,17.36,7.64,11-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
11-Mar-2020 - 00:00,22.64,16.75,46.06,0.0,54.62,82.1,31.19,197.56,0.73,0.11,0.31,3.71,0.57,20.16,2.45,12.92,8.86,17.56,7.34,12-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
12-Mar-2020 - 00:00,21.8,20.53,57.88,0.0,49.44,56.0,31.0,188.26,0.57,0.1,0.89,3.46,0.43,18.07,3.2,17.75,12.05,17.21,8.72,13-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
13-Mar-2020 - 00:00,20.82,26.12,79.67,0.0,40.77,60.77,31.35,186.03,0.78,0.14,0.91,4.66,0.53,17.3,5.62,18.09,14.19,18.17,6.63,14-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
14-Mar-2020 - 00:00,20.61,30.0,88.3,0.0,40.59,73.02,30.84,150.36,0.78,0.16,2.15,5.04,0.62,15.94,9.86,20.33,18.83,18.09,10.02,15-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
15-Mar-2020 - 00:00,19.7,25.88,74.95,0.0,46.54,60.57,31.22,130.7,0.9,0.18,0.86,4.41,0.52,16.31,3.76,16.91,12.05,17.42,7.36,16-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
16-Mar-2020 - 00:00,20.14,27.76,74.74,0.0,52.14,42.52,30.75,124.69,0.66,0.24,1.88,5.46,0.57,17.47,2.83,18.27,12.01,18.15,8.79,17-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
17-Mar-2020 - 00:00,22.23,28.32,81.71,0.0,45.36,91.77,31.3,93.06,0.88,0.3,1.17,5.14,0.58,19.04,1.82,14.98,9.43,17.27,7.37,18-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
18-Mar-2020 - 00:00,22.46,25.48,69.05,0.0,51.17,54.34,31.01,140.17,0.73,0.18,2.68,5.96,0.53,18.64,2.61,16.8,11.06,18.43,10.05,19-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
19-Mar-2020 - 00:00,23.42,30.82,100.5,0.0,50.89,75.77,31.2,163.36,0.82,0.18,3.78,5.84,0.58,17.68,4.24,20.16,14.17,17.35,9.29,20-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
20-Mar-2020 - 00:00,22.79,31.49,98.97,0.0,54.96,50.4,31.17,193.11,0.59,0.14,1.44,4.26,0.67,16.63,9.97,23.72,20.72,18.37,8.14,21-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
21-Mar-2020 - 00:00,22.06,37.72,123.56,0.0,42.16,58.17,31.35,192.17,0.61,0.17,3.13,5.91,0.69,16.55,13.77,29.31,26.78,17.48,11.9,22-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
22-Mar-2020 - 00:00,22.86,33.47,89.34,0.0,44.96,72.51,31.01,163.17,0.58,0.24,3.38,5.49,0.87,17.73,19.79,22.69,28.17,17.69,9.75,23-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
23-Mar-2020 - 00:00,23.34,29.09,76.56,0.0,47.94,63.5,31.38,158.73,0.58,0.22,0.91,3.9,0.68,18.79,5.77,17.98,14.25,17.19,9.32,24-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
24-Mar-2020 - 00:00,24.24,25.1,65.83,0.0,43.61,65.94,31.07,132.76,0.62,0.18,0.63,3.62,0.68,18.3,5.11,15.66,12.5,17.63,7.24,25-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
25-Mar-2020 - 00:00,23.31,16.65,46.98,0.31,56.54,48.32,31.96,147.38,0.83,0.15,0.35,3.62,0.51,29.57,1.97,9.94,6.89,15.74,9.54,26-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
26-Mar-2020 - 00:00,23.52,12.67,25.6,0.0,65.13,60.97,30.99,133.47,0.57,0.07,0.29,3.21,0.45,30.59,2.12,9.36,6.69,14.46,6.9,27-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
27-Mar-2020 - 00:00,21.07,14.46,23.61,0.02,82.3,30.35,31.03,117.54,1.04,0.09,0.18,3.32,0.44,15.88,2.57,8.13,6.4,16.75,7.82,28-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
28-Mar-2020 - 00:00,22.11,12.57,23.16,0.0,66.68,82.32,30.9,89.28,1.03,0.09,0.11,3.12,0.4,15.21,2.14,6.9,5.41,16.55,6.89,29-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
29-Mar-2020 - 00:00,23.49,14.85,26.68,0.0,53.21,77.08,31.06,108.86,0.86,0.09,0.17,2.75,0.44,13.65,3.15,9.51,7.61,16.56,8.88,30-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
30-Mar-2020 - 00:00,25.82,15.32,29.86,0.0,37.62,101.27,30.98,159.62,0.72,0.08,0.15,2.48,0.43,11.95,1.58,8.44,5.78,17.02,6.88,31-Mar-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
31-Mar-2020 - 00:00,24.57,17.1,34.77,0.0,44.36,62.85,31.09,172.24,0.62,0.11,0.22,2.61,0.49,11.86,2.04,9.51,6.73,18.1,7.96,01-Apr-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
01-Apr-2020 - 00:00,24.67,20.19,41.09,0.0,31.06,66.45,31.11,213.34,0.68,0.07,0.07,2.67,0.38,10.57,1.69,11.44,7.47,17.74,7.27,02-Apr-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
02-Apr-2020 - 00:00,26.36,20.89,38.8,0.0,34.12,79.76,31.12,125.03,1.01,0.3,0.13,2.77,0.39,10.6,2.19,10.95,7.6,17.51,7.86,03-Apr-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
03-Apr-2020 - 00:00,29.44,14.93,32.2,0.0,32.57,80.5,31.4,135.32,0.88,0.64,0.16,3.01,0.39,11.03,2.0,9.43,6.65,17.36,7.56,04-Apr-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
04-Apr-2020 - 00:00,29.4,17.07,37.14,0.0,30.0,77.59,31.14,116.24,0.83,0.6,0.19,3.07,0.42,11.77,1.67,8.98,6.14,17.81,8.26,05-Apr-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
05-Apr-2020 - 00:00,30.23,18.28,37.32,0.0,29.69,79.29,31.43,128.79,0.64,0.58,0.23,3.09,0.47,12.21,1.6,8.56,5.86,18.21,6.34,06-Apr-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
06-Apr-2020 - 00:00,29.64,26.26,52.06,0.0,35.32,68.31,31.04,166.69,0.61,0.36,0.26,2.97,0.63,13.8,2.25,13.49,9.01,17.84,8.01,07-Apr-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
07-Apr-2020 - 00:00,30.34,20.97,43.94,0.0,27.11,77.47,31.17,169.44,0.6,0.18,0.16,2.88,0.55,12.54,1.63,11.17,7.27,18.45,7.21,08-Apr-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
08-Apr-2020 - 00:00,30.18,25.78,54.65,0.0,24.77,78.5,31.03,234.08,0.83,0.06,0.05,2.66,0.46,12.88,1.8,11.33,7.49,18.48,7.55,09-Apr-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
09-Apr-2020 - 00:00,28.45,31.93,56.13,0.0,28.61,80.14,29.78,144.81,0.78,0.12,0.22,2.32,0.46,16.35,1.71,11.14,7.32,19.53,7.53,10-Apr-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
10-Apr-2020 - 00:00,29.06,40.24,59.52,0.0,27.2,76.51,29.78,150.42,0.72,0.18,0.26,1.45,0.45,17.6,1.6,12.19,7.78,19.91,9.26,11-Apr-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
11-Apr-2020 - 00:00,30.05,45.8,66.2,0.0,30.25,75.68,28.55,164.25,0.63,0.18,0.35,1.56,0.62,16.77,3.49,22.01,14.55,19.57,11.88,12-Apr-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
12-Apr-2020 - 00:00,31.84,45.43,77.67,0.0,31.31,76.77,29.78,162.7,0.77,0.27,0.36,1.7,0.74,16.74,5.22,19.03,14.37,19.21,10.35,13-Apr-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
13-Apr-2020 - 00:00,32.45,35.39,59.71,0.0,27.65,80.35,28.59,181.65,0.88,0.11,0.24,1.38,0.57,13.7,2.88,19.38,12.65,19.84,10.79,14-Apr-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
14-Apr-2020 - 00:00,31.45,34.44,63.54,0.0,25.38,75.06,29.79,163.38,0.63,0.13,0.48,1.52,0.59,15.1,2.23,15.08,9.84,19.83,9.08,15-Apr-2020 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
