from date,Temp,BP,RH,VWS,WD,WS,SR,PM2.5,CO,CH4,NO2,NO,NOx,NH3,SO2,NMHC,THC,to date,station
11-Aug-2020 - 00:00,31.43,987.52,82.9,1.19,130.58,1.27,214.18,72.76,1.06,99.73,26.99,9.04,21.56,39.44,4.11,795.71,895.44,12-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
12-Aug-2020 - 00:00,28.08,987.58,93.5,0.51,212.2,1.24,191.4,29.89,1.0,106.49,27.92,9.19,22.05,39.77,3.82,799.34,905.31,13-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
13-Aug-2020 - 00:00,27.13,986.63,94.6,0.25,143.56,1.01,186.89,20.3,0.97,96.23,25.46,9.48,21.12,39.07,3.83,797.56,893.79,14-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
14-Aug-2020 - 00:00,27.9,985.49,94.67,0.18,109.01,0.96,188.12,35.41,1.37,97.1,28.52,6.89,20.69,44.58,4.88,795.15,892.24,15-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
15-Aug-2020 - 00:00,30.28,985.6,86.66,0.37,90.9,1.09,223.23,35.04,0.98,104.07,30.01,3.75,18.96,50.01,6.61,794.16,898.24,16-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
16-Aug-2020 - 00:00,31.32,986.84,80.94,0.55,69.93,0.98,231.98,22.81,1.07,60.97,29.9,3.73,18.87,50.23,6.84,795.27,854.45,17-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
17-Aug-2020 - 00:00,31.83,986.72,80.14,0.94,70.51,1.0,217.0,47.28,1.08,98.11,29.73,3.19,18.37,46.1,5.55,797.03,895.13,18-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
18-Aug-2020 - 00:00,32.29,987.21,80.25,0.96,86.04,1.01,215.38,49.35,1.4,110.48,29.92,3.04,18.35,45.54,6.99,794.47,904.94,19-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
19-Aug-2020 - 00:00,28.13,988.13,90.43,0.92,130.89,1.07,192.21,41.14,1.11,96.49,32.1,3.35,19.75,46.58,8.46,792.39,888.88,20-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
20-Aug-2020 - 00:00,31.35,989.54,77.91,1.17,64.94,1.14,233.75,25.33,0.95,102.26,29.77,3.71,18.8,46.03,6.55,794.06,896.31,21-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
21-Aug-2020 - 00:00,29.34,990.87,82.5,1.66,73.63,1.26,151.67,31.27,1.33,86.27,29.48,3.68,18.63,45.22,6.12,661.2,757.42,22-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
22-Aug-2020 - 00:00,28.64,991.13,89.08,1.66,87.15,1.47,38.18,18.54,1.19,41.87,28.64,3.51,18.04,42.66,6.28,740.84,502.55,23-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
23-Aug-2020 - 00:00,28.4,991.56,87.94,1.39,131.19,1.49,45.69,18.15,1.14,111.08,29.09,3.54,18.3,43.04,6.98,796.21,905.22,24-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
24-Aug-2020 - 00:00,29.5,992.09,83.79,1.5,179.2,1.56,56.69,73.76,1.35,77.13,20.44,6.01,15.67,39.8,3.78,632.69,709.81,25-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
25-Aug-2020 - 00:00,30.4,993.81,79.99,1.81,244.02,1.94,58.82,62.76,1.03,105.7,7.74,10.82,12.7,36.26,3.04,792.81,898.51,26-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
26-Aug-2020 - 00:00,30.81,993.81,80.1,1.52,248.99,1.6,61.26,24.61,0.97,97.52,6.75,9.78,11.38,34.8,2.78,795.79,893.33,27-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
27-Aug-2020 - 00:00,29.41,992.53,84.23,0.88,84.68,1.12,34.44,125.44,1.32,102.47,7.13,10.26,11.94,35.63,1.81,794.04,896.51,28-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
28-Aug-2020 - 00:00,29.89,989.97,82.69,1.16,51.29,1.11,53.73,51.95,1.2,99.81,7.86,9.84,11.84,35.59,3.93,793.8,893.61,29-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
29-Aug-2020 - 00:00,29.47,989.29,82.64,1.67,80.59,1.38,43.55,54.43,1.15,103.4,5.37,9.74,15.33,34.09,4.51,794.32,897.72,30-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
30-Aug-2020 - 00:00,29.75,992.47,75.38,1.83,146.19,1.64,60.73,29.63,1.11,101.78,4.26,10.53,10.55,33.83,3.4,794.34,896.12,31-Aug-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
31-Aug-2020 - 00:00,30.69,995.02,73.64,1.8,242.4,1.85,104.28,32.29,1.14,103.37,5.2,10.16,10.82,34.09,3.88,794.01,897.38,01-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
01-Sep-2020 - 00:00,30.58,995.83,75.5,1.97,260.96,1.97,136.51,31.09,1.18,105.01,4.31,10.31,10.41,33.56,3.73,794.4,899.42,02-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
02-Sep-2020 - 00:00,29.53,996.99,85.38,1.07,176.85,1.18,160.12,67.03,1.32,105.13,7.28,10.6,11.19,32.52,4.68,793.92,899.04,03-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
03-Sep-2020 - 00:00,29.86,997.86,84.97,0.99,100.36,1.21,182.86,93.5,0.51,68.53,29.72,15.55,24.37,43.4,4.3,518.58,587.11,04-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
04-Sep-2020 - 00:00,31.38,997.06,77.53,1.07,129.53,1.13,58.76,78.75,0.51,45.11,37.73,7.61,25.93,49.18,4.61,360.88,405.99,05-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
05-Sep-2020 - 00:00,31.36,994.36,78.32,1.62,247.95,1.8,63.43,92.0,0.7,108.3,35.12,5.21,22.65,45.35,4.04,792.45,900.76,06-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
06-Sep-2020 - 00:00,31.55,992.91,77.55,1.67,241.3,1.81,70.14,57.2,0.63,97.23,30.87,5.36,20.69,42.93,4.85,795.31,892.54,07-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
07-Sep-2020 - 00:00,32.18,993.55,74.91,1.5,250.05,1.67,63.85,67.62,0.66,106.27,31.3,7.34,22.24,44.8,5.42,795.52,901.78,08-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
08-Sep-2020 - 00:00,32.54,994.29,72.53,1.51,239.31,1.66,63.07,80.44,0.85,114.78,28.38,7.84,20.53,42.55,6.38,795.73,910.51,09-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
09-Sep-2020 - 00:00,31.37,993.81,80.68,1.09,233.34,1.28,39.51,85.59,0.69,104.03,37.87,5.8,22.17,31.28,4.27,794.19,898.22,10-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
10-Sep-2020 - 00:00,31.75,991.02,77.66,1.04,232.43,1.22,51.99,95.7,0.6,97.96,36.72,4.0,17.99,17.76,5.15,792.9,890.86,11-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
11-Sep-2020 - 00:00,31.35,992.05,81.28,0.88,164.05,1.1,36.79,93.46,0.61,107.92,53.43,6.36,29.34,26.7,4.43,794.36,902.28,12-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
12-Sep-2020 - 00:00,31.44,995.24,80.97,0.7,109.91,1.02,47.21,78.0,0.54,96.34,72.05,7.36,39.9,34.87,5.32,792.33,888.68,13-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
13-Sep-2020 - 00:00,31.93,995.16,78.69,0.65,159.39,0.98,45.28,58.06,0.65,107.54,72.73,4.69,37.68,33.26,4.89,794.36,901.89,14-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
14-Sep-2020 - 00:00,31.8,993.8,80.3,0.49,115.36,1.01,50.19,100.91,0.66,94.81,68.91,5.07,35.86,31.72,4.6,792.84,887.65,15-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
15-Sep-2020 - 00:00,31.68,992.99,80.05,0.7,163.05,1.09,49.73,105.21,0.77,98.9,48.92,10.6,25.25,25.13,4.56,796.81,895.71,16-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
16-Sep-2020 - 00:00,31.63,992.58,80.63,0.66,176.62,1.12,47.3,77.12,0.49,101.92,29.56,5.06,14.73,20.81,5.59,797.19,899.1,17-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
17-Sep-2020 - 00:00,32.15,991.65,74.76,1.03,254.63,1.52,45.18,89.17,0.53,104.96,42.83,3.05,19.67,26.71,3.1,794.97,899.93,18-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
18-Sep-2020 - 00:00,32.29,991.01,74.87,0.99,221.63,1.26,55.85,92.34,0.49,102.02,46.98,3.13,20.8,28.26,4.58,794.47,896.48,19-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
19-Sep-2020 - 00:00,30.6,991.25,83.31,0.93,79.1,1.06,32.11,91.22,0.98,101.66,38.33,4.13,15.61,21.34,3.83,796.52,898.18,20-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
20-Sep-2020 - 00:00,32.2,989.71,73.06,0.65,78.94,0.84,59.04,58.97,0.5,100.44,42.84,5.89,20.69,27.98,3.41,794.84,895.29,21-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
21-Sep-2020 - 00:00,32.15,988.84,73.37,0.96,126.89,1.1,48.13,64.37,0.77,100.64,42.35,4.27,19.19,25.72,4.24,795.25,895.88,22-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
22-Sep-2020 - 00:00,30.13,990.18,78.71,1.3,76.09,1.17,51.53,38.92,1.03,106.0,29.59,4.12,12.63,17.72,4.81,795.98,901.98,23-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
23-Sep-2020 - 00:00,27.04,989.93,94.17,0.71,65.53,0.97,19.98,38.97,0.78,96.17,27.66,5.35,13.37,18.8,4.89,797.64,893.82,24-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
24-Sep-2020 - 00:00,25.14,990.93,95.0,0.6,44.24,1.17,18.77,48.31,0.77,101.11,53.47,3.79,28.38,38.21,4.26,795.98,897.09,25-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
25-Sep-2020 - 00:00,27.49,992.46,88.42,1.01,189.8,1.41,44.91,34.08,0.59,103.02,36.88,5.15,17.22,23.86,5.43,794.11,897.13,26-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
26-Sep-2020 - 00:00,30.04,991.97,77.22,0.86,241.31,1.36,53.61,104.98,0.72,95.08,55.76,26.82,44.81,55.44,3.67,795.48,890.57,27-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
27-Sep-2020 - 00:00,30.19,995.06,80.16,0.88,253.74,1.37,53.77,143.43,0.76,100.96,51.47,10.86,30.86,32.89,1.7,794.85,895.82,28-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
28-Sep-2020 - 00:00,30.49,996.53,66.84,0.89,285.55,1.3,59.38,148.35,0.64,99.59,88.93,11.05,50.62,51.15,3.33,794.47,894.06,29-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
29-Sep-2020 - 00:00,30.05,995.89,64.53,1.08,282.64,1.39,59.82,167.33,0.31,99.06,99.29,10.75,55.01,54.13,4.4,795.3,894.35,30-Sep-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
30-Sep-2020 - 00:00,29.69,994.57,57.64,1.04,292.65,1.31,57.76,156.46,0.92,99.77,94.53,10.57,52.95,51.88,3.59,796.15,895.91,01-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
01-Oct-2020 - 00:00,29.81,993.93,60.14,0.8,256.58,1.06,56.5,149.47,0.65,163.68,84.88,9.95,49.62,42.26,3.31,715.04,875.14,02-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
02-Oct-2020 - 00:00,30.45,995.03,67.12,0.8,139.26,0.88,57.17,125.24,0.64,299.92,51.48,7.02,30.93,28.61,2.38,595.58,895.5,03-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
03-Oct-2020 - 00:00,30.16,995.92,71.51,0.81,219.37,1.13,38.44,122.23,0.63,300.25,46.16,6.6,29.4,28.89,6.34,582.75,883.01,04-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
04-Oct-2020 - 00:00,30.58,996.57,67.79,0.74,224.28,1.06,48.82,122.94,0.66,298.92,62.34,10.81,40.9,31.49,5.59,578.86,877.76,05-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
05-Oct-2020 - 00:00,30.59,996.06,63.82,0.93,273.95,1.27,49.34,150.67,0.79,302.42,49.65,7.79,40.93,39.34,4.27,579.18,881.61,06-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
06-Oct-2020 - 00:00,30.03,996.88,52.59,0.85,258.66,1.11,55.16,168.12,0.54,302.2,59.0,24.71,50.54,75.93,2.87,582.86,885.07,07-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
07-Oct-2020 - 00:00,30.45,998.26,59.38,0.73,204.49,0.93,54.4,160.84,0.71,299.15,68.37,25.24,55.72,81.87,4.96,587.86,887.0,08-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
08-Oct-2020 - 00:00,29.87,999.0,61.13,0.81,235.53,1.11,52.85,150.96,0.63,299.15,65.37,20.82,50.6,75.47,4.6,588.04,887.18,09-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
09-Oct-2020 - 00:00,29.6,998.77,54.2,0.83,224.41,1.1,55.7,145.28,0.67,312.13,63.97,36.71,62.72,90.64,3.99,582.6,894.73,10-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
10-Oct-2020 - 00:00,29.34,997.88,54.37,0.86,231.91,1.06,54.49,146.42,0.63,299.1,72.26,83.11,103.26,137.96,5.47,584.54,883.63,11-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
11-Oct-2020 - 00:00,30.41,995.97,53.23,0.73,188.4,0.9,56.17,122.72,0.45,299.96,64.52,15.42,45.97,70.29,4.75,595.19,895.15,12-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
12-Oct-2020 - 00:00,29.72,994.94,57.42,0.77,130.15,0.92,47.32,111.49,0.84,300.5,62.55,11.96,42.13,65.81,3.55,589.98,890.48,13-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
13-Oct-2020 - 00:00,30.36,996.03,61.38,0.92,97.41,0.97,58.89,108.34,0.77,300.34,57.26,10.58,37.45,59.69,3.53,593.3,893.64,14-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
14-Oct-2020 - 00:00,29.7,996.66,72.7,0.58,57.28,0.85,33.24,115.58,0.61,299.6,38.14,10.35,27.48,48.38,4.57,589.0,889.13,15-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
15-Oct-2020 - 00:00,31.57,996.71,67.34,0.74,124.66,0.85,50.82,111.21,0.91,294.58,45.57,12.65,33.66,55.92,7.61,583.15,877.73,16-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
16-Oct-2020 - 00:00,30.44,996.87,65.88,0.8,180.11,0.88,44.25,148.63,0.64,298.34,67.35,21.95,53.36,79.36,5.89,579.3,877.64,17-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
17-Oct-2020 - 00:00,30.19,997.55,49.28,0.81,166.1,0.98,47.91,160.3,0.81,304.67,54.95,11.26,38.09,40.6,10.18,584.22,888.9,18-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
18-Oct-2020 - 00:00,28.67,997.95,49.1,0.77,233.95,0.96,42.35,183.74,0.61,301.27,59.53,15.49,43.98,18.31,33.06,591.79,893.05,19-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
19-Oct-2020 - 00:00,28.27,997.06,49.13,1.02,253.62,1.22,40.2,161.75,0.62,298.52,57.92,8.71,37.71,18.32,7.96,584.2,882.72,20-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
20-Oct-2020 - 00:00,27.42,997.6,49.32,1.13,280.11,1.27,43.41,180.98,1.0,300.53,58.62,9.79,38.71,18.22,6.61,582.71,883.25,21-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
21-Oct-2020 - 00:00,27.2,998.06,50.27,0.99,225.87,1.13,42.98,158.55,2.09,309.93,62.24,11.95,42.18,18.09,11.16,583.86,893.79,22-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
22-Oct-2020 - 00:00,27.69,997.76,56.73,0.68,147.75,0.91,39.76,195.34,3.83,296.91,69.38,20.14,52.29,18.09,14.66,582.93,879.85,23-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
23-Oct-2020 - 00:00,27.4,997.3,60.5,0.89,248.52,1.16,41.63,157.89,0.97,299.29,63.91,26.06,54.42,18.16,34.5,589.13,888.43,24-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
24-Oct-2020 - 00:00,26.55,998.0,43.11,0.97,258.66,1.22,42.63,174.7,0.82,310.38,68.46,22.26,53.71,18.0,18.09,482.19,790.03,25-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
25-Oct-2020 - 00:00,26.21,999.88,47.54,0.71,251.97,0.92,42.65,210.98,1.15,300.91,65.38,39.13,65.66,17.84,13.25,381.64,682.55,26-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
26-Oct-2020 - 00:00,25.5,,47.32,0.86,259.8,1.12,43.09,211.13,0.9,301.48,76.85,23.13,58.84,17.97,11.55,383.24,684.73,27-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
27-Oct-2020 - 00:00,25.42,,43.97,0.92,271.92,1.08,42.56,225.84,1.27,345.24,85.22,27.13,66.67,23.24,11.67,362.83,708.08,28-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
28-Oct-2020 - 00:00,24.72,,40.95,0.9,268.75,1.16,48.51,233.31,1.27,461.68,77.15,20.95,56.83,42.98,11.98,254.26,715.95,29-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
29-Oct-2020 - 00:00,25.02,,43.18,0.58,205.43,0.81,48.3,179.1,1.14,501.25,71.96,34.11,65.43,42.92,11.68,282.39,783.64,30-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
30-Oct-2020 - 00:00,25.27,,42.35,0.99,280.99,1.23,48.72,138.04,0.78,498.29,64.03,11.32,42.01,33.17,10.75,282.64,780.92,31-Oct-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
31-Oct-2020 - 00:00,25.43,,39.69,1.19,299.29,1.29,47.5,146.73,0.53,499.21,49.66,6.13,30.53,19.16,8.86,283.73,782.86,01-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
01-Nov-2020 - 00:00,24.53,,40.91,1.22,286.45,1.44,41.65,262.4,0.47,499.66,49.05,5.15,29.85,19.41,8.61,281.04,780.7,02-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
02-Nov-2020 - 00:00,22.89,,38.15,1.25,282.73,1.49,40.7,222.52,0.55,499.46,53.02,6.21,32.11,19.22,8.89,281.96,781.42,03-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
03-Nov-2020 - 00:00,21.99,,39.03,1.18,277.67,1.42,45.8,247.36,0.86,500.24,73.79,34.38,66.31,19.33,8.9,281.43,781.67,04-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
04-Nov-2020 - 00:00,22.53,,37.5,0.85,264.72,1.17,47.0,229.06,0.56,499.53,89.18,27.1,68.81,19.38,8.9,281.61,781.13,05-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
05-Nov-2020 - 00:00,20.65,,56.02,0.72,252.19,1.22,29.62,308.67,0.65,525.16,80.11,42.39,76.24,19.64,8.57,298.11,782.28,06-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
06-Nov-2020 - 00:00,22.12,,60.13,0.58,262.17,1.0,37.53,408.26,0.74,644.32,101.08,26.17,73.11,18.75,5.73,377.41,783.2,07-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
07-Nov-2020 - 00:00,21.72,,55.59,0.69,252.53,1.09,37.5,335.22,0.72,678.24,103.24,32.3,76.46,17.6,6.65,401.41,788.26,08-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
08-Nov-2020 - 00:00,21.81,,59.89,0.54,208.47,0.83,39.31,327.47,1.07,634.34,93.57,77.69,108.15,17.69,9.04,370.96,784.08,09-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
09-Nov-2020 - 00:00,21.63,,60.6,0.53,229.24,0.82,36.01,340.47,1.28,459.26,116.11,96.45,137.04,18.27,10.79,271.92,717.22,10-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
10-Nov-2020 - 00:00,22.24,,60.42,0.69,110.07,0.79,40.5,275.29,0.77,339.71,92.47,124.47,148.58,19.7,10.79,235.53,493.34,11-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
11-Nov-2020 - 00:00,22.79,,58.94,0.69,111.42,0.82,42.02,220.74,1.02,746.99,84.0,92.98,118.95,36.1,10.79,579.85,1000.0,12-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
12-Nov-2020 - 00:00,23.36,,58.87,0.44,128.97,0.74,36.36,235.04,1.13,707.97,88.95,77.53,109.27,35.77,10.77,394.36,790.7,13-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
13-Nov-2020 - 00:00,23.43,,56.27,0.57,215.11,0.88,38.42,209.25,0.96,529.85,81.99,24.08,62.27,34.86,10.77,321.02,790.2,14-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
14-Nov-2020 - 00:00,22.64,,54.8,0.53,220.56,0.85,39.25,257.62,1.07,653.16,59.94,31.75,57.17,47.11,10.97,468.54,808.16,15-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
15-Nov-2020 - 00:00,23.22,,58.43,0.55,120.15,0.8,34.98,401.56,1.35,558.51,69.85,51.64,78.25,54.65,8.93,431.23,923.73,16-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
16-Nov-2020 - 00:00,18.91,,89.62,0.58,155.2,0.97,39.58,90.1,1.69,499.69,32.42,21.18,33.4,39.24,9.83,292.12,791.81,17-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
17-Nov-2020 - 00:00,21.17,,83.4,1.07,280.36,1.3,44.87,77.82,1.9,498.92,32.71,12.81,26.99,39.12,10.07,285.36,784.28,18-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
18-Nov-2020 - 00:00,20.9,,78.0,0.74,234.28,1.06,39.54,115.09,1.57,500.38,53.73,15.66,40.88,39.39,9.57,287.27,787.64,19-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
19-Nov-2020 - 00:00,20.95,,71.02,0.52,141.74,0.84,29.88,160.8,1.56,500.93,71.26,26.86,59.2,39.36,12.01,285.58,786.51,20-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
20-Nov-2020 - 00:00,19.88,,57.97,1.2,256.74,1.3,43.46,144.95,1.16,498.97,50.59,11.16,34.69,31.96,12.07,285.85,784.83,21-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
21-Nov-2020 - 00:00,17.79,,52.49,1.78,293.05,1.84,45.89,116.22,0.34,499.6,39.5,10.91,29.53,22.48,10.59,285.86,785.46,22-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
22-Nov-2020 - 00:00,16.76,,49.71,1.47,285.08,1.6,44.92,113.69,0.87,499.7,47.34,13.45,34.68,22.67,8.33,286.5,786.2,23-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
23-Nov-2020 - 00:00,16.68,,59.53,0.74,231.88,1.0,39.24,242.0,0.93,500.21,82.79,64.28,94.42,19.35,5.72,285.89,786.09,24-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
24-Nov-2020 - 00:00,17.51,,61.52,0.64,176.38,0.78,38.86,256.96,0.61,499.07,96.14,93.79,125.99,17.85,3.77,286.03,785.1,25-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
25-Nov-2020 - 00:00,18.61,,62.4,0.63,74.3,0.89,34.29,294.17,0.98,499.63,98.71,80.89,116.84,17.91,3.2,288.13,787.77,26-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
26-Nov-2020 - 00:00,19.12,,65.19,0.65,139.27,0.9,35.16,261.46,0.9,525.06,98.85,37.39,81.95,41.89,3.74,269.61,794.7,27-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
27-Nov-2020 - 00:00,19.69,,64.77,1.08,277.66,1.24,40.2,159.78,0.72,591.5,64.2,28.03,56.38,52.6,8.65,246.64,792.99,28-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
28-Nov-2020 - 00:00,19.49,,57.41,1.32,287.6,1.5,41.68,108.86,1.03,625.21,63.07,17.65,44.36,52.65,9.02,320.35,831.51,29-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
29-Nov-2020 - 00:00,19.44,,51.51,1.19,285.25,1.4,39.86,133.6,1.19,573.92,66.61,12.61,38.78,36.65,14.54,312.75,735.71,30-Nov-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
30-Nov-2020 - 00:00,18.57,,52.99,0.82,292.65,1.15,40.04,158.87,1.72,670.81,76.41,20.41,49.95,48.28,6.8,245.37,,01-Dec-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
01-Dec-2020 - 00:00,15.19,,69.68,0.3,285.98,0.96,9.0,204.3,0.04,675.35,89.7,24.12,61.02,60.56,9.73,243.05,,02-Dec-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
