from date,Temp,BP,RH,VWS,WD,WS,SR,PM2.5,CO,CH4,NO2,NO,NOx,NH3,SO2,NMHC,THC,to date,station
06-Feb-2020 - 00:00,15.5,,62.34,0.02,225.57,0.38,157.53,192.32,0.59,399.84,18.51,12.48,19.83,0.1,8.49,470.17,870.0,07-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
07-Feb-2020 - 00:00,15.74,,57.52,0.07,172.77,0.38,158.39,182.55,0.44,398.78,42.23,16.52,34.08,21.69,4.48,474.06,872.84,08-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
08-Feb-2020 - 00:00,14.82,,60.67,0.29,301.0,0.59,171.95,203.68,0.56,403.02,76.94,42.85,74.17,18.41,7.45,477.71,880.73,09-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
09-Feb-2020 - 00:00,16.01,,65.18,-0.07,251.91,0.37,159.33,175.41,0.77,400.15,150.91,51.71,120.36,6.45,6.19,471.67,871.82,10-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
10-Feb-2020 - 00:00,16.03,,62.27,0.43,302.85,0.63,183.4,159.77,1.07,519.31,130.67,55.63,111.0,9.35,4.84,475.8,827.14,11-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
11-Feb-2020 - 00:00,15.76,,59.14,0.29,297.12,0.56,189.62,165.46,1.05,797.06,98.21,59.76,100.05,11.12,6.46,501.55,801.09,12-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
12-Feb-2020 - 00:00,16.47,,65.92,0.58,299.56,0.82,169.82,120.87,0.96,797.02,68.73,69.83,92.41,8.6,8.94,497.39,804.94,13-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
13-Feb-2020 - 00:00,18.34,,69.13,0.94,293.51,1.05,180.62,111.56,1.03,796.61,52.35,50.24,67.39,9.25,5.55,499.72,803.3,14-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
14-Feb-2020 - 00:00,19.08,,63.46,1.5,304.13,1.42,195.48,73.26,0.99,800.26,30.06,13.35,26.52,1.42,5.08,508.22,802.57,15-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
15-Feb-2020 - 00:00,18.1,,51.95,1.05,292.21,1.08,213.87,96.34,1.06,,30.4,27.83,38.43,3.94,8.53,,,16-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
16-Feb-2020 - 00:00,18.73,,64.04,0.05,264.71,0.41,178.3,172.74,1.12,,39.66,40.14,53.16,7.13,5.87,,,17-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
17-Feb-2020 - 00:00,19.54,,69.62,0.55,302.27,0.7,166.85,107.97,1.04,799.97,32.41,39.05,48.48,4.48,4.78,506.01,816.42,18-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
18-Feb-2020 - 00:00,18.85,,53.62,1.33,284.87,1.07,206.69,118.78,1.16,796.44,29.52,30.54,40.11,2.53,4.63,504.1,797.05,19-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
19-Feb-2020 - 00:00,19.51,,54.48,0.24,198.31,0.35,226.76,129.14,0.9,794.13,54.02,48.24,67.33,9.8,10.03,501.69,799.46,20-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
20-Feb-2020 - 00:00,21.18,,56.61,0.5,120.43,0.62,166.47,174.93,0.53,0.0,53.32,32.82,44.94,,5.44,0.0,0.0,21-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
21-Feb-2020 - 00:00,18.93,,77.69,1.25,119.26,0.87,102.56,86.47,1.05,,18.2,27.02,31.29,0.04,10.52,,,22-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
22-Feb-2020 - 00:00,19.33,,76.98,0.01,73.83,0.36,150.23,49.37,1.16,500.33,21.84,25.38,31.93,,13.78,302.73,808.1,23-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
23-Feb-2020 - 00:00,21.48,,75.26,-0.2,100.65,0.26,146.36,93.65,0.96,499.76,22.5,25.62,32.47,,10.56,301.89,804.88,24-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
24-Feb-2020 - 00:00,20.78,,78.77,0.11,156.45,0.35,119.33,101.59,1.0,499.16,27.66,28.49,37.32,1.85,8.57,301.39,796.74,25-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
25-Feb-2020 - 00:00,18.16,,80.18,0.28,83.53,0.44,131.61,55.77,1.06,497.43,28.28,19.11,30.12,1.74,2.38,299.97,804.52,26-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
26-Feb-2020 - 00:00,18.68,,75.0,-0.07,123.23,0.31,181.71,43.53,0.91,500.83,36.21,20.57,34.94,5.11,2.67,303.91,804.47,27-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
27-Feb-2020 - 00:00,19.01,,77.22,0.08,160.97,0.38,143.16,61.41,0.98,369.97,43.48,8.74,29.84,9.13,4.38,202.06,515.89,28-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
28-Feb-2020 - 00:00,20.32,,74.12,-0.02,133.05,0.35,167.33,66.47,0.91,,64.17,7.47,39.54,13.41,3.54,566.96,,29-Feb-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
29-Feb-2020 - 00:00,21.71,,70.23,0.09,142.43,0.43,151.63,83.03,1.11,,52.6,2.06,29.02,12.24,5.87,279.9,,01-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
01-Mar-2020 - 00:00,22.13,,71.69,0.57,134.4,0.49,174.18,54.43,0.99,,33.66,0.58,18.07,16.05,3.07,155.49,,02-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
02-Mar-2020 - 00:00,23.0,,68.12,0.05,261.33,0.35,155.55,57.24,0.98,683.01,38.2,1.77,21.59,14.68,3.14,96.46,723.25,03-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
03-Mar-2020 - 00:00,23.54,999.66,61.36,0.23,161.55,0.51,167.93,95.57,1.06,704.69,34.76,2.75,20.66,15.21,4.31,113.71,761.96,04-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
04-Mar-2020 - 00:00,22.86,999.9,57.09,0.3,145.85,0.42,103.39,115.86,0.96,716.4,54.83,4.59,32.46,11.38,4.33,111.62,730.11,05-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
05-Mar-2020 - 00:00,20.94,1000.0,74.66,0.32,113.81,0.46,103.9,133.72,1.07,663.44,42.3,3.92,25.04,13.06,3.91,107.4,728.44,06-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
06-Mar-2020 - 00:00,19.82,998.93,77.48,0.71,112.14,0.58,109.8,74.99,1.05,733.38,32.05,3.15,19.51,15.34,2.86,79.01,809.87,07-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
07-Mar-2020 - 00:00,19.35,,85.16,0.67,140.0,0.72,128.58,55.05,1.1,743.83,25.72,3.24,16.26,16.75,2.96,83.4,796.78,08-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
08-Mar-2020 - 00:00,19.45,,75.21,0.66,261.29,0.82,145.22,56.72,1.06,784.8,25.6,3.15,16.14,16.87,3.12,52.53,800.92,09-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
09-Mar-2020 - 00:00,19.58,,63.29,1.25,298.79,1.19,171.36,54.41,1.01,783.12,22.33,2.64,13.99,17.67,3.37,57.83,835.54,10-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
10-Mar-2020 - 00:00,18.07,,65.94,0.09,253.54,0.5,63.81,108.92,0.98,748.69,26.44,2.77,16.28,16.38,3.02,61.03,778.0,11-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
11-Mar-2020 - 00:00,20.66,,70.69,0.12,107.04,0.45,112.94,74.28,0.93,603.05,33.57,4.34,20.51,14.89,3.43,58.42,635.71,12-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
12-Mar-2020 - 00:00,23.68,,74.22,0.22,142.59,0.44,145.23,75.6,1.02,742.66,32.15,3.54,19.94,16.16,3.13,53.75,778.62,13-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
13-Mar-2020 - 00:00,20.05,,86.92,0.59,109.1,0.49,67.98,61.43,1.14,197.18,24.35,23.06,31.38,17.32,3.43,79.17,229.88,14-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
14-Mar-2020 - 00:00,19.5,,85.96,0.21,153.99,0.4,,36.55,1.02,404.08,23.55,51.26,53.71,16.21,3.07,56.64,458.77,15-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
15-Mar-2020 - 00:00,20.65,,80.78,0.19,157.24,0.46,,50.3,1.05,725.73,16.33,38.49,39.48,20.32,2.29,42.82,749.19,16-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
16-Mar-2020 - 00:00,20.46,,67.75,0.47,302.71,0.64,,63.99,0.98,764.25,22.67,36.5,41.19,22.25,3.03,58.72,783.11,17-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
17-Mar-2020 - 00:00,21.82,,59.92,0.82,314.01,0.87,,108.01,0.86,451.64,30.57,42.3,50.1,19.35,3.37,69.42,478.59,18-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
18-Mar-2020 - 00:00,22.88,,55.12,1.0,309.21,1.04,,99.92,0.97,591.85,24.15,35.94,41.6,19.84,4.22,68.4,651.84,19-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
19-Mar-2020 - 00:00,24.06,,58.13,0.53,298.77,0.73,929.1,120.88,1.06,711.36,32.73,49.24,56.8,19.29,3.3,90.87,747.82,20-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
20-Mar-2020 - 00:00,25.97,999.33,57.21,0.12,192.82,0.4,932.0,152.45,0.97,352.22,48.82,71.43,83.11,21.21,3.38,123.66,383.81,21-Mar-2020 - 00:00,"Talkatora District Industries Center, Lucknow - CPCB"
