from date,NO2,SO2,CO,Ozone,PM2.5,PM10,NH3,Benzene,RH,SR,WS,WD,RF,to date,station
26-Feb-2020 - 00:00,6.68,28.06,,14.84,35.42,77.34,11.69,0.9,86.36,,0.58,155.25,0.0,27-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
27-Feb-2020 - 00:00,5.98,19.67,,15.55,47.74,104.26,11.64,0.71,90.58,,0.94,131.93,0.0,28-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
28-Feb-2020 - 00:00,4.43,16.88,,16.93,38.43,83.92,10.73,2.61,91.18,,1.64,134.82,0.0,29-Feb-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
29-Feb-2020 - 00:00,4.11,13.14,,16.54,22.6,49.35,10.38,2.91,88.32,58.83,1.14,127.45,0.01,01-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
01-Mar-2020 - 00:00,3.38,11.89,,15.56,13.22,28.86,10.3,0.41,77.79,11.4,1.08,221.44,0.0,02-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
02-Mar-2020 - 00:00,7.35,17.4,,17.03,20.09,43.86,10.79,0.97,74.66,,1.14,274.8,0.0,03-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
03-Mar-2020 - 00:00,19.27,23.59,,17.18,27.75,60.58,13.49,2.21,78.93,,1.32,283.42,0.0,04-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
04-Mar-2020 - 00:00,24.08,15.21,,16.92,32.77,71.54,15.77,1.13,74.33,171.36,0.56,179.12,0.0,05-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
05-Mar-2020 - 00:00,16.89,19.45,1.5,18.03,21.69,47.37,11.71,0.3,75.17,149.22,1.74,143.08,0.01,06-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
06-Mar-2020 - 00:00,18.18,13.34,1.45,17.43,14.96,32.41,16.65,0.03,93.17,149.48,1.91,134.37,0.07,07-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
07-Mar-2020 - 00:00,30.84,13.71,1.45,16.41,12.81,27.99,31.94,0.05,94.33,180.66,1.2,137.77,0.07,08-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
08-Mar-2020 - 00:00,22.3,16.11,1.45,15.48,20.64,45.06,23.52,0.34,83.75,149.45,1.26,257.69,0.0,09-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
09-Mar-2020 - 00:00,19.66,12.87,,16.17,26.82,58.56,21.05,0.32,76.85,149.32,2.26,306.16,0.0,10-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
10-Mar-2020 - 00:00,22.31,25.96,,17.13,34.09,74.44,24.24,0.87,72.48,149.32,0.96,272.09,0.0,11-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
11-Mar-2020 - 00:00,18.77,12.38,,17.13,22.76,49.69,20.58,0.81,91.74,149.43,1.07,127.5,0.09,12-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
12-Mar-2020 - 00:00,16.93,18.34,,18.91,22.88,50.1,18.69,0.55,85.96,149.43,1.9,161.82,0.0,13-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
13-Mar-2020 - 00:00,5.12,11.95,,20.33,15.04,43.36,13.12,0.42,81.0,357.09,1.94,150.64,0.1,14-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
14-Mar-2020 - 00:00,4.43,6.98,,17.25,8.23,32.38,13.13,0.0,95.0,350.63,1.0,181.14,0.19,15-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
15-Mar-2020 - 00:00,,15.45,,17.64,13.53,40.15,,0.46,79.7,245.54,0.99,246.0,0.0,16-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
16-Mar-2020 - 00:00,11.94,19.49,,18.78,17.67,73.22,18.11,0.62,79.9,262.43,1.86,308.12,0.0,17-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
17-Mar-2020 - 00:00,7.96,25.99,,18.36,41.23,84.83,15.71,0.94,79.18,267.26,1.9,304.85,0.0,18-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
18-Mar-2020 - 00:00,12.03,21.45,,18.07,49.38,101.53,20.07,1.63,79.19,257.42,1.58,297.37,0.0,19-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
19-Mar-2020 - 00:00,8.82,20.23,,18.11,45.82,94.27,15.59,2.03,78.83,254.48,1.11,291.68,0.0,20-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
20-Mar-2020 - 00:00,11.73,19.11,,16.66,38.19,78.56,19.67,1.46,77.49,226.41,0.47,168.78,0.0,21-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
21-Mar-2020 - 00:00,11.59,16.55,,16.81,43.4,89.31,19.79,2.1,81.09,203.68,0.82,202.13,0.01,22-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
22-Mar-2020 - 00:00,9.62,10.01,,17.84,17.21,35.63,16.55,0.34,73.14,268.79,1.06,273.47,0.0,23-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
23-Mar-2020 - 00:00,8.87,9.14,,17.49,20.65,43.68,15.85,0.5,75.75,272.48,0.81,253.39,0.0,24-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
24-Mar-2020 - 00:00,7.99,10.8,,16.81,18.87,38.82,15.04,0.48,84.74,217.76,1.45,163.16,0.0,25-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
25-Mar-2020 - 00:00,6.98,9.6,,17.36,15.12,31.12,14.69,0.18,79.95,257.76,1.21,270.66,0.0,26-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
26-Mar-2020 - 00:00,6.45,8.59,,16.95,17.57,36.16,13.54,0.29,82.12,216.48,1.47,280.76,0.0,27-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
27-Mar-2020 - 00:00,5.53,6.58,,15.91,16.07,33.07,13.29,0.2,91.97,173.41,1.17,152.89,0.02,28-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
28-Mar-2020 - 00:00,5.49,7.63,,17.72,13.19,27.14,13.14,0.16,82.39,289.83,1.47,251.43,0.0,29-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
29-Mar-2020 - 00:00,5.45,13.63,,18.6,14.65,30.14,13.11,0.21,74.22,292.25,2.51,315.67,0.0,30-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
30-Mar-2020 - 00:00,6.01,15.3,,18.72,17.43,34.94,13.51,0.34,72.6,277.76,2.26,309.06,0.0,31-Mar-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
31-Mar-2020 - 00:00,6.12,7.96,,17.4,19.96,36.8,13.53,0.6,85.08,174.64,1.41,220.6,0.0,01-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
01-Apr-2020 - 00:00,5.91,12.36,,17.49,14.82,31.17,12.78,0.16,72.18,283.24,1.52,271.47,0.0,02-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
02-Apr-2020 - 00:00,5.92,10.11,,19.23,17.18,38.67,13.23,0.31,63.69,296.12,2.17,310.34,0.0,03-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
03-Apr-2020 - 00:00,6.66,12.95,,19.16,17.06,36.83,13.04,0.41,55.63,300.1,2.14,306.22,0.0,04-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
04-Apr-2020 - 00:00,7.07,11.96,,19.29,20.12,40.63,13.63,0.54,59.4,290.96,1.74,288.2,0.0,05-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
05-Apr-2020 - 00:00,6.92,8.3,,18.25,23.05,44.62,13.99,0.64,63.95,286.73,0.59,189.98,0.0,06-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
06-Apr-2020 - 00:00,6.28,7.94,,18.99,21.82,58.11,13.28,0.11,59.54,283.22,1.62,262.93,0.0,07-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
07-Apr-2020 - 00:00,5.23,9.35,,18.45,17.23,41.38,12.74,0.15,69.17,192.26,2.29,283.36,0.0,08-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
08-Apr-2020 - 00:00,5.19,6.89,,18.71,15.82,31.34,12.6,0.24,59.13,297.26,1.6,306.9,0.0,09-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
09-Apr-2020 - 00:00,6.14,11.02,,18.37,26.68,60.24,13.07,0.31,59.25,273.12,1.39,298.13,0.0,10-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
10-Apr-2020 - 00:00,6.32,9.26,,18.73,20.58,50.9,13.29,0.0,51.2,273.23,1.55,299.71,0.0,11-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
11-Apr-2020 - 00:00,5.96,8.68,,18.83,24.33,47.68,13.01,0.0,50.7,283.79,1.41,297.45,0.0,12-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
12-Apr-2020 - 00:00,5.9,8.95,,19.21,18.91,44.71,13.07,0.0,48.68,259.64,1.65,308.31,0.0,13-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
13-Apr-2020 - 00:00,5.74,6.63,,19.45,21.6,51.49,13.22,0.0,45.47,278.2,1.79,315.85,0.0,14-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
14-Apr-2020 - 00:00,5.98,5.0,,18.64,28.52,62.87,13.11,0.0,46.46,257.31,0.88,170.4,0.0,15-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
15-Apr-2020 - 00:00,6.69,6.07,,18.73,32.48,76.38,13.87,0.0,35.55,257.74,0.98,201.17,0.0,16-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
16-Apr-2020 - 00:00,6.77,9.41,,19.6,34.3,83.05,13.54,0.0,39.53,258.09,1.69,301.86,0.0,17-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
17-Apr-2020 - 00:00,5.81,5.38,,17.7,23.05,53.78,13.2,0.0,48.36,193.24,1.31,218.77,0.0,18-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
18-Apr-2020 - 00:00,6.04,3.39,,18.37,15.69,37.32,12.43,0.0,67.05,262.29,1.26,151.82,0.26,19-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
19-Apr-2020 - 00:00,5.79,4.02,,18.07,18.49,28.81,12.69,0.0,55.09,274.3,1.45,301.53,0.0,20-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
20-Apr-2020 - 00:00,6.49,4.58,,17.15,19.88,39.68,12.83,0.0,65.02,170.32,0.86,240.87,0.01,21-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
21-Apr-2020 - 00:00,6.26,3.55,,17.54,15.52,36.11,12.7,0.07,60.87,264.56,1.0,301.89,0.0,22-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
22-Apr-2020 - 00:00,6.86,5.14,,17.58,23.55,44.8,13.32,0.0,50.32,270.75,0.6,277.15,0.0,23-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
23-Apr-2020 - 00:00,8.34,6.45,,17.51,28.02,57.7,15.21,0.0,42.06,273.63,0.74,237.86,0.0,24-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
24-Apr-2020 - 00:00,8.22,7.3,,17.74,38.77,85.38,15.29,0.0,40.84,266.48,0.72,191.11,0.0,25-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
25-Apr-2020 - 00:00,8.7,9.0,,17.32,40.24,88.18,15.53,0.0,51.11,200.43,0.99,196.9,0.0,26-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
26-Apr-2020 - 00:00,6.86,4.91,,17.95,25.05,54.6,13.76,0.0,61.45,242.44,1.53,166.86,0.0,27-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
27-Apr-2020 - 00:00,5.82,4.12,,18.89,15.94,25.71,12.52,0.0,75.29,216.39,1.61,135.46,0.02,28-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
28-Apr-2020 - 00:00,6.56,9.33,,18.59,18.48,46.62,13.88,0.0,54.93,263.78,0.84,214.43,0.0,29-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
29-Apr-2020 - 00:00,7.08,5.54,,18.73,27.98,74.79,14.32,0.0,50.52,266.17,0.86,231.01,0.0,30-Apr-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
30-Apr-2020 - 00:00,7.25,4.3,,20.43,37.09,84.86,14.39,0.0,56.18,260.07,0.92,202.71,0.0,01-May-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
01-May-2020 - 00:00,7.07,6.09,,20.37,35.86,87.34,14.29,0.0,49.56,270.58,1.06,193.82,0.0,02-May-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
02-May-2020 - 00:00,6.2,4.14,,22.41,35.32,77.5,12.76,0.0,64.3,217.37,1.59,151.12,0.02,03-May-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
03-May-2020 - 00:00,5.67,3.46,,22.14,20.23,49.07,12.92,0.0,69.44,276.79,1.23,185.08,0.04,04-May-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
04-May-2020 - 00:00,6.01,5.16,,20.94,14.6,34.67,12.63,0.0,61.75,271.66,1.02,270.7,0.0,05-May-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
05-May-2020 - 00:00,6.74,6.93,,21.15,30.92,77.24,14.24,0.0,46.48,287.99,1.43,286.27,0.0,06-May-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
06-May-2020 - 00:00,6.83,8.0,,21.21,31.25,87.8,14.31,0.0,46.87,240.09,1.32,223.52,0.0,07-May-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
07-May-2020 - 00:00,7.03,7.79,,21.96,29.31,72.86,13.98,0.0,39.1,301.07,1.01,241.09,0.0,08-May-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
08-May-2020 - 00:00,7.63,13.1,,21.25,40.35,92.24,14.65,0.0,34.76,288.82,0.93,252.5,0.0,09-May-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
09-May-2020 - 00:00,7.34,14.17,,22.72,48.1,128.58,13.94,0.0,44.35,265.37,1.0,160.61,0.0,10-May-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
10-May-2020 - 00:00,6.89,7.94,,21.03,28.67,93.21,13.34,0.0,61.56,185.33,1.54,155.89,0.01,11-May-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
11-May-2020 - 00:00,6.64,11.33,,20.46,27.62,59.83,13.55,0.0,55.65,251.62,1.62,141.09,0.0,12-May-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
12-May-2020 - 00:00,6.4,4.68,,20.58,25.53,57.12,13.41,0.0,60.41,249.21,0.74,199.47,0.02,13-May-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
13-May-2020 - 00:00,6.93,6.23,,19.65,38.77,88.41,13.87,0.0,72.11,173.7,0.42,190.93,0.01,14-May-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
14-May-2020 - 00:00,6.76,6.71,,21.39,32.2,88.92,13.83,0.0,66.1,278.55,2.44,239.88,0.0,15-May-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
15-May-2020 - 00:00,6.09,8.78,,24.62,20.71,51.09,12.83,0.0,46.24,253.97,2.42,315.9,0.0,16-May-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
16-May-2020 - 00:00,7.75,20.09,,24.44,38.53,85.22,14.82,0.0,40.94,196.33,2.24,312.78,0.0,17-May-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
17-May-2020 - 00:00,8.22,15.49,,23.7,46.93,98.81,15.33,0.0,31.81,265.14,1.22,273.68,0.0,18-May-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
18-May-2020 - 00:00,8.48,13.11,,21.75,41.81,119.58,15.71,0.0,28.28,220.97,1.85,304.93,0.0,19-May-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
19-May-2020 - 00:00,7.67,13.85,,19.91,35.24,89.56,15.17,0.0,26.4,255.67,1.68,268.0,0.0,20-May-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
20-May-2020 - 00:00,7.65,28.84,,20.98,40.73,103.04,14.31,0.0,28.51,264.48,2.22,311.72,0.0,21-May-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
21-May-2020 - 00:00,9.55,31.53,,19.26,45.54,133.01,16.66,0.0,26.86,212.22,2.38,306.69,0.0,22-May-2020 - 00:00,"Kalal Majra, Khanna - PPCB"
