from date,PM10,PM2.5,NOx,NO2,NO,CO,CO2,Ozone,to date,station
09-Mar-2020 - 00:00,104.58,45.37,21.37,14.12,7.25,1.21,,42.4,10-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
10-Mar-2020 - 00:00,140.18,71.06,22.1,14.66,7.44,1.39,,45.99,11-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
11-Mar-2020 - 00:00,92.23,53.0,17.95,10.76,7.18,1.42,,50.85,12-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
12-Mar-2020 - 00:00,144.09,48.51,22.38,14.6,7.78,1.5,,38.3,13-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
13-Mar-2020 - 00:00,188.21,49.24,23.69,15.61,8.08,1.43,,38.79,14-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
14-Mar-2020 - 00:00,98.39,44.41,21.21,13.47,7.74,1.46,,31.84,15-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
15-Mar-2020 - 00:00,125.07,54.74,30.14,18.21,11.93,1.34,,37.8,16-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
16-Mar-2020 - 00:00,136.92,58.09,27.68,18.9,8.5,1.2,,40.16,17-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
17-Mar-2020 - 00:00,138.37,62.83,27.62,19.8,7.82,1.17,,46.49,18-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
18-Mar-2020 - 00:00,152.53,73.87,37.5,26.27,11.23,1.34,,41.31,19-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
19-Mar-2020 - 00:00,167.78,79.98,35.05,23.77,11.28,1.54,,45.71,20-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
20-Mar-2020 - 00:00,163.28,85.89,26.36,17.93,8.43,1.4,,56.98,21-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
21-Mar-2020 - 00:00,119.34,54.4,23.83,15.69,8.14,1.15,,53.07,22-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
22-Mar-2020 - 00:00,143.59,84.37,27.7,17.56,10.14,1.25,,44.95,23-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
23-Mar-2020 - 00:00,98.7,55.05,19.6,11.99,7.6,1.04,,44.24,24-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
24-Mar-2020 - 00:00,99.92,59.15,19.21,11.54,7.67,1.26,,39.35,25-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
25-Mar-2020 - 00:00,60.22,32.0,18.97,10.74,8.23,1.07,,33.83,26-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
26-Mar-2020 - 00:00,59.87,30.16,19.61,11.29,8.33,0.82,,30.67,27-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
27-Mar-2020 - 00:00,33.54,18.38,15.29,7.94,7.35,0.85,,33.36,28-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
28-Mar-2020 - 00:00,27.69,17.12,17.16,9.49,7.67,0.64,,35.36,29-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
29-Mar-2020 - 00:00,51.36,23.31,17.87,10.16,7.71,0.62,,42.94,30-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
30-Mar-2020 - 00:00,55.96,30.31,16.67,9.31,7.37,0.64,,46.44,31-Mar-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
31-Mar-2020 - 00:00,56.13,28.48,16.83,9.49,7.34,0.56,,49.92,01-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
01-Apr-2020 - 00:00,59.13,29.09,18.0,10.16,7.84,0.68,,44.08,02-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
02-Apr-2020 - 00:00,55.92,29.44,24.7,19.19,31.18,0.66,,30.9,03-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
03-Apr-2020 - 00:00,42.57,23.15,17.84,10.18,7.66,0.43,,28.63,04-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
04-Apr-2020 - 00:00,61.93,37.21,16.89,9.94,6.95,0.38,,26.66,05-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
05-Apr-2020 - 00:00,94.93,52.39,17.88,10.82,7.06,0.43,,27.41,06-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
06-Apr-2020 - 00:00,102.57,55.48,17.3,10.13,7.17,0.45,474.87,25.29,07-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
07-Apr-2020 - 00:00,87.43,28.86,16.34,9.28,7.06,0.2,475.53,27.18,08-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
08-Apr-2020 - 00:00,77.35,27.58,16.01,8.97,7.03,0.26,,28.48,09-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
09-Apr-2020 - 00:00,66.93,29.82,16.29,9.23,7.07,0.26,,30.69,10-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
10-Apr-2020 - 00:00,96.82,50.18,17.51,10.37,7.14,0.37,,26.35,11-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
11-Apr-2020 - 00:00,109.98,54.32,19.26,11.71,7.55,0.74,,27.81,12-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
12-Apr-2020 - 00:00,68.78,30.28,20.11,16.22,20.64,0.63,,28.42,13-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
13-Apr-2020 - 00:00,129.09,55.14,17.2,10.25,6.95,0.7,,27.28,14-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
14-Apr-2020 - 00:00,129.3,45.47,17.4,10.26,7.14,0.66,,23.94,15-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
15-Apr-2020 - 00:00,195.77,54.97,17.42,10.35,7.07,0.77,,23.01,16-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
16-Apr-2020 - 00:00,172.0,60.48,19.23,12.07,7.16,0.76,,25.99,17-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
17-Apr-2020 - 00:00,92.79,25.89,18.38,9.34,9.03,0.71,,31.62,18-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
18-Apr-2020 - 00:00,91.92,19.12,16.25,9.14,7.11,0.66,,29.63,19-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
19-Apr-2020 - 00:00,64.12,27.41,16.77,9.55,7.21,0.85,,27.69,20-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
20-Apr-2020 - 00:00,92.21,47.75,21.63,11.05,10.61,0.74,,20.37,21-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
21-Apr-2020 - 00:00,73.79,32.5,17.18,9.8,7.38,0.75,,28.29,22-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
22-Apr-2020 - 00:00,101.32,51.1,18.25,10.64,7.61,0.9,,28.32,23-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
23-Apr-2020 - 00:00,118.2,59.91,20.18,18.78,23.7,0.91,,25.34,24-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
24-Apr-2020 - 00:00,99.68,56.74,17.91,10.76,7.15,0.65,,30.41,25-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
25-Apr-2020 - 00:00,63.81,24.29,14.95,7.92,7.03,0.43,,32.64,26-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
26-Apr-2020 - 00:00,148.46,67.17,22.04,15.14,25.29,0.61,,20.11,27-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
27-Apr-2020 - 00:00,36.2,22.64,15.59,8.67,6.92,0.62,,26.61,28-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
28-Apr-2020 - 00:00,64.54,38.27,15.88,8.9,6.98,0.81,,28.23,29-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
29-Apr-2020 - 00:00,99.23,56.32,16.43,9.38,7.05,0.78,,27.74,30-Apr-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
30-Apr-2020 - 00:00,127.08,61.81,16.46,9.33,7.13,0.67,,26.2,01-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
01-May-2020 - 00:00,139.12,61.19,16.47,9.2,7.27,0.68,,31.0,02-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
02-May-2020 - 00:00,104.69,40.37,15.47,8.17,7.3,0.75,,32.58,03-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
03-May-2020 - 00:00,79.6,37.32,15.92,8.57,7.35,0.67,,26.48,04-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
04-May-2020 - 00:00,53.92,31.42,18.55,10.54,8.01,0.52,,23.52,05-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
05-May-2020 - 00:00,102.63,61.55,19.11,11.43,7.69,0.64,,26.28,06-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
06-May-2020 - 00:00,161.34,50.8,17.79,10.43,7.36,0.58,,30.95,07-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
07-May-2020 - 00:00,93.69,40.73,16.68,9.37,7.31,0.52,,32.26,08-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
08-May-2020 - 00:00,105.11,47.96,17.29,9.92,7.37,0.5,,34.02,09-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
09-May-2020 - 00:00,126.43,64.75,16.15,8.81,7.35,0.53,,38.13,10-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
10-May-2020 - 00:00,108.5,47.4,16.42,8.99,7.42,0.53,,31.6,11-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
11-May-2020 - 00:00,101.68,51.6,17.71,10.15,7.56,0.36,,32.56,12-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
12-May-2020 - 00:00,94.37,49.97,18.46,10.82,7.64,0.45,,38.19,13-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
13-May-2020 - 00:00,142.75,64.8,19.64,12.01,7.63,0.63,,33.61,14-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
14-May-2020 - 00:00,141.56,60.83,54.53,21.33,33.27,0.45,,30.05,15-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
15-May-2020 - 00:00,120.55,52.79,228.23,84.87,190.62,0.22,27.67,34.45,16-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
16-May-2020 - 00:00,109.49,79.11,177.93,89.68,128.22,0.51,,38.66,17-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
17-May-2020 - 00:00,142.18,78.26,28.02,20.74,7.28,0.84,,32.55,18-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
18-May-2020 - 00:00,131.49,69.24,30.24,21.69,8.55,0.73,,32.78,19-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
19-May-2020 - 00:00,158.42,80.99,32.76,23.19,9.57,0.96,,31.53,20-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
20-May-2020 - 00:00,139.26,72.51,30.8,21.45,9.35,0.95,,37.98,21-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
21-May-2020 - 00:00,137.68,48.24,28.7,19.44,9.25,1.02,,37.75,22-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
22-May-2020 - 00:00,160.13,62.01,30.9,21.56,9.34,1.22,,31.92,23-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
23-May-2020 - 00:00,184.81,55.89,16.86,12.97,3.88,1.11,,27.47,24-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
24-May-2020 - 00:00,158.64,39.37,14.18,11.38,2.8,1.12,,28.55,25-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
25-May-2020 - 00:00,139.02,51.92,14.2,11.41,2.79,1.22,,29.65,26-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
26-May-2020 - 00:00,167.24,37.19,14.1,11.36,2.74,0.94,,21.96,27-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
27-May-2020 - 00:00,167.25,44.84,14.11,11.37,2.75,0.96,,34.2,28-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
28-May-2020 - 00:00,234.67,43.63,14.11,11.36,2.75,0.97,,35.01,29-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
29-May-2020 - 00:00,57.88,25.63,14.06,11.36,2.7,1.16,,31.46,30-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
30-May-2020 - 00:00,45.35,24.48,14.11,11.37,2.74,1.24,,30.99,31-May-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
31-May-2020 - 00:00,51.66,27.13,19.57,13.51,10.83,1.22,,27.54,01-Jun-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
01-Jun-2020 - 00:00,63.47,41.71,13.66,11.27,2.38,1.4,,26.61,02-Jun-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
02-Jun-2020 - 00:00,93.53,44.34,13.74,11.29,2.45,1.42,,29.32,03-Jun-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
03-Jun-2020 - 00:00,106.54,45.65,13.8,11.29,2.51,1.27,,28.08,04-Jun-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
04-Jun-2020 - 00:00,123.03,57.41,13.83,11.32,2.51,1.35,,23.33,05-Jun-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
05-Jun-2020 - 00:00,60.71,37.53,13.85,11.3,2.55,1.26,,20.06,06-Jun-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
06-Jun-2020 - 00:00,70.13,36.94,13.89,11.31,2.58,1.23,,24.52,07-Jun-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
07-Jun-2020 - 00:00,85.97,45.13,13.92,11.33,2.59,1.32,,23.33,08-Jun-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
08-Jun-2020 - 00:00,92.96,50.72,13.93,11.34,2.59,1.41,,22.83,09-Jun-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
09-Jun-2020 - 00:00,133.58,60.8,18.87,14.95,3.68,1.03,,27.64,10-Jun-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
10-Jun-2020 - 00:00,122.43,43.99,24.66,20.07,4.59,0.8,,49.22,11-Jun-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
11-Jun-2020 - 00:00,111.54,45.32,23.93,19.72,4.21,0.8,,58.69,12-Jun-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
12-Jun-2020 - 00:00,142.82,71.14,21.52,18.01,3.51,0.9,,112.1,13-Jun-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
13-Jun-2020 - 00:00,132.62,58.78,20.36,16.87,3.48,0.82,,114.79,14-Jun-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
14-Jun-2020 - 00:00,152.08,70.96,21.48,17.63,3.85,0.81,,123.68,15-Jun-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
15-Jun-2020 - 00:00,115.49,49.4,21.56,17.97,3.59,0.59,,125.83,16-Jun-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
16-Jun-2020 - 00:00,104.42,44.46,20.85,17.07,3.76,0.61,,72.9,17-Jun-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
17-Jun-2020 - 00:00,88.28,38.15,20.03,16.71,3.32,0.71,,33.68,18-Jun-2020 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
