from date,WD,RH,SR,NO,NO2,NOx,Ozone,Temp,CO,WS,RF,PM10,PM2.5,NH3,SO2,Benzene,MP-Xylene,to date,station
15-Feb-2020 - 00:00,294.13,64.27,63.26,6.06,37.22,24.64,56.68,13.94,0.61,0.84,0.0,286.22,134.1,13.58,11.96,3.4,2.71,16-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
16-Feb-2020 - 00:00,238.18,69.41,62.3,14.84,44.25,35.41,41.57,14.18,1.21,0.6,0.0,330.31,193.36,11.51,14.95,5.51,4.05,17-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
17-Feb-2020 - 00:00,265.43,70.01,60.41,23.52,45.29,42.91,41.93,14.58,1.18,0.63,0.0,407.84,232.65,13.09,7.91,8.85,5.63,18-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
18-Feb-2020 - 00:00,279.14,63.28,63.51,14.29,46.69,36.27,47.67,14.49,1.16,0.72,0.0,378.11,177.63,11.09,14.54,6.35,3.62,19-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
19-Feb-2020 - 00:00,157.21,69.58,62.09,69.92,56.2,85.88,61.52,14.88,2.29,0.75,0.0,362.21,187.26,15.53,9.24,16.72,10.97,20-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
20-Feb-2020 - 00:00,160.9,62.74,55.9,4.66,41.2,25.64,96.39,16.88,0.7,0.98,0.03,242.18,107.46,14.85,8.63,8.4,4.17,21-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
21-Feb-2020 - 00:00,76.34,86.88,36.5,2.62,22.46,14.05,58.21,13.15,0.35,1.85,0.0,69.7,47.1,13.31,3.6,3.38,1.53,22-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
22-Feb-2020 - 00:00,90.67,82.03,63.53,7.06,26.6,19.79,39.63,14.26,0.59,0.93,0.0,139.2,72.82,11.87,4.81,3.63,2.06,23-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
23-Feb-2020 - 00:00,149.37,81.18,62.45,15.55,32.07,29.5,42.33,15.5,0.73,0.56,0.0,237.24,113.46,14.08,4.92,5.15,3.95,24-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
24-Feb-2020 - 00:00,166.6,78.78,68.65,8.67,31.92,23.91,47.02,15.24,0.52,0.51,0.0,210.65,81.58,13.54,5.99,3.17,2.56,25-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
25-Feb-2020 - 00:00,252.07,81.1,65.87,10.67,37.84,28.66,29.85,15.59,0.91,0.58,0.0,337.79,181.92,12.68,5.52,4.42,3.57,26-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
26-Feb-2020 - 00:00,201.76,78.86,63.44,21.28,35.08,35.69,31.36,15.91,1.12,0.64,0.0,485.38,214.81,12.77,5.02,6.42,4.51,27-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
27-Feb-2020 - 00:00,117.45,80.06,58.64,15.31,34.95,30.84,37.92,16.44,1.08,0.58,0.0,302.15,140.43,10.83,4.51,6.04,3.48,28-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
28-Feb-2020 - 00:00,170.74,74.03,57.99,4.22,31.78,20.28,48.93,17.21,0.59,0.85,0.0,163.51,90.01,13.64,4.44,5.15,2.79,29-Feb-2020 - 00:00,"DTU, Delhi - CPCB"
29-Feb-2020 - 00:00,132.61,76.75,59.56,4.03,29.8,19.07,50.19,16.25,0.45,1.21,0.04,118.68,60.79,13.67,4.54,4.37,2.47,01-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
01-Mar-2020 - 00:00,146.53,75.83,77.01,4.26,28.4,18.52,55.61,16.47,0.49,0.6,0.0,124.36,54.85,12.42,5.08,2.64,2.31,02-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
02-Mar-2020 - 00:00,162.22,80.25,75.56,7.74,31.86,22.86,36.31,16.6,0.76,0.53,0.0,220.08,106.86,15.01,5.21,3.79,2.92,03-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
03-Mar-2020 - 00:00,212.11,73.77,74.05,9.66,28.41,22.72,35.93,16.81,0.68,0.59,0.0,233.79,109.84,14.73,5.93,3.85,3.01,04-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
04-Mar-2020 - 00:00,144.5,72.49,64.82,1.98,22.87,13.64,58.96,16.59,0.66,0.83,0.0,193.34,94.42,15.11,6.11,4.4,2.39,05-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
05-Mar-2020 - 00:00,152.15,76.12,66.73,1.36,18.5,10.87,52.08,15.73,0.35,0.81,0.15,74.93,34.56,13.71,5.14,2.35,1.99,06-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
06-Mar-2020 - 00:00,153.77,86.88,57.75,2.98,12.66,8.99,42.0,13.53,0.34,1.01,0.26,49.25,28.62,22.7,4.83,2.13,2.1,07-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
07-Mar-2020 - 00:00,145.31,82.7,56.98,1.54,5.88,4.02,49.27,14.17,0.49,0.78,0.0,100.08,49.97,20.93,4.65,2.32,2.18,08-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
08-Mar-2020 - 00:00,214.44,81.71,77.74,2.13,5.82,4.26,32.79,14.57,0.73,0.56,0.0,195.17,91.51,21.75,5.07,4.46,2.47,09-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
09-Mar-2020 - 00:00,273.52,72.27,90.31,2.38,6.07,4.88,41.41,15.01,0.39,0.66,0.0,185.12,80.37,24.27,5.44,2.3,1.66,10-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
10-Mar-2020 - 00:00,176.22,68.72,84.66,3.12,4.38,4.58,53.88,15.64,0.43,0.61,0.0,173.29,99.64,24.58,6.67,3.24,1.52,11-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
11-Mar-2020 - 00:00,169.75,72.58,75.45,7.03,20.33,15.77,50.8,16.95,0.45,1.1,0.02,109.39,64.89,46.59,5.9,2.2,1.32,12-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
12-Mar-2020 - 00:00,168.71,69.54,78.84,21.3,45.58,39.65,40.1,18.13,0.67,0.86,0.0,169.42,64.68,100.17,6.26,3.47,4.82,13-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
13-Mar-2020 - 00:00,200.57,56.89,87.57,12.72,5.62,9.79,41.03,22.66,0.64,0.63,0.0,291.38,91.03,8.72,10.9,4.81,4.14,14-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
14-Mar-2020 - 00:00,137.07,74.52,69.25,8.33,61.09,38.97,54.81,20.27,0.36,0.78,0.4,79.93,42.4,33.39,5.85,2.99,2.26,15-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
15-Mar-2020 - 00:00,113.87,72.94,82.57,14.35,57.26,41.25,58.91,19.7,0.49,0.64,0.0,143.0,72.53,30.56,6.94,3.33,2.09,16-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
16-Mar-2020 - 00:00,253.67,68.93,85.23,8.83,55.9,32.96,54.45,21.48,0.47,0.58,0.0,212.17,84.76,27.6,7.08,2.97,2.16,17-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
17-Mar-2020 - 00:00,231.43,66.79,90.32,12.4,57.85,40.69,58.41,22.27,0.59,0.71,0.0,245.0,96.06,29.56,7.15,3.07,2.83,18-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
18-Mar-2020 - 00:00,256.67,64.62,87.52,9.73,49.4,34.06,64.76,23.31,0.52,0.77,0.0,250.42,93.46,25.65,7.46,3.27,2.9,19-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
19-Mar-2020 - 00:00,202.69,67.6,83.08,10.79,44.7,32.41,66.49,23.95,0.71,0.53,0.0,288.52,127.94,26.22,9.29,4.1,2.55,20-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
20-Mar-2020 - 00:00,110.58,63.19,84.79,14.71,49.15,37.91,73.99,24.29,0.93,0.84,0.0,259.57,103.09,28.81,10.5,4.73,2.29,21-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
21-Mar-2020 - 00:00,185.58,62.85,77.01,15.99,45.79,37.19,66.85,24.83,0.9,0.55,0.0,269.74,122.77,27.15,13.31,6.23,2.02,22-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
22-Mar-2020 - 00:00,179.47,62.26,82.59,6.41,25.19,18.53,61.58,24.46,0.56,0.54,0.0,151.0,89.91,16.7,11.42,4.29,1.8,23-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
23-Mar-2020 - 00:00,159.1,57.56,82.99,5.84,18.07,14.29,62.04,24.98,0.34,0.59,0.0,116.62,62.49,13.93,11.36,2.32,1.39,24-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
24-Mar-2020 - 00:00,175.14,63.57,67.46,6.24,21.11,16.22,54.06,24.71,0.4,0.62,0.11,95.43,48.77,15.11,10.69,2.14,1.72,25-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
25-Mar-2020 - 00:00,201.97,66.05,95.6,6.33,14.16,12.6,44.25,25.46,0.32,0.51,0.0,78.72,42.65,14.25,7.85,1.9,1.34,26-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
26-Mar-2020 - 00:00,257.76,67.53,74.55,5.79,11.43,10.71,43.62,24.48,0.29,0.87,0.0,98.88,63.33,13.41,8.54,1.77,1.28,27-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
27-Mar-2020 - 00:00,189.59,73.72,55.14,6.17,11.09,10.84,44.52,22.61,0.15,0.74,0.2,64.81,41.08,11.74,7.65,1.35,1.25,28-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
28-Mar-2020 - 00:00,231.49,72.61,95.47,6.13,9.97,10.12,37.89,23.04,0.17,0.55,0.0,65.0,,11.16,5.97,1.34,1.54,29-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
29-Mar-2020 - 00:00,292.22,61.88,101.56,5.54,8.47,8.69,60.08,24.16,0.13,0.73,0.0,81.0,,9.83,5.98,0.88,1.6,30-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
30-Mar-2020 - 00:00,273.17,59.38,101.13,5.49,8.73,8.95,66.35,23.97,0.22,0.73,0.0,95.09,,9.91,7.21,0.91,1.47,31-Mar-2020 - 00:00,"DTU, Delhi - CPCB"
31-Mar-2020 - 00:00,233.94,56.75,90.39,5.52,9.28,9.36,67.92,24.98,0.19,0.59,0.0,78.28,,9.86,8.64,0.99,1.38,01-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
01-Apr-2020 - 00:00,223.16,56.41,95.46,5.86,14.88,12.36,57.87,25.73,0.22,0.59,0.0,86.15,31.01,12.36,10.48,1.15,1.34,02-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
02-Apr-2020 - 00:00,268.37,54.89,99.65,5.56,18.22,14.13,74.52,25.16,0.16,0.75,0.0,76.61,33.72,12.95,9.1,0.99,1.44,03-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
03-Apr-2020 - 00:00,262.28,49.39,104.94,5.65,18.09,14.14,83.74,24.1,0.22,0.63,0.0,86.72,42.59,12.11,9.55,1.16,1.46,04-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
04-Apr-2020 - 00:00,249.5,51.53,98.94,5.7,20.29,15.35,71.61,24.83,0.32,0.68,0.0,102.7,54.07,13.2,10.12,1.91,1.54,05-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
05-Apr-2020 - 00:00,153.01,52.76,87.86,5.65,21.97,16.21,75.49,25.75,0.42,0.64,0.0,118.02,65.02,14.17,11.93,2.05,1.47,06-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
06-Apr-2020 - 00:00,192.02,47.8,98.64,5.83,23.29,16.1,66.28,28.04,0.43,0.51,0.0,130.33,64.82,14.52,12.09,2.84,1.47,07-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
07-Apr-2020 - 00:00,172.55,50.39,95.38,5.62,19.16,14.56,79.98,26.27,0.18,0.67,0.0,121.25,38.96,13.1,10.91,1.6,1.27,08-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
08-Apr-2020 - 00:00,283.38,44.03,95.98,5.58,18.18,14.13,86.52,26.38,0.16,0.6,0.0,101.4,32.29,12.29,11.52,1.0,1.19,09-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
09-Apr-2020 - 00:00,237.7,45.68,99.02,5.57,19.15,14.64,84.32,26.14,0.29,0.63,0.0,102.64,46.18,12.81,12.24,1.23,1.23,10-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
10-Apr-2020 - 00:00,197.27,43.25,93.78,5.72,22.21,16.39,68.96,27.77,0.37,0.53,0.0,133.42,69.97,13.82,14.65,2.58,1.42,11-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
11-Apr-2020 - 00:00,187.02,42.41,93.37,5.72,22.38,16.49,80.81,29.17,0.4,0.54,0.0,127.14,54.13,14.3,14.31,2.08,1.3,12-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
12-Apr-2020 - 00:00,268.14,42.2,96.3,5.7,20.06,15.09,84.99,28.69,0.28,0.6,0.0,118.95,47.09,13.71,15.08,1.46,1.04,13-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
13-Apr-2020 - 00:00,228.54,43.01,93.94,5.98,22.57,16.78,67.7,29.56,0.45,0.67,0.0,164.46,75.86,15.07,16.85,2.42,1.22,14-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
14-Apr-2020 - 00:00,183.97,44.11,70.08,6.34,29.06,20.53,57.8,30.5,0.66,0.6,0.0,178.82,77.38,17.73,15.83,2.65,1.27,15-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
15-Apr-2020 - 00:00,194.43,36.76,94.56,6.19,27.52,19.6,53.66,31.15,0.53,0.56,0.0,195.16,65.86,16.24,13.04,3.36,1.44,16-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
16-Apr-2020 - 00:00,204.56,36.56,77.28,5.9,25.38,18.21,61.01,29.7,0.54,0.51,0.0,234.17,83.24,15.63,16.81,3.08,1.47,17-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
17-Apr-2020 - 00:00,146.98,35.13,77.92,5.62,20.45,15.37,97.12,30.28,0.19,0.74,0.0,109.72,25.57,14.54,14.15,1.38,0.96,18-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
18-Apr-2020 - 00:00,110.21,46.46,88.54,5.6,17.58,13.83,96.91,28.12,0.19,0.96,0.01,115.76,28.3,13.82,11.3,1.24,1.12,19-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
19-Apr-2020 - 00:00,234.04,48.8,99.55,5.78,20.27,15.39,69.47,27.76,0.23,0.68,0.0,84.25,35.03,14.29,10.94,1.2,1.22,20-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
20-Apr-2020 - 00:00,177.61,48.91,77.66,6.65,23.38,17.76,58.55,26.66,0.47,0.76,0.0,139.05,60.84,15.58,11.79,2.59,1.44,21-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
21-Apr-2020 - 00:00,209.09,48.03,101.86,5.73,18.36,14.34,76.28,26.3,0.27,0.53,0.0,107.58,42.84,13.53,12.3,1.75,1.34,22-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
22-Apr-2020 - 00:00,200.4,41.41,105.58,5.81,21.54,16.11,76.94,27.09,0.43,0.56,0.0,158.93,70.03,14.17,15.74,1.85,1.52,23-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
23-Apr-2020 - 00:00,178.98,41.66,63.85,5.66,23.57,17.05,69.99,28.26,0.57,0.52,0.0,162.06,66.6,15.06,14.88,3.23,1.54,24-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
24-Apr-2020 - 00:00,163.21,45.03,98.84,8.16,24.95,19.82,71.7,28.24,0.7,0.57,0.0,157.42,80.15,17.18,13.24,4.09,1.76,25-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
25-Apr-2020 - 00:00,198.06,39.75,78.24,5.66,18.28,14.24,84.21,28.97,0.24,0.6,0.0,92.34,26.78,13.81,10.79,1.95,1.52,26-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
26-Apr-2020 - 00:00,153.98,54.1,88.22,5.51,17.37,13.65,95.99,25.49,0.3,1.34,0.0,125.22,38.34,13.79,10.49,2.1,0.66,27-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
27-Apr-2020 - 00:00,126.09,58.66,108.15,5.49,14.73,12.21,110.56,25.83,0.24,1.23,0.0,57.65,26.4,13.24,10.23,1.92,0.61,28-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
28-Apr-2020 - 00:00,127.78,54.32,103.87,5.47,17.32,13.59,99.96,27.27,0.37,0.68,0.0,92.18,44.1,13.86,12.4,2.57,0.6,29-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
29-Apr-2020 - 00:00,170.89,50.59,103.43,5.58,18.36,14.23,98.36,29.15,0.42,0.62,0.0,119.02,51.94,14.57,11.66,2.63,0.82,30-Apr-2020 - 00:00,"DTU, Delhi - CPCB"
30-Apr-2020 - 00:00,159.01,48.55,93.07,5.58,18.76,14.39,102.36,29.87,0.42,0.68,0.0,120.92,49.8,14.76,12.45,2.1,0.81,01-May-2020 - 00:00,"DTU, Delhi - CPCB"
