from date,BP,Benzene,MP-Xylene,O Xylene,Toluene,CO,Eth-Benzene,PM2.5,NO,NO2,NOx,Ozone,RH,SR,SO2,VWS,WD,WS,to date,station
22-Nov-2020 - 00:00,850.06,,,,,0.85,,21.96,3.14,11.85,14.56,42.14,57.21,137.79,7.0,-0.05,207.9,0.49,23-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
23-Nov-2020 - 00:00,878.47,,,,,1.05,,21.07,3.21,11.26,14.47,35.25,72.6,112.23,7.0,0.01,242.47,0.55,24-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
24-Nov-2020 - 00:00,865.78,,,,,0.98,,22.9,3.12,11.07,14.19,34.38,80.73,94.17,6.98,0.06,257.61,0.41,25-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
25-Nov-2020 - 00:00,863.53,,,,,0.95,,24.39,3.2,11.61,14.82,41.99,83.8,72.31,6.97,0.07,254.64,0.39,26-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
26-Nov-2020 - 00:00,780.26,,,,,1.04,,18.97,3.3,12.1,15.4,17.68,93.33,46.75,6.99,0.09,248.7,0.43,27-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
27-Nov-2020 - 00:00,834.25,,,,,1.06,,19.66,3.1,11.15,14.17,15.71,87.2,82.67,7.0,0.08,189.3,0.39,28-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
28-Nov-2020 - 00:00,735.27,,,,,0.92,,19.49,2.98,9.69,12.56,35.46,85.7,86.87,7.0,0.08,191.45,0.55,29-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
29-Nov-2020 - 00:00,777.88,,,,,0.88,,20.68,3.14,10.04,13.18,17.19,88.79,68.79,6.98,0.08,238.9,0.41,30-Nov-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
30-Nov-2020 - 00:00,779.38,,,,,0.77,,20.61,2.98,9.74,12.68,29.31,80.17,108.3,6.98,0.07,245.4,0.44,01-Dec-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
01-Dec-2020 - 00:00,700.9,,,,,0.54,,,2.89,9.49,12.38,24.46,93.33,22.86,6.98,0.12,234.75,0.57,02-Dec-2020 - 00:00,"BTM Layout, Bengaluru - CPCB"
