from date,PM2.5,PM10,RH,VWS,BP,SR,AT,WS,WD,SO2,Ozone,NO2,NO,NOx,Benzene,Xylene,Toluene,to date,station
31-May-2020 - 00:00,18.04,,66.25,-0.34,743.65,171.58,25.26,3.02,105.97,37.8,95.51,6.25,9.23,7.68,1.28,3.96,6.01,01-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
01-Jun-2020 - 00:00,28.36,,57.4,-0.36,742.88,183.11,29.34,1.88,182.25,43.3,66.7,5.89,9.97,8.17,2.09,2.89,7.17,02-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
02-Jun-2020 - 00:00,33.28,,53.24,-0.4,743.8,128.06,30.28,1.51,205.44,33.15,59.21,,,,3.18,4.13,10.83,03-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
03-Jun-2020 - 00:00,34.08,,56.02,-0.41,744.76,109.68,30.82,0.59,159.81,48.42,60.84,,,,3.26,4.31,10.05,04-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
04-Jun-2020 - 00:00,20.08,,65.18,-0.39,746.3,62.01,23.69,2.53,153.72,52.67,62.34,,,,2.29,3.05,7.66,05-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
05-Jun-2020 - 00:00,9.9,,83.85,-0.43,749.07,69.59,18.64,2.1,170.0,49.34,54.39,,,,2.13,2.87,6.42,06-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
06-Jun-2020 - 00:00,9.27,,72.3,-0.34,747.24,149.27,23.13,2.1,230.57,49.19,39.03,,,,1.88,2.6,6.05,07-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
07-Jun-2020 - 00:00,19.53,,66.91,-0.33,747.35,177.73,26.97,1.26,186.02,52.33,48.76,,,,1.95,2.31,5.87,08-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
08-Jun-2020 - 00:00,40.3,,64.31,-0.36,747.79,156.17,29.61,0.96,180.83,56.43,56.31,,,,3.3,3.81,10.71,09-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
09-Jun-2020 - 00:00,38.85,,56.01,-0.38,747.56,172.98,33.58,0.55,165.4,52.21,78.99,,,,3.3,3.74,11.26,10-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
10-Jun-2020 - 00:00,39.58,,57.2,-0.4,748.23,170.41,33.26,1.34,127.93,52.86,81.78,,,,2.83,2.42,8.48,11-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
11-Jun-2020 - 00:00,41.04,,59.02,-0.44,749.88,162.25,33.15,2.55,86.05,52.06,81.3,,,,2.31,1.82,6.19,12-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
12-Jun-2020 - 00:00,16.82,,59.22,-0.46,750.74,173.28,32.14,3.15,92.01,53.8,58.79,,,,1.57,1.49,4.41,13-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
13-Jun-2020 - 00:00,11.95,,64.39,-0.47,750.23,170.77,30.27,3.4,89.69,49.26,53.87,,,,1.35,1.23,3.67,14-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
14-Jun-2020 - 00:00,12.78,,71.22,-0.43,749.43,129.05,28.1,2.69,112.33,42.03,42.43,,,,1.43,1.38,3.87,15-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
15-Jun-2020 - 00:00,12.53,,77.55,-0.4,750.78,85.49,25.57,1.68,143.54,46.51,33.28,,,,2.03,2.58,7.3,16-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
16-Jun-2020 - 00:00,18.33,,80.25,-0.37,752.81,105.58,24.54,1.33,159.5,37.43,32.86,,,,2.31,2.62,7.68,17-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
17-Jun-2020 - 00:00,13.76,,82.32,-0.41,753.54,97.89,24.27,1.16,145.48,21.55,34.0,,,,1.99,2.74,7.08,18-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
18-Jun-2020 - 00:00,22.7,,83.77,-0.39,752.45,65.04,23.59,0.53,140.97,29.53,27.92,,,,2.51,3.48,9.41,19-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
19-Jun-2020 - 00:00,15.72,,86.48,-0.37,751.11,57.93,22.52,0.46,193.48,29.98,21.87,,,,2.59,3.98,9.48,20-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
20-Jun-2020 - 00:00,10.67,,87.65,-0.38,751.01,65.46,22.01,0.49,147.58,32.35,23.72,,,,2.5,3.74,8.87,21-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
21-Jun-2020 - 00:00,12.9,,84.35,-0.37,751.36,76.44,22.53,1.32,129.51,34.25,26.73,,,,1.44,1.81,4.56,22-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
22-Jun-2020 - 00:00,12.11,,79.44,-0.43,751.35,127.86,24.81,1.81,106.44,25.28,32.91,,,,1.31,1.42,3.66,23-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
23-Jun-2020 - 00:00,14.88,,75.61,-0.48,749.08,120.94,26.96,2.29,94.7,42.93,36.43,,,,1.15,1.08,3.03,24-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
24-Jun-2020 - 00:00,17.61,,73.65,-0.4,747.44,99.27,27.89,0.97,167.35,33.56,28.3,,,,2.09,2.85,7.32,25-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
25-Jun-2020 - 00:00,19.41,,76.47,-0.4,748.82,87.56,26.17,1.01,189.51,36.55,19.26,,,,2.44,4.45,9.81,26-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
26-Jun-2020 - 00:00,14.02,,80.29,-0.39,750.2,94.88,23.36,0.81,188.92,35.67,26.1,,,,2.78,4.94,9.53,27-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
27-Jun-2020 - 00:00,23.22,,70.74,-0.44,749.41,163.76,27.24,0.55,204.58,32.9,29.19,,,,6.81,11.86,14.16,28-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
28-Jun-2020 - 00:00,20.93,,81.0,-0.37,749.76,71.73,23.86,1.16,177.52,34.76,33.66,,,,5.01,8.27,12.56,29-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
29-Jun-2020 - 00:00,18.38,,84.27,-0.36,748.73,60.44,20.35,1.19,224.03,32.05,36.75,,,,5.52,16.28,17.8,30-Jun-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
30-Jun-2020 - 00:00,36.54,,78.9,-0.39,748.59,97.03,24.35,0.41,160.51,32.64,43.72,,,,5.34,15.02,21.38,01-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
01-Jul-2020 - 00:00,38.02,,79.5,-0.38,749.88,132.02,26.68,0.58,187.65,44.94,27.86,,,,4.68,14.23,19.57,02-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
02-Jul-2020 - 00:00,44.87,,73.11,-0.4,751.25,151.67,29.69,0.54,169.78,39.29,34.84,,,,4.65,13.12,17.78,03-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
03-Jul-2020 - 00:00,35.93,,80.94,-0.36,751.53,91.88,26.15,0.98,114.15,32.49,45.13,,,,3.24,8.02,11.08,04-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
04-Jul-2020 - 00:00,29.2,,79.92,-0.36,751.34,114.01,25.54,1.23,108.77,34.73,34.5,,,,3.17,5.41,8.91,05-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
05-Jul-2020 - 00:00,26.15,,77.04,-0.37,752.15,94.2,26.24,0.84,106.96,44.12,31.78,,,,2.87,5.12,7.75,06-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
06-Jul-2020 - 00:00,9.34,,80.98,-0.37,752.88,124.84,24.27,1.19,131.9,35.17,25.41,,,,4.73,11.68,16.09,07-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
07-Jul-2020 - 00:00,17.27,,84.29,-0.38,749.56,73.12,24.28,0.42,128.52,28.26,21.23,,,,7.51,20.45,20.78,08-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
08-Jul-2020 - 00:00,29.99,,71.51,-0.43,747.45,162.1,30.01,0.58,160.61,24.92,19.82,,,,10.32,29.79,25.66,09-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
09-Jul-2020 - 00:00,17.15,,81.44,-0.43,750.61,60.34,24.66,0.53,159.21,22.12,17.22,,,,9.27,34.67,25.78,10-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
10-Jul-2020 - 00:00,35.04,,84.43,-0.44,751.64,52.98,23.08,0.45,161.46,25.63,14.36,,,,8.65,40.78,25.24,11-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
11-Jul-2020 - 00:00,13.34,,79.4,-0.48,751.64,86.79,24.74,0.64,172.23,28.13,18.93,,,,5.49,25.43,17.33,12-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
12-Jul-2020 - 00:00,20.28,,71.02,-0.48,750.35,172.5,30.06,0.59,169.31,17.98,21.01,,,,4.2,18.56,12.53,13-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
13-Jul-2020 - 00:00,21.01,,71.17,-0.47,750.29,131.21,30.35,0.44,158.4,32.78,21.29,,,,6.05,26.13,16.01,14-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
14-Jul-2020 - 00:00,17.21,,79.88,-0.39,749.57,63.43,25.04,0.44,139.72,30.51,28.44,,,,5.83,21.52,14.88,15-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
15-Jul-2020 - 00:00,17.47,,77.19,-0.37,749.79,128.18,26.82,0.78,93.72,24.91,30.54,,,,5.15,15.05,9.73,16-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
16-Jul-2020 - 00:00,18.28,,72.16,-0.37,750.43,162.14,29.17,0.84,103.06,18.29,34.0,,,,5.46,14.85,14.53,17-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
17-Jul-2020 - 00:00,20.96,,68.78,-0.37,749.23,165.83,30.64,0.84,122.26,21.14,41.06,,,,6.68,14.75,20.78,18-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
18-Jul-2020 - 00:00,25.68,,74.47,-0.4,748.1,102.82,28.94,0.52,136.65,25.32,31.69,,,,7.13,16.87,23.11,19-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
19-Jul-2020 - 00:00,18.18,,77.74,-0.4,749.62,61.47,26.11,0.59,150.61,19.76,22.51,,,,9.02,18.08,25.8,20-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
20-Jul-2020 - 00:00,13.83,,80.27,-0.41,750.56,67.14,24.56,0.74,166.07,26.28,22.48,,,,12.52,25.88,33.51,21-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
21-Jul-2020 - 00:00,9.36,,80.15,-0.44,748.35,82.75,24.24,0.53,179.6,24.64,18.87,,,,8.23,27.2,31.99,22-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
22-Jul-2020 - 00:00,23.09,,72.14,-0.48,747.88,156.95,27.93,0.63,207.02,38.48,38.42,,,,9.06,30.43,36.43,23-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
23-Jul-2020 - 00:00,19.74,,73.98,-0.43,748.18,124.08,26.55,0.53,157.8,,28.9,,,,7.12,20.31,29.36,24-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
24-Jul-2020 - 00:00,20.91,,78.15,-0.39,746.11,111.1,25.05,0.76,102.17,,31.16,23.55,0.93,6.41,6.76,15.48,21.93,25-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
25-Jul-2020 - 00:00,26.44,,72.34,-0.39,744.15,135.19,27.67,0.42,127.47,,40.22,24.74,0.81,6.06,5.46,14.66,18.68,26-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
26-Jul-2020 - 00:00,28.33,,71.12,-0.45,744.06,137.62,29.79,0.58,189.96,,32.92,27.59,2.21,6.47,6.31,16.7,21.75,27-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
27-Jul-2020 - 00:00,33.44,,73.39,-0.43,746.27,104.35,29.17,0.63,172.29,,22.47,31.99,3.8,7.19,9.6,27.6,36.61,28-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
28-Jul-2020 - 00:00,16.16,,82.11,-0.41,748.12,41.61,23.93,0.48,141.31,,20.89,29.83,4.93,9.03,8.38,24.63,35.77,29-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
29-Jul-2020 - 00:00,17.09,,78.23,-0.43,747.08,119.66,25.5,0.48,175.52,,23.46,19.15,6.08,9.34,8.57,27.93,36.7,30-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
30-Jul-2020 - 00:00,16.52,,75.41,-0.41,746.46,96.35,26.67,0.38,208.77,,20.34,16.85,7.0,9.31,9.73,28.39,42.15,31-Jul-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
31-Jul-2020 - 00:00,30.41,,77.07,-0.42,747.15,98.02,26.8,0.52,146.42,,16.53,24.56,5.88,9.69,11.59,50.8,55.08,01-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
01-Aug-2020 - 00:00,32.07,,81.22,-0.4,750.36,107.57,24.67,0.81,167.26,,15.03,26.37,3.61,9.74,10.33,36.0,40.88,02-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
02-Aug-2020 - 00:00,35.93,,88.29,-0.42,749.5,24.93,22.28,0.3,167.31,,11.52,23.21,5.47,9.8,12.8,30.42,48.21,03-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
03-Aug-2020 - 00:00,33.11,,,,,,,,,,11.78,14.65,10.71,10.39,8.71,0.37,51.85,04-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
04-Aug-2020 - 00:00,30.98,1.0,71.45,-1.14,756.24,87.92,30.14,0.72,202.45,,14.01,17.79,24.96,15.21,11.29,17.63,51.21,05-Aug-2020 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
