from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,BP,SR,to date,station
13-Aug-2020 - 00:00,,31.4,10.5,26.51,36.17,29.99,3.58,0.44,25.95,0.89,1.12,0.0,0.23,0.84,28.36,90.02,0.3,136.17,743.46,126.39,14-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
14-Aug-2020 - 00:00,,33.63,11.38,43.63,55.01,,3.51,0.43,19.69,0.85,0.9,0.0,0.26,1.02,30.26,80.05,0.54,134.17,742.47,238.09,15-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
15-Aug-2020 - 00:00,,32.3,9.48,42.23,51.33,,3.28,0.34,26.37,0.79,0.86,0.0,0.11,0.37,30.61,76.35,0.46,129.97,742.28,201.75,16-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
16-Aug-2020 - 00:00,,19.37,8.29,43.05,51.35,,2.45,0.33,26.53,0.56,0.79,0.0,0.1,0.3,29.49,77.84,0.51,125.28,742.53,148.48,17-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
17-Aug-2020 - 00:00,,27.38,10.57,43.9,54.46,,3.42,0.34,31.62,0.7,0.9,0.0,0.12,0.38,29.96,78.97,0.52,126.97,742.81,177.3,18-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
18-Aug-2020 - 00:00,,40.15,12.1,42.77,54.87,15.81,4.24,0.43,26.51,1.05,3.99,0.03,0.3,0.88,30.1,82.38,0.43,131.32,743.29,152.18,19-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
19-Aug-2020 - 00:00,,38.28,11.96,45.35,57.31,19.38,3.8,0.39,24.35,1.49,11.83,0.1,0.71,1.61,30.63,76.5,0.51,129.05,743.42,200.03,20-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
20-Aug-2020 - 00:00,,27.48,8.99,37.02,33.49,59.67,2.39,0.43,23.92,0.62,5.45,0.03,0.27,0.61,28.83,77.15,0.84,126.13,744.4,97.83,21-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
21-Aug-2020 - 00:00,,22.9,16.22,49.48,43.2,64.63,5.77,0.27,20.78,0.6,3.59,0.06,0.3,0.68,27.94,83.42,0.93,126.5,746.29,157.98,22-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
22-Aug-2020 - 00:00,,27.85,16.78,53.3,69.4,55.86,4.62,0.37,26.41,1.15,29.55,0.14,0.69,1.48,28.32,84.02,0.62,129.74,747.01,159.81,23-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
23-Aug-2020 - 00:00,,23.59,16.44,56.78,6.1,65.28,5.59,0.56,20.54,1.68,12.1,0.1,0.92,2.24,28.69,84.99,0.3,147.38,746.55,159.04,24-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
24-Aug-2020 - 00:00,,42.97,11.55,45.36,16.46,64.47,5.66,0.6,17.57,5.62,8.03,0.01,1.64,5.11,28.9,82.75,0.61,272.49,746.53,216.15,25-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
25-Aug-2020 - 00:00,,71.67,18.38,38.87,3.19,73.45,5.7,0.6,12.55,4.24,6.88,0.0,1.61,4.9,30.6,76.37,0.92,302.96,746.9,255.73,26-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
26-Aug-2020 - 00:00,,45.33,30.16,48.9,1.65,93.18,4.91,0.53,17.46,1.67,6.7,0.01,1.0,2.85,30.14,79.88,0.53,216.58,746.63,191.14,27-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
27-Aug-2020 - 00:00,,24.47,11.79,83.57,37.91,104.07,3.64,0.37,23.8,0.88,4.49,0.06,0.6,1.49,28.32,81.93,0.64,127.61,745.58,155.66,28-Aug-2020 - 00:00,"DRM Office Danapur, Patna - BSPCB"
