from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO2,NO,Ozone,SO2,to date,station
05-Feb-2020 - 00:00,13.78,994.16,313.66,205.76,66.13,130.42,140.58,44.91,1.44,1.59,,21.98,38.63,10.59,54.81,16.16,06-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
06-Feb-2020 - 00:00,13.21,993.53,294.46,227.35,66.08,152.86,173.16,121.1,0.91,1.49,,22.92,40.44,9.96,44.91,15.21,07-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
07-Feb-2020 - 00:00,12.77,995.82,291.29,175.58,67.49,127.28,126.85,100.84,0.99,1.62,,21.4,47.87,23.25,35.69,18.59,08-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
08-Feb-2020 - 00:00,12.89,997.72,294.67,201.21,70.28,133.91,,77.1,1.1,1.38,,19.93,37.58,8.77,53.91,20.93,09-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
09-Feb-2020 - 00:00,13.28,997.75,313.88,206.08,68.72,137.09,104.0,107.83,0.85,1.45,,19.19,41.58,18.01,31.21,19.06,10-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
10-Feb-2020 - 00:00,13.05,996.2,352.84,221.64,68.97,131.06,145.1,58.48,0.77,1.64,,20.21,45.52,26.53,57.85,16.48,11-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
11-Feb-2020 - 00:00,13.79,996.44,322.45,204.15,68.82,137.89,134.94,54.18,0.8,1.5,,20.3,48.44,22.46,41.17,16.08,12-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
12-Feb-2020 - 00:00,15.34,995.86,316.59,200.8,68.79,136.45,,79.14,1.3,1.27,,20.0,37.68,9.21,46.38,21.92,13-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
13-Feb-2020 - 00:00,17.91,992.95,197.83,125.55,64.06,146.45,,92.47,1.31,0.91,,20.37,26.32,4.03,44.36,19.08,14-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
14-Feb-2020 - 00:00,16.97,990.2,194.99,105.32,61.67,164.81,,20.01,1.84,0.85,,20.74,23.36,3.63,53.85,17.83,15-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
15-Feb-2020 - 00:00,15.77,990.33,217.12,125.79,60.8,183.58,,68.41,1.39,1.07,,23.45,33.39,7.29,53.91,25.07,16-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
16-Feb-2020 - 00:00,16.12,993.36,353.38,211.96,63.91,178.94,192.11,129.09,1.13,1.58,,23.39,44.99,27.6,53.76,28.6,17-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
17-Feb-2020 - 00:00,16.77,994.41,371.48,237.95,62.96,181.1,,156.51,1.16,1.34,,22.02,44.2,14.4,63.03,30.53,18-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
18-Feb-2020 - 00:00,16.66,991.76,308.75,193.62,59.04,183.08,148.73,199.77,1.21,1.37,,20.52,44.93,13.46,60.31,37.75,19-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
19-Feb-2020 - 00:00,18.14,990.29,437.67,212.25,58.89,139.83,123.48,199.67,1.71,2.08,,21.01,55.63,62.44,73.91,27.65,20-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
20-Feb-2020 - 00:00,20.66,989.81,309.92,130.83,55.53,151.77,,182.81,2.39,1.15,,33.48,40.29,3.33,75.82,17.23,21-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
21-Feb-2020 - 00:00,16.55,994.13,93.18,69.18,71.16,62.88,144.93,132.88,2.3,0.97,,50.33,27.27,2.19,54.0,13.34,22-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
22-Feb-2020 - 00:00,18.37,997.36,117.08,68.54,66.13,146.15,117.58,126.52,1.24,1.0,,54.1,35.24,6.14,53.37,15.5,23-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
23-Feb-2020 - 00:00,19.71,995.19,186.33,111.29,65.83,150.79,145.68,73.4,1.18,1.02,,52.52,31.6,6.13,47.38,21.34,24-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
24-Feb-2020 - 00:00,19.31,991.95,173.96,100.25,64.48,162.49,116.56,58.42,1.18,1.01,,53.99,36.48,5.77,42.69,29.62,25-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
25-Feb-2020 - 00:00,18.15,990.71,267.5,156.75,71.7,142.71,136.35,114.49,0.98,1.11,,59.73,40.88,14.32,34.8,21.74,26-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
26-Feb-2020 - 00:00,19.4,991.36,340.5,191.67,67.56,148.55,192.1,157.55,0.91,1.28,,58.6,40.32,22.12,39.97,21.97,27-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
27-Feb-2020 - 00:00,20.35,991.63,298.04,160.12,66.96,131.42,,178.42,0.97,1.23,,56.31,48.36,19.3,48.58,16.1,28-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
28-Feb-2020 - 00:00,21.49,990.25,192.71,98.0,62.9,131.96,,212.98,2.13,0.83,,54.14,35.24,2.53,57.58,14.43,29-Feb-2020 - 00:00,"Bawana, Delhi - DPCC"
29-Feb-2020 - 00:00,20.08,989.55,132.91,71.37,65.66,121.96,,180.07,2.04,0.74,,51.88,31.33,2.76,48.35,12.62,01-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
01-Mar-2020 - 00:00,20.41,990.29,115.87,57.77,64.27,171.57,186.72,161.88,0.99,0.82,,49.24,37.88,4.0,53.8,13.18,02-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
02-Mar-2020 - 00:00,20.74,989.93,224.42,119.04,67.22,163.92,170.32,83.16,0.78,1.04,,49.37,38.64,21.28,39.09,20.07,03-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
03-Mar-2020 - 00:00,21.57,988.44,245.7,130.96,60.27,177.18,158.88,75.88,1.11,1.01,,51.73,34.26,11.5,48.11,27.86,04-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
04-Mar-2020 - 00:00,20.73,987.61,218.04,101.29,61.62,152.13,148.1,179.11,1.56,1.76,,49.92,41.58,7.5,67.4,17.7,05-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
05-Mar-2020 - 00:00,19.55,987.76,77.97,43.11,64.47,148.3,151.75,193.27,1.97,0.89,,44.85,28.04,3.42,57.04,12.2,06-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
06-Mar-2020 - 00:00,16.28,986.58,42.05,32.77,73.78,121.32,,199.46,2.32,1.16,,43.28,31.45,2.7,45.5,6.22,07-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
07-Mar-2020 - 00:00,17.35,991.08,105.39,61.09,70.3,132.23,153.44,200.3,1.51,0.99,,44.28,34.55,2.97,55.47,15.23,08-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
08-Mar-2020 - 00:00,17.4,993.26,137.3,81.5,70.86,176.74,108.6,112.32,1.16,1.02,,42.3,35.16,16.69,37.84,16.91,09-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
09-Mar-2020 - 00:00,17.3,990.44,163.43,76.58,65.84,208.27,,30.37,1.6,0.76,,42.51,26.66,5.6,38.2,16.69,10-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
10-Mar-2020 - 00:00,18.73,989.06,167.55,89.55,61.54,200.72,,118.2,1.0,0.98,,41.34,20.48,2.51,61.57,19.02,11-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
11-Mar-2020 - 00:00,21.12,986.41,114.58,64.42,61.79,167.5,,193.89,2.23,1.56,,39.38,23.52,2.33,60.13,16.16,12-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
12-Mar-2020 - 00:00,21.39,988.75,190.25,66.29,59.12,178.08,134.08,173.63,1.76,0.93,,35.57,30.8,5.13,46.68,16.0,13-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
13-Mar-2020 - 00:00,20.69,990.71,307.88,106.71,57.13,189.28,199.91,186.63,1.03,0.94,,37.64,39.01,14.32,44.08,22.41,14-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
14-Mar-2020 - 00:00,17.64,991.34,105.0,53.07,70.28,51.9,124.82,159.57,1.32,0.8,,39.61,29.14,2.87,30.58,14.7,15-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
15-Mar-2020 - 00:00,17.71,993.72,172.77,96.23,67.17,187.72,138.78,121.6,1.18,1.15,,41.84,29.45,7.02,52.89,24.05,16-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
16-Mar-2020 - 00:00,19.09,993.43,188.41,98.21,66.64,177.98,,34.4,1.36,0.64,,41.56,31.22,4.02,43.18,23.61,17-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
17-Mar-2020 - 00:00,20.08,993.37,212.49,105.81,65.27,203.11,100.3,35.89,1.38,0.69,,39.24,34.58,6.28,47.14,24.75,18-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
18-Mar-2020 - 00:00,22.27,991.56,170.03,93.0,60.04,199.17,132.84,33.44,1.54,0.55,,38.49,29.74,2.1,60.53,22.15,19-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
19-Mar-2020 - 00:00,22.82,988.49,188.94,127.3,62.89,186.06,138.48,119.35,1.11,0.68,,40.1,33.8,7.27,51.6,26.86,20-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
20-Mar-2020 - 00:00,24.23,987.34,259.83,102.33,56.98,187.04,127.97,167.07,1.07,0.75,,37.05,43.95,7.25,55.48,18.2,21-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
21-Mar-2020 - 00:00,23.87,987.76,261.62,132.26,59.12,161.15,127.78,93.72,1.14,0.77,,35.49,40.5,5.75,57.26,24.67,22-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
22-Mar-2020 - 00:00,24.04,989.64,156.38,98.9,57.27,194.29,,105.38,1.26,0.52,,30.05,22.86,2.33,64.39,16.93,23-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
23-Mar-2020 - 00:00,24.59,989.14,119.59,67.56,53.76,196.28,,162.85,0.97,0.45,,27.85,19.87,1.0,55.39,17.92,24-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
24-Mar-2020 - 00:00,23.82,987.81,126.09,70.41,58.75,151.01,,204.61,1.17,0.65,,26.75,21.89,1.23,47.98,21.85,25-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
25-Mar-2020 - 00:00,24.67,988.26,91.69,56.04,61.37,210.89,,143.82,1.27,0.83,,24.48,15.88,1.32,37.67,,26-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
26-Mar-2020 - 00:00,23.39,989.61,112.91,74.1,64.89,134.03,,74.21,1.3,0.57,,24.14,13.56,1.13,23.44,,27-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
27-Mar-2020 - 00:00,20.85,991.19,58.87,38.93,69.91,91.42,,177.71,1.65,0.37,,22.43,14.82,1.22,27.71,,28-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
28-Mar-2020 - 00:00,21.38,991.72,49.08,29.31,67.47,225.93,,56.73,1.48,0.37,,22.49,14.03,1.18,32.76,,29-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
29-Mar-2020 - 00:00,22.78,989.64,84.41,41.98,59.76,231.52,,44.0,1.76,0.33,,22.08,11.58,0.75,46.8,,30-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
30-Mar-2020 - 00:00,22.64,989.71,103.25,58.62,58.31,234.83,,63.97,1.49,0.36,,22.77,12.84,0.66,52.75,,31-Mar-2020 - 00:00,"Bawana, Delhi - DPCC"
31-Mar-2020 - 00:00,23.99,988.44,107.21,55.69,55.48,208.18,,53.2,1.45,0.32,,22.93,12.92,0.63,56.05,,01-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
01-Apr-2020 - 00:00,24.68,987.65,99.88,32.14,55.26,229.69,,91.69,1.34,0.33,,12.39,13.97,0.82,29.87,,02-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
02-Apr-2020 - 00:00,23.98,987.95,102.86,,55.35,250.58,,36.34,1.91,0.68,,0.48,13.38,0.69,,,03-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
03-Apr-2020 - 00:00,22.24,989.21,112.8,,52.6,253.63,,75.86,1.39,0.46,,0.19,16.31,0.63,,,04-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
04-Apr-2020 - 00:00,23.49,989.14,131.18,,52.16,254.78,,79.35,1.28,0.35,,0.14,17.51,0.65,,,05-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
05-Apr-2020 - 00:00,25.94,989.76,139.89,,48.95,229.68,,101.87,1.07,0.28,,0.11,17.98,0.75,,,06-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
06-Apr-2020 - 00:00,27.92,988.63,160.12,,47.38,239.57,,125.82,1.3,0.19,,0.04,18.14,1.09,,,07-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
07-Apr-2020 - 00:00,25.38,986.77,156.75,33.55,51.13,227.44,,116.28,2.14,0.25,,10.4,14.43,0.66,60.47,13.45,08-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
08-Apr-2020 - 00:00,25.76,987.41,114.17,45.25,45.18,255.22,,44.5,1.9,0.33,,27.75,13.71,0.52,74.28,21.46,09-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
09-Apr-2020 - 00:00,25.46,987.77,119.42,58.67,46.72,241.76,,91.13,1.3,0.42,,27.74,16.54,0.56,76.85,25.23,10-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
10-Apr-2020 - 00:00,27.54,988.58,156.04,76.46,43.96,245.58,,96.27,0.94,0.46,,26.46,18.7,0.69,70.36,27.85,11-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
11-Apr-2020 - 00:00,29.19,989.55,150.71,63.29,43.63,236.28,,106.55,0.96,0.46,,25.99,19.43,1.06,72.97,17.92,12-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
12-Apr-2020 - 00:00,28.27,987.42,142.29,58.54,44.83,254.47,,72.26,1.37,0.41,,24.36,15.42,0.51,74.33,29.42,13-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
13-Apr-2020 - 00:00,29.67,985.33,197.48,96.7,45.07,241.87,,137.5,1.0,0.52,,24.36,19.79,0.67,64.38,34.97,14-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
14-Apr-2020 - 00:00,31.14,985.6,233.04,98.67,42.73,193.03,,211.04,0.78,0.66,,23.84,25.89,0.96,71.48,26.8,15-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
15-Apr-2020 - 00:00,31.38,985.26,275.04,90.79,39.09,220.44,,170.39,0.88,0.74,,22.79,30.65,2.09,51.82,22.84,16-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
16-Apr-2020 - 00:00,31.05,984.17,248.01,81.12,37.12,228.41,112.35,76.86,1.41,0.48,,23.75,21.53,0.79,67.65,26.52,17-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
17-Apr-2020 - 00:00,31.16,983.65,127.48,34.33,36.63,213.07,,156.27,1.82,0.29,,24.08,15.89,0.48,86.7,23.65,18-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
18-Apr-2020 - 00:00,28.38,985.53,138.29,38.71,45.81,173.51,,160.12,1.64,0.31,,23.99,15.36,0.56,77.56,19.88,19-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
19-Apr-2020 - 00:00,27.94,985.24,121.95,54.71,46.92,262.25,,125.51,1.05,0.34,,24.56,20.03,0.9,61.72,18.7,20-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
20-Apr-2020 - 00:00,26.1,985.92,192.12,81.0,48.52,162.85,,216.0,1.52,0.44,,27.82,25.05,1.75,48.29,17.54,21-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
21-Apr-2020 - 00:00,27.08,986.3,148.54,59.12,48.22,229.65,,69.67,1.01,0.38,,28.29,18.3,0.73,72.5,23.31,22-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
22-Apr-2020 - 00:00,28.26,984.82,206.0,83.12,42.69,257.1,,95.36,0.88,0.4,,32.25,23.49,0.73,80.26,29.95,23-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
23-Apr-2020 - 00:00,28.41,983.92,196.52,76.96,41.9,117.14,,188.58,1.25,0.96,,35.37,24.65,0.64,70.08,27.26,24-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
24-Apr-2020 - 00:00,29.26,982.39,219.9,99.62,43.97,236.5,,198.43,1.04,1.26,,36.93,25.37,1.82,78.96,24.39,25-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
25-Apr-2020 - 00:00,30.18,982.73,128.4,35.42,40.81,198.52,,222.36,1.27,0.33,,35.6,17.53,0.47,87.1,16.37,26-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
26-Apr-2020 - 00:00,26.42,985.32,187.7,53.16,51.21,150.95,,204.06,1.91,0.62,,33.85,17.84,0.61,71.74,17.92,27-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
27-Apr-2020 - 00:00,26.43,988.26,86.79,38.83,56.68,248.34,,188.08,2.32,0.62,,30.23,15.6,0.7,79.03,15.97,28-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
28-Apr-2020 - 00:00,28.3,988.29,119.96,60.92,52.88,214.07,,184.4,1.27,0.5,,25.5,17.15,0.63,87.63,20.54,29-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
29-Apr-2020 - 00:00,30.5,985.56,167.71,73.54,49.87,220.02,,200.61,0.97,0.46,,23.16,20.26,0.75,83.27,17.78,30-Apr-2020 - 00:00,"Bawana, Delhi - DPCC"
30-Apr-2020 - 00:00,31.71,984.94,156.08,69.08,47.22,209.53,,206.39,1.1,0.48,,21.25,18.87,0.63,93.46,19.26,01-May-2020 - 00:00,"Bawana, Delhi - DPCC"
01-May-2020 - 00:00,31.94,983.15,211.71,89.67,50.49,220.32,,164.15,1.41,0.57,,21.39,19.35,0.93,86.8,22.57,02-May-2020 - 00:00,"Bawana, Delhi - DPCC"
02-May-2020 - 00:00,30.82,982.97,155.92,44.21,50.42,226.96,,199.47,2.51,0.33,,19.44,15.91,0.65,93.45,16.99,03-May-2020 - 00:00,"Bawana, Delhi - DPCC"
03-May-2020 - 00:00,28.16,984.23,109.75,42.88,56.9,163.51,,175.99,2.12,0.34,,18.82,17.54,0.75,70.55,16.87,04-May-2020 - 00:00,"Bawana, Delhi - DPCC"
04-May-2020 - 00:00,27.99,985.74,82.36,41.46,55.24,226.4,,110.29,1.29,0.31,,18.59,18.56,0.84,82.04,19.72,05-May-2020 - 00:00,"Bawana, Delhi - DPCC"
05-May-2020 - 00:00,30.53,984.27,149.1,74.9,49.08,242.84,,91.21,0.99,0.51,,20.39,23.31,0.95,77.43,22.09,06-May-2020 - 00:00,"Bawana, Delhi - DPCC"
06-May-2020 - 00:00,29.55,983.69,250.19,81.59,45.44,162.04,,168.44,1.29,0.46,,21.75,22.7,0.87,88.87,26.04,07-May-2020 - 00:00,"Bawana, Delhi - DPCC"
07-May-2020 - 00:00,29.62,984.28,113.12,47.61,43.65,255.5,,174.24,1.42,0.27,,22.67,19.94,0.57,114.1,19.68,08-May-2020 - 00:00,"Bawana, Delhi - DPCC"
08-May-2020 - 00:00,31.79,982.53,180.8,77.14,44.53,237.85,113.5,186.72,1.11,0.48,,27.43,24.32,0.75,110.21,21.95,09-May-2020 - 00:00,"Bawana, Delhi - DPCC"
09-May-2020 - 00:00,33.48,983.13,165.38,69.42,45.01,227.82,,212.52,1.55,0.47,,26.85,19.48,0.58,114.59,18.41,10-May-2020 - 00:00,"Bawana, Delhi - DPCC"
10-May-2020 - 00:00,28.4,984.53,146.99,54.12,50.54,107.66,,189.15,2.37,0.4,,23.31,19.62,0.55,88.56,17.48,11-May-2020 - 00:00,"Bawana, Delhi - DPCC"
